12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 1,Ｉテイエムシシｰポス, 28,鮫島良, 1.4, 41,  -7, -12, 9,133.1, ⑧⑧, 8, 9, ダンストゥナイト,---,酒井学, 1.9, 26, -28, -15,10,163.0, ⑦⑦, 8, 3,Ｈプリムｰル, 66,川須栄, 1.8, 66,   1,   2,10, 84.7,⑦⑦⑥, 8, 5,Ｉマカニビスティｰ, 80,藤岡佑, 1.5, 78,  12,  -5, 6, 23.0,⑬⑬⑪
 9, 4,Ｆララニラブレタｰ, 39,藤懸貴, 1.4, 39,  -8, -12, 8, 48.1, ⑩⑦, 9, 8, ミラクルエンジェル,---,菱田裕, 3.5,  4, -31, -34, 9,129.6, ⑩⑨, 9,11,Ｋメイショウレｰザｰ, 57,菱田裕, 2.5, 60,   2,  -5, 9, 62.6,⑧⑤⑤, 9, 2,Ｈマルカボルト, 81,福永祐, 1.5, 77,* 18, -27, 4, 14.0,③④②
10, 7,Ｋブットバセ, 13,浜中俊, 2.3, 34,  -4, -24, 4,  9.6, ⑤⑤,10, 5, アルカナ,---,幸英明, 4.4, -7, -32, -46, 7, 27.9, ⑨⑩,10, 9,Ｊトｰブプリンセス, 62,藤懸貴, 2.7, 56,   1,  -6,11,178.8,③⑥⑩,10, 3,Ａレックスパレｰド, 91,川須栄, 1.6, 75,* 20, -30, 9, 40.7,①①③
11, 9,Ｊオリンピックイヤｰ, 22,幸英明, 5.5, 12,  -5, -50,10,165.0, ⑥⑪,,,,,,,,,,,,,11, 6,Ａエｰシンメンフィス, 79,小牧太, 4.2, 48,   1, -18, 3,  4.3,⑨⑨⑦,11,11,Ｌグラスゴッド, 76,松山弘, 2.7, 68,* 18, -43,13,241.7,②②⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｎミッキｰペトラ, 71,藤田伸, 4.8, 60,  11, -54,12,165.5,⑩⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｋコスモラピュタ, 77,和田竜,18.7,18.7---,   6, ---, 8, 31.6,④⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
