12年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 1,Ｋルルドバシリカ, 33,大庭和, 1.6, 30, -10,  -8,12,135.8, ⑫⑫, 9, 8, セブンカラｰ,---,武士沢, 1.7,  8, -58,  -3, 7, 71.6, ⑦⑦, 9, 4,Ａマイネルスパイス, 77,柴田大, 0.4, 76,  -9,  13, 1,  1.9, ⑨⑦, 9, 9,Ｇロンギングスタｰ, 82,武士沢, 1.2, 82,   4,  15, 5, 18.5, ⑤⑥
10, 8,Ｉデルマハヤブサ, 38,木幡初, 1.8, 29,  -7, -14,11, 99.5, ⑩⑪,,,,,,,,,,,,,10,10,Ｎルタンデスリｰズ, 56,柴田善, 0.5, 69,  -5,   2,12,101.8, ②②,10,12,Ｍイｰグルドライヴ, 76,大庭和, 1.3, 79,*  5,  11, 9, 36.7, ②②
11,11,Ｆフェアリｰシチｰ, 44,武士沢, 1.9, 28,   3, -30,10, 64.0, ④④,,,,,,,,,,,,,11, 2,Ｄクラウンフィデリオ, 73,吉田豊, 0.5, 73, -10,  13, 4, 14.8, ⑦⑧,11, 1,Ｌトモロポケット, 78,熊沢重, 1.7, 79,   3,  12,11, 45.7, ⑦⑦
12, 9,Ｇオンアイス, 41,杉原誠, 2.2, 26,  -2, -26, 9, 42.2, ⑧⑧,,,,,,,,,,,,,12, 9,Ｋアｰドバｰク, 62,木幡初, 0.6, 70,  -9,   8,13,105.7, ④④,12, 5,Ｃニシノヴァンクｰル, 86,江田照, 1.9, 74,   2,  11, 8, 32.6, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｉシュガｰキッス, 67,熊沢重, 0.9, 70, -12,  10,14,155.3, ⑧⑩,13, 3,Ｊアストレｰション, 80,木幡初, 2.1, 72,   4,   6,12,138.6, ③④
,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｂブルｰグラス, 74,三浦皇, 1.6, 62, -16,   7, 5, 17.0, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-34 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
単勝:320円 複勝:05=120円 04=140円 06=280円 枠連:350円,,,,,,,,,,,,単勝:150円 複勝:06=110円 09=140円 04=140円 枠連:400円,,,,,,,,,,,,"単勝:3,120円 複勝:01=860円 03=470円 06=1,060円 枠連:2,000円",,,,,,,,,,,,単勝:150円 複勝:02=110円 10=260円 04=300円 枠連:620円,,,,,,,,,,,
馬連:500円 ワイド:04-05=220円 05-06=660円 04-06=760円,,,,,,,,,,,,馬連:500円 ワイド:06-09=210円 04-06=170円 04-09=380円,,,,,,,,,,,,"馬連:23,950円 ワイド:01-03=5,300円 01-06=8,490円 03-06=3,940円",,,,,,,,,,,,"馬連:860円 ワイド:02-10=430円 02-04=410円 04-10=1,510円",,,,,,,,,,,
"馬単:950円 3連複:1,950円 3連単:6,650円",,,,,,,,,,,,"馬単:580円 3連複:390円 3連単:1,790円",,,,,,,,,,,,"馬単:49,090円 3連複:149,720円 3連単:762,060円",,,,,,,,,,,,"馬単:1,060円 3連複:2,360円 3連単:6,770円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂキングアドバンス, 54,北村宏,, 57,*  2,  -3, 1,  2.5, ①①, 1,10,Ｂルイｰズ, 75,吉田豊,, 73, -11,* 26, 3,  5.3, ⑨⑧, 1, 8,Ｆサトノデｰトナ, 78,安藤勝,, 78,* -3,  23, 2,  4.6, ①①, 1,12,Ｅアカンサス, 83,三浦皇,, 90,  12,* 20, 5,  8.9,⑨⑨⑨
 2,11,Ｊボンジュｰルキボウ, 25,三浦皇, 0.5, 54,   1,  -4, 5,  9.9, ⑤④, 2, 7,Ａハッピｰマリｰン, 75,木幡初, 0.2, 69,* -6,  18, 1,  3.1, ②②, 2,11,Ｄコスモケンジ, 79,柴田大, 0.1, 78,* -4,  23, 3,  5.7, ②②, 2, 2,Ｇリルダヴァル, 83,北村宏, 0.0, 87,  16,   9, 1,  2.2,④⑥⑤
 3, 9,Ａハブアストロｰル, 54,田中勝, 0.7, 52,  -4,*  2, 2,  3.9, ⑨⑧, 3, 6,Ｄクラリスピンク, 71,柴田善, 0.3, 71, -11,* 25, 5,  8.2, ⑧⑩, 3, 3,Ｂスズカロジック, 80,木幡初, 0.3, 77,  -7,  25, 4,  7.5, ⑤⑥, 3, 3,Ｃミッキｰパンプキン, 85,武士沢, 0.3, 83,* 18,   2, 2,  6.8,②③③
 4, 8,Ｇベルウッドジンプウ, 38,柴田善, 0.9, 52,*  2,  -9, 4,  6.6, ③②, 4, 4,Ｇモエレフルｰル, 66,北村宏, 0.5, 66,  -8,  17, 2,  3.7, ③③, 4, 9,Ｅゴｰルドゼウス, 78,田中勝, 0.5, 76,  -8,  25, 7, 10.2, ⑧⑧, 4, 1,Ｄセイクリッドバレｰ, 84,吉田豊, 0.3, 85,  15,   9, 8, 15.2,⑦⑦⑦
 5, 7,Ｄセイクリッドナイト, 45,柴田大, 1.9, 44,  -4, -10, 8, 36.2, ⑦⑦, 5, 5,Ｅミエノグレｰス, 70,田中勝, 0.7, 65, -10,  19, 8, 29.2, ⑥⑥, 5, 2,Ａイｰグルカザン, 80,北村宏, 0.5, 75,  -5,  21, 1,  4.0, ④④, 5, 7,Ｆメイショウウズシオ, 83,飯田祐, 0.5, 81,* 18,  -2, 6, 11.5,⑥④④
 6,10,Ｈプリズンブレｰク, 37,木幡初, 1.9, 46,  -8,*  0, 7, 23.8, ⑪⑪, 5, 2,Ｉアソルｰタ, 65,三浦皇, 0.7, 67,  -8,  17, 4,  5.7, ④④, 6, 4,Ｃヤマタケディガｰ, 79,武士沢, 0.6, 78, -10,* 27,10, 35.5, ⑪⑪, 6,10,Ｍエックスダンス, 67,江田照, 0.7, 80,  15,   3,10, 77.3,⑧⑧⑧
 7, 1,Ｅカラダドリｰム, 40,杉原誠, 2.1, 44,  -2, -14, 3,  5.7, ⑥⑥, 7, 1,Ｈキングダンサｰ, 66,江田照, 0.7, 64,* -5,  12, 7, 23.7, ①①, 7,10,Ｊビレッジペガサス, 75,吉田豊, 0.6, 75,  -7,  22, 8, 12.2, ⑥⑦, 7, 4,Ａレインボｰペガサス, 86,安藤勝, 0.7, 79,* 19,  -8, 7, 11.8,①①①
 8, 3,Ｉマイネルガｰラ, 29,武士沢, 3.0, 39,  -4, -17,11,139.2, ⑧⑨, 8, 3,Ｃサワキック, 71,武士沢, 1.1, 66, -12,  18, 6, 22.1, ⑩⑨, 8, 6,Ｇコウセイコタロウ, 77,三浦皇, 0.6, 76,  -9,  25, 5,  8.4, ⑨⑨, 8,13,Ｋマイネルロブスト, 73,柴田大, 1.3, 74,* 19, -16, 4,  8.2,③②②
 9, 5,Ｆサマｰフェアリｰ, 39,古川吉, 3.7, 32,  -1, -29, 9, 75.3, ④⑤, 9, 9,Ｆトゥルｰマｰトル, 68,黛弘人, 1.5, 60,  -8,  10, 9, 40.0, ⑤⑤, 9, 1,Ｋヴェルティゴ, 75,杉原誠, 0.7, 75,  -7,  22, 9, 26.7, ⑦⑤, 9, 8,Ｈスノｰクラッシャｰ, 79,伊藤工, 1.5, 75,  10,   5,11,158.5,⑫⑫⑫
10, 6,Ｋアルデオ,  8,熊沢重, 4.5, 31,  -7, -26,10,118.3, ⑩⑩,10, 8,Ｊラシｰク, 61,杉原誠, 1.5, 61, -11,  13,10, 40.7, ⑦⑦,10, 7,Ｈエタｰナルロブロイ, 76,古川吉, 0.9, 72,* -4,  17,11, 48.4, ③③,10,11,Ｊアｰスシンボル, 75,木幡初, 1.5, 74,  11,   1, 9, 26.0,⑪⑪⑪
11, 4,Ｃホｰリｰナンバｰ, 45,江田照, 5.1, 23,   1, -44, 6, 15.5, ②③,,,,,,,,,,,,,11, 5,Ｉカリスマサンスカイ, 75,熊沢重, 1.6, 69, -10,  17, 6, 10.0, ⑩⑩,11, 6,Ｂカリバｰン, 86,田中勝, 1.5, 73,  11,   0, 3,  8.1,⑩⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 9,Ｉピエナファンタスト, 77,古川吉, 1.6, 73,   9,   4,12,171.1,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｌショウナンライジン, 67,黛弘人, 2.7, 62,  16, -30,13,217.7,⑤⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,
"単勝:250円 複勝:02=130円 11=250円 09=130円 枠連:1,070円",,,,,,,,,,,,単勝:530円 複勝:10=160円 07=120円 06=190円 枠連:400円,,,,,,,,,,,,"単勝:460円 複勝:08=190円 11=190円 03=240円 枠連:1,260円",,,,,,,,,,,,単勝:890円 複勝:12=230円 02=130円 03=190円 枠連:570円,,,,,,,,,,,
"馬連:1,610円 ワイド:02-11=540円 02-09=210円 09-11=710円",,,,,,,,,,,,馬連:720円 ワイド:07-10=310円 06-10=530円 06-07=530円,,,,,,,,,,,,"馬連:1,200円 ワイド:08-11=550円 03-08=860円 03-11=890円",,,,,,,,,,,,"馬連:1,050円 ワイド:02-12=430円 03-12=960円 02-03=310円",,,,,,,,,,,
"馬単:2,380円 3連複:1,590円 3連単:9,710円",,,,,,,,,,,,"馬単:1,530円 3連複:1,130円 3連単:7,830円",,,,,,,,,,,,"馬単:2,290円 3連複:3,560円 3連単:15,840円",,,,,,,,,,,,"馬単:2,580円 3連複:2,010円 3連単:13,150円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 6R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,昇仙峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｆトｰセンヤマト, 25,田中勝,, 61, -28,* 18, 8, 34.5,③③③, 1, 9,Ｃマックスガイ, 72,柴田善,, 70,*  5,   9, 1,  3.4, ②②, 1, 8, デンコウオクトパス,,西谷誠,,,,, 2,  5.2,③①①, 1,12,Ｃマｰブルデイビｰ, 79,伊藤工,, 80,   3,* 18, 8, 34.6,⑫⑪⑪
 2, 6,Ｅソムニアシチｰ, 48,江田照, 0.1, 54,*-23,   7, 3,  7.4,①①①, 2, 7,Ｂフェアエレン, 72,北村宏, 0.2, 68,*  4,   9, 2,  3.9, ④③, 2,10, ナリタシャトル,,高田潤,207.2,,,, 4, 14.0,④④④, 2, 6,Ａニシノジャブラニ, 82,北村宏, 0.0, 78,   9,   7, 3,  4.6,④⑤⑤
 3, 5, ネコタイショウ,---,木幡初, 0.5, 57, -28,  14, 7, 31.6,⑤④④, 3,13,Ｉバｰバラスアゲン, 67,岩部純, 0.3, 68,   2,  10,12, 45.2, ⑤⑤, 3, 7, シゲルジュウヤク,,中村将,207.4,,,, 3,  9.3,①②②, 3, 1,Ｊケルンフォｰティｰ, 70,杉原誠, 0.2, 78,  10,   2, 9, 51.1,②③③
 4, 3,Ｃマイネルサンオペラ, 53,柴田大, 0.6, 59, -30,* 17, 5, 12.5,⑦⑥⑦, 4,14,Ｍアｰティクラフティ, 63,吉田豊, 0.3, 68,*  4,   8, 5, 12.6, ③④, 4, 9, トｰセンオｰパス,,金子光,207.6,,,,11, 50.9,⑪⑨⑦, 4, 9,Ｂナンデヤネン, 79,柴田善, 0.2, 77,   7,   7, 1,  2.9,⑩⑨⑦
 5, 7,Ａサンバジｰリオ, 56,吉田豊, 0.6, 55, -30,  14, 2,  4.3,④⑤⑥, 5,12,Ｅニシノゲイナｰ, 72,江田照, 0.5, 67,   0,* 11, 7, 16.6, ⑨⑩, 5,12, ヴァンダライズ,,林満明,207.6,,,, 6, 26.3,⑥⑦⑤, 5, 7,Ｈコスモグレｰスフル, 72,柴田大, 0.3, 74,* 11,  -4, 4,  7.7,③②②
 6, 8,Ｇオウケンロｰズ, 24,柴田善, 0.7, 49, -26,   3, 6, 26.3,②②②, 6, 4,Ｆセイウンシェンロン, 69,杉原誠, 0.6, 67,  -2,* 12,11, 43.8, ⑪⑪, 6,13, アグネスラナップ,,浜野谷,207.7,,,,10, 41.3,⑤⑤⑥, 6,11,Ｆダブルオｰセブン, 73,田中勝, 0.6, 72,   6,   4, 5,  9.5,⑦⑦⑨
 7, 1,Ｂゴｰルデンヒｰロｰ, 55,三浦皇, 0.7, 54, -30,  12, 1,  1.7,⑥⑦⑤, 7, 3,Ｊシルクオフィサｰ, 66,安藤勝, 0.8, 64,  -3,* 12, 4,  8.2, ⑫⑬, 7, 1, シャイニｰブラック,,熊沢重,207.8,,,, 8, 35.9,⑦⑧⑧, 7, 3,Ｉユウタｰウェｰヴ, 70,江田照, 0.6, 72,   3,* 10,10, 89.5,⑨⑩⑩
 8, 4,Ｄチャｰチル, 48,杉原誠, 0.8, 59, -32,* 16, 4,  7.7,⑧⑧⑧, 8, 6,Ｈセイウンオウサム, 67,武士沢, 0.8, 65,  -2,  10, 6, 16.0, ⑬⑫, 8, 4, スナｰクスペイン,,小坂忠,208.4,,,,13, 84.8,②③③, 8, 4,Ｅオマワリサン, 75,三浦皇, 0.6, 71,   9,  -2, 2,  3.4,⑥⑥⑥
,,,,,,,,,,,, 9,11,Ｎキングダムキング, 62,木幡初, 0.8, 64,   1,   7,10, 38.8, ⑩⑧, 9, 3, マジェスティバイオ,,柴田大,208.4,,,, 1,  1.6,⑫⑩⑨, 9, 8,Ｇアドバンスヘイロｰ, 72,木幡初, 0.9, 68,  10,  -8, 7, 32.1,⑤④④
,,,,,,,,,,,,10,15,Ｄシゲルドリアン, 72,三浦皇, 1.0, 62,   1,   5, 8, 18.3, ⑧⑥,10,14, バシケｰン,,蓑島靖,209.8,,,,12, 76.9,⑭⑫⑪,10,10,Ｋカズノタイショウ, 63,吉田豊, 1.2, 65,   6,  -5,11,109.8,⑧⑧⑧
,,,,,,,,,,,,11,10,Ｌイフノットナウ, 64,大庭和, 1.4, 61,  -5,   9,13,161.2, ⑭⑭,11,11, ボンジュｰルヒカリ,,高野和,213.0,,,,14,211.8,⑩⑪⑩,11, 2,Ｄベルエアメイダン, 75,武士沢, 1.5, 59,* 13, -24, 6, 16.7,①①①
,,,,,,,,,,,,12, 8,Ａデルマエビス, 73,柴田大, 1.5, 57,*  6,  -6, 3,  5.0, ①①,,,,,,,,,,,,,12, 5,Ｌミウラリチャｰド, 60,石神深, 2.8, 49,   2, -18,12,355.9,⑪⑫⑫
,,,,,,,,,,,,13, 2,Ｋサｰストンデンバｰ, 65,田中勝, 1.6, 57,   0,   1, 9, 25.7, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 5,Ｇイｰジｰウイン, 68,小野寺, 2.0, 56,  -7,   7,14,332.8, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 1,Ｏカイカセンゲン, 57,黛弘人, 3.5, 42,   1, -16,15,363.9, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:3,450円 複勝:02=1,550円 06=450円 05=1,460円 枠連:0円",,,,,,,,,,,,単勝:340円 複勝:09=160円 07=160円 13=690円 枠連:340円,,,,,,,,,,,,"単勝:520円 複勝:08=190円 10=300円 07=240円 枠連:1,190円",,,,,,,,,,,,"単勝:3,460円 複勝:12=410円 06=200円 01=730円 枠連:1,890円",,,,,,,,,,,
"馬連:10,000円 ワイド:02-06=2,410円 02-05=3,940円 05-06=2,250円",,,,,,,,,,,,"馬連:730円 ワイド:07-09=360円 09-13=1,830円 07-13=2,120円",,,,,,,,,,,,"馬連:2,310円 ワイド:08-10=750円 07-08=600円 07-10=990円",,,,,,,,,,,,"馬連:6,820円 ワイド:06-12=1,460円 01-12=4,310円 01-06=2,130円",,,,,,,,,,,
"馬単:25,410円 3連複:38,130円 3連単:345,920円",,,,,,,,,,,,"馬単:1,370円 3連複:7,630円 3連単:29,810円",,,,,,,,,,,,"馬単:4,470円 3連複:4,140円 3連単:22,040円",,,,,,,,,,,,"馬単:17,610円 3連複:56,160円 3連単:446,820円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
