12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,高雄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 7,Ｅノｰトゥング, 53,福永祐, 0.1, 56,   3,* -1, 2,  5.7, ⑦⑦, 2, 5,Ｍプロミネントロｰル, 43,川田将, 0.2, 52,* -1,  -7, 5, 10.0,⑤⑤⑥, 2, 6,Ｃシゲルスタｰキング, 76,藤田伸, 0.2, 76,   3,*  9, 1,  3.8,⑨⑨⑥, 2, 8,Ｂアドマイヤセプタｰ, 89,ルメｰ, 0.0, 88,   2,* 13, 1,  4.4, ⑪⑨
 3, 5,Ｉロデム, 46,藤岡佑, 0.3, 52,  -6,*  6,11, 95.2, ⑭⑬, 3, 1,Ｊサウンドデュｰク, 46,和田竜, 0.3, 54,  -5,*  3,13,121.2,⑬⑫⑬, 3, 3,Ｅサダルメリク, 74,古川吉, 0.4, 72,*  5,   5, 5,  9.2,③④②, 3, 5,Ｋシュプリｰムギフト, 81,秋山真, 0.1, 85,   6,   8,12, 39.6, ⑤⑤
 4,15,Ａディｰプジュジュ, 74,太宰啓, 0.5, 55,*  9, -10, 1,  1.7, ②②, 4, 7,Ｃオｰアンジェリｰナ, 56,武豊  , 0.3, 49,*  0, -12, 6, 13.1,①①①, 4, 4,Ｌジェットブリット, 69,川田将, 0.7, 71,   3,   5,11, 62.8,⑥⑦⑧, 4,12,Ｃテイエムオオタカ, 88,藤田伸, 0.1, 84,*  8,   5, 3,  6.1, ②②
 5,12,Ｇドントタッチミｰ, 50,ルメｰ, 0.5, 53,   4,  -5, 3,  7.7, ⑤⑤, 5, 8,Ｈサチゴロウ, 49,酒井学, 0.3, 50,*  0, -11, 1,  3.5,②②②, 5,15,Ｄマルティニｰク, 74,福永祐, 1.1, 69,   3,   3, 8, 19.7,⑩⑩⑫, 5,18,Ｌハナズゴｰル, 81,田辺裕, 0.2, 86,   1,* 12, 7, 13.0, ⑬⑭
 6, 4,Ｌプラネットスコア, 32,川島信, 0.6, 54,*  7,  -9, 7, 33.7, ③③, 6,12,Ｄマイネルオｰドビｰ, 54,松山弘, 0.3, 52,  -5,*  3, 8, 21.8,⑭⑬⑫, 6,12,Ｇエクチュア, 73,田辺裕, 1.1, 69,   3,   5, 4,  6.7,⑭⑪⑩, 6, 6,Ｏジュエルオブナイル, 79,川田将, 0.3, 82,*  7,   4,13, 40.1, ③③
 7,14,Ｎボストンビリｰヴ, 21,和田竜, 0.7, 52,   4,  -7,13,133.1, ⑥⑥, 7,10,Ｇリッチラヴィｰニュ, 49,佐藤哲, 0.3, 52,  -4,  -1, 7, 20.6,⑩⑩⑪, 7, 2,Ｈマヤノオントロジｰ, 71,水口優, 1.1, 70,  -1,* 10,13, 94.0,⑯⑯⑮, 7, 7,Ａオリｰビン, 89,武豊  , 0.3, 83,   3,   8, 4,  9.2, ⑨⑧
 8,11,Ｆマイアリア, 51,菱田裕, 0.7, 49,   0,  -3, 8, 45.1, ⑩⑩, 8, 9,Ｎロｰドファルクス, 27,藤懸貴, 0.4, 53,  -6,*  5,14,190.0,⑫⑭⑭, 8, 7,Ｍブルｰタンザナイト, 68,幸英明, 1.3, 66,   4,  -1, 7, 13.2,④⑥⑦, 8, 2,Ｐグランプリエンゼル, 77,川須栄, 0.3, 83,   5,   7,15, 57.7, ⑦⑦
 9,13,Ｃサｰシスリｰフ, 58,幸英明, 1.1, 48,   6, -13, 4,  9.7, ④④, 9,11,Ｅシンシャ, 53,国分恭, 0.5, 49,  -5,  -2,11, 37.3,⑪⑪⑨, 9, 1,Ｋシゲルリンゴ, 69,高倉稜, 1.6, 66,   1,   4,12, 63.4,⑮⑮⑪, 9,14,Ｄエｰシンホワイティ, 87,松山弘, 0.4, 81,   1,   9, 8, 13.7, ⑫⑪
10, 6,Ｊガッサンプレイ, 43,中舘英, 1.1, 46,   2,  -8, 6, 17.9, ⑧⑧,10,13,Ａヒルノドンカルロ, 57,藤田伸, 0.6, 47,* -1, -12, 2,  4.1,④④④,10,11,Ｏメイショウマルクル, 65,武幸四, 1.8, 69,   1,   1,14,186.2,⑫⑭⑭,10,10,Ｇエｰシンヴァｰゴウ, 84,福永祐, 0.4, 81,*  7,   3, 5,  9.6, ④④
11, 1,Ｄメイショウユウヤケ, 55,国分恭, 1.3, 45,   0,  -8, 9, 70.9, ⑨⑨,11,14,Ｂボロンベルラルｰン, 57,幸英明, 0.9, 45,* -1, -16, 3,  4.2,⑥⑥⑤,11,14,Ｊハワイアンソルト, 70,四位洋, 1.8, 64,   4,  -6, 6, 10.7,⑧⑤⑤,11, 4,Ｅサドンストｰム, 85,勝浦正, 0.5, 81,  -2,* 10, 2,  5.2, ⑯⑮
