12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2500m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝｼｬｲﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
11, 6,Ｉガッテンラヴ, 48,木幡初, 1.8, 44,* -6, -14,10, 43.2, ②②,11, 4,Ｉシャドウ, 50,石橋脩, 2.6, 43,   1, -41, 9, 44.2,⑦⑨⑪,11, 7,Ｏコウヨウゼウス, 50,松岡正, 1.8, 55,  -8,   5,10, 61.6, ⑪⑪,11, 2,Ｈガｰネットチャｰム, 73,三浦皇, 1.1, 69,   8, -10, 6, 14.5,⑬⑬⑬
12, 4,Ｍタケデンサプライズ, 39,津村明, 1.9, 42, -18,  -4,12, 83.4, ⑬⑫,12, 3,Ｄルｰマｰドダイヤ, 60,岩田康, 2.8, 41,  -1, -40,11,110.7,⑨⑭⑬,12, 3,Ｍサｰストンデンバｰ, 59,戸崎圭, 2.0, 53, -19,* 13,15,179.5, ⑮⑮,12,14,Ｂエミｰズパラダイス, 76,戸崎圭, 1.2, 65,* 13, -22, 7, 16.3,③③③
13, 2,Ｎディｰエスデュラン, 38,石橋脩, 2.1, 41, -19,  -5,16,196.0, ⑭⑬,13,11,Ｋチングルマ, 44,山崎亮, 4.0, 35,  -1, -58,14,214.1,⑫⑬⑮,13,13,Ｌドリｰムリｰグ, 60,柴田大, 2.1, 52, -11,   4, 9, 46.6, ⑬⑭,13, 6,Ｃフレイムコｰド, 76,木幡初, 1.3, 63,* 16, -26, 9, 18.5,①①①
14, 3,Ｂステイナイン, 59,丸山元, 2.6, 38, -30,   2, 9, 16.8, ⑯⑮,14,13,Ｏマウントセンス, 34,池崎祐, 4.2, 35,  -3, -54,15,264.4,⑯⑯⑯,14, 4,Ｆスズノライジン, 68,吉田隼, 2.1, 51, -10,   4,12, 82.2, ⑫⑫,14,11,Ｐトルサｰド, 56,丸山元, 1.7, 60,   5, -15,14, 92.0,⑭⑮⑮
15,15,Ｏコスモテイクハｰト, 37,松岡正, 2.6, 37, -17, -11,14, 95.2, ⑫⑭,15, 6,Ｍヒシサマウマ, 41,丸山元, 5.0, 10,   2, -76, 8, 28.2,④⑤⑧,15,15,Ｎフクノツｰル, 54,千葉直, 2.4, 49, -20,  10,16,634.9, ⑯⑯,15,16,Ｏフィｰルザラブ, 57,横山典, 1.8, 59,  12, -26,16,186.2,⑧⑤⑤
16,16,Ｈピｰナツ, 51,三浦皇, 3.4, 28, -30,  -7, 6, 10.9, ⑮⑯,16,16,Ｎティルトザキルト, 37,柴田善, 6.3, -5,*  3, -98,12,136.4,②②⑥,16,12,Ｇプリサイスファイン, 67,木幡初, 4.0, 35,  -3, -20, 5, 14.0, ⑥⑩,16, 7,Ｌハッピｰシャワｰ, 71,後藤浩, 3.5, 43,  12, -49,13, 32.6,⑥⑥⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:不良(指数:21),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:21),,,,,,,,,,,
"単勝:520円 複勝:13=190円 10=240円 11=360円 枠連:1,820円",,,,,,,,,,,,単勝:380円 複勝:14=140円 07=120円 08=230円 枠連:330円,,,,,,,,,,,,"単勝:640円 複勝:05=180円 06=140円 10=140円 枠連:1,120円",,,,,,,,,,,,"単勝:400円 複勝:13=190円 10=650円 09=2,780円 枠連:3,810円",,,,,,,,,,,
"馬連:2,000円 ワイド:10-13=740円 11-13=1,010円 10-11=1,150円",,,,,,,,,,,,馬連:420円 ワイド:07-14=200円 08-14=530円 07-08=420円,,,,,,,,,,,,"馬連:1,020円 ワイド:05-06=480円 05-10=380円 06-10=260円",,,,,,,,,,,,"馬連:5,590円 ワイド:10-13=2,050円 09-13=9,820円 09-10=18,100円",,,,,,,,,,,
"馬単:3,810円 3連複:5,490円 3連単:25,900円",,,,,,,,,,,,"馬単:1,050円 3連複:1,310円 3連単:6,080円",,,,,,,,,,,,"馬単:2,310円 3連複:1,260円 3連単:7,850円",,,,,,,,,,,,"馬単:8,700円 3連複:220,280円 3連単:1,061,060円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,館山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｌオｰタムカラｰ, 47,蛯名正,, 64,  -2,*  5, 6, 14.7,⑧⑧⑥, 1, 6, グランラファル,---,後藤浩,, 57, -19,* 17, 8, 22.5,⑮⑫⑫, 1, 6,Ｃアドマイヤラクティ, 83,岩田康,, 81,  -1,* 11, 1,  2.0,⑥⑤⑤, 1, 2,Ｂエイコオウイング, 74,横山典,, 77,   3,  10, 1,  3.3, ③②
