12年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
 3, 9,Ｇヨシｰルストｰム, 58,松岡正, 0.4, 55,* -3,   2, 8, 39.8,⑤③③, 3, 4, キングアドバンス,---,北村宏, 0.4, 50, -14,*  2, 7, 25.7, ⑨⑨, 3,18,Ｃパイクスピｰク, 69,田中博, 0.2, 66,  -4,   2, 5, 10.1,   , 3,11,Ｋフライングバルｰン, 67,嶋田純, 0.4, 70,*  7,  -5, 5, 18.0, ⑤④
 4,11,Ｂナイトホｰクス, 65,内田博, 0.5, 55,* -2,   0, 1,  1.8,②②②, 4,15, ネクタルブルｰ,---,松岡正, 1.1, 45,* -4, -13, 6, 22.1, ③③, 4,13,Ｂユキノアイオロス, 69,田辺裕, 0.4, 63,  -4,  -1, 3,  5.3,   , 4,16,Ｄバトルシュリイマン, 70,杉原誠, 0.4, 70,*  8,  -8, 4, 14.5, ①①
 5, 5,Ｆゼンノグライム, 61,嶋田純, 0.5, 55,  -5,   5, 6, 20.3,⑥⑧⑥, 5,12, コスモデスタン,---,内田博, 1.1, 45, -11,  -6, 5, 10.6, ⑦⑦, 5, 4,Ｎバトルデｰオ, 54,石橋脩, 0.5, 64, -15,   5,14, 54.6,   , 5,18,Ｆメイブリｰズ, 69,柴田善, 0.4, 71,   0,*  7, 7, 19.6, ⑭⑮
 6, 4,Ｉディアハンタｰ, 54,丸田恭, 0.7, 53,  -3,   1,12,164.5,③④④, 6, 2, スピリットレイク,---,石橋脩, 1.4, 43,* -2, -18, 2,  7.2, ①①, 6, 9,Ｋトップモデル, 60,松岡正, 0.5, 63,  -4,  -2, 1,  3.9,   , 6, 4,Ｉマイネルマルシェ, 68,柴田大, 0.6, 71,   5,  -3, 6, 19.4, ⑥⑥
 7,15,Ｊメイショウイチフジ, 53,中谷雄, 0.8, 57,  -5,   2, 5, 14.9,⑩⑥⑤, 7,10, ジェファｰソン,---,西田雄, 2.1, 36, -15, -12,12,194.4, ⑩⑩, 7,10,Ｈミスネバｰ, 64,武士沢, 0.5, 61, -15,   5,11, 38.0,   , 7,15,Ａフルアクセル, 79,内田博, 0.6, 70,  -1,*  7, 1,  2.4, ⑰⑰
 8, 1,Ｃマイネルレｰサｰ, 64,柴田大, 1.4, 50,  -5,  -3, 2,  5.2,⑦⑨⑨, 8,11, スｰパｰアｰス,---,江田照, 2.3, 34,  -7, -20, 3,  7.7, ⑤⑤, 8, 7,Ｒニケ, 44,嶋田純, 0.5, 62, -17,*  6,10, 37.2,   , 8,17,Ｇスタｰトセンス, 68,吉田豊, 0.6, 69,   0,*  4,12, 77.2, ⑯⑯
 9, 8,Ｈレイナデアブリル, 55,北村宏, 1.6, 46,  -5,  -5,10, 68.7,⑬⑦⑦, 9, 9, マイネルエウロス,---,柴田大, 2.3, 34, -22,  -7, 9, 75.5, ⑬⑫, 9, 2,Ｅサクラブライト, 66,蛯名正, 0.6, 60,*  6, -10, 4,  8.6,   , 9, 2,Ｈマルタｰズタイム, 68,武士沢, 0.6, 67,   1,   1,18,269.5, ⑮⑬
10,12,Ｍスタｰマックス, 50,西田雄, 1.7, 49,  -7,  -1,14,271.2,⑭⑬⑬,10, 5, メニｰナドソル,---,杉原誠, 2.3, 36, -10, -17,14,285.2, ⑥⑥,10, 8,Ｌスナン, 60,北村宏, 0.8, 57,  -8,  -3,12, 42.6,   ,10,14,Ｊミッキｰシャイン, 68,田辺裕, 0.8, 66,   6,  -8, 3,  5.9, ⑨⑦
11, 3,Ｎウインブランシュ, 50,江田照, 1.8, 44,* -2, -12,11, 88.0,①①①,11, 3, テロワｰル,---,嶋田純, 2.6, 32, -33,*  2,13,270.8, ⑭⑭,11, 6,Ｇヤマノグラス, 64,西村太, 0.8, 56,*  0,  -9,16,100.1,   ,11,12,Ｍバンダムクラウス, 65,石神深, 0.9, 66,  -3,*  4,14,179.2, ⑱⑱
12, 7,Ｏシュクハイ, 50,杉原誠, 1.8, 49,  -9,   1,13,242.4,⑪⑭⑭,12, 7, ギンザスティｰブ,---,丸田恭, 2.9, 29, -12, -21, 8, 38.1, ⑧⑧,12,16,Ｆバｰジンロｰド, 65,江田照, 0.9, 56, -27,*  7, 9, 31.5,   ,12,13,Ｎラインロバｰト, 63,松岡正, 1.2, 63,*  8, -19, 9, 33.4, ②②
13, 6,Ｅサｰストンアリオン, 61,蛯名正, 1.9, 48,  -7,  -2, 7, 23.4,⑫⑫⑫,13,14, グリｰンヴィジョン,---,山崎亮, 2.9, 29, -20, -14,15,398.2, ⑫⑬,13,17,Ｏクラウンハッピｰ, 53,中舘英, 1.0, 55, -15,  -2, 8, 24.7,   ,13, 9,Ｃエフティシュタルク, 73,蛯名正, 1.2, 60,   5, -16, 8, 21.0, ④⑤
14, 2,Ｋトウカイライト, 53,武士沢, 2.0, 50,  -9,   1,15,442.0,⑮⑮⑮,14, 1, クライバｰ,---,吉田豊, 3.2, 26, -36,  -1,10, 90.1, ⑮⑮,14, 1,Ｄタイセイクライマｰ, 68,丸田恭, 1.1, 51,  -4, -10,15, 66.4,   ,14, 1,Ｒケイアイアルテミス, 58,江田照, 1.3, 60,   4, -12,11, 61.4, ⑫⑩
15,13,Ｌファイアｰアゲン, 51,西村太, 2.6, 39,  -4, -15, 9, 56.5,④⑤⑧,15,13, ポタラカ,---,中谷雄, 4.6, 17,* -2, -44,11,104.5, ②②,15,11,Ｐレイズオブザサン, 46,吉田豊, 1.1, 54, -33,*  9,13, 53.2,   ,15, 5,Ｌラブミｰニキｰタ, 65,山崎亮, 1.4, 58,   1, -11,15,190.2, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｍキタルファ, 58,柴田大, 1.2, 52, -20,  -1,17,132.0,   ,16, 8,Ｑアルファジョイｰ, 58,西村太, 1.8, 54,   4, -22,17,262.8, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｊサトノヴィクトリア, 61,田中勝, 1.4, 48,*  4, -20, 6, 14.0,   ,17,10,Ｐアセント, 61,田中博, 2.2, 50,   2, -21,16,259.2, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｑアイランズギフト, 45,中谷雄, 1.6, 44, -19,  -8,18,175.2,   ,18, 6,Ｏコアヨカ, 62,原田和, 2.6, 45,   3, -31,13,146.0, ⑩⑪
