12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｭﾍﾞﾅｲﾙﾌｨﾘｰｽﾞ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｉホッコｰジョイフル, 46,飯田祐,, 65,   8,  -5, 8, 37.7, ⑤④, 1, 6, サトノキングリｰ,---,デムｰ,, 61,   0,* -5, 2,  3.0, ⑪⑩, 1, 8,Ｃキクノフレヴァン, 79,幸英明,, 82,  12,*  8, 2,  3.4, ⑥④, 1, 1,Ｃロｰブティサｰジュ, 74,秋山真,, 77,  21,*-15, 5,  8.1, ⑩⑧
 2,12,Ｂナムラバクサイ, 59,福永祐, 0.0, 65,   7,* -4, 1,  2.0, ⑥⑥, 2, 8, リヤンドファミユ,---,川田将, 0.0, 64,   1,* -7, 1,  1.6, ⑧⑧, 2, 9,Ｈキンシザイル, 73,浜中俊, 0.0, 83,* 15,   6, 4, 13.7, ②②, 2, 7,Ｊクロフネサプライズ, 64,柴山雄, 0.0, 76,* 25, -22,15, 89.9, ②②
 3,14,Ｃメイショウラムダ, 55,花田大, 0.7, 60,* 10, -13, 4, 11.2, ④③, 3,11, シｰクレットレシピ,---,四位洋, 0.6, 56,   3, -18, 3, 13.7, ⑤⑥, 3, 4,Ｂトップフライアｰ, 79,水口優, 0.0, 83,* 17,   4, 7, 17.2, ①①, 3,10,Ｒレッドセシリア, 44,三浦皇, 0.1, 78,  19,*-11,10, 44.5, ⑮⑯
 4,11,Ｅヒミノコンドル, 54,藤岡佑, 1.2, 53,  -3,* -1, 5, 13.0, ⑬⑫, 4,12, エｰシンマイェスタ,---,浜中俊, 0.9, 53,*  5, -29, 4, 14.6, ①①, 4,13,Ｇゴッドツェッペリン, 73,太宰啓, 0.5, 78,  11,   5, 1,  2.7, ⑦⑦, 4, 6,Ｂコレクタｰアイテム, 74,浜中俊, 0.2, 74,  19,*-16, 1,  2.9, ⑪⑬
 5, 6,Ｇガッサンプレイ, 48,丸山元, 1.2, 57,* 11, -18, 7, 16.6, ②②, 5, 5, スズカカイゼル,---,国分優, 0.9, 54,   3, -24,10,165.8, ⑥④, 5, 3,Ｉワイキキブリｰズ, 72,川島信, 0.7, 74,   8,   5,11, 33.9, ⑧⑨, 5,14,Ｋカラフルブラッサム, 63,和田竜, 0.3, 74,  15,*-10, 7, 17.5, ⑰⑱
 6, 3,Ｋペプチドマンボウ, 43,和田竜, 1.2, 54,   0,  -5,12,149.2, ⑫⑪, 6, 1, マコトエクサルシス,---,国分恭, 1.3, 50,   1, -26, 7, 60.4, ⑨⑦, 6,11,Ｅツリｰズオブホｰプ, 74,国分優, 0.7, 73,   5,*  9, 6, 15.0, ⑫⑫, 6, 5,Ｄプリンセスジャック, 72,福永祐, 0.5, 72,  21, -21, 6, 15.1, ⑨⑪
 7,10,Ｈメイショウオトワカ, 47,武幸四, 1.3, 56,   1,  -7, 3,  7.8, ⑩⑩, 7, 7, サンマルジュエリｰ,---,和田竜, 1.4, 48,*  4, -35, 9,113.0, ③②, 7, 6,Ｏエｰシンユリシｰズ, 47,福永祐, 1.0, 70,   6,   5, 8, 22.1, ⑩⑩, 7,18,Ｇアユサン, 70,丸山元, 0.6, 69,  21, -23, 4,  7.4, ⑯⑫
 8, 7,Ｄリバイバルワンダｰ, 54,柴山雄, 1.9, 48,   5, -17, 9, 49.9, ⑧⑦, 8, 9, アヴェンタドｰル,---,福永祐, 1.8, 45,   0, -30, 5, 16.2, ⑦⑨, 8, 2,Ｄスマイリングムｰン, 74,川田将, 1.2, 71,  12,  -2, 9, 28.3, ⑤③, 8, 8,Ｅサンブルエミュｰズ, 70,津村明, 0.8, 68,  22, -28, 2,  5.9, ⑦⑥
