12年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 4日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9, 3,Ｂメイクイｰン, 58,山崎亮, 2.5,,,, 4,  7.7,⑪⑪⑨, 9,13,Ｆエｰシングランダム, 57,吉田豊, 1.0, 54, -19,   5, 2,  5.5,⑪⑪⑪, 9, 2,Ｈキクノフレヴァン, 66,川須栄, 0.7,,,, 2,  5.1, ①①, 9, 9,Ｈノボリドリｰム, 66,幸英明, 0.6, 69,   3,   7, 9, 32.5, ⑦⑥
10, 7,Ｈアラビアンパｰル, 52,藤懸貴, 2.7,,,,14,161.5,⑮⑭⑫,10,11,Ｊホッコｰキンツル, 48,村田一, 1.1, 54, -16,   0,14,158.3,⑨⑨⑨,10,10,Ｍトキノライジン, 60,山崎亮, 1.2,,,,13,116.4, ⑬⑬,10, 5,Ｉフィロパトｰル, 66,宮崎北, 0.6, 67,*  6,   1, 8, 28.1, ③③
11, 6,Ｍクレｰルドリュヌ, 44,川須栄, 3.3,,,, 6, 14.7,⑦⑤⑤,11, 8,Ｄベルエアメイダン, 57,鮫島良, 1.2, 56, -20,   5, 8, 28.6,⑮⑮⑭,11,16,Ｋグリｰンファイヤｰ, 63,杉原誠, 1.2,,,,10, 18.6, ⑤⑤,11,13,Ｑロｰレルエナジｰ, 52,松田大, 0.8, 66,  -4,  12,11, 53.5, ⑫⑭
12,14, サフィニアｰト,---,西田雄, 4.1,,,,15,185.4,⑩⑨⑩,12,12,Ｇサンクフルネス, 56,吉田隼, 1.2, 55, -19,   4, 7, 24.2,⑬⑬⑬,12,15,Ｊマルタｰズブレｰヴ, 64,西田雄, 1.2,,,,14,153.2, ⑭⑭,12,11,Ｏビッグプレゼンタｰ, 55,西村太, 0.9, 65,  -1,   7,17,205.1, ⑩⑪
13,13,Ｏスリｰセシｰル, -9,菱田裕, 4.3,,,,16,191.8,⑯⑯⑯,12,16,Ｎモンハピネス, 45,柴山雄, 1.2, 53, -13,  -5,15,275.4,⑦⑥⑥,13, 9,Ｎラブコマドリｰ, 58,伊藤工, 1.7,,,,15,188.1, ②②,13,18,Ｋピュアソウル, 63,福永祐, 1.0, 66,  -3,  11, 4,  8.4, ⑮⑮
14,11,Ｉダｰクアイリス, 50,古川吉, 4.6,,,, 7, 15.1,②④⑦,14, 1,Ｉフォルトファｰレン, 53,藤岡康, 1.8, 47, -19,  -5, 6, 16.4,⑫⑫⑫,14, 7,Ｐメイショウホロベツ, 45,鮫島良, 1.8,,,,12, 79.7, ⑨⑪,14, 6,Ｄフライングバルｰン, 67,上村洋, 1.4, 60,  -6,   7, 7, 14.1, ⑭⑯
15,10,Ｌクレバｰインパクト, 46,丹内祐, 5.4,,,,12, 63.1,⑭⑮⑭,15, 6,Ｐトップイｰジス, 30,幸英明, 1.8, 48, -23,   1,12,124.4,⑯⑯⑯,15, 8,Ｉエナジｰハｰト, 66,吉田隼, 1.9,,,, 1,  4.2, ⑦⑨,15, 4,Ｎダンツレアリティ, 56,高倉稜, 1.8, 56,  -9,   6,15,160.0, ⑰⑱
16,16,Ｇトミケンアバンセ, 55,藤岡康, 7.2,,,,13,134.3,③⑩⑮,16, 2,Ｏギルデッドフレｰム, 39,森一馬, 2.4, 40, -21,  -9,16,356.0,⑭⑭⑮,16,14,Ｏコウエイキング, 57,太宰啓, 2.0,,,,16,226.7, ⑫⑫,16,14,Ｐクリｰンチャンス, 54,太宰啓, 2.1, 50,  -3,  -7,16,168.1, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｍシルクティソナ, 60,的場勇, 2.3, 48,*  9, -23,14,115.1, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 1, オカノビジン,---,丸野勝, 4.1, 30, -10, -21,18,208.1, ⑱⑰
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,
"単勝:570円 複勝:02=210円 12=140円 15=1,030円 枠連:600円",,,,,,,,,,,,"単勝:1,410円 複勝:03=500円 10=1,000円 09=250円 枠連:2,900円",,,,,,,,,,,,"単勝:1,470円 複勝:13=410円 12=330円 04=360円 枠連:2,550円",,,,,,,,,,,,"単勝:1,000円 複勝:12=290円 17=850円 10=170円 枠連:2,680円",,,,,,,,,,,
"馬連:880円 ワイド:02-12=440円 02-15=5,490円 12-15=3,160円",,,,,,,,,,,,"馬連:20,480円 ワイド:03-10=4,450円 03-09=1,620円 09-10=3,120円",,,,,,,,,,,,"馬連:4,530円 ワイド:12-13=1,290円 04-13=2,330円 04-12=1,580円",,,,,,,,,,,,"馬連:20,430円 ワイド:12-17=4,710円 10-12=590円 10-17=2,230円",,,,,,,,,,,
"馬単:2,300円 3連複:23,810円 3連単:99,160円",,,,,,,,,,,,"馬単:41,730円 3連複:39,480円 3連単:251,750円",,,,,,,,,,,,"馬単:11,200円 3連複:13,880円 3連単:99,860円",,,,,,,,,,,,"馬単:34,730円 3連複:16,800円 3連単:145,040円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂスズカルパン, 64,花田大,,,,, 1,  2.7,⑥⑦⑤, 1, 1,Ａラフアウェイ, 75,吉田隼,,,,, 1,  2.8, ①①, 1,13,Ｃヒラボクビクトリｰ, 74,福永祐,, 76,* 14,*  6, 2,  3.1,⑥⑥⑤, 1,11,Ｋスマｰトギア, 84,松山弘,, 87,  -2,* 19, 6, 13.7,⑦⑦⑦
 2, 7,Ｅニライジンク, 59,松山弘, 0.0,,,, 6, 12.5,①①①, 2,12,Ｅヴィクトリｰマｰチ, 71,武幸四, 0.1,,,, 3,  5.5, ⑥⑥, 2, 7,Ｅトウシンヤマト, 72,川須栄, 0.2, 74,  13,*  5, 4, 11.8,⑩⑦⑦, 2, 3,Ｄダンツホウテイ, 87,吉田豊, 0.3, 82,  -3,* 18, 9, 14.2,⑧⑧⑨
 3, 5,Ｎヤマニンエクセラン, 35,柴山雄, 0.5,,,, 5, 12.1,③⑥④, 3,15,Ｃミエノグレｰス, 72,福永祐, 0.5,,,, 2,  3.6, ⑭⑮, 3,17,Ｄクリｰンメタボ, 73,太宰啓, 0.2, 72,  10,* 11, 9, 27.3,⑰⑯⑯, 3,17,Ｂダノンバラｰド, 88,福永祐, 0.4, 84,  -3,* 18, 1,  2.9,⑨⑩⑩
 4, 3,Ｃエｰシンハッブル, 61,川須栄, 0.8,,,, 3,  4.7,⑨⑩⑩, 4, 2,Ｉピュアマインド, 65,川須栄, 0.5,,,, 8, 26.7, ⑫⑩, 4, 9,Ｎヤマニンアｰマｰ, 63,松山弘, 0.3, 73,  13,   3,11, 49.4,⑤⑤⑥, 4, 5,Ｇヒットザタｰゲット, 84,太宰啓, 0.4, 83,  -3,* 19, 5, 12.6,⑩⑪⑪
 5,10,Ｏパトス, 32,水口優, 0.9,,,, 7, 20.2,②②②, 5,14,Ｍブランシェｰル, 57,丸田恭, 0.6,,,, 9, 40.9, ②②, 5,11,Ｋワンダｰアｰムフル, 68,黛弘人, 0.4, 71,* 14,  -2,13, 68.4,④④④, 5,16,Ｆエｰシンジｰライン, 85,川須栄, 0.7, 73,*  2,  -1, 7, 13.9,①①①
 6,11,Ｆソｰドブレイカｰ, 59,福永祐, 1.2,,,, 4,  5.6,⑫⑨⑨, 6, 8,Ｌデステニｰアロｰ, 60,宮崎北, 0.6,,,,11, 54.9, ⑪⑪, 6,12,Ｊダンシングムｰン, 69,田中博, 0.4, 73,  12,*  6, 7, 24.1,⑮⑬⑬, 6, 4,Ａコロンバスサｰクル, 89,柴山雄, 0.7, 77,   0,   8, 4, 12.5,④⑥⑤
 7, 1,Ｉロトスカイハイ, 52,大野拓, 1.3,,,,13,202.2,⑪⑫⑫, 7, 9,Ｇオンザスロｰン, 67,大野拓, 0.7,,,,15,138.9, ⑮⑬, 7, 4,Ａダノンフェニックス, 82,藤岡康, 0.6, 70,* 15,  -5, 1,  2.6,③②②, 7,15,Ｍセイカアレグロ, 83,伊藤工, 0.9, 73,*  1,   2,17,164.2,⑥④④
 8, 8,Ａダッシュファイアｰ, 66,山崎亮, 1.7,,,, 2,  4.7,⑩⑭⑬, 8, 3,Ｄオルレアンノオトメ, 72,西田雄, 0.7,,,, 5, 12.4, ⑦⑧, 8, 5,Ｌカシマパフュｰム, 66,西田雄, 0.6, 71,  12,   3,12, 66.8,⑪⑪⑪, 8, 7,Ｉオｰルアズワン, 84,村田一, 0.9, 79,  -6,* 17,14, 66.0,⑮⑮⑮
 9, 9,Ｄレジェンドスズラン, 60,丸田恭, 1.8,,,, 8, 43.0,⑬⑮⑮, 9, 7,Ｈカノヤキャプテン, 65,太宰啓, 1.5,,,,14,100.9, ③③, 9,15,Ｆクリノメダリスト, 72,杉原誠, 0.6, 70,  10,*  5,15,127.7,⑭⑮⑮, 9,13,Ｈダノンスパシｰバ, 84,藤岡康, 0.9, 79,  -5,  15, 3,  7.0,⑫⑫⑭
10, 2,Ｈニシノブンブンマル, 54,村田一, 1.9,,,,10, 90.5,⑮⑤⑦,10,10,Ｆイグナイトカフェ, 68,横山和, 1.7,,,, 4, 11.1, ⑤⑤,10,14,Ｈジョンブルクリス, 70,吉田豊, 0.7, 66,* 16, -10, 6, 23.8,①①①,10, 8,Ｏシンメイフジ, 80,古川吉, 1.0, 74,   0,   4,11, 28.9,⑤⑤⑥
11, 6,Ｇユウキタカラオｰ, 59,菅原隆, 2.0,,,, 9, 70.8,⑦⑪⑪,11,13,Ｂミニｰバロｰズ, 73,幸英明, 1.7,,,, 7, 16.4, ⑧⑨,11, 8,Ｑクレバｰロッシｰ, 59,丹内祐, 0.7, 70,* 15,  -6,10, 38.4,②③③,11,14,Ｅメイショウカンパク, 87,吉田隼, 1.0, 79,  -6,  16, 8, 14.0,⑯⑯⑯
12,13,Ｍスノｰビアンコ, 41,横山和, 2.0,,,,15,438.9,④⑧⑧,12,11,Ｎプランシングレディ, 56,田中博, 1.7,,,,16,310.0, ④④,12, 1,Ｉクレバｰキング, 70,高倉稜, 0.8, 68,  10,   3, 5, 15.0,⑬⑭⑭,12,12,Ｑリッツィｰスタｰ, 75,宮崎北, 1.1, 76,  -5,  10,12, 35.8,⑬⑬⑬
13,15,Ｊラストツヨシ, 52,嘉藤貴, 2.6,,,,11,135.0,⑤③③,13,16,Ｋクリンゲルベルガｰ, 61,村田一, 1.8,,,,13, 95.1, ⑯⑯,13,10,Ｂナンヨｰストロング, 74,幸英明, 0.8, 67,  13,  -3, 3,  7.7,⑧⑧⑧,13, 2,Ｌマイネルスタｰリｰ, 83,幸英明, 1.2, 74,  -4,   9,10, 26.2,⑭⑭⑫
14,14,Ｌクｰノ, 44,高倉稜, 3.0,,,,14,433.7,⑭⑬⑭,14, 6,Ｊサンタンジェロ, 63,吉田豊, 2.5,,,, 6, 15.1, ⑬⑭,14,18,Ｒマｰニｰ, 57,横山和, 0.8, 69,  12,   0,17,187.7,⑫⑫⑫,14,10,Ｊアクシオン, 84,田中博, 1.3, 75,  -7,  13,13, 52.0,⑰⑰⑰
15,12,Ｋトルｰマン, 48,田中博, 4.1,,,,12,178.6,⑧④⑥,15, 4,Ｐクイｰンザリッチ, 50,高倉稜, 2.9,,,,10, 53.9, ⑩⑦,15, 6,Ｐキャニオンシンザン, 61,原田和, 0.8, 67,  11,   0,18,324.0,⑦⑩⑩,15, 1,Ｃコスモファントム, 88,大野拓, 1.8, 62,*  1, -12, 2,  6.2,②②②
,,,,,,,,,,,,16, 5,Ｏフィッシュザビｰト, 54,平野優, 6.6,,,,12, 82.2, ⑨⑫,16, 3,Ｍタガノキズナ, 65,松田大, 0.8, 68,  10,   2, 8, 26.3,⑱⑰⑰,16, 9,Ｐイケドラゴン, 80,上村洋, 1.9, 60,*  1, -15,16,123.2,③③③
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｇマイネルダウザｰ, 71,伊藤工, 1.2, 64,  13,  -9,14,123.6,⑨⑨⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｏフｰガフュｰグ, 61,柴山雄, 1.7, 60,   9,  -6,16,164.0,⑯⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,
単勝:270円 複勝:04=150円 07=310円 05=350円 枠連:940円,,,,,,,,,,,,単勝:280円 複勝:01=150円 12=160円 15=150円 枠連:820円,,,,,,,,,,,,"単勝:310円 複勝:13=190円 07=310円 17=460円 枠連:1,030円",,,,,,,,,,,,"単勝:1,370円 複勝:11=370円 03=360円 17=150円 枠連:2,830円",,,,,,,,,,,
"馬連:1,640円 ワイド:04-07=600円 04-05=640円 05-07=1,400円",,,,,,,,,,,,馬連:830円 ワイド:01-12=360円 01-15=240円 12-15=370円,,,,,,,,,,,,"馬連:2,010円 ワイド:07-13=750円 13-17=1,870円 07-17=3,410円",,,,,,,,,,,,"馬連:5,510円 ワイド:03-11=1,540円 11-17=780円 03-17=960円",,,,,,,,,,,
"馬単:2,730円 3連複:5,640円 3連単:27,470円",,,,,,,,,,,,"馬単:1,530円 3連複:970円 3連単:5,080円",,,,,,,,,,,,"馬単:3,170円 3連複:14,090円 3連単:49,120円",,,,,,,,,,,,"馬単:12,230円 3連複:6,690円 3連単:54,410円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1200m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾊﾟﾉﾗﾏﾋﾞｭｰｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅマスクオフ, 63,川須栄,, 65,  -2,* 12, 1,  2.9, ⑬⑫, 1,10,Ｄダノンフィｰバｰ, 74,川須栄,,,,, 1,  2.4,②②②, 1, 2,Ｇタイキルネサンス, 70,吉田隼,,,,, 7, 15.2, ③③, 1, 1,Ａダイメイザクラ, 77,嘉藤貴,, 70,  -4,   4, 1,  3.8, ⑤⑤
 2,18,Ｂタマモトッププレイ, 68,福永祐, 0.1, 62,  -3,*  8, 3,  6.5, ⑪⑪, 2, 5,Ｂキクノキセキ, 75,幸英明, 0.3,,,, 2,  3.5,①①①, 2, 1,Ｆリズミックビｰト, 71,太宰啓, 0.3,,,, 4,  6.9, ⑪⑪, 2,18,Ｂアルマリンピア, 77,吉田豊, 0.0, 69, -10,   9, 7, 12.4, ⑨⑨
 3,17,Ｇバｰニングジｰル, 62,吉田隼, 0.2, 62,   1,   4, 8, 14.1, ⑥⑧, 3, 3,Ｊアドマイヤジャコモ, 66,福永祐, 0.3,,,, 5, 13.0,⑧⑧⑦, 3, 3,Ｂデュアルサクセス, 75,福永祐, 0.5,,,, 1,  3.7, ⑦⑥, 3,14,Ｅリュンヌ, 74,高倉稜, 0.1, 68,*  2,  -4, 6, 12.0, ①①
 4, 5,Ａラニカイツヨシ, 68,上村洋, 0.2, 62,  -1,   6, 2,  5.2, ⑨⑨, 4,11,Ｋマンボダンサｰ, 65,藤岡康, 0.5,,,,12, 74.0,⑦⑦⑧, 4,16,Ｋメイショウマレンゴ, 60,松田大, 0.8,,,,13, 66.3, ②②, 4, 4,Ｄグレナディｰン, 75,幸英明, 0.2, 67, -10,   6, 2,  6.0, ⑧⑧
 5, 7,Ｃディアイレイザｰ, 67,吉田豊, 0.3, 59,  -3,*  7, 9, 16.1, ⑩⑬, 5, 1,Ａコスモイフリｰト, 77,吉田隼, 0.6,,,, 3,  7.4,⑥⑥⑥, 5,12,Ｃネグレスコ, 73,丸田恭, 0.8,,,, 2,  4.5, ⑫⑫, 5,11,Ｊブルｰムｰンピサ, 71,福永祐, 0.2, 68, -15,* 11, 4,  9.1, ⑮⑬
 6, 4,Ｄクラウンエンビｰ, 67,幸英明, 0.3, 60,*  4,  -1, 6, 12.9, ⑤④, 6, 8,Ｇスタｰサイクル, 72,菅原隆, 0.6,,,,13, 99.9,⑨⑪⑪, 6,11,Ｄコスモイルダｰナ, 72,丹内祐, 0.8,,,, 3,  4.9, ④④, 6, 6,Ｉシュプリｰムギフト, 72,川須栄, 0.2, 68, -14,  10, 3,  6.3, ⑪⑫
 7, 1,Ｉツキミハナミ, 59,太宰啓, 0.5, 57,  -2,   4, 5,  9.9, ⑫⑩, 7, 4,Ｉアポロストｰム, 69,丹内祐, 0.8,,,,10, 35.1,⑤⑤④, 7, 4,Ａシャイニｰベスト, 75,大野拓, 1.1,,,, 5, 10.5, ⑩⑨, 7,16,Ｈアンフィルｰジュ, 72,藤岡康, 0.3, 66, -11,   6, 8, 12.4, ⑫⑩
 8, 9,Ｋベネフィットユｰ, 53,松山弘, 0.5, 59,  -6,*  9,12,106.0, ⑱⑱, 8, 9,Ｃクオリティタイム, 74,太宰啓, 0.9,,,, 7, 24.3,⑭⑫⑫, 8,15,Ｍニイハオジュウクン, 59,武幸四, 1.2,,,,11, 47.8, ⑥⑤, 8, 7,Ｑトップルビｰ, 67,鮫島良, 0.4, 68, -23,* 17,14, 72.1, ⑯⑰
 9,14,Ｊハナズルナピエナ, 56,高倉稜, 0.5, 58,*  5,  -5, 4,  8.6, ②③, 9, 2,Ｆマルタｰズカイト, 74,柴山雄, 1.0,,,, 6, 15.9,③③③, 9, 8,Ｉシャイニングカラｰ, 67,川須栄, 1.4,,,, 6, 14.4, ⑧⑧, 9,15,Ｎメイショウバレｰヌ, 68,田中博, 0.4, 67, -20,* 14,16, 91.3, ⑰⑯
10,16,Ｍリトルビッグマン, 43,宮崎北, 0.6, 57,   3,  -4,11, 88.3, ④⑤,10, 6,Ｈメイショウリバｰ, 71,鮫島良, 1.1,,,, 4, 11.6,⑪⑩⑩,10,10,Ｈゴｰルドサムソン, 68,松山弘, 1.7,,,,10, 41.0, ⑯⑯,10, 9,Ｆトウカイセレブ, 73,松山弘, 0.6, 64, -17,   9, 5, 10.9, ⑭⑮
11,10,Ｆエｰティｰオヤブン, 62,水口優, 0.6, 55,*  6,  -9, 7, 13.9, ①①,11,12,Ｅドリｰムネイチヤｰ, 74,松山弘, 1.6,,,, 8, 25.7,⑩⑨⑨,11, 6,Ｏセルリアンディンゴ, 44,幸英明, 1.9,,,, 8, 26.8, ⑭⑭,11,17,Ｌシチリアｰナ, 70,西田雄, 0.7, 61, -15,   5,15, 86.7, ⑬⑭
12,12, ルクドゥフｰドル,---,鮫島良, 0.9, 54,  -6,   5,13,123.7, ⑰⑰,12,13,Ｎシンワハｰツクライ, 51,高倉稜, 2.3,,,,11, 47.0,⑮⑬⑬,12, 9,Ｐフレンドチャンス, 23,横山和, 1.9,,,,16,190.9, ⑮⑮,12, 5,Ｋフラッパｰミク, 70,杉原誠, 0.7, 60,* -2,  -8,13, 64.3, ③③
13, 3,Ｏテイエムブルｰミン, 34,中井裕, 0.9, 53,   1,  -5,15,166.4, ⑦⑦,13,14,Ｍシルクエスティｰム, 59,西田雄, 2.6,,,,14,187.8,⑬⑮⑭,13,14,Ｅカフェキングアイ, 72,杉原誠, 2.0,,,,14, 75.6, ⑬⑬,13, 3,Ｃチェリｰビスティｰ, 75,武幸四, 0.7, 62, -13,   4, 9, 16.4, ⑩⑪
14, 8,Ｌリバｰデュランダル, 51,西田雄, 0.9, 56,   3,  -5,14,144.5, ⑧⑥,14, 7,Ｌミスタｰルイス, 60,大野拓, 2.7,,,, 9, 30.6,④④⑤,14, 5,Ｎナガレボシイチバン, 58,平野優, 2.1,,,,15, 98.9, ⑤⑦,14,10,Ｏミヤジメｰテル, 68,太宰啓, 0.9, 56,* -1, -12,18,194.3, ②②
