12年10月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9, 3,Ｋサンミッシェル, 32,国分優, 1.7, 39,  -2,  -9, 8, 40.6, ⑥⑦,,,,,,,,,,,,, 9,17,Ｋシルクヴェリタス, 55,熊沢重, 1.1, 69,   8, -13,11,154.2, ⑫⑩, 9,12,Ｌニンジャ, 73,鮫島良, 0.9, 76,  -5,* 11, 6, 12.6, ⑮⑫
10, 7,Ｊエンブレムゴｰル, 34,小坂忠, 2.1, 33,  -8,  -6,12,135.2, ⑫⑫,,,,,,,,,,,,,10, 4,Ｃミサソレムニス, 75,川田将, 1.2, 70,   2,* -1, 4, 14.8, ⑱⑰,10, 8,Ｅトｰホウシンバル, 79,太宰啓, 0.9, 75,  -4,  10,14,177.7, ⑪⑬
11, 5,Ｉヤマニンエトレンヌ, 37,熊沢重, 2.1, 38,   3, -17,11, 68.6, ④④,,,,,,,,,,,,,11, 6,Ｈロｰズリパブリック, 69,川須栄, 1.8, 60,   9, -26, 9, 51.0, ⑤⑧,11,14,Ｍエトピリカ, 73,高倉稜, 1.1, 73,  -7,  10,10, 64.2, ⑭⑮
12, 9,Ｎハｰフウェイ, 22,鮫島良, 2.1, 36,  -9,  -4,15,313.5, ⑬⑬,,,,,,,,,,,,,12,11,Ｍメイショウスリラｰ, 54,森一馬, 2.4, 54,   6, -28,16,365.3, ⑬⑭,12,16,Ｇウインバンディエラ, 75,秋山真, 1.1, 73,  -4,   8,13,140.0, ⑫⑪
13,12,Ｃアッピアス, 46,浜中俊, 2.1, 34,  -5,  -9, 2,  3.6, ⑩⑨,,,,,,,,,,,,,13,10,Ａマイネアロマ, 79,中井裕, 2.4, 54,* 12, -40, 5, 16.7, ⑧⑥,13, 5,Ｎオｰラレガｰレ, 71,浜中俊, 1.3, 71,   9,  -8,11, 79.0, ③③
14,13,Ｏリバｰマジモｰド,  6,高倉稜, 4.7,  1, -26, -13,14,252.6, ⑮⑮,,,,,,,,,,,,,14, 9,Ｌクｰデタｰ, 54,国分恭, 3.5, 46,* 12, -57,18,421.2, ③②,14, 9,Ｋタバルナ, 73,佐藤哲, 1.4, 69, -12,* 11, 9, 53.8, ⑯⑯
15, 4,Ｍテイエムキャッスル, 24,芹沢純, 5.3, -3, -22, -21,13,146.9, ⑭⑭,,,,,,,,,,,,,15, 1,Ｏタフディシジョン, 52,小牧太, 3.6, 46,  10, -56,13,265.7, ②③,15,11,Ｐダｰムドゥラック, 56,国分恭, 1.7, 65,   4,  -9,16,382.2, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｑコンパルソリｰ, 29,藤岡佑, 3.9, 43,   3, -44,14,287.2, ⑮⑯,16, 3,Ｊトップオブピｰコイ, 74,藤田伸, 2.9, 49,  -7, -14,15,254.0, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｐヴォルカニックヒル, 30,花田大, 5.4, 13,* 12, -85,15,361.9, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｒキャンドルナイト,-11,国分優, 6.8,  5,  -3, -71,17,398.9, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:230円 複勝:11=130円 02=220円 15=960円 枠連:740円,,,,,,,,,,,,"単勝:420円 複勝:04=130円 09=150円 03=110円 枠連:1,220円",,,,,,,,,,,,単勝:410円 複勝:13=130円 07=110円 03=390円 枠連:260円,,,,,,,,,,,,"単勝:210円 複勝:02=140円 06=380円 07=400円 枠連:1,090円",,,,,,,,,,,
"馬連:1,070円 ワイド:02-11=510円 11-15=1,780円 02-15=3,100円",,,,,,,,,,,,"馬連:1,300円 ワイド:04-09=390円 03-04=200円 03-09=250円",,,,,,,,,,,,馬連:290円 ワイド:07-13=160円 03-13=760円 03-07=640円,,,,,,,,,,,,"馬連:1,630円 ワイド:02-06=690円 02-07=670円 06-07=2,820円",,,,,,,,,,,
"馬単:1,990円 3連複:12,740円 3連単:40,320円",,,,,,,,,,,,"馬単:2,570円 3連複:640円 3連単:7,220円",,,,,,,,,,,,"馬単:950円 3連複:1,550円 3連単:8,510円",,,,,,,,,,,,"馬単:2,390円 3連複:7,410円 3連単:26,640円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃインパラトｰル, 55,川田将,, 61,   5,*-14, 1,  2.5, ⑦⑦, 1, 4, マイネチャｰム,---,和田竜,, 48,*-16,  -5, 5, 19.3, ②②, 1, 2,Ｂホｰマンベルウィン, 78,水口優,, 76,*  6,*  7, 1,  4.0,②③③, 1,17,Ｉオリｰビン, 80,川田将,, 86,   9,   7, 4,  7.3, ⑨⑧
 2,12,Ａオｰキッドレイ, 59,川須栄, 0.2, 58,*  8, -22, 2,  3.2, ④③, 2, 2, チョウワンダｰ,---,幸英明, 0.2, 45,*-14,  -9, 4, 10.6, ①①, 2,16,Ｄスタンドバイミｰ, 74,浜中俊, 0.2, 74,*  6,*  2, 3,  5.2,⑪②①, 2, 7,Ａゴｰルスキｰ, 87,ピンナ, 0.0, 87,   5,* 14, 3,  5.8, ⑪⑪
 3, 7,Ｆクレスコモア, 51,和田竜, 0.4, 56,   6, -22, 4, 10.8, ⑥⑥, 3,11, ミノディエｰル,---,浜中俊, 0.2, 49, -24,*  3, 7, 22.8, ⑩⑩, 3,14,Ｇスペシャルザダイヤ, 69,川田将, 1.1, 68,   4,  -1, 5,  6.7,⑤⑥④, 3,14,Ｋミキノバンジョｰ, 79,太宰啓, 0.1, 82,* 14,   0, 7, 16.6, ③②
 4, 8,Ｅリアルマイスタｰ, 54,小牧太, 0.5, 56,   2,*-16, 6, 17.3, ⑭⑫, 4, 9, ベアトリッツ,---,佐藤哲, 0.2, 49, -22,*  2, 2,  5.3, ⑧⑧, 4,12,Ｌフィオリア, 54,ピンナ, 1.4, 72,   3,  -1, 6,  9.7,⑨⑧⑩, 4,15,Ｏタムロスカイ, 77,国分恭, 0.1, 83,* 12,   1,11, 50.9, ④③
 5,10,Ｂオｰスミアイビス, 55,佐藤哲, 0.7, 53,   5, -25, 5, 13.5, ⑧⑧, 5, 5, セカイノカナ,---,川須栄, 0.4, 46, -25,*  2,10, 56.6, ⑨⑨, 5, 3,Ａベストオブケン, 78,幸英明, 1.4, 67,   4,  -3, 4,  5.9,⑥⑤⑦, 5,13,Ｈダロｰネガ, 81,佐藤哲, 0.2, 83,   8,   7, 2,  5.7, ⑦⑩
 6,13,Ｉミラクルセレｰネ, 47,幸英明, 0.9, 53,   1, -19,12,121.5, ⑬⑭, 6, 8, ティズトレメンダス,---,藤岡佑, 0.4, 44, -21,  -4, 1,  1.6, ⑥⑤, 6, 6,Ｃエイコｰンパス, 74,藤岡佑, 1.5, 66,*  6,  -8, 2,  4.2,①①②, 6,11,Ｇタガノエルシコ, 83,高田潤, 0.3, 83,   7,   9, 8, 26.9, ⑭⑫
 7, 4,Ｈセレブリティモデル, 48,村田一, 1.0, 50,   2, -22, 3,  6.3, ⑫⑬, 7, 3, ショウナンアズサ,---,秋山真, 0.6, 40, -19,  -9, 3,  9.1, ③③, 7,13,Ｆメイショウカイオウ, 71,武幸四, 1.7, 69,   2,  -2,10, 65.6,⑭⑪⑥, 7, 5,Ｐゼロス, 76,松田大, 0.3, 82,  11,   1, 9, 27.3, ⑤⑥
 8, 9,Ｊラブラバｰド, 40,藤岡佑, 1.4, 47,   5, -35, 7, 23.2, ⑪⑨, 8, 1, エンジェルベイビｰ,---,村田一, 0.8, 39, -22,  -7,11,125.0, ⑤⑥, 8, 1,Ｊリバｰタイキ, 60,津村明, 1.7, 66,   2,  -1, 8, 38.8,⑦⑩⑪, 8, 1,Ｍクラレント, 77,小牧太, 0.3, 82,   7,   7, 6, 15.7, ⑩⑨
 9,11,Ｌタｰフジェニック, 38,国分恭, 1.4, 46,   3, -31,11, 97.6, ⑩⑪, 9, 7, ワンダｰノブレス,---,川田将, 1.0, 37, -22, -10, 8, 29.0, ⑦⑦, 9, 5,Ｅオリエンタルコｰル, 73,菱田裕, 1.7, 64,   3,  -4, 9, 41.7,⑧⑦⑨, 9,18,Ｅレッドデイヴィス, 85,浜中俊, 0.3, 84,   3,* 16, 5,  7.6, ⑰⑰
10, 3,Ｋシゲルヘビザ, 39,松田大, 1.6, 45,*  7, -44,10, 44.4, ①①,10, 6, マｰクスマン,---,武幸四, 1.0, 34, -19, -16, 6, 20.3, ④④,10,15,Ｈフェアリｰダンス, 64,和田竜, 2.5, 59,   2,  -9, 7, 27.5,⑮⑫⑧,10, 4,Ｃモンストｰル, 86,幸英明, 0.4, 83,   4,* 11,10, 32.3, ⑮⑭
11, 6,Ｄウインデスティニｰ, 55,高倉稜, 1.8, 44,   7, -42, 9, 31.9, ③⑤,11,10, ドラグレスク,---,太宰啓, 2.6, 18, -30, -20, 9, 30.3, ⑪⑪,11,10,Ｉワンダｰバライル, 62,野元昭, 2.8, 57,   2, -11,14,194.1,⑫⑨⑫,11, 8,Ｊオｰトドラゴン, 79,渡辺薫, 0.4, 80,   5,  10,16,202.7, ⑬⑮
12, 2,Ｇメイショウエイキ, 49,飯田祐, 1.9, 42,   6, -44, 8, 27.4, ⑤④,,,,,,,,,,,,,12, 7,Ｍアヴォカ, 53,太宰啓, 4.1, 48,   5, -28,12, 77.8,③④⑤,12,12,Ｒダイシンプラン, 72,藤岡佑, 0.5, 80,   9,  -1,17,287.2, ⑥⑦
13, 1,Ｎラエティティア, 21,熊沢重, 3.1, 35,   3, -56,14,368.4, ⑨⑩,,,,,,,,,,,,,13, 9,Ｏスズカゴクウ, 50,高倉稜, 4.7, 46,  -2, -19,16,289.0,⑬⑮⑭,13, 3,Ｄフレｰルジャック, 85,川須栄, 0.5, 81,   4,  10, 1,  3.0, ⑫⑬
14,14,Ｍクリノサガルマｰタ, 29,古川吉, 3.8, 13,*  8, -75,13,365.2, ②②,,,,,,,,,,,,,14, 4,Ｎダｰクアイリス, 52,中井裕, 5.0, 47,  -1, -25,11, 68.6,④⑬⑮,14,16,Ｑガンダｰラ, 74,和田竜, 0.8, 75,* 14, -12,13, 84.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｐメイショウシコウ, 42,田中健, 5.1, 43,   0, -25,13,118.1,⑩⑭⑬,15, 9,Ｌマイネルクラリティ, 78,高倉稜, 1.1, 72,  11, -12,12, 64.9, ⑧④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｎアンノルｰチェ, 77,川島信, 1.7, 67,  11, -19,18,417.1, ②⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｂブレイブファイト, 86,鮫島良, 2.0, 63,   1,  -6,14,121.2, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｆエックスダンス, 83,中舘英, 2.6, 56,   1, -17,15,126.3, ⑯⑯
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
単勝:250円 複勝:05=130円 12=150円 07=260円 枠連:410円,,,,,,,,,,,,"単勝:1,930円 複勝:04=670円 02=420円 11=750円 枠連:5,410円",,,,,,,,,,,,"単勝:400円 複勝:02=150円 16=180円 14=190円 枠連:1,000円",,,,,,,,,,,,"単勝:730円 複勝:17=250円 07=220円 14=440円 枠連:1,260円",,,,,,,,,,,
馬連:400円 ワイド:05-12=200円 05-07=380円 07-12=520円,,,,,,,,,,,,"馬連:5,430円 ワイド:02-04=1,320円 04-11=2,600円 02-11=2,320円",,,,,,,,,,,,"馬連:1,200円 ワイド:02-16=490円 02-14=420円 14-16=540円",,,,,,,,,,,,"馬連:1,980円 ワイド:07-17=790円 14-17=1,490円 07-14=1,320円",,,,,,,,,,,
"馬単:740円 3連複:1,150円 3連単:3,740円",,,,,,,,,,,,"馬単:13,010円 3連複:25,320円 3連単:183,100円",,,,,,,,,,,,"馬単:2,370円 3連複:2,360円 3連単:11,930円",,,,,,,,,,,,"馬単:4,400円 3連複:8,760円 3連単:47,250円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,兵庫特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄエイユｰミラクル, 60,菱田裕,, 69,*  5,   2, 5, 16.4,②②①, 1,13, フィｰルドゴｰゴｰ,---,秋山真,, 59,  -5,   1, 5, 13.4, ⑥⑤, 1,11,Ｈタガノビッグバン, 76,太宰啓,, 81,* 11,* -1, 1,  4.2,②②②, 1,13,Ｄエｰシンリボルバｰ, 80,川田将,, 82,*  6,* 12, 4,  6.8,④③②
 2, 3,Ｆクリフパレス, 58,幸英明, 0.4, 68,   3,*  5, 4, 16.0,⑩⑧⑧, 2,10, ゴｰルドチェイス,---,中舘英, 0.1, 58,* -1,  -4, 8, 22.6, ①①, 2, 5,Ｂアドマイヤパｰシア, 82,川須栄, 0.5, 78,  10,  -4, 2,  4.3,⑤⑤④, 2,15,Ｊハスラｰ, 76,浜中俊, 0.1, 81,*  6,* 12, 5, 10.4,⑫⑦④
 3, 5,Ｃデオヴォレンテ, 61,小牧太, 0.4, 68,   4,   2, 2,  6.2,③⑤⑤, 3, 8, ワンダｰアベニｰル,---,和田竜, 0.1, 59,  -4,  -1, 4,  5.9, ⑤④, 3,13,Ｉオマワリサン, 75,藤田伸, 0.7, 76,* 11,  -9, 3,  6.3,③③③, 3, 2,Ｉスズカウラノス, 78,幸英明, 0.8, 77,   5,   9, 6, 12.7,⑪⑫⑪
 4, 9,Ａプレレフア, 71,川田将, 0.8, 66,   2,*  3, 1,  1.5,⑮⑩⑦, 4, 5, キングスクルｰザｰ,---,熊沢重, 0.4, 59,  -6,  -1,10, 57.0, ⑧⑧, 4, 6,Ｆマッキｰバッハ, 78,村田一, 0.8, 76,  10,  -5, 6, 12.3,⑧⑧⑥, 4,10,Ｃツルマルスピリット, 81,鮫島良, 0.9, 80,   2,* 13, 2,  4.7,⑯⑯⑯
 5, 7,Ｍオｰプンスカイ, 47,浜中俊, 1.1, 63,*  5,  -7, 9, 43.8,⑨④②, 5, 2, フミノファルコン,---,小林徹, 0.5, 58,  -9,*  1, 3,  4.2, ⑨⑨, 5, 9,Ｇシルヴァｰノ, 77,幸英明, 0.8, 78,   8,  -2,11, 31.8,⑩⑩⑧, 5, 6,Ａサイキョウイシヤマ, 86,菱田裕, 1.0, 74,*  7,   1, 1,  3.5,⑥④③
 6, 8,Ｂトップバゴスタｰ, 63,松田大, 1.6, 58,   3,  -6, 6, 21.3,⑤⑥⑥, 6, 4, サンライズネガノ,---,川田将, 0.6, 55,  -6,  -3, 2,  4.1, ⑦⑦, 6, 2,Ｃスｰパｰオｰビット, 81,佐藤哲, 1.0, 76,   7,  -2, 7, 13.9,⑪⑪⑪, 6, 5,Ｐジャニアリシックス, 72,太宰啓, 1.2, 76,   3,   9,10, 37.4,⑭⑭⑮
 7,10,Ｈヤマニンエクセラン, 58,川島信, 2.2, 57,  -4,   2, 8, 37.0,⑯⑯⑮, 7,12, ミッキｰマンデｰ,---,川須栄, 0.7, 55,* -2,  -9, 1,  3.4, ②②, 7,10,Ｄカネトシパサｰジュ, 80,藤岡佑, 1.1, 76,   6,*  1, 9, 18.5,⑬⑬⑭, 7, 8,Ｂエンジョイタイム, 81,川須栄, 1.3, 74,   6,   3, 3,  4.8,⑦⑧⑥
 8, 4,Ｌタツスティンガｰ, 48,和田竜, 2.7, 53,   0, -10,13,125.9,⑭⑫⑫, 8,14, マキオボｰラｰ,---,幸英明, 1.2, 51,* -3, -11,11, 67.6, ③③, 8, 4,Ｅスマｰトリバティｰ, 79,武幸四, 1.1, 74,   7,  -3, 5, 10.3,⑭⑭⑬, 8, 7,Ｆコスモナダル, 79,中井裕, 1.4, 77,   5,   3,13, 86.2,⑩⑪⑨
 9,14,Ｏバルカポケット, 23,国分優, 3.0, 52,  -2,  -7,14,196.0,⑬⑭⑭, 9, 6, ダノンホｰネット,---,小牧太, 1.3, 51, -16,*  3, 9, 33.0, ⑫⑫, 9,12,Ａマｰブルデイビｰ, 83,中井裕, 1.3, 72,   7,  -5,10, 31.8,⑫⑫⑫, 9,14,Ｋサンレイハスラｰ, 76,花田大, 1.4, 72,   5,   2,16,317.1,⑨⑨⑦
10,12,Ｉサイキセキ, 55,ピンナ, 3.4, 53,*  5, -25, 3,  8.7,④③④,10, 9, アキノライセンス,---,鮫島良, 1.5, 49,  -5, -13,12, 71.7, ④⑥,10, 8,Ｍユキノサムライ, 66,国分恭, 1.5, 70,   8, -12,12, 40.6,⑦⑨⑩,10, 4,Ｅカレンジェニオ, 80,秋山真, 1.4, 72,*  6,   0, 7, 16.6,⑤⑥⑤
11,15,Ｇムニン, 58,藤田伸, 3.4, 50,   3, -21,12,103.4,⑥⑦⑨,11, 3, タマノペルセウス,---,太宰啓, 1.8, 47, -17,   1, 6, 19.0, ⑬⑬,11, 7,Ｎマキハタテノｰル, 66,小牧太, 1.6, 69,* 12, -25, 4,  6.4,①①①,11, 9,Ｌコスモイｰチタイム, 75,津村明, 1.5, 74,   4,   5,11, 57.1,⑮⑮⑫
12, 2,Ｅヒラルダ, 58,藤岡佑, 3.5, 49,   0, -15,11, 64.4,⑫⑬⑪,12,11, ミラクレスト,---,浜中俊, 2.4, 41, -13, -10, 7, 19.6, ⑪⑪,12, 1,Ｋシャイニｰブレｰヴ, 74,古川吉, 1.8, 68,   9, -15,13, 69.4,⑥⑦⑦,12,16,Ｏタクティクス, 73,ピンナ, 1.8, 75,*  7,  -5,12, 73.4,②②①
13,13,Ｋノブビスケット, 49,高田潤, 4.1, 43,   1, -25, 7, 31.6,⑧⑨⑩,13, 1, メイショウカミタカ,---,国分恭, 3.8, 31, -20, -13,13,159.6, ⑭⑭,13,14,Ｊマイネルシュトルム, 74,和田竜, 2.1, 65,   8, -21, 8, 16.4,⑨⑥⑨,13,11,Ｍホワイトショウフク, 74,藤岡佑, 1.9, 71,   4,   2,15,260.5,⑬⑬⑭
14, 1,Ｎハロンワン, 47,中舘英, 5.2, 35,*  5, -42,10, 53.1,①①③,14, 7, マｰブルリッキｰ,---,松田大, 4.7, 22, -12, -31,14,168.1, ⑩⑩,14, 3,Ｌトレジャｰハント, 72,中舘英, 2.4, 63,  10, -30,14,109.5,④④⑤,14, 3,Ｇコアレスカポｰテ, 79,村田一, 2.8, 62,   5,  -9,14,173.9,⑧⑩⑬
15, 6,Ｊアサクサコンゴウ, 50,川須栄, 5.4, 37,  -1, -33,16,245.1,⑦⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｈブライティアトップ, 78,古川吉, 3.3, 58,   5, -15, 8, 21.1,③⑤⑩
16,11,Ｐアスタｰチャｰリｰ,-33,古川吉, 5.9, 32,  -8, -23,15,215.1,⑪⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｎトウショウセレクト, 73,和田竜, 6.0, 43,*  6, -40, 9, 26.8,①①⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
