12年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 5,Ｉセトノウタヒメ, 26,酒井学, 5.2, 31,  -2, -37, 9,137.1,⑨⑧⑨, 9, 4,Ａノアオｰカン, 66,幸英明, 0.9, 57,*-16,   0, 7, 19.0, ②②, 8, 3,Ｉロｰジｰライト, 71,酒井学, 1.0, 72,   0,   9,10, 67.8,⑨⑩⑩, 9, 1,Ｊマｰブルデイビｰ, 78,国分恭, 1.0, 78,  -5,  12,11,162.4, ⑩⑩
,,,,,,,,,,,,10, 9,Ｈカネトシアクション, 51,秋山真, 1.4, 52, -21,   2,10,128.5, ⑨⑨,10, 4,Ｍアドマイヤトライ, 68,和田竜, 1.2, 69,   0,   7, 9, 56.7,⑩⑨⑨,10, 9,Ｆレインフォｰル, 84,太宰啓, 1.0, 78,  -3,  10, 5,  8.0, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｈワンダｰソング, 71,野元昭, 1.4, 69,  -3,  12,15,350.8,⑭⑮⑮,11,10,Ｉザサンデｰフサイチ, 80,幸英明, 1.1, 76,  -3,   6,10, 96.3, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｏカシノチョッパｰ, 55,小坂忠, 1.4, 66,   1,   3,13,228.1,⑥⑥⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｊスリｰロビンソン, 71,国分恭, 1.6, 67,   0,   5,14,306.8,⑪⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｌアルボランシｰ, 69,熊沢重, 1.8, 65,   2,  -2,11,134.1,⑤⑤⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｋコイスキャｰレ, 70,太宰啓, 3.0, 57,  -1,  -7,12,157.4,⑬⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
単勝:250円 複勝:03=120円 01=120円 08=180円 枠連:420円,,,,,,,,,,,,"単勝:210円 複勝:07=110円 02=230円 10=130円 枠連:1,140円",,,,,,,,,,,,"単勝:940円 複勝:11=250円 01=150円 02=260円 枠連:1,440円",,,,,,,,,,,,単勝:270円 複勝:03=120円 06=160円 08=180円 枠連:330円,,,,,,,,,,,
馬連:420円 ワイド:01-03=190円 03-08=340円 01-08=470円,,,,,,,,,,,,"馬連:1,510円 ワイド:02-07=440円 07-10=170円 02-10=470円",,,,,,,,,,,,"馬連:1,610円 ワイド:01-11=630円 02-11=1,220円 01-02=510円",,,,,,,,,,,,馬連:760円 ワイド:03-06=320円 03-08=290円 06-08=550円,,,,,,,,,,,
"馬単:830円 3連複:850円 3連単:3,540円",,,,,,,,,,,,"馬単:2,130円 3連複:1,320円 3連単:7,530円",,,,,,,,,,,,"馬単:4,360円 3連複:4,620円 3連単:34,920円",,,,,,,,,,,,"馬単:1,280円 3連複:1,270円 3連単:5,080円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟﾀﾞｰﾄ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃシュミット, 53,ウィリ,, 61,  -7,*  7, 4,  9.5, ⑤④, 1, 2, ラキシス,---,川田将,, 59, -42,* 27, 2,  2.9,⑦⑥⑤, 1,10,Ｈオｰスミレジスタ, 76,池添謙,, 80,*  2,  14, 7, 16.9, ②②, 1,14,Ｃニホンピロアワｰズ, 97,酒井学,, 99,* 18,* 22, 6, 19.9,④④④
 2,13,Ｅタッチシタイ, 50,川田将, 0.1, 61,  -6,   5, 8, 39.7, ③③, 2, 5, セイウンヒマワリ,---,浜中俊, 0.2, 53,*-38,  19, 5, 12.5,②②②, 2, 2,Ｃアマノレインジャｰ, 81,福永祐, 0.3, 77,*  0,  13, 4,  7.3, ③③, 2,12,Ｄワンダｰアキュｰト, 96,和田竜, 0.6, 95,  17,* 18, 3,  6.2,⑤⑤⑤
 3, 6,Ｂスズカアルファ, 57,ムｰア, 0.2, 60,  -7,*  6, 3,  6.2, ⑥⑥, 3, 1, トルストイ,---,福永祐, 0.2, 59, -42,* 27, 1,  2.9,⑥⑦⑦, 3,12,Ｊワンダｰキラメキ, 76,ウィリ, 0.4, 76,  -1,  13, 6, 10.6, ④④, 3, 9,Ｈホッコｰタルマエ, 93,幸英明, 0.7, 93,* 18,  15, 9, 31.6,③③②
 4, 8,Ｇソンブレロ, 45,福永祐, 0.2, 60,  -9,*  8, 5, 11.7, ⑨⑨, 4, 6, アドマイヤスピカ,---,ウィリ, 0.3, 51, -41,  21, 3,  3.9,④⑤④, 4, 6,Ｂスズカロジック, 82,川田将, 0.7, 74,  -4,  14, 3,  5.1, ⑧⑤, 4,10,Ｂロｰマンレジェンド, 99,デムｰ, 1.0, 88,  17,  17, 1,  2.3,⑦⑧⑦
 5, 3,Ａマｰティンオｰト, 59,内田博, 0.3, 59,  -7,   4, 1,  1.9, ④⑤, 5, 7, ロゼラニ,---,武豊  , 0.4, 50,*-39,  17, 4,  6.5,⑤③③, 5,14,Ａホクセツキングオｰ, 83,和田竜, 0.7, 74,*  2,   7, 2,  4.5, ①①, 5,13,Ｎグレｰプブランデｰ, 91,ルメｰ, 1.1, 90,  17,  15,11, 65.3,⑧⑦③
 6,15,Ｉロｰドツイスタｰ, 44,ルメｰ, 0.8, 55,  -9,   3, 2,  4.5, ⑩⑧, 6, 4, トミケンブリランテ,---,内田博, 0.7, 44,*-40,  11, 6, 22.4,①①①, 6,16,Ｄオｰスミイｰジｰ, 81,熊沢重, 0.8, 76,  -7,* 18, 9, 32.1, ⑮⑬, 6, 3,Ｊミラクルレジェンド, 92,川田将, 1.3, 90,  16,  15,14, 98.3,⑩⑪⑪
 7,10,Ｈメイショウエイキ, 44,国分恭, 1.4, 51,  -8,  -3, 7, 30.2, ⑦⑦, 7, 3, アクアブルｰサニｰ,---,池添謙, 1.6, 35, -41,   3, 7, 38.2,③④⑥, 7,15,Ｌトップオブザヘヴン, 73,太宰啓, 0.8, 74,  -3,  12,10, 45.4, ⑤⑦, 7, 6,Ｇナムラタイタン, 95,熊沢重, 1.4, 91,  16,  15,13, 86.4,⑬⑩⑫
 8, 5,Ｋシゲルリュウザ, 41,太宰啓, 1.7, 48,  -9,  -4,13,324.9, ⑧⑩,,,,,,,,,,,,, 8, 8,Ｆロｰレルレガリス, 77,秋山真, 1.1, 72,  -6,  15,12, 65.1, ⑭⑫, 8, 1,Ｏハタノヴァンクｰル, 89,四位洋, 1.4, 91,  15,  17, 8, 26.4,⑯⑯⑮
 9,11,Ｏサンモリッツ, 16,浜中俊, 1.8, 47, -11,  -4, 9, 93.6, ⑬⑪,,,,,,,,,,,,, 9,13,Ｇネオシｰサｰ, 77,武豊  , 1.1, 73,  -9,* 18, 5,  8.7, ⑯⑯, 9, 2,Ｌシビルウォｰ, 92,内田博, 1.6, 87,  17,  12,12, 82.1,⑥⑥⑩
10, 9,Ｄカネトシエフォｰト, 52,秋山真, 1.9, 46,* -6, -11,10,109.1, ②②,,,,,,,,,,,,,10, 3,Ｐトキノゲンジ, 63,幸英明, 1.3, 69,  -6,  11,11, 61.8, ⑪⑩,10, 4,Ａエスポワｰルシチｰ,101,武豊  , 1.6, 86,* 20,   5, 2,  6.0,①①①
11,12,Ｊシゲルカミノケザ, 43,幸英明, 3.0, 38, -11, -14,11,248.6, ⑫⑫,,,,,,,,,,,,,11, 9,Ｉラパヌイ, 76,浜中俊, 1.4, 69,  -4,   8, 1,  3.7, ⑦⑥,11,16,Ｋナイスミｰチュｰ, 92,福永祐, 1.7, 87,  15,  14,16,138.4,⑮⑭⑯
12, 7,Ｆヤマノコンコルド, 48,武豊  , 3.1, 35,* -5, -23, 6, 20.8, ①①,,,,,,,,,,,,,12, 5,Ｋオｰミレイライン, 74,畑端省, 1.5, 68,  -6,   9,16,236.6, ⑨⑪,12, 5,Ｐトゥザグロｰリｰ, 77,ウィリ, 1.7, 86,  17,  11, 7, 22.6,⑨⑨⑥
13, 1,Ｍスリｰダッシュ, 33,酒井学, 3.8, 34, -20,  -8,12,308.0, ⑮⑮,,,,,,,,,,,,,13, 4,Ｍヴェアリアスムｰン, 72,国分恭, 1.6, 67,  -4,   7,14, 95.5, ⑥⑧,13,15,Ｍソリタリｰキング, 92,浜中俊, 1.8, 87,  15,  14,10, 56.2,⑪⑬⑬
14, 4,Ｎテイエムキャッスル, 22,小林慎, 3.8, 32, -17, -12,14,350.7, ⑭⑭,,,,,,,,,,,,,14, 1,Ｎクリスリリｰ, 69,野元昭, 1.7, 67,  -8,  11,15,235.1, ⑬⑮,14,11,Ｅダノンカモン, 95,池添謙, 1.9, 87,  15,  12,15,121.6,⑭⑮⑭
15, 2,Ｌタキノウェｰブ, 36,畑端省, 4.6, 26, -10, -27,15,358.7, ⑪⑬,,,,,,,,,,,,,15, 7,Ｏリバｰスタｰリング, 68,藤岡佑, 1.7, 68,  -7,  10,13, 81.2, ⑫⑭,15, 8,Ｉイジゲン, 93,ムｰア, 2.6, 80,  16,   4, 4,  7.1,⑫⑫⑧
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｅスイングエンジン, 77,ムｰア, 1.8, 66,  -5,   6, 8, 19.3, ⑩⑨,16, 7,Ｆトランセンド, 95,藤田伸, 3.0, 79,* 18,  -4, 5,  9.0,②②⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-23 ﾚｰｽｱｶﾞﾘ指数:+22 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:950円 複勝:14=300円 13=900円 06=260円 枠連:2,820円",,,,,,,,,,,,単勝:290円 複勝:02=190円 05=550円 枠連:0円,,,,,,,,,,,,"単勝:1,690円 複勝:10=590円 02=270円 12=320円 枠連:1,200円",,,,,,,,,,,,"単勝:1,990円 複勝:14=500円 12=260円 09=820円 枠連:3,530円",,,,,,,,,,,
"馬連:6,720円 ワイド:13-14=2,180円 06-14=680円 06-13=1,920円",,,,,,,,,,,,"馬連:1,850円 ワイド:02-05=430円 01-02=190円 01-05=520円",,,,,,,,,,,,"馬連:8,600円 ワイド:02-10=2,700円 10-12=3,480円 02-12=980円",,,,,,,,,,,,"馬連:4,290円 ワイド:12-14=1,260円 09-14=3,770円 09-12=2,790円",,,,,,,,,,,
"馬単:16,990円 3連複:12,930円 3連単:121,230円",,,,,,,,,,,,"馬単:2,640円 3連複:1,430円 3連単:10,000円",,,,,,,,,,,,"馬単:20,970円 3連複:27,310円 3連単:197,470円",,,,,,,,,,,,"馬単:11,620円 3連複:30,010円 3連単:165,230円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 6R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,千両賞,,,,,,,,,,,,北摂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａヒルノクオリア, 63,四位洋,, 65,* -6,   2, 2,  2.8, ①①, 1,12, スマｰトパンドラ,---,武豊  ,, 54, -18,*  9, 1,  2.1, ④⑤, 1, 1,Ａカオスモス, 72,内田博,, 72,* 23, -10, 1,  2.3, ④③, 1, 2,Ｍメイショウゲンブ, 75,福永祐,, 85,*  7,  11, 1,  3.3, ①①
 2,10,Ｂヒュウマ, 63,デムｰ, 0.0, 66, -11,*  8, 3,  7.3, ⑦⑤, 2, 6, デンタルハイジｰン,---,ルメｰ, 0.2, 54,*-14,   5, 7, 29.8, ③②, 2, 9,Ｃコパノリチャｰド, 68,福永祐, 0.2, 70,* 24, -14, 2,  3.3, ②②, 2, 6,Ｎタガノザイオン, 75,川田将, 0.3, 82,   3,  11, 8, 26.0, ⑤⑤
 3, 6,Ｍロｰドレグルス, 34,内田博, 0.2, 62,* -7,   0, 4, 12.2, ②②, 3,10, メイショウアシタバ,---,四位洋, 0.4, 52, -18,*  7, 9, 38.7, ⑦⑧, 3,11,Ｊクリノチョモランマ, 56,藤田伸, 0.7, 64,  16,  -8, 8, 53.6, ⑦⑧, 3,14,Ｈマイネルアダマス, 78,ムｰア, 0.3, 86,  -1,* 19, 7, 23.2, ⑭⑬
 4, 2,Ｇセカイノカナ, 46,武豊  , 0.3, 62,* -8,   1, 7, 22.3, ③③, 4, 9, ニシノヒメゴト,---,太宰啓, 0.7, 50, -23,* 10,10,124.1, ⑪⑩, 4, 6,Ｄラブラバｰド, 64,ウィリ, 0.8, 61,  20, -17, 4,  6.7, ⑤⑤, 4, 1,Ｑタマラマ, 72,ウィリ, 0.3, 80,*  4,   9, 6, 15.5, ④③
 5,13,Ｃサダムコｰテイ, 60,ルメｰ, 0.6, 61, -15,*  6, 1,  2.3, ⑬⑬, 5, 5, トウシンヴィｰナス,---,福永祐, 0.9, 47,*-14,  -2, 4,  7.9, ②①, 5, 2,Ｂミリオンフレッシュ, 70,太宰啓, 0.9, 62,  20, -17, 5, 14.3, ⑥⑥, 5,12,Ｂザッハトルテ, 83,秋山真, 0.4, 82,   1,  14,11, 36.5, ⑩⑩
 6,14,Ｅラヴィアンフルｰル, 50,福永祐, 0.8, 57, -11,  -2, 6, 19.2, ⑧⑥, 6, 3, セイウンラｰドゥガ,---,藤田伸, 1.0, 48, -17,   1, 3,  5.9, ⑥④, 6,12,Ｅプリムラブルガリス, 63,デムｰ, 1.1, 60,   9,* -1, 3,  6.6, ⑫⑫, 6, 5,Ｋキョウエイアシュラ, 77,浜中俊, 0.6, 79,   2,  10,13, 63.5, ⑨⑦
 7, 7,Ｄカノヤベンチャｰ, 52,浜中俊, 0.9, 54,* -9,  -6, 5, 16.1, ⑤④, 7, 8, レッドムｰヴ,---,デムｰ, 1.7, 39, -19,  -3, 2,  3.7, ⑧⑦, 7,10,Ｋサンライズバｰド, 47,国分恭, 1.2, 60,   9,* -2, 7, 46.3, ⑪⑪, 7,17,Ｄマックスドリｰム, 80,デムｰ, 0.6, 79,  -2,* 15, 4,  6.7, ⑯⑮
 8, 9,Ｈカシノロビン, 43,藤岡佑, 1.0, 56, -15,   1,10,147.0, ⑩⑫, 8, 4, クイニｰアマン,---,幸英明, 1.8, 41, -19,  -4, 8, 33.6, ⑨⑨, 8, 8,Ｉスイｰトドｰナッツ, 57,幸英明, 1.5, 57,   9,  -7,11,131.7, ⑨⑩, 8, 4,Ｒヴェアデイロス, 63,和田竜, 0.7, 80,   0,  12,17,164.9, ⑬⑫
 9,12,Ｋニホンピロチャｰジ, 39,幸英明, 1.4, 50, -12,  -7, 9, 68.7, ⑪⑨, 9, 2, エイユｰシャトル,---,国分恭, 2.2, 37, -17,  -9,11,129.8, ⑤⑥, 9, 7,Ｌマコトタンホイザｰ, 42,和田竜, 1.6, 55,   9, -10,12,169.4, ⑩⑨, 9,11,Ｉサトノヒｰロｰ, 78,内田博, 0.8, 75,   3,   6, 2,  4.8, ⑧⑧
10, 1,Ｆサイレンスシャドウ, 48,国分恭, 1.6, 50, -12,  -7,14,449.1, ⑫⑩,10,11, エスジｰブンブン,---,酒井学, 2.6, 34, -22,  -8,12,135.1, ⑩⑪,10, 3,Ｇフミノファルコン, 59,武豊  , 2.0, 49,* 24, -42,10, 71.9, ①①,10,15,Ｊアルマリンピア, 78,武豊  , 0.8, 78,  -5,* 15, 5, 10.2, ⑮⑯
11, 5,Ｉアクロマティック, 42,ムｰア, 1.8, 44, -12, -12, 8, 27.4, ⑥⑪,11, 7, キャメロンロｰド,---,秋山真, 3.0, 31, -26,  -6, 6, 22.5, ⑫⑫,11, 4,Ｈタマモコンパス, 58,池添謙, 2.7, 43,  16, -37, 9, 64.3, ⑧⑦,11,10,Ａワイズリｰ, 84,ルメｰ, 1.1, 73,  -1,   6, 3,  5.4, ⑪⑪
12, 4,Ｊナムラチャチャ, 42,太宰啓, 2.0, 41, -10, -19,11,297.3, ④⑦,12, 1, アクアブルｰバレｰ,---,浜中俊, 3.2, 28,*-15, -23, 5, 20.7, ①③,12, 5,Ｆタガノエンブレム, 63,野元昭, 2.7, 42,  21, -48, 6, 14.5, ③④,12, 7,Ｃキリシマトリオ, 82,幸英明, 1.1, 72,*  6,  -2, 9, 26.5, ③②
13, 8,Ｎエスジｰカピタン, 27,酒井学, 2.2, 41, -20,  -8,13,342.2, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,13,18,Ｇテキｰラ, 79,藤岡佑, 1.2, 73,  -1,   6,18,201.9, ⑫⑭
14,11,Ｌアトキリナ, 35,和田竜, 2.5, 36, -12, -23,12,316.1, ⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｏプレノタｰト, 74,四位洋, 1.2, 76,  -9,* 16,12, 60.7, ⑱⑱
15,15,Ｏヴェｰルフォンセ,  0,野元昭, 2.5, 38, -18, -13,15,492.0, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｌコスモルｰシｰ, 76,酒井学, 1.3, 69,*  6,  -5,15,117.8, ②④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｐカシノインカロｰズ, 73,太宰啓, 1.4, 71,  -6,  10,16,124.5, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｅメイショウコウセイ, 80,池添謙, 2.1, 60,   3, -11,14, 77.6, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｆマルカファイン, 79,国分恭, 2.2, 58,   3, -14,10, 32.5, ⑥⑥
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:280円 複勝:03=150円 10=230円 06=280円 枠連:1,280円",,,,,,,,,,,,単勝:210円 複勝:12=130円 06=620円 10=520円 枠連:590円,,,,,,,,,,,,単勝:230円 複勝:01=130円 09=140円 11=530円 枠連:410円,,,,,,,,,,,,"単勝:330円 複勝:02=160円 06=550円 14=550円 枠連:2,340円",,,,,,,,,,,
"馬連:1,530円 ワイド:03-10=530円 03-06=660円 06-10=1,250円",,,,,,,,,,,,"馬連:2,750円 ワイド:06-12=1,010円 10-12=1,050円 06-10=4,960円",,,,,,,,,,,,"馬連:390円 ワイド:01-09=190円 01-11=1,020円 09-11=1,880円",,,,,,,,,,,,"馬連:4,440円 ワイド:02-06=1,440円 02-14=1,300円 06-14=6,460円",,,,,,,,,,,
