12年 9月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9,11,Ｎテイエムクｰガｰ, 40,太宰啓, 1.4, 51,   8, -22,10, 44.1, ④④, 9, 6, マッシヴビクトリｰ,---,熊沢重, 1.5, 31,*-26, -15, 7, 19.4, ①①, 9, 1,Ｄモｰレツ, 71,藤懸貴, 1.7, 59,* 17, -42, 4,  7.9,①①①, 9,11,Ｊエｰシンリジル, 81,川須栄, 0.5, 82,   1,   9,14,193.2, ⑨⑩
10,12,Ｅイッセイダイヤ, 54,池添謙, 1.5, 47,   2, -18,11, 50.5, ⑧⑩,10, 1, ヤマニンエスプｰマ,---,松山弘, 1.6, 31, -31,  -7,10, 66.9, ⑦⑨,10, 2,Ｊアラタマユニバｰス, 56,難波剛, 2.3, 55,* 17, -50,10,186.4,②②②,10,13,Ｌエｰシンヒットマン, 79,幸英明, 0.5, 81,   5,   5,10, 52.6, ⑦⑥
11, 4,Ｊレオネッサ, 47,国分恭, 1.6, 45,  -2, -15,13,115.9, ⑫⑪,11, 9, ラガｰライオン,---,高倉稜, 1.6, 30,*-27, -15, 9, 54.5, ②②,,,,,,,,,,,,,11, 3,Ｄマジンプロスパｰ, 85,浜中俊, 0.6, 79,* 14,  -6, 2,  4.6, ①①
12,14,Ｏツルミラトラｰタｰ, 34,荻野琢, 2.1, 41,  -4, -17,16,451.1, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｋマコトナワラタナ, 80,松山弘, 0.8, 78,  -4,  11,11,100.9, ⑫⑬
13, 5,Ｍルｰパウス, 42,藤懸貴, 2.2, 38,  -8, -14, 8, 22.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｍアウトクラトｰル, 79,藤岡佑, 0.9, 80,  -9,* 15,15,267.1, ⑮⑮
14, 7,Ａフィｰルグリュック, 60,鮫島良, 2.4, 44,* 11, -35, 3,  4.3, ①①,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｃサンカルロ, 86,吉田豊, 0.9, 76,   0,   5, 7, 19.4, ⑧⑨
15,15,Ｉサウザンドサニｰ, 50,和田竜, 2.5, 37,  -5, -20, 5, 13.0, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｆエｰシンホワイティ, 83,福永祐, 1.2, 73,  -6,   6, 9, 44.7, ⑭⑫
16, 3,Ｄラブイズフジ, 54,幸英明, 2.7, 37,   6, -32,12, 52.4, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｏベイリングボｰイ, 76,高倉稜, 1.2, 75, -11,  12,16,355.3, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-7),,,,,,,,,,,
"単勝:420円 複勝:13=180円 16=270円 01=150円 枠連:1,140円",,,,,,,,,,,,単勝:270円 複勝:03=120円 07=130円 02=130円 枠連:450円,,,,,,,,,,,,"単勝:430円 複勝:04=160円 06=250円 03=130円 枠連:3,120円",,,,,,,,,,,,"単勝:1,650円 複勝:04=400円 09=130円 16=1,710円 枠連:380円",,,,,,,,,,,
"馬連:2,270円 ワイド:13-16=840円 01-13=480円 01-16=720円",,,,,,,,,,,,馬連:500円 ワイド:03-07=220円 02-03=240円 02-07=290円,,,,,,,,,,,,"馬連:3,510円 ワイド:04-06=840円 03-04=270円 03-06=480円",,,,,,,,,,,,"馬連:1,670円 ワイド:04-09=700円 04-16=14,090円 09-16=4,510円",,,,,,,,,,,
"馬単:3,620円 3連複:3,100円 3連単:16,440円",,,,,,,,,,,,"馬単:880円 3連複:600円 3連単:2,210円",,,,,,,,,,,,"馬単:5,820円 3連複:2,630円 3連単:22,430円",,,,,,,,,,,,"馬単:4,920円 3連複:61,870円 3連単:378,500円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,野分特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄキョウワリベラル, 59,武豊  ,, 66,*  4,*  2, 1,  3.3, ①①, 1, 7, ディアデラマドレ,---,福永祐,, 56, -22,   8, 1,  1.6, ⑤⑤, 1, 4,Ｃマイネジャンヌ, 75,和田竜,, 82,  16,* -9, 3,  5.3, ④③, 1, 9,Ａエｰシンリボルバｰ, 80,岩田康,, 74,*  0,* 15, 2,  3.4,④③③
 2, 9,Ｂメイショウアレｰナ, 65,佐藤哲, 0.2, 66,   2,*  3, 3,  5.2, ④⑤, 2, 2, クインポルカ,---,和田竜, 0.2, 55, -25,* 10, 4,  9.3, ⑦⑦, 2, 6,Ｈダノンミル, 64,浜中俊, 0.3, 78,  15, -10, 2,  4.1, ⑦⑤, 2, 6,Ｇホｰマンベルウィン, 68,酒井学, 0.2, 74,*  0,  13, 6, 23.1,②②②
 3,15,Ｋウイングオブソング, 50,小牧太, 1.0, 59,   2,  -4, 6, 15.6, ⑧③, 3, 3, カｰヴィシャス,---,岩田康, 0.3, 53, -27,* 10, 2,  4.8, ⑥⑥, 3, 1,Ｂイデア, 80,太宰啓, 0.6, 74,  13, -12, 4,  8.7, ⑥⑦, 3,11,Ｂサカジロオｰ, 76,国分優, 0.4, 72,  -1,  14, 1,  2.7,⑥⑤⑤
 4,11,Ａファｰマプリンセス, 69,太宰啓, 1.1, 57,   1,  -4, 2,  3.5, ⑥⑦, 4, 4, テｰオｰレイチェル,---,酒井学, 0.4, 47,*-16,  -6, 5, 17.0, ①①, 4, 5,Ｇドリｰムヒｰロｰ, 65,松山弘, 0.7, 74,  11,* -5,10,178.4, ⑩⑩, 4, 7,Ｆサンライズスマｰト, 72,北村友, 0.4, 74,  -3,* 17, 4,  5.8,⑪⑫⑪
 5,16,Ｊマウンツエンジェル, 50,菱田裕, 1.3, 55,   2,  -7, 5, 10.3, ⑨④, 5, 5, アッピアス,---,浜中俊, 0.5, 46,*-16,  -6, 3,  5.9, ②②, 5, 3,Ａディｰプフィｰルド, 85,北村友, 0.8, 72,  13, -15, 1,  2.4, ⑨⑨, 5, 1,Ｄスタンドバイミｰ, 74,武豊  , 0.7, 70,  -2,  12, 5, 15.7,⑦⑧⑨
 6, 1,Ｉインヴェストメント, 52,鮫島良, 1.4, 55,  -1,  -5, 4,  9.0, ⑦⑧, 6, 6, エｰシンウェンディ,---,太宰啓, 0.5, 46, -20,  -2, 7, 43.9, ④④, 6,10,Ｄダｰトムｰア, 74,福永祐, 0.9, 72,  16, -20, 6, 14.4, ⑤⑥, 6, 2,Ｃテｰオｰゼウス, 74,藤岡佑, 0.8, 70,  -1,  10, 3,  5.1,③④④
 7, 7,Ｍメイショウモストロ, 42,武幸四, 1.6, 57,*  3, -11,11, 63.8, ③②, 7, 8, ミラクルセレｰネ,---,幸英明, 0.9, 47, -29,   6, 6, 25.1, ⑧⑧, 7, 2,Ｅドリｰムマジシャン, 73,幸英明, 1.1, 71,  13, -19, 7, 17.4, ⑧⑧, 7,12,Ｅサンライズアポロン, 72,太宰啓, 0.9, 70,  -3,  13, 7, 24.6,⑫⑪⑥
 8, 5,Ｇエリモルビｰノ, 53,大下智, 1.6, 51,  -4,  -4,10, 45.7, ⑫⑪, 8, 1, シゲルコギツネザ,---,国分恭, 1.0, 40, -20,  -9, 8, 55.2, ③③, 8, 8,Ｊホッコｰタキオン, 52,飯田祐, 2.2, 58,* 19, -46, 9, 57.1, ①①, 8,10,Ｉメイショウカイオウ, 60,武幸四, 1.2, 72,  -3,   9,10, 99.5,⑧⑦⑩
 9,10,Ｅウノギムレット, 56,荻野琢, 1.7, 51,  -7,*  0, 8, 24.2, ⑮⑮,,,,,,,,,,,,, 9, 9,Ｉエｰシンイオマンテ, 58,岩田康, 3.3, 49,  15, -54, 8, 43.6, ③④, 9, 8,Ｌテｰオｰケンシン, 52,浜中俊, 1.3, 67,  -3,   8, 9, 80.7,⑩⑨⑧
10, 6,Ｎミルキｰウェイ, 38,国分優, 1.8, 52,  -3,  -4,16,418.5, ⑭⑬,,,,,,,,,,,,,10, 7,Ｆブライトバニヤン, 70,小牧太, 4.0, 47,  16, -68, 5,  9.3, ②②,10, 4,Ｊスラストライン, 60,藤田伸, 2.0, 61,*  0,  -3, 8, 26.2,①①①
11, 8,Ｌワイルドゲッツ, 43,藤懸貴, 1.9, 48,  -7,  -1,14,132.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,11, 3,Ｈワンダｰバライル, 66,野元昭, 2.4, 57,  -2,  -3,12,241.7,⑤⑥⑦
12,12,Ｈアグネスプリキュア, 52,北村友, 2.1, 48,  -4,  -8, 9, 32.6, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｋハｰトビｰトボｰイ, 59,幸英明, 2.9, 54,  -4,  -4,11,170.5,⑨⑩⑫
13,13,Ｃホワイトドレス, 60,国分恭, 2.1, 49,  -2,  -9, 7, 17.3, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Ｏスリｰファンタスト, 36,幸英明, 2.6, 44,  -1, -16,12, 89.9, ⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 4,Ｐテアトゥロ, 24,渡辺薫, 3.0, 43,*  3, -23,15,217.5, ②⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 3,Ｆパトス, 55,水口優, 4.5, 29,   0, -33,13, 91.2, ⑤⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,
単勝:330円 複勝:02=170円 09=180円 15=430円 枠連:600円,,,,,,,,,,,,単勝:160円 複勝:07=110円 02=170円 03=140円 枠連:0円,,,,,,,,,,,,"単勝:530円 複勝:04=170円 06=170円 01=210円 枠連:1,130円",,,,,,,,,,,,"単勝:340円 複勝:09=140円 06=350円 11=140円 枠連:2,600円",,,,,,,,,,,
"馬連:910円 ワイド:02-09=460円 02-15=1,440円 09-15=1,530円",,,,,,,,,,,,馬連:570円 ワイド:02-07=240円 03-07=180円 02-03=420円,,,,,,,,,,,,"馬連:1,200円 ワイド:04-06=520円 01-04=590円 01-06=680円",,,,,,,,,,,,"馬連:2,550円 ワイド:06-09=790円 09-11=260円 06-11=1,090円",,,,,,,,,,,
"馬単:1,520円 3連複:6,750円 3連単:23,930円",,,,,,,,,,,,"馬単:760円 3連複:660円 3連単:2,160円",,,,,,,,,,,,"馬単:2,380円 3連複:3,040円 3連単:15,620円",,,,,,,,,,,,"馬単:4,820円 3連複:3,080円 3連単:19,920円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
