12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:3,310円 3連複:5,160円 3連単:22,520円",,,,,,,,,,,,"馬単:22,250円 3連複:148,890円 3連単:888,480円",,,,,,,,,,,,"馬単:10,300円 3連複:7,010円 3連単:46,440円",,,,,,,,,,,,"馬単:11,010円 3連複:20,880円 3連単:118,500円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,毎日王冠 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃジｰニマジック, 47,蛯名正,, 54,  -6,*  1, 4,  5.6, ③③, 1, 4, サトノネプチュｰン,---,ピンナ,, 52, -38,  17, 3,  5.3,⑦⑦⑦, 1, 3,Ｎニシキホマレ, 58,嶋田純,, 75,*  5,   1,12, 85.7,①①①, 1, 4,Ｎカレンブラックヒル, 83,秋山真,, 96,  20,   4, 1,  3.5,②③③
 2, 9,Ｂアドマイヤイチバン, 53,福永祐, 0.4, 51,  -9,*  1, 2,  4.9, ⑥⑥, 2, 3, ダｰビｰフィズ,---,蛯名正, 0.0, 56, -41,* 23, 2,  4.4,⑪⑫⑫, 2, 9,Ｂヒｰルゼアハｰツ, 73,福永祐, 0.1, 78,   1,  11, 2,  4.3,⑥⑥⑥, 2, 7,Ｏジャスタウェイ, 79,柴田善, 0.0, 99,  11,* 23,12, 61.6,⑩⑨⑩
 3, 1,Ｈフィｰルザロマンス, 39,松岡正, 0.7, 47,  -8,  -6, 7, 18.9, ④④, 3,12, ヤマチョウボス,---,津村明, 0.0, 49, -38,  16, 7, 20.7,⑧⑧⑧, 3, 2,Ｋサンライズトゥルｰ, 62,池添謙, 0.3, 77,   0,* 14, 3,  4.3,⑧⑩⑨, 3, 8,Ｂタッチミｰノット, 94,横山典, 0.1, 97,  11,* 22, 9, 28.0,⑥⑧⑨
 4, 3,Ａミラクルアスク, 55,岩田康, 0.7, 46, -10,* -2, 3,  5.5, ⑨⑧, 4,13, ミシシッピデルタ,---,柴山雄, 0.0, 52, -39,* 19,10, 63.3,⑫⑪⑨, 4, 1,Ｇオメガオンリｰワン, 68,内田博, 0.5, 77,  -2,* 17, 4, 13.9,⑬⑪⑬, 4,10,Ｈリアルインパクト, 90,岩田康, 0.3, 92,  17,   5, 7, 18.6,④④④
 5,14,Ｋレッドマニッシュ, 34,北村宏, 0.8, 46, -11,* -2, 5, 10.9, ⑩⑩, 5, 9, ラルプデュエズ,---,岩田康, 0.0, 48, -37,  13, 4,  6.4,⑤⑤⑤, 5, 4,Ａマイネルメダリスト, 78,蛯名正, 0.7, 72,   1,   4, 1,  2.2,⑨⑧⑧, 5,11,Ｆダノンシャｰク, 92,浜中俊, 0.3, 95,  15,  12, 6, 12.9,⑧⑥⑥
 6,13,Ｇシャトルダンサｰ, 39,丹内祐, 0.9, 44,  -8,  -9, 8, 30.8, ⑤⑤, 6, 7, ベルモントホウオウ,---,三浦皇, 0.0, 43,*-31,   3, 8, 35.4,①①①, 6, 8,Ｆケイアイジｰニアス, 69,中舘英, 0.8, 75,  -2,  11, 6, 16.5,⑫⑫⑪, 6,15,Ｅグランプリボス, 92,松岡正, 0.5, 89,* 25, -15,14, 84.9,③②②
