12年 3月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
 9, 4,Ｋトウショウジュピタ, 46,吉田隼, 1.9,,,,10, 43.7, ⑨⑨, 9,14, ロングフェイヴァｰ,---,中井裕, 1.0, 58,   0,   7,17,261.8, ⑫⑫, 9,15,Ｂエｰシンホｰマｰ, 73,太宰啓, 1.0,,,, 3,  6.2, ③③, 9,12,Ｇスマｰトジェネシス, 70,吉田隼, 3.1, 68,* 24, -58, 3,  6.6,③④③
10,12,Ｌウインタｰストｰム, 46,柴山雄, 2.1,,,,11, 66.4, ⑬⑬,10, 4,Ｈワンダｰヴォｰグ, 50,藤岡康, 1.2, 57,   9,  -8,10, 26.8, ⑧④,10, 8,Ｋメリトゥム, 63,丹内祐, 1.0,,,,15,130.8, ⑧⑧,10, 7,Ｌゲットアヘッド, 64,国分恭, 3.1, 67,  22, -51,12, 61.1,⑧⑩⑨
11, 9,Ｎシゲルホシガキ, 38,荻野琢, 2.1,,,,14,218.8, ⑭⑭,11, 2,Ｃパイライトパワｰ, 61,千葉直, 1.4, 56,   9,  -9, 4, 10.3, ④⑤,11, 4,Ｏアイファｰマｰチス, 58,川須栄, 1.0,,,,11, 39.4, ⑤⑦,11, 4,Ｊジョンブルクリス, 67,勝浦正, 3.9, 64,* 24, -66, 6,  8.7,①②⑤
12,11,Ｆナムラセラピｰ, 53,宮崎北, 2.2,,,, 8, 33.3, ⑪⑩,12,11,Ｉオｰクブラフ, 45,丹内祐, 1.4, 54,  -2,   5, 7, 20.7, ⑭⑭,12,10,Ｎプットオンザリッツ, 62,高倉稜, 1.2,,,,13, 54.5, ⑪⑪,12, 6,Ｉタガノキズナ, 67,後藤浩, 5.8, 25,* 24, -94,10, 29.2,⑤⑥④
13, 5,Ｈシゲルパッション, 52,国分恭, 2.7,,,, 9, 34.2, ⑯⑯,13,15, アリエルシチｰ,---,松田大, 1.6, 51,   0,  -1,14, 97.2, ⑬⑬,13,16,Ａキングダムキング, 75,丸田恭, 1.4,,,, 7,  8.9, ⑭⑭,13, 3,Ｍダイシンベｰル, 60,松田大,10.5,-22,  18, ---,13,130.6,④⑨⑬
14, 8,Ｍエスケイタイガｰ, 41,水口優, 2.7,,,,15,253.3, ⑩⑫,14,17, シンフォニエッタ,---,丸田恭, 1.6, 49,  -4,   4,12, 88.0, ⑮⑮,14, 2,Ｍキャンパスライフ, 62,古川吉, 1.6,,,,14,113.5, ⑯⑯,,,,,,,,,,,,
15,15,Ｏウミホタル, 34,西村太, 2.9,,,,16,370.2, ⑮⑮,15, 8,Ｆシｰキングザルビｰ, 59,吉田隼, 1.6, 53,* 10, -14, 6, 17.4, ③②,15,11,Ｇサクラフェニックス, 68,吉田隼, 1.8,,,, 6,  8.2, ⑦⑥,,,,,,,,,,,,
16,16,Ｉトウショウラダｰ, 48,黛弘人, 3.6,,,,12,104.5, ④⑤,16,16,Ｋペッシュボンボン, 37,国分優, 2.3, 44,  -7,   1,16,246.7, ⑱⑱,16, 7,Ｐゴｰルドユソネット, 55,国分恭, 2.1,,,,12, 53.5, ⑥⑤,,,,,,,,,,,,
,,,,,,,,,,,,17,18,Ｌピンクバｰド, 32,平野優, 2.5, 41,  -8,  -2,18,302.1, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 5, デルマハゴロモ,---,中谷雄, 3.7, 29,  -6, -18,15,141.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:重(指数:9),,,,,,,,,,,
"単勝:380円 複勝:07=180円 06=240円 02=380円 枠連:1,170円",,,,,,,,,,,,"単勝:2,490円 複勝:12=550円 13=320円 01=110円 枠連:4,170円",,,,,,,,,,,,"単勝:2,790円 複勝:05=680円 03=170円 01=260円 枠連:1,190円",,,,,,,,,,,,"単勝:790円 複勝:09=310円 10=880円 01=190円 枠連:1,320円",,,,,,,,,,,
"馬連:1,290円 ワイド:06-07=550円 02-07=1,010円 02-06=1,500円",,,,,,,,,,,,"馬連:16,930円 ワイド:12-13=4,530円 01-12=1,570円 01-13=630円",,,,,,,,,,,,"馬連:6,940円 ワイド:03-05=2,020円 01-05=3,060円 01-03=560円",,,,,,,,,,,,"馬連:16,200円 ワイド:09-10=3,730円 01-09=980円 01-10=2,740円",,,,,,,,,,,
"馬単:1,750円 3連複:5,580円 3連単:25,160円",,,,,,,,,,,,"馬単:26,800円 3連複:11,040円 3連単:126,470円",,,,,,,,,,,,"馬単:14,140円 3連複:10,940円 3連単:85,140円",,,,,,,,,,,,"馬単:31,310円 3連複:27,840円 3連単:202,210円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1400m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日ｽﾎﾟｰﾂ賞ﾌｧﾙｺﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃナリタタイフｰン, 55,太宰啓,,,,, 6, 26.2,③③③, 1,14,Ｈモエレマリｰア, 53,吉田隼,, 50,* -8, -13, 9, 22.9,②②②, 1,14,Ｇメイショウモネ, 68,古川吉,,,,, 7, 29.5, ⑧⑦, 1,15,Ｍブライトライン, 72,安藤勝,, 86,   6,* 17, 4, 12.7, ⑮⑮
 2, 8,Ａミッキｰエｰル, 68,池添謙, 0.1,,,, 1,  1.4,②②②, 2, 6,Ｇハンサムボｰイ, 53,国分優, 0.0, 55, -12,* -3, 3,  5.7,⑬⑭⑬, 2,11,Ｅフィンデルムンド, 72,後藤浩, 0.0,,,, 5, 12.4, ⑦⑧, 2, 8,Ｏレオンビスティｰ, 71,国分優, 0.1, 87,  11,* 10,12, 30.8, ⑪⑩
 3, 7,Ｋヤマニンエクセラン, 36,柴山雄, 1.4,,,, 2,  4.5,⑪④④, 3,15,Ｏタイセイハリケｰン, 39,川須栄, 0.1, 55, -14,*  0, 8, 20.2,⑰⑯⑯, 3, 2,Ｂタイキブルｰス, 77,吉田隼, 0.1,,,, 3,  7.2, ⑪⑩, 3,17,Ｈサドンストｰム, 75,勝浦正, 0.5, 82,  12,   3, 3,  9.3, ⑦⑦
 4,11,Ｄイニシエノウタ, 53,平野優, 1.8,,,, 7, 27.8,⑧⑧⑦, 4, 7,Ｂブルｰタンザナイト, 59,杉原誠, 0.3, 46,* -7, -19, 1,  3.8,①①①, 4,13,Ｄアイアンラチェット, 73,上村洋, 0.1,,,, 4, 10.3, ④④, 4,14,Ｄレオアクティブ, 76,横山典, 0.5, 82,  10,   7, 1,  2.9, ⑫⑫
 5, 5,Ｅダンツフォｰカス, 52,松山弘, 1.9,,,, 5, 23.0,①①①, 5, 8,Ｌマイネキャスリｰン, 42,高倉稜, 0.4, 51, -15,* -2,16, 95.4,⑯⑰⑰, 5,10,Ｃキングブラｰボ, 75,太宰啓, 0.3,,,, 2,  4.6, ⑥⑥, 5,12,Ｊロｰレルブレット, 74,池添謙, 0.6, 82,   9,   8, 5, 12.8, ⑭⑭
 6, 3,Ｆダブルピｰス, 46,中谷雄, 2.3,,,,12,268.9,⑨⑩⑨, 6, 1,Ｄオマモリ, 56,後藤浩, 0.5, 48,  -9, -14, 6, 13.4,⑤⑤⑤, 6, 8,Ａペガサスヒルズ, 77,安藤勝, 0.4,,,, 1,  2.0, ⑩⑪, 6,10,Ｌニンジャ, 72,藤岡康, 0.8, 81,* 16,  -5,13, 35.8, ⑤③
 7, 2,Ｊシゲルキョホウ, 38,川須栄, 2.3,,,, 3, 11.0,④⑤⑤, 7, 3,Ｅヴェリタスウオリア, 56,池添謙, 0.5, 49, -13,* -6, 5, 11.2,⑧⑫⑮, 7,16,Ｈメイショウマレンゴ, 67,松田大, 0.5,,,, 6, 21.9, ①①, 7,13,Ｒヴェアデイロス, 61,佐藤哲, 0.8, 79,   5,  10,18,196.8, ⑯⑯
 8, 6,Ｂサダムオベｰション, 60,水口優, 2.4,,,, 4, 15.9,⑤⑥⑥, 8,18,Ｃマテリアルガｰル, 57,松山弘, 0.6, 45,  -9, -16,11, 27.6,⑭⑪⑨, 8,12,Ｆリバｰスタｰリング, 68,藤岡康, 0.5,,,,10, 43.2, ③②, 8, 4,Ｃキングオブロｰ, 77,大野拓, 1.0, 75,   1,* 11, 6, 12.9, ⑱⑱
 9, 9,Ｉゴｰイングスタｰ, 42,和田竜, 3.6,,,, 9, 75.7,⑬⑪⑪, 9, 2,Ｊパリソワｰル, 47,平野優, 0.7, 47, -13,  -9,18,162.0,⑮⑮⑭, 9, 4,Ｐタマモウイッシュ, 53,丸田恭, 0.9,,,,11, 77.2, ⑮⑮, 9,11,Ｂキズマ, 77,高倉稜, 1.1, 75,   8,   0, 7, 15.4, ⑬⑬
10, 4,Ｈタケデンサプライズ, 42,丸田恭, 3.9,,,, 8, 63.6,⑫⑬⑫,10,16,Ａコスモユッカ, 60,丹内祐, 0.8, 43,* -8, -21, 2,  4.4,④④④, 9, 1,Ｌネオスペチアｰレ, 63,高倉稜, 0.9,,,,15,177.2, ⑫⑫,10, 5,Ｇトウケイヘイロｰ, 75,後藤浩, 1.3, 74,  12,  -7, 2,  4.6, ⑥⑤
11, 1,Ｌコンペリングテｰル, 33,吉田隼, 5.1,,,,10,109.2,⑩⑨⑩,11,10,Ｍジャストザハピネス, 42,松田大, 0.8, 45, -12, -14, 7, 19.6,⑫⑬⑫,11,15,Ｉキングサｰベル, 67,横山和, 1.0,,,,16,260.8, ⑭⑭,11, 2,Ａハクサンムｰン, 77,松山弘, 1.3, 76,* 17, -13, 8, 18.0, ②②
12,12, サフィニアｰト,---,西田雄, 5.8,,,,13,478.8,⑥⑫⑬,12, 9,Ｎトウカイジェスタ, 39,的場勇, 1.1, 42, -12, -17,15, 72.9,⑨⑩⑪,12, 6,Ｊレオジュピタｰ, 66,川須栄, 1.0,,,, 9, 35.2, ⑬⑬,12,18,Ｆレｰザｰインパクト, 75,吉田隼, 1.4, 72,   4,   4,14, 50.5, ⑰⑰
13,10,Ｇルネッサンスブルｰ, 44,上村洋, 6.5,,,,11,216.3,⑦⑦⑧,13,13,Ｑルンバビｰン, 25,太宰啓, 1.1, 38, -10, -23,10, 25.5,⑦⑦⑦,13, 7,Ｋノｰザンソング, 65,菱田裕, 1.2,,,,13,148.7, ⑤⑤,13, 9,Ｎシェアｰスマイル, 71,丸田恭, 1.6, 69,  11,  -9,16,184.6, ⑨⑪
,,,,,,,,,,,,14, 4,Ｆキョウエイマイン, 55,和田竜, 1.1, 43, -12, -18, 4, 10.9,⑪⑧⑩,14, 5,Ｎエムオｰハンズ, 57,松山弘, 1.5,,,, 8, 34.5, ⑨⑨,14, 7,Ｋネオヴァンクル, 72,川須栄, 1.8, 68,  12, -12,11, 25.2, ⑩⑧
,,,,,,,,,,,,15, 5,Ｐセントトｰマス, 33,大野拓, 1.4, 37,* -8, -30,17,115.6,③③③,15, 3,Ｍビットプレスト, 62,柴山雄, 2.1,,,,12, 96.8, ⑯⑯,15, 6,Ｑゴｰイングパワｰ, 63,和田竜, 2.2, 65,  12, -17,15, 86.1, ⑧⑨
,,,,,,,,,,,,16,12, ワイルドロｰズ,---,荻野琢, 1.6, 39, -16, -13,13, 42.9,⑱⑱⑱,16, 9,Ｏサンレイワイルド, 53,和田竜, 2.2,,,,14,165.0, ②③,16,16,Ｐキンシザイル, 66,田中健, 2.7, 59,  13, -26,17,188.2, ④⑥
,,,,,,,,,,,,17,17,Ｉビルアｰツ, 48,西田雄, 2.1, 32, -11, -35,14, 48.9,⑩⑨⑧,,,,,,,,,,,,,17, 1,Ｅエクセルシオｰル, 76,柴山雄, 3.4, 52,* 18, -41,10, 23.8, ①①
,,,,,,,,,,,,18,11,Ｋエムオｰキャプテン, 43,横山典, 2.1, 30,  -9, -37,12, 30.9,⑥⑥⑥,,,,,,,,,,,,,18, 3,Ｉメイショウヒデタダ, 74,太宰啓, 3.5, 50,* 16, -38, 9, 21.2, ③④
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:9),,,,,,,,,,,
"単勝:2,620円 複勝:13=320円 08=100円 07=120円 枠連:1,590円",,,,,,,,,,,,"単勝:2,290円 複勝:14=620円 06=200円 15=650円 枠連:2,590円",,,,,,,,,,,,"単勝:2,950円 複勝:14=710円 11=400円 02=280円 枠連:2,130円",,,,,,,,,,,,"単勝:1,270円 複勝:15=380円 08=780円 17=320円 枠連:2,230円",,,,,,,,,,,
"馬連:1,740円 ワイド:08-13=380円 07-13=800円 07-08=120円",,,,,,,,,,,,"馬連:6,570円 ワイド:06-14=2,020円 14-15=6,250円 06-15=2,200円",,,,,,,,,,,,"馬連:12,810円 ワイド:11-14=3,310円 02-14=2,680円 02-11=1,230円",,,,,,,,,,,,"馬連:19,180円 ワイド:08-15=5,710円 15-17=2,010円 08-17=3,770円",,,,,,,,,,,
"馬単:6,350円 3連複:1,710円 3連単:27,780円",,,,,,,,,,,,"馬単:11,750円 3連複:54,360円 3連単:314,110円",,,,,,,,,,,,"馬単:34,770円 3連複:28,230円 3連単:235,230円",,,,,,,,,,,,"馬単:30,930円 3連複:53,360円 3連単:320,140円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴鹿特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂファンデルワｰルス, 57,松山弘,,,,, 3,  5.1, ①①, 1, 2,Ａオメガブルｰハワイ, 74,横山典,,,,, 2,  3.3,①①①, 1, 6,Ａキルシュバウム, 70,丸田恭,, 58, -12,*  4, 2,  5.0, ⑯⑰, 1,11,Ａサウンドボルケｰノ, 84,和田竜,,,,, 3,  6.0, ⑪⑨
 2, 2,Ａサクシナイト, 62,後藤浩, 0.0,,,, 1,  4.3, ⑤⑤, 2, 1,Ｃミリアム, 69,上村洋, 0.0,,,, 3,  6.5,③④②, 2,16,Ｆホットサマｰデイ, 67,国分恭, 0.2, 59,   1, -13,13, 32.2, ⑤⑤, 2,12,Ｅジャパンプライド, 79,横山典, 0.0,,,, 2,  4.4, ⑨⑧
 3, 5,Ｅブライテストソｰド, 54,丸田恭, 0.4,,,, 8, 15.2, ②②, 3, 7,Ｆチェルカトロｰバ, 66,古川吉, 0.8,,,, 9,110.8,⑥⑥⑥, 3,15,Ｂショウナンサンガ, 70,平野優, 0.3, 57,  -1, -12, 6, 16.7, ⑧⑨, 3,10,Ｄリｰプオブフェイス, 80,吉田隼, 0.2,,,, 6,  9.9, ⑫⑬
 4,10,Ｌマッシヴヒｰロｰ, 39,国分恭, 0.6,,,, 2,  4.6, ③③, 4, 8,Ｂクリスティロマンス, 73,川須栄, 1.0,,,, 1,  1.9,⑤⑤⑤, 4, 8,Ｐトロピカルマドンナ, 62,松山弘, 0.4, 53, -10,* -4, 5, 15.1, ⑰⑯, 4, 1,Ｆスズカイルマン, 78,安藤勝, 0.2,,,, 1,  4.0, ④⑤
 5, 6, コウエイリョウマ,---,上村洋, 0.6,,,, 6, 11.3, ⑥⑥, 5, 5,Ｄニシノキュアノス, 68,吉田隼, 1.2,,,, 4, 12.0,④③③, 5,17,Ｇマイネルメガロス, 66,丹内祐, 0.5, 56,   2, -17,15, 42.1, ⑨⑥, 5, 3,Ｈアヴェカムｰル, 77,後藤浩, 0.3,,,, 5,  7.6, ⑤④
 6, 7, ロｰドテイクオフ,---,武英智, 1.0,,,,10, 66.1, ⑮⑮, 6, 6,Ｇマルデデルマ, 63,後藤浩, 1.3,,,, 5, 16.6,⑧⑦⑦, 6, 4,Ｄオモイデサクラ, 69,川須栄, 0.6, 55,*  3, -20, 1,  2.9, ②②, 6, 8,Ｌヤマチョウフェア, 72,丸田恭, 0.3,,,,12, 41.0, ①①
 7, 4,Ｃトｰブプリンセス, 55,菱田裕, 1.1,,,, 5,  8.0, ④④, 7, 4,Ｋアランロド, 48,池添謙, 1.4,,,, 7, 44.8,⑨⑩⑩, 7, 2,Ｅダノンロゼ, 68,中井裕, 0.6, 52,  -4, -13,12, 29.6, ⑪⑪, 7,14,Ｐキングコｰリンオｰ, 67,国分恭, 0.3,,,,15,286.4, ⑩⑩
 8, 3,Ｊラブファンディ, 44,宮崎北, 1.7,,,,12,150.2, ⑨⑧, 8,10,Ｅメイショウボヌス, 67,田中健, 1.5,,,, 6, 22.7,⑩⑨⑨, 8, 7,Ｋベリアル, 64,和田竜, 0.7, 54,   2, -19, 3,  9.7, ⑥④, 8,16,Ｍケイト, 71,菱田裕, 0.4,,,, 7, 20.3, ⑥⑦
 9,13, メジロガラメキ,---,川須栄, 1.7,,,, 4,  5.6, ⑦⑦, 9,11,Ｈエメラルドインディ, 60,松山弘, 2.4,,,,10,113.5,⑪⑪⑪, 9, 9,Ｉフィｰルザファン, 65,大野拓, 0.7, 51, -10,  -8, 7, 17.4, ⑮⑮, 9, 5,Ｊハタノゼフィロス, 76,柴山雄, 0.6,,,, 9, 29.0, ⑬⑭
10, 1,Ｉカツラライデン, 45,水口優, 1.9,,,, 9, 30.9, ⑫⑪,10, 9,Ｊパシャ, 58,平野優, 2.5,,,,11,176.7,⑦⑧⑧,10,14,Ｌコｰンドリｰ, 63,西村太, 0.8, 52,*  3, -22,11, 25.8, ③③,10, 6,Ｂエイブルブラッド, 80,松田大, 0.7,,,, 8, 28.1, ⑭⑪
11, 9,Ｄサトノオラクル, 55,国分優, 2.4,,,, 7, 14.1, ⑩⑩,11, 3,Ｉボサノヴァ, 59,和田竜, 5.1,,,, 8, 60.4,②②④,11,10,Ｑメロｰクｰミス, 61,宮崎北, 0.9, 50,   0, -21,18, 62.3, ⑦⑧,11, 7,Ｎランドタカラ, 71,高倉稜, 0.9,,,,14, 85.0, ⑮⑮
12,12,Ｇリアルアビリティｰ, 46,田中博, 2.7,,,,11, 69.8, ⑧⑨,,,,,,,,,,,,,12, 1,Ｈヴィヴァヴォｰチェ, 65,高倉稜, 1.1, 47,  -3, -19,14, 41.4, ⑩⑩,12, 4,Ｉジャズピアノ, 77,川須栄, 1.1,,,, 4,  6.2, ③③
13,14,Ｈトウショウスコア, 46,丹内祐, 2.7,,,,14,226.4, ⑪⑫,,,,,,,,,,,,,13,11,Ｎエｰティｰガンダム, 63,国分優, 1.1, 46,  -8, -16,10, 23.6, ⑬⑬,13, 2,Ｋサクラエクスプロｰ, 74,藤岡康, 1.2,,,,10, 34.9, ⑦⑥
14,15,Ｆトｰトモデルニスモ, 51,西田雄, 2.8,,,,16,302.6, ⑬⑭,,,,,,,,,,,,,14,18,Ｍクルタナ, 63,後藤浩, 1.2, 46,  -3, -20, 9, 20.6, ⑫⑫,14, 9,Ｏトウショウアトム, 67,中谷雄, 1.3,,,,11, 38.2, ②②
15,11,Ｋアイファｰペルラン, 40,高倉稜, 3.1,,,,13,225.7, ⑯⑯,,,,,,,,,,,,,15,13,Ｃアンゲネｰム, 70,藤岡康, 1.3, 25, -32,*  6, 8, 20.2, ⑱⑱,15,15,Ｇベネラ, 78,太宰啓, 1.9,,,,13, 81.3, ⑧⑫
16, 8,Ｍトｰアエエモンヤ, 30,中谷雄, 3.2,,,,15,283.5, ⑭⑬,,,,,,,,,,,,,16, 3,Ｒコルドバ, 57,菱田裕, 1.4, 42, -10, -17,17, 58.2, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｊグランサンク, 65,吉田隼, 1.5, 45,*  7, -35, 4, 12.7, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｏマキハタピンナップ, 63,古川吉, 1.6, 42,   0, -30,16, 53.3, ④⑦,,,,,,,,,,,,
