12年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
14, 9,Ｎデルマアマテラス, 41,古川吉, 3.4,,,,15,162.6,⑭⑮⑮,14,16,Ｏスクリｰンパス, 39,川須栄, 0.5, 46, -14,  -7, 9, 29.4,⑬⑬⑬,14, 8,Ｐノッティングガｰル, 51,横山和, 2.7,,,, 9, 50.6, ⑥⑦,14, 7,Ｉヴィｰガトウショウ, 65,国分優, 3.1,,,,11, 75.6,⑤④⑤
15, 3,Ｏデルマアメノウズメ, 38,竹之下, 3.8,,,,12, 35.6,⑨⑬⑭,15,15,Ｍイルテアトリｰノ, 45,宮崎北, 1.1, 35,* -9, -31,15,127.8,①①①,15, 9,Ｎロイヤルネイチャｰ, 53,松山弘, 2.8,,,,12, 71.2, ④⑤,15, 8,Ｍフォｰスチャンス, 59,上村洋, 3.6,,,,13, 94.5,⑥⑦⑦
16,12,Ｐロマンティックベイ, -2,上村洋, 6.9,,,,14,105.0,⑮⑯⑯,16, 5,Ｎキクエチャン, 44,松山弘, 1.6, 34,* -7, -34,11, 56.5,③②②,,,,,,,,,,,,,16,12,Ｏイツデモイツマデモ, 46,吉田稔, 6.4,,,,15,240.2,⑯⑯⑯
,,,,,,,,,,,,17, 3,Ｌスリｰオｰシャン, 47,黛弘人, 1.6, 34, -13, -25,17,143.1,⑦⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,
"単勝:460円 複勝:10=170円 11=520円 16=710円 枠連:5,150円",,,,,,,,,,,,"単勝:990円 複勝:07=380円 18=1,960円 02=2,280円 枠連:3,090円",,,,,,,,,,,,"単勝:430円 複勝:07=190円 04=1,400円 14=150円 枠連:1,000円",,,,,,,,,,,,"単勝:670円 複勝:11=200円 10=430円 02=320円 枠連:1,050円",,,,,,,,,,,
"馬連:4,910円 ワイド:10-11=1,490円 10-16=1,610円 11-16=7,570円",,,,,,,,,,,,"馬連:34,810円 ワイド:07-18=9,660円 02-07=24,810円 02-18=33,820円",,,,,,,,,,,,"馬連:28,230円 ワイド:04-07=5,690円 07-14=360円 04-14=3,690円",,,,,,,,,,,,"馬連:4,640円 ワイド:10-11=1,590円 02-11=1,090円 02-10=1,900円",,,,,,,,,,,
"馬単:6,520円 3連複:43,330円 3連単:180,210円",,,,,,,,,,,,"馬単:54,390円 3連複:1,530,060円 3連単:10,585,820円",,,,,,,,,,,,"馬単:39,830円 3連複:17,300円 3連単:187,930円",,,,,,,,,,,,"馬単:8,140円 3連複:14,120円 3連単:85,280円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃラヴァンドゥｰ, 65,松田大,,,,, 1,  1.4,②①①, 1,12, マジッククレスト,---,藤岡康,, 61, -23,* 12, 7, 11.2, ⑰⑰, 1,11,Ｌダイヤノゲンセキ, 47,川須栄,,,,, 3,  4.6,②②②, 1,12,Ｄレオプライム, 76,吉田隼,, 77,   7,* 14, 6,  9.6, ⑪⑩
 2, 6,Ｂモネロ, 68,古川吉, 0.3,,,, 3,  8.6,⑨⑦⑥, 2,17,Ｃマイネサヴァラン, 50,高倉稜, 0.0, 57, -12,   0, 4,  7.6, ⑤⑤, 2, 8,Ｃアイティテイオｰ, 70,平野優, 0.1,,,, 9, 30.0,⑤④④, 2, 4,Ｂラインジェシカ, 81,吉田稔, 0.2, 75,   4,* 15, 2,  4.6, ⑭⑮
 3, 4,Ｆテイエムベンケイ, 53,藤懸貴, 1.8,,,, 5, 28.3,④④④, 3, 3,Ｂヤマニンプチガトｰ, 51,国分優, 0.2, 56, -17,*  3, 2,  5.3, ⑩⑨, 3, 7,Ｇナリタボルト, 67,太宰啓, 0.2,,,, 5, 11.6,⑦⑦⑦, 3,10,Ｅシゲルモトナリ, 75,高倉稜, 0.2, 74,   5,* 12, 5,  9.2, ⑬⑬
 4, 3,Ｅコスモエスプレッソ, 54,川須栄, 2.4,,,, 6, 36.2,③②②, 4, 7,Ｆペニｰウエイト, 47,丸田恭, 0.4, 51,*-10,  -8, 5,  8.0, ③③, 4,12,Ｊセントヴァリｰ, 64,国分優, 0.2,,,,12,113.1,⑪⑫⑫, 4, 7,Ｇドリｰムフォワｰド, 75,太宰啓, 0.3, 73,* 12,   4,14, 51.0, ③③
 5,16,Ｇサｰドシアタｰ, 53,横山和, 2.4,,,,10, 58.0,⑩⑧⑧, 5, 1,Ｄデジタルデｰタ, 50,川須栄, 0.4, 52, -13,  -4, 1,  3.4, ⑨⑥, 5, 3,Ｉシンボリアミアン, 66,藤岡康, 0.3,,,, 6, 12.0,③③③, 5,13,Ｈクレバｰサンデｰ, 74,国分優, 0.3, 74,   6,  11, 9, 22.4, ⑫⑫
 6, 5,Ａオｰルキャスト, 68,菅原隆, 2.5,,,, 2,  8.4,⑥⑤⑤, 6,13, ファセットカット,---,大野拓, 0.7, 50, -21,   0, 8, 31.6, ⑭⑮, 6,10,Ｄヤマニンティグル, 70,柴山雄, 0.4,,,, 4,  5.7,⑥⑤⑤, 6, 6,Ｋネオザウイナｰ, 73,川須栄, 0.4, 72,   8,   7, 3,  8.5, ⑦⑧
 7,13,Ｉベルウッドハピネス, 49,村田一, 2.5,,,,16,285.6,⑪⑪⑩, 7,14,Ｈマイオリオン, 40,太宰啓, 0.8, 46, -17,  -5, 6,  8.9, ⑪⑩, 7, 2,Ｆツカサゲンキ, 68,長谷川, 0.5,,,, 8, 24.8,④⑥⑥, 7, 3,Ｌサトノフロｰラ, 73,丸田恭, 0.5, 72,   4,* 13, 4,  8.9, ⑯⑯
 8,10,Ｎシルキｰセブン, 36,吉田隼, 2.8,,,, 4,  9.2,⑧⑬⑫, 8, 5,Ａエステｰジャ, 55,吉田隼, 0.8, 48, -10, -11, 3,  6.5, ④④, 8, 5,Ａモンク, 75,大野拓, 0.7,,,, 1,  3.5,⑨⑩⑩, 8,18,Ｐツルマルワンピｰス, 70,上村洋, 0.5, 71,   8,   6,10, 30.8, ⑨⑨
 9,11,Ｍサダルスｰド, 46,西田雄, 2.9,,,,13,216.1,①③③, 9,15,Ｇウェルトレインド, 43,宮崎北, 0.8, 47, -13,  -9,10, 33.7, ⑦⑦, 9,13,Ｅヤマニンクラバット, 69,吉田隼, 0.7,,,, 7, 21.3,⑩⑧⑧, 9,16,Ｃテイラｰバｰトン, 78,長谷川, 0.6, 69,  10,   1, 8, 14.1, ⑤⑤
10,14,Ｊトライチャンス, 49,武英智, 3.0,,,,15,273.5,⑮⑨⑨,10, 2,Ｉフミノリバティ, 39,長谷川, 0.9, 47,* -4, -18, 9, 31.8, ①①,10, 4,Ｋソウルオブエイチ, 59,吉田稔, 0.8,,,,10, 32.0,⑧⑨⑨,10,11,Ｍエスカｰダ, 72,柴山雄, 0.6, 70,   9,   2,11, 34.1, ⑥⑥
11, 8,Ｋデルマジュロウジン, 48,黛弘人, 3.1,,,, 7, 41.9,⑭⑫⑪,11, 8, アキノスマイル,---,東川公, 1.1, 44, -21,  -4,17,254.6, ⑬⑭,11, 6,Ｈクレセントシチｰ, 66,菱田裕, 0.9,,,,11,110.9,⑬⑬⑬,11,14,Ｑショウナンカッサイ, 67,松田大, 0.8, 68,* 12,  -3,16, 86.8, ④④
12, 9,Ｄアイティロｰズ, 60,大野拓, 3.5,,,, 8, 43.6,⑫⑭⑬,12, 6,Ｅハｰトフルポケット, 49,柴山雄, 1.1, 43,* -7, -19,11, 39.6, ②②,12, 1,Ｂアラビアンザサン, 71,松田大, 1.2,,,, 2,  4.3,①①①,12,15,Ｏトップキングダム, 70,宮崎北, 0.8, 67,   8,   1,12, 39.9, ⑧⑦
13, 7,Ｈリズムディヴァイン, 50,柴山雄, 3.7,,,,11, 59.8,⑦⑩⑭,13,16,Ｊエシェルアンジュ, 38,上村洋, 1.2, 44, -19,  -6,13,125.5, ⑫⑫,13, 9,Ｍメルシｰモンサン, -8,水口優, 1.3,,,,13,115.2,⑫⑪⑪,13, 2,Ｆロｰレルエルヴェル, 75,田中博, 0.8, 68,   4,   6,17,153.1, ⑮⑭
14,12,Ｏシゲルデリシャス, 36,松山弘, 3.7,,,, 9, 44.9,⑬⑮⑯,14, 4, スズカブルｰリボン,---,松山弘, 1.4, 39, -21,  -9,12, 75.2, ⑮⑬,,,,,,,,,,,,,14, 9,Ａメイショウドナリオ, 83,藤岡康, 0.8, 66,* 12,  -4, 1,  4.6, ②②
15, 2, アグネスフレｰズ,---,的場勇, 4.0,,,,12,139.3,⑯⑯⑮,15,11,Ｌバレイブランシュ, 36,菅原隆, 1.4, 39, -24,  -6,14,190.9, ⑯⑯,,,,,,,,,,,,,15, 5,Ｎモスカｰトロｰザ, 72,東川公, 0.9, 68,  -2,* 13,13, 40.1, ⑱⑱
16,15,Ｌスリｰキャピトル, 48,東川公, 5.5,,,,14,243.7,⑤⑥⑦,16,18,Ｍカシマセイセン, 27,西田雄, 1.7, 36, -14, -19,18,358.9, ⑧⑧,,,,,,,,,,,,,16, 1,Ｊアイスカｰビング, 73,古川吉, 1.0, 66,   5,   2,15, 71.9, ⑩⑪
,,,,,,,,,,,,17,10,Ｋコｰリンデヴァタｰ, 38,藤懸貴, 1.9, 33, -18, -18,16,240.8, ⑥⑪,,,,,,,,,,,,,17,17,Ｒアウゲンイカロス, 52,大野拓, 1.0, 67,   2,   7,18,205.6, ⑰⑰
,,,,,,,,,,,,18, 9, ツジノドキンチャン,---,花田大, 5.5,-14, -52, -32,15,199.4, ⑱⑱,,,,,,,,,,,,,18, 8,Ｉジョｰアカリン, 73,松山弘, 1.0, 65,* 13,  -8, 7,  9.8, ①①
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:稍重,,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:6),,,,,,,,,,,
単勝:140円 複勝:01=110円 06=170円 04=260円 枠連:240円,,,,,,,,,,,,"単勝:1,120円 複勝:12=410円 17=280円 03=200円 枠連:3,550円",,,,,,,,,,,,"単勝:460円 複勝:11=240円 08=370円 07=340円 枠連:3,120円",,,,,,,,,,,,"単勝:960円 複勝:12=300円 04=180円 10=260円 枠連:1,300円",,,,,,,,,,,
"馬連:480円 ワイド:01-06=220円 01-04=480円 04-06=1,500円",,,,,,,,,,,,"馬連:4,990円 ワイド:12-17=1,770円 03-12=1,110円 03-17=770円",,,,,,,,,,,,"馬連:11,530円 ワイド:08-11=3,280円 07-11=1,450円 07-08=2,480円",,,,,,,,,,,,"馬連:2,280円 ワイド:04-12=950円 10-12=1,420円 04-10=770円",,,,,,,,,,,
"馬単:630円 3連複:2,380円 3連単:5,480円",,,,,,,,,,,,"馬単:8,400円 3連複:8,210円 3連単:65,770円",,,,,,,,,,,,"馬単:16,170円 3連複:33,760円 3連単:203,410円",,,,,,,,,,,,"馬単:5,290円 3連複:6,520円 3連単:42,570円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-21,,,,,■ 9R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａマラネロ, 68,吉田稔,,,,, 1,  2.7, ①①, 1, 1,Ｃロイヤルインパクト, 73,川須栄,,,,, 1,  3.0,③④③, 1, 5,Ｄタイタン, 71,太宰啓,, 70, -12,* 11, 2,  6.3,③③③, 1,16,Ｍマイネルゴラッソ, 60,大野拓,, 78,* 29, -10, 8, 22.3,①①①
 2,10,Ｆタマラマ, 56,松山弘, 0.8,,,, 4,  8.3, ⑤⑥, 2,11,Ｅサクラトップクイン, 70,高倉稜, 0.2,,,, 5,  7.9,⑥⑥⑥, 2, 8,Ｊオマワリサン, 62,吉田稔, 0.2, 68, -12,*  8, 9, 29.8,④④④, 2, 6,Ｂリビングストン, 72,丸田恭, 0.1, 74,  21,   2, 6, 14.3,⑧⑧⑧
 3,14,Ｂトウショウハマｰ, 60,太宰啓, 1.5,,,, 2,  3.3, ②②, 3,13,Ａツヨイキモチ, 76,丸田恭, 0.4,,,, 4,  5.5,⑫⑪⑪, 3,13,Ｇアドマイヤパｰシア, 66,川須栄, 0.4, 64,*-10,   3, 4,  8.6,②②②, 3, 7,Ｄリルバイリル, 71,柴山雄, 0.1, 76,  22,   0, 2,  5.8,⑨⑤⑥
 4, 7,Ｅアポロダッシュ, 56,川須栄, 1.9,,,, 3,  6.0, ⑧⑧, 4, 7,Ｂシｰズガレット, 74,藤岡康, 0.6,,,, 3,  5.5,⑬⑭⑬, 4,11,Ｅトウカイソニック, 69,的場勇, 0.6, 64, -12,   4, 3,  8.2,⑦⑤⑥, 4, 1,Ｃアップルジャック, 72,西田雄, 0.2, 75,  22,  -2, 3,  7.3,⑥⑥⑤
 5,11,Ｈシゲルネｰブル, 50,国分優, 2.2,,,,11, 55.0, ⑨⑨, 5, 4,Ｋアクロスザライト, 62,柴山雄, 0.8,,,, 2,  4.7,②②②, 5, 4,Ｌイｰスタリｰガスト, 60,黛弘人, 0.7, 65, -13,   5,11, 40.4,⑤⑥⑦, 5, 4,Ｇマイネイディｰル, 68,吉田隼, 0.2, 74,  19,   2, 5, 14.1,⑦⑨⑨
 6, 5,Ｐサザンネスト, 27,長谷川, 2.3,,,,13, 85.9, ⑭⑭, 6,14,Ｊニホンピロエリナ, 64,菅原隆, 1.1,,,, 9,102.7,⑨⑨⑨, 6, 3,Ｃトｰセンフリｰジア, 71,東川公, 0.8, 62, -13,   4,10, 37.8,⑫⑨⑨, 6,15,Ａエバｰグリｰン, 77,川須栄, 0.4, 74,  11,* 15, 1,  2.3,⑮⑮⑮
 7,12,Ｃランドシャｰク, 60,吉田隼, 2.4,,,, 5, 16.2, ⑪⑪, 7, 5,Ｆメジロマリシテン, 69,国分優, 1.3,,,, 6, 11.9,④⑤④, 7, 7,Ｂキングウェｰルズ, 74,丸田恭, 0.8, 63, -14,   7, 5,  9.0,⑪⑫⑫, 7,11,Ｅソｰルデスタン, 70,上村洋, 0.5, 72,  14,*  8, 7, 15.7,⑬⑬⑭
 8, 8,Ｋデルマビシャモン, 43,大野拓, 2.8,,,,14,149.3, ⑦⑤, 8, 6,Ｇアフィントン, 68,平野優, 1.3,,,, 8, 52.3,⑧⑧⑧, 8, 9,Ｉディｰプスノｰ, 62,宮崎北, 1.5, 56, -14,  -1, 6, 12.7,⑧⑪⑪, 8,10,Ｌアフロディシアス, 61,藤岡康, 0.6, 71,  21,  -4,12, 35.8,⑤⑦⑦
 9,13,Ｏフランチャイズ, 36,横山和, 2.8,,,, 9, 31.8, ⑬⑬, 9,12,Ｈキュルミナン, 67,吉田隼, 2.2,,,,10,108.7,⑩⑩⑩, 9,10,Ｆショウナンアルディ, 68,松山弘, 2.1, 45, -11, -17, 7, 19.4,⑨⑦⑤, 9,14,Ｈフラムドｰル, 68,松山弘, 0.7, 69,  15,   4,10, 24.2,⑭⑭⑬
10, 6,Ｇスリｰフラッシュ, 52,村田一, 2.8,,,,10, 54.0, ⑯⑯,10, 9,Ｎルｰナピエｰナ, 50,宮崎北, 2.4,,,,12,243.7,⑭⑫⑭,10,12,Ｈフレンドリｰドレス, 64,田中博, 2.3, 45, -12, -16,12,136.2,⑬⑧⑧,10, 5,Ｆダッシュソング, 69,高倉稜, 0.8, 69,  17,   0,13, 72.3,⑫⑪⑪
11, 4,Ｊトウケイヤマト, 43,花田大, 3.0,,,, 7, 22.8, ⑩⑩,11, 8,Ｄエルメスグリｰン, 71,松山弘, 2.6,,,, 7, 13.0,⑤③⑤,11, 2,Ｋマルタカボｰイス, 61,柴山雄, 2.5, 42, -13, -18,13,192.8,⑩⑩⑩,11, 2,Ｎエアカｰネリアン, 59,松田大, 0.9, 67,* 26, -18,11, 27.2,②②②
12, 2,Ｍミヤトｰレル, 38,武英智, 3.6,,,,12, 62.4, ⑮⑮,12, 3,Ｍワカタケ, 55,東川公, 2.7,,,,13,257.9,⑦⑦⑦,12, 1,Ｍサンライズアポロン, 55,国分優, 2.5, 40,* -9, -28, 8, 28.3,①①①,12,13,Ｊリズミカルステップ, 64,国分優, 0.9, 68,  19,  -7, 4, 13.6,⑪⑩⑩
13, 9,Ｄバトルクロｰザップ, 59,平野優, 3.9,,,, 8, 23.8, ③④,13,10,Ｉチリトテシャン, 64,西村太, 3.1,,,,14,339.1,⑪⑬⑫,,,,,,,,,,,,,13, 3,Ｉコスモサイキック, 67,吉田稔, 1.2, 63,* 26, -22, 9, 23.8,③③③
14,15,Ｉクニサキロンワン, 48,菅原隆, 4.5,,,,16,557.0, ⑫⑫,14, 2,Ｌファｰマレッド, 59,吉田稔, 3.9,,,,11,128.5,①①①,,,,,,,,,,,,,14, 9,Ｏラブミｰダン, 57,宮崎北, 1.7, 59,  15, -12,14, 75.2,⑩⑫⑫
15, 1,Ｎリバｰチケット, 37,東川公, 4.9,,,,15,330.2, ④③,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｋシゲルチョウカン, 61,東川公, 2.0, 54,  25, -32,15,125.7,④④④
16,16,Ｌアマラント, 43,丸田恭, 6.0,,,, 6, 22.6, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｐカズノタイショウ, 44,古川吉, 2.6, 50,   9, -13,16,232.2,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
