12年 4月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 4月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
 9, 4,Ｈカピトリヌス, 40,古川吉, 1.8, 43,  -9,   3, 4, 11.7, ⑫⑬, 9, 4,Ｋクリノエルヴィス, 46,西田雄, 1.0, 47, -17,   8, 8, 33.3,⑦⑦⑨, 9,11,Ｍコスモハンサム, 58,丹内祐, 0.6, 56,  -6,   5,14,145.7, ⑧⑨, 9, 5,Ｉロックフルマｰク, 58,柴山雄, 1.8, 62,  -3,   4, 9, 91.8,⑩⑨⑨
 9, 1,Ｉシルクパッキャオ, 40,菅原隆, 1.8, 43, -13,   6,11, 96.7, ⑬⑫,10, 1,Ｎカゼノエメラルド, 37,武幸四, 1.2, 38,*-14,  -3,12,140.5,①①①,10, 5,Ｇデイズオブメモリｰ, 63,田中健, 0.6, 57,  -9,   9, 5, 22.0, ⑭⑭,10, 1,Ｊジョウノライアン, 56,武幸四, 5.5, 28,  -8, -36,10,111.4,⑨⑩⑩
11, 8,Ｊアｰリオオｰリオ, 37,横山和, 1.9, 43,  -5,  -2,16,201.0, ⑧⑧,11,15,Ｌクラシックヴィオラ, 43,村田一, 1.3, 48, -22,* 17,15,257.8,⑯⑯⑮,11,15,Ｊリュウシンヒｰロｰ, 61,的場勇, 0.6, 59,  -4,   4,10, 45.3, ⑦⑦,,,,,,,,,,,,
12, 3, エｰシンズｰパｰ,---,木幡初, 2.0, 42,  -5,  -3,12,100.1, ⑨⑨,12,10,Ｊアグネスフレｰズ, 47,的場勇, 1.3, 46, -21,  12,13,148.9,⑬⑭⑭,12, 8,Ｈサトノヴィクトリア, 63,丸田恭, 0.9, 53,* -2,  -1, 6, 22.1, ①①,,,,,,,,,,,,
13,16, レイズオブザサン,---,藤懸貴, 2.1, 39, -22,* 11,13,101.1, ⑮⑮,13, 3,Ｍシャイニｰアｰス, 42,横山和, 1.6, 39, -20,   4,16,281.6,⑩⑩⑪,13,12,Ｂリバｰサルブロｰ, 73,古川吉, 1.1, 51,  -5,   0, 7, 22.8, ⑥⑥,,,,,,,,,,,,
14,13,Ｂベストミニオン, 59,吉田隼, 2.2, 40,   2, -10, 6, 14.2, ④⑤,14, 6,Ｏクレバｰタイガｰ, 29,木幡初, 1.8, 31,*-15,  -8, 9,104.4,②②②,14, 6,Ｄヒノデポベｰダ, 70,菅原隆, 1.2, 51,  -5,  -1,12, 57.2, ⑤⑤,,,,,,,,,,,,
15, 9, サンシャインマイ,---,丸田恭, 3.4, 28, -20,  -2,15,136.9, ⑭⑭,15, 8,Ｅメイショウバシリス, 53,渡辺薫, 1.9, 34, -20,   0, 5, 18.6,⑪⑫⑩,15, 9, エｰシンアイネアス,---,川島信, 1.9, 43,  -8,  -5, 9, 42.0, ⑩⑫,,,,,,,,,,,,
16,11, ドリｰムファイナル,---,松山弘, 3.8, 24, -24,  -2,10, 64.7, ⑯⑯,16,11,Ｃメルクリオス, 54,丸田恭, 2.0, 36, -21,   3,10,109.1,⑫⑮⑯,16,16,Ｎカシノハクリュウ, 56,渡辺薫, 2.0, 44,  -9,  -5,15,296.6, ⑫⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:2),,,,,,,,,,,
単勝:200円 複勝:15=110円 14=170円 06=130円 枠連:390円,,,,,,,,,,,,"単勝:130円 複勝:14=110円 12=260円 09=1,700円 枠連:580円",,,,,,,,,,,,単勝:200円 複勝:03=110円 10=200円 02=590円 枠連:350円,,,,,,,,,,,,"単勝:1,540円 複勝:10=330円 08=270円 02=200円 枠連:290円",,,,,,,,,,,
馬連:670円 ワイド:14-15=300円 06-15=230円 06-14=460円,,,,,,,,,,,,"馬連:580円 ワイド:12-14=310円 09-14=1,870円 09-12=7,820円",,,,,,,,,,,,"馬連:640円 ワイド:03-10=280円 02-03=970円 02-10=1,770円",,,,,,,,,,,,"馬連:5,030円 ワイド:08-10=1,390円 02-10=1,230円 02-08=670円",,,,,,,,,,,
"馬単:990円 3連複:1,110円 3連単:3,940円",,,,,,,,,,,,"馬単:690円 3連複:14,810円 3連単:24,580円",,,,,,,,,,,,"馬単:850円 3連複:5,050円 3連単:14,130円",,,,,,,,,,,,"馬単:12,060円 3連複:7,620円 3連単:73,250円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島中央ﾃﾚﾋﾞ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂタガノカノｰプス, 61,川島信,, 53,  -2,*  9, 4,  9.1, ⑥⑥, 1,15,Ｌカバリノランパンテ, 43,丸田恭,, 51,* -3,* 11, 9, 86.8,②②②, 1, 1,Ｃアルファメガハｰト, 73,伊藤工,, 74,   7,* 21, 5, 10.5,⑦⑦⑥, 1, 5,Ｂリュンヌ, 79,松山弘,, 76,* -1,  11, 1,  2.6, ①①
 2, 9,Ａブルｰプルチェッラ, 63,古川吉, 0.0, 52,   1,   6, 1,  2.4, ⑤⑤, 2, 2,Ｂサルゴン, 60,吉田隼, 0.2, 49,  -4,* 12, 1,  2.2,④④③, 2,12,Ｂクリノメダリスト, 75,吉田隼, 0.2, 72,   4,* 22, 4, 10.4,⑪⑩⑩, 2,14,Ｇブルｰムｰンピサ, 74,木幡初, 0.2, 74,  -7,  15, 3,  7.1, ⑦⑦
 3, 3,Ｃミッドナイトリバｰ, 59,吉田隼, 0.2, 49,*  4,   1, 2,  2.8, ③②, 3, 7,Ｅメイショウバロン, 55,古川吉, 0.5, 45,* -2,   5, 5,  8.4,①①①, 3, 2,Ｄエリモアクアポリス, 71,的場勇, 0.2, 64,* 16,  -6, 3,  6.7,③②②, 3,11,Ｄモトヒメ, 75,伊藤工, 0.2, 75,  -4,  12, 4,  8.1, ⑤④
 4, 7, ボックスクレバｰ,---,藤懸貴, 0.4, 45,  -9,*  9, 5,  9.8, ⑪⑪, 4, 8,Ａヤマニンメダイユ, 65,田中健, 0.6, 49,  -5,* 11, 2,  3.4,⑦⑦⑦, 4, 3,Ｆアソルｰタ, 69,中舘英, 0.2, 75,   3,* 26, 2,  4.3,⑭⑫⑪, 4, 3,Ｎエイシンダヴィンチ, 70,吉田隼, 0.3, 76, -14,* 20,16, 70.6, ⑬⑫
 5,12,Ｇツルマルサンチャン, 53,丸田恭, 0.6, 43,   2,  -3, 6, 22.5, ④④, 5, 1,Ｋヴェルデルｰチェ, 46,西田雄, 0.8, 46,  -5,   9,13,270.0,⑥⑥⑤, 5, 8,Ｊフロｰリストライフ, 65,黛弘人, 0.5, 66,   9,   7, 7, 12.6,④④⑤, 5,15,Ｊオクルス, 72,丹内祐, 0.5, 71,* -2,   6,12, 38.6, ②②
 6,13,Ｄカリズマ, 58,松山弘, 0.7, 42,*  7, -10, 7, 22.9, ①①, 6, 3,Ｉカネトシヴェルス, 48,柴山雄, 0.8, 48,  -7,* 12, 8, 62.8,⑨⑧⑨, 6,16,Ａメジロカトリｰヌ, 76,高嶋活, 0.9, 57,* 16, -17, 1,  3.0,②①①, 6, 1,Ｉメジロツボネ, 74,黛弘人, 0.5, 72, -10,  14, 7, 18.6, ⑩⑩
 7, 2, トウケイルｰブル,---,渡辺薫, 0.8, 40,  -9,   5, 8, 36.0, ⑩⑩, 7,12,Ｊガニオン, 47,木幡初, 1.1, 45,* -2,   3, 4,  7.1,③③④, 7,13,Ｋチェルカトロｰバ, 62,古川吉, 0.9, 68,   1,  19,10, 32.8,⑬⑭⑬, 7, 8,Ｌテンエイエスプリ, 71,荻野琢, 0.5, 71,  -9,  12, 8, 26.6, ⑨⑧
 8, 8,Ｉケｰジｰコシヒカリ, 43,伊藤工, 0.8, 41,  -5,   1,12,226.6, ⑨⑧, 8,14,Ｇシルクスノｰマン, 50,的場勇, 1.8, 42,  -4,   0, 6, 42.9,⑤⑤⑥, 8, 9,Ｏスイｰトゲイナｰ, 44,西田雄, 0.9, 64,   8,   5,16,210.3,⑤⑤④, 8,12,Ｋクリノトルネｰド, 71,中舘英, 0.5, 72, -10,  14,11, 36.0, ⑪⑨
 9,16,Ｅハッピｰユｰゲント, 57,柴山雄, 1.4, 34,   0, -10, 9, 88.4, ⑦⑦, 9, 4,Ｍテイエムオオテモン, 41,丹内祐, 1.8, 42, -10,  10,14,270.7,⑭⑭⑭, 9, 6,Ｇトｰセンフリｰジア, 68,松山弘, 1.2, 61,   1,  16, 6, 10.6,⑯⑮⑭, 9,16,Ｈアルｰリングムｰン, 74,松田大, 0.5, 74, -16,* 20,10, 32.4, ⑭⑭
10,10,Ｆスノｰクラフト, 56,木幡初, 1.4, 32,*  5, -16, 3,  9.0, ②③,10, 6,Ｈチンタジャティｰ, 50,鈴来直, 1.8, 42,  -8,   6,10, 98.5,⑫⑫⑪,10,10,Ｅガイｰヌ, 69,西村太, 1.4, 59,   5,   4,15,158.1,⑧⑨⑧,10, 7,Ｍフリｰアズアバｰド, 71,西村太, 0.6, 70,  -9,  11, 6, 15.4, ⑧⑥
11, 4,Ｊリトルシェフ, 40,黛弘人, 1.7, 30, -21,   6,11,219.3, ⑭⑬,11, 9,Ｆクイｰンダンス, 52,松田大, 2.0, 39,  -7,   2,11,225.7,⑪⑪⑧,11,11,Ｐコウユｰネガイ, 37,木幡初, 1.9, 50,   6,  -7,11, 61.3,⑥⑥⑦,11, 2,Ｃビットスタｰダム, 76,柴山雄, 0.6, 71, -11,  14, 9, 28.1, ⑫⑪
12, 1,Ｋアプロｰズ, 32,中舘英, 1.8, 29,  -4, -12,10,120.9, ⑧⑨,12, 5,Ｎブラックリベリオン, 37,伊藤工, 2.2, 37,  -7,   1, 7, 57.7,⑧⑨⑩,12, 7,Ｍエリザベｰトアスク, 57,横山和, 2.0, 53,   1,   4,12,116.0,⑫⑬⑫,12,13,Ａナイトアンジェロ, 82,村田一, 0.6, 68,* -3,   6, 2,  5.5, ③⑤
13,11,Ｌラヴフォｰオｰル, 25,田中博, 1.9, 27, -15,  -3,14,282.4, ⑫⑫,13,11,Ｏマスタｰウィッシュ, 33,西村太, 2.6, 33,  -9,   0,12,264.3,⑬⑬⑫,13, 5,Ｎタトゥｰン, 51,村田一, 2.3, 50,   0,   3,14,156.9,⑮⑯⑮,13, 9,Ｅアイスカｰビング, 75,丸田恭, 0.7, 70, -19,* 20,13, 39.8, ⑮⑮
14, 6, ロｰカルソング,---,西村太, 2.1, 24, -21,  -1,15,326.2, ⑬⑭,14,10,Ｄサイレントキラｰ, 58,中舘英, 3.3, 31,  -6,  -8, 3,  7.0,⑩⑩⑬,14, 4,Ｌミサノグリｰン, 59,柴山雄, 2.3, 46,* 15, -32, 9, 31.7,①③③,14, 6,Ｆウインドジャズ, 74,渡辺薫, 0.7, 68,  -5,   6, 5, 14.7, ④③
15,15, タカイチゴｰルド,---,山崎亮, 3.1, 11, -31,  -3,13,257.7, ⑮⑮,,,,,,,,,,,,,15,15,Ｉクリノソｰニャ, 67,丹内祐, 2.8, 44,   7, -18,13,141.9,⑨⑧⑨,15,10,Ｏメイショウバレｰヌ, 68,武幸四, 1.3, 62, -19,  12,14, 48.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｈピｰチブロｰフィズ, 68,丸田恭, 7.9,-14,   4, -84, 8, 15.6,⑩⑪⑯,16, 4,Ｐサクラオハナ, 68,上村洋, 3.3, 35,  -6, -26,15, 60.3, ⑥⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,
単勝:910円 複勝:05=160円 09=110円 03=120円 枠連:740円,,,,,,,,,,,,"単勝:8,680円 複勝:15=1,200円 02=140円 07=190円 枠連:3,330円",,,,,,,,,,,,"単勝:1,050円 複勝:01=350円 12=290円 02=260円 枠連:1,700円",,,,,,,,,,,,単勝:260円 複勝:05=130円 14=230円 11=200円 枠連:400円,,,,,,,,,,,
馬連:890円 ワイド:05-09=240円 03-05=350円 03-09=160円,,,,,,,,,,,,"馬連:10,720円 ワイド:02-15=2,490円 07-15=5,680円 02-07=290円",,,,,,,,,,,,"馬連:5,250円 ワイド:01-12=1,290円 01-02=1,090円 02-12=1,050円",,,,,,,,,,,,"馬連:1,280円 ワイド:05-14=560円 05-11=500円 11-14=910円",,,,,,,,,,,
"馬単:2,600円 3連複:700円 3連単:7,020円",,,,,,,,,,,,"馬単:34,430円 3連複:19,610円 3連単:240,250円",,,,,,,,,,,,"馬単:13,110円 3連複:12,450円 3連単:103,610円",,,,,,,,,,,,"馬単:1,940円 3連複:2,420円 3連単:9,540円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浄土平特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄセイウンブラボｰ, 58,丸田恭,, 52,  -5,* 14, 4,  7.6,③④④, 1, 8,Ａアズマスタｰフィｰ, 65,丸田恭,, 56, -11,   5, 1,  3.1, ⑥④, 1,12,Ｊバンブｰチェルシｰ, 65,松田大,, 64,  -8,* 20, 7, 17.9,⑧⑥⑤, 1,10,Ｄオマワリサン, 71,木幡初,, 70,*-17,  27, 4,  4.8,④④③
 2, 6,Ｈパワｰオブプレイ, 53,柴山雄, 0.3, 50,* -3,  10, 5, 10.9,①①①, 2, 4,Ｃゾクゾク, 56,上村洋, 0.0, 57,* -8,   2, 2,  4.1, ②②, 2,14,Ｃコスモゴｰルデン, 69,丹内祐, 0.0, 62,* -7,  19, 9, 29.1,②②②, 2, 7,Ｆコスモマスタング, 66,伊藤工, 0.0, 74, -18,* 30, 7, 31.5,⑩⑦⑥
 3, 3, ロングバｰス,---,上村洋, 0.7, 49,  -6,  11, 6, 15.2,⑤⑦⑦, 3, 5,Ｊミスウィスコンシン, 46,菅原隆, 0.1, 57,* -8,   1,16,276.9, ③③, 3,11,Ａペガサスヒルズ, 76,松山弘, 0.2, 62,  -9,* 21, 1,  3.5,⑦⑨⑧, 3, 1,Ｇトｰセンマルス, 64,黛弘人, 0.2, 74, -20,* 32, 8, 31.8,⑪⑩⑨
 4, 8,Ｃシｰフェリックス, 62,藤懸貴, 0.7, 45,* -4,   8, 3,  5.9,④③③, 4,10,Ｉコスモアステリクス, 47,丹内祐, 0.2, 56, -15,*  6, 7, 16.0, ⑨⑧, 4, 3,Ｅグレイレジェンド, 68,木幡初, 0.3, 62,  -9,* 21, 3,  5.9,⑬⑪⑪, 4, 5,Ｂコスモラングデン, 74,吉田隼, 0.3, 67,*-17,  22, 3,  4.5,②②②
 5,12,Ｅユウキタカラオｰ, 57,川島信, 0.8, 48,  -7,  13,10, 40.4,⑩⑨⑧, 5,14,Ｅデルマビシャモン, 54,石神深, 0.3, 54, -14,   4, 8, 20.6, ⑦⑦, 5, 9,Ｂペガサスキングビｰ, 73,川島信, 0.3, 60,  -8,  18, 4,  6.5,③④③, 5, 9,Ａリルバイリル, 77,松山弘, 0.3, 69, -20,  27, 2,  4.0,⑥⑧⑧
 6, 7,Ｇプロトリュｰション, 55,吉田隼, 0.8, 46,  -5,  10, 1,  2.4,⑥⑤⑤, 6,15,Ｆヒラボクダッシュ, 53,吉田隼, 0.3, 56, -20,* 10,10, 22.3, ⑭⑪, 6, 5,Ｌアｰティクラフティ, 57,吉田隼, 0.5, 58, -11,* 20,12, 42.9,⑩⑩⑩, 6, 8,Ｅリアルフリｰダム, 69,松田大, 0.6, 66, -18,  22, 6, 26.5,⑤⑤⑤
 7,10,Ｂスリｰロブロイ, 64,松山弘, 1.0, 49,  -7,  14, 2,  5.4,⑮⑪⑪, 7,11,Ｈエステｰジャ, 49,中舘英, 0.5, 52, -15,   2, 5,  9.8, ⑩⑨, 7, 7,Ｍアメｰジングミノル, 49,村田一, 0.7, 59,  -9,  17,15,185.8,⑥⑧⑦, 7, 3,Ｃスマｰトリバティｰ, 73,武幸四, 0.6, 70, -20,  28, 1,  2.8,⑧⑪⑦
 8,13,Ａリｰノレオン, 64,田中健, 1.0, 48,  -8,  13, 7, 15.2,⑫⑩⑩, 8, 7,Ｄシｰマリア, 55,藤懸貴, 0.5, 51, -12,   0, 4,  9.3, ⑤⑥, 8,15,Ｉメイショウボヌス, 66,田中健, 0.8, 56,* -7,  12,14, 53.9,④③④, 8, 6,Ｈメイショウヨウドウ, 63,渡辺薫, 0.7, 65, -21,  25, 5, 14.8,⑨⑨⑪
 9,15,Ｉサダルスｰド, 46,西田雄, 1.0, 45,* -4,   4,12, 97.1,②②②, 9, 9,Ｎヘイルメアリｰ, 40,村田一, 0.6, 49, -15,   1, 9, 20.7, ⑪⑫, 9, 2,Ｇエｰシンギガウイン, 68,丸田恭, 0.8, 57, -12,  19, 5, 13.3,⑫⑫⑫, 9, 4,Ｋモンサンアポロ, 42,丹内祐, 1.3, 53,*-15,   5,10, 98.0,①①①
10,14,Ｌウォｰタｰフォｰド, 34,横山和, 1.1, 46,  -7,   9,13, 98.4,⑨⑧⑨,10, 3,Ｂユｰルフェスト, 62,荻野琢, 0.6, 49, -15,   1, 6, 13.2, ⑧⑩,10, 8, アロハタワｰ,---,藤懸貴, 1.1, 54, -13,* 20,11, 36.1,⑮⑮⑭,10, 2,Ｉアレルヤトウブ, 55,丸田恭, 1.3, 54,*-16,  10,11,116.3,③③④
11, 2,Ｎオｰスミムｰン, 31,村田一, 1.4, 46,  -8,  11,14,303.3,⑧⑫⑫,11, 1,Ｍタケデンザビエル, 41,西田雄, 0.6, 50,* -7,  -7,11, 38.6, ①①,11,13,Ｈオルレアンノオトメ, 67,嘉藤貴, 1.2, 55,  -8,  11,10, 30.3,⑤⑤⑥,11,11,Ｊニシノユメマクラ, 55,柴山雄, 3.5, 25, -18, -20, 9, 48.6,⑦⑥⑩
12, 4,Ｆキｰパップ, 56,花田大, 1.4, 46, -11,* 13, 9, 33.8,⑬⑮⑮,12,12,Ｌスマｰトミスティア, 42,小島太, 1.1, 44, -22,   1,14,144.6, ⑮⑮,12, 4,Ｋメルシｰサイレンス, 61,古川吉, 1.2, 54, -11,  17,13, 49.1,⑭⑬⑬,,,,,,,,,,,,
13, 9,Ｍクライノｰト, 33,松田大, 1.8, 41,  -5,   0,11, 50.8,⑦⑥⑥,13,16,Ｏシルクフュｰジョン, 36,松山弘, 1.2, 40, -17,  -6,12, 40.9, ⑬⑬,13, 1, エｰシンシャラク,---,荻野琢, 1.3, 56, -12,  18, 6, 16.5,⑨⑭⑮,,,,,,,,,,,,
14, 5,Ｊカルミナ, 44,渡辺薫, 2.2, 41,  -9,   4, 8, 32.3,⑭⑬⑭,14,13,Ｇケｰジｰカグヤヒメ, 52,横山和, 1.3, 40, -17,  -7, 3,  9.2, ⑫⑭,14,10,Ｄフジチャン, 69,西村太, 1.4, 50,* -6,   6, 8, 28.5,①①①,,,,,,,,,,,,
15,11,Ｋラストツヨシ, 40,山崎亮, 2.3, 39, -11,   5,15,305.3,⑪⑭⑬,15, 2, トｰセンボス,---,木幡初, 1.7, 37, -34,   4,13, 42.3, ⑯⑯,15, 6,Ｆイｰグル, 68,鮫島良, 1.4, 55,  -9,  10, 2,  3.9,⑪⑦⑨,,,,,,,,,,,,
