12年 3月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月24日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名鉄杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａモネロ, 68,古川吉,,,,, 1,  2.1,⑮⑫⑩, 1, 3,Ａヘリオスフィア, 60,大野拓,, 42,*-16,*-15, 3,  6.0,⑪⑤④, 1, 4,Ａリビングストン, 76,丸田恭,, 77,* 18,  -5, 3,  6.8,③③③, 1,12,Ａマイネルガヴロシュ, 82,伊藤工,, 68,  -1,* -3, 2,  5.1,⑬⑬⑬
 2, 2,Ｇスリｰフラッシュ, 52,村田一, 0.2,,,,12, 93.8,⑤⑤⑤, 2, 4,Ｂアｰルデュラン, 57,伊藤工, 0.1, 38,*-14, -21, 7, 15.6,①①①, 2,12,Ｋイｰスタリｰガスト, 64,黛弘人, 0.0, 80,   8,* 10,12, 44.4,⑪⑮⑯, 2, 6,Ｊヤマカツゴｰルド, 74,川須栄, 0.4, 64,  -1,* -8, 8, 15.7,⑩⑫⑫
 3,13,Ｏノブビスケット, 40,鮫島良, 0.2,,,,11, 92.6,⑪⑪⑨, 3,18, インステイト,---,吉田隼, 0.2, 37,*-16, -20, 2,  4.0,③③③, 3,15,Ｂインプレッシヴデイ, 76,太宰啓, 0.1, 77,  12,*  3, 1,  4.7,⑮⑭⑬, 3,11,Ｍタイタン, 72,太宰啓, 0.4, 61,   0, -11, 4,  7.3,⑫⑩⑧
 4, 7,Ｆセンシズバイオ, 57,国分優, 0.3,,,, 2,  4.1,②②②, 4,14,Ｊキョウワアマテラス, 50,高倉稜, 0.6, 36, -20,*-16, 9, 34.9,⑦⑫⑪, 4,16,Ｍタマモマｰブル, 60,水口優, 0.2, 77,  14,  -1,11, 32.2,⑯⑫⑩, 4, 8,Ｃキンセイポラリス, 78,丸田恭, 0.5, 61,   1, -12,14, 68.3,⑪⑨⑦
 5, 5,Ｄエｰシンハッブル, 61,川須栄, 0.3,,,, 3,  7.1,⑭⑮⑬, 5, 7,Ｇマグメル, 54,吉田豊, 0.7, 34, -20,*-15,10, 35.8,⑨⑪⑫, 5, 8,Ｇフリｰアズアバｰド, 66,西村太, 0.4, 74,* 20, -15,13, 57.6,②②②, 5,13,Ｉヤマニンリップル, 74,柴山雄, 0.6, 60,*  2, -18, 5,  7.5,④③③
 6, 9,Ｃエイユｰミラクル, 66,藤懸貴, 0.5,,,, 4,  7.5,③③③, 6,16,Ｈタイセイハリケｰン, 52,川須栄, 0.7, 34, -19, -20, 1,  3.5,⑥⑧⑩, 6,11,Ｃロｰレルソラン, 75,平野優, 0.5, 74,  16,  -9, 2,  5.6,④④⑥, 6,15,Ｅフレンチボウ, 78,吉田隼, 0.7, 61,  -2, -10, 7, 12.3,⑭⑭⑭
 7,11,Ｈテイエムベンケイ, 51,中井裕, 0.7,,,,10, 34.2,④④④, 7, 1, クロスビｰトクロス,---,藤岡康, 0.9, 33, -18, -23,15,116.1,⑫⑨⑦, 7,10,Ｐアドマイヤアロング, 53,国分優, 0.6, 74,  12,  -5,14, 70.3,⑦⑪⑫, 7, 2,Ｆメジロジェニファｰ, 77,村田一, 1.2, 54,   0, -21, 3,  6.6,⑥⑪⑨
 8, 8,Ｎバンカｰバスタｰ, 44,平野優, 0.8,,,, 7, 27.7,⑨⑧⑦, 8,12,Ｃメモリｰシリング, 57,荻野琢, 0.9, 34, -21,*-17, 6, 13.6,⑩⑭⑭, 8,13,Ｌタｰフェル, 61,田中博, 0.6, 72,  14,  -8,10, 27.3,⑧⑧⑧, 8, 1,Ｂサイドアタック, 80,松山弘, 1.5, 51,   0, -28, 6, 11.3,②④④
 9,10,Ｅシｰフェリックス, 59,太宰啓, 0.9,,,, 5, 19.9,⑧⑥⑥, 9,11,Ｅマヤノカデンツァ, 54,松田大, 1.4, 29, -21, -22, 5, 10.5,⑭⑯⑮, 9,14,Ｆトウカイソニック, 69,的場勇, 0.6, 73,  14,  -6, 7, 11.8,⑫⑩⑨, 9, 4,Ｄグッドバニヤン, 78,松田大, 1.5, 52,   1, -28,11, 28.9,⑦⑥⑥
10,12,Ｂオｰルキャスト, 67,菅原隆, 1.3,,,, 6, 21.5,⑫⑬⑭,10,15,Ｆハナゾノ, 54,松山弘, 1.6, 25, -17, -36,13, 45.0,④④⑥,10, 1,Ｅカレンデイムｰン, 71,松山弘, 0.9, 69,  17, -14, 8, 11.9,⑤⑥⑤,10, 7,Ｌセイカミカワ, 73,西田雄, 1.9, 50,  -4, -24,13, 59.9,⑮⑮⑮
11, 1,Ｌフェアリｰズサン, 45,丸田恭, 1.4,,,,14,257.8,①①①,11, 5,Ｍセイウンホウガ, 47,上村洋, 1.6, 27, -22, -24,11, 43.0,⑰⑮⑯,11, 3,Ｉオマワリサン, 65,大野拓, 0.9, 70,  16, -15, 5,  8.3,⑨⑤④,11,10,Ｋフェイルノｰト, 73,吉田豊, 2.1, 44,*  3, -41, 1,  4.8,③②②
12,15,Ｍキネオシルバｰ, 45,黛弘人, 1.5,,,,13,216.5,⑬⑭⑮,12, 8,Ｋファｰゴ, 49,丸田恭, 1.7, 23, -17, -36, 4,  7.7,⑤⑦⑤,12, 7,Ｄラプリメｰラ, 74,勝浦正, 0.9, 69,  14, -12, 4,  7.9,⑥⑦⑦,12,16,Ｇセトノメジャｰ, 75,古川吉, 2.3, 46,   0, -36,10, 24.5,⑨⑧⑪
13, 3,Ｊクリノタイコウ, 50,西田雄, 1.5,,,,15,369.3,⑥⑨⑪,13,10,Ｏマサキセキ, 25,柴山雄, 1.8, 25, -21, -29,17,183.2,⑬⑬⑬,13, 5,Ｊウインラｰニッド, 64,吉田隼, 1.5, 62,* 20, -31, 6,  9.4,①①①,13, 5,Ｏスプリングバレル, 65,宮崎北, 2.5, 44,*  3, -48,15, 77.8,①①①
14, 4,Ｋシｰキングザロｰズ, 46,吉田隼, 2.3,,,, 8, 31.9,⑦⑦⑧,14, 9,Ｌクラシックヴィオラ, 48,小坂忠, 2.4, 21, -25, -26,18,273.3,⑱⑱⑱,14, 6,Ｏパンドラクラウン, 54,高倉稜, 1.6, 63,   9, -11,15,237.7,⑭⑯⑮,14,14,Ｎマリアビスティｰ, 69,国分優, 2.6, 44,   0, -41, 9, 18.7,⑧⑦⑩
15,14,Ｉラストツヨシ, 51,嘉藤貴, 3.3,,,, 9, 33.8,⑩⑩⑫,15, 2,Ｄオｰプンウォｰタｰ, 55,太宰啓, 2.5, 19, -18, -44,16,130.6,⑮⑩⑧,15, 9,Ｈリンゴット, 66,山崎亮, 3.1, 46,  12, -40, 9, 15.0,⑩⑨⑪,15, 9,Ｐラガｰアンバｰ, 65,大野拓, 2.6, 44,  -4, -32,16, 96.4,⑯⑯⑯
,,,,,,,,,,,,16, 6,Ｎヒカリサｰベル, 46,田中博, 3.7, -1, -19, -63,12, 44.8,⑧⑥⑨,16, 2,Ｎナンヨｰオウトｰ, 54,丹内祐, 3.3, 45,  11, -39,16,309.6,⑬⑬⑭,16, 3,Ｈテツキセキ, 75,藤岡康, 2.8, 43,   1, -46,12, 45.9,⑤⑤⑤
,,,,,,,,,,,,17,13,Ｉシｰクレットリボン, 51,丹内祐, 3.8, -3,*-16, -71,14, 91.8,②②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,17, エフジェイミラクル,---,国分優, 5.2,-14, -23, -73, 8, 29.8,⑯⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:不良,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:重(指数:6),,,,,,,,,,,
"単勝:210円 複勝:06=110円 02=1,570円 13=1,330円 枠連:4,490円",,,,,,,,,,,,"単勝:600円 複勝:03=230円 04=350円 18=200円 枠連:3,840円",,,,,,,,,,,,単勝:680円 複勝:04=250円 12=880円 15=190円 枠連:990円,,,,,,,,,,,,"単勝:510円 複勝:12=190円 06=470円 11=230円 枠連:2,500円",,,,,,,,,,,
"馬連:7,500円 ワイド:02-06=4,190円 06-13=2,700円 02-13=40,540円",,,,,,,,,,,,"馬連:3,620円 ワイド:03-04=1,010円 03-18=700円 04-18=1,530円",,,,,,,,,,,,"馬連:8,990円 ワイド:04-12=2,720円 04-15=550円 12-15=3,250円",,,,,,,,,,,,"馬連:4,310円 ワイド:06-12=1,490円 11-12=800円 06-11=2,330円",,,,,,,,,,,
"馬単:9,260円 3連複:152,780円 3連単:607,790円",,,,,,,,,,,,"馬単:5,690円 3連複:7,000円 3連単:50,410円",,,,,,,,,,,,"馬単:19,120円 3連複:17,460円 3連単:120,920円",,,,,,,,,,,,"馬単:8,120円 3連複:12,060円 3連単:72,870円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂバハドゥｰル, 63,藤岡康,,,,, 3,  4.3, ②②, 1, 6,Ｇビレッジペガサス, 66,吉田豊,,,,, 3,  5.5, ⑤⑤, 1, 7,Ｎラインレグルス, 64,吉田隼,,,,, 1,  3.1,①①①, 1,13,Ｃパワフルキリシマ, 76,川須栄,, 78,   4,* 10, 3,  6.2, ⑮⑮
 2, 5,Ｈタマラマ, 55,松山弘, 0.1,,,, 2,  4.2, ⑦④, 2, 8,Ａエｰシンバサラ, 72,川須栄, 0.2,,,, 1,  2.6, ②②, 2,13,Ａコスモイフリｰト, 75,丹内祐, 0.4,,,, 6, 11.4,⑥⑤④, 2,16,Ｆレディオスソｰプ, 72,勝浦正, 0.1, 77,   9,   1, 7, 20.5, ⑦⑧
 3,12,Ａミヤビリファイン, 66,吉田豊, 0.5,,,, 1,  3.8, ③③, 3,11,Ｄリズミックビｰト, 71,太宰啓, 0.5,,,, 2,  4.2, ⑬⑫, 3, 1,Ｉシルクプラズマ, 69,藤懸貴, 0.5,,,, 2,  4.1,④③③, 3, 1,Ａエトピリカ, 79,松山弘, 0.1, 78,   9,   1, 2,  4.5, ⑧⑦
 4,16,Ｇドｰントレス, 57,大下智, 1.1,,,,10, 66.1, ⑥⑥, 4,15,Ｃネグレスコ, 72,丸田恭, 0.5,,,, 4,  6.5, ④④, 4,10,Ｌナリタボルト, 67,太宰啓, 1.1,,,, 5, 10.3,③②②, 4, 5,Ｑトｰセンカルツェ, 55,吉田豊, 0.3, 73,   5,   3,10, 28.7, ⑬⑬
 5, 7,Ｄトウショウハマｰ, 60,太宰啓, 1.3,,,, 4,  6.0, ①①, 5,12,Ｅエルチョコレｰト, 69,小坂忠, 0.6,,,, 6, 17.4, ⑨⑧, 5,15,Ｈサトノサウザｰ, 69,藤岡康, 1.4,,,, 3,  5.5,⑦⑥⑤, 5, 4,Ｅウエストエンド, 73,吉田隼, 0.4, 76,* 14,  -9, 6, 16.4, ②②
 6, 9,Ｅティアップハッピｰ, 60,大野拓, 1.4,,,, 6, 15.8, ⑤⑤, 6, 7,Ｂノボクン, 72,松山弘, 0.8,,,, 8, 21.6, ⑪⑩, 6, 3,Ｆヤマニンティグル, 70,柴山雄, 1.4,,,, 7, 15.6,⑧⑪⑩, 6, 8,Ｂリバｰハイランド, 78,太宰啓, 0.4, 74,   9,  -2, 1,  4.2, ⑨⑨
 7,14,Ｆアポロダッシュ, 57,川須栄, 1.5,,,, 8, 17.6, ⑫⑩, 7,10,Ｋマッシヴリｰダｰ, 60,藤岡康, 1.0,,,, 7, 20.8, ③③, 7, 4,Ｂイマカツタイガｰ, 72,武英智, 1.6,,,,12, 69.1,⑤⑦⑦, 7,14,Ｏマイティｰスコｰル, 61,藤岡康, 0.4, 74,   5,   3,12, 35.5, ⑭⑭
 8, 2,Ｉヒシアｰト, 52,柴山雄, 1.5,,,, 9, 24.8, ⑧⑧, 8,14,Ｎバトルシュリイマン, 58,的場勇, 1.2,,,, 5, 17.3, ①①, 8,12,Ｍファンキｰタウン, 65,黛弘人, 2.0,,,,15,170.0,⑫⑬⑫, 8, 9,Ｇクリノトルネｰド, 71,宮崎北, 0.4, 74,   8,  -1, 9, 24.3, ⑪⑫
 0, 4, メモリｰシャルマン,---,高倉稜, 1.6,,,,12, 90.6, ⑯⑮, 9,16,Ｍロッセ, 59,中井裕, 1.3,,,, 9, 41.9, ⑭⑬, 9, 6,Ｄメイショウリバｰ, 71,鮫島良, 2.0,,,, 9, 39.8,⑮⑩⑨, 9, 6,Ｈセレスロンディｰ, 71,松田大, 0.5, 74,  12,  -7, 5,  7.6, ⑤⑤
 9, 6, カシュカシュ,---,藤懸貴, 1.8,,,,14,203.1, ⑪⑪,10, 1,Ｌディフィｰタｰ, 59,丹内祐, 1.3,,,,11, 67.7, ⑦⑦,10, 2,Ｐシンワハｰツクライ, 52,高倉稜, 2.1,,,,11, 56.9,⑯⑮⑮,10,18,Ｍヴィｰヴァブｰケ, 64,大野拓, 0.5, 73,   1,*  9,11, 32.5, ⑱⑱
10,15,Ｌビッグヘッド, 39,丸田恭, 2.0,,,,13,174.4, ⑬⑬,11, 3,Ｈホウショウアビル, 63,大野拓, 1.4,,,,10, 42.7, ⑫⑪,11, 9,Ｃウインシュヴァルツ, 72,荻野琢, 2.2,,,, 4,  8.3,⑨⑨⑪,11,10,Ｌビｰム, 64,田中博, 0.6, 74,* 15, -13,15, 72.4, ①①
11,10, フジヤマパレｰド,---,荻野琢, 2.3,,,,15,287.7, ⑭⑫,12, 9,Ｆイフノットナウ, 67,西田雄, 1.5,,,,12,102.7, ⑥⑥,12, 8,Ｋメルシｰサイレンス, 67,水口優, 2.3,,,, 8, 32.8,②④⑥,12,12,Ｉサンデｰスイセイ, 70,柴山雄, 0.6, 71,   1,*  4,13, 45.7, ⑰⑰
12,11, ベティｰズホｰプ,---,吉田隼, 2.6,,,, 5, 12.9, ⑩⑭,13,13,Ｊカシノスタｰライト, 61,平野優, 1.6,,,,15,251.9, ⑧⑨,13,11,Ｊプロスアンドコンズ, 68,川須栄, 2.3,,,,10, 46.5,⑭⑭⑭,13,17,Ｋショウナンアトム, 65,高倉稜, 0.7, 69,   3,   2,17,192.0, ⑯⑯
13,13,Ｋアルテバンダム, 46,田中博, 4.8,,,,16,310.3, ⑮⑯,14, 2,Ｐトｰセンパｰシモン, 53,田中博, 2.4,,,,14,132.7, ⑮⑮,14,16,Ｏウィズインカチドキ, 62,畑端省, 3.0,,,,14,159.7,⑩⑧⑧,14,11,Ｐバンダムクラウス, 59,古川吉, 0.8, 71,  10,  -9,16,114.0, ⑥⑥
14, 8,Ｊダｰクアイリス, 52,宮崎北, 5.6,,,,11, 88.1, ④⑦,15, 4,Ｏスズカジェネラル, 54,武英智, 3.1,,,,16,313.1, ⑯⑯,15, 5,Ｅエルウェｰオｰジャ, 71,松山弘, 3.2,,,,13, 86.6,⑪⑯⑯,15, 3,Ｄボンジュｰルメロン, 75,村田一, 0.9, 69,* 13, -13, 4,  6.9, ④④
,,,,,,,,,,,,16, 5,Ｉサトノスパイダｰ, 62,上村洋, 3.1,,,,13,127.1, ⑩⑭,16,14,Ｇディアトゥドリｰム, 70,村田一, 3.4,,,,16,224.1,⑬⑫⑬,16,15,Ｊサトノロック, 67,国分優, 1.2, 68,* 14, -19, 8, 21.4, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｎオメガクリスマス, 63,上村洋, 1.8, 59,   8, -18,14, 58.0, ⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｒサンマルダンサｰ, 42,嘉藤貴, 2.4, 52,   8, -26,18,322.9, ⑩⑪
