12年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 5, 1,Ｉアンブリッジ, 33,田中勝, 0.4, 47, -14,* 10, 1,  2.5, ⑦⑦, 5, 5,Ｆケイアイアポロン, 71,内田博, 0.3, 69,   0,   7, 6, 13.5, ⑨⑨, 5, 8,Ｂタツミリュウ, 79,吉田豊, 0.4, 75,  -1,  14, 6, 13.9, ⑥⑥, 5, 6,Ｄマルセリｰナ, 86,岩田康, 0.4, 87,   8,* 28, 3,  8.5,⑧⑪⑫
 6, 3,Ｃスノｰドロップ, 43,吉田豊, 1.1, 37, -11,  -6, 5, 11.3, ④④, 6, 7,Ｅフィンデルムンド, 71,田辺裕, 0.4, 69,   2,   5, 7, 21.2, ⑩⑥, 6, 4,Ｄルアｰズストリｰト, 78,秋山真, 0.5, 73,   7,   2, 4,  9.5, ②②, 6, 5,Ｅゴｰルデングロｰブ, 86,勝浦正, 0.4, 85,  11,  20, 8, 21.5,⑥⑦⑦
 7, 4,Ｊカシノハッピｰ, 31,二本柳, 1.3, 33,* -1, -24,11,170.5, ②②, 7,11,Ｇリバティｰアゲイン, 71,三浦皇, 0.5, 67,   2,   4, 9, 28.8, ⑤⑤, 7, 6,Ｅニコｰルバロｰズ, 77,松岡正, 0.5, 76,  -6,* 21, 5, 13.1, ⑬⑬, 7, 2,Ｃエｰシンリタｰンズ, 89,北村宏, 0.4, 84,  13,  15, 4,  8.7,②③③
 8,10,Ｇケイツｰネイト, 37,武士沢, 1.3, 38, -16,   3, 8, 58.8, ⑩⑩, 8, 8,Ｄデルマダイコク, 73,木幡初, 0.6, 66,   4,   1, 2,  3.2, ④④, 8, 5,Ｈニシノスタイル, 74,高倉稜, 0.6, 74,  -4,  18, 8, 25.6, ⑫⑫, 8,13,Ｉオｰルザットジャズ, 84,藤岡佑, 0.5, 87,   9,  23, 6, 12.5,⑫⑫⑪
 9, 8,Ａメリオンジョｰ, 48,嘉藤貴, 1.4, 35, -15,  -3, 9, 74.9, ⑧⑧, 9,12,Ｋプロポｰズ, 65,古川吉, 0.7, 66,  -4,   8,11,128.6, ⑫⑫, 9, 9,Ｆコスモドロス, 75,丹内祐, 0.6, 74,  -2,  14,10, 44.7, ⑨⑨, 9, 9,Ｏアニメイトバイオ, 78,丸山元, 0.5, 87,   5,* 31,14, 71.2,⑬⑭⑮
10, 5,Ｄソデフリン, 42,古川吉, 1.5, 36, -20,   5,10, 84.5, ⑪⑪,10, 1,Ｊプラススキｰラブ, 68,田中勝, 0.7, 65,   0,   4,10, 75.3, ⑥⑦,10, 3,Ｉイトククリ, 72,横山典, 0.7, 67,* 21, -19, 9, 32.7, ①①,10, 3,Ｆアプリコットフィズ, 86,田中勝, 0.6, 84,   9,  22, 7, 19.2,⑪⑩⑩
11,11,Ｆシャトｰザｰル, 40,丸山元, 1.8, 30, -15,  -9, 7, 41.0, ⑨⑨,11, 6,Ｂヒカルソラフネ, 75,横山典, 1.3, 60,   3,  -4, 1,  3.0, ③③,11, 7,Ｍアイアンデュｰク, 66,柴田善, 0.9, 70,  -1,   9,12,150.9, ⑧⑧,11,17,Ｈホエｰルキャプチャ, 85,横山典, 0.6, 81,  13,  12, 2,  4.3,⑤④④
,,,,,,,,,,,,12, 4,Ｌラブソングフォナナ, 41,高倉稜, 2.7, 49,  -4,  -9,12,322.5, ⑪⑪,12,11,Ｋラテアｰト, 68,田辺裕, 1.0, 69,  -6,  14,11, 99.4, ⑭⑭,12, 4,Ｇクリスマスキャロル, 86,秋山真, 0.6, 86,   7,  26,11, 42.5,⑮⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｌキルシュバウム, 66,勝浦正, 1.2, 65,   3,  -1,13,348.1, ④④,13,10,Ｍメｰヴェ, 79,宮崎北, 0.8, 82,   9,  17,12, 51.4,⑦⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｎメイショウデュｰイ, 63,小島太, 1.3, 64,   1,   1,14,392.3, ⑤⑤,14, 1,Ｎメルヴェイユドｰル, 78,三浦皇, 0.8, 85,   5,* 28,16,233.7,⑰⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｋシｰスナイプ, 84,丹内祐, 1.0, 76,* 18,  -3,15,126.6,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｐプティプランセス, 77,武士沢, 1.8, 70,   5,  12,17,259.3,⑯⑰⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｑエリンコｰト, 75,石橋脩, 2.4, 63,  12, -12,13, 51.8,⑩⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,
単勝:680円 複勝:06=170円 09=140円 02=160円 枠連:610円,,,,,,,,,,,,"単勝:2,340円 複勝:02=530円 09=280円 03=310円 枠連:3,820円",,,,,,,,,,,,単勝:200円 複勝:13=120円 01=300円 14=210円 枠連:960円,,,,,,,,,,,,"単勝:3,180円 複勝:14=640円 08=310円 11=150円 枠連:4,180円",,,,,,,,,,,
馬連:990円 ワイド:06-09=390円 02-06=610円 02-09=360円,,,,,,,,,,,,"馬連:6,690円 ワイド:02-09=1,900円 02-03=1,830円 03-09=800円",,,,,,,,,,,,"馬連:1,320円 ワイド:01-13=580円 13-14=300円 01-14=1,440円",,,,,,,,,,,,"馬連:18,720円 ワイド:08-14=3,820円 11-14=1,680円 08-11=620円",,,,,,,,,,,
"馬単:2,310円 3連複:1,970円 3連単:13,300円",,,,,,,,,,,,"馬単:15,490円 3連複:10,430円 3連単:82,950円",,,,,,,,,,,,"馬単:1,610円 3連複:2,150円 3連単:9,080円",,,,,,,,,,,,"馬単:46,480円 3連複:15,640円 3連単:173,540円",,,,,,,,,,,
■ 3R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾗﾀﾅｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, モリトリュウコ,---,武士沢,, 66,  -6,* 10, 8, 20.8, ⑭⑬, 1, 4,Ｂツクババンドｰオｰ, 75,武士沢,, 73,* -6,  16, 4,  5.8, ①①, 1,12,Ｇヴェルデホ, 58,横山典,, 65,   1,* 13, 2,  3.1, ⑬⑬, 1, 6,Ｃドラゴンヴォイス, 83,蛯名正,, 81,   8,* 11, 1,  3.2,⑧⑧⑧
 2, 9, デルマヌラリヒョン,---,木幡初, 0.4, 59,*  1,  -5,10, 39.6, ④③, 2, 5,Ｃセンキ, 74,松岡正, 0.1, 70,* -7,  17, 5,  7.5, ③③, 2, 6,Ｃクリソライト, 63,松岡正, 0.2, 65,   0,* 14, 1,  2.7, ⑮⑮, 2,12,Ａロｰマンエンブレム, 93,田中勝, 0.0, 78,*  9,   6, 2,  4.8,②①①
 3, 2, クイックスパイダｰ,---,丹内祐, 0.7, 58,  -3,  -2,13, 64.8, ⑩⑨, 3, 3,Ａプリュキエｰル, 76,北村宏, 0.2, 70,  -8,  17, 1,  2.9, ⑦⑥, 3,13,Ｊワイルドドラゴン, 55,蛯名正, 0.2, 65,   3,   8, 7, 19.2, ⑦⑤, 3, 1,Ｂコスタパルメｰラ, 83,吉田豊, 0.2, 79,   7,* 13, 3,  7.7,⑩⑫⑬
 4, 4, トキメキボｰイ,---,古川吉, 0.8, 58,  -5,*  1,11, 43.8, ⑬⑪, 4, 2,Ｅマコトロｰゼンボｰ, 71,藤岡佑, 0.3, 72,  -8,  17, 3,  5.0, ④④, 4,11,Ｉホワイトフリｰト, 56,内田博, 0.6, 63,   1,   9, 6, 17.5, ⑫⑫, 4,10,Ｋテイエムデジタル, 74,宮崎北, 0.3, 77,   7,  10,14,149.1,⑦⑪⑩
 5, 1, ゴｰルドメイン,---,嘉藤貴, 1.0, 56,  -1,  -8,14,110.2, ⑧⑥, 5, 6,Ｄダテノスイミｰ, 72,蛯名正, 0.4, 71,  -9,* 19, 6,  7.8, ⑨⑧, 5,16,Ｅドコフクカゼ, 60,岩田康, 0.7, 62,   2,   6, 4,  8.0, ⑪⑨, 5, 4,Ｈオリオンザアルファ, 77,松岡正, 0.3, 78,   9,   6,10, 26.5,⑭⑦⑥
 6,15, ダンディｰソル,---,吉田豊, 1.2, 54,  -1,  -9, 9, 26.5, ⑨⑦, 6, 7,Ｈマウシャｰレ, 62,吉田豊, 0.4, 71,  -9,  18, 9,156.2, ⑤⑦, 6,15,Ｈザショットアロｰ, 57,木幡初, 0.7, 61,  -2,* 11,14,199.0, ⑯⑯, 6,16,Ｆトリノ, 78,高倉稜, 0.4, 77,* 10,   4, 6, 10.6,④③③
 7,14, ジオメトリｰ,---,大庭和, 1.4, 55, -10,*  3,15,161.4, ⑮⑮, 7, 1,Ｆシンボリスウィフト, 69,木幡初, 0.5, 69, -11,* 19, 7, 58.5, ⑧⑨, 7, 8,Ａタイセイロバリｰ, 75,勝浦正, 0.8, 60,   3,   3, 3,  6.9, ③④, 7,15,Ｍミッキｰナチュラル, 73,三浦皇, 0.4, 77,   6,* 11, 8, 17.3,⑮⑭⑭
 8, 7, スズノニシキ,---,勝浦正, 1.5, 52,  -5,  -6, 5, 11.6, ⑪⑩, 8, 9,Ｇレッドサイファｰ, 69,内田博, 1.0, 65,  -8,  11, 2,  4.0, ⑥⑤, 8,10,Ｄポルスタｰシャイン, 62,丸山元, 0.9, 60,*  4,   0, 8, 33.6, ④③, 8,14,Ｉエｰペックス, 75,岩田康, 0.7, 76,   8,   5,11, 26.9,③⑨⑨
 9,11, レアパルファム,---,岩田康, 1.8, 50,   0, -16, 2,  3.3, ③④, 9, 8,Ｉクラウンビｰスト, 52,田辺裕, 2.3, 53,* -7,  -3, 8,119.1, ②②, 9,14,Ｌコンプリｰトゲｰム, 50,石橋脩, 1.0, 60,   2,   3,15,203.3, ⑧⑦, 9, 8,Ｊアイノグロｰ, 74,武士沢, 0.9, 76,   6,   8,15,207.5,⑯⑯⑮
10, 5, モリミヤビ,---,田中勝, 1.9, 49,  -7,  -6, 4, 11.0, ⑫⑭,,,,,,,,,,,,,10, 2,Ｏイｰサンヘイロｰ, 48,田辺裕, 1.2, 58,   1,   4,11, 89.9, ⑨⑩,10, 5,Ｇスペシャルイモン, 77,丸山元, 1.1, 73,   6,   5, 9, 24.4,⑬⑬⑫
11, 8, タイキグラミｰ,---,蛯名正, 2.4, 46,  -2, -19, 1,  3.1, ⑥⑧,,,,,,,,,,,,,11, 1,Ｆトラスティｰ, 59,三浦皇, 1.3, 57,   0,   4, 5, 16.4, ⑭⑭,11, 9,Ｅルシャンベルタン, 78,北村宏, 1.1, 73,   7,   3, 4,  8.4,⑪⑩⑪
12,13, クレバｰセレクト,---,田辺裕, 2.6, 43,   0, -23, 6, 12.4, ⑤⑤,,,,,,,,,,,,,12, 3,Ｂカシノパシオン, 68,藤岡佑, 1.9, 54,   1,  -3, 9, 40.5, ⑩⑪,12, 2,Ｎイルポスティｰノ, 71,田辺裕, 1.2, 71,   9,  -2, 7, 14.0,①⑤④
13, 6, トｰセンジャスト,---,内田博, 2.8, 43,*  3, -28, 3,  6.8, ①①,,,,,,,,,,,,,13, 7,Ｍクリスクリングル, 50,北村宏, 2.3, 47,*  5, -13,13, 98.5, ①①,13, 7,Ｄギャザｰロｰジズ, 80,内田博, 1.7, 69,   9,  -6, 5,  9.0,⑫④⑤
14,10, キンシバイ,---,高倉稜, 3.0, 41,*  1, -29,12, 62.7, ②②,,,,,,,,,,,,,14, 5,Ｐチェリｰサタｰン, 43,古川吉, 2.3, 48,   2, -10,16,376.8, ⑥⑥,14,11,Ｐセイカミカワ, 66,勝浦正, 2.4, 64,   8, -10,16,359.5,⑤⑥⑦
15,12, リアルフリｰ,---,北村宏, 3.6, 36,  -6, -22, 7, 20.2, ⑦⑫,,,,,,,,,,,,,15, 9,Ｎゴｰインググレｰト, 49,柴田善, 2.4, 48,*  5, -14,12, 93.5, ②②,15, 3,Ｏサウスパシフィック, 67,木幡初, 3.7, 57,   5, -13,12, 68.7,⑥⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｋディｰエスコマンド, 53,田中勝, 2.6, 45,   2, -10,10, 44.7, ⑤⑧,16,13,Ｌクｰルヴェント, 73,柴田善, 4.7, 52,* 10, -33,13,101.7,⑨②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
"単勝:2,080円 複勝:03=570円 09=950円 02=1,780円 枠連:1,970円",,,,,,,,,,,,"単勝:580円 複勝:04=170円 05=180円 03=120円 枠連:2,040円",,,,,,,,,,,,単勝:310円 複勝:12=160円 06=130円 13=360円 枠連:400円,,,,,,,,,,,,単勝:320円 複勝:06=150円 12=200円 01=220円 枠連:810円,,,,,,,,,,,
