12年 3月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
13, 1,Ｍサンマルジャパン, 40,吉田隼, 4.2,,,,13,179.8,⑪⑭⑭,13, 3,Ｆマイネルリヒト, 59,大野拓, 3.2, 48,  12, -42, 9, 90.7,⑤⑥⑦,13, 4,Ｏブルｰアンブロシア, 57,松田大, 1.2, 66,   2,   6,16,106.2, ⑱⑰,13, 7,Ｋプロポｰズ, 72,伊藤工, 2.0, 64,  18, -15,14, 43.4,⑥⑥⑥
14,13,Ｌソングライダｰ, 47,高倉稜, 4.5,,,, 7, 31.3,⑦⑥⑦,14, 4,Ｋウォｰレンバロｰズ, 51,鮫島良, 3.5, 45,   9, -41,13,213.1,⑪⑭⑬,14,12,Ｒスイｰトシャルマン, 47,横山和, 1.3, 63,   3,   3,18,164.5, ⑮⑮,14,13,Ｎエフティシュタルク, 64,丹内祐, 2.4, 60,  16, -19, 8, 18.1,④⑦⑧
,,,,,,,,,,,,15,12,Ｑカネトシダイスタｰ, 23,菅原隆, 4.3, 41,* 14, -64,15,240.3,①①①,15,17,Ｍメジロソフィア, 61,柴山雄, 1.5, 63,   7,  -4,14, 84.1, ⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｐヴィアフェラｰタ, 38,村田一, 4.5, 40,   9, -55,11,117.8,⑩⑫⑭,16,10,Ｎマルカレガｰト, 60,国分優, 1.7, 60,   3,  -2,15, 96.6, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,17,15,Ｎフィリラ, 45,松山弘, 4.5, 40,* 13, -63, 5, 22.4,④③④,17, 3,Ｑワイドロｰタス, 53,大野拓, 1.8, 60,   4,  -4,17,142.0, ⑭⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｐハナカゲ, 56,松山弘, 2.2, 56,* 12, -20,11, 49.3, ②②,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:8),,,,,,,,,,,
"単勝:230円 複勝:03=110円 12=3,280円 08=150円 枠連:4,470円",,,,,,,,,,,,単勝:120円 複勝:02=110円 09=470円 06=130円 枠連:780円,,,,,,,,,,,,"単勝:750円 複勝:13=230円 09=430円 14=240円 枠連:1,690円",,,,,,,,,,,,"単勝:3,990円 複勝:06=840円 09=240円 02=350円 枠連:3,200円",,,,,,,,,,,
"馬連:19,240円 ワイド:03-12=4,710円 03-08=230円 08-12=4,880円",,,,,,,,,,,,"馬連:1,840円 ワイド:02-09=680円 02-06=150円 06-09=1,240円",,,,,,,,,,,,"馬連:6,400円 ワイド:09-13=2,270円 13-14=920円 09-14=1,720円",,,,,,,,,,,,"馬連:17,840円 ワイド:06-09=3,810円 02-06=7,910円 02-09=1,170円",,,,,,,,,,,
"馬単:25,900円 3連複:15,370円 3連単:117,350円",,,,,,,,,,,,"馬単:2,030円 3連複:1,960円 3連単:8,600円",,,,,,,,,,,,"馬単:13,180円 3連複:12,540円 3連単:93,090円",,,,,,,,,,,,"馬単:45,930円 3連複:58,990円 3連単:549,460円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａゲンパチメジャｰ, 67,勝浦正,,,,, 1,  1.8, ①①, 1, 6,Ｄサｰストンサラ, 67,大野拓,,,,, 9, 41.2, ④②, 1, 3,Ａパンジャ, 78,吉田隼,,,,, 1,  1.9,⑤⑥⑥, 1, 1,Ｇマリアビスティｰ, 70,松田大,, 65,* -5,  -2, 6,  9.5,①①①
 2, 1,Ｋオレハメジャｰ, 49,水口優, 0.8,,,, 8, 43.6, ③②, 2,10,Ｂサマｰソング, 73,太宰啓, 0.4,,,, 4,  6.9, ⑤⑥, 2, 7,Ｅラインレグルス, 69,森一馬, 0.0,,,, 3,  6.9,①①①, 2,11,Ａマイネルシュライ, 77,伊藤工, 0.3, 64,  -9,*  1, 5,  8.3,③③④
 3,11, ブラックウィドｰ,---,川須栄, 0.9,,,, 4, 13.7, ④④, 3, 1,Ｊアｰスソング, 62,川須栄, 0.4,,,, 1,  3.8, ①①, 3, 8,Ｄアｰルシネマスタア, 72,田中博, 0.1,,,, 2,  5.5,⑥⑤③, 3, 8,Ｋシルクレイノルズ, 62,柴山雄, 0.4, 61,* -8,  -3, 7,  9.9,②②②
 4,14,Ｂギルドマスタｰ, 62,中井裕, 1.2,,,, 2,  4.1, ⑫⑫, 4, 8,Ｅカルトマリｰヌ, 65,吉田稔, 0.6,,,, 7, 13.7, ⑪⑪, 4,11,Ｂストライビング, 74,大野拓, 0.3,,,, 4,  8.8,②②②, 4, 5,Ｂトウシンヤマト, 74,国分優, 0.5, 64,  -9,*  1, 2,  5.0,⑩⑦⑤
 5, 6,Ｈヒミノオオワシ, 52,松田大, 1.4,,,,11, 69.6, ⑥⑥, 5, 3,Ｐラヴフェアリｰ, 48,水口優, 0.7,,,,13, 75.7, ⑭⑫, 5, 2,Ｆトップストライド, 68,吉田稔, 0.6,,,,11,108.7,⑦⑦⑦, 5,12,Ｆジョウノアラミス, 72,高倉稜, 1.0, 57, -10,  -3, 1,  2.9,⑨⑨⑨
 6, 8,Ｇシゲルマスカット, 53,太宰啓, 1.4,,,,10, 66.6, ⑪⑩, 6,12,Ａミエノグレｰス, 75,吉田隼, 0.7,,,, 2,  3.9, ⑩⑩, 6, 6,Ｃイｰグル, 73,鮫島良, 0.8,,,, 5, 11.2,③③④, 6, 7,Ｅビリｰヴマイン, 72,丸田恭, 1.1, 58, -13,*  0, 3,  7.2,⑫⑫⑪
 7, 5,Ｅシルクダヴィンチ, 55,平野優, 1.5,,,, 7, 26.1, ⑧⑤, 7, 9,Ｆアルボランシｰ, 65,中井裕, 0.8,,,, 6, 10.5, ⑥⑤, 7, 4,Ｈマｰジｰビｰト, 66,丸田恭, 1.2,,,, 8, 37.7,⑧⑧⑧, 7, 4,Ｄワンダｰアｰムフル, 72,黛弘人, 1.3, 53,  -9, -10, 9, 26.6,④⑤⑥
 8,10,Ｄコズミックガｰル, 56,杉原誠, 1.5,,,,14,216.5, ⑬⑬, 8, 7,Ｋカナエチャン, 62,菱田裕, 0.9,,,,12, 66.1, ③④, 8, 5,Ｊタガノプリンス, 62,川須栄, 1.2,,,, 6, 18.2,⑪⑪⑪, 8,10,Ｉヴェラシティ, 65,川須栄, 1.4, 52,  -9, -11, 8, 25.4,⑤⑥⑦
 9,12,Ｆアストロフォンテン, 55,横山和, 1.6,,,,13,119.1, ⑯⑯, 9,14,Ｌティルトウイング, 60,高倉稜, 1.0,,,, 8, 27.8, ⑨⑨, 9, 1,Ｋマルカゴクウ, 62,黛弘人, 1.5,,,, 9, 37.9,⑩⑩⑩, 9, 6,Ｃデｰヴァロｰカ, 73,吉田隼, 1.5, 52, -10, -10, 4,  8.2,⑧⑧⑧
10,16,Ｍヤマニンエミュ, 42,柴山雄, 1.7,,,,16,282.3, ⑮⑮,10,16,Ｎブランシェｰル, 56,丸田恭, 1.6,,,, 3,  5.5, ⑦⑦,10, 9,Ｇツカサゲンキ, 67,長谷川, 1.6,,,,10, 45.5,④④⑤,10, 9,Ｊリッカメルド, 64,太宰啓, 2.2, 44, -13, -14,10, 52.1,⑪⑩⑩
11, 7, キョウワリベラル,---,松山弘, 1.7,,,, 6, 23.2, ⑤⑦,11, 2,Ｃゴｰルドマッシモ, 70,横山和, 1.6,,,,10, 46.4, ⑬⑬,11,10,Ｉセントヴァリｰ, 64,国分優, 1.6,,,, 7, 20.9,⑨⑨⑨,11, 2,Ｈヴィｰヴァサルｰテ, 69,古川吉, 2.2, 42,  -9, -25,11, 65.5,⑦④③
12, 3,Ｎシベリアンマックス, 24,西田雄, 2.1,,,,15,229.3, ⑭⑭,12,11,Ｏアルテリｰベ, 49,柴山雄, 1.8,,,,16,342.0, ⑮⑮,,,,,,,,,,,,,12, 3,Ｌアメｰジングミノル, 50,藤岡康, 3.8, 30, -14, -32,12,119.1,⑥⑪⑫
13, 2,Ｃオリエンタルポリｰ, 56,田中博, 2.2,,,, 5, 14.4, ②③,13, 5,Ｈシルクアイリス, 64,松山弘, 2.2,,,, 5, 10.0, ②③,,,,,,,,,,,,,,,,,,,,,,,,
14,15,Ｊヴィサｰジュ, 49,吉田稔, 2.2,,,, 3,  8.2, ⑦⑨,14,13,Ｉトｰアティアレ, 63,西田雄, 2.4,,,,15,223.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Ｌアドマイヤマグマ, 48,丸田恭, 2.3,,,, 9, 45.1, ⑩⑧,15,15,Ｍレイナカスタｰニャ, 59,上村洋, 2.5,,,,14, 84.7, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｉサウレクィｰン, 52,黛弘人, 3.9,,,,12,113.6, ⑨⑪,16, 4,Ｇボウシュウロｰズ, 64,荻野琢, 3.5,,,,11, 56.6, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
