12年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
12, 3,Ｈカワキタミラクル, 47,渡辺薫, 2.8, 44,   1, -24,12,163.0, ⑧⑧,12,12, アラタマポケット,,田村太,217.8,,,,12, 95.4,⑫⑫⑬,12,11,Ｈデイジｰバロｰズ, 66,四位洋, 0.6, 74,   5,   3,11, 63.5, ⑪⑪,,,,,,,,,,,,
13,16,Ｊニジノハヤテ, 41,小坂忠, 2.8, 42,  -5, -16,14,194.1, ⑬⑭,13, 8, カワキタトップ,,横山義,218.2,,,,11, 47.0,⑨⑨⑨,13,10,Ｅマコトカリバｰン, 71,和田竜, 1.0, 69,   7,  -7,12, 81.6, ⑦⑦,,,,,,,,,,,,
14,11,Ｌタキノウェｰブ, 35,菱田裕, 3.7, 36,  -7, -21,16,449.3, ⑯⑯,14,14, サンレイデュｰク,,白浜雄,219.3,,,, 5, 10.4,⑭⑭⑭,14,16,Ｐカネトシカトリｰヌ, 61,酒井学, 1.1, 67,*  9, -13,14,110.5, ⑤⑤,,,,,,,,,,,,
15,10,Ｆフェブアクティヴ, 51,川島信, 3.8, 36,*  6, -39, 5, 17.8, ③③,,,,,,,,,,,,,15,18,Ｍコマノガレオス, 62,丸山元, 1.2, 65,   6, -10,16,146.7, ⑧⑩,,,,,,,,,,,,
16, 7,Ｐカシノフランキｰ, 30,酒井学, 4.6, 30,  -4, -32,13,187.6, ⑫⑮,,,,,,,,,,,,,16, 5,Ｑトウケイオリオン, 55,花田大, 1.4, 64,   4,  -7,18,260.5, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｉエリモロワイヤル, 64,水口優, 1.5, 63,   2,  -6,13, 92.8, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｒグリｰディｰボス, 54,藤懸貴, 1.8, 60,   1,  -7,17,240.5, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,
単勝:630円 複勝:09=210円 05=180円 06=610円 枠連:830円,,,,,,,,,,,,"単勝:410円 複勝:02=190円 06=1,080円 03=170円 枠連:4,570円",,,,,,,,,,,,単勝:630円 複勝:07=210円 13=150円 09=240円 枠連:630円,,,,,,,,,,,,単勝:440円 複勝:05=200円 04=810円 02=340円 枠連:0円,,,,,,,,,,,
"馬連:1,180円 ワイド:05-09=520円 06-09=1,830円 05-06=1,050円",,,,,,,,,,,,"馬連:30,680円 ワイド:02-06=8,050円 02-03=390円 03-06=3,950円",,,,,,,,,,,,"馬連:1,340円 ワイド:07-13=560円 07-09=930円 09-13=620円",,,,,,,,,,,,"馬連:7,500円 ワイド:04-05=1,940円 02-05=830円 02-04=2,800円",,,,,,,,,,,
"馬単:2,920円 3連複:7,980円 3連単:42,910円",,,,,,,,,,,,"馬単:50,770円 3連複:31,910円 3連単:310,070円",,,,,,,,,,,,"馬単:2,890円 3連複:3,430円 3連単:20,880円",,,,,,,,,,,,"馬単:14,000円 3連複:18,450円 3連単:129,370円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1900m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,貴船ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａエｰルブリｰズ, 65,川田将,, 64, -12,*  6, 1,  1.5, ⑮⑬, 1, 5, ラストインパクト,---,川田将,, 63,  -4,  -1, 2,  2.2,④④③, 1, 4,Ｈアルバトン, 79,四位洋,, 84,   5,* 16, 3,  6.3,⑮⑪⑦, 1,11,Ｇアｰリｰデイズ, 80,福永祐,, 82,   4,* 14, 5, 10.0, ⑧⑧
 2,15,Ｂエメラルハヤブサ, 64,国分優, 0.1, 60,  -8,  -2, 7, 24.1, ⑦⑦, 2, 6, サンライズシルバｰ,---,四位洋, 0.2, 60,  -4,  -4, 3,  8.6,⑥⑤⑤, 2, 9,Ｐワンダｰスキｰ, 63,上村洋, 0.3, 79,* 10,   2,13, 79.3,①①①, 2, 8,Ｂワｰルドエンド, 83,丸山元, 0.1, 81,* 13,   4, 1,  4.4, ①①
 3,12,Ｃハｰトランド, 61,四位洋, 0.1, 58,* -6,  -5, 2,  6.6, ④③, 3, 8, サンライズウェイ,---,高倉稜, 0.2, 63,  -7,*  3, 9, 57.1,⑨⑧⑨, 3, 6,Ｌトウショウヘイロｰ, 75,川田将, 0.5, 77,*  9,   3, 2,  5.8,②②②, 3, 2,Ｉズンダモチ, 80,藤田伸, 0.2, 81,   4,  12,10, 28.5, ⑦⑦
 4, 1,Ｄイキ, 57,幸英明, 0.2, 59, -10,  -1, 6, 22.8, ⑧⑧, 4, 4, トゥザレジェンド,---,福永祐, 0.5, 58,  -6,  -4, 1,  2.2,⑤⑥⑥, 4, 2,Ｇスズカウラノス, 79,幸英明, 0.6, 77,   7,   6, 7, 11.6,⑥⑤③, 4, 3,Ｍオｰラレガｰレ, 74,幸英明, 0.3, 79,   9,   7, 8, 21.4, ⑤④
 5,14,Ｍミラクルラヴィ, 45,太宰啓, 0.2, 61, -16,*  7,13,224.8, ⑱⑰, 5,10, ヤマイチパｰトナｰ,---,芹沢純, 0.6, 55,* -3, -11, 5, 31.6,②②②, 5,13,Ｄソルモンタｰレ, 80,荻野琢, 1.0, 74,   7,   4, 6,  8.8,⑨⑧⑥, 5, 1,Ｆネオヴァンクル, 81,秋山真, 0.4, 77,   2,  12, 6, 11.5, ⑩⑩
 6, 4,Ｅキュｰルエアリス, 54,和田竜, 0.2, 58,* -7,  -5, 3, 11.1, ③④, 6, 3, キョウワシコウ,---,松山弘, 0.7, 56,  -8,  -1, 4, 13.1,⑧⑨⑧, 6, 7,Ｆサンマルボス, 79,国分優, 1.2, 74,   4,   7,14, 91.6,⑫⑫⑪, 6,13,Ｈサリエル, 80,田辺裕, 0.4, 78,  -3,* 18, 3,  4.9, ⑭⑭
 7, 9,Ｉサポｰトソング, 52,川島信, 0.5, 56, -11,  -3,15,257.8, ⑨⑩, 7, 1, タイセイホｰネット,---,和田竜, 0.9, 53,  -4, -13, 8, 50.5,③③④, 7, 5,Ｎフォントルロイ, 74,丸山元, 1.3, 73,   3,   7, 4,  6.4,⑭⑬⑬, 7, 7,Ｃビナスイｰト, 83,田村太, 0.5, 77,* 11,   2, 4,  6.1, ③③
 8, 7,Ｏゼンノビッグワン, 44,中舘英, 0.5, 53,* -5, -11, 8, 40.8, ①①, 8, 2, トミケンホッパス,---,川須栄, 1.0, 52,* -3, -17,10, 73.4,①①①, 8,11,Ｂラフィングインメイ, 81,和田竜, 1.3, 73,   8,  -2, 1,  3.4,④④④, 8, 6,Ｄコウエイフラッシュ, 82,川島信, 0.5, 77,   7,   7, 9, 22.1, ⑥⑥
 9, 2,Ｈサワヤカハンサム, 52,渡辺薫, 0.5, 56, -12,  -2,11, 86.6, ⑬⑨, 9, 9, トゥザルミナス,---,藤田伸, 2.2, 41,  -6, -28, 6, 35.5,⑦⑦⑦, 9, 3,Ｍメイショウスクラム, 75,武幸四, 1.3, 78,   5,   4,11, 61.5,⑧⑨⑩, 9,12,Ｋリッカアリュｰル, 76,国分恭, 0.6, 76,  -1,  13,12, 73.0, ⑬⑬
10,10,Ｆシゲルホウオウザ, 53,福永祐, 0.7, 51,  -8, -10, 4, 14.0, ⑥⑥,10, 7, メモリｰロワジｰル,---,古川吉, 2.4, 40, -11, -18, 7, 36.7,⑩⑩⑩,10, 1,Ｃブリリアントシチｰ, 81,松山弘, 1.8, 71,   2,   7,15,102.4,⑯⑯⑮,10, 9,Ｅコパノカチｰノ, 81,松山弘, 0.7, 75,   0,  11,13, 76.1, ⑫⑪
11, 3,Ｌカシノガｰネット, 47,水口優, 0.8, 53, -13,  -3,16,273.6, ⑭⑮,,,,,,,,,,,,,11,10,Ａダノンジュピタｰ, 83,福永祐, 1.9, 69,   4,   0, 5,  7.8,⑩⑩⑫,11, 5,Ａキングオブヘイロｰ, 90,中舘英, 1.0, 72,   8,   2, 2,  4.5, ④⑤
12,16,Ｐケツァルコアトル, 38,嘉藤貴, 0.8, 52, -14,  -3,18,613.7, ⑯⑱,,,,,,,,,,,,,12,14,Ｋスペシャルイモン, 76,川須栄, 1.9, 71,   3,   5,16,201.0,⑬⑮⑯,12,10,Ｊホクトキングダム, 76,太宰啓, 1.4, 69,   4,   2, 7, 13.6, ⑨⑨
13, 6,Ｇルゴス, 53,松山弘, 1.0, 47,  -8, -14, 5, 17.8, ⑤⑤,,,,,,,,,,,,,13,12,Ｉケイワイツヨシ, 77,菱田裕, 1.9, 69,   7,  -4, 8, 28.4,⑦⑦⑧,13,14,Ｎイセノスバル, 69,小林徹, 1.8, 67,   1,   1,14,113.6, ⑪⑫
14, 8,Ｑラガｰライオン, 35,熊沢重, 1.1, 47,* -4, -19,12,190.6, ②②,,,,,,,,,,,,,14, 8,Ｊスペシャルロｰド, 76,酒井学, 2.0, 71,   3,   3,10, 42.3,⑪⑭⑭,14, 4,Ｌアヤナルベルス, 74,熊沢重, 1.9, 65,* 11, -10,11, 71.1, ②②
15,17,Ｊシュンシャイン, 51,高倉稜, 1.1, 48, -12,  -9, 9, 41.5, ⑰⑯,,,,,,,,,,,,,15,16,Ｅワンダｰプリマ, 80,水口優, 2.1, 66,   7,  -7, 9, 39.7,③⑥⑨,,,,,,,,,,,,
16,13,Ｋキタノヘイロｰ, 48,丸山元, 1.9, 37, -11, -21,14,245.7, ⑪⑫,,,,,,,,,,,,,16,15,Ｏマイネルレガｰロ, 69,秋山真, 2.8, 61,   8, -16,12, 75.9,⑤③⑤,,,,,,,,,,,,
17,11,Ｎアンジュエ, 45,川須栄, 2.1, 35, -11, -24,10, 50.7, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Ｒワンダｰブライド, 28,野元昭, 2.3, 34, -10, -26,17,510.7, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:150円 複勝:05=110円 15=350円 12=150円 枠連:1,050円",,,,,,,,,,,,"単勝:220円 複勝:05=120円 06=280円 08=1,130円 枠連:1,180円",,,,,,,,,,,,"単勝:630円 複勝:04=270円 09=2,500円 06=230円 枠連:2,510円",,,,,,,,,,,,"単勝:1,000円 複勝:11=290円 08=220円 02=590円 枠連:1,480円",,,,,,,,,,,
"馬連:1,280円 ワイド:05-15=470円 05-12=190円 12-15=1,100円",,,,,,,,,,,,"馬連:1,040円 ワイド:05-06=360円 05-08=1,290円 06-08=2,510円",,,,,,,,,,,,"馬連:38,310円 ワイド:04-09=8,680円 04-06=1,000円 06-09=6,250円",,,,,,,,,,,,"馬連:2,710円 ワイド:08-11=1,100円 02-11=2,640円 02-08=2,150円",,,,,,,,,,,
"馬単:1,590円 3連複:1,660円 3連単:6,620円",,,,,,,,,,,,"馬単:1,410円 3連複:8,080円 3連単:23,090円",,,,,,,,,,,,"馬単:58,940円 3連複:77,010円 3連単:606,450円",,,,,,,,,,,,"馬単:6,160円 3連複:18,380円 3連単:102,270円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,太秦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃスタｰソｰド, 60,福永祐,, 73,*  2,* 11, 2,  4.6,①①①, 1,16, メイショウマンボ,---,飯田祐,, 56, -11,* -1, 1,  2.6, ⑧⑥, 1, 8,Ｇシゲルアセロラ, 74,高倉稜,, 87,* 13,   1, 5, 14.1, ①①, 1, 9,Ａスリｰボストン, 97,秋山真,, 88,   9,  15, 2,  4.1, ④②
 2, 7,Ｈゼンノコンゴウ, 45,和田竜, 0.6, 71,*  2,*  8, 3,  5.7,③④③, 2, 5, セｰノｰクイン,---,酒井学, 0.2, 53,* -7,  -9,10, 42.3, ①①, 2, 2,Ｄメイショウツガル, 76,古川吉, 0.2, 80,   4,*  8, 6, 14.3, ⑨⑥, 2, 1,Ｊエベレストオｰ, 84,国分恭, 0.5, 84,   9,  10, 9, 45.7, ③④
 3, 1,Ａマイネルハルカゼ, 66,田辺裕, 1.1, 65,*  2,   3, 1,  1.9,④③④, 3,14, トｰワフォｰエバｰ,---,川須栄, 0.2, 54, -12,* -1, 7, 22.3, ⑦⑦, 3, 3,Ｐケンブリッジヒｰロ, 69,福永祐, 0.4, 77,   3,*  6,10, 33.7, ⑪⑩, 3, 5,Ｂファリダット, 88,福永祐, 0.6, 83,   4,  14, 1,  3.1, ⑩⑩
 4, 3, タガノビリｰヴィン,---,武幸四, 1.7, 66,   1,   0, 5, 13.1,⑦⑥⑤, 4, 1, プランスペスカ,---,幸英明, 0.6, 50, -13,  -5, 9, 32.6, ⑨⑨, 4,17,Ｉサカジロロイヤル, 73,国分優, 0.5, 76,   4,   3, 2,  4.5, ⑧⑪, 4,11,Ｅトｰホウチェイサｰ, 87,田辺裕, 0.6, 82,   4,  14, 7, 14.8, ⑪⑪
 5, 5,Ｅスピｰディシャｰプ, 47,国分優, 2.7, 58,  -3,   2,13,298.6,⑪⑩⑩, 5, 7, サンマルビュｰティ,---,高倉稜, 0.8, 47,* -8, -14,13,109.1, ④③, 5,11,Ｋロンド, 71,川田将, 0.5, 77,   6,   2, 4, 10.7, ⑩⑨, 5,16,Ｉトキノフウジン, 84,四位洋, 0.7, 84,  -1,* 19, 5, 10.3, ⑮⑮
 6, 2,Ｄシゲルウミヘビザ, 52,藤懸貴, 3.0, 52,   1, -11,10,104.6,⑥⑦⑦, 6,11, ヒデノエタｰナル,---,国分優, 0.8, 47,* -8, -15, 4,  9.3, ②②, 6, 5,Ｃグッドルッキング, 79,秋山真, 0.6, 76,   7,   0,11, 33.7, ⑦⑦, 6,13,Ｈアｰスサウンド, 85,中舘英, 0.7, 81,* 11,   6, 8, 44.3, ①①
 7, 9,Ｇヴｰドゥｰフェスト, 46,高倉稜, 3.2, 50,*  2, -17, 6, 27.0,②②②, 7, 8, ニシノワン,---,菱田裕, 1.2, 42,  -9, -17, 8, 25.1, ⑤⑤, 7,15,Ｂアルｰリングライフ, 79,菱田裕, 0.8, 70,  -1,*  5, 3,  6.0, ⑯⑰, 7, 7,Ｍマルカバッケン, 84,川田将, 0.7, 82,   6,  11, 3,  5.7, ⑦⑦
 8, 6,Ｆメイキングドラマ, 47,幸英明, 3.3, 51,  -1, -11,11,184.4,⑨⑨⑨, 8, 4, カシノソラｰレ,---,野元昭, 1.3, 41, -15, -12,16,236.3, ⑩⑩, 8, 1,Ａトｰホウアマポｰラ, 81,幸英明, 0.8, 74,   8,  -5, 1,  3.0, ④③, 8, 4,Ｄクリスタルボｰイ, 87,和田竜, 0.7, 83,   6,  11, 6, 12.2, ⑥⑥
 9,12,Ｂナムラドキョウ, 60,太宰啓, 3.4, 50,*  1, -16, 4,  7.9,⑤⑤⑥, 9, 2, アザゼル,---,和田竜, 1.6, 39, -23,  -6, 2,  4.8, ⑭⑫, 9, 4,Ｌフレデフォｰト, 71,松山弘, 0.8, 71,  -1,*  5, 9, 23.3, ⑭⑬, 9,12,Ｆタンジブルアセット, 87,丸山元, 0.7, 82,   8,  10, 4,  7.0, ⑤⑤
10,13,Ｉテイエムシシｰポス, 42,鮫島良, 3.4, 53,   0, -12, 8, 72.5,⑧⑧⑧,10, 9, ドルチェダモｰレ,---,田辺裕, 1.8, 35, -10, -25, 3,  5.3, ⑥⑧,10,18,Ｎメイショウジェイ, 69,飯田祐, 1.0, 68,   0,   1,18,277.5, ⑰⑯,10,15,Ｎシゲルソウウン, 81,藤田伸, 0.8, 82,   1,  15,12, 65.9, ⑫⑫
11,11,Ｋメルクマｰル, 28,嘉藤貴, 6.1, 34,  -8, -21,12,279.6,⑫⑫⑫,11, 3, オンワｰドマイケル,---,熊沢重, 2.1, 36, -27,  -4,15,168.1, ⑮⑮,11,12,Ｆロジハｰツ, 75,中舘英, 1.1, 70,   8,  -8, 7, 15.4, ⑤⑤,11, 3,Ｃワンダｰポデリオ, 87,幸英明, 0.8, 81,   5,  12,14,107.0, ⑨⑨
12,10,Ｌダイショウザｰ, 26,国分恭, 6.9, 29,  -5, -33, 7, 30.3,⑩⑪⑪,12,12, ステイウェル,---,水口優, 2.2, 30, -15, -24, 5, 10.5, ⑪⑪,12, 7,Ｅフラムドｰル, 75,太宰啓, 1.2, 66,   3,  -4,12, 60.1, ⑫⑫,12,10,Ｏスリｰアリスト, 81,熊沢重, 0.9, 81,   1,  14,15,178.2, ⑬⑬
13, 8,Ｊメイショウゴリン, 35,松山弘, 8.4, 22, -16, -23, 9, 77.9,⑬⑬⑬,13,15, テイエムデンゲキ,---,松山弘, 2.4, 27,* -8, -36,12, 79.1, ③④,13,16,Ｏハｰトランドノリカ, 69,藤懸貴, 1.2, 66,   1,  -3,16,112.8, ⑬⑮,13, 2,Ｋゴｰルドバシリスク, 84,松山弘, 0.9, 80,  -6,* 21,11, 65.2, ⑯⑯
,,,,,,,,,,,,14, 6, メイショウトラスト,---,福永祐, 2.6, 27, -24, -18, 6, 15.2, ⑫⑬,14,13,Ｍカイシュウタビビト, 70,和田竜, 1.2, 68,   7,  -8,13, 65.5, ⑥⑧,14, 6,Ｐアンノルｰチェ, 81,川島信, 1.1, 79,   1,  14,16,222.6, ⑭⑭
,,,,,,,,,,,,15,10, アイファｰプラチナ,---,藤懸貴, 3.7, 15, -24, -31,14,125.5, ⑬⑭,15, 9,Ｒビップヴィットリオ, 59,丸山元, 1.3, 64,   0,  -3,17,165.2, ⑮⑭,15, 8,Ｌキョウエイカルラ, 84,国分優, 1.4, 75,   6,   5,13, 94.2, ⑧⑧
,,,,,,,,,,,,16,13, テイエムクロジシ,---,太宰啓, 5.5, -6, -39, -35,11, 53.7, ⑯⑯,16,14,Ｈヒシワイルド, 73,藤田伸, 1.3, 64,  -2,   0, 8, 16.3, ⑱⑱,16,14,Ｇアｰリｰロブスト, 86,太宰啓, 1.9, 71,* 10,  -3,10, 51.6, ②③
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｊリネンパズル, 72,田辺裕, 1.7, 63,* 12, -20,15,104.2, ②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｑフォｰスフル, 65,川須栄, 3.0, 46,*  9, -35,14, 96.9, ③④,,,,,,,,,,,,
