12年 7月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月22日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-6),,,,,,,,,,,
単勝:130円 複勝:07=100円 08=210円 06=120円 枠連:500円,,,,,,,,,,,,"単勝:1,580円 複勝:09=370円 11=200円 10=170円 枠連:560円",,,,,,,,,,,,"単勝:210円 複勝:07=130円 10=330円 09=1,310円 枠連:1,260円",,,,,,,,,,,,"単勝:620円 複勝:10=210円 06=190円 15=430円 枠連:1,030円",,,,,,,,,,,
馬連:710円 ワイド:07-08=270円 06-07=140円 06-08=520円,,,,,,,,,,,,"馬連:4,390円 ワイド:09-11=1,500円 09-10=920円 10-11=490円",,,,,,,,,,,,"馬連:2,370円 ワイド:07-10=600円 07-09=1,770円 09-10=6,250円",,,,,,,,,,,,"馬連:1,420円 ワイド:06-10=540円 10-15=1,840円 06-15=1,580円",,,,,,,,,,,
"馬単:820円 3連複:590円 3連単:2,340円",,,,,,,,,,,,"馬単:8,450円 3連複:3,530円 3連単:33,750円",,,,,,,,,,,,"馬単:3,480円 3連複:25,240円 3連単:68,800円",,,,,,,,,,,,"馬単:2,800円 3連複:7,840円 3連単:40,420円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,札幌日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄサイレントクロップ, 56,三浦皇,, 55,*  4,  -7, 3,  5.8,①②②, 1, 1, エデンロック,---,三浦皇,, 56,*-24,  11, 1,  1.9,①①①, 1,12,Ｂジャｰエスペランサ, 69,三浦皇,, 77,   0,* 12, 1,  2.1, ⑨⑧, 1,12,Ｂテイエムオオタカ, 81,藤田伸,, 85,* 16,   1, 1,  2.6, ③②
 2,12,Ａレッドガルシア, 68,吉田隼, 0.1, 52,*  5, -10, 1,  1.5,③①①, 2, 5, グリｰンラヴ,---,吉田隼, 0.0, 57,*-24,* 13, 2,  3.1,②②②, 2, 1,Ｄニシノカチヅクシ, 65,藤田伸, 0.0, 77,   0,* 12, 4, 11.4, ⑦⑤, 2,10,Ｅシュプリｰムギフト, 78,竹之下, 0.2, 82,  13,   2, 5, 12.9, ⑦⑦
 3, 8,Ｌジョウノトップギア, 23,丸山元, 0.2, 57,  -1,*  1, 4, 15.5,⑫⑧③, 3, 2, ユキノプリシラ,---,小林慎, 0.9, 48, -26,   6, 5, 23.1,⑤⑤④, 3, 2,Ｉヴィｰヴァサルｰテ, 63,藤岡佑, 0.5, 71,  -7,* 12, 7, 43.6, ⑭⑩, 3, 2,Ｇダイメイザクラ, 77,古川吉, 0.4, 80,  14,  -1, 6, 15.1, ⑤⑤
 4, 7,Ｃキングモンブラン, 60,上村洋, 0.4, 55,   1,* -1, 2,  5.7,⑦⑥⑥, 4, 3, マイネルフィエスタ,---,丹内祐, 1.0, 45, -25,   1, 3,  5.5,③③③, 4, 8,Ｏドリｰムバラｰド, 57,吉田隼, 0.6, 69,  -7,* 11,14,107.4, ⑮⑮, 4, 9,Ｏロｰドバロック, 72,藤岡佑, 0.4, 77,   3,* 10,13, 61.1, ⑫⑪
 5, 4,Ｂアキノセイレン, 61,横山和, 1.2, 49,  -3,  -5, 8, 43.1,⑧⑨⑨, 5, 4, マイネルムｰン,---,津村明, 1.8, 32, -26,  -9, 4,  6.1,④④⑤, 5, 3,Ａサウスビクトル, 70,丸田恭, 0.6, 68,   4,   0, 3,  4.7, ④④, 5, 5,Ｆマイネルロガｰル, 77,丹内祐, 0.6, 75,   9,   0, 8, 16.0, ⑨⑨
 6, 6,Ｈスリｰサンハｰツ, 48,秋山真, 1.2, 49,  -2,  -4, 6, 21.0,⑨⑩⑧,,,,,,,,,,,,, 6,11,Ｃタツストロング, 69,四位洋, 0.8, 67,  -4,   5, 2,  4.4, ⑬⑭, 6,13,Ｃビスカヤ, 80,荻野琢, 0.6, 72,  -4,* 14,14, 61.8, ⑮⑮
 7,11,Ｇビレッジオブベスト, 52,川島信, 2.1, 42,   1, -18, 7, 42.2,⑥④⑤,,,,,,,,,,,,, 7,14,Ｆノッティングガｰル, 65,菱田裕, 0.8, 66,*  6,  -5,10, 47.4, ③③, 7, 4,Ｉタバルナ, 77,丸山元, 0.7, 70,  -8,* 16, 9, 23.7, ⑯⑯
 8, 9,Ｆベニバナビジン, 54,柴山雄, 2.3, 39,   1, -21, 9, 49.7,②③④,,,,,,,,,,,,, 8,15,Ｇレッドアンジェリカ, 64,横山典, 0.8, 66,  -1,   3, 6, 18.9, ⑩⑫, 8,11,Ｊアラマサロｰズ, 76,柴山雄, 0.7, 73,   9,  -1,15, 95.8, ⑪⑩
 9, 1,Ｊシアワセノオウジ, 45,菱田裕, 2.7, 37,   0, -23,12,274.2,⑤⑤⑦,,,,,,,,,,,,, 9, 7,Ｋパチャママ, 61,横山和, 0.9, 64,  -3,   3,11, 63.2, ⑪⑨, 9,14,Ａシルクウェッジ, 82,横山典, 0.8, 75,* 16,  -9, 3,  7.4, ④④
10, 3,Ｅスリｰエンペラｰ, 54,武英智, 2.7, 39,  -2, -17, 5, 18.7,⑪⑪⑪,,,,,,,,,,,,,10, 9,Ｎクラウンフィデリオ, 61,川島信, 1.1, 64,   0,  -2,12, 76.5, ⑧⑪,10,15,Ｋミオリチャン, 76,丸田恭, 1.0, 67,   2,   3,10, 23.9, ⑬⑬
11,10,Ｉチャンピオンバｰジ, 47,津村明, 3.3, 34,  -1, -25,10,161.1,⑩⑦⑩,,,,,,,,,,,,,11,13,Ｅピアノボレロ, 65,荻野琢, 1.2, 61,  -9,   6,15,144.0, ⑯⑯,11, 7,Ｄメモリアルイヤｰ, 78,五十嵐, 1.1, 72,* 17, -14, 4, 11.4, ②①
12, 2,Ｋドリｰムテンペスト, 45,菅原隆, 4.5, 26,  -5, -31,11,217.2,④⑫⑫,,,,,,,,,,,,,12,16,Ｈゴｰルデンポケット, 64,津村明, 1.4, 57,   4, -10,13, 88.7, ⑤⑥,12, 8,Ｌマッキｰコバルト, 76,秋山真, 1.4, 67,  13, -14,11, 50.9, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｍウインドグラス, 61,秋山真, 1.4, 58,  -4,  -3, 5, 18.2, ⑫⑬,13, 3,Ｐアグネスヨジゲン, 71,上村洋, 1.6, 59,  -4,   0,16,280.8, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｌアドマイヤアジナ, 61,丸山元, 1.5, 57,*  8, -16, 7, 43.6, ①①,14,16,Ｈダノンフェアリｰ, 77,四位洋, 2.4, 53,  13, -27, 2,  4.6, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｊジャストザブレイン, 63,柴山雄, 1.7, 54,*  7, -17, 9, 44.3, ②②,15, 1,Ｍゲットフルマｰクス, 75,黛弘人, 2.5, 55,* 19, -34,12, 60.7, ①③
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｐロｰズキｰ, 44,宮崎北, 1.8, 54,   2, -13,16,294.3, ⑥⑦,16, 6,Ｎマスイデア, 74,吉田隼, 5.0, 20,   9, -57, 7, 15.8, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-6),,,,,,,,,,,
単勝:580円 複勝:05=190円 12=110円 08=400円 枠連:330円,,,,,,,,,,,,単勝:190円 複勝:01=110円 05=140円 枠連:0円,,,,,,,,,,,,単勝:210円 複勝:12=120円 01=280円 02=580円 枠連:730円,,,,,,,,,,,,"単勝:260円 複勝:12=130円 10=400円 02=310円 枠連:2,020円",,,,,,,,,,,
"馬連:410円 ワイド:05-12=230円 05-08=1,120円 08-12=670円",,,,,,,,,,,,馬連:230円 ワイド:01-05=150円 01-02=440円 02-05=430円,,,,,,,,,,,,"馬連:1,500円 ワイド:01-12=620円 02-12=1,300円 01-02=3,060円",,,,,,,,,,,,"馬連:2,340円 ワイド:10-12=850円 02-12=660円 02-10=1,890円",,,,,,,,,,,
"馬単:1,390円 3連複:2,760円 3連単:14,750円",,,,,,,,,,,,"馬単:380円 3連複:1,020円 3連単:2,880円",,,,,,,,,,,,"馬単:2,030円 3連複:12,120円 3連単:37,000円",,,,,,,,,,,,"馬単:4,250円 3連複:6,690円 3連単:31,090円",,,,,,,,,,,
■ 3R  芝1500m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,大倉山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａレッドルイｰザ, 71,柴山雄,, 70,* -8,*  9, 1,  2.7,③③②, 1, 7, ヴェルデホ,---,横山典,, 54,*-13,*  9, 2,  2.7,②②②, 1, 1,Ｅフィルハｰマジック, 72,宮崎北,, 71,*  6,*  4, 6, 13.5,④③②, 1, 6,Ｊケｰプタウンシチｰ, 71,丸田恭,, 83,  11,*  7,10, 35.9,⑫⑫⑩
 2,13,Ｃストラスペイ, 65,横山典, 0.2, 68,  -9,*  8, 2,  3.9,④⑤④, 2, 1, ヤンキｰソヴリン,---,宮崎北, 0.4, 51,*-13,   6, 3,  8.0,①①①, 2,12,Ｂダヴィンチバロｰズ, 74,古川吉, 0.1, 70,*  6,*  3, 2,  4.3,②②①, 2, 3,Ｂクッカｰニャ, 79,藤岡佑, 0.5, 80,  15,  -7, 1,  2.3,⑤⑤④
 3, 8,Ｊレｰヴドマリｰ, 51,古川吉, 0.5, 63,* -5,  -1,12,158.9,①①①, 3, 4, アドマイヤコング,---,吉田隼, 0.8, 48, -14,   4, 1,  2.5,④④④, 3, 3,Ａノッティングボｰイ, 76,丸田恭, 0.4, 68,   5,*  3, 9, 25.7,⑥⑤⑥, 3,10,Ｅハイタッチクイｰン, 77,丸山元, 0.7, 78,  15, -10, 5, 14.6,⑦⑥⑤
 4, 5,Ｈライズアゲイン, 58,三浦皇, 0.7, 66, -14,* 10, 3,  5.3,⑭⑬⑩, 4, 6, モンテネオ,---,三浦皇, 1.0, 47, -14,   2, 5, 11.4,⑤⑤⑤, 4, 6,Ｊセトブリッジ, 61,藤田伸, 0.6, 67,   5,   0, 5,  9.5,③④⑤, 4, 5,Ｉウォンビｰロング, 73,柴山雄, 0.8, 76,  11,  -4,12, 63.7,⑪⑪⑫
 5, 7,Ｋヒラルダ, 50,藤岡佑, 0.7, 63, -10,   4,13,204.4,⑦⑥⑤, 5, 5, ハブアストロｰル,---,荻野琢, 1.7, 45, -17,   1, 4,  8.4,⑧⑧⑥, 5, 2,Ｈミッキｰリヒト, 67,秋山真, 0.6, 67,   4,*  2,11, 39.6,⑤⑦⑦, 5, 7,Ｈメジロジェニファｰ, 74,四位洋, 0.8, 78,   9,*  0, 7, 20.3,⑬⑬⑬
 6,10,Ｄゾクゾク, 63,吉田隼, 1.0, 60, -11,   2, 4,  8.7,⑧⑨⑪, 6, 8, ヴェイパｰコｰン,---,丸田恭, 2.2, 37,*-13,  -9, 6, 17.7,③③③, 6, 5,Ｄレッドシュナイト, 73,横山典, 1.2, 64,   4,   2, 3,  6.2,⑫⑫⑪, 6, 2,Ａクリスティロマンス, 81,津村明, 0.9, 73,  13, -10, 3,  9.6,⑥⑦⑦
 7, 9,Ｇアズキ, 58,丸田恭, 1.0, 56,* -6,  -5, 7, 21.3,②②③, 7, 3, ナムラコンジョウ,---,柴山雄, 2.9, 33, -16, -11, 7, 25.7,⑨⑥⑦, 7, 9,Ｃエルドラゴン, 73,川島信, 1.4, 63,   5,  -5, 8, 17.8,⑪⑥④, 7,13,Ｌマイネヒメル, 69,伊藤工, 1.4, 71,* 16, -23, 9, 34.9,③③②
 8, 3,Ｅソンサン, 62,丸山元, 1.0, 60, -13,   4, 8, 38.6,⑩⑪⑬, 8, 2, コスモオデッセイ,---,伊藤工, 6.5, 11, -21, -32, 8, 37.7,⑥⑨⑨, 8, 7,Ｆウインシュヴァルツ, 71,荻野琢, 1.4, 64,   5,  -2,10, 27.2,⑧⑩⑨, 8, 8,Ｇネヴァｰフェイド, 75,三浦皇, 1.5, 71,  14, -18, 6, 18.4,⑧⑧⑧
 9, 1,Ｂキョウワイザベル, 68,四位洋, 1.1, 59, -13,   3, 5,  8.9,⑫⑫⑫,,,,,,,,,,,,, 9, 4, ゴｰドンバｰジ,---,五十嵐, 1.9, 60,   4,  -6, 7, 16.8,⑩⑨⑧, 9, 1,Ｋサンデｰジョウ, 71,秋山真, 1.7, 67,  15, -25,13, 97.7,④④⑥
10, 4,Ｌホクセｰメジャｰ, 45,川島信, 1.1, 60, -12,   1, 9, 92.7,⑪⑩⑦,,,,,,,,,,,,,10, 8,Ｋファイヤｰ, 60,菱田裕, 2.5, 56,   4, -12, 4,  6.7,⑨⑪⑩,10, 4,Ｄクラックシｰド, 77,藤田伸, 1.7, 68,  11, -17, 2,  3.3,⑨⑩⑪
11,11,Ｆビップシャイン, 61,藤田伸, 1.1, 57,  -9,  -4, 6,  9.8,⑤④⑥,,,,,,,,,,,,,11,11,Ｇゲットハッピｰ, 70,吉田隼, 3.2, 52,*  6, -24, 1,  3.2,①①③,11,11,Ｆアグネスサクラ, 75,吉田隼, 2.0, 64,  12, -24,11, 41.3,⑩⑨⑨
12, 6,Ｉトミケンアニマｰド, 55,五十嵐, 1.7, 53, -17,   0,10, 93.5,⑬⑭⑭,,,,,,,,,,,,,12,10,Ｉハギノクｰザ, 62,丸山元, 3.3, 53,   4, -19,12,122.4,⑦⑧⑫,12, 9,Ｃフラワｰロック, 78,横山典, 2.1, 62,* 16, -33, 4, 10.9,①①①
13,12,Ｍバトルブラｰヴォウ, 38,津村明, 1.7, 48, -10,  -9,11,147.9,⑨⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｍヘレナモルフォ, 69,宮崎北, 3.0, 55,* 16, -46, 8, 20.3,②②③
14,14,Ｎハバネラ, 29,荻野琢, 2.1, 44, -10, -14,14,278.0,⑥⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-6),,,,,,,,,,,
"単勝:270円 複勝:02=130円 13=150円 08=1,450円 枠連:520円",,,,,,,,,,,,"単勝:270円 複勝:07=130円 01=170円 04=120円 枠連:1,130円",,,,,,,,,,,,"単勝:1,350円 複勝:01=270円 12=170円 03=550円 枠連:720円",,,,,,,,,,,,"単勝:3,590円 複勝:06=650円 03=140円 10=360円 枠連:1,960円",,,,,,,,,,,
"馬連:500円 ワイド:02-13=230円 02-08=4,260円 08-13=7,080円",,,,,,,,,,,,馬連:980円 ワイド:01-07=340円 04-07=160円 01-04=330円,,,,,,,,,,,,"馬連:2,120円 ワイド:01-12=730円 01-03=2,090円 03-12=1,550円",,,,,,,,,,,,"馬連:3,960円 ワイド:03-06=1,430円 06-10=4,080円 03-10=830円",,,,,,,,,,,
"馬単:940円 3連複:21,700円 3連単:52,670円",,,,,,,,,,,,"馬単:1,340円 3連複:670円 3連単:4,240円",,,,,,,,,,,,"馬単:5,220円 3連複:10,720円 3連単:61,370円",,,,,,,,,,,,"馬単:13,950円 3連複:16,120円 3連単:151,600円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
