12年12月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,,,,,
 9, 6,Ｊマイネルエウロス, 50,丹内祐, 2.4, 46,  -9, -10,12,100.6,⑭⑫⑫, 9,12,Ｍチョコタクン, 34,江田照, 0.9, 37,  -2, -19, 6, 15.8,⑪⑪⑪, 9,12,Ｊクラウンフィデリオ, 68,三浦皇, 2.2, 64,   6,   0,13, 56.5,⑯⑯⑮, 9,13, セイエイ,,高野和,290.8,,,,14,128.4,⑪⑪⑪
10,16,Ｇビｰビｰラッシュ, 51,田中勝, 2.5, 42,  -5, -19, 9, 29.1,⑧⑥⑨,10, 1,Ｇサクラフィアｰブル, 41,横山典, 0.9, 36,   2, -28, 3,  6.4,③④⑥,10, 2,Ｌリュウシンヒｰロｰ, 62,勝浦正, 2.5, 62,  11, -11,15,167.2,⑧⑫⑭,10, 7, アイティゴｰルド,,大江原,291.2,,,,15,130.6,⑥⑧⑨
11,15,Ｍクォンタムビット, 44,丸田恭, 2.8, 41,  -5, -19,10, 36.2,⑫⑧⑩,11, 8,Ｋウインラヴタイム, 36,柴田大, 1.1, 37,*  5, -33,12,116.7,②②②,11, 8,Ｋアグネスグロｰリｰ, 63,中舘英, 2.5, 62,   7,  -5,16,298.6,⑮⑮⑯,11,10, ドラゴンハンタｰ,,植野貴,293.5,,,,13,125.6,⑭⑫⑫
12,14,Ｋサルジェンツチェリ, 49,柴田大, 3.3, 39,  -9, -17,16,208.6,⑦⑪⑪,12, 6,Ｃメイショウアザミ, 55,田中勝, 1.1, 35,*  6, -34, 7, 23.7,①①①,12, 3, トｰセンサイクロン,---,杉原誠, 2.7, 60,  12, -18,10, 28.2,⑤⑥⑥,12, 4, セクシイスイｰト,,蓑島靖,293.7,,,,11, 64.8,①②③
13,12,Ｎトｰセンカラヤン, 42,大野拓, 3.8, 36, -10, -19,15,172.9,⑥⑬⑮,13, 4,Ｊメリオンジョｰ, 37,嘉藤貴, 1.2, 34,  -4, -19,14,136.9,⑭⑬⑫,13,15,Ｇマイネルソウル, 69,蛯名正, 2.7, 60,  11, -15, 4,  7.4,⑫⑪⑬,13,11, マイネルネオス,,浜野谷,295.2,,,,10, 64.4,⑬⑬⑬
14, 4,Ｌゲンキチタチカゼ, 46,松岡正, 3.8, 36, -11, -17,11, 46.9,⑤⑭⑭,14,15,Ｎロマネクイｰン, 34,原田和, 1.4, 31,  -5, -24,15,194.0,⑩⑫⑬,14,13,Ｉメジロハクリュウ, 68,黛弘人, 3.3, 55,  13, -24,11, 40.5,④⑤⑨,14,15, ブチカマシ,,黒岩悠,295.9,,,,12, 88.5,⑫⑭⑭
15, 2,Ｈエイダイシアトル, 50,柴山雄, 4.7, 31, -13, -21,13,126.9,⑩⑯⑯,15, 9,Ｈレディノボ, 38,田辺裕, 1.5, 30,  -2, -28,11, 90.1,⑨⑩⑧,15, 5,Ｏニュｰスタｰ, 60,柴田大, 3.7, 53,* 14, -29, 5, 10.3,③③②,15, 2, カピタｰノ,,石神深,296.2,,,, 9, 54.7,⑮⑮⑮
16, 1,Ｅオリジナルスマイル, 54,ムｰア, 5.7, 26,* -3, -49, 5, 11.7,②③⑥,16,13,Ｌカザノト, 35,西村太, 2.5, 21,  -7, -33,16,227.4,⑬⑮⑯,16, 4,Ｎプリモスズカ, 60,田辺裕, 4.4, 48,* 14, -35,12, 50.5,②②④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,
"単勝:360円 複勝:05=160円 03=720円 10=160円 枠連:5,420円",,,,,,,,,,,,単勝:340円 複勝:10=140円 02=130円 07=280円 枠連:400円,,,,,,,,,,,,"単勝:400円 複勝:07=160円 06=370円 10=160円 枠連:1,280円",,,,,,,,,,,,"単勝:950円 複勝:05=160円 14=130円 09=110円 枠連:1,460円",,,,,,,,,,,
"馬連:7,680円 ワイド:03-05=1,610円 05-10=320円 03-10=1,680円",,,,,,,,,,,,馬連:430円 ワイド:02-10=230円 07-10=650円 02-07=630円,,,,,,,,,,,,"馬連:2,260円 ワイド:06-07=970円 07-10=300円 06-10=1,090円",,,,,,,,,,,,"馬連:2,120円 ワイド:05-14=430円 05-09=250円 09-14=150円",,,,,,,,,,,
"馬単:13,200円 3連複:9,190円 3連単:61,420円",,,,,,,,,,,,"馬単:900円 3連複:1,670円 3連単:7,320円",,,,,,,,,,,,"馬単:4,220円 3連複:2,760円 3連単:16,500円",,,,,,,,,,,,"馬単:4,970円 3連複:600円 3連単:9,460円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾋﾟｽﾗｽﾞﾘｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａミエナイツバサ, 60,西田雄,, 56,  -4,  -5, 3,  8.2, ⑤③, 1,14, サトノテイオウ,---,ムｰア,, 44, -11,*-13, 1,  4.1,⑥⑥④, 1,13,Ｄコｰリンギデオン, 73,横山典,, 67,  -4,* 20, 2,  6.5, ⑮⑮, 1,10,Ａサクラゴスペル, 92,横山典,, 86,* 15,  11, 1,  4.8, ②②
 2,14,Ｉクラウンプルｰトゥ, 42,勝浦正, 0.0, 55, -10,*  0, 4,  9.0, ⑨⑨, 2,11, ヴェリタラブ,---,蛯名正, 0.0, 46, -14,* -4, 6, 17.3,⑬⑬⑫, 2,16,Ｂトリニティチャｰチ, 75,柴田大, 0.2, 68,   2,* 12, 4,  9.7, ⑬⑪, 2, 1,Ｂプリンセスメモリｰ, 89,北村宏, 0.4, 82,  12,  10, 6, 13.2, ⑤③
 3,15,Ｂウインプロスパｰ, 60,三浦皇, 0.0, 54,  -6,* -3, 2,  4.0, ⑥⑥, 3,13, トｰセンハルカゼ,---,内田博, 0.1, 43, -12,*-11, 4, 11.0,⑯⑨⑧, 3,11,Ｇタンブルブルｰタス, 70,三浦皇, 0.3, 67,   5,   8, 7, 17.4, ⑩⑨, 3, 5,Ｈアプリコットフィズ, 80,田中勝, 0.5, 81,   4,* 17,11, 29.3, ⑫⑪
 4,11,Ｄジョバイロ, 58,大野拓, 0.0, 55,* -3,  -7, 1,  3.0, ②②, 4, 2, グリｰド,---,北村宏, 0.1, 42,*-10, -17, 3,  6.2,③④⑤, 4,14,Ｅジルコニア, 72,宮崎北, 0.3, 69,* 13,   1,10, 35.6, ①①, 4, 4,Ｎブルｰムｰンピサ, 70,三浦皇, 0.6, 79,  10,   9,10, 27.1, ⑥⑥
 5,10,Ｅベルモントリヴァｰ, 53,内田博, 0.4, 51,* -1, -11, 5, 10.0, ①①, 5, 7, ビアンカシェボン,---,横山典, 0.3, 39,*-10, -20, 5, 11.4,⑤⑤⑥, 5, 4,Ｃレッドジョｰカｰ, 73,内田博, 0.4, 68,* 12,   1, 5, 10.5, ②②, 5, 2,Ｆサドンストｰム, 83,勝浦正, 0.6, 79,   4,* 15, 2,  5.3, ⑬⑬
 6, 6,Ｐアルファメｰル, 30,吉田豊, 1.1, 45, -14,  -6, 8, 15.8, ⑭⑫, 6, 8, ドラゴンロックス,---,柴田大, 0.4, 40,* -9, -25, 2,  4.3,②②②, 6, 1,Ｆシゲルドリアン, 70,田辺裕, 0.5, 67,   8,   4, 8, 19.7, ⑥⑤, 6, 7,Ｃブラボｰスキｰ, 89,ムｰア, 0.6, 79,  10,   9, 3,  5.7, ⑦⑦
 7,12,Ｃアイネクライネ, 58,山崎亮, 1.1, 45, -18,* -2, 9, 21.3, ⑮⑮, 7,12, クロンヌヴェｰル,---,三浦皇, 0.6, 39, -13, -17,14, 31.2,⑩⑩⑩, 7,15,Ａジャイアン, 75,石橋脩, 0.6, 66,   6,   5, 1,  2.3, ⑨⑧, 7, 6,Ｊガンダｰラ, 77,柴田善, 0.6, 79,   5,* 14,12, 29.4, ⑩⑧
 8, 5,Ｇベストバニヤン, 46,石橋脩, 1.1, 46, -11,  -8,11, 49.6, ⑩⑩, 8, 1, レイナ,---,柴山雄, 1.1, 34, -11, -26,13, 29.5,⑦⑦⑦, 8, 6,Ｊヘンリｰフォンテン, 68,吉田豊, 0.7, 65,   9,   1, 9, 28.0, ⑦④, 8,14,Ｇマコトナワラタナ, 82,吉田隼, 0.8, 76,   6,  10, 8, 20.9, ⑨⑭
 9,13,Ｎシェアｰドワｰルド, 35,松岡正, 1.2, 44, -12,  -8, 6, 12.2, ⑪⑪, 9, 6, プリンサプル,---,大野拓, 1.2, 32, -14, -24, 8, 18.3,⑪⑪⑪, 9, 9,Ｎトミケンスプリング, 63,勝浦正, 0.8, 63,   4,   5,12, 46.3, ⑪⑬, 9,12,Ｅヘニｰハウンド, 84,内田博, 1.0, 74,   2,  11, 5,  6.3, ⑭⑫
10,16,Ｆカシマルフィ, 49,田中勝, 1.2, 44,  -6, -14, 7, 12.9, ⑦⑦,10,15, マイネグラディウス,---,丹内祐, 1.3, 35, -15, -17,11, 28.6,⑫⑮⑬,10, 2,Ｉアタッキングゾｰン, 68,平野優, 0.9, 62,   2,   5,14, 62.3, ⑫⑩,10, 8,Ｌモルトグランデ, 75,田辺裕, 1.0, 74,   8,   6,14, 92.7, ⑧⑩
11, 1,Ｏラピｰドアイザック, 34,江田照, 1.5, 42,  -7, -15,13,126.7, ⑧⑧,11, 4, アｰビバラスボｰイ,---,石橋脩, 1.6, 31,* -8, -42,12, 29.0,①①①,11, 3,Ｍジャｰフライト, 64,柴田善, 1.0, 63,* 11,  -3,11, 39.1, ③③,11, 9,Ｋブルｰミンバｰ, 77,松岡正, 1.1, 73,  13,   0, 7, 13.8, ③④
12, 4,Ｊハリマヤヨサコイ, 42,的場勇, 1.7, 40, -14, -11,10, 41.5, ⑬⑬,12, 5, ジャｰラベンナ,---,丸田恭, 1.7, 29, -18, -18, 9, 19.0,⑰⑰⑭,12, 8,Ｌランファン, 65,丸田恭, 1.2, 58,   0,   6,13, 50.5, ⑭⑭,12, 3,Ｍオｰセロワ, 74,石橋脩, 1.1, 73,* 17,  -4, 9, 25.5, ①①
13, 2,Ｌメボン, 38,丸山元, 1.9, 39,  -5, -20,12, 56.4, ③④,13, 3, ニコットサンキュｰ,---,嶋田純, 1.7, 29, -18, -20,18,160.8,⑮⑯⑰,13, 7,Ｋスマイルオブライフ, 67,中谷雄, 1.7, 59,  10,  -9,15, 82.5, ⑤⑦,13,11,Ｉフライングアップル, 80,柴山雄, 1.1, 72,* 14,  -2,13, 65.3, ④⑤
14, 7,Ｍムネニアオリボン, 36,武士沢, 2.3, 35, -13, -17,15,246.9, ⑫⑭,14,16, マイネルワｰグナｰ,---,松岡正, 1.8, 31, -13, -29,10, 22.8,⑭⑭⑯,14,10,Ｏグレン, 58,吉田隼, 2.1, 51,   7,  -9, 6, 16.6, ⑧⑫,14,13,Ｄアンシェルブルｰ, 87,蛯名正, 1.3, 70,   5,   5, 4,  6.1, ⑪⑨
15, 3,Ｋホノオノマイ, 38,横山義, 3.1, 28,  -5, -31,14,225.0, ④⑤,15,17, エクセルギｰ,---,村田一, 2.2, 26, -12, -39,15, 57.4,⑨⑫⑮,15, 5,Ｐクリｰンヒット, 47,大野拓, 4.1, 35,* 11, -30,16,138.4, ④⑥,,,,,,,,,,,,
,,,,,,,,,,,,16, 9, ベルモントツクバ,---,江田照, 2.3, 26, -10, -43,16, 92.9,⑧⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,18, ジャニスクライ,---,丸山元, 2.4, 24, -21, -19,17,138.7,⑱⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,10, タイキロマネスク,---,田辺裕, 2.8, 12,*-10, -56, 7, 17.6,④③③,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:8),,,,,,,,,,,
"単勝:820円 複勝:09=260円 14=280円 15=160円 枠連:2,140円",,,,,,,,,,,,"単勝:410円 複勝:14=180円 11=450円 13=310円 枠連:1,340円",,,,,,,,,,,,単勝:650円 複勝:13=230円 16=320円 11=460円 枠連:480円,,,,,,,,,,,,"単勝:480円 複勝:10=200円 01=390円 05=800円 枠連:2,890円",,,,,,,,,,,
"馬連:4,250円 ワイド:09-14=1,330円 09-15=690円 14-15=700円",,,,,,,,,,,,"馬連:3,610円 ワイド:11-14=1,570円 13-14=720円 11-13=2,650円",,,,,,,,,,,,"馬連:3,290円 ワイド:13-16=1,070円 11-13=1,710円 11-16=2,190円",,,,,,,,,,,,"馬連:3,540円 ワイド:01-10=1,200円 05-10=2,650円 01-05=4,020円",,,,,,,,,,,
"馬単:8,010円 3連複:4,520円 3連単:29,090円",,,,,,,,,,,,"馬単:6,250円 3連複:9,190円 3連単:50,840円",,,,,,,,,,,,"馬単:5,590円 3連複:12,160円 3連単:61,280円",,,,,,,,,,,,"馬単:5,460円 3連複:31,450円 3連単:150,170円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾘｽﾏｽﾛｰｽﾞｽﾃｰｸｽ,,,,,,,,,,,,冬至特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａクレバｰパルマ, 60,内田博,, 53, -10,*  2, 1,  2.4,⑤⑤④, 1, 4, ストｰムジャガｰ,---,内田博,, 54,* -5,* -3, 1,  2.5, ①①, 1,10,Ｅモグモグパクパク, 64,北村宏,, 64,  -3,*  0, 3,  4.5, ⑩⑩, 1, 3,Ｆドリｰムヒｰロｰ, 75,松岡正,, 77,* 23, -25, 9, 43.4,①①①
 2,13,Ｆハｰツオブテキサス, 47,横山典, 0.1, 49,*-10,  -1, 5, 11.2,②②②, 2, 5, オリヴィア,---,丸田恭, 1.0, 46,  -8,  -9,11, 55.1, ③③, 2, 2,Ｋホオポノポノ, 54,松岡正, 0.2, 65,   4,  -9, 8, 27.3, ④④, 2, 5,Ｅイチブン, 75,柴田善, 0.1, 77,   9,   1, 4,  9.8,②②②
 3, 9,Ｅロマンシングジェム, 51,田辺裕, 0.4, 50, -13,*  1, 7, 18.7,⑧⑧⑦, 3, 8, サンクンガｰデン,---,三浦皇, 1.1, 45, -16,* -3, 4, 14.5, ⑩⑧, 3, 4,Ｍコトブキゴｰルド, 50,ムｰア, 0.2, 60,  -9,*  4,10, 33.9, ⑭⑮, 3, 9,Ａスｰパｰムｰン, 82,内田博, 0.1, 80,   2,* 15, 1,  1.7,⑪⑪⑪
 4,16,Ｎシャインケニｰ, 30,北村宏, 0.8, 46,* -9,  -8, 3,  6.6,①①①, 4,13, シャイニｰプリンス,---,北村宏, 1.2, 44,  -9, -10, 2,  3.2, ⑤⑤, 4,15,Ｆナカナカ, 61,三浦皇, 0.4, 62,   3, -10, 5, 10.8, ⑥⑥, 4, 2,Ｄブライトボｰイ, 75,吉田隼, 0.2, 77,   5,*  8, 7, 31.0,⑦⑨⑦
 5,14,Ｉルｰベンスクラフト, 44,蛯名正, 1.2, 44, -11,  -9, 6, 12.3,④③③, 5,15, ジｰランディア,---,的場勇, 1.2, 44, -15,  -5, 7, 35.3, ⑨⑪, 5,12,Ｊクリノタカラチャン, 57,横山典, 0.4, 65,* 10, -16,13, 71.3, ①①, 5,10,Ｂブレイズアトレイル, 79,蛯名正, 0.3, 75,   8,   1, 2,  4.9,⑥⑤⑤
 6, 3,Ｃファリｰム, 56,横山和, 1.6, 45, -13,  -9,13, 64.2,⑥⑦⑧, 6,11, プレシャスデイズ,---,横山典, 1.3, 43, -13,  -7, 3,  4.1, ⑥⑦, 6, 3,Ｈジｰブラック, 59,柴山雄, 0.4, 57,  -9,*  1, 7, 21.6, ⑯⑫, 6, 4,Ｋエクセリオン, 66,柴田大, 0.4, 76,   8,   1,10, 46.3,⑤⑥⑥
 7, 5,Ｋスイｰトクラウン, 43,田中勝, 1.7, 42, -18,*  0,12, 60.8,⑫⑭⑬, 7, 1, タイキオｰラム,---,柴田善, 1.4, 44, -21,*  0,10, 51.6, ⑬⑫, 7,13,Ｂヴァンフレｰシュ, 70,吉田豊, 0.5, 61,*  6, -16, 1,  3.4, ②②, 7, 1,Ｃルネッタアスｰル, 77,宮崎北, 0.5, 74,   8,  -2, 8, 41.9,③④④
 8, 1,Ｈニュｰトロンスタｰ, 45,松岡正, 2.0, 41, -19,  -1, 9, 42.0,⑯⑮⑭, 8,10, メイショウポピュラ,---,木幡初, 1.6, 42, -14,  -8,12, 79.0, ⑧⑨, 8, 5,Ｉワンダフルジュエル, 58,大野拓, 0.5, 57,  -1,  -8,11, 56.3, ⑨⑦, 8, 7,Ｉグランプリブラッド, 73,北村宏, 1.0, 70,   5,  -1, 3,  8.1,⑩⑩⑩
 9,10,Ｊウイントレジャｰ, 44,吉田隼, 2.0, 38, -14,  -9, 8, 40.9,⑬⑪⑪, 9,12, キｰナｰ,---,田中勝, 1.8, 39,* -6, -18, 9, 42.1, ②②, 9,16,Ｄシｰギリヤガｰル, 64,内田博, 0.6, 60,*  5, -15, 6, 14.6, ③③, 9, 6,Ｇシゲルササグリ, 74,丸山元, 1.2, 66,   6,  -8, 6, 20.3,⑧⑦⑧
10, 6,Ｄナデシコニッポン, 54,三浦皇, 2.1, 38, -11, -16, 2,  4.5,⑦⑥⑤,10, 6, ヤキン,---,武士沢, 1.9, 39, -18,  -8, 5, 27.9, ⑪⑩,10,11,Ａシュトラｰル, 79,蛯名正, 0.7, 55,   0, -12, 2,  4.3, ⑧⑨,10,11,Ｈボｰイフレンド, 74,ムｰア, 1.9, 60,   7, -17, 5, 18.9,⑨⑧⑨
11, 2,Ｐマスタｰプリメｰラ, 25,中舘英, 2.4, 36, -14, -13,10, 44.0,⑩⑩⑩,11, 9, ミリオンジス,---,田辺裕, 2.2, 35, -24,  -5, 8, 39.4, ⑭⑭,11,14,Ｎファイヤｰヒｰス, 50,柴田善, 0.8, 53,  -7,  -6, 9, 29.2, ⑫⑬,11, 8,Ｊダブルレインボｰ, 69,田中勝, 2.1, 57,   9, -26,11, 60.8,④③③
12, 4,Ｂショウリノウタゲ, 56,大野拓, 3.1, 31, -11, -25, 4, 10.4,③④⑥,12, 7, ビｰトマグナム,---,吉田豊, 2.3, 34, -19, -11,13, 91.5, ⑫⑬,12, 8,Ｏコスモアンダルシア, 49,柴田大, 0.8, 56,   2, -15,16,147.3, ⑤⑤,,,,,,,,,,,,
13, 8,Ｍグｰタッチ, 40,杉原誠, 3.2, 35, -21,  -6,15,197.7,⑮⑯⑯,13,14, スヴァロｰグ,---,宮崎北, 2.4, 32, -12, -18,14,119.8, ⑦⑥,13, 6,Ｌテイエムシングン, 52,丸田恭, 0.9, 50,  -7,  -8,15, 85.3, ⑪⑪,,,,,,,,,,,,
14,12,Ｏマインユアｰズ, 30,的場勇, 3.3, 33, -16, -16,16,267.2,⑪⑬⑮,14,16, ハニｰハンタｰ,---,嶋田純, 2.4, 33,  -8, -22,15,136.5, ④④,14, 9,Ｃエｰシンセノｰテ, 65,田辺裕, 1.0, 53,   1, -15, 4,  8.2, ⑦⑧,,,,,,,,,,,,
15,11,Ｌバンテアイスレイ, 43,嘉藤貴, 3.3, 29, -12, -23,14,110.2,⑨⑨⑨,15, 3, アレックスキッド,---,吉田隼, 4.2, 16, -39,  -9, 6, 28.0, ⑮⑮,15, 1, ヨウメイモン,---,的場勇, 1.1, 48, -10,  -8,14, 79.5, ⑬⑭,,,,,,,,,,,,
