12年 7月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月29日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■10R  ダ1700m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 7,Ｉチェリｰボンバ, 39,丸山元, 2.3, 35,   6, -23, 7, 34.4, ③④, 9,12,Ｊフジヤマパレｰド, 54,津村明, 3.5, 46,  -1, -18,13,459.2,⑩⑪⑩, 9, 2,Ｅギリギリヒｰロｰ, 74,藤岡佑, 2.7, 82,  -5,  20, 4,  7.5,⑪⑨⑨, 9,10,Ｃダノンボルケｰノ, 78,丸田恭, 1.1, 68,* 11,  -7, 3,  5.5,②②①
10,11,Ｈファンタジｰデイ, 40,藤田伸, 2.4, 28,  -7, -15, 9, 52.1, ⑦⑨,10, 9,Ｇコスモスペッキオ, 58,伊藤工, 3.6, 44,   0, -21, 7, 18.4,⑫⑩⑪,10, 8, スプリングオｰ,---,井上俊, 2.9, 75,  -6,  14,11, 75.9,⑨⑩⑩,10, 6,Ａハｰドロッカｰ, 81,柴山雄, 1.2, 68,* 11,  -8, 2,  3.6,①①②
11, 8,Ｂフクノアルナイル, 54,伊藤工, 3.2, 20, -12, -19, 4, 11.7, ⑨⑦,11, 6,Ｆアキノセイレン, 59,横山和, 4.2, 41,   3, -30,11,129.4,⑤⑥⑨,11,10, ファルコンクロウ,---,川島雅, 4.2, 60,  -8,  -1,10, 57.4,⑩⑪⑪,11, 4,Ｊビｰチパｰティｰ, 75,川島信, 1.6, 68,   7,  -3, 9, 25.9,⑦⑧⑨
,,,,,,,,,,,,12, 8,Ｈシャイボｰイ, 56,柴山雄, 5.2, 34,   4, -41,12,185.3,③④⑧,,,,,,,,,,,,,12, 3,Ｇテイエムデジタル, 75,丹内祐, 1.8, 65,   9, -10, 8, 21.5,④④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｍワンダｰスキｰ, 69,上村洋, 2.9, 57,* 10, -21,10, 40.3,③③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,
単勝:290円 複勝:06=120円 04=120円 02=330円 枠連:290円,,,,,,,,,,,,"単勝:1,350円 複勝:13=220円 04=150円 01=110円 枠連:2,450円",,,,,,,,,,,,"単勝:1,240円 複勝:06=320円 05=130円 01=250円 枠連:520円",,,,,,,,,,,,単勝:330円 複勝:09=140円 02=160円 12=360円 枠連:770円,,,,,,,,,,,
"馬連:310円 ワイド:04-06=160円 02-06=1,150円 02-04=1,180円",,,,,,,,,,,,"馬連:2,950円 ワイド:04-13=620円 01-13=400円 01-04=240円",,,,,,,,,,,,"馬連:1,780円 ワイド:05-06=790円 01-06=1,730円 01-05=550円",,,,,,,,,,,,"馬連:820円 ワイド:02-09=390円 09-12=790円 02-12=1,430円",,,,,,,,,,,
"馬単:700円 3連複:3,700円 3連単:11,520円",,,,,,,,,,,,"馬単:6,590円 3連複:1,580円 3連単:21,180円",,,,,,,,,,,,"馬単:3,730円 3連複:3,960円 3連単:25,840円",,,,,,,,,,,,"馬単:1,560円 3連複:5,250円 3連単:20,080円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,北海道新聞杯ｸｲｰﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｌアドマイヤキュｰト, 48,丸山元,, 75,*  9,*  1, 3,  7.2,⑨④①, 1, 5, グランデアモｰレ,---,藤岡佑,, 57, -20,   7, 5, 15.3,②③④, 1, 2,Ａクワイアｰソウル, 76,横山典,, 74,   6,*  8, 1,  2.3,⑦⑨⑦, 1, 8,Ｉアイムユアｰズ, 80,池添謙,, 80,  11,  12, 1,  2.9,⑥⑥⑤
 2,11,Ｄコスモレイラ, 59,柴田大, 1.3, 62,   7,  -9, 5,  8.0,⑦⑦⑥, 2, 2, アドマイヤドバイ,---,池添謙, 0.2, 54, -19,   5, 1,  1.5,⑤④③, 2, 5,Ｅデルマインドラ, 73,竹之下, 0.1, 74,* 10,   0, 4, 10.7,②②②, 2,14,Ｆラブフｰル, 82,丸田恭, 0.0, 83,   4,* 27,10, 34.9,⑭⑭⑬
 3, 7,Ｃテｰオｰフェアリｰ, 59,菱田裕, 1.8, 59,   8, -14, 6, 10.3,⑥⑤⑤, 3, 3, オｰキッドレイ,---,丹内祐, 0.2, 58, -22,* 11, 4,  8.2,⑦⑦⑥, 3,10,Ｂヤマチョウフェア, 75,津村明, 0.6, 71,   7,   2, 3,  5.4,⑩⑦④, 3,10,Ｇミッドサマｰフェア, 82,蛯名正, 0.1, 80,   9,  14, 4,  6.6,⑧⑧⑨
 4, 6,Ｅアドマイヤラック, 57,横山和, 2.1, 58,   6, -13, 7, 24.0,⑧⑨⑨, 4, 8, マイネルクロップ,---,柴田大, 0.3, 51,*-18,  -1, 3,  6.6,③②②, 4, 4,Ｈヤマニンティグル, 71,柴山雄, 0.9, 68,   7,  -2, 8, 40.9,⑥⑥⑧, 4,13,Ａレインボｰダリア, 89,木幡初, 0.2, 79,   9,  12, 3,  5.8,⑨⑨⑧
 5, 3,Ａドナメジャｰ, 62,池添謙, 2.1, 57,*  9, -18, 2,  3.6,②②②, 5, 7, マコトタンホイザｰ,---,川島信, 0.3, 52,*-17,  -2, 8, 63.9,①①①, 5, 3,Ｃメイショウコンカｰ, 75,三浦皇, 0.9, 68,   9,  -4, 2,  3.1,④④③, 5, 2,Ｃオｰルザットジャズ, 88,藤岡佑, 0.2, 81,   9,  13, 2,  4.9,⑦⑦⑥
 6,10,Ｊスズカブルｰリボン, 50,小林徹, 2.3, 61,   6, -15,13,375.0,⑪⑩⑦, 6, 1, ドミンゴ,---,三浦皇, 0.7, 49, -21,   1, 2,  6.3,④⑤⑤, 6,11,Ｆテルバイク, 73,丸田恭, 1.0, 68,   4,*  5,10, 55.9,⑫⑫⑩, 6, 7,Ｍモｰニングフェイス, 71,三浦皇, 0.4, 79,   8,  14,14,196.9,⑫⑪⑪
 7, 2,Ｈオサマジョｰル, 51,古川吉, 2.4, 58,   4, -10,10,183.2,⑫⑪⑪, 7, 4, シナモンイノ,---,丸山元, 0.9, 50, -25,   7, 7, 34.8,⑧⑧⑦, 7, 1,Ｊカネトシリｰプイン, 67,小林慎, 1.0, 68,* 11,  -8,12,110.0,①①①, 7, 1,Ｈエリンコｰト, 81,横山典, 0.4, 79,   5,  18, 8, 22.7,⑪⑫⑫
 8, 9,Ｂダンスオンザルｰフ, 60,蛯名正, 2.5, 56,*  9, -21, 1,  2.5,③③④, 8, 6, エフティシリウス,---,蛯名正, 2.1, 29, -22, -17, 6, 23.1,⑥⑥⑧, 8, 7,Ｇチャｰムドライフ, 73,古川吉, 1.4, 66,   9,  -8, 7, 30.8,③⑤⑥, 8, 6,Ｅフミノイマｰジン, 84,藤田伸, 0.5, 76,   8,  11, 5, 10.8,⑩⑩⑩
 9, 5,Ｉマイネオリヴィア, 51,丹内祐, 3.4, 49,   7, -27, 9, 98.8,⑤⑥⑧,,,,,,,,,,,,, 9, 8,Ｄドリｰムネイチヤｰ, 73,丸山元, 1.4, 69,   5,   0, 5, 20.2,⑪⑩⑨, 9,12,Ｌナムラボルテｰジ, 74,古川吉, 0.6, 73,* 13,  -1,13,142.5,②②②
10, 8,Ｋペッシュボンボン, 49,川島信, 3.5, 51,  -3,  -8,11,273.9,⑬⑫⑫,,,,,,,,,,,,,10, 6,Ｍアイアンブロｰ, 64,勝浦正, 1.8, 62,* 11, -15, 9, 43.9,⑨③⑤,10,11,Ｄシｰスナイプ, 87,丹内祐, 0.6, 79,   4,* 20, 7, 20.3,⑬⑬⑭
11, 1,Ｆアカネチャン, 52,小林慎, 3.7, 47,*  9, -32, 8, 57.2,①①③,,,,,,,,,,,,,11, 9,Ｋラグナロク, 66,丹内祐, 1.9, 63,   5,  -4,11, 66.4,⑧⑪⑪,11, 9,Ｊレジェンドブルｰ, 76,宮崎北, 0.7, 73,* 13,  -3, 9, 29.0,①①①
12,12,Ｇマウンツエンジェル, 51,藤岡佑, 4.1, 45,   7, -33, 4,  7.9,④⑧⑩,,,,,,,,,,,,,12,12,Ｌキョウエイショウリ, 65,柴田大, 2.0, 62,   1,   0,13,225.9,⑬⑬⑬,12, 4,Ｋアニメイトバイオ, 74,丸山元, 0.8, 72,* 12,   0,11, 50.6,③③④
13,13, ウォｰタｰカｰリｰ,---,菅原隆,11.7,-10,  -6, -73,12,349.9,⑩⑬⑬,,,,,,,,,,,,,13,13,Ｉアドマイヤアゲイン, 69,池添謙, 3.9, 48,   7, -27, 6, 20.4,⑤⑧⑫,13, 3,Ｎピュアブリｰゼ, 62,秋山真, 1.0, 70,  11,  -2,12, 59.7,⑤⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｂコスモネモシン, 88,柴田大, 1.2, 68,* 12,  -8, 6, 11.0,④④③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:720円 複勝:04=280円 11=210円 07=210円 枠連:3,120円",,,,,,,,,,,,"単勝:1,530円 複勝:05=250円 02=110円 03=200円 枠連:0円",,,,,,,,,,,,"単勝:230円 複勝:02=140円 05=240円 10=180円 枠連:1,140円",,,,,,,,,,,,単勝:290円 複勝:08=150円 14=570円 10=260円 枠連:680円,,,,,,,,,,,
"馬連:2,500円 ワイド:04-11=900円 04-07=910円 07-11=650円",,,,,,,,,,,,馬連:820円 ワイド:02-05=300円 03-05=700円 02-03=270円,,,,,,,,,,,,"馬連:1,620円 ワイド:02-05=540円 02-10=340円 05-10=920円",,,,,,,,,,,,"馬連:5,070円 ワイド:08-14=1,540円 08-10=530円 10-14=4,020円",,,,,,,,,,,
"馬単:4,720円 3連複:5,960円 3連単:38,340円",,,,,,,,,,,,"馬単:3,060円 3連複:1,490円 3連単:16,490円",,,,,,,,,,,,"馬単:2,300円 3連複:2,280円 3連単:11,670円",,,,,,,,,,,,"馬単:7,900円 3連複:13,000円 3連単:77,140円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 6R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,石狩特別,,,,,,,,,,,,羊ヶ丘特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｊゴｰルウェイ, 61,秋山真,, 71,  13,*-14,11, 36.4,⑤⑤④, 1, 5, マイネモントル,---,丹内祐,, 63,  -8,*  3, 4,  8.9, ④④, 1, 6,Ａホッコｰガンバ, 85,勝浦正,, 81,* 15,  -3, 1,  4.2,①①①, 1, 1,Ｊニシノビｰクイック, 70,丹内祐,, 76,  -2,* 17, 2,  4.4, ⑩⑩
 2,12,Ｄラブイズブｰシェ, 63,三浦皇, 0.2, 69,* 14, -20, 1,  2.7,④③②, 2, 3, マカゼコイカゼ,---,竹之下, 0.0, 62, -14,*  9, 8, 47.2, ⑧⑤, 2,10,Ｉシャンボｰルフィズ, 70,蛯名正, 0.7, 75,* 14,  -9, 2,  5.2,⑤⑥④, 2, 3,Ｂグレナディｰン, 73,上村洋, 0.0, 74,   5,  10, 5, 12.3, ②②
 3, 9,Ｅスカイトラベラｰ, 63,黛弘人, 0.2, 71,  12,*-13,10, 33.8,⑫⑥⑦, 3, 6, ラインミｰティア,---,勝浦正, 0.4, 57,* -4,  -6, 1,  2.3, ①①, 3, 3,Ｅタガノレイヨネ, 74,藤田伸, 0.7, 74,* 13,  -9, 3,  5.3,③⑤③, 3,16,Ｋメジロツボネ, 69,黛弘人, 0.1, 75,*  9,   5, 8, 20.6, ①①
 4, 4,Ｆレッドヴォｰグ, 62,藤岡佑, 0.4, 67,* 15, -26, 2,  5.0,①①①, 4, 8, サンライズテナンゴ,---,池添謙, 0.7, 53,  -9,  -5, 3,  6.7, ⑤⑧, 4,13,Ｈショウナンカミング, 71,秋山真, 0.9, 73,  11,  -7,10, 25.5,⑩⑨⑧, 4, 5,Ｈアルｰリングライフ, 71,小林徹, 0.3, 71,  -6,* 17, 6, 17.3, ⑫⑬
 5,10,Ｇイルマｰレ, 62,宮崎北, 0.6, 68,  12, -17, 7, 17.9,⑧⑧⑥, 5, 4, バルザック,---,川島信, 1.1, 49,  -8, -11, 5,  9.2, ③③, 5, 8,Ｂマイネルヴァルム, 76,丹内祐, 0.9, 73,  12, -10, 5,  8.5,⑧⑦⑨, 5, 7,Ｎリキサンシンオｰ, 66,四位洋, 0.3, 72,  -6,* 17,11, 26.9, ⑭⑪
 6, 8,Ｋディｰエスゲイン, 60,勝浦正, 0.8, 64,  11, -20,13, 54.1,⑪⑪⑪, 6, 1, ヴィラダイヤモンド,---,三浦皇, 1.1, 48, -15,  -5, 9, 50.0, ⑥⑥, 6, 4,Ｆヴィジャイ, 73,丸山元, 0.9, 71,* 15, -16, 4,  6.5,②②②, 6, 8,Ｇストレイトガｰル, 71,三浦皇, 0.4, 70,   1,   9, 3,  5.5, ⑨⑧
 7,14,Ｂシルキｰセブン, 64,蛯名正, 0.8, 63,* 14, -27, 6, 13.5,⑥④⑤, 7, 9, ハタノゼｰレ,---,四位洋, 1.2, 47,* -3, -18, 2,  2.9, ②②, 7, 7,Ｎニシノクエｰサｰ, 58,木幡初, 1.1, 70,   8,  -5,12, 63.0,⑪⑪⑪, 7, 2,Ｅクロワラモｰ, 72,藤田伸, 0.4, 70,   3,   8, 4, 10.8, ⑦⑥
 8, 5, アンアピｰズド,---,横山典, 0.8, 63,  11, -21, 9, 25.3,⑨⑨⑧, 8, 7, ヤマノアイリｰ,---,丸山元, 2.0, 37, -14, -16, 6, 32.0, ⑦⑦, 8, 2,Ｊナリタハリケｰン, 69,池添謙, 1.3, 69,   8,  -6, 8, 13.8,⑫⑫⑩, 8,13,Ｉトｰセンマドロｰナ, 71,藤岡佑, 0.4, 71,   2,   8, 9, 20.7, ⑧⑨
 9, 1,Ｈコスモグランデｰル, 62,柴田大, 0.9, 63,* 14, -30, 3,  7.2,③②③, 9, 2, エリモフェザｰ,---,柴山雄, 2.2, 33, -21, -13, 7, 36.5, ⑨⑨, 9,14,Ｋノヴェッロ, 65,荻野琢, 1.4, 68,   6,  -3,11, 57.9,⑬⑬⑬, 9,10,Ｏリッピアピンク, 63,井上俊, 0.6, 67,  -9,* 17,15,220.8, ⑮⑮
10, 6,Ｉパトリオット, 61,川島信, 1.4, 60,  11, -29, 4,  7.6,⑩⑫⑩,,,,,,,,,,,,,10, 9,Ｃトモロマイスタｰ, 75,横山典, 1.4, 70,   2,*  6, 9, 17.2,⑭⑭⑭,10, 6,Ａモトヒメ, 77,津村明, 0.7, 65,  -1,   8,10, 21.9, ⑪⑫
11,11,Ａトレｰロマタドｰル, 65,津村明, 1.5, 55,  12, -34, 8, 19.4,⑬⑦⑨,,,,,,,,,,,,,11, 1,Ｌヘリオスフィア, 65,宮崎北, 1.5, 67,  11, -16,13,107.8,⑦⑧⑥,11,12,Ｌキルシュバウム, 69,丸田恭, 0.7, 66,  -5,  12,13,102.9, ⑬⑭
12, 7,Ｃハンサムボｰイ, 64,丸山元, 1.5, 58,   7, -23, 5, 12.6,⑮⑬⑫,,,,,,,,,,,,,12,12,Ｇカロッサル, 71,長谷川, 1.6, 64,* 13, -23, 6, 12.8,⑨④⑤,12, 4,Ｍマヤノアンズ, 68,古川吉, 0.7, 66, -12,* 18,14,120.7, ⑯⑯
13, 3,Ｌシルクルガｰル, 58,荻野琢, 1.6, 55,   7, -22,12, 53.9,⑭⑮⑭,,,,,,,,,,,,,13, 5,Ｄリルバイリル, 75,柴山雄, 2.1, 59,* 13, -30, 7, 13.6,④③⑦,13, 9,Ｃオメガブルｰライン, 72,蛯名正, 0.8, 65,   4,   2, 7, 18.5, ⑤⑤
14, 2,Ｏナンヨｰヤシマ, 44,古川吉, 1.7, 57,   4,*-17,14, 61.1,⑯⑯⑮,,,,,,,,,,,,,14,11,Ｍテラノイｰグル, 60,川島信, 2.2, 62,  12, -27,14,222.4,⑥⑩⑫,14,14,Ｆエクレウス, 72,柴山雄, 0.9, 63,   5,  -1,12, 84.3, ④④
15,15,Ｍシゲルポｰポｰ, 57,菱田裕, 2.5, 50,  11, -46,15,150.7,⑦⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｄキョウエイバサラ, 72,川島信, 1.0, 63,*  6,  -4, 1,  2.9, ③③
16,16,Ｎスマｰトブライト, 51,横山和,10.7,-48,   7, ---,16,345.2,②⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｐサマｰコｰド, 56,柴田大, 1.9, 52,   4, -13,16,241.4, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,
"単勝:3,640円 複勝:13=620円 12=140円 09=880円 枠連:830円",,,,,,,,,,,,"単勝:890円 複勝:05=220円 03=680円 06=140円 枠連:10,220円",,,,,,,,,,,,単勝:420円 複勝:06=170円 10=230円 03=190円 枠連:830円,,,,,,,,,,,,"単勝:440円 複勝:01=210円 03=330円 16=510円 枠連:1,530円",,,,,,,,,,,
"馬連:3,840円 ワイド:12-13=1,510円 09-13=9,020円 09-12=2,040円",,,,,,,,,,,,"馬連:12,580円 ワイド:03-05=2,450円 05-06=380円 03-06=1,560円",,,,,,,,,,,,"馬連:1,620円 ワイド:06-10=680円 03-06=540円 03-10=920円",,,,,,,,,,,,"馬連:3,000円 ワイド:01-03=1,200円 01-16=1,690円 03-16=3,460円",,,,,,,,,,,
"馬単:11,610円 3連複:36,510円 3連単:277,890円",,,,,,,,,,,,"馬単:23,250円 3連複:8,640円 3連単:77,700円",,,,,,,,,,,,"馬単:2,940円 3連複:3,730円 3連単:19,380円",,,,,,,,,,,,"馬単:5,200円 3連複:19,140円 3連単:81,090円",,,,,,,,,,,
