12年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾌｨﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2,10,Ｂジョナパランセ, 62,川田将, 0.3, 59,* -1,   7, 3,  7.7,②②②, 2, 7,Ｅマｰチャンテイマｰ, 61,川田将, 0.1, 68, -11,* 10, 5,  8.1, ⑩⑩, 2,10,Ｈゴットラウディｰ, 76,国分恭, 0.1, 86,  17,   3, 5,  8.3,⑥⑤②, 2, 4,Ｇゼンノベラｰノ, 86,幸英明, 0.4, 91,   4,* 21, 3,  6.9, ④③
 3,14,Ａロｰレルブレイズ, 68,幸英明, 0.4, 59,  -2,*  8, 1,  1.8,⑤⑥④, 3, 9,Ｋハッピｰアビラ, 56,秋山真, 0.2, 65,  -8,   4, 9, 25.8, ⑧⑥, 3, 9,Ａトウカイパラダイス, 79,佐藤哲, 0.3, 86,* 18,  -5, 1,  2.3,②②①, 3, 1,Ｉトｰホウチェイサｰ, 85,岩田康, 0.7, 88,   3,  20, 5, 13.5, ⑥⑧
 4, 2,Ｃメイショウアルザス, 60,武幸四, 0.4, 60,*  0,   5, 6, 24.8,①①①, 4, 4,Ｃトワイスアップ, 63,岩田康, 0.6, 59, -10,   0, 7, 11.6, ⑤④, 4,12,Ｃヴィｰヴァギブソン, 78,川田将, 0.3, 86,  14,*  5, 8, 41.8,⑧⑧⑦, 4, 7,Ｈメイショウデイム, 86,藤岡佑, 0.9, 87,   0,* 21, 6, 15.1, ⑪⑨
 5,11,Ｌコパノウェルス, 51,藤岡佑, 0.7, 58,  -3,*  8, 8, 31.5,⑨⑨⑦, 5,16,Ｊアドマイヤギャラン, 57,安藤勝, 0.7, 57,* -7,  -6, 1,  4.2, ③②, 5, 2,Ｊナムラボルテｰジ, 74,藤懸貴, 0.9, 79,  14,  -5, 9, 44.5,⑦⑦⑥, 5, 3,Ｋアウトクラトｰル, 84,川田将, 1.0, 85,   3,  17,12, 68.8, ⑦⑥
 6, 7,Ｉソｰドブレイカｰ, 52,福永祐, 0.9, 55,  -4,*  8, 5, 21.6,⑩⑩⑫, 6,10,Ｏアサヒノネネ, 48,藤懸貴, 0.8, 58, -11,   0,16,314.4, ⑪⑪, 6,13,Ｄリトルダｰリン, 76,福永祐, 1.1, 79,  13,  -3, 2,  4.7,⑪⑩⑨, 6, 8,Ｅシゲルソウウン, 88,国分恭, 1.0, 84,   1,  19, 9, 28.5, ⑨⑩
 7, 3,Ｆオリオンザパワｰ, 58,四位洋, 1.2, 54,  -2,   2, 4, 18.6,⑥⑤⑥, 7,13,Ｇパトリオット, 59,幸英明, 0.8, 58, -13,   1, 3,  6.0, ⑫⑦, 7, 3,Ｅタガノエベンヌ, 76,熊沢重, 1.4, 73,  17, -18,10, 50.6,③③④, 7, 5,Ｌサウンドアクシス, 83,武豊  , 1.0, 85,   2,  18, 8, 18.1, ⑧⑦
 8, 1,Ｅシゲルスイカ, 59,高倉稜, 1.4, 54,  -5,   6, 9, 36.6,⑬⑬⑪, 8, 3,Ｂオメガセニョリｰナ, 64,藤田伸, 1.0, 54, -11,  -5, 2,  4.3, ⑥⑧, 8, 4,Ｂタガノガルｰダ, 79,太宰啓, 1.4, 74,  13,  -8, 7, 30.1,⑩⑨⑩, 8, 6,Ｄアｰリｰロブスト, 89,太宰啓, 1.1, 84,*  8,  11, 7, 16.4, ①①
 9,12,Ｍベルウッドワンキｰ, 46,小林徹, 1.5, 51,  -4,   4,10, 77.1,⑫⑪⑧, 9, 1,Ｄサマｰハピネス, 62,福永祐, 1.1, 51,* -7, -12, 4,  7.2, ①①, 9, 1,Ｍオカゲサマデ, 63,高倉稜, 2.3, 67,  10, -13,12,182.7,⑨⑪⑫, 9,10,Ａマルカベンチャｰ, 91,安藤勝, 1.3, 81,   0,  18, 2,  3.4, ⑩⑪
10,15,Ｋタガノビッグバン, 51,太宰啓, 1.7, 48,  -3,   0,13,153.4,⑦⑧⑩,10,14,Ｈヒデノビクトリア, 57,太宰啓, 1.1, 55, -14,   0,14,114.8, ⑭⑬,10,11,Ｋベルグミサイル, 72,花田大, 2.5, 65,   9, -13,13,304.0,⑫⑬⑬,10, 2,Ｂレディルｰジュ, 91,福永祐, 1.7, 79,   5,  10, 1,  3.1, ③④
11, 6,Ｈケイツｰクロｰト, 53,村田一, 1.7, 51,  -5,   3,14,236.7,⑪⑫⑬,11, 8,Ｉデイジｰバロｰズ, 57,武豊  , 1.3, 49,* -7, -14, 8, 24.0, ④③,11, 7,Ｉパルクエスト, 74,岩田康, 2.6, 62,  14, -28,11,106.9,⑤⑥⑧,11, 9,Ｆアドバンスウェイ, 88,小牧太, 1.7, 79,  -2,  16,10, 29.5, ⑫⑫
12,16,Ｄスリｰトップガン, 60,武豊  , 1.7, 48,* -2,  -4, 7, 26.7,③③③,12, 2,Ｆシゲルトマト, 60,国分恭, 1.4, 53, -17,   1,11, 42.5, ⑯⑭,12, 8,Ｇカリスマミッキｰ, 76,長谷川, 2.7, 62,  17, -36, 6, 23.5,④④⑤,12,13,Ｍトゥニｰポｰト, 73,高倉稜, 1.7, 80,   4,  10,13,123.7, ⑤⑤
13, 4,Ｐエイトビｰト,  4,佐藤哲, 2.6, 44,  -8,   3,11, 98.0,⑯⑮⑮,13,12,Ｌショウナンマオ, 50,小牧太, 1.5, 47, -10, -13,10, 40.9, ⑦⑨,13, 5,Ｌメイショウナルト, 71,幸英明, 5.0, 49,* 21, -77, 4,  6.1,①①③,13,11,Ｊミリオンディスク, 85,村田一, 2.1, 76,  -4,  14,11, 58.4, ⑬⑬
14, 5,Ｊアスカノラポｰル, 51,熊沢重, 2.8, 45,  -8,   0,15,305.1,⑭⑭⑭,14,15,Ａジャスティシア, 65,藤岡佑, 1.9, 44,  -8, -22, 6, 11.4, ②⑤,,,,,,,,,,,,,,,,,,,,,,,,
15, 8,Ｎプレジャｰサイン, 43,藤懸貴, 3.1, 36,  -3, -13,12,138.8,⑧⑦⑨,15, 6,Ｍクレバｰインパクト, 50,高倉稜, 2.0, 44, -14, -13,13, 61.0, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｏホッコｰアスカ, 39,国分恭, 3.9, 37, -11,  -2,16,440.9,⑮⑯⑯,16,11,Ｐキタサンエデン, 43,四位洋, 5.4,  0, -14, -61,15,121.7, ⑨⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:5),,,,,,,,,,,
単勝:360円 複勝:13=130円 10=150円 14=110円 枠連:430円,,,,,,,,,,,,"単勝:5,680円 複勝:05=2,500円 07=260円 09=710円 枠連:8,330円",,,,,,,,,,,,"単勝:600円 複勝:06=170円 10=160円 09=130円 枠連:2,220円",,,,,,,,,,,,"単勝:770円 複勝:12=280円 04=250円 01=440円 枠連:2,220円",,,,,,,,,,,
"馬連:1,290円 ワイド:10-13=340円 13-14=180円 10-14=200円",,,,,,,,,,,,"馬連:39,110円 ワイド:05-07=9,330円 05-09=14,770円 07-09=2,690円",,,,,,,,,,,,"馬連:2,230円 ワイド:06-10=600円 06-09=320円 09-10=290円",,,,,,,,,,,,"馬連:3,000円 ワイド:04-12=1,110円 01-12=1,830円 01-04=1,500円",,,,,,,,,,,
"馬単:2,080円 3連複:620円 3連単:5,260円",,,,,,,,,,,,"馬単:95,010円 3連複:221,860円 3連単:1,363,840円",,,,,,,,,,,,"馬単:4,560円 3連複:1,370円 3連単:13,280円",,,,,,,,,,,,"馬単:6,380円 3連複:11,250円 3連単:66,220円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｈペガサスフォｰス, 55,小牧太,, 65,  -9,* 10, 8, 20.9, ⑫⑩, 1, 8,Ａヒｰロｰ, 79,岩田康,, 69, -11,  15, 1,  1.3, ⑥⑤, 1, 7,Ｃルナキッズ, 83,藤田伸,, 90,  -3,* 21, 3,  5.4, ⑩⑩, 1,13,Ｉスズカホｰプ, 78,安藤勝,, 82,   8,* 15, 1,  3.8,⑮⑮⑭
 2, 4,Ｂエイシンピュｰマ, 67,福永祐, 0.1, 63,* -5,   4, 1,  3.1, ①①, 2, 5,Ｃタイキガラハッド, 73,藤岡佑, 0.0, 71,  -9,  13, 2,  6.7, ②②, 2, 2,Ａワイズリｰ, 84,小林徹, 0.0, 89,  -1,* 18, 1,  3.9, ⑦⑦, 2, 5,Ｆドリｰムマジシャン, 80,幸英明, 0.0, 85,   9,* 13, 2,  4.5,⑭⑬⑨
 3, 1,Ｅフェロｰズ, 57,藤岡佑, 0.3, 62,  -7,   4, 6, 12.9, ⑥③, 3, 6,Ｄアランルｰス, 70,村田一, 0.3, 68,  -9,  11, 5, 15.0, ③③, 3,10,Ｄティアップゴｰルド, 82,藤岡佑, 0.0, 87,*  5,  10, 2,  3.9, ②②, 3,11,Ｈカリズマクレスト, 78,高倉稜, 0.1, 84,   8,* 12,15,219.2,⑩⑫⑫
 4,11,Ｋヤマカツナタリｰ, 50,秋山真, 0.5, 61,  -7,   4,11, 63.0, ⑦⑤, 4,10,Ｂポリティカルパワｰ, 73,渡辺薫, 0.3, 68, -16,* 17, 4, 12.6, ⑩⑩, 4, 3,Ｅサウンドバリアｰ, 81,武豊  , 0.0, 87,   1,  15, 6,  9.1, ⑥⑤, 4,16,Ｂダノンジュピタｰ, 82,福永祐, 0.5, 79,  10,   4, 6, 11.3,⑤⑤④
 5, 8,Ｆギルドマスタｰ, 56,四位洋, 0.7, 60, -12,*  8, 5, 11.8, ⑯⑯, 5, 7,Ｆエルウェｰオｰジャ, 68,国分恭, 0.4, 66, -14,  14, 7, 45.2, ⑧⑧, 5,11,Ｉマッシヴエンペラｰ, 77,熊沢重, 0.1, 85,   2,  11,10, 68.5, ④④, 5,10,Ａドリｰムアライブ, 83,村田一, 0.5, 80,   9,   6, 5,  9.0,⑨⑧⑦
 6,13,Ｃクレバｰウルフ, 64,高倉稜, 0.7, 59,  -8,   3, 3,  5.9, ⑩⑨, 6, 1,Ｇヤマニンアルシェ, 65,福永祐, 0.5, 65, -14,  13, 6, 23.1, ⑦⑦, 6, 1,Ｇナシュワンヒｰロｰ, 79,秋山真, 0.2, 83,*  6,   7, 5,  8.8, ①①, 6, 7,Ｊタガノジョｰカｰ, 77,武豊  , 0.7, 79,* 11,   2,10, 34.6,②②①
 7, 6,Ａメイショウドルセｰ, 69,幸英明, 0.8, 58,* -5,  -1, 4,  9.4, ③②, 7, 2,Ｉノｰザンソング, 54,幸英明, 0.6, 65,* -6,   5, 9, 76.0, ①①, 7, 9,Ｊファンドリノチカラ, 76,小牧太, 0.4, 83,  -1,  13, 9, 42.0, ⑧⑧, 7, 9,Ｄキｰネプチュｰン, 81,岩崎祐, 0.9, 77,   9,   4,12, 62.8,⑫⑪⑪
 8, 9,Ｐセルリアンラビット, 42,野元昭, 1.5, 54, -10,   1,10, 58.9, ⑮⑭, 8, 4,Ｅノボジュピタｰ, 69,高倉稜, 0.6, 65, -11,  10, 3, 12.4, ⑤④, 8, 8,Ｋアグネスヨジゲン, 72,太宰啓, 0.6, 80,  -3,  13,11, 77.6, ⑪⑪, 8, 4,Ｃコアレスカポｰテ, 82,川田将, 1.0, 78,  10,   3, 8, 19.7,⑧⑦⑩
 9,10,Ｉミラクルミイクン, 51,渡辺薫, 1.7, 51,  -9,  -4, 9, 48.3, ⑪⑫, 9, 3,Ｈマキハタピンナップ, 56,安藤光, 1.9, 53, -12,  -1, 8, 51.7, ④⑥, 9,12,Ｍキヲウエタオトコ, 68,佐藤哲, 0.7, 79,   2,   5,12,148.3, ⑤⑥, 9, 2,Ｍツルマルシルバｰ, 77,安藤光, 1.0, 78,   7,   8,16,280.0,⑯⑯⑯
10,16,Ｏスマイルキャッチャ, 44,太宰啓, 2.0, 48, -11,  -5,14,203.1, ⑭⑬,10, 9,Ｊティンクルチャｰミ, 53,太宰啓, 2.9, 45, -14,  -6,10,154.7, ⑨⑨,10, 5,Ｈマイネショコラｰデ, 77,幸英明, 0.7, 79,  -2,  10, 8, 25.9, ⑨⑨,10,12,Ｏシンクオブミｰ, 74,岩田康, 1.2, 75,  10,  -2, 7, 15.6,④④⑤
