12年 8月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月25日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,, 9, 4,Ｈサロンドクイｰン, 54,菅原隆, 1.2, 51, -15,   0,11,372.9, ⑩⑨, 9,12,Ｌドナメジャｰ, 62,古川吉, 2.5, 60,  -2,   1,13,152.7,⑪⑫⑫, 9,11,Ｈフロｰリストライフ, 72,黛弘人, 1.0, 70,   2,   5,12,102.8,⑨⑫⑫
,,,,,,,,,,,,10,11,Ｆドントブリンク, 56,菱田裕, 2.7, 38,   3, -26, 7, 34.5, ④⑤,10, 2,Ｆネオザスティング, 70,津村明, 2.8, 60,   2,  -7, 6, 39.9,⑤⑥⑧,10,13,Ｇコスモアウリンコ, 75,津村明, 1.3, 65,   1,   1, 5, 12.7,⑭⑩⑧
,,,,,,,,,,,,11, 8, チャンピオンホｰク,---,武幸四, 3.2, 33, -15, -18,10,153.6, ⑪⑪,11,11,Ｃユナイテッドウィル, 73,池添謙, 3.1, 57,   2,  -9, 5, 17.0,⑦⑦⑨,11, 4,Ｌノヴェッロ, 64,荻野琢, 1.3, 67,   0,   5,11, 92.6,⑬⑭⑪
,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｊエリモレインボｰ, 65,川島信, 3.1, 57,   3, -10,11,117.8,③③⑤,12,10,Ｍゲバラ, 55,宮崎北, 1.9, 60,*  3, -13,13,111.5,⑤④⑦
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｍデラモｰレ, 60,丸田恭, 3.3, 55,  -3,  -4,10,102.0,⑬⑬⑬,13, 5,Ｃフレｰジャパン, 79,藤田伸, 3.8, 46,*  3, -39, 2,  6.0,⑥⑦⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｎリッカシャイニｰ, 33,田中勝,12.7,-50,   1, ---,14,167.5,④⑧⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:390円 複勝:07=190円 02=460円 05=1,720円 枠連:0円",,,,,,,,,,,,"単勝:1,100円 複勝:06=300円 10=260円 02=1,160円 枠連:1,330円",,,,,,,,,,,,"単勝:1,300円 複勝:01=190円 08=110円 04=120円 枠連:1,060円",,,,,,,,,,,,"単勝:940円 複勝:14=180円 01=170円 09=120円 枠連:1,240円",,,,,,,,,,,
"馬連:2,020円 ワイド:02-07=650円 05-07=2,650円 02-05=3,400円",,,,,,,,,,,,"馬連:2,260円 ワイド:06-10=590円 02-06=4,860円 02-10=5,010円",,,,,,,,,,,,"馬連:1,130円 ワイド:01-08=380円 01-04=420円 04-08=140円",,,,,,,,,,,,"馬連:2,320円 ワイド:01-14=620円 09-14=430円 01-09=320円",,,,,,,,,,,
"馬単:3,460円 3連複:17,260円 3連単:74,700円",,,,,,,,,,,,"馬単:6,250円 3連複:28,670円 3連単:182,480円",,,,,,,,,,,,"馬単:3,590円 3連複:740円 3連単:10,410円",,,,,,,,,,,,"馬単:4,870円 3連複:1,800円 3連単:17,360円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾑｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄジェイケイホｰム, 50,丸田恭,, 57,*-13,   2, 3,  4.5, ①①, 1, 4,Ｂコスモレイラ, 66,丹内祐,, 65,*  4,* -1, 1,  2.4,②②②, 1, 4,Ｃメイショウコンカｰ, 73,岩田康,, 79,*  7,* 10, 2,  3.1,③③②, 1, 5,Ｂロｰマンレジェンド, 96,岩田康,, 94,  14,* 20, 1,  1.5,⑦⑥③
 2, 2,Ｂシゲルオオカミザ, 51,藤田伸, 0.1, 58, -17,   5, 1,  2.0, ③③, 2, 8,Ａラブトゥオｰル, 68,丸山元, 0.4, 64,   3,* -1, 3,  5.1,⑥⑥③, 2, 3,Ａペガサスフラッシュ, 77,丸山元, 0.3, 79,* 10,   6, 1,  2.6,①①①, 2,11,Ａエスポワｰルシチｰ, 98,佐藤哲, 0.0, 94,* 16,  18, 2,  3.8,④②②
 3, 6,Ｇバトルレジナ, 40,池添謙, 0.2, 56, -16,   2, 2,  3.6, ②②, 3, 3,Ｃディアボンボン, 65,勝浦正, 0.4, 63,*  5,  -5, 4,  8.3,①①①, 3, 2,Ｄメイプルリンカｰン, 72,柴山雄, 1.4, 69,  -1,* 12, 4,  9.8,⑬⑬⑫, 3, 8,Ｅグランドシチｰ, 91,丸田恭, 0.7, 89,  10,* 21, 6, 39.7,⑩⑪⑪
 4, 4,Ａメボン, 53,四位洋, 0.5, 53, -18,   1, 5, 13.3, ⑤⑤, 4, 7,Ｊトウカイレックス, 52,津村明, 0.8, 62,   1,* -1, 7, 55.5,⑨⑧⑦, 4, 8,Ｅマルデデルマ, 72,吉田隼, 1.4, 69,   2,*  9, 7, 25.0,⑩⑪⑧, 4, 3,Ｈエｰシンモアオバｰ, 90,藤田伸, 0.8, 89,* 16,  10, 4, 19.2,①①①
 5, 1,Ｅスタｰボウ, 47,宮崎北, 0.5, 53, -20,   2, 6, 24.9, ④⑥, 5, 2,Ｈトップバゴスタｰ, 57,松田大, 0.9, 59,   4,  -7,11,106.4,③③④, 5, 7,Ｋシナル, 63,伊藤工, 1.7, 67,   3,   3, 6, 15.8,⑦⑦⑥, 5,10,Ｉサイオン, 86,四位洋, 1.4, 86,  13,  11, 9, 84.8,⑨⑧⑦
 6, 7,Ｃイチマイカンバン, 50,荻野琢, 0.7, 51, -30,* 10, 4,  9.7, ⑦⑦, 6, 5,Ｆメイショウオトコギ, 60,菱田裕, 1.1, 58,   3,  -8, 5, 26.0,⑤⑤⑥, 6, 6,Ｍマイネルハｰシェル, 59,丹内祐, 1.9, 66,   1,   5, 9, 30.9,⑪⑫⑪, 6, 7,Ｆクリｰルパッション, 91,津村明, 1.5, 85,  12,  11, 8, 66.5,⑧⑨⑨
 7, 5,Ｆジェイケイハｰト, 47,津村明, 0.8, 48, -22,   1, 7, 50.3, ⑥④, 7,11,Ｄライズアゲイン, 62,三浦皇, 1.7, 53,   3, -14, 2,  2.6,④④⑤, 7, 9,Ｂプレシャスペスカ, 73,古川吉, 2.3, 62,   6,  -8, 3,  8.2,⑤④④, 7, 2,Ｄヤマニンキングリｰ, 93,丹内祐, 1.5, 83,  14,   8, 7, 44.8,②⑤④
,,,,,,,,,,,, 8, 6,Ｋスリｰサンハｰツ, 51,佐藤哲, 2.6, 49,   1, -16, 9, 69.4,⑧⑦⑧, 8, 5,Ｉサンライズクラウド, 65,藤田伸, 2.7, 60,*  8, -14, 5, 11.0,②②③, 8, 4,Ｇセイリオス, 90,田中勝, 1.7, 81,  13,   8, 5, 25.3,⑥⑦⑧
,,,,,,,,,,,, 9, 9,Ｇキタノハヤブサ, 58,柴山雄, 2.6, 47,  -2, -12, 8, 55.6,⑪⑨⑨, 9, 1,Ｆマヤノオントロジｰ, 66,四位洋, 3.0, 60,   2,  -7, 8, 29.0,⑫⑩⑨, 9, 6,Ｃサイレントメロディ, 93,横山典, 2.3, 78,  11,   7, 3,  6.9,⑪⑩⑩
,,,,,,,,,,,,10,13,Ｉメイショウアマクサ, 55,秋山真, 3.9, 40,  -6, -16, 6, 38.7,⑫⑪⑪,10,12,Ｌデルマクリシュナ, 60,竹之下, 3.2, 56,   6, -16,12,149.7,⑥⑤⑤,10, 1,Ｋキングトップガン, 82,丸山元, 2.6, 76,  14,  -2,10,259.7,③④⑤
,,,,,,,,,,,,11,10,Ｌリネンサンシャイン, 32,伊藤工, 5.5, 29,  -2, -37,12,662.7,⑦⑩⑩,11,11,Ｈプレシャスライン, 65,荻野琢, 3.7, 53,   5, -19,13,151.1,④⑥⑦,11, 9,Ｊパワｰストラグル, 86,池添謙, 2.9, 73,  15,  -5,11,266.4,⑤③⑥
,,,,,,,,,,,,12,12,Ｍディアマｰベル, 23,藤田伸, 7.3, 22,  -5, -46,10, 84.5,⑩⑫⑫,12,13,Ｊエンジンゼンカイ, 64,三浦皇, 4.0, 52,   2, -15,10, 38.3,⑧⑨⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｇアドマイヤアゲイン, 66,池添謙, 4.1, 51,   4, -18,11, 62.2,⑨⑧⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
単勝:450円 複勝:03=180円 02=120円 枠連:0円,,,,,,,,,,,,単勝:240円 複勝:04=120円 08=130円 03=170円 枠連:430円,,,,,,,,,,,,単勝:310円 複勝:04=130円 03=130円 02=210円 枠連:330円,,,,,,,,,,,,単勝:150円 複勝:05=110円 11=130円 08=380円 枠連:250円,,,,,,,,,,,
馬連:410円 ワイド:02-03=160円 03-06=180円 02-06=150円,,,,,,,,,,,,馬連:500円 ワイド:04-08=200円 03-04=270円 03-08=340円,,,,,,,,,,,,馬連:370円 ワイド:03-04=180円 02-04=460円 02-03=540円,,,,,,,,,,,,馬連:260円 ワイド:05-11=160円 05-08=590円 08-11=860円,,,,,,,,,,,
"馬単:1,200円 3連複:330円 3連単:2,850円",,,,,,,,,,,,"馬単:830円 3連複:640円 3連単:2,680円",,,,,,,,,,,,"馬単:760円 3連複:1,100円 3連単:4,260円",,,,,,,,,,,,"馬単:390円 3連複:1,440円 3連単:3,430円",,,,,,,,,,,
■ 3R  ダ2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝1500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBC賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａイッツガナハプン, 73,荻野琢,, 73,*  6,*  4, 1,  2.7,⑥③①, 1, 9,Ｈルミナスレッド, 61,宮崎北,, 69,   5,*  3, 8, 28.7,③⑤②, 1, 9,Ｃスピｰクソフトリｰ, 75,武幸四,, 81,  -5,  17, 1,  3.0,④④②, 1, 6,Ｃバｰトラムガｰデン, 76,津村明,, 79,   8,  10, 2,  3.8, ④④
 2, 3,Ｄダッシュファイアｰ, 64,吉田隼, 1.0, 66,   4,*  0, 4,  7.2,⑧⑧⑤, 2, 2,Ｄマイネルバルドル, 66,伊藤工, 0.1, 69,   4,*  6, 9, 30.2,⑦⑪⑤, 2, 1,Ｈタツストロング, 67,四位洋, 0.1, 79,* -2,  12, 2,  5.1,①①①, 2, 1,Ａサクラアドニス, 81,横山典, 0.0, 80,   5,  13, 1,  2.7, ⑥⑤
 3, 2,Ｂロトスカイハイ, 65,三浦皇, 1.1, 67,   6,  -3, 3,  5.3,⑦④③, 3, 4,Ｆサングヒｰロｰ, 65,池添謙, 0.4, 65,   3,*  4, 2,  3.4,⑩⑬⑫, 3,13,Ｄコスモドロス, 75,丹内祐, 0.3, 78,  -6,  15, 8, 17.8,⑤⑤⑤, 3, 9,Ｏリビングストン, 67,宮崎北, 0.3, 76,  -4,* 18,12, 60.6, ⑨⑨
 4, 9,Ｅヒラボクジャパン, 62,岩田康, 1.8, 62,*  7, -14, 5,  9.7,③②②, 4,13,Ｃスマｰトラファエル, 68,岩田康, 0.5, 63,   4,  -1, 1,  1.9,⑪⑩⑩, 4, 5,Ｌピアノボレロ, 63,荻野琢, 0.4, 77,  -7,  16,12,109.3,⑥⑥⑥, 4,10,Ｍマイネショコラｰデ, 67,三浦皇, 0.3, 76,   5,   8, 7, 21.4, ⑦⑦
 5, 1,Ｊキョウワアｰク, 55,津村明, 2.7, 58,   3, -11,10,113.1,⑩⑨⑧, 5,10,Ｊクリｰルハヤテ, 60,藤田伸, 0.5, 66,   1,*  6, 6, 21.5,⑭⑭⑭, 5,11,Ｇサトノオリオン, 68,的場勇, 0.5, 79,  -9,  19,13,153.2,⑧⑧⑧, 5,14,Ｆアルｰリングライフ, 72,小林徹, 0.5, 73,  -6,* 16, 4,  8.4, ⑪⑪
 6,12,Ｃロｰドギフテッド, 64,池添謙, 3.8, 52,   5, -24, 6, 10.8,⑤⑦⑦, 6, 1,Ｇマイネルツァウバｰ, 64,三浦皇, 0.7, 63,   3,   1, 3, 11.7,⑫⑫⑬, 6, 8,Ｉロゼシャンパｰニュ, 66,池添謙, 0.5, 76,  -7,  15, 6, 10.0,⑦⑦⑦, 6, 2,Ｄメジロツボネ, 73,黛弘人, 0.5, 74,* 11,   1, 3,  7.8, ③③
 7, 7,Ｆオメガインペリアル, 62,横山典, 3.9, 51,   5, -27, 2,  3.7,⑨⑤④, 7,12,Ｅスカイトラベラｰ, 66,吉田隼, 0.7, 63,   5,  -4, 5, 17.6,⑤⑨⑨, 7, 6,Ａタマモマｰブル, 79,丸山元, 0.6, 78, -12,* 21, 5,  8.9,⑪⑪⑫, 7, 3,Ｊスマｰトムｰビｰ, 70,古川吉, 0.6, 73,* 13,  -3,13, 89.2, ①①
 8,11,Ｋボルドレ, 50,松田大, 5.2, 46,   5, -36, 9,103.9,①⑥⑨, 8,16,Ｐデビルシニスタ, 41,四位洋, 0.8, 61,*  7, -12,10, 37.8,①①①, 8,10,Ｅモスカｰトロｰザ, 72,三浦皇, 0.7, 75, -10,  16, 3,  5.9,⑩⑨⑨, 8,15,Ｈオオタニジムチョウ, 71,竹之下, 0.8, 70,  -8,  15, 5, 10.4, ⑭⑭
 9, 5,Ｉヴィンドランダ, 58,黛弘人, 6.1, 44,*  6, -49, 8, 44.5,②①⑥, 9, 3,Ｉベラルｰナ, 60,菱田裕, 0.9, 59,   6,  -9,12, 72.3,⑥⑥⑥, 9, 3,Ｊサニｰヘイロｰ, 65,吉田隼, 0.8, 76, -13,* 20, 7, 17.5,⑨⑩⑪, 9,13,Ｐリビングプルｰフ, 66,池添謙, 0.8, 70,  -4,  11,10, 44.0, ⑩⑩
10,10,Ｈチャイナキッス, 60,柴山雄, 6.8, 41,   3, -44, 7, 21.8,④⑩⑩,10, 8,Ｋメイクイｰン, 60,黛弘人, 0.9, 60,   4,  -6, 7, 28.3,⑧⑧⑪,10,12,Ｆルｰナピエｰナ, 70,宮崎北, 1.0, 75, -15,* 20, 9, 23.9,⑭⑭⑩,10, 5,Ｂタマニュｰホｰプ, 77,丸山元, 0.8, 70,  -7,  14, 6, 12.4, ⑬⑬
,,,,,,,,,,,,11,14,Ｍエクセレントマン, 51,丸山元, 1.3, 55,*  7, -18,13,198.8,④③③,11, 4,Ｂレッドストラｰダ, 76,古川吉, 1.0, 74, -15,* 20, 4,  7.5,⑫⑬⑬,11, 4,Ｅシチリアｰナ, 72,丸田恭, 0.8, 69,  -7,  14,11, 53.4, ⑫⑫
,,,,,,,,,,,,12, 5,Ａペイトリッツデイ, 71,柴山雄, 1.7, 51,*  7, -23,11, 44.2,⑬④④,12, 2,Ｎボｰシュヴァル, 59,伊藤工, 1.3, 64,* -3,  -1,11, 72.2,②②③,12,12,Ｋブラウンワイルド, 70,秋山真, 0.9, 69, -11,* 16, 9, 34.5, ⑮⑮
,,,,,,,,,,,,13, 6,Ｌアｰトオブジェリカ, 58,川島信, 1.8, 55,  -1,  -5,14,240.8,⑯⑮⑮,13,14,Ｍジュピタｰドリｰム, 62,菱田裕, 1.6, 59,* -4,  -5,14,207.4,③③④,13,11,Ｎミスベルツリｰ, 67,丹内祐, 1.0, 67,   2,   2,16,286.8, ⑧⑥
,,,,,,,,,,,,14,11,Ｏスリｰエンペラｰ, 44,武英智, 2.0, 48,*  7, -29,15,250.7,②②⑦,14, 7,Ｋニシノキラボシ, 64,川島信, 1.8, 64, -13,   7,10, 53.3,⑬⑫⑭,14,16,Ｇシゲルシゲザネ, 71,松田大, 1.5, 61,* 12, -14, 8, 31.9, ②②
,,,,,,,,,,,,15, 7,Ｂイルマｰレ, 69,丹内祐, 2.1, 50,   7, -26, 4, 14.4,⑨⑦⑧,,,,,,,,,,,,,15, 8,Ｌハｰトランドノリカ, 68,武幸四, 1.8, 57,   8, -14,14,131.8, ⑤⑧
,,,,,,,,,,,,16,15,Ｎロｰレルハイウェイ, 47,横山和, 3.6, 36,  -1, -30,16,324.9,⑮⑯⑯,,,,,,,,,,,,,16, 7,Ｉワイズドリｰム, 70,吉田隼, 3.5, 34, -15, -14,15,191.6, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
単勝:270円 複勝:06=120円 03=200円 02=140円 枠連:870円,,,,,,,,,,,,"単勝:2,870円 複勝:09=580円 02=710円 04=150円 枠連:2,790円",,,,,,,,,,,,単勝:300円 複勝:09=150円 01=180円 13=380円 枠連:590円,,,,,,,,,,,,単勝:380円 複勝:06=160円 01=140円 09=770円 枠連:300円,,,,,,,,,,,
馬連:990円 ワイド:03-06=360円 02-06=260円 02-03=580円,,,,,,,,,,,,"馬連:19,780円 ワイド:02-09=5,720円 04-09=1,600円 02-04=1,620円",,,,,,,,,,,,"馬連:810円 ワイド:01-09=500円 09-13=1,110円 01-13=1,130円",,,,,,,,,,,,"馬連:600円 ワイド:01-06=270円 06-09=3,590円 01-09=2,180円",,,,,,,,,,,
"馬単:1,510円 3連複:1,420円 3連単:5,830円",,,,,,,,,,,,"馬単:52,590円 3連複:23,060円 3連単:312,030円",,,,,,,,,,,,"馬単:1,420円 3連複:5,400円 3連単:18,630円",,,,,,,,,,,,"馬単:1,290円 3連複:11,700円 3連単:40,180円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
