12年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,17,16,Ｎアキノギムレット, 42,川田将, 3.3, 34,* -3, -45, 9,121.3,②②②,17,18,Ｎシルクプロミス, 65,嘉藤貴, 3.9, 47,   2, -32,13,130.7,⑥⑥⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｒマルタカボｰイス, 43,柴山雄, 4.7, 42,*  4, -50,18,372.4,②②②,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:10),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:10),,,,,,,,,,,
"単勝:4,820円 複勝:10=610円 12=240円 04=130円 枠連:4,010円",,,,,,,,,,,,単勝:160円 複勝:13=110円 06=210円 17=150円 枠連:840円,,,,,,,,,,,,"単勝:2,420円 複勝:13=690円 09=660円 16=2,300円 枠連:1,610円",,,,,,,,,,,,"単勝:1,070円 複勝:01=340円 06=300円 11=710円 枠連:3,230円",,,,,,,,,,,
"馬連:12,740円 ワイド:10-12=3,020円 04-10=1,350円 04-12=470円",,,,,,,,,,,,馬連:820円 ワイド:06-13=330円 13-17=180円 06-17=610円,,,,,,,,,,,,"馬連:30,670円 ワイド:09-13=7,810円 13-16=20,520円 09-16=22,230円",,,,,,,,,,,,"馬連:3,570円 ワイド:01-06=1,090円 01-11=2,630円 06-11=2,980円",,,,,,,,,,,
"馬単:36,960円 3連複:8,240円 3連単:130,120円",,,,,,,,,,,,"馬単:1,120円 3連複:1,080円 3連単:3,890円",,,,,,,,,,,,"馬単:67,890円 3連複:570,690円 3連単:1,748,050円",,,,,,,,,,,,"馬単:8,210円 3連複:27,450円 3連単:137,070円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 5R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高松宮記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａマイネルアクロス, 70,和田竜,,,,, 2,  3.4,⑥⑤④, 1, 4,Ｂアドマイヤオンリｰ, 74,浜中俊,,,,, 1,  3.5, ③④, 1,14,Ａリアルアヴェニュｰ, 78,浜中俊,,,,, 2,  4.0,①①①, 1,10,Ｅカレンチャン, 89,池添謙,, 84,*  7,   8, 2,  3.9, ②②
 2, 2,Ｃミッキｰジュピタｰ, 60,藤懸貴, 0.1,,,, 3,  5.0,①①①, 2, 3,Ｏナムラジュエル, 42,小牧太, 0.2,,,, 9, 24.1, ①①, 2,11,Ｋアドマイヤジャコモ, 65,福永祐, 0.7,,,, 3,  6.4,④⑤③, 2,17,Ａサンカルロ, 93,吉田豊, 0.0, 84,  -4,* 18, 3,  6.5, ⑫⑫
 3, 3,Ｂダイメイサンデｰ, 62,嘉藤貴, 0.3,,,, 7, 32.9,⑫⑪⑧, 3, 1,Ｄヴィクトリｰマｰチ, 73,藤岡佑, 0.4,,,, 3,  4.3, ⑧⑧, 3,10,Ｌライジングサン, 64,松山弘, 1.0,,,, 1,  1.7,⑥②②, 3, 1,Ｄロｰドカナロア, 90,福永祐, 0.1, 83,   4,  10, 1,  2.4, ④④
 4, 6,Ｄタイガｰシｰド, 58,小牧太, 1.0,,,,10, 49.7,⑭⑬⑭, 4,14,Ａワイキキブリｰズ, 74,川田将, 0.6,,,, 2,  3.9, ⑤③, 4, 1,Ｃシベリアンファクト, 73,西田雄, 1.1,,,, 7, 29.0,⑦⑦⑥, 4,15,Ｉダッシャｰゴｰゴｰ, 84,横山典, 0.1, 82,   4,   9, 6, 15.8, ⑥⑤
 5,16,Ｈロトスカイハイ, 52,大野拓, 1.2,,,,12,148.8,⑬⑫⑫, 5, 8,Ｉテングジョウ, 68,宮崎北, 1.0,,,, 7, 19.5, ⑬⑪, 5, 4,Ｉプルプル, 69,吉田豊, 1.3,,,,11,102.6,⑤⑥⑨, 5,12,Ｂマジンプロスパｰ, 92,浜中俊, 0.3, 81,*  5,   6, 5, 13.6, ③③
 6,13,Ｇタガノボックス, 56,古川吉, 1.4,,,,11, 96.4,⑯⑮⑬, 6, 5,Ｅグランスカイ, 72,和田竜, 1.0,,,, 6, 16.7, ④⑤, 6, 6,Ｄヤマニンフリスキｰ, 72,国分優, 1.4,,,, 8, 34.1,⑩⑨⑦, 6,14,Ｍグランプリエンゼル, 81,藤岡佑, 0.3, 83,  -2,  14, 9, 28.5, ⑪⑪
 7,10,Ｆサイレントキラｰ, 56,勝浦正, 1.5,,,, 6, 29.6,⑤⑥⑦, 7, 2,Ｈベルモントエルメス, 68,吉田隼, 1.3,,,,12,111.9, ⑩⑩, 7, 2,Ｍアグネスハイヤｰ, 62,川田将, 2.2,,,, 4, 14.2,⑪⑪⑪, 7, 3,Ｋアグネスウイッシュ, 83,武豊  , 0.4, 82, -12,* 21, 7, 18.7, ⑱⑱
 8,14,Ｏステップアヘッド,-21,黛弘人, 1.6,,,,15,434.9,⑮⑯⑮, 8, 6,Ｇサマｰラグｰン, 70,松山弘, 1.4,,,, 8, 21.1, ⑥⑥, 8, 3,Ｅアカシロｰレル, 71,嘉藤貴, 2.5,,,,12,136.6,⑧⑧⑧, 8,18,Ｑトウカイミステリｰ, 78,四位洋, 0.4, 81,  -5,* 15,13,135.8, ⑯⑭
 9, 4, ツヴァイハンダｰ,---,福永祐, 1.7,,,, 1,  2.4,⑦③③, 9,13,Ｆヒノデポベｰダ, 71,西田雄, 1.5,,,,11, 60.7, ⑨⑨, 9, 5,Ｈヤマニンクラバット, 69,吉田隼, 2.9,,,,10, 84.2,⑨⑩⑩, 9,11,Ｃサクラゴスペル, 92,ピンナ, 0.5, 78,   2,   7,10, 30.5, ⑧⑧
10, 1,Ｎメイショウインロウ,-12,国分優, 1.9,,,, 8, 46.3,⑧⑦⑥,10,12,Ｍブルｰデライト, 58,柴山雄, 1.5,,,,13,128.7, ⑦⑦,10, 7,Ｎキャニオンシンザン, 61,長岡禎, 3.3,,,,13,271.5,⑫⑫⑫,10, 4,Ｊレジェトウショウ, 83,松山弘, 0.6, 76,   3,   4,18,228.1, ⑤⑥
11,12,Ｅスズカキングダム, 58,松田大, 1.9,,,, 4,  7.4,③④⑤,11,10,Ｃサルココッカ, 73,水口優, 1.6,,,, 5, 10.3, ②②,11, 8,Ｆフェイクスパ, 71,宮崎北, 3.5,,,, 9, 75.3,②④⑤,11,16,Ｈジョｰカプチｰノ, 85,内田博, 0.7, 75,  -1,   7, 4, 13.1, ⑨⑨
12, 8,Ｌパトス, 32,水口優, 2.6,,,, 9, 47.3,②②②,12,11,Ｌサンキストビｰチ, 59,内田博, 1.8,,,, 4,  9.8, ⑮⑮,12, 9,Ｇボストンリョウマ, 70,和田竜, 4.0,,,, 6, 27.8,③③④,12, 7,Ｒアポロフェニックス, 78,吉田隼, 0.7, 77,  -9,* 15,16,174.4, ⑮⑯
13, 7,Ｉサダルスｰド, 46,西田雄, 3.1,,,,14,274.5,④⑨⑪,13, 9,Ｋツインテｰル, 61,福永祐, 1.8,,,,10, 25.5, ⑭⑭,,,,,,,,,,,,,13, 8,Ｐツルマルレオン, 80,小牧太, 0.8, 75,  -5,   9,11, 60.6, ⑬⑬
14,11,Ｊトリストラム, 42,平野優, 4.3,,,,16,475.6,⑩⑭⑯,14, 7,Ｊピアノボレロ, 61,国分優, 1.8,,,,14,138.1, ⑪⑬,,,,,,,,,,,,,14,13,Ｎタマモナイスプレイ, 81,渡辺薫, 0.9, 73,  -6,  10,17,227.7, ⑭⑮
15, 5,Ｍオｰスミムｰン, 31,村田一, 4.5,,,,13,190.8,⑨⑩⑩,15,15,Ｎクラウンハッピｰ, 49,鈴来直, 2.2,,,,15,317.3, ⑫⑫,,,,,,,,,,,,,15, 5,Ｏエｰシンリジル, 80,和田竜, 0.9, 74,   2,   2,12,126.8, ⑦⑦
16, 9,Ｋタワワ, 32,ピンナ, 4.8,,,, 5, 19.3,⑪⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｇサンダルフォン, 87,古川吉, 0.9, 73,  -3,   6,15,161.5, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｆエｰシンダックマン, 88,川田将, 1.2, 69,* 11, -11, 8, 25.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｌベイリングボｰイ, 82,勝浦正, 1.4, 67, -10,   7,14,136.3, ⑰⑰
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:10),,,,,,,,,,,
単勝:340円 複勝:15=150円 02=160円 03=480円 枠連:760円,,,,,,,,,,,,"単勝:350円 複勝:04=150円 03=580円 01=160円 枠連:2,740円",,,,,,,,,,,,単勝:400円 複勝:14=120円 11=140円 10=110円 枠連:740円,,,,,,,,,,,,単勝:390円 複勝:10=130円 17=160円 01=120円 枠連:670円,,,,,,,,,,,
"馬連:730円 ワイド:02-15=300円 03-15=1,030円 02-03=1,460円",,,,,,,,,,,,"馬連:4,390円 ワイド:03-04=1,490円 01-04=310円 01-03=1,860円",,,,,,,,,,,,"馬連:1,100円 ワイド:11-14=270円 10-14=180円 10-11=190円",,,,,,,,,,,,馬連:950円 ワイド:10-17=330円 01-10=230円 01-17=420円,,,,,,,,,,,
"馬単:1,520円 3連複:4,020円 3連単:15,260円",,,,,,,,,,,,"馬単:6,020円 3連複:5,360円 3連単:29,000円",,,,,,,,,,,,"馬単:2,180円 3連複:470円 3連単:4,520円",,,,,,,,,,,,"馬単:1,750円 3連複:1,070円 3連単:5,930円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三河特別,,,,,,,,,,,,瀬戸特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂカロッサル, 61,浜中俊,, 64, -12,* 26, 2,  3.5,⑤⑥⑦, 1, 9,Ｉサンライズサルｰテ, 66,水口優,,,,, 7, 14.4, ⑤⑥, 1, 8,Ｍシュプリｰムギフト, 67,浜中俊,, 77,   3,*  5, 6, 16.9, ⑨⑦, 1, 6,Ｎダノンフィｰバｰ, 74,内田博,,,,, 6, 16.8,②②②
 2,16,Ｃアポロドｰロス, 59,吉田隼, 0.1, 62, -13,* 26, 3,  4.5,⑫⑧⑧, 2,10,Ｆセイカフォルテ, 67,和田竜, 0.0,,,, 8, 17.1, ⑧⑨, 2, 7,Ｉリュンヌ, 71,松山弘, 0.0, 77,* 10,  -3, 3, 10.5, ①①, 2,14,Ｂエｰシンリボルバｰ, 83,川田将, 0.0,,,, 3,  5.9,⑪⑪⑨
 3,11,Ａタマモトッププレイ, 64,福永祐, 0.1, 60,*-10,  21, 1,  3.4,③②②, 3,14,Ｂデュアルサクセス, 71,福永祐, 0.1,,,, 2,  4.2, ⑥⑦, 3, 1,Ｂアフォｰド, 75,福永祐, 0.2, 75,*  7,  -2, 2,  3.3, ③③, 3, 1,Ｐダイヤノゲンセキ, 52,小牧太, 0.2,,,,11, 46.5,③④③
 4, 3,Ｄチェリｰヒロイン, 55,内田博, 0.2, 63, -14,* 28, 4,  5.8,⑨⑪⑩, 4, 6,Ｄエヴァ, 68,内田博, 0.2,,,, 4, 11.0, ②②, 4,13,Ｌブルｰムｰンピサ, 67,四位洋, 0.3, 72,  -2,*  6, 8, 18.0, ⑬⑪, 4, 2,Ｃスマｰトルシファｰ, 82,武豊  , 0.3,,,, 1,  2.3,①①①
 5, 7, エスケイヒｰロｰ,---,和田竜, 0.5, 57, -12,  19, 8, 42.5,④⑤⑥, 5, 5,Ｅラッシュザワｰク, 68,平野優, 0.3,,,, 3,  4.4, ⑦⑧, 5, 5,Ｋロｰドハリアｰ, 68,吉田隼, 0.6, 68,  -6,*  6,16, 89.5, ⑭⑭, 5,15,Ｅナリタスプリング, 81,福永祐, 0.4,,,, 2,  5.4,⑦⑥⑥
 6, 2,Ｈクイｰンリヴィエラ, 49,武豊  , 0.5, 60, -16,* 27, 5, 10.1,⑭⑭⑬, 6, 3,Ｃガッチリガッチリ, 68,浜中俊, 0.4,,,,10, 31.2, ⑩④, 6,12,Ｄアルマリンピア, 74,吉田豊, 0.6, 67,   4,  -4, 1,  3.2, ⑦⑤, 6,16,Ｌベストリガｰズ, 75,松田大, 0.5,,,, 5, 15.2,⑥⑦⑦
 7,12,Ｉビレッジオブベスト, 46,大野拓, 0.6, 55, -11,  16,12,107.3,⑩⑦⑤, 7,16,Ｈカネトシリｰプイン, 67,藤岡佑, 0.8,,,, 6, 12.3, ①①, 7, 6,Ｆドリｰムフォワｰド, 72,川田将, 0.7, 68,*  7,  -8, 5, 11.1, ④④, 7, 3,Ａテクニカルラン, 84,浜中俊, 0.6,,,, 4,  8.2,⑫⑫⑬
 8, 4, ラブリｰリタ,---,水口優, 0.9, 50, -11,  12,11, 83.8,②④④, 8, 1,Ｌトｰセンタｰボ, 65,武豊  , 0.8,,,, 9, 17.3, ⑬⑬, 8, 4,Ｎメイショウバレｰヌ, 66,武豊  , 0.7, 67,  -4,   2,10, 26.6, ⑪⑫, 8, 4,Ｋセトノハリケｰン, 76,古川吉, 0.8,,,,13, 98.9,⑧⑧⑧
 9, 6,Ｋマヤノポルカ, 37,松田大, 1.0, 52, -14,  18,10, 73.3,⑥⑩⑨, 9, 7,Ｎカルテブランシェ, 59,柴山雄, 0.8,,,,12, 65.5, ⑪⑪, 9,14,Ｃメイショウツガル, 75,古川吉, 0.7, 68,   0,  -2, 4, 10.5, ⑧⑨, 9, 8,Ｍアイノグロｰ, 75,和田竜, 0.8,,,,14,123.0,⑭⑬⑩
10,15,Ｅペプチドヒノトリ, 53,武英智, 1.2, 49, -15,  15, 6, 13.4,⑮⑫⑫,10, 8,Ｇクナンガン, 67,鈴来直, 1.0,,,,13,103.8, ⑭⑫,10,16,Ｅシエラデルタ, 73,松田大, 0.8, 66,  -5,   2, 9, 23.6, ⑫⑬,10, 7,Ｄハジメレンジャｰ, 82,松山弘, 0.8,,,, 7, 23.0,⑯⑮⑮
11, 8, バンブトンカツ,---,国分優, 1.2, 51, -17,  18, 9, 65.2,⑬⑮⑭,11, 4,Ａノボシャンパｰニュ, 72,松山弘, 1.2,,,, 5, 12.0, ④⑤,11,11,Ｐレッドストラｰダ, 60,藤岡佑, 0.9, 65,  -8,   3, 7, 16.9, ⑮⑮,11,12,Ｆキングスリｰジョン, 80,吉田豊, 0.9,,,,10, 35.8,⑬⑭⑭
12, 9,Ｆラインシルビア, 52,勝浦正, 1.4, 46, -15,  12, 7, 37.8,⑦⑨⑪,12, 2,Ｊガツｰン, 66,嘉藤貴, 1.3,,,,14,184.3, ⑫⑭,12,15,Ｇヘイハチキング, 72,柴山雄, 1.1, 63,   4, -11,11, 35.6, ⑥⑥,12, 5,Ｊレジュｰルダムｰル, 77,池添謙, 1.3,,,, 8, 25.5,⑮⑯⑯
13,14,Ｊアラビアンジョｰジ, 39,西田雄, 1.6, 41,* -9,   1,14,298.9,⑧③③,13,12,Ｋグランドジョラス, 66,大野拓, 1.6,,,,11, 50.3, ③③,13,10,Ｊテイエムアモｰレ, 70,和田竜, 1.3, 60,  -3,  -7,15, 88.0, ⑩⑩,13,10,Ｈファンタズミック, 79,柴山雄, 1.6,,,,15,129.8,⑨⑨⑪
14, 1,Ｇダイヤモンタｰニャ, 51,平野優, 1.6, 46, -19,  15,15,496.7,⑪⑬⑮,14,13,Ｍレグルスハｰト, 61,村田一, 1.7,,,,15,204.5, ⑮⑮,14, 3,Ｏフレイムヘイロｰ, 61,内田博, 2.2, 46, -24,   3,14, 64.8, ⑯⑯,14,13,Ｇメイショウスクラム, 80,黛弘人, 1.6,,,,12, 65.5,⑩⑩⑫
15,10,Ｌアルサメｰネ, 28,黛弘人, 2.7, 25,* -9, -15,16,528.3,①①①,15,11,Ｏアテナブルｰ, 49,横山和, 2.0,,,,16,318.1, ⑨⑩,15, 2,Ｈオレンジティアラ, 71,池添謙, 2.5, 46,*  8, -32,12, 37.9, ②②,15, 9,Ｉオｰスミマリオン, 77,四位洋, 1.7,,,, 9, 32.2,④③④
16, 5, ブライティアアクア,---,宮崎北, 3.6, 21, -22,  -7,13,239.1,⑯⑯⑯,,,,,,,,,,,,,16, 9,Ａゼットサンサン, 77,ピンナ, 3.5, 31,   1, -39,13, 55.4, ⑤⑧,16,11,Ｏクｰルドリオン, 73,平野優, 1.9,,,,16,168.8,⑤⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
