12年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
 9,16,Ｇスウェプトビア, 52,中井裕, 2.5,,,,14,117.6, ⑧⑨, 9,18,Ｄラブトゥオｰル, 53,太宰啓, 0.9, 55,*  4, -12, 7, 22.2, ④④, 9, 6,Ｊコマンドパワｰ, 65,的場勇, 1.5,,,, 6, 26.1, ⑬⑬, 9, 6,Ｂショウナンマハ, 75,松田大, 1.0, 64,  -6,   1, 2,  5.1,⑩⑪⑫
10, 9,Ｃクラウンカミｰノ, 59,西田雄, 2.7,,,, 6, 28.7, ⑤⑤,10, 3,Ｊクラシックヴィオラ, 40,松山弘, 1.3, 49,  -6,  -3,17,166.2, ⑮⑰,10, 4,Ｌキャピタルチャンス, 63,藤懸貴, 1.8,,,,15,176.3, ⑪⑩,10, 7,Ｍプリティ, 66,太宰啓, 1.4, 61,  -7,   0,18,109.7,⑮⑮⑮
11, 8,Ｉマリンザスタｰズ, 45,荻野琢, 2.8,,,,10, 86.2, ⑫⑩,11,11,Ｃタマモオｰロラ, 56,杉原誠, 1.7, 46,  -3, -11, 8, 24.3, ⑪⑪,11,14,Ｇカシノピストン, 67,松山弘, 2.3,,,,14,130.2, ⑮⑭,11, 5,Ｒニシノキミヨ, 53,大野拓, 1.4, 58,* -3, -11,16, 62.1,②④③
12,15,Ｊナガラクラウン, 44,高倉稜, 3.0,,,,13,111.6, ⑬⑬,12, 4, ケｰジｰトチオトメ,---,平野優, 1.9, 44,   1, -20,11, 54.4, ⑥⑥,12,11,Ｉシｰマｰク, 65,柴山雄, 2.4,,,,12, 76.0, ⑩⑪,12,12,Ｏランブイエ, 61,国分優, 1.7, 54,* -4, -13,13, 37.6,⑧⑦⑧
13,14,Ｋクラウンエリザベス, 40,横山和, 3.7,,,,16,319.6, ⑯⑮,13,10, ストロベリｰフィズ,---,嘉藤貴, 2.0, 42,  -2, -18,14, 99.7, ⑨⑩,13,13,Ｆディアトゥドリｰム, 67,松田大, 3.1,,,,11, 64.0, ⑦⑨,13, 2,Ｑセンティラシオン, 59,宮崎北, 1.9, 53,  -6, -11,17,107.5,⑨⑫⑪
14, 6, シアワセノカネ,---,松山弘, 4.1,,,, 7, 44.3, ⑭⑯,14, 9, ユアｰズエバｰ,---,藤懸貴, 2.0, 42,  -3, -15,18,166.9, ⑫⑫,14,15,Ｎゲンパチボロン, 63,国分優, 3.1,,,,10, 58.4, ④⑥,14,11,Ｊリッカメルド, 69,北村友, 2.0, 49,* -4, -20, 5, 14.0,⑫⑤⑤
15, 5, メモリｰジルバ,---,古川吉, 4.4,,,,15,156.7, ⑮⑭,15, 5,Ｉドリｰムパイソン, 41,柴山雄, 2.1, 41,  -6, -14, 4, 16.8, ⑯⑬,15, 8,Ｏゴｰルドルｰプ, 41,高倉稜, 4.0,,,,13,122.5, ⑭⑮,15,17,Ｆタキオンコウショウ, 71,古川吉, 2.2, 48,* -2, -24,11, 19.0,③②②
16,13,Ｍトｰアアルマダ, 19,田中博, 6.0,,,,12,108.6, ⑪⑫,16, 7,Ｅメイショウアサアケ, 48,飯田祐, 2.3, 39,  -2, -22, 5, 20.1, ⑩⑨,,,,,,,,,,,,,16,14,Ｐブｰケドロゼブルｰ, 61,柴山雄, 2.2, 53, -10,  -6,15, 52.7,⑰⑰⑰
,,,,,,,,,,,,17,14,Ｇヤマニンオリアン, 42,伊藤工, 2.6, 37,*  5, -35,16,138.8, ②②,,,,,,,,,,,,,17,16,Ｇグルｰヴィクイｰン, 71,四位洋, 2.7, 54, -12,  -4, 4, 10.8,⑱⑱⑱
,,,,,,,,,,,,18, 6,Ｋメイショウストック, 40,武幸四, 2.7, 36,  -7, -19,12, 92.7, ⑰⑯,,,,,,,,,,,,,18,13,Ｅクリアキｰ, 71,伊藤工, 2.8, 43,* -3, -30,12, 24.3,⑤③④
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:不良,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:9),,,,,,,,,,,
"単勝:160円 複勝:02=110円 04=1,060円 12=290円 枠連:660円",,,,,,,,,,,,"単勝:9,400円 複勝:16=1,460円 13=130円 02=140円 枠連:510円",,,,,,,,,,,,"単勝:270円 複勝:12=140円 05=300円 09=170円 枠連:1,970円",,,,,,,,,,,,単勝:510円 複勝:09=210円 15=190円 08=470円 枠連:870円,,,,,,,,,,,
"馬連:2,990円 ワイド:02-04=1,180円 02-12=430円 04-12=4,600円",,,,,,,,,,,,"馬連:6,840円 ワイド:13-16=3,090円 02-16=3,950円 02-13=180円",,,,,,,,,,,,"馬連:2,050円 ワイド:05-12=730円 09-12=310円 05-09=910円",,,,,,,,,,,,"馬連:1,250円 ワイド:09-15=540円 08-09=2,530円 08-15=1,510円",,,,,,,,,,,
"馬単:4,460円 3連複:9,580円 3連単:38,780円",,,,,,,,,,,,"馬単:28,590円 3連複:6,780円 3連単:112,820円",,,,,,,,,,,,"馬単:3,210円 3連複:2,730円 3連単:11,960円",,,,,,,,,,,,"馬単:2,460円 3連複:12,900円 3連単:64,420円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  芝1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1900m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃアムｰルクエスト, 62,北村友,,,,, 6, 18.6,②②②, 1, 4,Ａカポｰティスタｰ, 67,高倉稜,, 67, -16,* 15, 1,  2.0,⑧⑦⑦, 1,15,Ｈラストメッセｰジ, 67,柴山雄,, 80,   9,* 17,12, 30.7, ⑬⑭, 1,14,Ｄアキノグロｰブ, 81,藤岡康,,,,, 6, 12.5,⑨⑧⑦
 2, 3,Ｅトウカイマルシェ, 60,小林淳, 0.0,,,, 4,  5.6,⑤⑨⑦, 2,11,Ｈハギノウィッシュ, 59,四位洋, 0.2, 65,*-15,* 10, 3,  6.9,②④④, 2,10,Ｄエトピリカ, 71,松山弘, 0.0, 81,* 15,   8, 3,  5.8, ③③, 2,12,Ａハジメレンジャｰ, 84,松山弘, 0.2,,,, 7, 17.4,⑬⑮⑯
 3, 8,Ｂキングスバｰン, 62,藤岡康, 0.1,,,, 2,  3.8,①①①, 3, 5,Ｂヘリオスフィア, 66,丸田恭, 0.5, 60, -16,   9, 6, 20.5,⑦⑧⑧, 3,14,Ｂクロンドロｰリエ, 72,西村太, 0.4, 75,  10,  10, 8, 23.6, ⑪⑫, 3, 8,Ｍマイネルプリマス, 73,大野拓, 0.4,,,, 3,  5.7,⑤⑤⑤
 4, 7,Ａリｰゼントブルｰス, 63,松山弘, 0.3,,,, 1,  3.7,③④④, 4, 8,Ｃホッコｰアタック, 64,渡辺薫, 0.6, 61, -16,   9,12, 63.0,⑪⑩⑪, 4,18,Ｒディｰプデザイア, 39,四位洋, 0.4, 76,  12,   8, 1,  4.0, ⑨⑩, 4, 9,Ｃアルバトン, 83,四位洋, 0.4,,,, 1,  2.6,⑮⑫⑫
 5,12,Ｆシｰフェリックス, 59,太宰啓, 0.3,,,, 5,  9.6,⑥⑤⑤, 5,14,Ｊアｰルデュラン, 55,伊藤工, 0.8, 55,*-14,   1, 5, 14.3,④③③, 5, 6,Ｃボンジュｰルメロン, 71,村田一, 0.4, 73,   9,* 12, 4,  8.7, ⑭⑬, 5, 4,Ｂテルミｰホワイ, 83,西田雄, 0.7,,,, 4,  7.4,④④④
 6,11,Ｈブリングスザサン, 55,田中博, 0.8,,,, 3,  4.9,⑮⑦⑥, 6,15,Ｉエムエムロゼオ, 59,杉原誠, 0.9, 58, -17,   8,13, 66.8,⑬⑭⑭, 6,17,Ｇラヴァｰズキッス, 68,川須栄, 0.5, 72,   7,* 13, 6, 15.5, ⑰⑯, 6, 2,Ｅエクセルフラッグ, 81,北村友, 0.7,,,, 8, 25.8,⑦⑦⑥
 7, 1,Ｄルスナイスナイパｰ, 60,飯田祐, 1.4,,,,11, 59.8,⑦⑧⑧, 7, 1,Ｄマンノプロジェクト, 61,川須栄, 1.0, 56, -16,   4,11, 56.6,⑨⑨⑩, 7,16,Ｌオメガロｰズマリｰ, 62,宮崎北, 0.7, 70,   5,* 13,15, 70.9, ⑯⑱, 7, 6,Ｈセトノハリケｰン, 78,古川吉, 0.8,,,,10, 39.7,⑭⑭⑭
 8, 2,Ｉキタノハヤブサ, 51,杉原誠, 1.6,,,,14,174.7,⑨⑫⑨, 8,10, トｰアルイ,---,藤懸貴, 1.2, 55, -18,   5,17,339.6,⑯⑮⑮, 8, 8,Ｋマイネクイｰン, 63,高倉稜, 0.9, 69,  13,  -1,11, 28.8, ⑦⑥, 8,11,Ｉパルクエスト, 77,畑端省, 1.1,,,,14,102.0,②③③
 9,16,Ｇマキシムギャラント, 57,高倉稜, 1.7,,,, 9, 35.2,⑫⑩⑪, 9,12,Ｆドラケンスバｰグ, 60,藤岡康, 1.2, 50,*-13,  -6, 2,  4.9,③②②, 9,13,Ｊハッピｰトゥデイ, 64,北村友, 0.9, 69,   6,  11,16, 76.9, ⑱⑰, 9,16,Ｐトリノ, 70,高倉稜, 1.3,,,,11, 53.1,⑩⑨⑨
10, 9,Ｏケントリュｰズ, -9,菱田裕, 2.1,,,,12, 77.7,⑩⑬⑬,10,17,Ｌウォｰレンバロｰズ, 49,鮫島良, 1.3, 51, -16,  -2,14,173.7,⑩⑪⑨,10, 4,Ｅインダクティ, 69,丸田恭, 1.0, 70,  11,   3, 5,  9.3, ⑫⑪,10, 7,Ｌミウラリチャｰド, 76,西村太, 1.3,,,,16,216.8,⑯⑯⑮
11, 6,Ｎクロクモ, 40,西田雄, 2.6,,,, 7, 24.0,⑪③③,11, 7,Ｅサカジロスイセイ, 61,国分優, 1.5, 57, -21,   9, 9, 38.1,⑱⑱⑱,11,12,Ｍマイネロｰレライ, 60,丹内祐, 1.1, 66,   8,   4, 7, 16.7, ⑮⑮,11, 1,Ｊホワイトショウフク, 77,宮崎北, 1.4,,,,15,115.9,⑫⑬⑬
12,15,Ｌミライヘノカゼ, 44,平野優, 2.7,,,,10, 48.2,⑧⑪⑫,12,18,Ｍヤマニンブリス, 48,松山弘, 1.7, 44,*-14, -10, 7, 30.9,⑥⑤⑥,12, 9,Ａウインクリアビュｰ, 76,松田大, 1.1, 67,  13,  -3, 2,  4.5, ⑧⑦,12,10,Ｎメイショウイッシン, 72,国分優, 1.5,,,, 2,  5.7,①①②
13,13,Ｊマッドパイ, 49,宮崎北, 2.8,,,, 8, 25.4,④⑥⑩,13, 3,Ｇマイネルマイティ, 60,丹内祐, 1.7, 48, -17,  -3, 8, 33.3,⑫⑫⑬,13, 5,Ｆクィンビｰクイｰン, 69,小林淳, 1.2, 66,  12,  -2, 9, 25.5, ⑩⑨,13, 3,Ｋエルヘイロｰ, 76,平野優, 1.6,,,, 9, 36.3,⑧⑩⑩
14, 5,Ｋシュタｰケン, 45,菅原隆, 3.8,,,,15,294.9,⑬⑭⑭,14,16,Ｐヒデノリｰド, 45,武幸四, 1.7, 46, -17,  -5,10, 40.8,⑭⑬⑫,14, 3,Ｎアグネスクロｰバｰ, 60,中井裕, 2.2, 55,  13, -17,13, 37.5, ⑥⑤,14, 5,Ｇゴｰアップドラゴン, 78,嘉藤貴, 2.2,,,,12, 54.8,⑪⑪⑪
15,14,Ｍポシドニア, 41,横山和, 3.9,,,,16,354.2,⑭⑯⑯,15, 9,Ｎスズカアｰサｰ, 47,松田大, 2.2, 37,*-11, -22, 4, 10.8,①①①,15,11,Ｏレッドアンジェリカ, 57,国分優, 2.9, 48,  13, -25,10, 28.3, ④⑧,15,15,Ｆソルモンタｰレ, 79,小林慎, 2.3,,,, 5, 12.3,③②①
16, 4,Ｐエヴァンバロｰズ,-53,鮫島良, 4.8,,,,13, 87.0,⑯⑮⑮,16, 6,Ｑアルプス, 36,古川吉, 2.6, 39, -20, -10,18,497.5,⑮⑯⑯,16, 7,Ｉシステｰナブルｰ, 66,太宰啓, 2.9, 49,* 17, -29,14, 45.8, ②②,16,13,Ｏマイネルガネｰシャ, 71,丹内祐, 2.6,,,,13, 60.2,⑥⑥⑧
,,,,,,,,,,,,17, 2,Ｋナンゴクユニバｰス, 53,北村友, 2.8, 39, -19, -11,15,182.1,⑰⑰⑰,17, 2,Ｐショウナンサｰジュ, 56,平野優, 3.1, 45,* 14, -29,17,195.6, ⑤④,,,,,,,,,,,,
,,,,,,,,,,,,18,13,Ｏツインピｰクス, 46,宮崎北, 2.9, 31,*-14, -26,16,309.3,⑤⑥⑤,18, 1,Ｑコｰリンハッピｰ, 55,西田雄, 3.2, 45,* 16, -34,18,220.5, ①①,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:不良,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,
"単勝:1,860円 複勝:10=500円 03=220円 08=200円 枠連:4,350円",,,,,,,,,,,,単勝:200円 複勝:04=130円 11=200円 05=330円 枠連:220円,,,,,,,,,,,,"単勝:3,070円 複勝:15=990円 10=230円 14=530円 枠連:1,100円",,,,,,,,,,,,"単勝:1,250円 複勝:14=350円 12=460円 08=230円 枠連:8,420円",,,,,,,,,,,
"馬連:4,950円 ワイド:03-10=1,790円 08-10=1,860円 03-08=560円",,,,,,,,,,,,"馬連:770円 ワイド:04-11=310円 04-05=580円 05-11=1,180円",,,,,,,,,,,,"馬連:10,690円 ワイド:10-15=3,010円 14-15=6,610円 10-14=1,310円",,,,,,,,,,,,"馬連:14,090円 ワイド:12-14=3,020円 08-14=1,150円 08-12=2,270円",,,,,,,,,,,
"馬単:12,300円 3連複:7,350円 3連単:72,640円",,,,,,,,,,,,"馬単:1,180円 3連複:3,720円 3連単:13,020円",,,,,,,,,,,,"馬単:23,500円 3連複:42,240円 3連単:288,080円",,,,,,,,,,,,"馬単:26,850円 3連複:25,470円 3連単:203,780円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,刈谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａバルスピュｰル, 66,大野拓,,,,, 5,  8.7, ⑨⑧, 1, 5,Ｄレジアｰネ, 70,四位洋,,,,, 2,  3.1,③②②, 1,10,Ｃレオネプチュｰン, 71,村田一,,,,, 2,  4.1,①①①, 1,13,Ｆイトククリ, 70,大野拓,, 73,  -1,   5, 4,  8.4, ⑤⑤
 2,15,Ｂパスパルトゥｰ, 64,北村友, 0.0,,,, 1,  2.1, ①①, 2,10,Ｂオｰヴァｰジョイド, 74,丸田恭, 0.6,,,, 1,  2.6,⑥⑥⑤, 2, 8,Ｅシルクプラズマ, 69,藤懸貴, 0.2,,,, 4, 12.0,⑥⑤⑤, 2,15,Ｎスワット, 64,古川吉, 0.1, 73,  -8,* 11,15,108.2, ⑬⑫
 3, 4,Ｆヒシアｰト, 52,柴山雄, 0.8,,,, 4,  8.3, ⑬⑫, 3, 7,Ａマイネルラピド, 76,川須栄, 0.7,,,, 3,  5.0,⑤④④, 3,11,Ａナムラグｰテン, 81,古川吉, 0.4,,,, 1,  2.0,⑪⑧⑥, 3,11,Ａクリｰンエコロジｰ, 77,荻野琢, 0.3, 69,*  2,  -2, 2,  3.6, ③③
 4,11,Ｃクニコチャン, 58,宮崎北, 0.9,,,, 3,  6.9, ②②, 4, 2,Ｇエバｰオンワｰド, 67,田中博, 0.9,,,, 5, 24.2,①①①, 4, 1,Ｆコスモカンタｰビレ, 69,丹内祐, 1.0,,,, 3,  7.5,⑨⑨⑧, 4, 5,Ｂフレデフォｰト, 75,北村友, 0.5, 67,  -3,   1, 1,  2.9, ⑧⑦
 5, 9,Ｋウエスタンルｰチェ, 45,高倉稜, 1.2,,,,16,247.6, ⑧⑦, 5, 6,Ｈマヤリッシュ, 57,渡辺薫, 1.0,,,, 9, 61.9,⑧⑦⑥, 5, 2,Ｌシンワハｰツクライ, 51,高倉稜, 1.0,,,,10, 82.2,⑫⑫⑪, 5, 1,Ｅマックスストレイン, 71,宮崎北, 0.5, 68, -12,* 10, 8, 21.7, ⑯⑮
 6, 2,Ｌチｰフザムｰン, 42,伊藤工, 1.2,,,,11, 56.8, ⑫⑩, 6, 1,Ｊシルクエスティｰム, 54,西田雄, 1.2,,,,10, 75.5,⑦⑩⑧, 6, 6,Ｂナンヨｰスラッガｰ, 72,菱田裕, 1.2,,,, 6, 14.2,⑦⑥⑦, 6,18,Ｏケイアイアテナ, 63,的場勇, 0.5, 68,  -3,   2,16,195.4, ⑦⑧
 7, 3,Ｅセツゲツフウカ, 53,古川吉, 1.4,,,, 2,  6.9, ⑦⑥, 7, 4,Ｃドリｰムシガｰ, 73,北村友, 1.3,,,, 4,  5.3,④⑧⑦, 7,12,Ｇケイアイカミカゼ, 68,大野拓, 1.2,,,, 7, 14.2,②②②, 7, 7,Ｈセルリアンレッド, 70,渡辺薫, 0.6, 65,  -2,  -1, 6, 16.1, ⑥⑥
 8, 6,Ｇルチルマニッシュ, 50,西村太, 1.6,,,, 6, 16.8, ⑮⑭, 8, 9,Ｆエムオｰクラウン, 67,大野拓, 1.6,,,, 7, 45.6,⑩③③, 8, 4,Ｉダｰリブ, 67,嘉藤貴, 1.3,,,, 8, 32.4,③④③, 8,17,Ｄアイビｰフォｰルド, 72,松田大, 0.7, 64,  -6,   1, 3,  7.0, ⑪⑩
 9,14,Ｈフリポンヌ, 49,平野優, 1.7,,,,14,142.9, ⑥⑨, 9, 8,Ｅダンスインザスカイ, 69,菱田裕, 1.7,,,, 8, 46.8,⑨⑨⑨, 9, 9,Ｈホクシン, 68,伊藤工, 1.7,,,, 9, 75.1,⑩⑩⑩, 9, 2,Ｉロジフェロｰズ, 69,村田一, 0.8, 62,  -7,   1, 5, 13.5, ⑩⑪
10,12,Ｍジェネカｰ, 35,川須栄, 1.7,,,,10, 46.2, ⑤⑤,10, 3,Ｉスパｰブクィｰン, 54,宮崎北, 6.0,,,, 6, 25.5,②⑤⑩,10, 5,Ｄパｰフェクトバイオ, 70,国分優, 1.7,,,, 5, 13.7,④③④,10, 8,Ｇサンマルヘイロｰ, 70,国分優, 0.8, 63,   1,  -7,11, 44.3, ④④
11,13, メイショウイザヨイ,---,武幸四, 1.8,,,,13, 91.8, ③③,,,,,,,,,,,,,11, 7,Ｊマンマルコ, 66,西田雄, 1.8,,,,12,203.6,⑧⑦⑨,11,12,Ｑシルダリア, 60,太宰啓, 1.0, 60,  -4,  -4,13, 80.2, ⑨⑨
12, 5,Ｊマスタｰプラネッツ, 46,西田雄, 2.6,,,, 7, 17.9, ⑩⑪,,,,,,,,,,,,,12, 3,Ｋシルクジェネラｰレ, 61,水口優, 2.8,,,,11, 90.3,⑤⑪⑫,12,14,Ｊネオザミスティック, 68,上村洋, 1.0, 60, -11,   2, 9, 34.7, ⑮⑭
13, 7,Ｎサンマルキュｰト, 24,水口優, 2.8,,,,15,185.4, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｌサニｰエリザベス, 65,丸田恭, 1.1, 60, -13,   5,12, 72.9, ⑰⑯
14,10,Ｄステｰジマキシマム, 58,黛弘人, 3.5,,,, 9, 35.9, ④④,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｍヘイハチプリンセス, 65,柴山雄, 1.2, 58, -11,   0,14, 90.5, ⑫⑬
15, 8,Ｉヤマノクリスタル, 48,四位洋, 4.0,,,, 8, 31.9, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｐザルグｰン, 62,松山弘, 1.3, 57, -15,   3,10, 38.7, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｃヤマニングルノイユ, 72,伊藤工, 1.6, 52,*  7, -23, 7, 16.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｋオｰルエモｰション, 66,杉原誠, 2.0, 49, -14,  -6,18,324.4, ⑭⑰
