12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 1月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:10,790円 3連複:1,710円 3連単:26,090円",,,,,,,,,,,,"馬単:1,230円 3連複:1,840円 3連単:5,620円",,,,,,,,,,,,"馬単:7,270円 3連複:21,570円 3連単:86,430円",,,,,,,,,,,,"馬単:2,840円 3連複:1,550円 3連単:10,090円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,中山新春ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｼﾞｬﾆｭｱﾘｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｏレッドティムｰル, 26,蛯名正,, 67,* -3,*  9, 1,  2.9,⑤④③, 1,10,Ｆダｰクマレイン, 59,田辺裕,, 62,  -3,*  4, 2,  5.3,⑧⑪⑨, 1,11, トｰセンオｰパス,,山本康,,,,, 3,  6.5,⑦⑤④, 1, 5,Ａティアップワイルド, 93,石橋脩,, 87,  13,* 18, 1,  2.3, ⑤⑤
 2, 5,Ｄセイカフォルトゥナ, 54,石橋脩, 0.6, 63,* -2,   3, 6, 17.4,①①①, 2, 8,Ｈアポロドｰロス, 57,柴田善, 0.0, 62,   0,   0, 8, 13.1,④⑧⑥, 2, 7, サトノバロン,,横山義,214.7,,,, 1,  1.8,③②②, 2, 6,Ｅゼンノベラｰノ, 89,北村宏, 0.1, 85,  12,  17, 3,  7.0, ④④
 3, 9,Ｈベルモントピｰス, 49,石神深, 1.1, 59,* -2,  -1, 9,104.5,②②②, 3, 2,Ｃキンラン, 63,吉田豊, 0.2, 57,  -1,  -1, 6,  8.2,⑦⑦⑦, 3, 2, ハクサン,,石神深,215.5,,,, 4, 13.7,①①①, 3,14,Ｂレディルｰジュ, 91,田辺裕, 0.3, 85,  12,  17, 2,  6.4, ⑥⑥
 4,13,Ａフジキラメキ, 63,北村宏, 1.2, 60,  -5,*  4, 2,  3.8,⑫⑩⑨, 4, 1,Ｇダディｰズクｰル, 57,蛯名正, 0.2, 62,  -7,*  9, 7, 12.9,⑯⑯⑭, 4,12, スタｰルｰセント,,平沢健,215.6,,,,10, 81.4,④③③, 4,16,Ｃクリスタルボｰイ, 91,蛯名正, 0.4, 83,* 14,  14, 5, 10.6, ③③
 5,10,Ｃシｰズザデイ, 55,田辺裕, 1.4, 60,  -6,*  4, 4,  7.4,⑪⑪⑤, 5,11,Ｂルミナススカイ, 65,田中勝, 0.2, 58,   0,  -3, 3,  5.7,⑩⑨⑩, 5,13, クリノテンペスタ,,金子光,216.6,,,,11,223.7,⑥⑥⑤, 5, 4,Ｋアｰリｰロブスト, 86,中舘英, 0.5, 82,* 16,  11,10, 34.1, ①①
 6, 1,Ｅリワｰドパルファン, 53,柴田善, 1.6, 59,* -3,  -3, 5, 12.1,④③④, 6,16,Ｅキングズクエスト, 61,嶋田純, 0.3, 57,   2,  -7,10, 65.6,⑥⑤③, 6, 9, エｰシンマイトップ,,西谷誠,216.8,,,, 2,  4.3,②④⑥, 6, 9,Ｍブライトアイザック, 85,柴田善, 0.7, 82,  12,  13, 9, 26.8, ⑦⑦
 7, 7,Ｆビックタイム, 51,大野拓, 2.4, 52,  -6,  -3,11,141.1,⑭⑫⑭, 7, 6,Ｄマイネルスパイス, 62,丹内祐, 0.3, 61,  -3,*  4, 1,  3.5,⑨⑬⑬, 7, 1, トップモンジュｰ,,高田潤,217.6,,,, 5, 15.6,⑧⑨⑨, 7,11,Ｈサウンドアクシス, 87,田中勝, 0.7, 79,   3,* 21, 7, 17.4, ⑯⑯
 8,12,Ｂコスモリボン, 62,柴田大, 2.5, 51,  -4,  -9, 3,  4.3,⑦⑦⑧, 8,12,Ｊジャッドマックス, 56,津村明, 0.5, 52,*  5, -14, 9, 61.3,①①①, 8, 6, セイエイ,,高野和,217.6,,,,13,297.0,⑪⑩⑧, 8, 7,Ｄエベレストオｰ, 90,三浦皇, 0.8, 80,   5,* 18, 4,  9.5, ⑬⑬
