12年 7月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9, 8,Ｉウインプライズ, 33,石橋脩, 2.0, 40,   7, -45, 6, 25.1, ⑤⑥, 9,14, ノｰブルエｰス,,小野寺,189.8,,,,10,117.3,⑬⑬⑫, 9, 1,Ａキャニオンキラｰ, 58,内田博, 1.1, 43,  -6, -18, 1,  2.7,   , 9, 6,Ｈハリウッドスタｰ, 76,吉田豊, 1.5, 67,   0,  11, 7, 17.7,⑩⑥⑤
10,10,Ｈマイネチリペッパｰ, 33,柴田大, 2.1, 39,   8, -48, 8, 41.0, ④⑤,10, 3, シルクファルシオン,,草野太,190.9,,,, 6, 14.1,⑪⑩⑩,10,15,Ｋニチドウマリリン, 36,北村宏, 1.3, 38, -10, -18,11, 63.5,   ,10, 9,Ｆウインク, 77,大野拓, 1.6, 70,  -3,* 18, 8, 36.7,⑮⑮⑭
11, 6,Ｌザショットアロｰ, 21,木幡初, 2.2, 35,   7, -48,12,128.4, ⑦⑧,11, 2, ティアップゼウス,,鈴木慶,190.9,,,,12,156.3,⑧⑪⑪,11,11,Ｉレッドグロリア, 47,嶋田純, 1.3, 38,  -9, -20,10, 30.6,   ,11, 7,Ｋエフティファラオ, 73,木幡初, 1.9, 68,  -2,  14,10, 75.9,⑭⑭⑮
12, 3,Ｊディアグリスタｰ, 32,松岡正, 2.5, 37,* 10, -58, 7, 35.7, ②②,12,12, コスモノｰハｰム,,池崎祐,191.9,,,, 9, 61.0,②⑧⑨,12, 9,Ｃエムエムベレッタ, 52,武士沢, 1.3, 42, -39,*  2,17,187.6,   ,12,12,Ｌユウタｰウェｰヴ, 72,大庭和, 1.9, 67,   0,   9,11, 99.8,⑥⑨⑨
,,,,,,,,,,,,13, 9, エｰスオブタッチ,,蓑島靖,191.9,,,,13,203.3,⑥⑫⑬,13,16,Ｎバックダンサｰ, 28,田辺裕, 1.6, 35, -17, -17,15,158.4,   ,13, 4,Ｏヒロノキョウシュウ, 70,西田雄, 2.4, 62,  -1,   6,15,257.6,⑨⑪⑩
,,,,,,,,,,,,14,11, ブリタニアブルｰ,,江田勇,203.9,,,,14,296.3,⑭⑭⑭,14,13,Ｆドントブリンク, 49,松岡正, 1.8, 35,*  2, -34, 2,  4.8,   ,14, 5,Ｅユウタｰグロｰバル, 77,江田照, 2.5, 60,   0,   5, 6, 17.6,⑦⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｊハワイアンミント, 43,西村太, 1.8, 31,  -9, -27,13,117.1,   ,15,15,Ｍスマｰトイｰグル, 71,村田一, 3.7, 54,  -1,  -3,14,188.1,⑫⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,16, 3, ミュルティス,---,大庭和, 1.8, 33, -35,  -8,18,225.2,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 8, ピｰスチェイサｰ,---,蛯名正, 2.0, 27, -11, -28, 3,  5.2,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｍコンパルソリｰ, 32,石橋脩, 2.2, 28,* -1, -38,12, 68.9,   ,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,
単勝:590円 複勝:04=160円 05=110円 01=240円 枠連:440円,,,,,,,,,,,,単勝:570円 複勝:06=160円 05=140円 08=120円 枠連:870円,,,,,,,,,,,,"単勝:16,490円 複勝:05=5,000円 04=970円 02=420円 枠連:12,050円",,,,,,,,,,,,"単勝:640円 複勝:14=220円 02=150円 08=610円 枠連:1,160円",,,,,,,,,,,
馬連:410円 ワイド:04-05=210円 01-04=780円 01-05=370円,,,,,,,,,,,,馬連:760円 ワイド:05-06=260円 06-08=300円 05-08=220円,,,,,,,,,,,,"馬連:120,830円 ワイド:04-05=27,510円 02-05=16,410円 02-04=5,260円",,,,,,,,,,,,"馬連:1,080円 ワイド:02-14=520円 08-14=2,140円 02-08=1,860円",,,,,,,,,,,
"馬単:1,160円 3連複:1,190円 3連単:6,420円",,,,,,,,,,,,"馬単:1,710円 3連複:670円 3連単:4,800円",,,,,,,,,,,,"馬単:214,910円 3連複:330,380円 3連単:2,767,770円",,,,,,,,,,,,"馬単:2,850円 3連複:9,050円 3連単:46,330円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,日本海ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂバｰバラスアゲン, 62,岩部純,, 64,* -2,*  3, 4,  8.2, ③③, 1, 8, メイショウオオゼキ,---,木幡初,, 43,*-17,* -9, 1,  3.8, ③③, 1, 4,Ｃナムラジュエル, 75,柴田善,, 81,*  8,* 10, 1,  3.7, ①①, 1, 4,Ｄラッキｰバニラ, 77,中舘英,, 73,* 10,   6, 2,  4.2,①①①
 2,15,Ｃオｰブライツ, 57,蛯名正, 0.0, 64,* -2,   2, 1,  2.8, ②②, 2, 9, ロｰドシュプリｰム,---,田辺裕, 0.2, 43, -20,* -8, 6,  8.5, ⑧⑦, 2, 7,Ｄアルデュｰル, 73,内田博, 0.7, 73,*  5,   7, 2,  4.4, ③③, 2, 2,Ｂメイショウジンム, 84,内田博, 0.1, 76,   5,* 18, 3,  5.0,⑧⑧⑧
 3, 8,Ａラファダリ, 67,北村宏, 0.3, 60,  -7,*  4, 2,  3.5, ⑥⑥, 3, 1, サｰストンニュｰス,---,蛯名正, 0.4, 39,*-15, -16, 4,  5.7, ①①, 3,13,Ｈデプロマトウショウ, 68,吉田豊, 1.4, 67,  -4,*  8, 6, 13.0, ⑩⑩, 3, 3,Ｃタガノキャプテン, 83,石橋脩, 0.5, 71,   6,   9, 1,  3.9,⑨⑦⑥
 4, 6,Ｆスポｰツコｰト, 51,田辺裕, 0.6, 57, -10,*  5, 7, 20.7, ⑦⑦, 4, 5, ピュアソルジャｰ,---,吉田豊, 0.6, 37, -19, -14, 3,  5.4, ⑥⑥, 4,12,Ｏトｰセンプリモ, 62,杉原誠, 1.4, 67,   1,   4,10, 27.7, ⑥⑦, 4, 9,Ｆアキノカウンタｰ, 75,吉田豊, 0.5, 68,   7,   5, 8, 39.5,③③④
 5, 9,Ｄダｰクシｰカｰ, 54,吉田豊, 0.7, 56,  -9,*  3, 3,  8.2, ⑧⑧, 5, 6, オリジナルスマイル,---,内田博, 0.7, 37, -21, -12, 5,  8.3, ⑩⑩, 5, 5,Ｊスノｰクラフト, 66,蛯名正, 1.6, 66,   3,   0, 3,  6.2, ⑤⑤, 5, 8,Ｈコスモラピュタ, 70,柴田大, 0.5, 69,*  9,   2, 4,  5.3,②②②
 6,11,Ｌエトランゼシチｰ, 41,西田雄, 1.5, 51,*  0, -11,10, 28.6, ①①, 6,12, フレックスハｰト,---,田中勝, 0.7, 36, -18, -17, 8, 26.7, ⑦⑧, 6, 1,Ｆデアリングプライド, 70,中舘英, 1.6, 65,   4,  -1, 8, 16.8, ④④, 6, 6,Ｇアサティスボｰイ, 71,北村宏, 0.7, 66,   7,   2, 6, 11.5,⑥④③
 7, 2,Ｇトウショウジュピタ, 50,石橋脩, 2.0, 47, -20,   3, 5, 10.5, ⑭⑭, 7,11, レッドマニッシュ,---,北村宏, 0.9, 36, -22, -12, 2,  4.1, ⑪⑪, 7, 8,Ａデンファレ, 78,北村宏, 1.6, 65,   0,   3, 5, 10.1, ⑦⑥, 7, 7,Ｅセタガヤフラッグ, 76,大庭和, 0.7, 67,   6,   6, 7, 13.4,⑤⑥⑤
 8, 1,Ｋアイムファイン, 43,田中博, 2.2, 43, -17,  -3,13,140.8, ⑫⑫, 8, 4, クリノヒマラヤオｰ,---,嶋田純, 1.1, 31, -21, -18, 7, 18.2, ⑨⑨, 8,11,Ｌビｰキュｰト, 64,田中勝, 1.7, 64,  -1,   3, 9, 26.4, ⑨⑧, 8, 5,Ａウォｰクラウン, 85,松岡正, 1.7, 59,   4,  -4, 5,  5.9,⑦⑨⑨
 9, 7,Ｅヴィグラスファイン, 52,武士沢, 2.2, 44, -13,  -7, 6, 16.1, ⑪⑪, 9,10, コスモギガデイン,---,大野拓, 1.9, 21, -18, -36,10, 64.9, ⑤⑤, 9,14,Ｋアユミチャン, 65,大庭和, 1.8, 65,  -8,* 10,11, 36.0, ⑭⑮, 9, 1,Ｉベルウッドロｰツェ, 55,鈴来直, 1.9, 55,   6, -11, 9, 56.3,④⑤⑦
10, 5,Ｎサイファｰバトル, 23,松岡正, 2.2, 43,  -5, -14, 9, 27.1, ④④,10, 3, ステラビアンカ,---,大庭和, 2.2, 20, -26, -25,12,123.0, ⑫⑫,10, 9,Ｍトｰセンスタッフ, 64,木幡初, 2.0, 62,  -4,   3,13, 46.1, ⑪⑪,,,,,,,,,,,,
11, 4,Ｉスカッシュアゲン, 48,西村太, 2.3, 41, -12,  -9,15,191.8, ⑩⑩,11, 2, スキルアップ,---,石橋脩, 2.5, 15, -18, -44, 9, 32.6, ④④,11, 3,Ｎミラクルムｰン, 64,嶋田純, 2.1, 60,  -8,   7,12, 43.4, ⑮⑭,,,,,,,,,,,,
12,12,Ｈヒヤマサンデｰ, 48,木幡初, 2.5, 41,  -6, -16,11, 58.8, ⑤⑤,12, 7, フリムカナイデ,---,中舘英, 4.8,-22,*-17, -81,11, 93.1, ②②,12,10,Ｇスマイルヴィジット, 68,西村太, 2.2, 58,  -5,   2,14, 48.6, ⑫⑫,,,,,,,,,,,,
13,10,Ｊマイスピリット, 47,嶋田純, 2.5, 40, -10, -12, 8, 22.1, ⑨⑨,,,,,,,,,,,,,13, 2,Ｂラベンダｰカラｰ, 76,松岡正, 2.2, 61,  -6,   5, 4,  8.2, ⑬⑬,,,,,,,,,,,,
14,13, チック,---,杉原誠, 2.6, 39, -26,   1,12, 77.8, ⑮⑮,,,,,,,,,,,,,14,15,Ｉレッツマンボウ, 66,嘉藤貴, 2.6, 56,   0,  -6,15, 81.4, ⑧⑨,,,,,,,,,,,,
15, 3,Ｍレディシェｰバｰ, 34,柴田大, 3.5, 33, -18, -12,14,170.7, ⑬⑬,,,,,,,,,,,,,15, 6,Ｅイケトップクイｰン, 72,大野拓, 4.2, 42,*  6, -25, 7, 14.7, ②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,
単勝:820円 複勝:14=190円 15=130円 08=130円 枠連:860円,,,,,,,,,,,,"単勝:380円 複勝:08=150円 09=240円 01=190円 枠連:1,460円",,,,,,,,,,,,単勝:370円 複勝:04=160円 07=180円 13=390円 枠連:410円,,,,,,,,,,,,"単勝:420円 複勝:04=160円 02=160円 03=150円 枠連:1,710円",,,,,,,,,,,
馬連:870円 ワイド:14-15=350円 08-14=420円 08-15=230円,,,,,,,,,,,,"馬連:1,580円 ワイド:08-09=610円 01-08=420円 01-09=870円",,,,,,,,,,,,"馬連:830円 ワイド:04-07=310円 04-13=1,100円 07-13=1,590円",,,,,,,,,,,,"馬連:1,640円 ワイド:02-04=490円 03-04=280円 02-03=350円",,,,,,,,,,,
"馬単:2,240円 3連複:1,120円 3連単:8,100円",,,,,,,,,,,,"馬単:2,620円 3連複:2,960円 3連単:14,680円",,,,,,,,,,,,"馬単:1,580円 3連複:3,830円 3連単:15,770円",,,,,,,,,,,,"馬単:3,320円 3連複:1,630円 3連単:11,320円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 9R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,村上特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃコスモメルハバ, 67,柴田大,, 72,* 10,  -1, 1,  3.5,④④④, 1, 4,Ｊスマイルオブライフ, 45,中谷雄,, 69,*  8,  -5, 7, 18.1, ①①, 1, 3,Ａヒラボクインパクト, 78,北村宏,, 77,   7,   1, 1,  1.8, ③③, 1, 4,Ｂコスモアクセス, 73,柴田大,, 78,*  2,   8, 4,  6.7, ③③
 2, 7,Ｂマイネルソウル, 68,蛯名正, 0.2, 72,* 10,  -3, 3,  4.3,②③③, 2, 3,Ｃヒカルランナｰ, 57,石神深, 0.1, 62,  -3,*  5, 2,  4.4, ⑨⑨, 2, 5,Ｆドラゴンライズ, 71,蛯名正, 0.2, 76,   6,*  3, 4, 13.5, ⑦⑦, 2, 1,Ｃサトノディライト, 73,田辺裕, 0.2, 75,  -1,   8, 2,  4.0, ⑥④
 3,12,Ａタイセイロｰマン, 69,内田博, 0.3, 69,* 10,  -6, 2,  3.5,③②②, 3,13,Ｈキズナダクリチャン, 52,蛯名正, 0.5, 63,*  6,  -6, 3,  7.0, ③③, 3, 4,Ｂマイネルグラｰド, 74,大野拓, 0.3, 74,   6,   0, 5, 15.4, ⑤⑥, 3,16,Ｄアイアムネフライト, 72,蛯名正, 0.4, 72,   1,   4, 5,  7.7, ④⑤
 4, 9,Ｈロトスカイハイ, 64,大野拓, 0.5, 71,   3,*  8, 6, 16.3,⑨⑨⑧, 4, 9,Ａホクレア, 67,江田照, 0.7, 60,*  7,  -9, 1,  3.0, ②②, 4, 9,Ｄサトノフロｰラ, 74,内田博, 0.4, 74,   8,  -3, 2,  3.2, ⑥⑤, 4, 6,Ｈトランドネｰジュ, 67,松岡正, 0.4, 73,*  6,  -1, 1,  3.9, ①①
 5, 6,Ｋゴシェナイト, 55,村田一, 0.7, 68,* 11, -10,11, 58.3,①①①, 5,14,Ｅタイタンフォンテン, 55,柴田大, 0.7, 59,   3,  -6,10, 51.5, ⑤⑤, 5, 1,Ｅツインエンジェルズ, 72,田辺裕, 0.5, 73,   3,*  3, 3, 13.3, ⑨⑧, 5, 2,Ｆエｰティｰランボｰ, 71,村田一, 0.5, 71,  -7,* 11, 9, 33.3, ⑩⑥
 6,13,Ｆホクレアポパイ, 65,吉田豊, 1.2, 68,   2,*  6, 4, 12.5,⑬⑪⑪, 6, 6,Ｂエリモブリｰズ, 60,内田博, 0.9, 55,  -6,*  2, 6,  9.2, ⑫⑪, 6,11,Ｊシｰクレットベｰス, 68,松岡正, 0.5, 75,   3,*  3, 7, 16.2, ⑧⑨, 6, 3,Ｊマウントビスティｰ, 65,江田照, 0.6, 70,  -6,   8, 7, 22.4, ⑪⑪
 7,14,Ｇステップアヘッド, 65,西村太, 1.3, 62,   7,  -7, 5, 14.0,⑧⑦⑦, 7, 8,Ｌモエレプレジデント, 40,嶋田純, 1.2, 51,  -8,*  1, 9, 35.7, ⑬⑬, 7, 6,Ｃカシノスタｰライト, 74,二本柳, 0.8, 66,* 11, -18, 6, 16.0, ①①, 7,15,Ａシャドウエミネンス, 73,内田博, 0.8, 69, -10,* 10, 3,  5.8, ⑯⑯
 8, 1,Ｅガニオン, 66,木幡初, 1.7, 64,   2,   1, 9, 20.8,⑪⑩⑩, 8,11,Ｉジャイロプレｰン, 51,田辺裕, 1.2, 54,   4, -11,11, 54.4, ④④, 8, 7,Ｉマイティｰジュニア, 69,田中博, 0.9, 68,  -1,*  4,10,132.8, ⑪⑪, 8,10,Ｌアルベルトバロｰズ, 63,田中勝, 1.0, 65,  -7,   4, 6, 17.0, ⑬⑫
 9, 2,Ｌペイトリッツデイ, 51,田中勝, 2.3, 58,   0,  -1,10, 26.1,⑫⑬⑫, 9,10,Ｄホクテンリンダ, 57,西村太, 1.4, 50,   0,  -9,12, 82.8, ⑧⑧, 9, 2,Ｇトｰセンフリｰジア, 70,武士沢, 0.9, 66,   0,   1, 9,113.8, ⑩⑩, 9, 7,Ｉブラックオｰキッド, 66,杉原誠, 1.0, 64,  -3,   0,11, 39.1, ⑦⑦
10, 4,Ｄクレバｰエンペラｰ, 67,田辺裕, 2.6, 54,   8, -20, 8, 19.7,⑦⑥⑥,10, 7,Ｋデジタルウォッチ, 43,中舘英, 1.4, 49,  -4,  -6, 8, 20.9, ⑩⑩,10,10,Ｋミッキｰレモン, 65,石橋脩, 1.8, 57,   7, -26, 8, 37.0, ②②,10,14,Ｅマシラ, 72,吉田豊, 1.1, 65, -14,*  9, 8, 28.5, ⑰⑰
11, 3,Ｊダイアン, 56,武士沢, 3.5, 53,   6, -21,13,133.2,⑥⑧⑨,11, 1,Ｆジェイフォｰス, 55,大庭和, 1.5, 51,   0, -10, 5,  9.2, ⑦⑦,11, 8,Ｈスイｰトゲイナｰ, 69,柴田善, 1.9, 55,   7, -26,11,168.9, ④④,11,12,Ｇマロンクン, 69,西田雄, 1.4, 59,  -9,   0,10, 34.0, ⑭⑮
12,10,Ｍスノｰスケイプ, 46,鈴来直, 3.6, 51,  -2,  -7,12, 88.1,⑭⑭⑭,12, 5,Ｇクリｰルソレイユ, 53,吉田豊, 1.9, 45,  -6,  -8, 4,  7.1, ⑪⑫,,,,,,,,,,,,,12,11,Ｏトキメキセイコｰ, 57,大野拓, 1.4, 59,*  3, -12,17,167.9, ②②
13, 8,Ｉキネオタイガｰ, 63,江田照, 5.0, 40,   9, -41, 7, 16.8,⑤⑤⑤,13, 2,Ｍイｰグルストｰン, 35,西田雄, 2.4, 44,   2, -20,14,284.3, ⑥⑥,,,,,,,,,,,,,13,17,Ｋトウカイフィット, 65,石橋脩, 1.6, 59, -14,   3,15,110.5, ⑱⑱
14,11,Ｏマルハチマｰス, 35,西田雄, 5.1, 42,   1, -26,14,235.0,⑩⑫⑬,14,12,Ｏトｰアキシカイセイ, 23,原田和, 3.5, 33, -18, -11,15,355.7, ⑮⑮,,,,,,,,,,,,,14, 5,Ｍキングダムキング, 62,武士沢, 1.7, 54, -10,  -2,16,125.9, ⑮⑭
15, 5,Ｎシマカゼ, 35,原田和, 8.2, 25, -14, -24,15,341.9,⑮⑮⑮,15,15,Ｎライトマキシマム, 25,山崎亮, 5.6,  5, -16, -31,13,138.6, ⑭⑭,,,,,,,,,,,,,15,13,Ｑブルｰピアス, 53,中舘英, 2.0, 51,   1, -17,12, 48.1, ⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｎトキノワイルド, 62,嶋田純, 2.1, 49,  -4, -15,13, 67.0, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｐプラッキｰエリｰナ, 57,西村太, 2.2, 48,  -4, -16,14, 72.8, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 9,Ｒホリデイトウショウ, 51,田中博, 2.3, 47,  -7, -13,18,330.9, ⑫⑬
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,
単勝:350円 複勝:15=130円 07=160円 12=140円 枠連:620円,,,,,,,,,,,,"単勝:1,810円 複勝:04=420円 03=160円 13=260円 枠連:1,400円",,,,,,,,,,,,"単勝:180円 複勝:03=110円 05=250円 04=320円 枠連:1,220円",,,,,,,,,,,,単勝:670円 複勝:04=200円 01=150円 16=230円 枠連:880円,,,,,,,,,,,
