12年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
11, 2,Ｊアイファｰファルコ, 35,松田大, 1.7,,,,12,106.1, ⑮⑮,11,18,Ｆモルトフェリｰチェ, 56,藤岡康, 1.2, 51,  11, -22, 4,  7.5, ⑧⑦,11, 9,Ｋマッキｰケインズ,  9,菅原隆, 3.4,,,,11,140.6,④④⑥,11,14,Ｄサウンドバラッド, 72,吉田隼, 1.0, 61,* 26, -18, 1,  3.1,①②②
12,10,Ｍダｰリンアイ, 18,黛弘人, 1.7,,,,15,161.2, ⑭⑬,12, 3,Ｉビュｰティヒロイン, 52,田中博, 1.3, 50,  14, -27,12,154.0, ④④,,,,,,,,,,,,,12,16,Ｊニチドウルチル, 62,松田大, 1.2, 58,* 26, -22,10, 43.5,②①①
13, 4,Ｌワイドシャトル, 24,田中博, 1.7,,,,13,120.4, ⑫⑭,13,11,Ｎコウエイコムスメ, 32,藤懸貴, 1.8, 43,   2, -17,17,278.4, ⑭⑮,,,,,,,,,,,,,13, 1,Ｋマイネエレｰナ, 61,丹内祐, 1.5, 57,* 25, -22,11, 61.8,③④③
14, 5, ビコｰスピカ,---,藤懸貴, 2.1,,,,10, 72.9, ⑬⑫,14, 5,Ｌジｰピｰクロス, 46,高倉稜, 2.1, 43,* 20, -45, 3,  5.2, ②②,,,,,,,,,,,,,14, 6,Ｐダズリングワｰルド, 47,高倉稜, 1.6, 55,  22, -20, 7, 24.1,⑥⑦⑦
15,14, ココロハヒトツ,---,水口優, 5.9,,,,14,132.2, ⑪⑪,15,16, デルマスセリ,---,西田雄, 2.2, 42,  -5, -11,13,255.6, ⑱⑱,,,,,,,,,,,,,15,13,Ｉミラノムｰン, 64,石橋守, 1.8, 52,* 25, -26,16,129.0,⑤③④
,,,,,,,,,,,,16,17,Ｐラブディラン, 20,平野優, 3.1, 31,   9, -42,18,316.8, ⑪⑪,,,,,,,,,,,,,16, 7,Ｌバトルレッド, 60,西田雄, 2.0, 52,  10,  -5,15,102.0,⑯⑯⑯
,,,,,,,,,,,,17,12,Ｏババビｰナス, 25,黛弘人, 3.5, 27,  10, -49,16,259.9, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 1,Ｊナリタアイル, 51,鮫島良, 3.5, 27,* 21, -64, 7, 12.4, ①①,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,
単勝:720円 複勝:11=220円 16=130円 03=510円 枠連:630円,,,,,,,,,,,,"単勝:1,150円 複勝:08=250円 06=160円 15=5,380円 枠連:410円",,,,,,,,,,,,"単勝:820円 複勝:06=270円 04=520円 03=190円 枠連:5,480円",,,,,,,,,,,,"単勝:650円 複勝:09=240円 05=660円 10=220円 枠連:2,260円",,,,,,,,,,,
"馬連:880円 ワイド:11-16=410円 03-11=1,300円 03-16=1,090円",,,,,,,,,,,,"馬連:1,740円 ワイド:06-08=640円 08-15=34,830円 06-15=13,620円",,,,,,,,,,,,"馬連:19,160円 ワイド:04-06=3,590円 03-06=640円 03-04=1,570円",,,,,,,,,,,,"馬連:10,230円 ワイド:05-09=2,310円 09-10=740円 05-10=4,000円",,,,,,,,,,,
"馬単:2,120円 3連複:4,320円 3連単:22,840円",,,,,,,,,,,,"馬単:4,230円 3連複:136,860円 3連単:895,050円",,,,,,,,,,,,"馬単:32,170円 3連複:24,180円 3連単:236,100円",,,,,,,,,,,,"馬単:21,620円 3連複:25,290円 3連単:183,140円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京競馬場ｸﾞﾗﾝﾄﾞｵｰﾌﾟﾝ記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｇハッピｰストｰリｰ, 56,藤岡康,,,,, 7, 16.9,①①①, 1, 6,Ａアドマイヤフライト, 73,安藤勝,, 67, -24,* 21, 1,  1.3,⑤⑨⑫, 1,16,Ｂニシノマナザシ, 74,中井裕,, 73,*  6,   4, 1,  4.4, ①①, 1, 7,Ｌエアティアｰモ, 80,松田大,,,,,10, 45.0, ①①
 2,14,Ｅミッキｰジュピタｰ, 60,藤懸貴, 0.2,,,, 5, 11.0,②②②, 2, 4,Ｆトウショウバラｰド, 54,吉田豊, 0.2, 62, -24,* 19, 3,  9.9,⑦⑪⑪, 2, 3,Ｍダンスラナキラ, 63,上村洋, 0.2, 72,   0,   9,10, 29.6, ⑦⑥, 2,11,Ａトシギャングスタｰ, 87,吉田豊, 0.0,,,, 1,  2.5, ⑮⑫
 3, 4,Ａキｰエキスパｰト, 66,柴山雄, 0.5,,,, 6, 14.8,⑧⑧⑦, 3,14,Ｑサクラヴィクトリｰ, 38,吉田隼, 0.2, 61, -23,* 15, 2,  9.4,⑥⑦⑦, 3, 2,Ｋレディオスソｰプ, 65,杉原誠, 0.2, 70,*  2,   5,15, 72.1, ④③, 3,14,Ｂスモｰルキング, 85,丸田恭, 0.3,,,, 6, 12.2, ⑦⑦
 4,16,Ｂニシノボレロ, 64,山崎亮, 0.5,,,, 4,  6.3,④③③, 4,13,Ｂブルｰタンザナイト, 65,杉原誠, 0.5, 53,*-19,   3, 4, 15.0,①①①, 4,12,Ｉロｰドエアフォｰス, 65,藤岡康, 0.4, 69,*  2,   4, 8, 17.3, ⑤⑤, 4, 5,Ｉファンドリカップ, 82,松山弘, 0.3,,,, 7, 14.2, ④⑤
 5, 9,Ｆスズカキングダム, 58,松田大, 0.6,,,, 2,  4.6,③④⑤, 5, 9,Ｏマヤノカデンツァ, 44,松田大, 0.6, 56, -23,   9, 7, 28.9,⑫⑩⑧, 5, 8,Ｎキングロンシャｰプ, 61,田中博, 0.4, 70,  -6,* 13, 5, 12.2, ⑯⑯, 5,12,Ｊトキノエクセレント, 82,平野優, 0.9,,,, 2,  5.1, ⑯⑮
 6,12,Ｄエｰシンデュｰク, 61,丸田恭, 1.0,,,, 1,  4.0,⑥⑥④, 6,17,Ｃコスモユウチャン, 65,丹内祐, 0.9, 52, -21,   3, 5, 20.8,⑬⑥⑥, 6, 4,Ｅレッドクロス, 68,田面木, 0.5, 69,  -5,* 12, 6, 12.9, ⑬⑭, 6, 2,Ｆシルクデイブレイク, 84,柴山雄, 1.0,,,, 4,  8.6, ⑥③
 7, 3,Ｐオｰスミムｰン, 31,村田一, 1.8,,,,13,151.8,⑦⑦⑧, 7,18,Ｇガニオン, 53,平野優, 1.2, 46,*-20,  -4,10, 60.0,⑪③③, 7, 7,Ａサクラアドニス, 75,丸田恭, 0.5, 69,  -8,* 16, 2,  4.4, ⑰⑰, 7, 4,Ｍキングオブヘイロｰ, 79,鮫島良, 1.2,,,, 8, 16.2, ③④
 8, 6,Ｃドリｰムインプレス, 61,菅原隆, 1.9,,,,10, 20.2,⑤⑤⑥, 8,15,Ｉクラｰロデルナ, 51,山崎亮, 1.4, 44, -23,  -3,12,178.4,⑮⑫⑨, 8, 6,Ｇマシラ, 67,山崎亮, 0.6, 67,  -3,   8,12, 31.1, ⑪⑫, 8, 6,Ｇトップオブパンチ, 83,上村洋, 1.6,,,,11, 57.7, ⑪⑪
 9,15,Ｌハクユウマンボ, 42,吉田豊, 2.0,,,,12,146.1,⑫⑪⑪, 9, 5,Ｌマイネルアイザック, 47,伊藤工, 1.4, 46, -22,  -1, 9, 52.3,⑧⑧⑩, 9,10,Ｏラントゥザリｰド, 61,松田大, 0.6, 68,  -1,   6, 7, 13.6, ⑧⑨, 9,10,Ｃピエナポパイ, 85,黛弘人, 1.6,,,,14,160.8, ⑫⑬
10, 5,Ｍコマノガレオス, 40,吉田隼, 2.0,,,, 9, 18.4,⑪⑬⑬,10, 2,Ｊシンボリベロｰチェ, 49,藤岡康, 1.6, 52, -30,  12,13,248.2,⑰⑰⑯,10, 9,Ｐエアギベオン, 61,松山弘, 0.7, 66,  -3,   7, 3,  6.2, ⑭⑬,10, 9,Ｋメトロノｰス, 81,藤岡康, 1.7,,,, 3,  8.2, ⑤⑥
11, 2,Ｋフェアリｰズサン, 43,嘉藤貴, 2.2,,,,15,261.0,⑨⑩⑨,11, 3,Ｎケイツｰナンナ, 44,千葉直, 1.6, 49, -27,   6,14,253.8,⑯⑯⑮,11,14,Ｃミヤジシェンロン, 71,太宰啓, 0.7, 65,*  2,   0, 9, 20.1, ③④,11, 8,Ｈレッドヴァンクｰル, 83,伊藤工, 1.8,,,, 9, 22.6, ⑬⑭
12, 1,Ｊダンツフォｰカス, 51,松山弘, 2.2,,,,11, 42.1,⑬⑭⑫,12, 7,Ｅアンジェロフォｰグ, 60,高倉稜, 1.6, 41, -21,  -8, 8, 45.2,②④④,12,11,Ｑテイエムシャトウ, 60,宮崎北, 0.8, 65,  -2,   4,17,211.1, ⑫⑩,12, 3,Ｐストロングポイント, 68,西田雄, 2.1,,,,15,170.2, ⑩⑨
13, 8,Ｏメインメリｰ, 33,西村太, 3.4,,,,14,246.8,⑯⑯⑮,13,11,Ｍセルリアンヒコボシ, 46,柴山雄, 1.7, 46, -26,   2,18,353.6,⑭⑬⑬,13, 1,Ｄスギノブロッサム, 71,高倉稜, 0.8, 66,  -5,   8, 4,  8.2, ⑮⑮,13, 1,Ｏマイプラｰナ, 76,野元昭, 2.3,,,,12,100.8, ⑧⑧
14,11,Ｈクロスミッション, 54,安藤勝, 3.5,,,, 3,  4.8,⑩⑨⑩,14, 8,Ｋマイクリスタル, 49,嶋田純, 1.7, 40, -21,  -8,16,296.9,③⑤⑤,14,18,Ｌブルｰスタｰ, 64,吉田豊, 0.9, 63,  -8,  11,14, 40.4, ⑱⑱,14,13,Ｅキャプテンルビｰ, 84,古川吉, 2.9,,,,13,113.3, ⑭⑯
15, 7,Ｉタイガｰシｰド, 54,太宰啓, 4.1,,,, 8, 17.5,⑭⑮⑯,15,16,Ｄマイネルクルタナ, 61,太宰啓, 2.3, 29,*-20, -21, 6, 22.1,④②②,15,13,Ｈアｰスツリｰ, 66,柴山雄, 0.9, 64,   0,   1,13, 32.8, ⑥⑦,15,16,Ｄトロワプレジｰル, 84,竹之下, 4.2,,,, 5, 11.9, ②②
16,10,Ｎクリノホウザン, 37,長谷川, 5.3,,,,16,348.0,⑮⑫⑭,16,12,Ｐスｰトスペｰド, 41,松山弘, 3.2, 30, -29, -11,11,167.0,⑩⑭⑰,16, 5,Ｊコマノスクアｰロ, 65,吉田隼, 1.0, 63,  -3,   4,11, 29.7, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,17,10,Ｈディアザイン, 51,上村洋, 3.3, 26, -27, -18,15,255.8,⑨⑮⑭,17,17,Ｆイマカツタイガｰ, 68,長谷川, 1.3, 58,  -1,  -5,16,148.9, ⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,18, 1,Ｒウインドジュエリｰ, 34,水口優, 4.1, 22, -32, -16,17,348.2,⑱⑱⑱,18,15,Ｒモンサンアポロ, 45,丹内祐, 2.7, 43,*  4, -27,18,372.7, ②②,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:??? ﾚｰｽｱｶﾞﾘ指数:??? 馬場:重,,,,,,,,,,,
"単勝:1,690円 複勝:13=450円 14=310円 04=430円 枠連:5,740円",,,,,,,,,,,,単勝:130円 複勝:06=100円 04=170円 14=180円 枠連:500円,,,,,,,,,,,,"単勝:440円 複勝:16=200円 03=950円 02=2,090円 枠連:2,250円",,,,,,,,,,,,"単勝:4,500円 複勝:07=500円 11=140円 14=370円 枠連:1,520円",,,,,,,,,,,
"馬連:6,290円 ワイド:13-14=2,300円 04-13=2,690円 04-14=1,580円",,,,,,,,,,,,馬連:510円 ワイド:04-06=220円 06-14=240円 04-14=830円,,,,,,,,,,,,"馬連:15,030円 ワイド:03-16=4,550円 02-16=5,700円 02-03=15,190円",,,,,,,,,,,,"馬連:7,750円 ワイド:07-11=2,420円 07-14=7,240円 11-14=740円",,,,,,,,,,,
"馬単:15,770円 3連複:20,570円 3連単:185,120円",,,,,,,,,,,,"馬単:660円 3連複:1,410円 3連単:3,160円",,,,,,,,,,,,"馬単:17,450円 3連複:196,490円 3連単:926,590円",,,,,,,,,,,,"馬単:20,530円 3連複:24,120円 3連単:221,900円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾛﾛｰｸﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈバトルドミンゴ, 45,宮崎北,,,,, 7, 21.2, ①①, 1,13,Ｊプリンセスキナウ, 68,横山和,,,,, 4,  7.5,⑥④④, 1, 1,Ｊフェイルノｰト, 72,柴山雄,, 65,*-15,  10, 3,  6.2,①①①, 1, 4,Ｂトウカイパラダイス, 83,柴山雄,, 87,   6,* 22, 2,  4.8,⑥⑥⑥
 2,10,Ａミヤビリファイン, 66,吉田豊, 0.3,,,, 1,  2.3, ⑤⑤, 2, 2,Ｆゴｰルドジェｰン, 69,高倉稜, 0.0,,,, 1,  3.7,①①①, 2, 5,Ａジョウノアラミス, 78,高倉稜, 0.0, 69, -17,* 16, 2,  5.3,⑥⑥⑤, 2,10,Ｆコスモエンペラｰ, 78,丹内祐, 0.1, 84,*  8,  13, 4, 11.5,②②②
 3,13,Ｃギルドマスタｰ, 64,中井裕, 0.6,,,, 3,  6.1, ⑨⑨, 3, 5,Ｈミリアム, 69,上村洋, 0.1,,,, 6,  8.6,⑦⑨⑩, 3, 2,Ｋニシノジャブラニ, 70,松山弘, 0.1, 66,*-14,  10, 9, 33.8,②②②, 3, 9,Ｃシンボリボルドｰ, 82,高倉稜, 0.3, 83,   8,  14, 6, 18.0,④④④
 4,16,Ｎマッシヴヒｰロｰ, 38,国分恭, 0.8,,,, 4, 10.0, ②②, 4,12,Ｅニシノキュアノス, 69,吉田隼, 0.3,,,,11, 36.2,⑨⑦⑦, 4,13,Ｇクｰルエレガンス, 73,平野優, 0.4, 64, -19,  13, 4,  6.5,⑦⑨⑧, 4, 3,Ｄネオブラックダイヤ, 81,丸田恭, 0.5, 81,   6,  16, 1,  1.9,⑧⑧⑦
 5, 6,Ｂロｰドエストレｰラ, 66,吉田隼, 1.0,,,, 2,  3.7, ④④, 5, 9,Ｃホワイトジュエル, 72,二本柳, 0.7,,,, 3,  6.8,⑫⑪⑨, 5,18,Ｌショウナンカミング, 70,上村洋, 0.5, 65, -18,  13,15, 72.4,⑩⑩⑩, 5, 8,Ｇタガノキャプテン, 77,国分恭, 0.6, 78,   7,   9, 8, 34.1,③③③
 6, 9,Ｆリリｰアタッカｰ, 49,松山弘, 1.1,,,, 6, 17.8, ③③, 6, 6,Ｂラブソネット, 72,藤岡康, 0.7,,,, 2,  4.5,②③③, 6,10,Ｂシルクランスロット, 77,国分恭, 0.6, 64, -21,* 17,10, 34.4,⑭⑭⑭, 6, 6,Ａコウエイオトメ, 84,田中博, 0.6, 83,   5,* 19, 3,  5.2,⑩⑩⑨
 7, 7,Ｅウインアルエット, 50,柴山雄, 1.5,,,, 5, 17.1, ⑫⑬, 7, 1,Ｍマイネマグノリア, 64,田中博, 0.9,,,,12, 47.6,④⑥⑥, 7, 4,Ｄマイネルヴァルム, 74,丹内祐, 0.7, 58,*-16,   3, 8, 28.1,③③③, 7,11,Ｊカリスマミッキｰ, 68,松山弘, 0.8, 76,*  9,   2, 9, 38.7,①①①
 8,12,Ｍクリノタイコウ, 39,嶋田純, 1.5,,,,12, 96.4, ⑭⑭, 8, 8,Ｇショウナンガｰデン, 69,松山弘, 1.0,,,,10, 28.9,⑩⑫⑫, 8, 8,Ｑアンナドンナ, 59,杉原誠, 0.8, 59, -17,   6,16, 83.4,⑤⑤⑦, 8, 7,Ｈフレンチボウ, 75,吉田隼, 0.8, 77,   7,   6, 5, 16.3,⑤⑤⑤
 9, 8,Ｇコウエイロックオン, 49,古川吉, 1.7,,,,11, 82.3, ⑧⑧, 9,10,Ｌカフェロｰレル, 64,杉原誠, 1.2,,,,14, 74.9,⑪⑩⑪, 9, 7,Ｃチャｰリｰポイント, 77,山崎亮, 0.8, 60, -19,   9,13, 48.9,⑧⑧⑨, 9, 1,Ｉロイヤルダリア, 72,平野優, 1.1, 76,   4,   9,10, 67.7,⑦⑦⑧
10, 1,Ｏリアルブラック, 30,藤岡康, 1.8,,,, 9, 51.7, ⑦⑦,10, 4,Ｎメジロコウミョウ, 60,吉田豊, 2.4,,,, 7, 21.5,⑬⑭⑭,10,14,Ｍトモロマイスタｰ, 67,吉田隼, 0.9, 60, -20,  10,11, 39.6,⑪⑪⑪,10, 5,Ｅフランドルシチｰ, 79,上村洋, 1.6, 73,   3,   9, 7, 24.4,⑪⑪⑪
11,11,Ｊミスバレイ, 44,伊藤工, 2.0,,,,16,215.3, ⑥⑥,11,14,Ｋオペラフォンテン, 67,丹内祐, 2.7,,,,13, 61.1,⑭⑬⑬,11, 9,Ｉガリレオバロｰズ, 72,藤岡康, 1.0, 55, -17,   2, 7, 15.7,⑨⑦⑥,11, 2,Ｋラガｰアンバｰ, 65,吉田豊, 1.8, 68,   3,   4,11,116.5,⑨⑨⑩
12, 4, ミニスタｰビｰン,---,太宰啓, 2.0,,,,13, 99.7, ⑬⑩,12,11,Ｉクリスマドンナ, 68,柴山雄, 3.3,,,, 9, 28.5,③②②,12,12,Ｈトキノサコン, 72,吉田豊, 1.1, 58, -23,  13, 6, 14.6,⑰⑯⑯,,,,,,,,,,,,
13,15,Ｉトウカイウインク, 44,村田一, 2.1,,,,15,173.6, ⑩⑪,,,,,,,,,,,,,13,11,Ｆアドマイヤカｰリン, 73,安藤勝, 1.1, 62, -23,* 15, 1,  3.1,⑮⑰⑰,,,,,,,,,,,,
14,14,Ｄナウオアネヴァｰ, 51,高倉稜, 2.9,,,,10, 81.9, ⑮⑯,,,,,,,,,,,,,14,17,Ｐオペラオｰカン, 60,西田雄, 1.3, 55, -19,   3,12, 47.2,⑫⑫⑫,,,,,,,,,,,,
15, 3,Ｋハリケｰンピサ, 43,上村洋, 2.9,,,, 8, 34.1, ⑯⑮,,,,,,,,,,,,,15,16,Ｒエリモロワイヤル, 57,丸田恭, 1.3, 61, -24,* 16,18,100.0,⑱⑱⑱,,,,,,,,,,,,
16, 5,Ｌイｰグルストｰン, 43,西田雄, 4.4,,,,14,111.6, ⑪⑫,,,,,,,,,,,,,16, 6,Ｅマヤノクレド, 73,松田大, 1.3, 50,*-16,  -5, 5, 13.7,④④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｎブレイク, 65,太宰啓, 1.9, 47, -21,  -1,17, 86.6,⑯⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｏシンボリヴァルト, 62,田中博, 2.5, 39, -22, -10,14, 55.6,⑬⑬⑬,,,,,,,,,,,,
