12年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 9,Ｉシゲルトビウオザ, 42,和田竜, 1.2, 56,*  6, -11,10, 63.7, ③③, 9, 9, アンシャンテルｰル,,小野寺,217.3,,,,10, 94.7,⑩⑨⑨,,,,,,,,,,,,, 9,11,Ｄサイドアタック, 78,四位洋, 0.8, 74,  11,  -3, 7, 14.8,⑪⑪⑪
10,10,Ｋアルペンクロｰネ, 40,国分恭, 1.4, 53,   1,  -7,12,152.6, ⑨⑨,10, 5, ビコｰミハイル,,黒岩悠,218.5,,,, 9, 66.2,⑨⑩⑩,,,,,,,,,,,,,10,10,Ｋヤマニンアｰマｰ, 71,太宰啓, 0.8, 73,* 18, -17,10, 57.0,②②③
11,13,Ｅネクタルブルｰ, 52,藤田伸, 1.6, 53,   5, -14, 8, 50.8, ④④,,,,,,,,,,,,,,,,,,,,,,,,,11, 6,Ｌブライトバニヤン, 65,和田竜, 1.1, 70,* 18, -24, 9, 47.5,①①①
12, 8,Ｎツキノピラミッド, 25,藤岡佑, 2.4, 43, -14,  -2,13,302.8, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｇオマワリサン, 77,藤田伸, 1.3, 69,  15, -19, 5, 11.7,④⑥⑥
13, 5,Ｂデンコウスカイ, 56,幸英明, 2.7, 43,*  7, -25, 6, 31.2, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11,Ｍツｰエムワンダｰ, 34,松田大, 3.0, 37,  -5, -15,15,414.8, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｏマンテンタテヤマ, 23,小林慎, 3.2, 36, -21,  -3,14,369.9, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,
単勝:520円 複勝:01=170円 07=140円 06=100円 枠連:320円,,,,,,,,,,,,単勝:180円 複勝:02=110円 07=250円 10=280円 枠連:640円,,,,,,,,,,,,単勝:610円 複勝:01=140円 04=110円 07=120円 枠連:0円,,,,,,,,,,,,"単勝:230円 複勝:07=120円 03=210円 01=130円 枠連:1,050円",,,,,,,,,,,
"馬連:1,970円 ワイド:01-07=520円 01-06=180円 06-07=170円",,,,,,,,,,,,"馬連:1,060円 ワイド:02-07=490円 02-10=440円 07-10=1,700円",,,,,,,,,,,,馬連:500円 ワイド:01-04=190円 01-07=300円 04-07=150円,,,,,,,,,,,,"馬連:1,440円 ワイド:03-07=520円 01-07=220円 01-03=470円",,,,,,,,,,,
"馬単:3,120円 3連複:560円 3連単:6,500円",,,,,,,,,,,,"馬単:1,720円 3連複:3,900円 3連単:13,270円",,,,,,,,,,,,"馬単:1,470円 3連複:390円 3連単:4,150円",,,,,,,,,,,,"馬単:2,020円 3連複:1,190円 3連単:5,830円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅインカンテｰション, 51,国分優,, 61,* -3,*  7, 3,  4.5,④③③, 1, 1,Ａクレスコモア, 64,和田竜,, 60,* -6,* -9, 2,  2.9,①①①, 1,16,Ｈファントムライト, 70,福永祐,, 76,   7,* -2, 2,  6.0, ⑩⑧, 1, 6,Ａクラシカルノヴァ, 90,幸英明,, 86,* 11,*  9, 1,  2.2,②②②
 2, 4,Ｆセイスコｰピオン, 46,川田将, 0.0, 62,  -4,*  9, 5,  6.0,⑥⑤④, 2, 3,Ｂミッキｰサクセス, 58,福永祐, 0.2, 59,* -7,* -7, 1,  2.7,②③③, 2,12,Ｂベンジャミン, 78,池添謙, 0.0, 75,   8,* -5, 5, 13.2, ⑥⑥, 2,13,Ｂバトｰドｰル, 88,ウィリ, 0.3, 84,* 11,*  7, 2,  3.7,⑥⑤③
 3, 2,Ａクリノコトノオｰ, 56,国分恭, 1.2, 52,  -4,  -2, 1,  3.8,⑤④⑤, 3, 5,Ｆサダムダイジョウブ, 50,四位洋, 0.4, 56,  -8,* -9, 4,  7.4,⑧⑥④, 3, 3,Ｄミラグロッサ, 73,和田竜, 0.2, 74,* 10, -10, 8, 26.7, ③③, 3,11,Ｇチョイワルグランパ, 84,福永祐, 0.5, 83,  10,*  7, 9, 42.3,⑤⑥⑤
 4, 5,Ｄフィボナッチ, 53,福永祐, 2.0, 46,* -3, -11, 4,  5.3,②②②, 4, 7,Ｃイントレピッド, 57,幸英明, 0.6, 56,  -8, -11, 5, 14.3,⑦⑤⑤, 4, 5,Ａアドマイヤバラｰド, 79,ウィリ, 0.3, 70,   8, -10, 1,  1.8, ⑤⑤, 4,10,Ｄラタｰシュ, 87,秋山真, 0.7, 81,   9,*  7, 6, 17.6,⑩⑧⑥
 5, 1,Ｂアスカノトゥｰレ, 56,太宰啓, 2.1, 46,* -3, -14, 6, 14.4,①①①, 5, 2,Ｊメイショウユウスゲ, 39,川田将, 1.0, 49,* -7, -20, 7, 44.0,③②②, 5, 1,Ｊショウナンマハ, 69,秋山真, 0.3, 73,   6,* -2,12, 58.1, ⑮⑬, 5, 2,Ｋセイカプリコｰン, 82,和田竜, 1.4, 77,  10,  -2, 4,  8.2,④③④
 6, 6,Ｊタマモマテンロウ, 14,和田竜, 2.9, 42,  -5, -14, 7, 26.1,⑧⑧⑦, 6, 9,Ｄマｰヴェリックス, 54,ウィリ, 1.1, 48,  -9, -15, 3,  4.1,⑥⑧⑦, 6, 2,Ｍテｰオｰレジェンド, 65,国分優, 0.4, 71,* 11, -17, 3, 11.5, ①①, 6, 5,Ｃジョｰメテオ, 87,酒井学, 1.4, 78,   8,   3, 5, 15.6,⑧⑨⑩
 7, 8,Ｈシゲルカメレオンザ, 45,松田大, 3.5, 35,  -5, -20, 8, 72.8,⑦⑨⑥, 7,10,Ｈナムライットウセイ, 47,国分優, 1.9, 42, -11, -24, 6, 29.3,⑩⑩⑨, 7, 6,Ｆレッドシェリフ, 71,藤田伸, 0.6, 70,   7, -10, 6, 14.7, ⑨⑨, 7, 7,Ｅサンライズクォリア, 86,国分優, 1.5, 77,   7,   5, 8, 29.7,⑭⑮⑬
 8,10,Ｃイノベｰション, 56,秋山真, 3.7, 35,  -5, -22, 2,  3.8,③⑥⑧, 8, 4,Ｅキｰヴュｰ, 52,太宰啓, 1.9, 40,  -9, -27, 8, 46.5,⑤⑦⑧, 8, 4,Ｃエｰシングルｰオン, 75,太宰啓, 0.6, 69,   9, -12, 7, 19.6, ⑦⑦, 8, 8,Ｉトモロポケット, 82,太宰啓, 1.6, 77,   7,   4,11, 78.4,⑫⑭⑮
 9, 3,Ｉランドボイジャｰ, 43,酒井学, 3.8, 37,  -6, -21,10, 84.9,⑨⑦⑨, 9, 6,Ｇスリｰゴルゴン, 50,小坂忠, 2.6, 36, -10, -31,10,164.5,⑨⑨⑩, 9, 9,Ｎマルケサス, 65,幸英明, 0.7, 70,   6,  -8, 4, 12.3, ⑪⑫, 9,16,Ｌカスガ, 81,国分恭, 1.9, 74,   8,   0,14,126.3,⑮⑬⑫
10, 9,Ｇシャルパンテ, 45,幸英明, 3.8, 35,  -7, -20, 9, 81.5,⑩⑩⑩,10, 8,Ｉクリノアルパマｰヨ, 45,国分恭, 3.3, 30,  -8, -50, 9,148.2,④④⑥,10,13,Ｋヒｰラ, 69,小林徹, 0.9, 68,   4,  -6,14,168.5, ⑭⑯,10, 4,Ｐアッシュｰル, 77,渡辺薫, 2.2, 73,   9,  -6,15,198.7,⑦⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｌヴァｰチュスタｰ, 68,藤岡佑, 1.1, 65,* 10, -23, 9, 33.4, ④④,11, 9,Ｈキャプテンマジン, 82,川田将, 2.5, 69,   9,  -9,13,110.5,③④⑧
,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｅドラゴネッティ, 72,四位洋, 1.1, 64,   7, -17,10, 37.7, ⑯⑪,12,15,Ｍハジメレンジャｰ, 80,武幸四, 2.5, 75,   8,  -5,10, 54.5,⑬⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｐマヤノポルカ, 57,酒井学, 1.3, 63,   8, -19,16,344.0, ⑧⑩,13, 1,Ｏグッドカレラ, 80,藤岡佑, 2.6, 69,* 12, -15, 3,  8.2,①①①
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｏビュｰティバラｰド, 59,国分恭, 1.6, 60,   5, -19,15,335.0, ⑬⑮,14,14,Ｊエンジョイタイム, 82,藤田伸, 3.2, 67,   8, -13, 7, 25.1,⑨⑩⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｇレオパルドゥス, 71,川田将, 1.7, 59,   6, -24,11, 46.5, ⑫⑭,15,12,Ｆアグネスアンカｰ, 85,池添謙, 3.7, 62,   6, -13,12, 97.9,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｉディｰプスノｰ, 70,武幸四, 2.3, 52,* 10, -42,13, 70.5, ②②,16, 3,Ｎブルｰスタｰキング, 80,小坂忠, 3.9, 60,   8, -17,16,268.8,⑪⑪⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,
"単勝:450円 複勝:07=190円 04=170円 02=140円 枠連:1,040円",,,,,,,,,,,,単勝:290円 複勝:01=120円 03=110円 05=160円 枠連:300円,,,,,,,,,,,,"単勝:600円 複勝:16=250円 12=420円 03=700円 枠連:2,150円",,,,,,,,,,,,単勝:220円 複勝:06=120円 13=140円 11=560円 枠連:330円,,,,,,,,,,,
"馬連:1,290円 ワイド:04-07=370円 02-07=440円 02-04=380円",,,,,,,,,,,,馬連:310円 ワイド:01-03=160円 01-05=320円 03-05=290円,,,,,,,,,,,,"馬連:3,330円 ワイド:12-16=1,110円 03-16=2,100円 03-12=3,360円",,,,,,,,,,,,"馬連:360円 ワイド:06-13=180円 06-11=1,400円 11-13=2,070円",,,,,,,,,,,
"馬単:2,230円 3連複:1,620円 3連単:10,560円",,,,,,,,,,,,"馬単:690円 3連複:480円 3連単:2,190円",,,,,,,,,,,,"馬単:6,560円 3連複:28,340円 3連単:128,340円",,,,,,,,,,,,"馬単:560円 3連複:4,430円 3連単:14,150円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 6R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ﾎﾟｲﾝｾﾁｱ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｈグッドレインボｰ, 51,福永祐,, 67,* -9,*  5, 1,  2.6, ②②, 1,13, ミヤジエルビス,---,和田竜,, 76,   2,* 10, 2,  4.0, ④③, 1,14,Ｄサマリｰズ, 71,藤岡佑,, 72,  11,* -4, 8, 14.8, ⑧⑧, 1,11,Ｃトミケンアルドｰル, 80,ウィリ,, 80,* 12,   6, 2,  4.8,②①①
 2, 3,Ｆマジカルビアンカ, 54,太宰啓, 0.0, 67,* -9,*  7, 6, 13.5, ③③, 2,12, ロレｰヌクロス,---,藤岡佑, 1.0, 67,*  3,  -1, 3,  4.7, ②②, 2,11,Ｅダノンレジェンド, 71,ウィリ, 0.0, 73,* 13,* -5, 5,  7.0, ⑤③, 2, 6,Ａエｰシンバリントン, 86,川田将, 0.3, 80,* 11,   6, 1,  1.9,⑦⑦④
 3, 9,Ｄラッキｰマンボ, 55,国分恭, 0.1, 64,* -7,   1, 9, 57.2, ①①, 3, 6, キングズウェザｰ,---,太宰啓, 1.2, 66,*  4,  -3, 1,  3.4, ①①, 3, 5,Ｐヴェントス, 56,川田将, 0.9, 65,   8,* -6, 9, 74.6, ⑯⑮, 2, 2,Ｂウインベルカント, 84,渡辺薫, 0.3, 82,   9,* 11, 4,  6.9,⑩⑪⑨
 4,11,Ｂアドマイヤゼファｰ, 56,ウィリ, 0.2, 63,* -9,   4, 3,  5.1, ④④, 4,11, コウエイジャンボ,---,福永祐, 1.3, 64,   0,   0, 5, 15.0, ⑥⑤, 4,16,Ｉティズトレメンダス, 63,藤田伸, 0.9, 65,   9,  -9, 3,  6.6, ⑫⑩, 4, 9,Ｅサンライズブレット, 78,秋山真, 0.6, 77,* 11,   3, 3,  5.8,⑤⑤③
 5,13,Ａシンジュボシ, 59,川田将, 0.2, 65, -11,*  5, 2,  3.4, ⑥⑥, 5, 3, ダノンチャコ,---,池添謙, 1.7, 62,   2,  -5, 4,  5.9, ③④, 5, 6,Ｊエトルアンフルｰル, 62,和田竜, 1.0, 64,  11, -13,12, 84.7, ⑦⑦, 5, 3,Ｆテｰオｰストｰム, 78,藤岡佑, 1.1, 75,   9,   4, 6, 31.2,⑧⑧⑩
 6,12,Ｊシゲルコウマザ, 49,松田大, 0.6, 62, -13,   4,10,111.9, ⑩⑩, 6, 9, メイショウサンカン,---,秋山真, 1.9, 60,   0,  -4,11, 59.1, ⑦⑥, 6, 3,Ｎカシノパシオン, 59,渡辺薫, 1.2, 62,   9, -11,15,146.8, ⑬⑫, 6, 8,Ｊナポレオンバロｰズ, 73,福永祐, 1.2, 73,  10,   0, 5, 13.4,③④⑥
 7, 4,Ｋマリンルック, 49,池添謙, 0.8, 57, -10,  -2, 8, 48.1, ⑦⑦, 7, 5, ブラックシャリオ,---,酒井学, 2.2, 59,  -1,  -6,10, 37.4, ⑨⑧, 7, 1,Ｂベストウォｰリア, 74,福永祐, 1.3, 62,* 14, -19, 4,  6.7, ①①, 7,15,Ｉラヴフェアリｰ, 74,小坂忠, 1.3, 73,  10,   1, 9, 77.0,⑪⑩⑧
 8,10,Ｃアムｰルポエジｰ, 55,幸英明, 0.8, 58, -12,  -1, 4,  7.1, ⑧⑨, 8, 4, サンライズベｰダｰ,---,国分恭, 2.4, 57,  -6,  -1, 7, 16.2, ⑪⑪, 8,10,Ｇフィｰルドゴｰゴｰ, 64,秋山真, 1.4, 59,   8, -12, 7, 14.3, ⑭⑯, 8,10,Ｌベストオブケン, 71,和田竜, 1.5, 73,  10,  -1, 8, 71.5,⑨⑨⑦
 9, 8,Ｍエンジェルベイビｰ, 41,渡辺薫, 0.9, 57, -15,   2,11,234.4, ⑬⑬, 9,10, ワイドバッカス,---,国分優, 2.5, 55,  -4,  -4,12, 99.7, ⑩⑩, 9, 7,Ｆヴェリｰバンブｰ, 66,幸英明, 1.8, 57,  10, -18,11, 78.4, ⑩⑪, 9,14,Ｈヒミノキンカメ, 75,太宰啓, 1.7, 72,   5,   6,14,216.4,⑭⑭⑭
10, 1,Ｅテイエムライオネス, 55,和田竜, 1.0, 55, -13,  -2, 5, 12.8, ⑨⑧,10, 1, ニシオキボオト,---,小林徹, 2.8, 56,  -2,  -8, 9, 28.9, ⑧⑨,10,13,Ｈルミナスウイング, 64,池添謙, 1.9, 57,  11, -20, 2,  4.6, ⑨⑨,10, 5,Ｋタマモルｰキｰ, 73,国分優, 1.8, 70,   5,   5,11, 87.8,⑬⑬⑬
11, 2,Ｌランミネルバ, 48,藤岡佑, 1.1, 56, -13,  -2,12,329.7, ⑪⑪,11, 2, メイショウエジソン,---,幸英明, 3.8, 46, -15,  -1, 8, 24.9, ⑬⑭,11, 9,Ｌシゲルオオカミザ, 60,武幸四, 1.9, 59,   9, -17,14, 97.3, ⑮⑭,11, 4,Ｏアドマイヤプリンス, 63,池添謙, 2.5, 65,   7,  -5,12, 91.2,⑫⑫⑪
12, 6,Ｇスプリングデジレ, 53,秋山真, 1.3, 49, -11, -11, 7, 45.5, ⑤⑤,12, 8, ロングブレｰヴ,---,川田将, 4.3, 42,   1, -25, 6, 15.8, ⑤⑦,12,12,Ｋカゼニタツライオン, 62,国分恭, 2.4, 52,  12, -26,13, 87.5, ⑥⑤,12,12,Ｄテルミｰホワイ, 80,幸英明, 2.8, 61,* 12, -18, 7, 37.5,④③②
13, 5,Ｉボディアンドソウル, 50,酒井学, 1.6, 48, -14,  -8,13,416.7, ⑫⑫,13,14, オパｰルトウショウ,---,渡辺薫, 4.9, 39, -14, -11,13,182.9, ⑭⑬,13, 4,Ｍバルタザｰル, 60,酒井学, 2.5, 54,* 14, -28,16,194.3, ②②,13,13,Ｇメイショウイエミツ, 75,芹沢純, 3.2, 59,* 11, -20,13,108.9,⑥⑥⑤
,,,,,,,,,,,,14, 7, トライアンフバイオ,---,小林慎, 5.0, 36, -14, -14,14,223.1, ⑫⑫,14, 2,Ｃヴォルカニック, 72,松田大, 2.6, 50,  12, -27, 1,  3.6, ③⑥,14, 7,Ｍゼロセン, 67,酒井学, 4.8, 52,  11, -31,10, 79.4,①②⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ａグレイスフルリｰプ, 79,国分優, 2.9, 48,  10, -28, 6, 10.1, ⑪⑬,15, 1,Ｎスプリングゲント, 64,白浜雄, 5.0, 49,   2, -16,15,259.8,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｏテイエムチカラ, 59,太宰啓, 5.2, 32,* 13, -51,10, 78.1, ④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,
"単勝:260円 複勝:07=140円 03=480円 09=760円 枠連:1,710円",,,,,,,,,,,,単勝:400円 複勝:13=150円 12=170円 06=120円 枠連:690円,,,,,,,,,,,,"単勝:1,480円 複勝:14=470円 11=250円 05=1,960円 枠連:1,580円",,,,,,,,,,,,単勝:480円 複勝:11=150円 02=170円 06=110円 枠連:640円,,,,,,,,,,,
"馬連:2,240円 ワイド:03-07=830円 07-09=1,640円 03-09=3,890円",,,,,,,,,,,,馬連:890円 ワイド:12-13=430円 06-13=250円 06-12=450円,,,,,,,,,,,,"馬連:4,640円 ワイド:11-14=1,910円 05-14=10,210円 05-11=5,360円",,,,,,,,,,,,馬連:970円 ワイド:02-11=570円 06-11=230円 02-06=260円,,,,,,,,,,,
"馬単:3,410円 3連複:19,420円 3連単:54,350円",,,,,,,,,,,,"馬単:1,850円 3連複:1,060円 3連単:6,040円",,,,,,,,,,,,"馬単:11,140円 3連複:98,760円 3連単:536,320円",,,,,,,,,,,,"馬単:1,960円 3連複:790円 3連単:4,720円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
