12年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月11日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
13, 5,Ｅエｰシンショｰフク, 41,村田一, 2.3, 23,  -7, -30, 9,107.5, ⑫⑫,13,13, スマｰトスパｰクル,,高嶋活,190.7,,,,13,254.7,②⑩⑩,13,18,Ｋコスモサリュビア, 56,柴田大, 2.1, 55,   0, -15,11, 72.1, ⑩⑪,,,,,,,,,,,,
14, 1,Ｎケイ, 20,嶋田純, 2.7, 21, -10, -28,11,131.1, ⑭⑭,14, 5, ニシノブンブンマル,,草野太,196.1,,,,12,143.3,⑬⑭⑭,14,12,Ｌドラゴンドリｰム, 51,増沢由, 2.2, 54,  -7,  -4,16,408.3, ⑯⑯,,,,,,,,,,,,
15,12,Ｇスピｰドパレｰド, 37,西村太, 3.0, 19,* -2, -47,15,408.7, ②②,,,,,,,,,,,,,15,13, ヴァリュｰビジョン,---,西村太, 2.4, 51, -10,  -3,12,143.8, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｏルクｰル, 34,村田一, 2.5, 47,   0, -21,15,387.8, ⑤⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 3, クリノユングフラウ,---,嶋田純, 2.7, 49, -19,*  7,13,272.4, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｎスイｰトアイリス, 40,大庭和, 2.7, 47,  -5, -15,18,462.7, ⑮⑭,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,620円 複勝:02=340円 08=110円 07=180円 枠連:750円",,,,,,,,,,,,単勝:520円 複勝:09=150円 14=130円 07=180円 枠連:510円,,,,,,,,,,,,"単勝:920円 複勝:07=300円 15=440円 06=200円 枠連:2,690円",,,,,,,,,,,,"単勝:380円 複勝:08=230円 06=930円 07=850円 枠連:3,020円",,,,,,,,,,,
"馬連:1,560円 ワイド:02-08=530円 02-07=1,200円 07-08=260円",,,,,,,,,,,,馬連:650円 ワイド:09-14=300円 07-09=420円 07-14=320円,,,,,,,,,,,,"馬連:6,400円 ワイド:07-15=2,460円 06-07=1,100円 06-15=1,450円",,,,,,,,,,,,"馬連:4,350円 ワイド:06-08=1,550円 07-08=1,420円 06-07=2,870円",,,,,,,,,,,
"馬単:4,480円 3連複:2,380円 3連単:27,790円",,,,,,,,,,,,"馬単:1,390円 3連複:1,170円 3連単:5,310円",,,,,,,,,,,,"馬単:12,170円 3連複:14,780円 3連単:97,530円",,,,,,,,,,,,"馬単:7,330円 3連複:18,340円 3連単:87,960円",,,,,,,,,,,
■ 2R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,長岡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂヨシカワクン, 43,山崎亮,, 41, -13,* -3, 2,  4.7,   , 1, 7, プリフォンテイン,---,松岡正,, 33,*-58,  13, 3,  5.3, ②②, 1,14,Ｃホノカアボｰイ, 76,蛯名正,, 82,*  1,* 21, 2,  3.3,③③③, 1, 4,Ｃエｰシンハｰバｰ, 83,中舘英,, 87,* 12,   8, 4,  8.4, ②②
 2, 5,Ｇブラザｰウインド, 35,中舘英, 0.1, 39,* -7,  -9, 4,  7.1,   , 2, 8, ジプシｰスウィング,---,蛯名正, 0.2, 31, -59,  13, 6, 11.2, ④⑤, 2,12,Ａサミットストｰン, 77,内田博, 0.1, 78,*  1,* 19, 3,  5.1,②②②, 2,11,Ｅトウケイヘイロｰ, 80,柴田善, 0.2, 84,   8,   9, 2,  4.3, ④④
 3, 9,Ｆスピｰドボニｰタ, 37,杉原誠, 0.3, 35, -12,  -9, 8, 18.8,   , 3, 6, ネルトスグアサ,---,武士沢, 0.3, 34, -63,* 19, 9, 56.6, ⑩⑨, 3,10,Ｂハスラｰ, 77,北村宏, 0.8, 74,*  0,  16, 1,  3.2,⑥⑥④, 3,13,Ｍイチオクノホシ, 77,蛯名正, 0.2, 85,   1,* 19, 3,  5.7, ⑪⑪
 4,12,Ａワンパンチ, 45,西村太, 0.3, 37, -11,  -8, 1,  3.1,   , 4, 5, ミエノハｰトハｰト,---,北村宏, 0.3, 31, -60,  14, 5,  7.7, ③④, 4, 4,Ｅユｰロビｰト, 75,大野拓, 1.6, 69,  -2,  12, 4,  5.2,⑦⑩⑧, 4,18,Ｂオｰシャンカレント, 84,木幡初, 0.2, 84,   8,  11,17,228.9, ⑤⑤
 5, 3,Ｅオンライン, 37,大野拓, 0.4, 34, -12, -10, 6, 11.8,   , 5,10, オベロン,---,柴田善, 0.6, 18, -62,  10, 2,  5.0, ⑧⑥, 5,11,Ｊサワキック, 68,武士沢, 1.9, 71,  -5,* 16, 7, 31.1,⑮⑮⑭, 5, 5,Ｈブルｰデインヒル, 80,江田照, 0.4, 82,  -3,* 21,13,128.3, ⑮⑭
 6, 6,Ｍグランデミルク,  9,高嶋活, 0.4, 34, -17,* -6,13,166.6,   , 6,11, ショウナンダイチ,---,内田博, 0.8, 14, -59,   4, 1,  2.6, ⑤③, 6, 6,Ｄキングオブフェイス, 75,吉田豊, 1.9, 66,  -1,   7, 5, 15.6,⑧⑤⑥, 6, 2,Ｑムクドク, 75,田中博, 0.4, 82,   0,  17,14,137.7, ⑫⑫
 7, 7,Ｃスｰパｰアｰス, 41,江田照, 0.5, 32,* -7, -14, 5,  9.4,   , 7, 3, オメガキングティｰ,---,石橋脩, 0.9, 18, -65,  12, 4,  7.3, ⑪⑪, 7, 8,Ｆサｰノ, 72,中谷雄, 2.0, 71,   0,   8, 6, 24.7,⑪⑨⑦, 7,17,Ｆニシノステディｰ, 80,吉田豊, 0.5, 80,   5,  10, 7, 15.6, ⑧⑧
 8, 4,Ｌバクシンパワｰ, 18,嶋田純, 0.5, 32,  -9, -13, 3,  5.4,   , 8, 9, ヤギリハｰツ,---,嘉藤貴, 1.0, 14, -63,   7,11,103.6, ⑨⑩, 8, 2,Ｍトｰホウベスト, 65,西村太, 2.0, 62,*  1,   3,11, 68.2,①①①, 8, 8,Ｄダンスファンタジア, 80,北村宏, 0.5, 81,   7,   8, 6, 14.8, ⑦⑥
 9,11,Ｋドヴァラパｰラ, 27,嘉藤貴, 0.6, 31, -15, -10,12, 72.2,   , 9, 2, ケイアイホクトセイ,---,木幡初, 1.0, 12, -62,   6,10, 74.4, ⑦⑧, 9, 7,Ｌハイレイヤｰ, 65,杉原誠, 2.3, 65,  -3,   9,12, 72.2,⑩⑪⑪, 9,10,Ａミトラ, 86,松岡正, 0.6, 82,   0,  16, 1,  2.5, ⑭⑬
10, 8,Ｊコスモカリヨン, 29,柴田大, 0.7, 29,* -7, -17,10, 49.2,   ,10, 1, カズマイハｰト,---,江田照, 1.7,  3, -61,  -4, 8, 40.1, ⑥⑦,10, 9,Ｎダｰリブ, 64,大庭和, 2.4, 66,  -1,   5,14,103.6,⑨⑧⑨,10, 7,Ｋトゥザサミット, 79,大野拓, 0.6, 82,  -4,* 21, 8, 29.7, ⑰⑯
11, 2,Ｉミラクルチャンス, 32,西田雄, 0.8, 27, -13, -14, 9, 25.7,   ,11, 4, スノｰドロップ,---,柴田大, 1.8,  0,*-58, -14, 7, 15.0, ①①,11,13,Ｇマイネルティンラン, 70,柴田大, 2.4, 64,  -3,   8, 9, 56.4,⑫⑬⑬,11,14,Ｉトゥリオンファｰレ, 79,石橋脩, 0.7, 80,  -1,  16, 5, 13.9, ⑯⑰
12,13,Ｈカンタベリｰリュウ, 33,木幡初, 1.2, 20, -13, -20,11, 70.1,   ,,,,,,,,,,,,,12, 5,Ｋウマテック, 67,田中勝, 2.6, 62,  -1,   4, 8, 45.9,⑤⑦⑩,12, 3,Ｎサンヴァンサン, 77,杉原誠, 0.9, 76,   4,   7,12,108.7, ⑨⑨
13,10,Ｄグラスミッション, 41,大庭和, 3.2,-12, -24, -40, 7, 17.7,   ,,,,,,,,,,,,,13, 1,Ｈベジャｰルコｰド, 69,中舘英, 2.7, 60,  -1,   1,10, 64.0,④④⑤,13,12,Ｒラルティスタ, 73,川島信, 0.9, 79,  -8,* 21,11,102.4, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｏプライドキングダム, 60,川島信, 3.0, 61,  -4,   5,13, 72.5,⑭⑭⑮,14, 9,Ｐボｰダレスワｰルド, 75,大庭和, 1.1, 73,   4,   4,16,225.8, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｉエビデンス, 69,柴田善, 3.5, 57,  -3,  -1,15,298.3,⑬⑫⑫,15,16,Ｇユキノハリケｰン, 80,武士沢, 1.1, 72,* 10,  -5,10, 75.2, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｊモエレエタｰナル, 79,嶋田純, 1.4, 71,   0,   6,18,430.3, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｌマイネルエデン, 78,嘉藤貴, 1.5, 68,   6,  -5,15,146.4, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｏマイネルカリバｰン, 77,柴田大, 2.0, 62,* 12, -19, 9, 42.8, ①①
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-37 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,
単勝:470円 複勝:01=200円 05=270円 09=420円 枠連:930円,,,,,,,,,,,,"単勝:530円 複勝:07=180円 08=370円 06=1,000円 枠連:1,760円",,,,,,,,,,,,単勝:330円 複勝:14=130円 12=170円 10=130円 枠連:870円,,,,,,,,,,,,"単勝:840円 複勝:04=270円 11=190円 13=210円 枠連:1,730円",,,,,,,,,,,
"馬連:2,230円 ワイド:01-05=1,090円 01-09=2,030円 05-09=2,040円",,,,,,,,,,,,"馬連:1,990円 ワイド:07-08=840円 06-07=2,710円 06-08=4,870円",,,,,,,,,,,,馬連:970円 ワイド:12-14=440円 10-14=220円 10-12=470円,,,,,,,,,,,,"馬連:1,880円 ワイド:04-11=780円 04-13=970円 11-13=550円",,,,,,,,,,,
"馬単:3,960円 3連複:13,320円 3連単:55,900円",,,,,,,,,,,,"馬単:3,520円 3連複:27,420円 3連単:100,680円",,,,,,,,,,,,"馬単:1,840円 3連複:920円 3連単:5,570円",,,,,,,,,,,,"馬単:4,220円 3連複:3,880円 3連単:25,290円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,瓢湖特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂステップアヘッド, 67,西村太,, 67,   5,*  3, 5,  8.9,⑬⑪⑩, 1,13,Ｂラファダリ, 67,北村宏,, 65,* -1,* 11, 2,  3.3, ①①, 1, 4,Ｃカナロア, 75,北村宏,, 83,   2,* 21, 1,  2.9,⑤⑤⑤, 1,15,Ｆヴェイグストｰリｰ, 75,村田一,, 77,   2,* 11, 5, 13.7, ⑤③
 2, 4,Ａホクレアポパイ, 68,吉田豊, 0.0, 71,   8,*  1, 6,  9.6,⑫⑨⑨, 2, 6,Ａアルティメイトラブ, 70,村田一, 0.7, 59,* -2,   6, 1,  1.7, ②②, 2, 1,Ａマイネルメダリスト, 78,蛯名正, 0.2, 81,   2,* 18, 3,  4.2,⑥④④, 2,13,Ａゲンパチメジャｰ, 81,石橋脩, 0.0, 77,*  4,   9, 1,  3.0, ②②
 3,15,Ｄコスモマイギフト, 64,柴田大, 0.7, 63,  10, -11, 4,  7.9,⑥⑥⑤, 3, 1,Ｃケｰジｰヒトメボレ, 64,松岡正, 1.0, 56,  -9,* 10, 6, 22.4, ⑧⑧, 3, 6,Ｄセイクリッドロｰド, 72,内田博, 0.5, 77,*  3,  11, 2,  3.3,③②①, 3, 8,Ｃアルデュｰル, 78,内田博, 0.3, 74,   1,* 10, 2,  3.5, ⑥⑥
 4,13,Ｃセヴェルス, 65,川島信, 1.0, 62,* 10, -16, 2,  5.1,③③③, 4, 5,Ｅマイネベルヴィ, 61,柴田大, 1.1, 55,  -5,   5, 7, 26.8, ⑤③, 4, 5,Ｆウインフロレゾン, 68,大野拓, 0.7, 77,   1,  15, 6, 22.4,⑦⑧⑧, 4, 9,Ｂバトルドミンゴ, 79,江田照, 0.7, 70,*  6,   1, 6, 16.3, ①①
 5, 8,Ｆナイトホｰクス, 59,内田博, 2.0, 56,   8, -19, 1,  2.7,⑧⑧⑧, 5, 2,Ｄユキムスメ, 63,田中勝, 1.1, 56,  -4,   5, 5, 18.6, ⑥④, 5, 8,Ｂロｰレルジャブラニ, 76,松岡正, 0.9, 74,*  3,   5, 5,  9.7,②③③, 5, 2,Ｉデプロマトウショウ, 71,吉田豊, 1.1, 67,  -3,   6, 4, 11.7, ⑩⑩
 6, 6,Ｅグリｰンヴォルト, 60,武士沢, 2.3, 57,   7, -19,12,114.4,⑪⑩⑪, 6,10,Ｆメルティｰキス, 58,蛯名正, 1.2, 56,  -3,   4, 3, 11.9, ③⑤, 6, 3,Ｋミヤビエスペランサ, 53,田中博, 1.5, 70,  -1,   8,10,120.8,⑨⑪⑩, 6,12,Ｍアップタｰン, 62,川島信, 1.5, 64, -11,* 11,11, 63.7, ⑮⑬
 7,14,Ｈバックギャモン, 58,蛯名正, 2.4, 55,* 11, -27, 8, 18.6,⑤④④, 7, 4,Ｇシンフォニエッタ, 56,嶋田純, 1.3, 53, -11,   8, 8, 35.8, ⑨⑨, 7, 7,Ｅロｰリングストｰン, 71,石橋脩, 1.7, 66,   2,  -4, 4,  7.3,⑧⑦⑦, 7, 5,Ｅビッグヒｰロｰ, 75,中舘英, 1.6, 62,   2,  -2, 9, 53.0, ④⑤
 8, 9,Ｇランドシャｰク, 58,柴田善, 2.8, 51,   9, -29, 3,  7.1,④⑤⑥, 8,12,Ｈヒシアｰト, 54,柴田善, 1.8, 50, -14,   7, 9, 56.3, ⑫⑫, 8, 9,Ｇトミケンオウドウ, 65,木幡初, 2.0, 61,   2,  -8, 8, 45.2,④⑥⑥, 8, 6,Ｎシルキｰフェスタ, 57,西村太, 1.7, 60,  -5,   3,15,264.7, ⑫⑫
 9, 1,Ｉブレイブフォｰス, 53,木幡初, 2.9, 50,   8, -27, 7, 13.7,⑩⑦⑦, 9, 7,Ｉコｰルミｰ, 52,吉田豊, 1.8, 49, -14,   7, 4, 14.2, ⑪⑪, 9,11,Ｈウィズインカチドキ, 61,大庭和, 2.3, 61,  -2,  -2,11,337.7,⑩⑩⑪, 9,14,Ｄリュクスメジャｰ, 78,嶋田純, 1.8, 60, -11,   7, 3,  3.9, ⑭⑮
10, 5, ジツリキフォｰティ,---,北村宏, 3.4, 46,* 11, -38,11, 80.9,②②②,10, 9,Ｌキタサンプライド, 48,田中博, 2.4, 44, -17,   5,11, 93.2, ⑬⑬,10,10,Ｉクレバｰロッシｰ, 59,中舘英, 3.1, 52,*  5, -30, 7, 27.2,①①②,10, 1,Ｊカレンシュガｰレイ, 68,大野拓, 2.1, 58,  -4,  -1, 8, 37.6, ⑪⑨
11, 7,Ｌキネオタイガｰ, 48,江田照, 4.4, 41,* 12, -47, 9, 34.3,①①①,11, 8,Ｊオサキニシツレイ, 52,武士沢, 2.8, 42,  -5, -10,10, 72.2, ⑦⑦,11, 2,Ｊフリｰマン, 58,柴田大, 3.3, 51,   1, -22, 9,101.1,⑪⑨⑨,11,11,Ｌプリサイスファイン, 65,木幡初, 2.1, 58,  -2,  -3,12, 93.1, ⑧⑧
12, 3,Ｊデジタルウォッチ, 52,中舘英, 5.1, 37,   3, -35,10, 78.3,⑭⑬⑭,12, 3,Ｋトドロキテンシツｰ, 50,杉原誠, 2.8, 41,  -5, -10,12,236.1, ④⑥,,,,,,,,,,,,,12, 4,Ｈスマイルオブライフ, 71,中谷雄, 2.4, 58,   2, -10,10, 62.8, ③④
13,11,Ｎヒラボクゴｰルド, 39,嶋田純, 5.3, 37,   4, -40,14,173.5,⑨⑫⑫,13,11,Ｍカゼノエメラルド, 28,木幡初, 3.4, 35, -11,  -9,13,257.8, ⑩⑩,,,,,,,,,,,,,13, 7,Ｋノアノア, 65,柴田善, 2.4, 56,  -1,  -7,13,125.1, ⑦⑦
14, 2,Ｋユキノベアハｰト, 51,田中勝, 5.4, 36,   2, -36,13,114.7,⑦⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｇアイスメアｰ, 73,蛯名正, 2.7, 54,  -7,  -3, 7, 18.8, ⑬⑭
15,12,Ｍベルウッドテンプウ, 46,二本柳, 5.8, 35,   0, -37,15,392.9,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｏエリｰゼ, 40,柴田大, 5.4, 29,  -2, -32,14,166.3, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:890円 複勝:10=280円 04=230円 15=230円 枠連:2,860円",,,,,,,,,,,,単勝:330円 複勝:13=120円 06=110円 01=260円 枠連:220円,,,,,,,,,,,,単勝:290円 複勝:04=120円 01=140円 06=120円 枠連:640円,,,,,,,,,,,,"単勝:1,370円 複勝:15=280円 13=130円 08=140円 枠連:560円",,,,,,,,,,,
