15年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 7,Ｌプリンセチア, 48,蛯名正, 2.1, 49,   3, -23, 9, 37.7, ⑤⑤, 9,16,Ｄジェンツィアｰナ, 59,デムｰ, 0.9, 57,  -5,  -4, 2,  5.0, ⑭⑮, 9,13,Ｆモリミヤビ, 64,内田博, 1.4, 54,* 11, -22, 8, 20.3, ③③, 9, 4,Ｋヴァリアシオン, 70,デムｰ, 0.9, 68,   7,  -5,12, 54.8, ⑦⑨
10, 8,Ｏアイケｰビュｰティ, 41,嘉藤貴, 2.4, 47,   2, -23,15,277.6, ⑦⑦,10,13,Ｆポップスキャット, 58,北村宏, 0.9, 60,  -8,*  0, 8, 18.1, ⑱⑱,10,11,Ｋペイシャンスゼｰタ, 57,江田照, 1.7, 51,   4, -13,13,195.9, ⑬⑬,10,10,Ｆエルフショット, 74,柴山雄, 0.9, 72,   8,  -3,11, 45.8, ⑫⑩
11, 6,Ｆプラチナムスタング, 56,田辺裕, 2.4, 46,   0, -20, 7, 27.7, ⑧⑩,11, 4,Ｃロジナン, 60,大野拓, 1.0, 56,*  3, -22, 4,  9.2, ①①,11, 4,Ｇノンブルドｰル, 61,石橋脩, 1.8, 50,  11, -24,12, 99.2, ④④,11, 8,Ｈアメリカンダイナｰ, 71,三浦皇, 1.4, 64,* 14, -22, 7, 16.1, ①①
12,12,Ｎプルメリア, 47,武士沢, 2.5, 46,  -5, -12,12, 99.3, ⑯⑯,12, 9,Ｉレイニングバイオ, 55,江田照, 1.1, 54,  -5,  -7,13, 97.1, ⑯⑭,12,10,Ｉデルマシズカチャン, 58,松岡正, 2.2, 47,* 13, -32,11, 60.4, ①①,12,11,Ｅクラウンレガｰロ, 74,蛯名正, 1.4, 66,   8, -10, 3,  6.9, ⑪⑪
13, 5,Ｈポインテッドラン, 51,松岡正, 3.1, 40,   3, -32,10, 90.6, ④④,13,11,Ｑコスモミザｰル, 46,松岡正, 1.1, 57,   1, -18,16,199.3, ⑦⑥,13, 9,Ｈファンファｰレ, 60,二本柳, 2.3, 48,   6, -21,10, 43.0, ⑫⑫,13,13,Ｄアメリ, 74,内田博, 1.5, 63,  10, -16, 9, 16.8, ⑧⑧
14,16,Ｇココクイｰン, 53,内田博, 3.1, 43,  -3, -22,13,124.4, ⑫⑬,14,17,Ｐハヤブサゲッツ, 49,吉田豊, 1.6, 51,  -7, -12,15,172.1, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
15,11,Ｉヒュｰガライゼン, 51,三浦皇, 3.4, 40,*  5, -38, 4, 10.9, ①①,15,15,Ｏサンマｰシャル, 51,横山典, 1.8, 48,  -1, -21,12, 69.2, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｐダイメイバｰニング, 35,木幡初, 5.6, 29,  -4, -40,16,369.6, ⑭⑭,16,14,Ｍノアブギｰ, 53,武士沢, 1.8, 50,*  2, -29,17,240.5, ④④,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 3,Ｒサンブラジリア, 40,岩部純, 2.4, 41,  -1, -35,18,578.4, ⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,12,Ｌゼイロングトゥビｰ, 53,田中勝, 2.4, 43,  -3, -29,14,131.7, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,
単勝:150円 複勝:15=110円 02=300円 10=170円 枠連:330円,,,,,,,,,,,,"単勝:1,160円 複勝:06=390円 10=410円 08=1,410円 枠連:3,140円",,,,,,,,,,,,単勝:350円 複勝:02=150円 06=190円 01=310円 枠連:310円,,,,,,,,,,,,"単勝:730円 複勝:09=260円 12=320円 03=170円 枠連:1,530円",,,,,,,,,,,
"馬連:1,560円 ワイド:02-15=650円 10-15=250円 02-10=1,360円",,,,,,,,,,,,"馬連:4,120円 ワイド:06-10=1,210円 06-08=6,970円 08-10=11,330円",,,,,,,,,,,,"馬連:730円 ワイド:02-06=390円 01-02=760円 01-06=1,280円",,,,,,,,,,,,"馬連:5,250円 ワイド:09-12=1,640円 03-09=590円 03-12=950円",,,,,,,,,,,
"馬単:1,820円 3連複:2,220円 3連単:8,020円",,,,,,,,,,,,"馬単:6,360円 3連複:76,810円 3連単:389,740円",,,,,,,,,,,,"馬単:1,680円 3連複:3,330円 3連単:11,840円",,,,,,,,,,,,"馬単:8,490円 3連複:6,320円 3連単:49,110円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京王杯ｽﾌﾟﾘﾝｸﾞｶｯﾌﾟ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｋシルバｰジェニｰ, 48,戸崎圭,, 65,*  3,* -3, 4,  6.0, ①①, 1, 5,Ｄプレシャスメイト, 61,蛯名正,, 69,  -2,*  3, 2,  4.2,⑤⑥⑥, 1,10,Ａノッキングオン, 78,福永祐,, 73,*  0,* 10, 1,  2.7, ①①, 1,11,Ｅサクラゴスペル, 85,戸崎圭,, 87,   0,  15, 5,  8.7, ⑧⑩
 2, 2,Ｃマングジ, 62,柴山雄, 0.5, 59,   0,  -4, 1,  4.9, ③④, 2, 3,Ａヤギリヴィｰナス, 66,松岡正, 0.1, 67,* -1,  -2, 4,  5.8,④③③, 2,15,Ｉスズトラッド, 67,柴田大, 0.4, 69,* -2,   6,14,174.5, ③③, 2,15,Ｃヴァンセンヌ, 87,福永祐,13.2, 89,  -6,* 23, 2,  4.7, ⑯⑯
 3,13,Ｆシンボリセザンヌ, 55,三浦皇, 0.6, 61,*  1,  -6, 7, 14.2, ④③, 3, 2,Ｅレッドマジュｰル, 59,柴田善, 0.1, 67,  -3,*  3, 6, 10.8,⑦⑤⑤, 3, 9,Ｃダイチヴュルデ, 71,戸崎圭, 0.5, 69,  -3,   9, 2,  4.1, ⑦⑦, 3, 8,Ｂオメガヴェンデッタ, 87,横山典,13.3, 83,   4,   8, 7, 18.6, ②②
 4, 6,Ｄパイロスタｰ, 61,田中勝, 0.7, 59,  -2,  -3, 6,  9.7, ⑥⑧, 4,14,Ｃラセレシオン, 61,柴山雄, 0.4, 63,  -6,*  1, 1,  3.7,⑥⑧⑧, 4,12,Ｅブルｰミｰフラワｰ, 68,内田博, 0.8, 65,* -1,   3, 4,  6.8, ②②, 4,10,Ｌブレイズアトレイル, 81,田中勝,13.3, 86,   2,  11,10, 42.9, ⑦⑥
 5,16,Ｅギンガメテオｰル, 57,柴田善, 0.7, 57,  -4,* -1, 5,  8.6, ⑫⑫, 5,13,Ｈパｰルヴァティｰ, 58,ルメｰ, 0.5, 59,* -1,  -9, 3,  5.8,②②②, 5, 3,Ｊエジル, 66,北村宏, 0.8, 66,  -3,   4, 6, 17.4, ④④, 5, 7,Ｐダンスアミｰガ, 78,石橋脩,13.3, 85,   4,   8,11, 51.2, ①①
 6, 8,Ｂシュネルシュタルク, 62,木幡初, 0.9, 59,*  2, -10, 2,  5.4, ②②, 6, 4,Ｉピンクシャンパン, 56,北村宏, 0.6, 64,  -5,   0, 7, 25.4,⑨⑨⑦, 6, 4,Ｆサマｰラヴ, 67,柴山雄, 0.8, 66,  -5,   8, 7, 18.7, ⑩⑨, 6, 9,Ｄサトノルパン, 86,ルメｰ,13.4, 85,  -1,  14, 3,  6.0, ⑪⑧
 7, 3,Ｈエンパイアサンデｰ, 51,吉田豊, 1.2, 52,  -5,* -3,10, 30.4, ⑭⑬, 7,15,Ｎタカラオウヒ, 47,嘉藤貴, 0.7, 62,  -6,*  2,18,423.8,⑰⑫⑩, 7, 7,Ｌコンテベルデ, 64,武士沢, 0.8, 67,  -7,* 10,15,283.5, ⑭⑫, 7, 4,Ｍエｰルブリｰズ, 79,柴田大,13.4, 84,   0,  11, 8, 19.9, ⑤⑤
 8,11,Ａグリｰングリｰン, 64,江田照, 1.6, 51,   0, -13, 3,  5.6, ⑤⑤, 8,16,Ｊアンドトゥモロｰ, 51,福永祐, 1.0, 57,  -8,   0,11, 42.3,⑪⑭⑬, 8, 2,Ｇモリトハリウッド, 67,吉田豊, 0.9, 65,  -7,*  9, 8, 24.5, ⑫⑪, 8,18,Ｎショウナンアチｰヴ, 78,柴田善,13.4, 83,   3,   8,16,125.6, ④③
 9,12,Ｇルパン, 55,武士沢, 1.7, 51,  -2, -10,11, 34.4, ⑩⑩, 9,18,Ｋサトノハンナ, 50,田中勝, 1.1, 55,* -1, -16,13, 82.6,③④④, 9,13,Ｂフジノゴトク, 73,松岡正, 0.9, 65,  -8,* 11, 3,  6.6, ⑯⑮, 9, 5,Ｊタガノブルグ, 82,大野拓,13.5, 85,  -3,  15,14, 88.9, ⑬⑫
10, 1,Ｊラブレジェンド, 48,横山典, 1.8, 48,  -5,  -8,12, 36.5, ⑮⑭,10,12,Ｆカリオペイア, 59,吉田豊, 1.3, 57,  -9,  -1, 8, 30.6,⑯⑯⑯,10, 8,Ｄパトロクロス, 69,田辺裕, 1.3, 63,  -8,   9, 5,  8.2, ⑮⑯,10,13,Ｆダイワマッジョｰレ, 85,デムｰ,13.5, 84,  -3,  15, 1,  3.6, ⑮⑪
11,15,Ｉレッドグロワｰル, 49,蛯名正, 1.8, 50,  -8,  -4, 9, 22.2, ⑯⑯,11,11,Ｏラプンツェルダンス, 44,江田照, 1.4, 48,*  0, -25,16,192.2,①①①,11, 1,Ｐカシノレント, 59,嘉藤貴, 1.7, 58,  -4,  -2,16,294.7, ⑧⑧,11, 6,Ｏアフォｰド, 78,蛯名正,13.5, 84,   0,  11,13, 62.9, ⑨⑨
12,10,Ｍチャンピオンムｰン, 46,浜中俊, 2.0, 48,   0, -18,15,205.4, ⑦⑥,12, 8,Ｌアルマニンファ, 49,内田博, 1.5, 53,  -9,  -6,12, 42.6,⑬⑮⑭,12, 6,Ｏカプチｰノ, 60,石橋脩, 1.8, 57,  -2,  -4,13,171.6, ⑥⑥,12, 2,Ａダンスディレクタｰ, 89,浜中俊,13.5, 84,   1,  11, 4,  6.4, ⑥⑦
13, 5,Ｌアキトホウオウ, 46,西村太, 2.2, 47,  -2, -15,13, 42.5, ⑨⑨,13, 7,Ｇラムレイ, 58,デムｰ, 1.5, 49,  -7, -12, 5, 10.0,⑧⑩⑪,13,14,Ｈケンブリッジベスト, 67,江田照, 2.1, 56,  -8,   0, 9, 47.6, ⑬⑭,13,12,Ｉニシノビｰクイック, 82,北村宏,13.7, 82,  -4,  12,17,220.9, ⑫⑬
14, 7, ステラグランデ,---,田辺裕, 2.4, 45,  -4, -15, 8, 18.6, ⑪⑪,14,10,Ｍネコハッピｰ, 48,戸崎圭, 1.9, 47,  -6, -18,10, 41.0,⑩⑪⑫,14, 5,Ｎカシノシュウセイ, 60,二本柳, 2.2, 55,  -5,  -4,12, 92.1, ⑪⑩,14, 3,Ｑウインマｰレライ, 76,松岡正,13.9, 78,   2,   3, 9, 28.3, ③④
15,14,Ｎロｰエンナルビｰ, 40,嘉藤貴, 4.3, 32,  -5, -28,16,464.9, ⑬⑮,15, 9,Ｑスタｰウインド, 41,木幡初, 2.0, 50, -15,  -2,15,172.1,⑮⑱⑱,15,11,Ｋウインドストリｰム, 65,大野拓, 2.5, 52,  -2, -11,10, 50.6, ⑤⑤,15,16,Ｈバクシンテイオｰ, 83,田辺裕,14.0, 78,  -2,   7,12, 56.0, ⑩⑭
16, 4,Ｏシンフォニｰタクト, 33,北村宏, 4.4, 30,  -3, -35,14, 69.2, ⑧⑦,16, 1, ダブルヨウコ,---,田辺裕, 2.0, 48, -11,  -9,14, 85.7,⑱⑰⑰,16,16,Ｍパイレｰトクイｰン, 64,柴田善, 3.1, 48,  -8,  -8,11, 79.4, ⑨⑬,16,17,Ｇクラリティシチｰ, 84,三浦皇,14.0, 80,  -7,  13, 6, 12.5, ⑱⑱
,,,,,,,,,,,,17, 6,Ｐエアリｰチュｰン, 43,大野拓, 2.2, 46,  -9, -16,17,206.6,⑫⑬⑮,,,,,,,,,,,,,17, 1,Ｒインプレスウィナｰ, 73,吉田豊,14.2, 77,  -5,   8,18,332.3, ⑰⑮
,,,,,,,,,,,,18,17,Ｂレオアルテミス, 63,横山典, 2.8, 36,  -5, -34, 9, 36.6,⑭⑦⑨,,,,,,,,,,,,,18,14,Ｋプリンセスメモリｰ, 81,内田博,14.3, 77,  -4,   8,15, 99.7, ⑭⑰
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:600円 複勝:09=270円 02=170円 13=390円 枠連:1,560円",,,,,,,,,,,,単勝:420円 複勝:05=150円 03=200円 02=230円 枠連:970円,,,,,,,,,,,,"単勝:270円 複勝:10=130円 15=1,620円 09=160円 枠連:3,630円",,,,,,,,,,,,単勝:870円 複勝:11=320円 15=210円 08=510円 枠連:970円,,,,,,,,,,,
"馬連:1,610円 ワイド:02-09=710円 09-13=2,180円 02-13=1,250円",,,,,,,,,,,,"馬連:1,420円 ワイド:03-05=460円 02-05=540円 02-03=970円",,,,,,,,,,,,"馬連:19,080円 ワイド:10-15=5,050円 09-10=270円 09-15=6,640円",,,,,,,,,,,,"馬連:2,630円 ワイド:11-15=1,110円 08-11=2,480円 08-15=1,910円",,,,,,,,,,,
"馬単:3,300円 3連複:9,680円 3連単:43,430円",,,,,,,,,,,,"馬単:2,590円 3連複:2,920円 3連単:13,420円",,,,,,,,,,,,"馬単:23,530円 3連複:22,700円 3連単:132,300円",,,,,,,,,,,,"馬単:4,950円 3連複:16,010円 3連単:83,940円",,,,,,,,,,,
■ 3R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  ダ1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,夏木立賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇシャドウチェイサｰ, 60,ルメｰ,, 67,*  5,*  2, 3,  4.8, ①①, 1, 4,Ｄクワドルｰプル, 71,蛯名正,, 74,   6,*  9, 2,  4.5, ⑧⑧, 1, 6,Ｇキャンベルジュニア, 67,内田博,, 77,  11,*  3, 2,  4.1,③③④, 1,14,Ｈメガオパｰルカフェ, 76,蛯名正,, 76,   8,   8, 4,  7.7, ⑥⑤
 2, 2,Ｂクラウンシャイン, 64,三浦皇, 0.5, 65,   3,   1, 1,  2.5, ⑥⑥, 2, 9,Ｃラディカル, 71,福永祐, 0.3, 71,   4,*  8, 1,  1.9, ⑨⑨, 2,10,Ｂキングカラカウア, 77,ルメｰ, 0.0, 77,  10,*  6, 1,  3.7,⑤⑤⑥, 2, 3,Ｂラジオデイズ, 82,内田博, 0.0, 76,   5,  13, 1,  3.7, ⑦⑦
 3,12,Ａクワッドアクセル, 65,田辺裕, 0.6, 63,   0,*  4, 5, 11.5, ⑪⑪, 3, 6,Ｂグラスエトワｰル, 73,木幡初, 0.4, 73,* 10,  -1, 4, 12.8, ②②, 3, 8,Ａポトマックリバｰ, 78,北村宏, 0.0, 78,* 13,   0, 3,  5.5,⑨⑦③, 3, 1,Ｃハコダテナイト, 81,田辺裕, 0.2, 74,   4,  13, 3,  5.0, ⑨⑧
 4,11,Ｈレベニュｰ, 59,北村宏, 0.8, 63,   2,   0, 7, 20.1, ⑦⑦, 4, 1,Ｈリンガスヴィグラス, 68,柴田善, 0.4, 71,   8,   2, 6, 16.3, ④④, 4, 5,Ｃスプレンデレ, 75,福永祐, 0.2, 75,  12,   2, 4,  5.6,④④⑤, 4,10,Ｉヤンキｰソヴリン, 76,木幡初, 0.2, 77,   5,  12,12,121.0, ⑧⑨
 5, 8,Ｅアドマイヤドラゴン, 62,柴田善, 1.1, 59,  -1,*  2, 4,  6.8, ⑫⑫, 5,14,Ｉカフジオリオン, 68,田中勝, 0.7, 69,   8,  -1, 7, 18.8, ⑥⑤, 5, 4,Ｈプエルト, 63,デムｰ, 1.1, 65,   8,  -6, 8, 20.9,⑦⑧⑧, 5, 9,Ａニットウビクトリｰ, 83,柴田善, 0.2, 75,   2,* 17, 8, 16.4, ⑪⑪
 6, 5,Ｉレッドサヴァｰジ, 54,蛯名正, 1.2, 59,   1,  -3, 6, 15.5, ⑧⑧, 6, 7,Ｆアサマ, 69,西村太, 0.7, 67,  -1,* 12,11, 36.1, ⑮⑮, 6,11,Ｋコスモボアソルテ, 55,柴田大, 1.3, 65,  10, -11,11,289.7,⑥⑥⑦, 6, 8,Ｊマｰブルケｰキ, 74,ルメｰ, 0.2, 74,   6,   9, 7, 15.7, ⑤⑥
 7, 9,Ｄウイズキッド, 63,松岡正, 1.2, 56,*  4,  -8, 2,  4.2, ②②, 7,11,Ａオｰロラッシュ, 73,吉田豊, 0.9, 65,   1,   8, 3,  9.5, ⑭⑬, 7, 1,Ｆヴァンガｰドシチｰ, 67,戸崎圭, 1.6, 60,* 12, -25, 5,  7.7,①①①, 7, 7,Ｆトウカイビジョン, 78,福永祐, 0.3, 73,*  9,   5, 2,  3.8, ③③
 8, 7,Ｆセイウンアサヒ, 61,内田博, 1.6, 55,   3, -11, 8, 37.3, ④③, 8,10,Ｌアルノルフィｰニ, 63,武士沢, 1.0, 65,   1,   7,14,137.3, ⑬⑭, 8, 7,Ｉダイワコンプリｰト, 62,柴田善, 1.6, 62,   7,  -8,10,102.1,⑧⑨⑩, 8,16,Ｌマズルファイヤｰ, 73,デムｰ, 0.3, 71,   8,   6, 6, 11.2, ④④
 9, 4,Ｋパパラヴズマンボ, 51,江田照, 2.0, 52,   4, -13,11,140.6, ③④, 9, 5,Ｇジョリｰアップ, 69,嘉藤貴, 1.1, 66,* 11,  -9,10, 35.8, ①①, 9, 3,Ｄシリｰシンフォニｰ, 69,蛯名正, 1.6, 63,   8, -13, 6,  9.4,⑩⑩⑨, 9,15,Ｅメイショウオオカゼ, 79,浜中俊, 0.5, 71,*  9,   2, 5,  9.4, ②②
10,10,Ｌメモリアルウッド, 47,嘉藤貴, 2.7, 47,   0, -14,12,359.4, ⑩⑩,10, 3,Ｏソリッドアクシス, 58,内田博, 1.6, 61,   3,  -1,13,121.9, ⑪⑪,10, 2,Ｅトｰセンカナロア, 67,大野拓, 1.6, 61,* 13, -23, 7, 13.3,②②②,10, 5,Ｋビットアレグロ, 74,北村宏, 0.5, 75,   1,* 17,14,214.7, ⑬⑬
11, 6,Ｊリシｰハット, 53,柴田大, 3.2, 45,   3, -23, 9, 56.2, ⑤⑤,11,12,Ｅショウサンカｰズ, 70,デムｰ, 1.8, 58,   7, -10, 9, 29.9, ⑤⑥,11, 9,Ｊギンパリ, 60,武士沢, 2.1, 60,   7, -16, 9, 66.0,⑪⑪⑪,11,11,Ｇブルｰボサノヴァ, 76,柴田大, 1.1, 72,  -4,* 18,15,237.7, ⑮⑮
12,13,Ｍニｰマルゴｰルド, 42,吉田豊, 4.1, 36,   1, -28,10, 75.1, ⑨⑨,12,15,Ｊハッピｰサｰクル, 66,戸崎圭, 2.0, 56,   5, -10, 5, 15.4, ⑦⑦,,,,,,,,,,,,,12,13,Ｎフランチャイズ, 71,松岡正, 1.2, 66,   3,   5,13,131.9, ⑩⑩
,,,,,,,,,,,,13,16,Ｍタイセイストｰム, 62,三浦皇, 3.3, 46,  -6,  -5, 8, 28.6, ⑯⑯,,,,,,,,,,,,,13, 4,Ｏディｰプサウンド, 71,吉田豊, 1.3, 66,   1,   9,11,115.1, ⑫⑫
