15年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 5,Ｉアクアブルｰパサｰ, 54,国分優, 1.3, 53,  -1,  -5, 4, 11.0, ⑦⑦, 9,11,Ｇウインユニファイド, 63,松山弘, 2.5, 57,  -1,  -2, 9, 87.2,⑩⑩⑪, 9, 1,Ｆヒラリアス, 64,中井裕, 2.9, 52,  -1, -16, 7, 58.8,③⑤⑥, 9, 7,Ｄマイネアルナイル, 83,松山弘, 1.0, 84,  17,  -2,11, 48.6,⑬⑫⑫
10,11,Ｎリミットレス, 41,秋山真, 1.4, 52,  -8,*  2,12,121.8, ⑪⑩,10, 8,Ｊリヴゴｰシュ, 60,川島信, 2.5, 58,  -1,  -2,11,148.0,⑧⑪⑩,,,,,,,,,,,,,10, 1,Ｇフェデラルホｰル, 81,浜中俊, 1.2, 78,* 24, -29, 5, 10.3,①①①
11, 4,Ｆディプロイディ, 57,高倉稜, 1.9, 49, -10,  -1, 8, 47.0, ⑮⑮,11, 1,Ｋテイエムグンカン, 56,田中健, 2.6, 54,   2, -10, 6, 19.7,⑤⑥⑥,,,,,,,,,,,,,11, 5,Ｊツルミプラチナム, 79,荻野琢, 1.6, 77,  17, -12,13,213.4,⑩⑩⑪
12, 6,Ｋグロビュｰル, 51,東川公, 2.0, 47,  -9,  -3,13,186.7, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,12,10,Ｍエｰシンマックス, 74,和田竜, 2.3, 72,* 23, -38, 9, 23.2,④④③
13,12,Ｌワｰルドカップ, 42,佐久間, 2.0, 47,  -8,  -4,15,260.7, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｌダイシンブラック, 74,シュタ, 3.6, 66,  21, -55,12, 49.3,②②⑥
14,15,Ｊサトノギアス, 53,小崎綾, 2.3, 44, -10,  -4,10, 71.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Ｐサイクルヒッタｰ, 36,川島信, 2.8, 43, -12,  -5,16,340.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 3,Ｏタガノハｰデス, 39,和田竜, 3.5, 35,  -7, -18,14,218.6, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:3),,,,,,,,,,,
単勝:250円 複勝:07=110円 08=110円 14=230円 枠連:270円,,,,,,,,,,,,"単勝:170円 複勝:03=110円 04=140円 07=1,150円 枠連:380円",,,,,,,,,,,,単勝:210円 複勝:05=120円 09=150円 08=130円 枠連:250円,,,,,,,,,,,,"単勝:510円 複勝:08=150円 06=170円 11=130円 枠連:1,080円",,,,,,,,,,,
馬連:280円 ワイド:07-08=140円 07-14=490円 08-14=470円,,,,,,,,,,,,"馬連:400円 ワイド:03-04=190円 03-07=2,380円 04-07=3,560円",,,,,,,,,,,,"馬連:1,010円 ワイド:05-09=360円 05-08=190円 08-09=320円",,,,,,,,,,,,"馬連:2,150円 ワイド:06-08=590円 08-11=330円 06-11=370円",,,,,,,,,,,
"馬単:540円 3連複:1,000円 3連単:2,850円",,,,,,,,,,,,"馬単:600円 3連複:7,840円 3連単:18,280円",,,,,,,,,,,,"馬単:1,350円 3連複:690円 3連単:3,480円",,,,,,,,,,,,"馬単:4,270円 3連複:1,840円 3連単:13,790円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｼﾙｸﾛｰﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａトップディｰヴォ, 73,四位洋,, 70,*  2,*  0, 1,  1.4,⑦④③, 1, 5, オメガゴｰルドレイ,---,岩田康,, 52, -24,*  6, 2,  3.9,⑤⑤④, 1, 6,Ｃラフジェントリｰ, 74,岩田康,, 78,*  7,*  7, 4,  6.6, ①①, 1, 3,Ｂアンバルブライベン, 88,田中健,, 95,* 17,   7, 2,  4.4, ①①
 2, 7,Ｇタイガｰボス, 53,幸英明, 0.4, 62,  -1,*  1, 9, 79.1,⑪⑨⑧, 2,12, アグネスエｰデル,---,小崎綾, 0.0, 49,*-21,   1, 3,  5.0,①①①, 2,11,Ｄジェネシスロック, 73,北村友, 0.4, 74,   1,*  9, 2,  3.8, ⑦⑧, 2, 2,Ｄサドンストｰム, 87,国分優, 0.1, 88,   6,* 16, 3,  6.7, ⑬⑪
 3,11,Ｋカラｰラビアンコ, 46,岩田康, 0.4, 62,   1,  -2, 7, 35.4,⑨⑦⑤, 3, 3, サンライズフルｰル,---,藤懸貴, 0.2, 51, -24,*  4, 7, 33.0,②③③, 3, 3,Ｅヤマニンブルジョン, 71,浜中俊, 0.7, 73,   4,   3, 3,  4.7, ⑤⑤, 3,15,Ｈセイコｰライコウ, 86,藤岡康, 0.2, 86,   3,* 19,12, 36.7, ⑰⑭
 4, 6,Ｂナムラハンベエ, 64,和田竜, 0.7, 60,   1,  -5, 2,  5.7,⑤⑥④, 4,10, ワイドグロｰリｰ,---,松山弘, 0.4, 48,*-23,  -2, 4, 13.9,③②②, 4,10,Ｂテイクファイア, 74,幸英明, 0.8, 71,*  6,   1, 1,  3.5, ②②, 4, 7,Ｉベステゲシェンク, 84,川田将, 0.2, 87,   5,* 16, 4, 10.7, ⑭⑮
 5, 5,Ｈユウキエナｰジｰ, 51,国分優, 1.0, 57,  -1,  -3,10, 97.1,⑥⑧⑨, 5, 1, ブライアロｰズ,---,シュタ, 0.6, 46, -24,  -1, 6, 20.0,④④⑤, 5, 5,Ｆボｰルドジャパン, 69,川田将, 0.9, 70,   0,   5, 6, 11.9, ⑧⑦, 5, 4,Ｊバクシンテイオｰ, 84,シュタ, 0.3, 87,  10,   9, 6, 12.3, ⑨⑥
 6,10,Ｆワンダｰプレジｰル, 53,小牧太, 1.2, 57,*  2, -11, 8, 51.1,②②②, 6, 6, レパｰドクリフ,---,川田将, 0.9, 42, -25,  -4, 1,  1.9,⑦⑦⑦, 6, 9,Ｋハルコマチ, 63,勝浦正, 1.2, 67,  -4,   6,10, 88.1, ⑪⑪, 6, 6,Ｏブルｰストｰン, 79,川島信, 0.3, 88,  12,   8,16, 76.9, ⑥⑦
 7, 2,Ｅビクトリｰミノル, 54,藤岡康, 1.3, 54,  -2,  -5, 6, 31.6,⑩⑪⑩, 7, 8, ゼンノアヴィット,---,秋山真, 1.1, 39, -25,  -5, 5, 18.3,⑥⑥⑥, 7, 7,Ｉロｰドメビウス, 64,和田竜, 1.2, 68,   3,   0, 7, 18.2, ⑥⑥, 7, 1,Ｃヘニｰハウンド, 88,浜中俊, 0.5, 86,  14,   3, 9, 18.9, ④③
 8,13,Ｃツｰエムカイザｰ, 63,秋山真, 1.3, 54,*  3, -13, 3,  8.1,①①①, 8,11, アルランピｰド,---,勝浦正, 1.2, 41, -27,  -4, 9, 47.2,⑨⑨⑨, 8, 2,Ａドンマネｰ, 74,小崎綾, 1.4, 65,  -3,   3, 5,  7.3, ⑩⑨, 8,12,Ｎスギノエンデバｰ, 81,幸英明, 0.7, 80,   4,  11,17, 93.1, ⑯⑯
 9, 3,Ｉアンリオ, 47,浜中俊, 2.0, 51,   1, -16, 5, 19.5,④⑤⑥, 9, 2, クレイヴソリッシュ,---,幸英明, 1.4, 37, -27,  -7,10, 47.9,⑧⑧⑧, 9, 4,Ｊデルマアラレチャン, 64,城戸義, 1.6, 64,  -3,   1, 8, 33.0, ⑨⑩, 9, 9,Ａエイシンブルズアイ, 91,秋山真, 0.8, 81,  10,   3, 1,  3.9, ⑧⑨
10,12,Ｊメモリｰデシジョン, 46,古川吉, 3.2, 43,   1, -27, 4, 12.4,③③⑦,10, 9, スズカノｰチラス,---,川島信, 1.4, 42, -29,   0,12,138.3,⑩⑪⑩,10, 1,Ｇサｰシスリｰフ, 68,シュタ, 2.0, 60,   4,  -8, 9, 53.3, ④④,10,11,Ｅルナフォンタｰナ, 87,岩田康, 0.9, 78,   6,   5, 7, 14.3, ⑫⑬
11, 1,Ｍゼｰレ, 32,酒井学, 4.0, 40,  -2, -26,11,139.1,⑧⑩⑪,11, 4, イイデサンキュｰ,---,松田大, 1.4, 40, -28,  -3, 8, 47.0,⑪⑩⑪,11,12,Ｈクリノツネチャン, 65,鮫島良, 2.2, 59,*  5, -11,12,220.8, ③③,11,10,Ｌマジンプロスパｰ, 83,北村友, 1.0, 80,  14,  -4,14, 66.0, ⑤④
12, 9,Ｄロｰランレｰヴ, 59,義英真, 5.0, 32,  -6, -29,13,292.4,⑬⑬⑬,12, 7, カリスマサンバゴ,---,岡田祥, 3.2, 17, -29, -25,11,127.0,⑫⑫⑫,12, 8,Ｌクリノロブソン, 58,国分優, 2.5, 56,  -6,  -2,11,184.7, ⑫⑫,12,14,Ｋベルカント, 83,藤岡佑, 1.3, 76,* 16,  -9, 5, 11.5, ③⑤
13, 4,Ｌシゲルケンカマツリ, 38,高倉稜, 6.4, 28,  -5, -42,12,156.6,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｆカオスモス, 87,池添謙, 1.4, 73,  13,  -8, 8, 18.1, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｑホウライアキコ, 72,和田竜, 1.4, 73,   9,  -4,10, 21.0, ⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,Ｍメイショウツガル, 82,古川吉, 1.5, 70,   5,  -1,13, 60.6, ⑮⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｇワキノブレイブ, 86,四位洋, 1.5, 71,   8,  -4,11, 23.8, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｐニザエモン, 79,松山弘, 1.6, 74,* 17, -15,15, 72.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,
単勝:140円 複勝:08=110円 07=930円 11=590円 枠連:300円,,,,,,,,,,,,単勝:390円 複勝:05=200円 12=200円 03=670円 枠連:360円,,,,,,,,,,,,単勝:660円 複勝:06=190円 11=160円 03=160円 枠連:880円,,,,,,,,,,,,単勝:440円 複勝:03=180円 02=220円 15=780円 枠連:890円,,,,,,,,,,,
"馬連:2,930円 ワイド:07-08=1,250円 08-11=700円 07-11=9,130円",,,,,,,,,,,,"馬連:1,280円 ワイド:05-12=450円 03-05=1,670円 03-12=1,610円",,,,,,,,,,,,"馬連:1,510円 ワイド:06-11=540円 03-06=420円 03-11=470円",,,,,,,,,,,,"馬連:1,620円 ワイド:02-03=670円 03-15=2,780円 02-15=4,260円",,,,,,,,,,,
"馬単:3,640円 3連複:15,640円 3連単:45,070円",,,,,,,,,,,,"馬単:2,320円 3連複:8,970円 3連単:32,270円",,,,,,,,,,,,"馬単:3,230円 3連複:2,010円 3連単:13,230円",,,,,,,,,,,,"馬単:2,980円 3連複:21,400円 3連単:80,310円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,稲荷特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃフミノミニスタｰ, 61,藤岡佑,, 63,*  3,   2, 5, 14.1, ①①, 1,11,Ａヤマカツエｰス, 71,池添謙,, 70,  -4,*  6, 4,  6.4, ⑦⑧, 1, 7,Ｂキングストｰン, 80,岩田康,, 83,* -5,  19, 1,  1.5,①①①, 1, 2,Ａチェスナットバロン, 86,小牧太,, 81,  -1,* 20, 1,  3.4,⑤⑦⑦
 2, 9,Ｄビｰチパラソル, 58,小崎綾, 0.1, 64,  -2,*  7, 2,  4.2, ⑧⑥, 2, 1,Ｃキッズライトオン, 69,勝浦正, 0.2, 68,  -3,   2, 3,  5.8, ④③, 2, 4,Ｅオウケンブラック, 77,川田将, 0.2, 82,* -6,  18, 4,  8.6,②②②, 2, 4,Ｇメイショウソラｰレ, 78,藤岡佑, 0.1, 78,   0,* 18, 4,  7.4,④⑤③
 3,10,Ｅスｰサンジョイ, 58,和田竜, 0.5, 61,*  2,  -2, 3,  6.5, ③③, 3, 9,Ｂクイｰンズタｰフ, 70,岩田康, 0.2, 69,  -7,*  6, 2,  3.9, ⑧⑨, 3, 3,Ｄベルニｰニ, 77,幸英明, 0.3, 82,  -8,  19, 3,  6.8,③③③, 3,10,Ｄベストリガｰズ, 79,岡田祥, 0.4, 78,*  2,  10, 2,  3.6,①①①
 4, 4,Ｆテイエムジョウネツ, 57,田中健, 0.6, 61,  -3,*  5,11, 69.0, ⑨⑨, 4,10,Ｆブラッククロｰバｰ, 63,和田竜, 0.5, 63,* -1,  -5, 7, 11.4, ②②, 4, 1,Ｆトニｰポケット, 76,シュタ, 0.5, 80,  -8,  18, 6, 34.5,⑤⑤⑤, 4, 8,Ｂスズカルパン, 83,和田竜, 0.4, 79,   0,  14, 5,  8.2,⑥⑥④
 5, 7,Ａシルバｰソｰド, 65,松山弘, 0.7, 59,*  2,  -3, 1,  2.3, ②②, 5, 6,Ｋウインバニラスカイ, 57,シュタ, 0.5, 63,*  1,  -7, 8, 23.5, ①①, 5, 2,Ｇメイショウテッサイ, 73,藤岡佑, 0.5, 80,  -9,* 21, 8, 56.3,⑦⑦⑥, 5, 5,Ｃグレンガイル, 82,四位洋, 0.4, 82,*  1,  12, 3,  4.2,⑦③②
 6, 8,Ｋナリタノヘア, 49,城戸義, 0.9, 58,   1,  -3,13,177.1, ④④, 6, 5,Ｉウインソワレ, 61,松山弘, 0.5, 66,  -6,   1, 1,  3.5, ⑨⑦, 6, 6,Ｃカッパドキア, 78,松田大, 0.7, 81, -10,* 21, 5, 11.2,⑧⑧⑧, 6, 7,Ｋナムラドキョウ, 61,古川吉, 0.9, 74,  -1,  12, 7, 20.4,⑧⑧⑥
 7, 5,Ｇナムラヒュｰマン, 57,小牧太, 1.1, 56,  -2,  -2, 6, 14.4, ⑥⑦, 7, 3,Ｄテイエムダンシング, 66,小崎綾, 0.6, 61,  -3,  -4, 9, 30.0, ⑤④, 7, 5,Ｈシュピッツェ, 72,勝浦正, 0.8, 76,  -9,  15, 7, 38.9,⑥⑥⑦, 7, 3,Ｅロゼッタストｰン, 79,小崎綾, 1.3, 71,  -2,  10, 8, 26.8,⑨⑨⑪
 8,14,Ｂソルフェジオ, 63,岩田康, 1.4, 54,  -1,  -4, 4,  7.2, ⑦⑧, 8, 7,Ｇネイチャｰクルｰズ, 63,佐藤友, 0.7, 64, -11,   5,11,279.2, ⑪⑪, 8, 8,Ａサンライズタイセイ, 83,浜中俊, 0.9, 73,  -8,  11, 2,  5.6,④④④, 8, 6,Ｆシゲルモトナリ, 79,幸英明, 1.5, 70,  -2,   9,11,109.5,⑩⑩⑧
 9,11,Ｈキングヴァラｰル, 57,義英真, 1.5, 52,   0,  -8, 8, 37.2, ⑤⑤, 9, 8,Ｅドルメロ, 65,四位洋, 0.9, 59,  -3,  -7, 5,  8.9, ⑥⑥,,,,,,,,,,,,, 9, 1,Ｊテイエムボッケモン, 67,田中健, 1.5, 70,  -2,   9,10, 53.3,⑪⑪⑩
10, 1,Ｊボストンマリ, 51,幸英明, 1.5, 53,  -4,  -1,10, 42.1, ⑬⑫,10, 2,Ｊキモンイｰグル, 60,東川公, 1.0, 60,  -7,  -2,10,101.7, ⑩⑩,,,,,,,,,,,,,10,11,Ｉタガノコルコバｰド, 73,城戸義, 1.6, 69,*  1,   3, 9, 48.4,③④⑤
11, 3,Ｌテイエムトラネコ, 44,花田大, 1.9, 50,  -6,  -3, 7, 22.9, ⑭⑭,11, 4,Ｈカノヤカンザクラ, 62,小牧太, 1.6, 49,  -2, -19, 6,  9.9, ③⑤,,,,,,,,,,,,,11, 9,Ｈショウナンマオ, 78,池添謙, 7.5, 30,*  1, -49, 6, 16.4,②②⑨
12, 2,Ｉメイショウコウテン, 51,竹之下, 2.5, 45,  -4, -11,14,250.7, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Ｎダンスアンドボイス, 33,酒井学, 3.0, 41,  -4, -16,12, 87.9, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 6,Ｍマックスムｰヴァ, 41,浜中俊, 3.2, 39,  -3, -18, 9, 38.9, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-3),,,,,,,,,,,
"単勝:1,410円 複勝:12=340円 09=180円 10=210円 枠連:1,060円",,,,,,,,,,,,"単勝:640円 複勝:11=180円 01=170円 09=160円 枠連:1,000円",,,,,,,,,,,,単勝:150円 複勝:07=110円 04=150円 03=160円 枠連:0円,,,,,,,,,,,,"単勝:340円 複勝:02=140円 04=180円 10=130円 枠連:1,240円",,,,,,,,,,,
"馬連:2,660円 ワイド:09-12=1,220円 10-12=1,270円 09-10=670円",,,,,,,,,,,,"馬連:1,620円 ワイド:01-11=560円 09-11=530円 01-09=470円",,,,,,,,,,,,馬連:570円 ワイド:04-07=250円 03-07=200円 03-04=580円,,,,,,,,,,,,"馬連:1,250円 ワイド:02-04=440円 02-10=250円 04-10=500円",,,,,,,,,,,
"馬単:5,560円 3連複:5,990円 3連単:44,590円",,,,,,,,,,,,"馬単:3,190円 3連複:2,440円 3連単:15,560円",,,,,,,,,,,,"馬単:760円 3連複:900円 3連単:2,800円",,,,,,,,,,,,"馬単:2,010円 3連複:1,370円 3連単:7,410円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
