15年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
 9, 7,Ｌシゲルクロメバル, 33,太宰啓, 2.1, 35, -15,  -7, 7, 17.9, ⑫⑫, 9, 6, メイショウメイザン,,熊沢重,199.7,,,, 8, 43.2,⑩⑩⑩, 9, 5,Ｂアラタマシャトル, 73,デムｰ, 1.3, 62,  -4,   4, 4, 10.2, ⑩⑩, 9, 9,Ｉルファルシオン, 74,岩田康, 1.6, 60,* 13, -21, 5,  8.2,①①①
10, 9,Ａクリノマルボルク, 52,古川吉, 2.2, 33, -12, -11, 5,  9.9, ⑪⑪,10, 5, テイエムナデュｰラ,,佐久間,199.7,,,,11, 96.1,①⑦⑦,10,11,Ｋセルリアンコスモ, 65,鮫島克, 1.5, 59,  -9,   7, 9, 36.1, ⑫⑭,,,,,,,,,,,,
11, 3,Ｋフレアグラス, 33,菱田裕, 2.4, 31,  -9, -16,12,105.2, ⑨⑩,11, 3, ヴェントアウレオ,,林満明,202.5,,,, 5, 15.1,⑪⑪⑪,11, 1,Ｌスリｰチアサウス, 61,城戸義, 1.6, 61,  -3,   0,13,156.5, ⑧⑥,,,,,,,,,,,,
12, 2,Ｉゴｰルド, 42,鮫島良, 2.9, 28,  -7, -22,11,101.1, ⑦⑦,,,,,,,,,,,,,12, 7,Ｆプラネットスコア, 69,国分優, 1.7, 59,  -7,   3, 7, 26.2, ⑪⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｉメイショウサタｰン, 67,鮫島良, 1.8, 59,  -8,   3,14,243.6, ⑬⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｐアグリナンバｰワン, 47,藤懸貴, 1.9, 58, -11,   7,16,273.2, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｊカジノプレイヤｰ, 66,義英真, 2.7, 51,   1, -14,10, 42.8, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏタマモライト, 57,松山弘, 2.9, 50,   0, -13,15,247.1, ⑤⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,470円 複勝:05=340円 04=180円 06=1,290円 枠連:2,490円",,,,,,,,,,,,単勝:390円 複勝:08=130円 11=140円 10=120円 枠連:340円,,,,,,,,,,,,"単勝:2,800円 複勝:08=690円 14=160円 03=230円 枠連:2,150円",,,,,,,,,,,,"単勝:590円 複勝:06=210円 02=160円 07=360円 枠連:1,300円",,,,,,,,,,,
"馬連:3,300円 ワイド:04-05=1,030円 05-06=3,170円 04-06=2,210円",,,,,,,,,,,,馬連:760円 ワイド:08-11=270円 08-10=250円 10-11=210円,,,,,,,,,,,,"馬連:4,970円 ワイド:08-14=1,930円 03-08=3,380円 03-14=610円",,,,,,,,,,,,"馬連:1,190円 ワイド:02-06=460円 06-07=1,480円 02-07=920円",,,,,,,,,,,
"馬単:9,700円 3連複:46,650円 3連単:321,230円",,,,,,,,,,,,"馬単:1,390円 3連複:580円 3連単:2,860円",,,,,,,,,,,,"馬単:11,770円 3連複:13,300円 3連単:104,970円",,,,,,,,,,,,"馬単:2,630円 3連複:5,200円 3連単:25,400円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅフィｰユダムｰル, 56,菱田裕,, 58, -10,*  1,11, 40.7, ⑮⑫, 1, 5, バティスティｰニ,---,ルメｰ,, 56,*-19,   5, 2,  2.3,②①①, 1, 6,Ｂウルティマミュｰズ, 74,浜中俊,, 76,   5,*  7, 2,  4.2,⑤④④, 1, 1,Ａラブリｰデイ, 91,川田将,, 97,   4,* 36, 1,  3.1,⑤⑥⑥
 2,11,Ｂクリノラホｰル, 61,小牧太, 0.0, 57,  -7,* -5, 8, 26.3, ⑫⑪, 2, 6, アイファｰプリティ,---,小牧太, 0.3, 63, -25,* 17, 4, 16.5,⑨⑨⑧, 2, 8,Ｄクイｰンズシアタｰ, 70,岩田康, 0.9, 68,*  6,  -3, 3,  7.5,⑧③②, 2,10,Ｆサウンズオブアｰス, 86,浜中俊, 0.2, 91,   5,  29, 2,  3.9,④⑤⑤
 3, 6, フロｰレススカイ,---,川島信, 0.7, 50, -15,* -3,15,239.2, ⑯⑰, 3, 7, リュラ,---,川田将, 0.6, 54, -22,   6, 1,  2.1,⑥⑤⑥, 3, 5,Ｉシュシュブリｰズ, 67,北村友, 1.2, 67,   1,   4, 7, 26.4,⑦⑪⑩, 3, 7,Ｃカレンミロティック, 89,蛯名正, 0.3, 89,*  6,  23, 5,  8.1,②②②
 4, 7,Ｎジュエルメッセｰジ, 40,松若風, 0.7, 46,*  0, -28,13, 60.0, ①①, 4, 2, サトノエトワｰル,---,岩田康, 1.2, 45, -23,  -2, 3,  5.5,④⑥⑤, 4,10,Ａビスカリア, 75,菱田裕, 1.2, 69,   2,   3, 4,  8.8,⑫⑩⑨, 4, 8,Ｂラキシス, 90,武豊  , 0.4, 92,   2,* 33, 3,  4.0,⑦⑧⑧
 5, 3,Ｉヤマカツサファイヤ, 48,池添謙, 0.9, 45, -13,  -8,10, 39.7, ⑰⑯, 5, 3, ブルベアシャｰク,---,酒井学, 1.3, 42, -21,  -8, 7, 46.5,③④④, 5, 2,Ｆヤマガｰル, 68,岡田祥, 1.3, 68,   0,*  4, 9, 38.0,⑪⑬⑬, 5, 6,Ｅフｰラブライド, 87,酒井学, 0.4, 88,   5,  24, 7, 27.5,③④④
 6, 2,Ｋベルフラワｰ, 44,松山弘, 0.9, 47,  -4, -22, 7, 25.1, ⑧⑧, 6, 4, タガノゼウス,---,菱田裕, 1.3, 41, -21,  -9, 6, 41.7,①③③, 6, 4,Ｋサンウィノナ, 62,古川吉, 1.4, 65,   3,  -1,10, 92.1,⑩⑧⑥, 6, 2,Ｄワンアンドオンリｰ, 88,ルメｰ, 0.7, 88,   4,  27, 4,  6.1,⑥⑦⑦
 7, 9,Ａフライングレディ, 64,武豊  , 0.9, 45,* -2, -26, 1,  2.7, ⑤④, 7, 9, アドヴァントアロｰ,---,浜中俊, 1.6, 34,*-20, -17, 5, 21.2,⑤②②, 7,11,Ｃネオヴァシュラン, 71,武豊  , 1.6, 63,*  6,  -9, 1,  2.0,②②①, 7, 4,Ｈニュｰダイナスティ, 81,松山弘, 0.7, 82,*  6,  16, 8, 58.8,①①①
 8,15,Ｇトｰホウカンナ, 50,鮫島克, 0.9, 46,  -7, -18, 9, 27.5, ⑪⑩, 8, 8, メイショウコドウ,---,国分優, 1.7, 38, -24,  -8, 8, 66.3,⑧⑦⑦, 8, 1,Ｅアルカナ, 69,小牧太, 1.8, 65,   2,  -3, 6, 18.2,⑨⑨⑪, 8, 5,Ｇレコンダイト, 83,デムｰ, 1.1, 84,   1,  28, 6, 12.5,⑨⑨⑨
 9,13,Ｈシンシアズブレス, 49,浜中俊, 1.0, 43,*  0, -31, 2,  3.8, ②②, 9, 1, ヤマニンアルルカン,---,藤懸貴, 1.9, 40, -24, -10, 9,131.0,⑦⑧⑨, 9,13,Ｇサンエルピス, 68,蛯名正, 2.7, 58,   1,  -8,11,113.4,⑬⑫⑫, 9, 3,Ｉメイショウカンパク, 79,池添謙, 1.7, 69,*  6,   3, 9,117.4,⑧③③
10,17,Ｆアルマレイモミ, 52,国分優, 1.0, 44,  -5, -24,12, 47.3, ⑦⑦,,,,,,,,,,,,,10, 9,Ｊテイエムジョウネツ, 63,鮫島克, 2.8, 52,*  6, -20, 5, 11.0,①①③,10, 9,Ｊフォントルロイ, 75,松田大, 1.7, 81,   1,  22,10,265.5,⑩⑩⑩
11, 1,Ｌシガリロ, 44,藤懸貴, 1.1, 47,  -8, -21,14, 93.0, ⑩⑬,,,,,,,,,,,,,11, 3,Ｍアイファｰハｰト, 51,柴田未, 3.2, 55,   4, -17,13,149.3,③⑥⑤,,,,,,,,,,,,
12,12,Ｊエイシンディクティ, 47,川田将, 1.3, 41,  -3, -31, 6, 14.6, ⑥⑥,,,,,,,,,,,,,12,12,Ｌダンシング, 62,加藤祥, 3.5, 52,   3, -20,12,138.6,④⑦⑧,,,,,,,,,,,,
13, 4,Ｏテイエムアカトンボ, 39,加藤祥, 1.4, 40, -12, -18,16,341.6, ⑭⑮,,,,,,,,,,,,,13, 7,Ｈハンマｰクラビア, 67,松山弘, 4.1, 49,   4, -26, 8, 30.7,⑥⑤⑦,,,,,,,,,,,,
14,16,Ｃブルｰオリエント, 56,岩田康, 1.4, 40,  -5, -30, 4, 11.2, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｍペイザｰジュ, 43,デムｰ, 1.5, 36,* -2, -37, 5, 13.3, ③⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,Ｐフラックス, 35,岡田祥, 1.6, 39,  -8, -25,17,505.1, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17, 5,Ｄショウナンマシェリ, 56,ルメｰ, 1.8, 35,* -2, -40, 3,  5.9, ④③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-3),,,,,,,,,,,
"単勝:4,070円 複勝:08=790円 11=560円 06=3,970円 枠連:6,630円",,,,,,,,,,,,"単勝:230円 複勝:05=110円 06=180円 07=110円 枠連:2,530円",,,,,,,,,,,,単勝:420円 複勝:06=170円 08=210円 05=630円 枠連:780円,,,,,,,,,,,,単勝:310円 複勝:01=140円 10=140円 07=190円 枠連:660円,,,,,,,,,,,
"馬連:23,680円 ワイド:08-11=4,910円 06-08=34,800円 06-11=31,060円",,,,,,,,,,,,"馬連:2,250円 ワイド:05-06=370円 05-07=140円 06-07=400円",,,,,,,,,,,,"馬連:1,420円 ワイド:06-08=400円 05-06=1,790円 05-08=3,290円",,,,,,,,,,,,馬連:680円 ワイド:01-10=290円 01-07=460円 07-10=400円,,,,,,,,,,,
"馬単:46,300円 3連複:713,360円 3連単:3,415,500円",,,,,,,,,,,,"馬単:2,840円 3連複:760円 3連単:6,670円",,,,,,,,,,,,"馬単:2,400円 3連複:14,930円 3連単:38,120円",,,,,,,,,,,,"馬単:1,370円 3連複:1,510円 3連単:6,540円",,,,,,,,,,,
■ 3R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,円山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, ボｰルライトニング,---,浜中俊,, 42, -30,*  1, 1,  2.5, ④④, 1, 8,Ｉテｰオｰイｰジス, 72,小牧太,, 75,* 10,   1, 5, 14.0,②②②, 1, 4,Ａスｰサンジョイ, 82,武豊  ,, 83,*  4,  15, 1,  2.5, ①①, 1,11,Ｎイサチルホｰプ, 63,義英真,, 76,   1,* 10, 8, 22.2, ⑥⑥
 2, 6, ボｰサンシｰ,---,池添謙, 0.2, 38,*-26,  -5, 2,  2.8, ①①, 2,11,Ｄエイシンハドソン, 74,ルメｰ, 0.0, 75,* 10,   1, 1,  1.5,①①①, 2,12,Ｄガンジｰ, 79,デムｰ, 0.3, 80,   1,  16, 4,  8.5, ④④, 2,16,Ｄアチｰヴ, 73,北村友, 0.5, 71,  -3,* 10,11, 33.1, ⑫⑫
 3,12, タマモブリリアン,---,国分恭, 0.2, 40,*-29,* -3, 6, 18.8, ③③, 3, 5,Ｆウエスタンパレｰド, 74,岩田康, 0.4, 72,   9,   2, 2,  5.5,③③③, 3,13,Ｂダイリュウキセキ, 82,秋山真, 0.4, 80,   0,* 17, 2,  3.9, ⑤⑤, 3, 2,Ｃネオスタｰダム, 73,デムｰ, 0.5, 70,*  5,   1, 1,  2.8, ②②
 4, 7, ランスタン,---,秋山真, 0.6, 33,*-27,  -9, 7, 26.8, ②②, 4, 3,Ｂオリハルコン, 78,浜中俊, 0.9, 70,   5,*  5, 4, 10.0,⑩⑨⑨, 4,14,Ｇアクションバイオ, 77,国分優, 0.8, 77,*  2,  11, 7, 30.2, ③③, 4,14,Ｆカノヤプレジデント, 71,中村将, 0.6, 72,  -7,* 15,12, 64.3, ⑯⑮
 5, 1, テイエムハマッタ,---,田中健, 0.7, 34, -31,  -5,15,127.4, ⑦⑦, 5, 6,Ｈエアカｰディナル, 73,デムｰ, 0.9, 69,   6,   3, 8, 25.4,⑧⑧⑦, 5, 5,Ｅリバｰソウル, 78,蛯名正, 1.0, 77,   0,  13, 5, 12.9, ⑥⑥, 5, 8,Ａタイガｰクラウン, 77,酒井学, 0.7, 71,   3,   2, 4, 11.1, ④④
 6, 8, メダカハドコヘ,---,松若風, 0.8, 32, -30,  -8,10, 44.1, ⑥⑥, 6, 1,Ｃワｰルドリｰスタｰ, 76,鮫島克, 1.0, 66,   4,*  7, 7, 23.9,⑪⑪⑩, 6, 2,Ｉマｰクスマン, 74,池添謙, 1.0, 77,  -6,* 19, 8, 31.4, ⑫⑨, 6, 1,Ｈエンドレスシャイン, 70,岩田康, 0.8, 71,  -1,   7, 9, 28.6, ⑩⑨
 7,14, ジョウショｰ,---,鮫島克, 0.9, 31, -33,  -7,17,228.2, ⑪⑨, 7, 2,Ｇウインユニファイド, 73,松山弘, 1.0, 69,   9,  -3, 6, 23.4,⑤④④, 7, 7,Ｈスペシャルギフト, 77,岩田康, 1.2, 74,  -4,  14, 3,  5.9, ⑨⑧, 7, 7,Ｂチｰフアセスメント, 73,ルメｰ, 1.1, 68,   0,   2, 2,  3.2, ⑧⑦
 8,15, ブルハ,---,川島信, 1.0, 34, -34,  -3,11, 66.9, ⑬⑬, 8, 9,Ｅコウエイアｰス, 74,田中健, 1.4, 67,   6,  -1,11,250.7,⑨⑦⑧, 8, 8,Ｍブルｰムｰン, 70,浜中俊, 1.4, 73,  -6,  16, 6, 19.9, ⑬⑫, 8, 4,Ｋイズモ, 66,池添謙, 1.2, 66,   1,  -1, 6, 13.0, ⑦⑤
 9, 3, マイアイティアラ,---,北村友, 1.0, 31, -34,  -5, 9, 37.3, ⑩⑪, 9, 7,Ｊワンダｰブラザウン, 67,古川吉, 1.9, 63,   8,  -9,10,191.9,④⑤⑤, 9, 9,Ｋスランジバｰル, 74,ルメｰ, 1.4, 73,  -2,  10,10, 38.6, ⑧⑦, 9, 5,Ｊタマモベルモット, 68,岩崎翼, 1.6, 64,  -5,   3,14,185.0, ⑭⑬
10,16, エｰレンガｰト,---,蛯名正, 1.2, 28, -31, -12, 5, 13.3, ⑧⑧,10, 4,Ａアグネスユニコｰン, 78,加藤祥, 3.0, 56,   8, -19, 3,  9.2,⑦⑥⑥,10, 6,Ｆケッキセヨ, 78,菱田裕, 2.2, 66,*  3,  -2, 9, 32.1, ②②,10,12,Ｅゴｰントレット, 72,武豊  , 1.8, 61,  -1,  -3, 3,  9.2, ⑨⑩
11,10, オｰルフォｰユｰ,---,岩田康, 1.3, 27, -33, -10, 4, 11.9, ⑨⑩,11,10,Ｋリリｰクライマｰ, 58,松若風, 4.7, 49,   4, -25, 9,118.7,⑥⑩⑪,11, 3,Ｃバコパ, 80,古川吉, 2.4, 64,  -8,   9,11, 39.9, ⑭⑭,11, 9,Ｉピｰスマｰク, 69,松山弘, 1.8, 61,*  5, -12, 5, 11.4, ①①
12,11, シゲルサクラダイ,---,太宰啓, 1.4, 27, -36,  -8,16,212.8, ⑫⑫,,,,,,,,,,,,,12,11,Ｊカシノインカロｰズ, 74,城戸義, 2.4, 66,  -5,   6,13,121.3, ⑪⑪,12, 6,Ｐメイショウマツシマ, 58,鮫島良, 2.1, 60,  -2,  -5,16,279.4, ⑪⑪
13, 2, クレッシェレ,---,菱田裕, 1.4, 28, -38,  -5,13, 94.7, ⑭⑭,,,,,,,,,,,,,13, 1,Ｌキｰブランド, 74,高倉稜, 2.9, 61,  -3,  -2,12, 40.3, ⑦⑩,13,13,Ｇスリｰネルソン, 70,国分優, 2.2, 59,  -5,  -1,13, 66.4, ⑮⑯
14, 5, ヒロノフェロｰ,---,加藤祥, 1.4, 23, -30, -17, 8, 29.1, ⑤⑤,,,,,,,,,,,,,14,10,Ｎベストサｰパス, 63,松山弘, 3.4, 57,  -6,  -3,14,148.3, ⑩⑬,14, 3,Ｍエナジｰタウン, 64,浜中俊, 3.0, 52,  -4,  -9, 7, 20.6, ⑬⑭
15, 9, ビップエスペシアル,---,デムｰ, 2.7,  9, -42, -19, 3,  8.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｌコモドｰ, 65,菱田裕, 3.8, 45,   2, -24,10, 32.3, ⑤⑧
16,13, イスズゴｰルド,---,古川吉, 3.2,  7, -45, -19,14,122.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｏエクセレンフレｰル, 60,川島信, 4.1, 42,*  5, -31,15,259.9, ③③
17,17, バナｰワｰク,---,松山弘, 4.0, -4, -47, -28,12, 88.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
単勝:250円 複勝:04=130円 06=130円 12=280円 枠連:240円,,,,,,,,,,,,"単勝:1,400円 複勝:08=190円 11=110円 05=160円 枠連:870円",,,,,,,,,,,,"単勝:250円 複勝:04=120円 12=210円 13=140円 枠連:1,070円",,,,,,,,,,,,"単勝:2,220円 複勝:11=490円 16=590円 02=150円 枠連:6,290円",,,,,,,,,,,
馬連:270円 ワイド:04-06=170円 04-12=820円 06-12=710円,,,,,,,,,,,,馬連:920円 ワイド:08-11=350円 05-08=530円 05-11=230円,,,,,,,,,,,,"馬連:1,190円 ワイド:04-12=470円 04-13=240円 12-13=620円",,,,,,,,,,,,"馬連:29,110円 ワイド:11-16=5,290円 02-11=1,520円 02-16=1,720円",,,,,,,,,,,
"馬単:560円 3連複:1,410円 3連単:4,010円",,,,,,,,,,,,"馬単:3,580円 3連複:1,100円 3連単:13,470円",,,,,,,,,,,,"馬単:1,700円 3連複:1,310円 3連単:6,000円",,,,,,,,,,,,"馬単:47,260円 3連複:26,910円 3連単:250,430円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
