15年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 5,Ｈシルヴィｰボｰテ, 38,岩田康, 1.9, 34,   3, -24, 6, 19.9, ③③, 9, 2, プラネットブルｰ,---,岩田康, 2.7, 46, -11,  -6, 2,  5.2,⑨⑩⑩,,,,,,,,,,,,, 9, 2,Ａサンライズタイセイ, 81,池添謙, 0.5, 76,  -2,   7, 6, 19.2, ⑨⑩
10,11,Ｌミヤビキラリ, 25,岩崎翼, 2.6, 28,  -1, -25,10, 51.1, ⑧⑧,10, 1, ロマンチスト,---,幸英明, 3.7, 37,  -6, -24, 6,  9.0,③⑤④,,,,,,,,,,,,,10, 1,Ｆミヤジタイガ, 78,幸英明, 0.7, 73,   1,  -2, 7, 23.3, ④⑤
11, 8,Ｉラフェデビジュｰ, 36,福永祐, 3.9, 17,   1, -41, 1,  2.2, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 6,Ｄロングブリオ, 46,北村友, 3.9, 19,*  8, -48, 5, 12.9, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:390円 複勝:02=200円 03=970円 09=2,660円 枠連:5,100円",,,,,,,,,,,,単勝:310円 複勝:08=140円 09=170円 10=210円 枠連:390円,,,,,,,,,,,,単勝:170円 複勝:07=100円 01=100円 06=160円 枠連:0円,,,,,,,,,,,,単勝:630円 複勝:10=160円 05=110円 07=170円 枠連:440円,,,,,,,,,,,
"馬連:4,800円 ワイド:02-03=1,430円 02-09=5,890円 03-09=23,550円",,,,,,,,,,,,馬連:930円 ワイド:08-09=390円 08-10=450円 09-10=680円,,,,,,,,,,,,馬連:150円 ワイド:01-07=110円 06-07=360円 01-06=360円,,,,,,,,,,,,馬連:750円 ワイド:05-10=290円 07-10=560円 05-07=260円,,,,,,,,,,,
"馬単:7,910円 3連複:102,980円 3連単:374,130円",,,,,,,,,,,,"馬単:1,560円 3連複:1,660円 3連単:5,980円",,,,,,,,,,,,"馬単:240円 3連複:540円 3連単:1,250円",,,,,,,,,,,,"馬単:1,900円 3連複:1,190円 3連単:8,400円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,萩ｽﾃｰｸｽ,,,,,,,,,,,,毎日放送賞ｽﾜﾝｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｈスナｰクレッド, 20,太宰啓,, 59,  -4,*  0, 5, 17.9,⑧⑤⑤, 1, 6, カジノブギ,---,デムｰ,, 58,  -5,* -1, 2,  4.3, ⑫⑫, 1, 4,Ｃブラックスピネル, 55,松若風,, 75,  -6,  18, 3,  6.1, ②②, 1,11,Ｃアルビアｰノ, 86,柴山雄,, 85,  12,  12, 2,  5.5, ⑧⑨
 2, 8,Ａドリｰムフォｰ, 57,小牧太, 0.5, 54,* -3,  -8, 1,  1.7,②②②, 2, 9, フォｰアライタｰ,---,浜中俊, 0.0, 59,  -2,  -7, 1,  1.9, ⑦⑦, 2, 2,Ｂスマｰトオｰディン, 59,デムｰ, 0.1, 74,  -6,  18, 1,  1.4, ⑤③, 2,14,Ａフィエロ, 94,デムｰ, 0.2, 81,   7,* 16, 1,  2.7, ⑬⑭
 3, 7,Ｃベルウッドエフディ, 52,幸英明, 1.0, 50,  -4,  -9, 3,  7.2,⑤④④, 3, 2, キアロスクｰロ,---,菱田裕, 0.0, 59,*  2, -14,11, 57.6, ①①, 3, 5,Ｄレインボｰライン, 51,岩田康, 0.2, 76,  -9,* 22, 4, 10.3, ④⑤, 3, 9,Ｉオメガヴェンデッタ, 81,岩田康, 0.3, 81,   8,  12, 4,  9.2, ⑫⑫
 4, 4,Ｄヤマニンエスペロス, 46,松山弘, 1.1, 48,* -3, -14, 4, 15.0,⑦①①, 4,10, ツｰエムレジェンド,---,池添謙, 0.1, 58,  -4,* -5, 6, 24.3, ⑪⑩, 4, 3,Ｅノｰブルマｰズ, 49,高倉稜, 0.2, 72,*  1,   1, 5, 32.8, ①①, 4, 3,Ｋバクシンテイオｰ, 79,シュタ, 0.3, 82,  11,  10,14, 99.6, ⑪⑪
 5, 3,Ｆガウェイン, 42,国分優, 1.9, 44,  -8,  -9, 6, 20.3,⑥⑧⑧, 5,12, ユキノロｰド,---,北村友, 0.4, 54,  -7,* -6, 8, 35.3, ⑬⑬, 5, 1,Ａプロフェット, 63,福永祐, 0.3, 74,  -7,  19, 2,  3.9, ③④, 5,13,Ｈダイワマッジョｰレ, 81,蛯名正, 0.3, 83,  12,   9, 9, 18.8, ⑨⑩
 6, 6,Ｇミスタｰウインディ, 32,藤岡康, 2.2, 41,  -6, -16, 8, 74.7,①⑥⑥, 6, 1, ナムラムサシ,---,福永祐, 0.5, 54,   0, -15, 3,  7.6, ④③,,,,,,,,,,,,, 6,12,Ｌリトルゲルダ, 77,松山弘, 0.3, 82,  13,   6,15,167.1, ⑦⑥
 7, 5,Ｂアｰクマイニング, 54,国分恭, 2.4, 41,  -4, -23, 2,  3.0,③③③, 7, 7, ライジングスタｰ,---,岩田康, 0.6, 53,  -1, -17, 4,  9.9, ⑥⑤,,,,,,,,,,,,, 7, 2,Ｂサンライズメジャｰ, 88,池添謙, 0.4, 79,   7,* 14, 6, 14.8, ⑭⑬
 8, 2,Ｅテイエムボンドン, 42,シュタ, 4.4, 29,  -7, -34, 7, 25.7,④⑦⑦, 8,15, キｰナンバｰ,---,藤岡康, 0.9, 49,  -1, -23, 5, 17.8, ③④,,,,,,,,,,,,, 8, 1,Ｅサトノルパン, 84,浜中俊, 0.4, 80,  12,   6, 3,  7.6, ⑤⑦
,,,,,,,,,,,, 9, 3, ベストワｰクス,---,小牧太, 1.0, 49,  -2, -20, 7, 25.7, ⑧⑥,,,,,,,,,,,,, 9,10,Ｄテイエムタイホｰ, 84,松田大, 0.4, 81,  14,   3,12, 42.6, ④④
,,,,,,,,,,,,10,13, ジャングルベリｰ,---,シュタ, 1.1, 48,  -8, -13,12, 77.5, ⑭⑭,,,,,,,,,,,,,10, 4,Ｍフミノムｰン, 77,幸英明, 0.5, 79,   4,* 15,10, 19.8, ⑮⑮
,,,,,,,,,,,,11,16, トウケイフクキタル,---,国分優, 1.3, 45, -11, -10, 9, 49.8, ⑰⑮,,,,,,,,,,,,,11, 5,Ｆベルルミエｰル, 83,川島信, 0.6, 79,  14,   0, 5, 10.2, ③③
,,,,,,,,,,,,12,11, サウンドスプレッド,---,幸英明, 1.8, 40,  -2, -32,14, 91.1, ⑩⑪,,,,,,,,,,,,,12, 7,Ｎコパノリチャｰド, 75,藤岡康, 1.2, 72,* 16, -10, 7, 16.4, ②②
,,,,,,,,,,,,13,17, スズカネルソン,---,秋山真, 2.0, 36,  -1, -37,16,116.3, ⑤⑧,,,,,,,,,,,,,13,15,Ｊティｰハｰフ, 80,国分優, 1.2, 71,  12,  -4, 8, 17.2, ⑩⑧
,,,,,,,,,,,,14, 5, ニホンピロマｰク,---,酒井学, 2.1, 35,  -2, -36,13, 83.8, ⑨⑨,,,,,,,,,,,,,14, 6,Ｏエｰシントップ, 75,武幸四, 1.5, 68,* 17, -16,13, 96.6, ①①
,,,,,,,,,,,,15, 4, フィエスタオｰレ,---,蛯名正, 2.3, 35,  -9, -27,10, 51.4, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,14, キタノタイセツ,---,松山弘, 2.7, 32,*  2, -51,17,172.0, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 8, サンプライス,---,松若風, 3.4, 22, -10, -43,15, 99.1, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:65 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,790円 複勝:01=300円 08=110円 07=200円 枠連:0円",,,,,,,,,,,,単勝:430円 複勝:06=160円 09=110円 02=760円 枠連:470円,,,,,,,,,,,,単勝:610円 複勝:04=150円 02=110円 枠連:0円,,,,,,,,,,,,単勝:550円 複勝:11=180円 14=120円 09=230円 枠連:700円,,,,,,,,,,,
"馬連:1,640円 ワイド:01-08=640円 01-07=1,240円 07-08=280円",,,,,,,,,,,,"馬連:460円 ワイド:06-09=230円 02-06=3,510円 02-09=2,260円",,,,,,,,,,,,馬連:350円 ワイド:02-04=140円 04-05=280円 02-05=200円,,,,,,,,,,,,馬連:910円 ワイド:11-14=360円 09-11=910円 09-14=490円,,,,,,,,,,,
"馬単:4,080円 3連複:2,510円 3連単:20,280円",,,,,,,,,,,,"馬単:1,180円 3連複:7,290円 3連単:28,050円",,,,,,,,,,,,"馬単:1,260円 3連複:520円 3連単:3,610円",,,,,,,,,,,,"馬単:1,940円 3連複:2,710円 3連単:12,830円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａエスペランサリュウ, 56,福永祐,, 55,  -4,  -6, 1,  2.2, ⑥⑤, 1, 3,Ｈアドマイヤシャイ, 68,小牧太,, 80,* 12,   1, 6, 23.6,①①①, 1, 2,Ａキタサンウンゲツ, 78,松若風,, 74,   3,   6, 1,  3.8, ④④, 1, 7,Ａパイメイメイ, 79,秋山真,, 78,   5,  10, 1,  2.8, ⑨⑩
 2, 2,Ｉタマモブリリアン, 38,国分恭, 0.1, 55,*  0, -11, 2,  4.1, ①①, 2, 2,Ｂヒラボクレジェンド, 79,岩田康, 0.6, 74,  10,  -2, 2,  4.0,⑤③③, 2, 3,Ｃラディカル, 74,岩田康, 0.1, 73,  -3,* 13, 4,  6.2, ⑭⑭, 2, 4,Ｃエイシンバッケン, 78,酒井学, 0.0, 79,   3,  12, 4,  9.4, ⑪⑪
 3, 6,Ｋランスタン, 34,秋山真, 0.1, 54, -13,*  2, 6, 20.2, ⑪⑪, 3, 5,Ｃドラゴンバロｰズ, 74,菱田裕, 0.8, 74,   8,*  1, 4, 12.4,⑦⑥⑥, 3,11,Ｆアチｰヴ, 73,北村友, 0.1, 74,  -5,* 16, 7, 17.6, ⑯⑮, 3, 8,Ｇサンライズネオ, 77,浜中俊, 0.2, 78,  -2,* 15, 7, 15.8, ⑭⑭
 4, 4,Ｂミスズスタｰ, 54,池添謙, 0.1, 54,  -3,  -8, 4,  6.8, ④④, 4, 7,Ａエイシンハドソン, 81,シュタ, 0.8, 73,  10,  -4, 1,  1.5,②②②, 4, 4,Ｄウォｰタｰショパン, 73,菱田裕, 0.3, 71,*  4,   3, 2,  4.4, ③③, 4, 9,Ｈカリスマサンスカイ, 76,松田大, 0.2, 77,  -6,* 18,15, 93.8, ⑮⑮
 5,12,Ｇベルフラワｰ, 44,蛯名正, 0.2, 54,  -6,  -5, 5, 13.7, ⑧⑩, 5, 4,Ｇアｰスシンフォニｰ, 70,太宰啓, 1.0, 74,   7,*  2, 5, 14.0,⑧⑧⑧, 5, 6,Ｇビｰチパラソル, 72,デムｰ, 0.5, 69,   0,   6, 3,  5.6, ⑩⑩, 5,11,Ｄハニｰドント, 78,デムｰ, 0.4, 75,  10,   1, 2,  4.1, ③⑤
 6,11,Ｄカノヤパリティ, 53,岩田康, 0.4, 50,  -5, -10, 3,  5.5, ⑦⑦, 6, 1,Ｅキングカヌヌ, 72,デムｰ, 1.0, 72,   8,*  1, 3,  8.2,⑥⑦⑦, 6, 5,Ｂタイガｰクラウン, 74,太宰啓, 0.5, 71,   1,   5, 5,  9.3, ⑨⑧, 6,12,Ｂカメット, 78,松山弘, 0.4, 76,   7,   5, 6, 15.1, ⑧⑧
 7, 7,Ｃアウズ, 53,松田大, 0.4, 50,  -4, -11, 7, 24.3, ⑤⑥, 7, 6,Ｄウインユニファイド, 73,松山弘, 1.3, 70,   9,  -6, 8, 52.0,③④④, 7, 7,Ｅスマイルフォｰス, 73,藤岡康, 0.7, 68,   2,   2,13, 81.1, ⑦⑦, 7, 3,Ｌサンマディソン, 74,国分恭, 0.5, 76,   1,  10,10, 29.6, ⑬⑬
 8, 9,Ｈオｰミポルカ, 41,松山弘, 0.6, 48,* -1, -16, 9, 43.2, ③③, 8, 8,Ｆニホンピロシナバｰ, 71,酒井学, 1.4, 70,   9,  -7, 7, 44.0,④⑤⑤, 8,14,Ｋゴットロブロイ, 67,竹之下, 0.8, 67,   2,   1, 9, 25.6, ⑧⑥, 8, 1,Ｅヤマニンメンヒル, 78,幸英明, 0.7, 73,   5,   4, 5, 10.5, ⑩⑨
 9, 3,Ｆクラップス, 46,水口優, 0.8, 45,  -9, -11,11, 97.3, ⑩⑨,,,,,,,,,,,,, 9,13,Ｌダノンロンシャン, 63,浜中俊, 0.9, 67,  -1,   5,12, 74.8, ⑫⑬, 9, 6,Ｆタキオンレディｰ, 78,松若風, 0.7, 74,* 12,  -3, 3,  9.3, ②②
10, 8,Ｊジョウショウキセキ, 35,国分優, 0.9, 43, -24,*  2,12,103.1, ⑫⑫,,,,,,,,,,,,,10,12,Ｈジェット, 71,鮫島良, 1.1, 65,*  6,  -7,11, 59.4, ①①,10, 2,Ｉクリノリｰソクツモ, 76,岩田康, 0.9, 71,  10,  -3, 8, 23.5, ④③
11, 1,Ｌバｰンスピリット, 21,岡田祥, 1.3, 38,  -9, -18,10, 83.1, ⑨⑧,,,,,,,,,,,,,11,10,Ｊヤマカツライデン, 69,池添謙, 1.3, 63,   0,  -1, 6, 10.5, ⑪⑪,11,15,Ｏサカジロヴィグラス, 72,高倉稜, 1.1, 70,   7,  -2, 9, 29.1, ⑦⑦
12, 5,Ｅタカイチモン, 51,藤岡康, 1.3, 39,* -1, -25, 8, 34.8, ②②,,,,,,,,,,,,,12, 1,Ｐイチザラブ, 51,国分恭, 1.4, 64,  -1,   1,15,174.1, ⑬⑫,12,10,Ｊカシノインカロｰズ, 74,国分優, 1.2, 68,  -6,  10,16,210.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｎオヤカタ, 54,柴山雄, 1.5, 61,   2,  -5,14,111.9, ⑥⑨,13, 5,Ｎオルフィｰク, 72,三津谷, 1.2, 68,  10,  -6,13, 50.3, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｉアイスブレイク, 70,松田大, 1.7, 60,   3,  -8, 8, 21.7, ⑤⑤,14,16,Ｍナムラヒュｰマン, 72,小牧太, 1.3, 69,   4,   0,11, 33.7, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｍファイネスト, 61,シュタ, 1.8, 61,  -5,   1,16,208.0, ⑮⑯,15,14,Ｋピクニックソング, 74,水口優, 1.4, 67,* 13, -10,14, 59.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｏカレンコティヤｰル, 54,松山弘, 1.9, 58,*  5, -13,10, 48.2, ②②,16,13,Ｐメイショウマサカゼ, 55,北村友, 1.5, 65,   8,  -7,12, 39.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,
単勝:220円 複勝:10=120円 02=160円 06=330円 枠連:540円,,,,,,,,,,,,"単勝:2,360円 複勝:03=1,400円 02=370円 05=760円 枠連:0円",,,,,,,,,,,,単勝:380円 複勝:02=160円 03=190円 11=370円 枠連:470円,,,,,,,,,,,,単勝:280円 複勝:07=130円 04=280円 08=300円 枠連:940円,,,,,,,,,,,
馬連:590円 ワイド:02-10=280円 06-10=740円 02-06=990円,,,,,,,,,,,,"馬連:3,760円 ワイド:02-03=1,090円 03-05=1,680円 02-05=410円",,,,,,,,,,,,"馬連:1,150円 ワイド:02-03=490円 02-11=920円 03-11=1,350円",,,,,,,,,,,,"馬連:1,450円 ワイド:04-07=660円 07-08=740円 04-08=1,880円",,,,,,,,,,,
"馬単:1,030円 3連複:2,530円 3連単:8,030円",,,,,,,,,,,,"馬単:10,600円 3連複:7,760円 3連単:48,940円",,,,,,,,,,,,"馬単:2,330円 3連複:5,270円 3連単:21,040円",,,,,,,,,,,,"馬単:2,070円 3連複:6,260円 3連単:22,880円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
