15年 8月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1500m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1500m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9, 5,Ｄビバラビダ, 40,井上敏, 2.4, 20,  -8, -37, 4,  8.1, ④⑥, 9, 8,Ｋアグネスイヴァン, 49,古川吉, 1.1, 51,   0, -11,11,205.8,⑬⑬⑪, 9, 9,Ｋケンブリッジアｰサ, 48,加藤祥, 2.6, 54,  -3,  -4,11,243.2,⑨⑩⑨, 9,12,Ｍフェアラフィネ, 68,藤岡康, 0.6, 66,   1,   3,10, 39.9,⑧⑧⑥
10, 6,Ｇミザントロｰプ, 30,吉田隼, 2.7, 17, -18, -30, 8, 82.0, ⑨⑩,10,12,Ｅウインエスパシオ, 61,井上敏, 1.1, 53,*  9, -24, 4,  8.0,④③②,10, 1,Ｉライフトップガン, 61,小林徹, 2.6, 53,  -1,  -5, 9, 70.7,⑪⑨⑩,10, 4,Ｌコｰトシャルマン, 68,横山典, 0.6, 65,   0,   4, 3,  5.5,⑥⑥⑦
,,,,,,,,,,,,11, 5,Ｆクリｰミｰボイス, 57,福永祐, 1.3, 51,   8, -25, 3,  5.8,③④⑤,11, 2,Ｊウｰマン, 53,田中博, 3.9, 40,  -4, -20,10,160.0,⑩⑪⑪,11, 1,Ｊヴァレンティｰネ, 70,丸山元, 0.6, 64,   3,   0,12,160.4,②③③
,,,,,,,,,,,,12, 9,Ｉオｰバｰスト, 53,黛弘人, 1.5, 51,* 11, -31, 8, 24.8,②②③,,,,,,,,,,,,,12,13,Ｉレムミラス, 70,勝浦正, 0.6, 68,  -2,   9,11, 77.5,⑬⑫⑫
,,,,,,,,,,,,13, 4,Ｍクラウンフォルテ, 31,西村太, 1.5, 48,   0, -14,13,256.1,⑫⑫⑫,,,,,,,,,,,,,13,14,Ｇダブルファンタジｰ, 72,古川吉, 0.8, 60,*  4,  -4,13,179.4,④④⑤
,,,,,,,,,,,,14,11,Ｎマンダリンクイｰン,-17,長岡禎, 5.5,  0,   3, -72,14,371.1,⑪⑪⑭,,,,,,,,,,,,,14, 3,Ｎカゼノサファイア, 64,松田大, 0.8, 66,  -4,   8,14,271.4,⑫⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,
"単勝:300円 複勝:02=120円 07=400円 04=110円 枠連:1,370円",,,,,,,,,,,,"単勝:2,600円 複勝:13=620円 02=220円 14=140円 枠連:1,030円",,,,,,,,,,,,単勝:280円 複勝:05=120円 03=130円 06=260円 枠連:390円,,,,,,,,,,,,"単勝:540円 複勝:09=170円 11=350円 07=130円 枠連:2,520円",,,,,,,,,,,
"馬連:2,840円 ワイド:02-07=730円 02-04=170円 04-07=940円",,,,,,,,,,,,"馬連:10,940円 ワイド:02-13=2,940円 13-14=1,180円 02-14=630円",,,,,,,,,,,,馬連:370円 ワイド:03-05=190円 05-06=630円 03-06=720円,,,,,,,,,,,,"馬連:5,990円 ワイド:09-11=1,440円 07-09=340円 07-11=790円",,,,,,,,,,,
"馬単:4,250円 3連複:1,950円 3連単:12,740円",,,,,,,,,,,,"馬単:22,200円 3連複:10,630円 3連単:97,830円",,,,,,,,,,,,"馬単:700円 3連複:1,820円 3連単:6,110円",,,,,,,,,,,,"馬単:9,570円 3連複:3,500円 3連単:32,660円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,北海道新聞杯ｸｲｰﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａラッキｰダン, 63,ルメｰ,, 62,* -2,   2, 1,  1.6, ①①, 1, 4, プロフェット,---,福永祐,, 49,*-33,* 14, 1,  1.5,①①①, 1,12,Ａサｰジェントバッジ, 75,福永祐,, 74,   5,*  6, 4,  8.0,③⑤③, 1,10,Ｇメイショウスザンナ, 78,松田大,, 87,   3,* 15, 7, 32.5,⑨⑧⑦
 2, 9,Ｃディｰエスフェイム, 54,勝浦正, 0.0, 60,  -9,*  7, 7, 40.8, ⑦⑥, 2, 7, レインボｰライン,---,四位洋, 0.3, 46, -35,* 12, 2,  4.9,④④④, 2,10,Ｈメイショウナガマサ, 70,藤岡康, 0.4, 71,*  6,   1, 1,  3.5,②③②, 2, 2,Ｂレッドリヴェｰル, 88,ルメｰ, 0.0, 83,   6,   8, 1,  2.0,④③③
 3, 8,Ｄサンライズシｰズン, 54,城戸義, 0.1, 60,* -3,   2, 4,  8.1, ②②, 3, 1, ベルウッドサコン,---,柴山雄, 0.6, 43, -35,   9, 3,  6.6,③③③, 3, 6,Ｆツクバイｰメｰカｰ, 71,古川吉, 0.6, 68,   5,   0, 9, 16.9,⑤④⑤, 3, 6,Ｄイリュミナンス, 86,横山典, 0.2, 80,   4,   8, 4,  7.0,③④④
 4, 4,Ｂモンサンナシｰラ, 59,吉田隼, 0.8, 52,  -6,  -2, 2,  4.0, ③④, 4, 2, マコトクラダリング,---,藤岡康, 0.8, 43, -36,   9, 5, 16.5,⑦⑤⑤, 4,13,Ｊカレンマタドｰル, 69,吉田隼, 0.8, 67,*  7,  -4, 5, 10.4,④②①, 4, 4,Ｈノットフォｰマル, 75,黛弘人, 0.2, 78,* 10,  -2, 6, 12.0,①①①
 5, 7,Ｅヴェルトフリｰデン, 53,長岡禎, 0.9, 50,  -6,  -3, 8, 43.8, ⑤③, 5, 6, ミラクルユニバンス,---,ルメｰ, 1.7, 29, -36,  -4, 4,  8.0,⑥⑥⑥, 5, 2,Ｂエイユｰビリオネア, 73,池添謙, 0.9, 70,   5,   0, 2,  4.6,⑧⑧⑥, 5, 5,Ｃフレイムコｰド, 87,福永祐, 0.3, 75,*  8,  -2, 5,  8.4,②②②
 6, 3,Ｆサクラデスティｰノ, 52,横山和, 1.3, 48, -14,  -2, 3,  7.7, ⑨⑧, 6, 5, スリｰハｰツクライ,---,古川吉, 1.9, 21,*-33, -14, 7, 45.3,②②②, 6, 9,Ｃオアフライダｰ, 73,松田大, 1.1, 67,   1,*  4, 7, 15.0,⑫⑪⑪, 6, 7,Ｅレイヌドネｰジュ, 79,横山和, 0.3, 83,   0,* 16, 8, 40.7,⑩⑩⑩
 7, 6,Ｇカルディア, 51,藤岡康, 1.4, 46,  -6,  -8, 5, 13.6, ④⑤, 7, 3, ホルスナイフ,---,勝浦正, 4.3, -6, -39, -37, 6, 45.1,⑤⑦⑦, 7, 4,Ｉオンワｰドハンタｰ, 70,ルメｰ, 1.3, 68,   4,  -2, 6, 14.9,⑩⑨⑨, 7, 3,Ｆブランネｰジュ, 79,藤岡康, 0.5, 77,   4,   3, 3,  6.0,⑤⑤⑤
 8, 5,Ｉグラナダ, 40,加藤祥, 2.0, 39, -11, -11, 6, 37.3, ⑥⑦,,,,,,,,,,,,, 8, 7,Ｇトｰコｰヴィオラ, 70,加藤祥, 1.7, 62,   4,  -7,11, 35.6,⑥⑦⑧, 8, 1,Ａフｰラブライド, 90,酒井学, 0.5, 78,   4,   5, 2,  5.3,⑥⑥⑥
 9, 2,Ｈテヅクリ, 48,井上敏, 2.3, 36, -13, -11, 9,127.1, ⑧⑨,,,,,,,,,,,,, 9, 1,Ｅフクノドｰビル, 71,丹内祐, 2.0, 59,   3,  -7, 8, 15.3,⑨⑩⑩, 9, 8,Ｉショウナンバｰキン, 72,吉田隼, 0.5, 78,   3,   8, 9,118.5,⑦⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,10, 5,Ｄジュガンティｰヤ, 72,横山典, 2.1, 56,   4, -11, 3,  5.4,⑦⑥⑦,10, 9,Ｊソロデビュｰ, 68,加藤祥, 1.2, 69,   3,  -2,10,204.0,⑧⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｌロワサｰブル, 67,柴山雄, 2.4, 56,  -2,  -2,12, 92.7,⑬⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｍショウナンアイ, 64,勝浦正, 2.9, 52,*  7, -22,10, 21.9,①①④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｋレオネプチュｰン, 69,西村太, 3.6, 49,   1, -18,13,114.0,⑪⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-6),,,,,,,,,,,
単勝:160円 複勝:01=110円 09=610円 08=220円 枠連:470円,,,,,,,,,,,,単勝:150円 複勝:04=110円 07=140円 枠連:0円,,,,,,,,,,,,単勝:800円 複勝:12=290円 10=200円 06=380円 枠連:850円,,,,,,,,,,,,"単勝:3,250円 複勝:10=390円 02=120円 06=190円 枠連:2,220円",,,,,,,,,,,
"馬連:2,620円 ワイド:01-09=780円 01-08=310円 08-09=2,360円",,,,,,,,,,,,馬連:280円 ワイド:04-07=150円 01-04=170円 01-07=290円,,,,,,,,,,,,"馬連:2,240円 ワイド:10-12=920円 06-12=2,700円 06-10=1,560円",,,,,,,,,,,,"馬連:2,600円 ワイド:02-10=890円 06-10=1,370円 02-06=290円",,,,,,,,,,,
"馬単:3,930円 3連複:3,430円 3連単:16,790円",,,,,,,,,,,,馬単:400円 3連複:350円 3連単:910円,,,,,,,,,,,,"馬単:4,830円 3連複:12,720円 3連単:68,970円",,,,,,,,,,,,"馬単:9,620円 3連複:3,860円 3連単:43,820円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,北辰特別,,,,,,,,,,,,大通特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆカゼノドリｰム, 58,藤田伸,, 67,   3,*  5, 7, 28.8,⑦⑥④, 1, 2, エネスク,---,勝浦正,, 51, -10,*  1, 6,  9.1,④④③, 1, 1,Ａクルｰガｰ, 78,池添謙,, 68,   1,*  2, 1,  1.8,⑤⑥④, 1, 3,Ａマイネルオフィｰル, 82,丹内祐,, 78,* 11,   5, 1,  3.0,①①①
 2, 5,Ｃレイズユアハンズ, 61,勝浦正, 0.3, 63,   4,  -1, 4,  7.9,⑤④③, 2, 8, ドゥラリュｰル,---,横山典, 0.2, 48, -10,*  1, 3,  5.9,⑦⑦⑤, 2, 3,Ｃロｰハイド, 70,福永祐, 0.2, 66,   1,   0, 3,  5.4,⑥⑦⑤, 2, 6,Ｆコパノチャｰリｰ, 76,藤岡康, 0.1, 78,* 10,*  5, 2,  3.5,②②②
 3, 4,Ｂヒロノカマオレ, 63,藤岡康, 0.7, 61,   1,*  2, 1,  2.8,⑨⑧⑥, 3, 1, クロスドルｰジュ,---,柴山雄, 0.5, 46,* -9,  -5, 2,  4.2,⑧③④, 3, 2,Ｉマイネルサｰジュ, 46,丹内祐, 0.2, 66,*  2,  -3, 5, 16.0,⑨④②, 3, 5,Ｄナンヨｰカノン, 77,福永祐, 0.4, 77,   9,*  6, 5,  8.8,④③③
 4, 3,Ａキクノステラ, 64,畑端省, 0.8, 59,   4,  -6, 2,  3.5,③③⑤, 4, 6, グロウインザダｰク,---,ルメｰ, 0.7, 48,* -9,  -7, 5,  8.6,③②②, 4, 5,Ｅジョｰアラタ, 68,ルメｰ, 0.3, 67,   0,*  3, 2,  4.2,⑧⑨⑦, 4,11,Ｂサクラエｰル, 80,池添謙, 0.8, 76,   6,*  7, 3,  4.3,⑩⑧⑥
 5, 1,Ｇハヤブサゲッツ, 57,吉田隼, 1.8, 52,*  5, -16, 3,  4.3,①①①, 5, 7, トゥｰルエッフェル,---,池添謙, 1.3, 42,* -9, -13, 1,  3.2,②①①, 5, 7,Ｄサンドラバロｰズ, 69,柴山雄, 0.5, 66,   0,   1, 6, 23.4,⑦⑧⑥, 5, 2,Ｉアグネスダリム, 74,藤田伸, 1.0, 74,   5,*  7, 9, 62.5,⑧⑨⑧
 6, 7,Ｊネオキセキ, 44,柴山雄, 2.0, 51,   0,  -7, 8, 30.3,⑩⑩⑨, 6, 4, デフィノワｰル,---,井上敏, 1.9, 38, -12, -13,11,133.1,①⑥⑨, 6, 8,Ｂザトゥルｰエアｰ, 72,田中博, 0.9, 60,*  3, -13, 4, 10.4,④③③, 6,10,Ｈアサケゴマ, 74,水口優, 1.0, 73,   8,   2, 8, 59.6,⑦⑥⑤
 7, 9,Ｈネオアルカディア, 51,井上敏, 2.1, 51,   1, -10, 9, 64.7,⑥⑦⑧, 7,10, ヘッドストロング,---,藤岡康, 2.1, 37, -12, -14, 8, 29.5,⑤⑩⑥, 7, 6,Ｆカウニスクッカ, 65,丸山元, 0.9, 60,*  2, -13, 8, 38.1,②②①, 7, 7,Ｅビｰチブレイブ, 77,松田大, 1.2, 71,* 10,  -2, 7, 35.3,③④④
 8, 8,Ｄスズカノｰチラス, 59,加藤祥, 2.1, 51,   4, -15, 6, 16.1,④⑤⑦, 8, 5, ウインブリング,---,黛弘人, 2.5, 34, -12, -16, 7, 24.9,⑩⑨⑩, 8, 4,Ｈヴィンセンツイヤｰ, 63,吉田隼, 1.0, 58,   1, -10, 9, 55.6,③⑤⑨, 8, 8,Ｇアルデグロリア, 75,柴山雄, 1.2, 70,   5,*  6,10, 83.8,⑬⑫⑪
 9, 2,Ｅジェンツィアｰナ, 58,松田大, 2.1, 51,*  6, -17, 5,  8.6,②②②, 9, 9, ムｰビングデイ,---,四位洋, 2.6, 35, -10, -21, 4,  7.6,⑨⑤⑦, 9, 9,Ｇグランスエルテ, 63,藤田伸, 1.8, 52,*  3, -24, 7, 24.9,①①⑧, 9, 9,Ｊサンライズカラｰ, 72,荻野琢, 1.9, 66,   8,  -6, 6, 34.2,⑥⑤⑦
10, 6,Ｉリキサンレｰヴ, 48,黛弘人, 3.0, 45,   0, -17,10,129.9,⑧⑨⑩,10, 3, アルティジャｰノ,---,丸山元, 4.1, 24, -11, -32,10, 59.7,⑪⑧⑧,,,,,,,,,,,,,10,13,Ｋスワンボｰト, 72,長岡禎, 2.1, 65,   6,  -3,13,274.5,⑨⑩⑬
,,,,,,,,,,,,11,11, コパノリクエスト,---,吉田隼, 4.7, 18, -13, -35, 9, 38.0,⑥⑪⑪,,,,,,,,,,,,,11, 4,Ｃスズカアドニス, 79,ルメｰ, 2.2, 66,   6,  -6, 4,  6.0,⑤⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｍハヤブサフィｰバｰ, 68,丸山元, 2.5, 63,   5,  -6,12,124.0,⑫⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 1,Ｌケツァルコアトル, 70,勝浦正, 2.6, 62,   4,  -5,11, 97.1,⑪⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:2,880円 複勝:10=390円 05=220円 04=130円 枠連:7,350円",,,,,,,,,,,,"単勝:910円 複勝:02=200円 08=170円 01=170円 枠連:1,350円",,,,,,,,,,,,単勝:180円 複勝:01=110円 03=150円 02=340円 枠連:490円,,,,,,,,,,,,単勝:300円 複勝:03=120円 06=140円 05=180円 枠連:570円,,,,,,,,,,,
"馬連:8,030円 ワイド:05-10=1,950円 04-10=910円 04-05=360円",,,,,,,,,,,,"馬連:2,390円 ワイド:02-08=720円 01-02=640円 01-08=520円",,,,,,,,,,,,"馬連:490円 ワイド:01-03=250円 01-02=570円 02-03=1,020円",,,,,,,,,,,,馬連:570円 ワイド:03-06=270円 03-05=500円 05-06=600円,,,,,,,,,,,
"馬単:18,960円 3連複:5,300円 3連単:56,900円",,,,,,,,,,,,"馬単:5,910円 3連複:2,930円 3連単:24,610円",,,,,,,,,,,,"馬単:680円 3連複:1,710円 3連単:3,840円",,,,,,,,,,,,"馬単:1,020円 3連複:1,540円 3連単:5,390円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
