15年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
12, 3,Ｊチョｰハッピｰ, 55,幸英明, 3.4, 40,*  4, -23, 3, 13.2,①①②,,,,,,,,,,,,,12, 6,Ｆカッサイ, 66,森一馬, 1.8, 52,  -9,  -2, 9, 47.4, ⑩⑨,12, 3,Ｇタマモトッププレイ, 78,高倉稜, 1.0, 69,* -2,   8, 7, 20.1,③④⑤
13, 8, アプシュルトス,---,岡田祥, 3.5, 41,   0, -17, 4, 13.5,⑩⑪⑬,,,,,,,,,,,,,13,11,Ｌオシャレバンチョウ, 58,義英真, 2.0, 50, -11,  -3,14,332.2, ⑪⑩,13,11,Ｃマデイラ, 81,酒井学, 1.0, 73,  -7,  19, 9, 25.0,⑬⑬⑬
14,10,Ｍタイキヒストリｰ, 49,藤懸貴, 3.8, 37,  -3, -13,15,490.8,⑭⑮⑮,,,,,,,,,,,,,14, 3,Ｎアワｰドジャック, 48,中谷雄, 2.3, 47,  -9,  -7,10, 57.2, ⑨⑪,14, 1,Ｎテｰオｰケンジャ, 67,柴田未, 1.4, 64,  -4,   6,13,141.1,⑥⑧⑧
15,15,Ｎトウカイオリエント, 45,秋山真, 3.9, 35,   2, -24,11, 90.0,③⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
単勝:120円 複勝:07=100円 05=130円 14=490円 枠連:280円,,,,,,,,,,,,単勝:170円 複勝:07=110円 04=120円 08=130円 枠連:0円,,,,,,,,,,,,"単勝:1,100円 複勝:07=280円 08=110円 14=580円 枠連:890円",,,,,,,,,,,,単勝:880円 複勝:04=290円 09=360円 05=640円 枠連:930円,,,,,,,,,,,
"馬連:290円 ワイド:05-07=150円 07-14=1,000円 05-14=3,130円",,,,,,,,,,,,馬連:350円 ワイド:04-07=160円 07-08=180円 04-08=310円,,,,,,,,,,,,"馬連:970円 ワイド:07-08=470円 07-14=5,240円 08-14=1,460円",,,,,,,,,,,,"馬連:3,690円 ワイド:04-09=1,230円 04-05=2,360円 05-09=2,570円",,,,,,,,,,,
"馬単:350円 3連複:4,810円 3連単:9,550円",,,,,,,,,,,,"馬単:430円 3連複:430円 3連単:1,170円",,,,,,,,,,,,"馬単:3,250円 3連複:10,650円 3連単:71,890円",,,,,,,,,,,,"馬単:7,400円 3連複:22,880円 3連単:141,170円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鳥栖特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａデビュタント, 67,川田将,, 64,*-10,   6, 1,  1.9, ③②, 1,16,Ａピｰスオブジャパン, 63,鮫島克,, 68,*  0,*  4, 2,  3.4,⑪⑤④, 1, 2,Ｅザトゥルｰエアｰ, 66,幸英明,, 78,   9,   1, 4,  8.1,⑤④③, 1,13,Ｂファイヤｰロック, 76,松山弘,, 75,*  4,*  9, 3,  6.4,⑨⑤④
 2, 1,Ｂティｰエスバラ, 64,松山弘, 0.2, 61, -14,*  7, 2,  3.4, ⑦④, 2, 4,Ｂタガノヴェリテ, 61,酒井学, 0.3, 67,  -2,*  7, 1,  2.8,⑬⑪⑨, 2,12,Ｆタガノカムイ, 64,川田将, 0.2, 77,   3,* 10, 2,  3.3,⑦⑦⑦, 2, 5,Ｆレイズオブザサン, 73,藤懸貴, 0.2, 72,   1,* 13,12, 81.3,⑩⑩⑩
 3, 6,Ｑノイエヴェルト, 35,義英真, 0.4, 60, -21,* 11,15,119.4, ⑮⑬, 3,15,Ｏエイシンダｰラ, 38,川田将, 0.5, 63,*  2,  -5, 6, 17.8,①①①, 3, 1,Ａアイオシルケン, 74,岩崎翼, 0.2, 75,   6,   5, 3,  5.3,⑥⑥⑥, 3,10,Ｄガンジｰ, 74,幸英明, 0.2, 71,*  5,   4, 2,  4.7,②②②
 4,13,Ｈテイエムセキハン, 54,鮫島良, 0.5, 58,*-11,   1,10, 32.9, ④⑥, 4, 9,Ｅサトノマジカル, 55,浜中俊, 0.7, 62,  -1,* -1, 5, 13.6,⑰⑦⑥, 4, 5,Ｂキャノンプレｰト, 73,浜中俊, 0.5, 69,   9,  -8, 1,  2.8,④③②, 4, 1,Ｉニチドウリュンヌ, 71,難波剛, 0.2, 72,*  4,   6,10, 36.0,③③③
 5,16,Ｃハコダテロｰズ, 61,中谷雄, 0.5, 59, -19,*  9, 6, 21.7, ⑯⑯, 5, 6,Ｃチェイスザチャンス, 60,柴田未, 0.9, 59,*  0,  -7, 4, 10.5,②③③, 5, 6,Ｄメイショウコルノ, 68,高倉稜, 0.9, 67,* 11, -18, 5, 12.2,①①①, 5, 3,Ｃウエスタンパレｰド, 74,和田竜, 0.3, 71,   2,*  8, 4,  7.5,⑦⑧⑧
 6, 4,Ｇムラングシャンティ, 54,高倉稜, 0.5, 58, -17,   6, 8, 24.7, ⑪⑦, 6,14,Ｉメイショウソウソウ, 49,中谷雄, 1.2, 55,*  0, -14, 7, 32.4,⑤②②, 6, 8,Ｈウインマルゲリｰタ, 63,国分恭, 1.1, 71,  -1,   8,12,161.2,⑩⑩⑩, 6, 6,Ｍキングルアウ, 66,川須栄, 0.5, 71,   3,   5,11, 44.1,⑤⑥⑤
 7, 8,Ｏウインカルミナ, 45,幸英明, 0.6, 57, -14,   2,12, 83.2, ⑧⑤, 7,18,Ｄメモリｰユニオン, 56,藤懸貴, 1.3, 59,  -2,  -7,14, 80.5,⑧⑩⑧, 7, 7,Ｊトウカイララバイ, 58,岡田祥, 1.3, 65,   0,   0,13,175.9,⑨⑨⑨, 7,12,Ｅシャトｰウインド, 74,酒井学, 0.5, 71,   3,   5, 6,  9.4,⑧⑦⑥
 8, 9,Ｄテイエムヤンチャボ, 60,岩崎翼, 0.7, 53,* -8,  -4, 7, 23.3, ①①, 8, 8,Ｆナムラオツウ, 55,高倉稜, 1.3, 57,  -1,  -9, 3,  5.6,⑩⑥⑤, 8,11,Ｇマイネルマエストロ, 63,和田竜, 1.3, 64,   9, -18, 6, 13.1,③⑤④, 8, 8,Ｇオウケンワｰルド, 73,川田将, 0.6, 68,*  5,   1, 1,  3.6,①①①
 9, 5,Ｊナンゴクミチカ, 52,酒井学, 0.8, 55, -24,*  9,13, 88.9, ⑱⑰, 9, 1, ミスズメサイア,---,太宰啓, 1.4, 54,  -4,  -5,10, 35.6,⑯⑬⑬, 9, 9,Ｋワクワクカンヲ, 57,鮫島克, 1.3, 68,  -4,* 10, 9, 50.4,⑫⑫⑪, 9, 4,Ｈゲｰムフェイス, 72,太宰啓, 1.4, 65,   0,   2, 8, 15.5,⑬⑬⑪
10, 3,Ｋノｰスファンタジｰ, 51,小牧太, 1.0, 51, -21,   3, 5, 19.6, ⑭⑫,10, 3,Ｋシャイニｰビｰム, 46,川須栄, 1.5, 54,  -3,  -5,15, 94.3,⑦⑭⑭,10, 3,Ｍセルリアンコスモ, 53,佐藤友, 1.7, 61,   0,  -6,11,138.3,⑧⑧⑧,10, 7,Ｊゼンノスサノヲ, 69,熊沢重, 1.8, 64,   1,  -1,13, 94.0,⑭⑭⑭
11,15,Ｌナンシｰ, 46,佐藤友, 1.1, 49,* -9,  -8,16,206.6, ②③,11, 7, トレジャｰステイト,---,佐藤友, 1.7, 51,  -4, -10, 8, 32.6,⑨⑫⑪,11,13,Ｉグラｰネ, 62,松山弘, 2.0, 64,  -6,*  9, 8, 46.0,⑬⑬⑬,11,11,Ｋテイエムテツジン, 68,小牧太, 1.9, 61,   1,  -4, 5,  9.4,⑫⑨⑨
12,14,Ｍカイルアブルｰ, 46,国分恭, 1.2, 48, -15,  -4,18,256.6, ⑨⑨,12, 2,Ｇアニエｰル, 53,義英真, 1.8, 52,  -5,  -7,11, 59.2,⑭⑯⑯,12, 4,Ｌスズカチャンプ, 57,酒井学, 2.4, 56,  -4,  -4,10,105.2,⑪⑪⑫,11, 9,Ａコウエイアｰス, 77,鮫島克, 1.9, 60,   0,  -3, 9, 35.0,⑪⑪⑫
13,10,Ｎヤマニンプチロｰブ, 45,三津谷, 1.3, 45, -17,  -4,17,233.0, ⑫⑧,13,13,Ｍメイショウカルデラ, 39,幸英明, 2.2, 49,  -7, -11,17,142.3,⑱⑱⑮,13,10,Ｃヤマニンアリエッタ, 70,秋山真, 3.6, 44,* 10, -56, 7, 15.4,②②⑤,13,14,Ｌカオｰル, 66,浜中俊, 2.6, 53,*  4, -15, 7, 10.8,④④⑦
14, 2,Ｅトリンカファイブ, 59,鮫島克, 1.5, 44, -25,   1, 4, 17.8, ⑰⑱,14,11,Ｌインタｰセプタｰ, 44,和田竜, 2.7, 42,  -4, -23, 9, 35.0,⑮⑮⑫,,,,,,,,,,,,,14, 2,Ｎグレｰトエンジェル, 64,佐藤友, 3.0, 53,  -3,  -7,15,328.7,⑮⑮⑮
15,17,Ｆシャイニｰシチｰ, 55,熊沢重, 1.9, 38, -15, -13,11, 82.8, ⑩⑭,15,12,Ｊアスクティタｰン, 49,岡田祥, 2.8, 40,  -2, -30,16,138.6,④⑧⑩,,,,,,,,,,,,,15,15,Ｏミッキｰナイト, 62,義英真, 3.7, 48,   0, -18,14,192.5,⑥⑫⑬
16,11, アキトプラズマ,---,秋山真, 2.2, 33, -18, -15, 9, 26.7, ⑬⑮,16,17,Ｈカネトシルミナ, 49,森一馬, 3.4, 36,*  1, -42,13, 73.4,③④⑦,,,,,,,,,,,,,,,,,,,,,,,,
17,12,Ｐグレアチャネル, 42,太宰啓, 2.7, 28, -12, -26,14,103.6, ⑤⑩,17,10,Ｐアドマイヤアラシ, 33,小牧太, 3.7, 34,  -2, -41,12, 61.3,⑥⑨⑰,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Ｉジュｰンブラジリエ, 52,和田竜, 2.7, 28, -12, -26, 3, 13.6, ⑥⑪,18, 5,Ｎニホンピロラプタｰ, 39,国分恭, 3.8, 35,  -6, -33,18,277.7,⑫⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
