15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,久多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 2,Ｃレッドヴェルサス, 47,デムｰ, 0.5, 45,* -5, -10, 4,  8.8, ①①, 4, 3, アリアカンタｰビレ,---,武豊  , 0.6, 36, -23,  -9, 5, 11.3, ④④, 4, 1,Ｂオデッタ, 76,デムｰ, 0.2, 78,  -5,* 14, 3,  5.6,⑩⑪⑨, 4, 5,Ｂエクストラゴｰルド, 87,福永祐, 0.5, 77,  14,  -4, 2,  5.3,⑥⑤④
 5, 1,Ｅクリノセゴビア, 44,鮫島克, 0.8, 51, -13,   3, 5, 43.1, ⑧⑧, 5, 5, ラフェデビジュｰ,---,福永祐, 0.6, 34, -24, -11, 6, 11.9, ③③, 5, 5,Ｉミッキｰタイガｰ, 71,鮫島克, 0.4, 73,  -3,   3,11, 75.3,⑧⑥⑤, 5, 9,Ｄハギノタイクｰン, 86,ルメｰ, 0.5, 80,  11,*  3, 7, 12.3,⑨⑩⑪
 6, 6,Ｈディト, 31,松山弘, 1.3, 39,* -6, -21, 6, 55.0, ②②, 6,14, グランドウイズダム,---,和田竜, 0.7, 35,*-20, -15,15,292.5, ②②, 6,11,Ｌアドマイヤロワ, 63,福永祐, 0.6, 71,  -3,   2, 6, 15.6,⑥⑧⑧, 6, 7,Ｉマヤノオントロジｰ, 82,小牧太, 0.6, 80,  11,   2,10, 56.2,⑪⑪⑫
 7, 8,Ｆコスモアモル, 37,国分恭, 2.3, 31, -12, -22, 8,245.0, ⑦⑦, 7,11, ロビｰナ,---,川島信, 0.7, 40, -29,* -2,11,136.2, ⑬⑪, 7,12,Ｋレッドクラｰケン, 63,加藤祥, 0.6, 68,*  0,  -5,10, 37.5,①①①, 7,12,Ｋトウショウギフト, 80,岩部純, 0.6, 78,  12,   0,12,144.9,⑩⑨⑧
 8, 7,Ｇダイシンアレッタ, 33,川田将, 2.6, 24,  -7, -37, 7,105.7, ③③, 8, 4, ジェミナ,---,デムｰ, 0.8, 37, -30,*  0, 4,  8.1, ⑭⑭, 8, 2,Ｅグラブザフラッグ, 74,小牧太, 0.6, 75,  -4,   6, 5, 15.5,⑦⑨⑪, 8, 3,Ｅマイネルオフィｰル, 84,デムｰ, 0.8, 75,  14,  -5, 6,  9.4,⑤⑥⑥
,,,,,,,,,,,, 9, 9, オｰミパドドゥ,---,畑端省, 0.9, 35, -28,  -6,10,117.3, ⑩⑫, 9,10,Ｆピエｰルドリュヌ, 73,松若風, 0.8, 70,  -4,   4, 8, 19.9,⑤⑩⑩, 9, 1,Ｆカラパナビｰチ, 84,川田将, 1.9, 69,* 15, -17, 4,  6.2,②②②
,,,,,,,,,,,,10,15, セミラミス,---,松山弘, 0.9, 36, -27,  -7, 8, 69.7, ⑪⑩,10, 7,Ｄクレスト, 75,松山弘, 1.0, 66,* -1,  -7, 2,  5.2,⑨④④,10,10,Ｈマノワｰル, 83,武豊  , 2.1, 68,  12, -14, 3,  5.3,⑧⑧⑨
,,,,,,,,,,,,11, 8, ラブリエ,---,幸英明, 1.1, 34, -27, -10, 7, 53.2, ⑨⑨,11, 9,Ｊテイエムクロタカ, 67,古川吉, 1.2, 61,* -1, -11,12,122.1,②②③,11, 6,Ｌケルヴィンサイド, 77,松山弘, 3.0, 62,  14, -25, 9, 29.5,④④⑤
,,,,,,,,,,,,12, 7, ミヤビキラリ,---,加藤祥, 1.2, 25,*-21, -24, 9, 79.1, ①①,12, 3,Ｈシゲルシチフクジン, 71,太宰啓, 5.8, 11,  -7, -62, 9, 20.8,⑪⑫⑫,12,11,Ｇアテンファｰスト, 83,池添謙, 3.1, 62,* 15, -28,11, 68.3,③③③
,,,,,,,,,,,,13, 1, チケットトゥヘブン,---,城戸義, 1.4, 25, -25, -20,12,160.8, ⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
