15年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9,11,Ｈシルヴィｰボｰテ, 29,岩田康, 1.2, 29, -10, -28, 4, 10.2, ⑦⑧, 9, 2,Ｍノｰスダルジャン, 42,川島信, 1.7, 50,  -4,   0,15,302.7,⑪⑪⑩, 9,10,Ｐセイリングオｰダｰ, 46,松山弘, 2.0, 58,   7, -22,14,177.4,⑬⑮⑯, 9,10,Ｅメモリｰシャルマン, 83,国分優, 1.3, 73,   7,   5, 9, 34.9,⑬⑮⑮
10, 8,Ｉナムラマロン, 28,国分優, 1.9, 22, -14, -32,11,125.2, ⑪⑪,10, 4,Ｌメイショウヒグラシ, 48,武幸四, 1.8, 53,  -6,   1,13,146.7,⑭⑫⑬,10,13,Ｋスパｰクルジョイ, 53,松若風, 2.1, 56,  10, -31,12, 88.5,⑥⑨⑧,10, 8,Ｊアスタｰフレンチ, 77,和田竜, 1.7, 71,  11,  -4,14, 79.6,⑦⑨⑪
11,10,Ｋシゲルオキサワラ, 16,義英真, 1.9, 22,* -6, -44,10, 90.5, ①①,11, 3,Ｉオヤマタイザン, 53,岡田祥, 2.0, 50,  -6,   0,14,280.7,⑬⑬⑫,11, 8,Ｊメイショウメイザン, 55,太宰啓, 2.1, 55,* 14, -41,15,193.5,②②①,11, 7,Ｐタガノギャラクシｰ, 65,武幸四, 2.0, 71,* 13, -12,13, 70.8,①①①
,,,,,,,,,,,,12,15,Ｅメイショウミソラ, 58,岩崎翼, 2.0, 47,  -3,  -8, 9, 30.4,⑦⑦⑧,12, 3,Ｏエスケイアタック, 48,鮫島克, 2.2, 55,   8, -30,18,342.3,⑨⑩⑪,12, 4,Ｍクレスコモア, 77,松山弘, 2.0, 70,  11,  -7,10, 45.3,⑧⑩⑧
,,,,,,,,,,,,13,14,Ｇワンダｰヴァロｰレ, 56,藤懸貴, 2.1, 44,* -1, -11,11, 45.7,⑧④④,13,16,Ｎヤマニントライブ, 50,国分優, 2.3, 53,* 12, -43,17,277.6,④③②,13,12,Ｌサンライズウェイ, 77,松若風, 2.0, 71,  12,  -9,11, 50.9,⑥⑤⑥
,,,,,,,,,,,,14, 6,Ｊエイシンバンバ, 52,太宰啓, 2.2, 46,  -4,  -7,12, 47.0,⑨⑨⑪,14, 6,Ｆインスパイアｰ, 59,和田竜, 4.4, 45,   8, -61, 8, 26.4,③④⑩,14,13,Ｈスリｰタイタン, 78,国分恭, 2.1, 72,   7,   1,16,188.2,⑯⑯⑯
,,,,,,,,,,,,15,11,Ｋスｰムジュｰル, 50,デムｰ, 7.9,  1,  -3, -59, 5, 13.0,⑥⑥⑦,15, 7,Ｈデルマフウライマツ, 56,高倉稜, 4.5, 45,   8, -62,10, 67.3,⑯⑭⑬,15,14,Ｎメイショウオオゼキ, 77,熊沢重, 2.8, 65,  11, -14,15,162.6,⑨⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｑトミｰゴｰルド, 45,義英真, 5.0, 41,   2, -48,16,199.0,⑰⑱⑱,16, 6,Ｉタイセイバスタｰ, 78,小牧太, 3.4, 60,  12, -22,12, 55.7,⑪⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｌサンライズビジュｰ, 51,藤懸貴, 6.6,  4,  10, -94,11, 78.4,①①⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｒクレバｰフォｰス, 25,中谷雄, 6.9,  0,   3, -81,13,101.3,⑮⑰⑰,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-6),,,,,,,,,,,
単勝:150円 複勝:03=110円 09=170円 04=510円 枠連:560円,,,,,,,,,,,,"単勝:480円 複勝:01=170円 05=280円 13=400円 枠連:2,370円",,,,,,,,,,,,"単勝:470円 複勝:01=180円 14=800円 05=160円 枠連:2,080円",,,,,,,,,,,,単勝:290円 複勝:03=140円 09=180円 02=490円 枠連:770円,,,,,,,,,,,
"馬連:620円 ワイド:03-09=310円 03-04=860円 04-09=2,180円",,,,,,,,,,,,"馬連:2,280円 ワイド:01-05=730円 01-13=1,440円 05-13=2,150円",,,,,,,,,,,,"馬連:10,830円 ワイド:01-14=3,080円 01-05=340円 05-14=2,190円",,,,,,,,,,,,"馬連:850円 ワイド:03-09=340円 02-03=1,120円 02-09=1,980円",,,,,,,,,,,
"馬単:870円 3連複:4,390円 3連単:10,870円",,,,,,,,,,,,"馬単:4,250円 3連複:14,590円 3連単:70,510円",,,,,,,,,,,,"馬単:17,450円 3連複:9,470円 3連単:73,060円",,,,,,,,,,,,"馬単:1,540円 3連複:5,960円 3連単:19,390円",,,,,,,,,,,
■ 2R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1900m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,CBC賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16, エイシンガイア,---,幸英明,, 52,  -3,*  2,11, 67.7,⑮⑭⑬, 1, 1, ロスカボス,---,デムｰ,, 42, -41,* 11, 2,  2.8,⑧⑥⑤, 1, 1,Ｇトゥヴァビエン, 74,高田潤,, 72,   6,*  3, 8, 25.8,⑫⑫⑪, 1, 6,Ａウリウリ, 91,岩田康,, 79,   3,* 11, 2,  5.1, ⑭⑫
 2, 4,Ｅサクラティンクル, 48,中谷雄, 0.0, 49,*  5, -14, 5, 13.1,②②②, 2, 7, アストラエンブレム,---,秋山真, 0.1, 41, -43,* 14, 1,  2.3,⑨⑨⑨, 2, 2,Ｃカレングラスジョｰ, 77,武豊  , 0.0, 72,   8,   1, 1,  3.0,③⑤④, 2, 7,Ｄダンスディレクタｰ, 87,浜中俊, 0.1, 79,   5,   7, 1,  4.0, ⑩⑨
 3,15,Ａクィｰンチャｰム, 69,松山弘, 0.0, 52,   1,* -5, 1,  2.0,⑨⑨⑧, 3, 5, タンサンドｰル,---,北村宏, 0.2, 38,*-36,   3, 6, 21.5,②②②, 3,13,Ｉブレイクアウト, 74,義英真, 0.1, 71,*  9,  -3,11, 53.2,②②②, 3,13,Ｉサドンストｰム, 84,国分優, 0.1, 78,   3,   9, 3,  6.6, ⑬⑬
 4, 7,Ｄブｰケオブロｰズ, 52,太宰啓, 0.0, 49,*  7, -15, 7, 26.2,①①①, 4, 8, スズカボルト,---,岩田康, 0.5, 32, -39,   1, 4, 10.5,④④④, 4, 4,Ｅサトノスｰペリア, 75,秋山真, 0.2, 70,   8,   1, 4,  9.9,⑦⑨⑧, 4,10,Ｈベルルミエｰル, 84,川島信, 0.2, 80,   8,   3, 5,  8.6, ⑧⑦
 5, 2,Ｃレッドペルル, 56,浜中俊, 0.1, 47,   4, -13, 2,  4.8,④④④, 5, 4, ゼットフｰリ,---,松山弘, 0.5, 32,*-36,  -3, 5, 18.5,①①①, 5,10,Ｋゼンノスサノヲ, 71,熊沢重, 0.2, 72,   8,  -1,12, 94.7,⑧⑧⑩, 5, 1,Ｆセイカプリコｰン, 85,岡田祥, 0.3, 74,  -3,* 12,17,250.9, ⑰⑯
 6, 8,Ｉメイケイエンジェル, 36,川島信, 0.2, 48,   2, -12,14,181.1,⑪⑧⑦, 6, 2, ゴｰルドラッシュ,---,川田将, 1.1, 25, -39,  -7, 3,  6.1,③③③, 6, 6,Ｈエアカｰディナル, 74,デムｰ, 0.3, 70,   6,*  4, 6, 15.3,⑮⑭⑬, 6,12,Ｃタガノブルグ, 87,秋山真, 0.4, 73,  -4,* 12,14, 52.0, ⑯⑰
 7,13,Ｂマララ, 58,松若風, 0.5, 43,  -2, -10, 4, 11.3,⑬⑪⑪, 7, 3, マニワッショイ,---,浜中俊, 1.3, 22, -40,  -7, 7, 34.6,⑤⑤⑥, 7, 5,Ｊダノンアンビシャス, 72,岩田康, 0.4, 69,*  9,  -5, 7, 16.7,⑥③③, 7, 4,Ｑトｰホウアマポｰラ, 74,幸英明, 0.5, 76,  10,  -4, 9, 23.0, ⑤⑤
 8, 5,Ｊワイカヘ, 33,鮫島克, 0.7, 41,  -2, -13, 9, 48.3,⑦⑩⑩, 8, 6, イｰグルバイオ,---,国分優, 1.4, 22, -43,  -4, 8, 62.2,⑥⑧⑧, 8,16,Ｂメイショウウタゲ, 78,武幸四, 0.5, 72,*  9,  -5, 5, 10.0,⑨④⑦, 8, 8,Ｐジャストドゥイング, 75,松山弘, 0.6, 76,  12,  -7, 8, 16.3, ④④
 9, 3,Ｆシｰクレットオｰス, 44,デムｰ, 0.8, 40,   2, -22, 3,  5.5,⑤⑤⑥, 9, 9, メイショウヨイチ,---,幸英明, 1.7, 19, -40, -11, 9, 84.0,⑦⑦⑦, 9, 8,Ｄタガノコルコバｰド, 75,幸英明, 0.8, 69,   8,  -4,10, 29.7,⑩⑪⑫, 9,14,Ｂホウライアキコ, 89,和田竜, 0.7, 73,   8,  -4, 4,  8.6, ⑥⑧
10, 6, ブレイジング,---,国分優, 1.1, 35,   2, -26,10, 53.4,⑧⑦⑤,,,,,,,,,,,,,10,14,Ａサトノロブロイ, 79,川島信, 1.0, 66,   8,  -8, 3,  4.8,④⑦⑥,10,17,Ｇワキノブレイブ, 84,武豊  , 0.8, 70,   5,  -2,12, 30.7, ⑨⑩
11,14, ブレスオブファイア,---,北村宏, 1.2, 38,  -2, -18, 8, 44.6,⑩⑫⑫,,,,,,,,,,,,,11, 9,Ｍショウナンガッチャ, 70,中谷雄, 1.0, 66,   7,  -6,13, 94.9,⑯⑩⑨,11, 2,Ｅフレイムヘイロｰ, 87,西田雄, 0.9, 72,  13, -11,15, 63.2, ③③
12,10,Ｇシゲルヤマガサ, 39,義英真, 1.4, 34,*  5, -33,16,472.0,③③③,,,,,,,,,,,,,12, 3,Ｌネオヴァリアント, 71,松山弘, 1.9, 61,   8, -16, 9, 28.5,⑤⑥⑤,12, 9,Ｊベステゲシェンク, 83,北村宏, 1.1, 67,   4,  -5, 6, 10.3, ⑪⑪
13,11, サンレイミヤビ,---,花田大, 1.6, 32,   1, -28,13,119.9,⑥⑥⑨,,,,,,,,,,,,,13,15,Ｏメイショウサタｰン, 58,鮫島良, 2.0, 62,   5, -10,15,208.6,⑬⑮⑮,12,18,Ｋニンジャ, 80,国分恭, 1.1, 66,  -1,   0,13, 48.6, ⑮⑮
14, 9,Ｈルトルヴェｰル, 38,小牧太, 1.8, 31,  -3, -24,12, 68.9,⑫⑬⑭,,,,,,,,,,,,,14, 7,Ｆウォｰタｰイｰグル, 74,浜中俊, 2.1, 58,*  9, -20, 2,  4.5,①①①,14, 5,Ｏレオパルディナ, 75,川須栄, 1.2, 72,* 20, -22,11, 29.5, ①①
15,12, ライラックロｰズ,---,岩田康, 2.9, 18,  -7, -33, 6, 18.7,⑭⑮⑮,,,,,,,,,,,,,15,12,Ｐヤマカツスピｰド, 51,国分恭, 2.8, 56,   6, -18,14,119.0,⑪⑬⑭,15,11,Ｒレオンビスティｰ, 72,森一馬, 1.4, 68,* 18, -23,16,199.8, ②②
16, 1,Ｋエスケイミネルバ, 28,国分恭, 3.5, 15, -21, -18,15,353.3,⑯⑯⑯,,,,,,,,,,,,,16,11,Ｎモズワトウナイ, 61,小牧太, 3.8, 52,   5, -24,16,231.1,⑭⑯⑯,16,15,Ｎレッドオｰヴァル, 76,デムｰ, 1.8, 57,   1, -11, 7, 16.0, ⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｌマコトナワラタナ, 80,川田将, 5.4, 16,   9, -66,10, 28.3, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-22 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:2),,,,,,,,,,,
"単勝:6,770円 複勝:16=1,700円 04=300円 15=110円 枠連:360円",,,,,,,,,,,,単勝:280円 複勝:01=120円 07=110円 05=230円 枠連:230円,,,,,,,,,,,,"単勝:2,580円 複勝:01=610円 02=160円 13=990円 枠連:4,520円",,,,,,,,,,,,単勝:510円 複勝:06=180円 07=160円 13=200円 枠連:840円,,,,,,,,,,,
"馬連:43,080円 ワイド:04-16=10,600円 15-16=2,390円 04-15=530円",,,,,,,,,,,,馬連:270円 ワイド:01-07=150円 01-05=540円 05-07=570円,,,,,,,,,,,,"馬連:4,170円 ワイド:01-02=1,280円 01-13=12,440円 02-13=2,990円",,,,,,,,,,,,"馬連:1,170円 ワイド:06-07=530円 06-13=650円 07-13=600円",,,,,,,,,,,
"馬単:96,910円 3連複:22,690円 3連単:293,890円",,,,,,,,,,,,"馬単:640円 3連複:1,270円 3連単:4,150円",,,,,,,,,,,,"馬単:11,340円 3連複:55,670円 3連単:394,830円",,,,,,,,,,,,"馬単:2,400円 3連複:2,390円 3連単:9,110円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,美濃特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅトウカイクロｰネ, 59,川田将,, 61, -13,*  7, 4, 10.0, ⑭⑬, 1, 2, エスティタｰト,---,武豊  ,, 55, -14,*  1, 1,  1.7, ④③, 1, 4,Ｌアドマイヤガスト, 62,川田将,, 78,   1,* 12, 6, 14.4,⑨⑪⑫, 1,14,Ａアンナミルト, 81,デムｰ,, 80,* 10,*  7, 1,  3.5, ④④
 2, 6,Ｂジェントルヴァウ, 60,浜中俊, 0.2, 61,* -1,  -8, 2,  3.8, ③③, 2, 4, ブンブンブラウ,---,松山弘, 0.1, 53,*-10,  -5, 7, 24.5, ①①, 2, 3,Ｇシャッタｰチャンス, 70,小牧太, 0.0, 78,   3,*  9, 7, 17.2,⑮⑬⑪, 2,16,Ｇヴァイセフラウ, 72,松山弘, 0.3, 80,* 11,   2, 6, 13.2, ①①
 3,15,Ｄエスジｰプログレス, 59,国分優, 0.2, 59,  -8,* -1, 9, 34.1, ⑬⑩, 3,10, エキドナ,---,岩田康, 0.3, 49,*-13,  -6, 5, 15.4, ②②, 3, 1,Ａビップレボルシオン, 75,浜中俊, 0.1, 71,* 11, -11, 2,  3.9,⑭①①, 3, 1,Ｂトウケイタイガｰ, 77,川田将, 0.6, 77,* 10,   2, 2,  3.5, ③③
 4, 7,Ａデビュタント, 61,武豊  , 0.3, 59,  -5,  -5, 1,  2.4, ⑦⑧, 4, 3, タンギモウジア,---,小牧太, 0.4, 51, -18,*  0, 2,  5.1, ⑥⑤, 4,13,Ｅキャノンプレｰト, 71,岩田康, 0.3, 71,   7,  -4, 5, 11.5,⑤⑦⑥, 4, 2,Ｅクレアドｰル, 73,武豊  , 0.8, 71,   4,   5, 4,  9.6, ⑨⑧
 5, 9,Ｃトｰホウバｰド, 60,鮫島克, 0.4, 58,  -5,  -6, 3,  5.8, ⑩⑥, 5, 8, イイデシロ,---,和田竜, 0.9, 44, -14, -10, 6, 24.2, ③④, 5, 2,Ｏザイディックメア, 55,北村宏, 0.6, 71,   3,   0,10, 38.2,⑧⑧⑩, 5,13,Ｃティップトップ, 75,浜中俊, 0.8, 70,  -1,*  9, 3,  5.0, ⑬⑬
 6, 1,Ｌハｰベストブルｰ, 48,松山弘, 0.8, 56,*  2, -18, 6, 22.4, ①①, 6, 9, クｰルマギｰ,---,浜中俊, 0.9, 43, -16,  -8, 4, 10.0, ⑦⑦, 6,14,Ｆイイデフュｰチャｰ, 71,幸英明, 0.7, 68,* 10, -17, 8, 20.8,③④②, 6,11,Ｉレガリテｰト, 70,高倉稜, 1.1, 71,   7,   0,10, 56.1, ⑤⑥
 7, 8,Ｍオｰキャロル, 47,北村宏, 0.9, 52,  -6, -11, 8, 27.4, ⑧⑨, 7, 7, ティノ,---,太宰啓, 1.0, 46, -19,  -3, 9, 65.1, ⑧⑧, 7,11,Ｄヤマノウィザｰド, 73,松山弘, 0.7, 69,   6,  -7, 3,  4.5,⑦⑨⑧, 7,12,Ｈスタｰペスユウコ, 71,幸英明, 1.2, 69,   5,   1, 7, 14.5, ⑧⑦
 8,12,Ｈトウケイウルフ, 53,小牧太, 0.9, 52,  -8, -10, 5, 19.9, ⑨⑪, 8, 1, ダンガンレディ,---,義英真, 1.3, 41, -22,  -6, 8, 61.4, ⑨⑨, 8, 5,Ｂゲットアテｰプ, 75,デムｰ, 1.0, 66,   4,  -7, 1,  3.4,⑫⑩⑨, 8, 7,Ｋデンコウリョウ, 66,北村友, 1.6, 61,  -5,*  7,15,265.5, ⑮⑮
 9,10,Ｉナリタアネラ, 52,義英真, 1.1, 50,  -2, -18,12, 71.4, ④⑤, 9, 5, リヴァイバル,---,デムｰ, 1.5, 35, -16, -16, 3,  7.7, ⑤⑥, 9,12,Ｎデンコウセキトバ, 61,太宰啓, 1.0, 64,*  8, -17,12, 99.8,①②③, 9,15,Ｆトリックデック, 72,岩田康, 1.7, 63,   3,  -2,11, 58.1, ⑫⑪
10,18,Ｏナンシｰ, 42,森一馬, 1.3, 46, -19,  -3,16,170.3, ⑯⑯,10, 6, シゲルカマス,---,幸英明, 4.6,  2, -30, -36,10,115.3, ⑩⑩,10,15,Ｊダンツメガヒット, 65,秋山真, 1.1, 66,   0,   1,14,175.5,⑩⑫⑭,10, 3,Ｍタピエス, 62,鮫島克, 1.7, 63,   4,  -3,13, 78.8, ⑩⑩
11, 5,Ｇウェルカムワゴン, 53,松若風, 1.6, 42,  -5, -22,11, 35.5, ⑥⑦,,,,,,,,,,,,,11, 9,Ｉヤマニンエルフィン, 65,熊沢重, 1.2, 63,   6, -16,11, 93.5,⑥⑤⑦,11, 4,Ｄブリンディス, 74,中谷雄, 1.9, 63,* 10, -11, 8, 18.4, ②②
12, 2,Ｋアトリエ, 49,中谷雄, 1.8, 43,*  3, -32,13,118.1, ②②,,,,,,,,,,,,,12, 8,Ｋアラｰトミノル, 62,和田竜, 1.4, 64,   0,  -4,13,119.7,⑬⑭⑬,12, 6,Ｊラフィネシチｰ, 67,松若風, 2.1, 62,   6,  -8, 5, 12.1, ⑥⑤
13, 4,Ｆトリンカファイブ, 53,秋山真, 1.8, 40,  -2, -27,10, 35.5, ⑤④,,,,,,,,,,,,,13, 7,Ｈウイントゥモロｰ, 69,中井裕, 1.5, 61,   7, -23, 9, 27.5,②③④,13, 5,Ｐカシノハリウッド, 49,川須栄, 2.3, 57,  -2,  -3, 9, 34.1, ⑭⑭
14,14, アヴァンギャルド,---,幸英明, 1.9, 39, -21, -10, 7, 23.7, ⑱⑰,,,,,,,,,,,,,14, 6,Ｍテイエムレオネッサ, 61,義英真, 1.6, 62,  -1,  -4,15,292.0,⑪⑮⑮,14,10,Ｌハクサンエルモ, 65,和田竜, 2.7, 55,   5, -13,12, 76.4, ⑦⑨
15,16,Ｎメイショウララムリ, 46,太宰啓, 2.1, 36, -18, -15,17,344.5, ⑮⑮,,,,,,,,,,,,,15,10,Ｃオカホンコｰ, 73,国分優, 1.6, 58,   7, -23, 4,  7.8,④⑥⑤,15, 8,Ｏメイショウオヤシオ, 55,岡田祥, 3.1, 51,   3, -15,14,150.0, ⑪⑫
16,13,Ｐノイエヴェルト, 32,高倉稜, 2.4, 35, -24, -14,14,150.0, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｎマスタｰウィッシュ, 58,藤懸貴, 3.6, 44,  -9,  -8,16,438.2, ⑯⑯
