15年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9,16,Ｐパｰプルミラクル, 22,田中健, 1.4, 47, -14,  -4,15,348.4, ⑬⑬,,,,,,,,,,,,, 9, 7,Ｏサンマルメジャｰル, 62,北村友, 1.0, 61,*  6,  -6,12, 42.7, ②②, 9,12,Ｈシグナルプロシｰド, 79,川須栄, 1.5, 72,   6,  10, 6, 17.4,⑧⑦⑩
10,10,Ｅゴｰルドファｰム, 50,松若風, 1.9, 41, -12, -12, 1,  2.5, ⑨⑫,,,,,,,,,,,,,10,12,Ｈサンレイフロｰラ, 67,義英真, 1.0, 64,  -9,* 12,15,144.2, ⑯⑮,10, 2,Ｆテイエムグンカン, 81,田中健, 1.9, 68,* 10,  -1, 5,  9.0,①①①
11, 1,Ｉアルケミスト, 43,国分優, 2.0, 40,  -8, -15, 8, 19.2, ⑧⑧,,,,,,,,,,,,,11, 1,Ｉニシノシュロ, 67,国分恭, 1.2, 61,   0,  -1,10, 27.3, ⑤⑥,11, 8,Ｇハルカフジ, 80,内田博, 2.2, 67,   5,   7,13,105.7,⑩⑪⑪
12, 6,Ｏジオビｰト, 30,佐藤友, 2.1, 38, -13, -12,12,192.6, ⑫⑪,,,,,,,,,,,,,12, 9,Ｅアスタキサンチン, 68,川須栄, 1.2, 62,  -1,   1, 8, 16.2, ⑦⑧,12,13,Ｍコスモナイスガイ, 66,高倉稜, 2.4, 68,   3,   7,10, 63.4,⑬⑬⑬
13, 4,Ｇメイショウレオネス, 46,内田博, 2.2, 39, -16,  -9,10, 59.1, ⑮⑮,,,,,,,,,,,,,13,14,Ｎナウシカ, 63,松田大, 1.4, 62,  -5,   6,14,133.4, ⑬⑬,13,11,Ｌロングリバイバル, 67,太宰啓, 2.7, 63,   8,  -3, 7, 18.8,⑤⑤⑦
14, 2,Ｎササメユキ, 34,加藤祥, 2.4, 36, -11, -17,13,281.7, ⑪⑩,,,,,,,,,,,,,14, 4,Ｋイルｰシヴキャット, 65,川田将, 1.5, 58,   2,  -6, 1,  5.0, ④④,,,,,,,,,,,,
15,11,Ｍヨコミニョン, 35,高倉稜, 2.8, 35, -20, -10,16,670.2, ⑯⑯,,,,,,,,,,,,,15, 2,Ｐアイファｰハｰト, 59,太宰啓, 1.5, 60,  -5,   3,16,312.0, ⑪⑪,,,,,,,,,,,,
16,15,Ｌアフェクト, 39,鮫島良, 2.9, 33,  -5, -26, 7, 17.2, ③⑥,,,,,,,,,,,,,16,13,Ｃウインクルミラクル, 71,四位洋, 1.6, 58,  -5,   3, 3,  5.8, ⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:0),,,,,,,,,,,
"単勝:370円 複勝:07=140円 03=1,630円 14=180円 枠連:6,130円",,,,,,,,,,,,"単勝:4,540円 複勝:05=2,400円 07=730円 04=1,330円 枠連:13,290円",,,,,,,,,,,,"単勝:670円 複勝:11=190円 16=190円 10=350円 枠連:1,270円",,,,,,,,,,,,単勝:460円 複勝:05=170円 03=140円 07=340円 枠連:490円,,,,,,,,,,,
"馬連:19,640円 ワイド:03-07=4,540円 07-14=410円 03-14=6,970円",,,,,,,,,,,,"馬連:14,790円 ワイド:05-07=3,540円 04-05=2,700円 04-07=1,800円",,,,,,,,,,,,"馬連:1,490円 ワイド:11-16=620円 10-11=1,370円 10-16=1,080円",,,,,,,,,,,,"馬連:790円 ワイド:03-05=350円 05-07=1,300円 03-07=940円",,,,,,,,,,,
"馬単:36,940円 3連複:27,870円 3連単:196,830円",,,,,,,,,,,,"馬単:52,160円 3連複:46,370円 3連単:516,280円",,,,,,,,,,,,"馬単:3,270円 3連複:6,010円 3連単:33,450円",,,,,,,,,,,,"馬単:1,770円 3連複:3,750円 3連単:18,360円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾀﾝｻﾞﾅｲﾄｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂウインランブル, 55,川田将,, 61,   4,* -9, 1,  1.7,⑨⑥②, 1,14, エタｰナルユｰス,---,藤岡康,, 72, -13,* 15,10, 32.7, ⑧⑧, 1, 8,Ｄカリスマサンスカイ, 77,松田大,, 79, -12,* 25, 9, 22.8, ⑨⑨, 1, 2,Ｆテイエムタイホｰ, 82,松田大,, 82,  10,  22, 2,  4.1, ⑤⑤
 2,10,Ａジョｰスタｰライト, 56,川須栄, 0.9, 56,*  6, -21, 4, 14.7,①①①, 2,11, ミュゲプリンセス,---,国分優, 0.1, 69, -12,* 12, 1,  3.6, ⑥⑦, 2, 5,Ｋメイショウワダイコ, 70,池添謙, 0.1, 77,* -2,  14, 8, 17.0, ①①, 2,11,Ｄミッキｰラブソング, 83,小牧太, 0.2, 81,  11,  21, 3,  5.0, ⑥⑥
 3, 7,Ｆダンツペレット, 49,小牧太, 1.0, 55,   4, -19, 2,  4.5,③③④, 3,10, フジクイｰン,---,鮫島克, 0.1, 66,* -9,   5, 3,  6.1, ②②, 3,12,Ｅタッチシタイ, 77,川田将, 0.2, 77,  -7,  19, 7, 14.6, ⑤⑤, 3, 1,Ｊマイネルエテルネル, 78,菱田裕, 0.2, 80,   8,  23,10, 42.6, ⑧⑦
 4, 5,Ｈミトノグリｰン, 45,高倉稜, 1.2, 55,   4, -19, 9,112.6,④④③, 4, 9, ラガｰダンスドｰル,---,義英真, 0.3, 64,* -9,   3, 7, 18.4, ①①, 4,14,Ａカメット, 80,北村友, 0.5, 74,  -8,  17, 3,  6.0, ⑥⑥, 4,16,Ｍニシノビｰクイック, 73,国分恭, 0.3, 80,   4,* 27,14,129.0, ⑫⑩
 5, 9,Ｇロｰドレグナム, 46,鮫島克, 1.6, 50,   3, -22, 5, 15.2,⑤⑤⑤, 5,16, リュウキンカ,---,北村友, 0.3, 66, -12,   8, 5, 10.1, ⑦⑥, 5,10,Ｇサンマディソン, 75,四位洋, 0.5, 75,  -9,  18,11, 50.4, ⑦⑦, 5,14,Ａブラヴィッシモ, 90,川田将, 0.3, 79,   8,  22, 1,  2.5, ⑨⑧
 6, 1,Ｃボｰントゥウインズ, 53,国分恭, 2.0, 49,   1, -20, 8, 57.8,⑪⑩⑦, 6,18, ティｰゲット,---,菱田裕, 0.4, 66, -14,   9, 6, 12.9, ⑨⑨, 6, 7,Ｆクｰゲル, 75,義英真, 0.7, 72, -14,  20, 5,  7.8, ⑪⑪, 6,15,Ｈコナブリュワｰズ, 80,北村友, 0.5, 77,   5,  23, 7, 31.2, ⑪⑫
 7, 4,Ｄタマモベルガモ, 51,太宰啓, 2.0, 50,   0, -19, 7, 31.9,⑩⑪⑨, 7, 8, タイムレスメロディ,---,内田博, 0.4, 67, -16,* 12, 2,  3.8, ⑫⑪, 7, 4,Ｌリッシンロケット, 69,城戸義, 0.7, 73, -13,  19,12, 66.1, ⑩⑩, 7, 5,Ｃマテンロウハピネス, 85,四位洋, 0.6, 75,  12,  13, 4,  9.5, ④④
 8, 6,Ｅネフェルティティ, 50,松若風, 2.5, 46,*  5, -33, 3,  4.6,②②⑩, 8, 5, スケアｰド,---,鮫島良, 0.6, 64, -10,   4,13, 54.8, ③④, 8, 2,Ｃテｰオｰソルジャｰ, 78,藤岡康, 0.7, 72, -11,  18, 2,  4.4, ⑧⑧, 8, 6,Ｐセカンドテｰブル, 70,佐藤友, 0.7, 74,   9,  16, 9, 31.9, ⑦⑨
 9, 8,Ｋトルネｰドトウホウ, 37,水口優, 2.8, 43,   2, -28,11,272.7,⑧⑧⑥, 9,12, チェリｰランウェイ,---,川須栄, 0.7, 59,*-10,   0, 9, 25.4, ④③, 9, 9,Ｂタキオンレディｰ, 78,加藤祥, 0.9, 69,* -4,   9, 6, 10.5, ②②, 9, 8,Ｇニンジャ, 81,熊沢重, 0.7, 74,   3,  23, 6, 27.8, ⑬⑬
10,11,Ｊサカジロウィｰク, 40,熊沢重, 3.9, 39,   1, -37,10,255.6,⑥⑦⑧,10, 6, フェアリｰフォｰス,---,松田大, 0.9, 58, -11,   0,17,237.3, ⑤⑤,10, 6,Ｍアヴァｰル, 68,内田博, 1.1, 69,  -5,   9,10, 26.8, ③④,10, 3,Ｏレオパルディナ, 72,水口優, 0.7, 74,* 14,   9,12, 56.0, ③②
11, 2,Ｉリキッドブルｰ, 44,佐藤友, 4.1, 36,   0, -36, 6, 26.6,⑦⑨⑪,11,15, カチノハナ,---,城戸義, 1.0, 58, -15,   3,18,264.5, ⑩⑩,11, 3,Ｈスランジバｰル, 75,松若風, 1.1, 70, -16,  19,13, 81.0, ⑫⑫,11, 7,Ｎニザエモン, 73,鮫島克, 0.8, 72,* 17,   4,16,176.6, ①①
,,,,,,,,,,,,12,13, エクディス,---,松若風, 1.1, 59, -20,   8, 4,  8.7, ⑮⑭,12,11,Ｎイントゥザストｰム, 60,菱田裕, 1.2, 69,  -4,   8,14,157.6, ④③,12, 4,Ｅゴｰルドベル, 82,松若風, 0.8, 74,  -1,* 27,13, 87.7, ⑮⑮
,,,,,,,,,,,,13, 1, ゼットガガ,---,高倉稜, 1.2, 57, -16,   3,12, 50.4, ⑪⑫,13, 1,Ｊクレアドｰル, 72,鮫島克, 1.5, 65, -20,  19, 4,  7.5, ⑬⑬,13,12,Ｌシャイニｰホｰク, 74,内田博, 0.9, 73,   5,  18,15,164.1, ⑩⑪
,,,,,,,,,,,,14, 7, モズツドイ,---,国分恭, 1.8, 50, -17,  -3,16,184.9, ⑭⑬,,,,,,,,,,,,,14,10,Ｂブレイズアトレイル, 85,藤岡康, 0.9, 74,   0,  25, 5, 10.5, ⑭⑭
,,,,,,,,,,,,15, 3, オタカラハッケン,---,武幸四, 2.0, 49, -24,   2,11, 46.7, ⑰⑰,,,,,,,,,,,,,15, 9,Ｋタガノアザガル, 76,鮫島良, 1.0, 72,* 14,   6,11, 47.2, ②③
,,,,,,,,,,,,16, 2, エアショウ,---,四位洋, 2.3, 42, -20,  -7, 8, 20.9, ⑯⑯,,,,,,,,,,,,,16,13,Ｉダノンプログラマｰ, 79,国分優, 1.1, 71,  -1,  25, 8, 31.8, ⑯⑯
,,,,,,,,,,,,17,17, ハギノベリｰニ,---,池添謙, 3.9, 23, -16, -31,14, 98.4, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 4, クｰルオチョウ,---,太宰啓, 5.0, 20, -51,  -1,15,130.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:5),,,,,,,,,,,
単勝:170円 複勝:03=110円 10=220円 07=150円 枠連:970円,,,,,,,,,,,,"単勝:3,270円 複勝:14=810円 11=170円 10=190円 枠連:1,490円",,,,,,,,,,,,"単勝:2,280円 複勝:08=600円 05=670円 12=400円 枠連:3,120円",,,,,,,,,,,,"単勝:410円 複勝:02=180円 11=180円 01=710円 枠連:1,200円",,,,,,,,,,,
"馬連:1,150円 ワイド:03-10=370円 03-07=210円 07-10=640円",,,,,,,,,,,,"馬連:6,830円 ワイド:11-14=2,310円 10-14=2,680円 10-11=550円",,,,,,,,,,,,"馬連:23,200円 ワイド:05-08=5,270円 08-12=2,490円 05-12=2,790円",,,,,,,,,,,,"馬連:1,190円 ワイド:02-11=510円 01-02=1,970円 01-11=2,440円",,,,,,,,,,,
"馬単:1,430円 3連複:1,090円 3連単:5,090円",,,,,,,,,,,,"馬単:19,570円 3連複:14,440円 3連単:137,970円",,,,,,,,,,,,"馬単:51,610円 3連複:74,680円 3連単:545,470円",,,,,,,,,,,,"馬単:2,200円 3連複:11,600円 3連単:46,530円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｼｸﾗﾒﾝ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａノガロ, 64,松若風,, 62,* 19,* -7, 1,  3.6,③④③, 1, 8, サトノマルス,---,川田将,, 75,  -8,* 18, 1,  1.7, ④④, 1, 9,Ｃレプランシュ, 59,内田博,, 73, -28,* 32, 3,  4.0, ⑦⑥, 1, 1,Ｆキングストｰン, 77,松田大,, 91,  -9,* 31, 2,  4.6,⑤⑥⑥
 2,12,Ｂダノンアロｰダ, 61,藤岡康, 0.6, 57,  17, -12, 2,  3.6,⑦⑥④, 2,11, ラスファジャス,---,菱田裕, 0.2, 71,* -6,  10, 3,  5.7, ②②, 2, 8,Ｄフロムマイハｰト, 57,高倉稜, 0.0, 68,*-23,  23, 5, 12.1, ③②, 2, 5,Ｄザトゥルｰエアｰ, 78,菱田裕, 0.0, 93, -10,* 34, 6, 17.0,⑧⑩⑩
 3, 5,Ｅシゲルクルマダイ, 56,国分優, 0.6, 58,  14,* -4, 5,  8.6,⑩⑪⑪, 3, 5, レイナアラ,---,佐藤友, 0.8, 64,  -8,   6, 8, 41.0, ③③, 3, 7,Ｇダノンシャルマン, 38,川田将, 0.1, 68, -27,  26, 1,  2.5, ⑤④, 3, 8,Ｅレントラｰ, 77,藤岡康, 0.0, 88,* -6,  24, 1,  2.4,⑪①①
 4, 6,Ｉアルビオン, 50,佐藤友, 0.6, 59,  17,  -9,10, 91.1,⑥⑦⑧, 4, 7, ゼットマックイｰン,---,太宰啓, 0.9, 65, -12,  12,10,101.7, ⑨⑨, 4, 6,Ａヒｰズインラブ, 66,藤岡康, 0.1, 68, -25,  25, 2,  3.3, ②③, 4, 2,Ｇゴｰルドテｰラｰ, 76,小牧太, 0.1, 88,  -7,  26, 4,  7.0,③③③
 5, 2,Ｋフォンス, 48,内田博, 0.7, 57,  18, -12, 3,  4.1,⑫⑧⑥, 5, 9, ウォｰタｰプリアム,---,武幸四, 1.0, 63,  -9,   4, 5, 13.9, ⑤⑤, 5, 3,Ｂサンライズクロンヌ, 63,小牧太, 0.3, 67, -28,  27, 4,  6.1, ④⑤, 5, 4,Ｈマイネリベルタス, 76,高倉稜, 0.1, 87,* -6,  23, 7, 18.2,①②②
 6,11,Ｆサンライズサｰカス, 56,川田将, 1.2, 51,  18, -21, 4,  6.5,⑤⑤⑦, 6, 6, ナンヨｰリノ,---,内田博, 1.1, 64, -15,* 15, 4, 10.5, ⑩⑩, 6, 4,Ｆウォｰタｰミリオン, 52,武幸四, 0.4, 60,*-22,  14, 7, 55.3, ①①, 6, 6,Ａレｰヴデトワｰル, 80,川田将, 0.6, 84, -10,  26, 5,  8.7,⑨⑪⑨
 7, 9,Ｌスリｰアリアン, 23,鮫島良, 1.3, 55,  14, -11,12,320.8,⑪⑫⑫, 7,10, メイショウドスコイ,---,国分優, 1.2, 59,* -4,  -5, 9, 74.6, ①①, 7, 5,Ｅテイエムハヤブサ, 57,国分恭, 1.6, 53, -30,  14, 6, 32.3, ⑥⑦, 7, 3,Ｂサイモンラムセス, 80,内田博, 0.8, 82, -10,  22, 3,  5.2,⑦⑨⑪
 8, 1,Ｄガウェイン, 59,高倉稜, 1.3, 52,  18, -22, 9, 45.8,④③⑤, 8, 1, ロｰデルバｰン,---,池添謙, 1.3, 59, -12,   6, 2,  5.5, ⑧⑧, 8, 1, リン,---,佐藤友, 1.7, 53, -32,  17, 9,152.7, ⑧⑨, 8,10,Ｋナインテイルズ, 64,義英真, 1.1, 76,  -9,  16, 8, 35.7,④⑦⑦
 9, 4,Ｇグッドスカイ, 56,川須栄, 1.4, 50,  16, -19, 8, 42.7,⑧⑨⑨, 9, 2, アプロム,---,藤岡康, 1.5, 57, -10,   0, 7, 20.2, ⑥⑥, 9, 2, ノブタイザン,---,杉浦健, 1.8, 50, -31,  12, 8, 77.4, ⑨⑧, 9, 7,Ｉキンショｰタイム, 72,加藤祥, 1.3, 73,  -9,  13,11,145.4,⑩⑧⑧
10,10,Ｃトライブキング, 59,小牧太, 1.9, 47,  17, -26, 6, 10.8,⑨⑩⑩,10, 4, プリマｰベル,---,四位洋, 2.0, 51,  -9,  -7, 6, 18.6, ⑦⑦,,,,,,,,,,,,,10,11,Ｊレッドカチュｰシャ, 65,国分恭, 1.4, 71,  -8,   7,10, 98.2,②④④
11, 8,Ｈトｰアライジン, 53,太宰啓, 2.1, 43,* 20, -40, 7, 28.1,②②②,11, 3, タイセイドライヴ,---,鮫島克, 3.0, 42, -18,  -7,11,190.5, ⑪⑪,,,,,,,,,,,,,11, 9,Ｃラスカルトップ, 78,松若風, 1.5, 68,  -8,   6, 9, 52.5,⑥⑤⑤
12, 3,Ｊアｰススピｰド, 49,加藤祥, 2.9, 38,* 22, -53,11,138.8,①①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:5),,,,,,,,,,,
単勝:360円 複勝:07=130円 12=140円 05=190円 枠連:350円,,,,,,,,,,,,単勝:170円 複勝:08=110円 11=160円 05=500円 枠連:400円,,,,,,,,,,,,"単勝:400円 複勝:09=140円 08=230円 07=110円 枠連:2,150円",,,,,,,,,,,,"単勝:460円 複勝:01=160円 05=300円 08=140円 枠連:5,020円",,,,,,,,,,,
馬連:650円 ワイド:07-12=300円 05-07=580円 05-12=520円,,,,,,,,,,,,"馬連:430円 ワイド:08-11=210円 05-08=1,090円 05-11=2,480円",,,,,,,,,,,,"馬連:2,330円 ワイド:08-09=740円 07-09=240円 07-08=650円",,,,,,,,,,,,"馬連:4,460円 ワイド:01-05=1,400円 01-08=340円 05-08=790円",,,,,,,,,,,
"馬単:1,400円 3連複:1,840円 3連単:7,600円",,,,,,,,,,,,"馬単:590円 3連複:3,730円 3連単:9,160円",,,,,,,,,,,,"馬単:3,790円 3連複:1,890円 3連単:12,170円",,,,,,,,,,,,"馬単:6,830円 3連複:3,930円 3連単:28,100円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
