15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:370円 3連複:570円 3連単:1,460円",,,,,,,,,,,,"馬単:2,130円 3連複:1,510円 3連単:7,620円",,,,,,,,,,,,"馬単:12,170円 3連複:4,370円 3連単:53,440円",,,,,,,,,,,,"馬単:2,210円 3連複:1,500円 3連単:8,890円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｼｬﾝｸﾞﾘﾗ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂエンジニア, 63,内田博,, 66,* -9,   2, 3,  4.4, ⑤⑤, 1,10,Ｃナスケンリュウジン, 71,横山和,, 72,  -2,* 10, 3,  5.7, ⑦⑧, 1, 9,Ａニットウビクトリｰ, 85,柴田善,, 83,   5,* 18, 3,  6.1, ⑯⑯, 1,15,Ｂショウナンパンドラ, 94,池添謙,, 94,  12,* 17, 4,  9.2,⑩⑨⑫
 2, 2,Ｄケルベロス, 58,横山典, 0.1, 68, -15,* 11, 6, 11.3, ⑫⑬, 2, 3,Ｈドゥｰイット, 68,伴啓太, 0.1, 72,  -4,* 11,12, 87.8, ⑩⑩, 2, 7,Ｂシュテルングランツ, 82,内田博, 0.3, 81,* 12,   5, 5,  9.2, ③③, 2, 6,Ｄラストインパクト, 91,ムｰア, 0.0, 94,  11,* 17, 7, 23.9,⑫⑧⑪
 3, 5,Ｇウイングソルジャｰ, 56,デムｰ, 0.3, 57,* -7,  -7, 1,  3.5, ②②, 3, 2,Ｅアサマ, 70,戸崎圭, 0.3, 69,  -3,   8, 2,  5.0, ⑧⑦, 3,13,Ｃマッチレスヒｰロｰ, 82,戸崎圭, 0.4, 80,   9,   8, 1,  3.9, ⑨⑩, 3, 1,Ａラブリｰデイ, 97,川田将, 0.1, 91,  13,  11, 1,  2.7,⑥⑦⑥
 4,18,Ｌロｰズクランス, 50,ムｰア, 0.3, 62, -12,   2, 2,  4.0, ⑪⑩, 4, 4,Ａオｰプンザウェイ, 75,吉田豊, 0.4, 68,  -6,* 11, 1,  3.8, ⑫⑬, 4,12,Ｉアナザｰバｰジョン, 78,パスキ, 0.4, 80,  11,   6, 4,  6.4, ⑦⑦, 4, 4,Ｎジャングルクルｰズ, 84,北村宏, 0.3, 93,  10,* 17,17,166.9,⑭⑪⑮
 5, 4,Ｊクラウニングフレア, 52,岩田康, 0.5, 65, -18,* 11, 4,  6.5, ⑰⑰, 5,14,Ｂリベルタンゴ, 73,横山典, 0.5, 65,  -1,   2, 5,  8.2, ④③, 5, 2,Ｅリアルプロジェクト, 80,岩田康, 0.4, 80,   9,   8, 2,  4.7, ⑩⑨, 5,10,Ｇサウンズオブアｰス, 90,デムｰ, 0.3, 88,  11,  10, 5, 11.3,⑧⑩⑦
 6, 9,Ｆワイルドゲｰム, 56,柴田善, 0.5, 61, -15,   3, 7, 28.3, ⑩⑪, 6,11,Ｌハッピｰサｰクル, 64,柴田大, 0.5, 67,   0,   3, 7, 13.9, ⑤⑤, 6, 1,Ｊフレンドスイｰト, 78,津村明, 0.8, 76,   7,   7,12, 50.2, ⑮⑬, 6, 8, イラプト,---,パスキ, 0.3, 89,  13,   8, 6, 13.9,⑤⑤⑤
