15年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
"馬連:640円 ワイド:11-16=290円 01-11=1,190円 01-16=530円",,,,,,,,,,,,馬連:800円 ワイド:03-14=460円 09-14=630円 03-09=850円,,,,,,,,,,,,"馬連:480円 ワイド:06-09=210円 01-06=1,290円 01-09=960円",,,,,,,,,,,,"馬連:1,200円 ワイド:02-08=570円 08-12=1,330円 02-12=790円",,,,,,,,,,,
"馬単:1,760円 3連複:2,140円 3連単:12,220円",,,,,,,,,,,,"馬単:1,810円 3連複:2,990円 3連単:11,530円",,,,,,,,,,,,"馬単:1,060円 3連複:2,210円 3連単:9,140円",,,,,,,,,,,,"馬単:3,470円 3連複:4,520円 3連単:28,040円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1800m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾁｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｌアンジュリンブレス, 50,大野拓,, 69,   7,*  4, 4,  9.0,⑩④⑤, 1, 3,Ａエミネスク, 74,田中勝,, 77, -10,  14, 1,  2.0,③③③, 1,12,Ｎダノンミシガン, 73,田辺裕,, 77,   5,  20, 3,  6.6,⑤⑤⑤, 1,16,Ｈマイネルクロップ, 89,丹内祐,, 81,  13,  17, 6, 13.5,⑦⑦⑦
 2,13,Ｃヤマチョウタンゴ, 64,蛯名正, 0.0, 69,*  9,   1, 1,  1.8,③③③, 2, 2,Ｃシンキングロｰジス, 67,北村宏, 0.1, 73,* -9,  10, 5, 10.8,②②②, 2, 9,Ｌメジャｰステップ, 74,柴山雄, 0.0, 75,*  7,  17, 4,  7.7,③②②, 2,15,Ｊイッシンドウタイ, 88,田辺裕, 0.0, 84,  12,* 19, 5, 10.5,⑩⑩⑩
 3, 9,Ｂラインフェルス, 65,北村宏, 0.4, 67,   7,   1, 2,  6.1,⑥⑥⑥, 3, 1,Ｂキングイマデショウ, 69,横山典, 0.1, 70,* -7,   7, 3,  6.3,①①①, 3, 5,Ａシンボリハミルトン, 82,横山典, 0.1, 78,   0,* 29, 6,  8.6,⑯⑯⑯, 3,13,Ｄマスクトヒｰロｰ, 92,横山典, 0.0, 82,* 14,  15, 1,  3.5,④④③
 4, 5,Ｅクワッドアクセル, 61,津村明, 0.5, 64,   6,*  3, 9, 43.3,⑭⑦⑦, 4, 6,Ｅニシノクラッチ, 63,田辺裕, 0.3, 73, -12,  12, 2,  3.7,⑤⑥④, 4, 8,Ｈデビルズハｰツ, 77,古川吉, 0.1, 77,   4,* 21, 2,  5.5,⑧⑦⑦, 4, 7,Ｆキクノソル, 90,柴田善, 0.1, 82,  13,  15, 4,  7.3,⑤⑤⑤
 5,11,Ａトｰセンモバイル, 67,勝浦正, 0.5, 65,   5,*  4, 3,  6.5,⑫⑩⑧, 5, 5,Ｈバイオンディップス, 56,柴山雄, 0.5, 69, -12,  10, 8, 82.2,④④⑤, 5,13,Ｇハコダテナイト, 80,石橋脩, 0.1, 76,   4,* 21, 5,  8.2,⑪⑧⑥, 5,12,Ｇベルゲンクライ, 90,吉田豊, 0.1, 83,  10,* 22, 3,  6.0,⑬⑬⑬
 6, 4,Ｊブラッシングスタｰ, 51,柴田善, 1.4, 59,   6,  -6,11, 95.9,④⑤④, 6, 8,Ｄマイネルネｰベル, 64,柴田大, 0.5, 76, -15,* 19, 4,  8.8,⑨⑨⑦, 6, 7,Ｊデルマハンニャ, 76,津村明, 0.7, 70,*  7,  11,14,176.6,①①①, 6,14,Ｃトウショウフリｰク, 92,石橋脩, 0.2, 81,  13,  15,12, 39.4,⑥⑥⑥
 7,12,Ｄドリｰムドルチェ, 62,丸山元, 1.4, 58,*  9, -10, 5, 13.1,②②②, 7, 4,Ｇヤマカツボｰイ, 60,四位洋, 0.6, 70, -13,  10, 7, 20.9,⑦⑤⑥, 7, 1,Ｋサトノバセロン, 74,大野拓, 0.8, 72,   5,  13,11, 54.1,②④④, 7, 1,Ａダノンカモン, 93,大野拓, 0.2, 83,  12,  17,13, 53.1,⑪⑨⑨
 8,15,Ｋヒメフジサクラ, 51,柴田大, 1.8, 59,   3,  -2,15,358.3,⑬⑬⑪, 8, 7,Ｆギンザヴィクトリア, 61,杉原誠, 0.8, 70, -14,  11, 6, 17.1,⑧⑧⑨, 8, 2,Ｐスリｰプレシャス, 65,木幡初, 0.9, 72,   4,  15,16,195.1,⑦⑨⑨, 8,11,Ｂソロル, 92,蛯名正, 0.3, 83,  12,  16, 2,  5.0,⑧⑧⑧
 9,10,Ｆシンボリセザンヌ, 59,木幡初, 2.2, 54,*  9, -18, 6, 13.1,①①①, 9, 9,Ｉテイエムフタエマル, 48,大野拓, 1.1, 63, -15,   5, 9,144.4,⑥⑦⑧, 9,16,Ｂサンタクロｰチェ, 81,勝浦正, 1.0, 70,   5,  12,10, 26.8,⑥⑥⑧, 9, 3,Ｎサンレイレｰザｰ, 82,内田博, 0.5, 81,  11,  16, 9, 23.1,⑫⑪⑪
10, 8,Ｉトｰセンアスリｰト, 55,菅原隆, 2.7, 53,  -1,  -2,12,117.0,⑮⑮⑭,,,,,,,,,,,,,10, 6,Ｍビットアレグロ, 73,柴田大, 1.1, 73,   3,  16,15,188.6,⑭⑬⑬,10,10,Ｉロイヤルクレスト, 89,古川吉, 0.6, 79,* 14,   9,11, 38.4,②②②
11, 1, タイガｰアイアン,---,川須栄, 2.8, 53,  -1,  -4, 8, 41.6,⑯⑯⑮,,,,,,,,,,,,,11,15,Ｆシュガｰヒル, 80,北村宏, 1.3, 71,   2,  15, 8, 12.3,⑮⑮⑮,11, 2,Ｐランフォルセ, 73,丸山元, 0.8, 81,   9,* 19,15,136.3,⑯⑮⑮
12, 6,Ｍショウナンマドロス, 45,柴山雄, 2.8, 48,   5, -15, 7, 30.6,⑤⑧⑨,,,,,,,,,,,,,12,11,Ｅアｰマｰクラッド, 80,蛯名正, 1.3, 68,*  7,   6, 1,  4.1,⑨③③,12, 9,Ｅヴォｰグトルネｰド, 92,柴山雄, 1.0, 76,  11,  13, 8, 21.3,⑮⑫⑫
13, 7,Ｈミスタｰビン, 56,黛弘人, 3.0, 50,   5, -15,14,322.0,⑨⑪⑩,,,,,,,,,,,,,13, 3,Ｄコクリュウノマイ, 80,田中勝, 1.5, 69,   4,  11, 9, 18.2,⑩⑪⑪,13, 4,Ｍストロングサウザｰ, 85,北村宏, 1.2, 76,* 14,   5,10, 28.0,③③④
14, 2,Ｎディアイｰジス, 43,吉田豊, 3.6, 44,   3, -19,13,260.4,⑧⑫⑫,,,,,,,,,,,,,14,14,Ｃデグニティクロｰズ, 81,江田照, 1.6, 66,   3,  10, 7, 11.9,⑬⑫⑫,14, 6,Ｋサンバビｰン, 87,江田照, 1.5, 74,   9,  11,14, 57.9,⑨⑭⑭
15,14,Ｇピｰスワンポイント, 57,石川裕, 4.0, 42,   4, -25,10, 45.4,⑦⑨⑬,,,,,,,,,,,,,15,10,Ｉエアラギオｰル, 76,内田博, 1.8, 66,   3,  10,12, 63.8,⑫⑭⑭,15, 5,Ｌサトノプリンシパル, 85,川須栄, 2.1, 69,* 14,  -5, 7, 13.9,①①①
16, 3,Ｏホッカイブラザｰズ, 42,石橋脩, 5.8, 32,   1, -32,16,402.0,⑪⑭⑯,,,,,,,,,,,,,16, 4,Ｏシングンカイロス, 71,武士沢, 2.0, 64,   4,   7,13, 90.5,④⑩⑩,16, 8,Ｏメイショウカンパク, 80,田中勝, 4.0, 60,   8,  -7,16,168.4,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,
"単勝:900円 複勝:16=240円 13=110円 09=160円 枠連:1,120円",,,,,,,,,,,,単勝:200円 複勝:03=110円 02=190円 01=180円 枠連:890円,,,,,,,,,,,,単勝:660円 複勝:12=230円 09=240円 05=290円 枠連:830円,,,,,,,,,,,,"単勝:1,350円 複勝:16=430円 15=290円 13=160円 枠連:5,870円",,,,,,,,,,,
"馬連:1,300円 ワイド:13-16=470円 09-16=1,010円 09-13=270円",,,,,,,,,,,,馬連:820円 ワイド:02-03=300円 01-03=320円 01-02=640円,,,,,,,,,,,,"馬連:2,870円 ワイド:09-12=750円 05-12=1,120円 05-09=1,340円",,,,,,,,,,,,"馬連:6,530円 ワイド:15-16=1,890円 13-16=1,070円 13-15=740円",,,,,,,,,,,
"馬単:2,910円 3連複:2,550円 3連単:15,760円",,,,,,,,,,,,"馬単:1,190円 3連複:1,190円 3連単:4,430円",,,,,,,,,,,,"馬単:5,320円 3連複:7,610円 3連単:39,920円",,,,,,,,,,,,"馬単:13,190円 3連複:7,410円 3連単:70,600円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝3350m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾟｶﾞｻｽｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,鹿島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄアイノカケハシ, 58,吉田豊,, 68,  -2,* 11, 5,  9.6,⑬⑬⑫, 1, 2,Ｇトｰセンゴｰジャス, 71,菅原隆,, 75, -11,* 30,10,109.7,③④④, 1, 5, レッドキングダム,,西谷誠,,,,, 1,  2.1,②②②, 1, 5,Ａゲマインシャフト, 80,石橋脩,, 74, -13,* 23, 2,  5.2, ⑭⑫
 2, 9,Ｅプレシャスメイト, 54,蛯名正, 0.2, 64,   1,*  2, 3,  5.1,⑥⑨⑨, 2, 4,Ａエタｰナルヒｰロｰ, 75,田辺裕, 0.1, 74, -12,* 31, 1,  2.7,⑤⑦⑥, 2, 8, マキオボｰラｰ,,平沢健,225.9,,,, 3,  6.8,①①①, 2,11,Ｐウインヴォイジャｰ, 63,丹内祐, 0.1, 72,  -2,  12,14, 86.6, ④④
 3, 3,Ｃパｰフェクトビュｰ, 61,横山典, 0.2, 60,* 11, -14, 1,  3.1,②②①, 3, 9,Ｄアンリキャトル, 72,北村宏, 0.2, 73,*-10,  26, 3,  6.3,⑨②③, 3, 9, シャイニｰブラック,,浜野谷,226.1,,,, 4, 11.7,⑤⑦⑥, 3, 6,Ｆエトルアンフルｰル, 74,吉田豊, 0.4, 71,  -4,  12, 6, 17.6, ⑦⑥
 4,15,Ａプラントアゲン, 61,黛弘人, 0.2, 63,   4,  -3, 6, 10.0,⑦⑥⑤, 4, 8,Ｂデジタルフラッシュ, 75,勝浦正, 0.3, 71, -11,  27, 2,  3.0,④⑤⑤, 4, 3, マイネルミランダス,,山本康,226.2,,,, 5, 17.1,③⑤⑤, 4, 2,Ｂエイシンラナウェｰ, 80,内田博, 0.5, 71,  -6,  13, 1,  1.7, ⑩⑧
 5, 8,Ｈガニメｰド, 49,田中勝, 0.3, 63,   0,*  1, 7, 22.0,⑪⑪⑪, 5,11,Ｈハイフロンティア, 70,丸山元, 0.6, 69,*-10,  22, 4,  7.5,①①①, 5, 2, アポロマｰベリック,,五十嵐,226.3,,,, 2,  2.5,④③③, 5,16,Ｈウェイトアンドシｰ, 73,大野拓, 0.7, 69,*  0,   5, 9, 38.0, ②②
 6,10,Ｂフロリアｰド, 61,田辺裕, 0.6, 59,   4,  -8, 2,  3.5,⑧⑦⑦, 6,10,Ｃカシノカｰム, 72,石川裕, 0.7, 69, -12,  25, 9, 32.4,⑥⑥⑦, 6, 7, ビコｰピリラニ,,田村太,226.6,,,, 8, 59.5,⑦④④, 6,12,Ｎピュアアイズ, 67,田辺裕, 0.7, 69,*  1,   4, 7, 24.8, ①①
 7,13,Ｎジョウノチェリｰ, 24,津村明, 1.0, 54,  -1,  -7,11, 88.4,⑫⑫⑩, 7, 7,Ｆコスモナチュラル, 71,丹内祐, 0.7, 65,*-10,  22, 5, 13.2,②③②, 7, 1, ショウナンカミング,,草野太,226.8,,,, 6, 18.5,⑥⑥⑦, 7,15,Ｃレッドジョｰカｰ, 79,杉原誠, 0.7, 65,  -4,   9, 8, 25.2, ⑧⑦
 8,14,Ｍコアレスフェｰブル, 35,木幡初, 1.1, 52,   4, -14,10, 84.0,⑤⑧⑧, 8, 6,Ｉトゥｰルモンド, 69,吉田豊, 0.8, 68, -12,  27, 6, 17.3,⑦⑨⑧, 8, 6, テｰオｰダンシング,,難波剛,227.1,,,, 7, 59.3,⑧⑨⑨, 8,10,Ｋスズヨストラ, 70,北村宏, 1.0, 67,  -3,   6, 5, 15.0, ⑥⑤
 9, 1,Ｇヒットザフロアｰ, 51,石川裕, 1.2, 51,   5, -19, 4,  8.0,⑨⑤⑥, 9, 5,Ｅリムショット, 71,横山和, 0.9, 71, -12,  26, 7, 17.9,⑧⑩⑪, 9, 4, クリノテンペスタ,,植野貴,227.5,,,, 9, 85.9,⑨⑧⑧, 9, 3,Ｄディアゴッホ, 77,柴山雄, 1.1, 64,  -7,   8, 3, 11.3, ⑪⑪
10, 7,Ｆライトザライト, 53,大庭和, 1.3, 49,   6, -23, 9, 65.8,③③③,10, 1,Ｊブリリアントアスク, 68,武士沢, 1.3, 66, -13,  24, 8, 25.3,⑩⑪⑩,,,,,,,,,,,,,10, 1,Ｉオｰゴンボルト, 72,丸山元, 1.2, 64, -18,* 17,11, 57.0, ⑮⑭
11, 2,Ｉサウスポｰルツアｰ, 48,柴田大, 1.5, 49,   5, -24,12,101.8,④④④,11, 3,Ｋデルマカマイタチ, 68,木幡初, 1.7, 62, -12,  17,11,148.9,⑪⑧⑨,,,,,,,,,,,,,11,14,Ｌハワイアンシュガｰ, 70,岩部純, 1.3, 64, -20,* 19,16,249.0, ⑯⑯
12, 5,Ｋカガテディ, 46,丸山元, 2.2, 40,   1, -25,16,395.3,⑩⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,,12, 4,Ｅウインネオルｰラｰ, 76,柴田大, 1.4, 64,  -1,   1, 4, 12.8, ③③
13, 6,Ｊロｰドアルタイル, 47,大野拓, 2.2, 40,* 11, -43, 8, 57.3,①①②,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｍデプロマトウショウ, 69,黛弘人, 1.5, 62, -11,   8,15,127.8, ⑫⑬
14,12, チャンピオンムｰン,---,柴山雄, 3.2, 29,  -8, -27,13,156.2,⑮⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｊハヤブサフィｰバｰ, 71,柴田善, 1.7, 60,  -5,   1,12, 59.7, ⑨⑩
15, 4, ビッグファイナル,---,丹内祐, 3.2, 29, -12, -20,14,213.3,⑯⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｇオｰネットサクセス, 73,勝浦正, 2.1, 57,  -3,  -3,10, 47.6, ⑤⑨
16,16,Ｌシゲルミコシ, 38,江田照, 3.4, 27,  -9, -27,15,312.1,⑭⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏブラボｰランサｰ, 65,田中勝, 3.6, 44, -11, -10,13, 77.7, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
