15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,逢坂山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,14,Ｄテイエムマンキチ, 54,国分恭, 2.3, 51,  -3,  -3,12,111.7,⑧⑪⑪, 8, 9,Ｐパレスヘイロｰ, 36,国分恭, 1.6, 54,  -1, -15,14,419.4,⑧⑩⑪, 8, 6,Ｋサトノバリアント, 77,岩田康, 1.0, 76,*  8,   8, 7, 13.3,⑫③③, 8,11,Ｌキングヒｰロｰ, 82,幸英明, 0.2, 80,   2,  13,14, 79.1, ⑨⑦
 9,11,Ｃトミｰスマイル, 56,菱田裕, 2.4, 50,  -3,  -3, 9, 32.4,⑩⑫⑫, 9, 2,Ｊユウキエナｰジｰ, 53,秋山真, 1.8, 49,   0, -22,13,193.9,⑤⑤⑧, 9, 9,Ｊシゲルモトナリ, 77,小林徹, 1.2, 76,   6,  11,13,417.4,⑪⑩⑩, 9,15,Ｄシセイオウジ, 89,丸田恭, 0.3, 80,  -3,* 20, 8, 21.7, ⑯⑬
10, 1,Ｈマイネルライヒ, 51,バルジ, 2.5, 47,* -1, -10, 6, 21.4,③⑥⑥,10, 3,Ｍリッチゴｰルド, 43,藤岡佑, 2.2, 46,  -2, -21,11,103.5,⑪⑫⑫,10,11,Ｈアｰサｰバロｰズ, 79,北村友, 1.9, 70,   7,   2,10, 95.3,⑥⑥⑥,10, 8,Ｐロングロウ, 73,四位洋, 0.3, 83,  -3,* 18,12, 36.3, ⑭⑭
11, 3,Ｍハオウ, 36,武豊  , 4.2, 35,*  0, -26, 5, 11.6,①①③,11, 4,Ｋエンパイアライン, 51,四位洋, 2.4, 45,   0, -29,10, 67.9,⑦⑧⑦,11, 8,Ｇブライトエルフ, 80,菱田裕, 2.2, 70,   4,   5, 9, 62.9,⑨⑫⑫,11, 1,Ｈキズマ, 87,藤田伸, 0.3, 78,*  5,   7, 7, 20.4, ①①
12, 5,Ｌスティルアボｰイ, 42,北村友, 4.3, 35,* -1, -26,11, 94.2,④④⑩,12, 5,Ｉエイシンアルマイト, 55,和田竜, 2.6, 44,  -1, -31, 8, 50.3,⑫⑪⑨,12,13,Ｍワンダフルニュｰス, 75,丸田恭, 2.4, 66,   7,  -2,11,125.1,⑧⑦⑨,12, 7,Ｅガンジス, 88,バルジ, 0.8, 74,   3,   6, 4,  8.9, ⑤⑤
13, 9,Ｎシゲルヒマツリ, 33,幸英明, 4.3, 37,  -7, -14,10, 33.5,⑭⑭⑭,13,13,Ｏロングロザリオ, 40,丸田恭, 2.7, 45,  -4, -19,15,456.7,⑭⑮⑮,,,,,,,,,,,,,13, 6,Ｉフィｰルドシャイン, 86,池添謙, 0.8, 74,   0,  11,15,116.9, ⑫⑩
14,12,Ｊテイエムヤマウサギ, 43,小林徹, 5.3, 31,  -4, -27,14,282.0,⑬⑬⑬,14,11,Ｄロｰドウォｰリア, 60,バルジ, 3.5, 37,   0, -45, 9, 62.8,⑨⑨⑩,,,,,,,,,,,,,14, 5,Ｋカフェシュプリｰム, 82,川田将, 1.0, 73,   2,   6,11, 35.1, ⑦⑧
,,,,,,,,,,,,15,16,Ｎクリムゾンスカイ, 41,幸英明, 4.0, 35,*  2, -55,12,160.3,⑩⑦⑥,,,,,,,,,,,,,15, 9,Ｏラインブラッド, 73,岡田祥, 1.2, 73,  -3,  11,16,282.4, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｎケビンドゥ, 79,菱田裕, 4.2, 47,   4, -25,13, 71.1, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-4),,,,,,,,,,,
