15年 4月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,11,Ｌメイショウデコイ, 43,義英真, 1.8, 48,  -2,  -4,13,262.7,⑭⑫⑬, 9, 8,Ｍマニワバイオマス, 44,松若風, 1.5, 55,  -7,  -5,16,227.7,⑭⑯⑬, 9, 7,Ｃマチルダ, 72,中井裕, 0.9, 62,  -6,   8, 8, 20.1, ⑩⑪, 9,10,Ｉオｰキッドレイ, 75,酒井学, 0.5, 71,  -1,  11,13, 37.4, ⑪⑪
10,10,Ｅウインオベロン, 57,熊沢重, 2.0, 47,   1, -12, 7, 37.1,⑨⑥⑧,10, 3, ミリノカイザｰ,---,岩田康, 1.5, 56, -10,   1,10, 39.3,⑱⑰⑰,10,15,Ｌメイショウマツシマ, 64,鮫島良, 1.1, 60,  -8,   9, 9,105.5, ⑬⑫,10,15,Ｑコスモグラウベ, 68,和田竜, 0.5, 70,*  9,  -2,10, 20.6, ②②
11,14,Ｊタマモスマッシュ, 48,水口優, 2.0, 48,  -1,  -8,10,231.0,⑫⑪⑪,11,13,Ｋダンツエイカン, 47,松山弘, 1.6, 53,  -5, -15,14,142.1,④⑤⑤,11,12,Ｊクリノプリムラ, 66,幸英明, 1.5, 57,  -2,  -1,10,109.3, ⑤⑥,11, 8,Ｅウエスタンムサシ, 78,小牧太, 0.6, 69,   4,   3, 5,  8.9, ⑦⑦
12, 7,Ｉカネトシエトワｰル, 50,北村友, 2.2, 47,  -1,  -9,12,259.8,⑬⑬⑫,12, 2,Ｆティｰエスバラ, 55,岡田祥, 1.6, 52,  -6, -10,13, 99.0,⑥⑨⑪,12, 4,Ｇポロタン, 68,義英真, 1.7, 54,  -5,   0,14,210.2, ⑧⑩,12, 5,Ｐスタｰマイン, 71,幸英明, 0.6, 70,   3,   4,16, 80.3, ⑥⑥
13, 9,Ｍビッグフジ, 38,森一馬, 3.3, 38,   0, -20,11,235.5,⑪⑨⑨,13, 9,Ｐベラルディ, 28,デムｰ, 1.7, 53,  -7,  -7, 4,  7.5,⑪⑭⑫,13, 9,Ｎワンダｰフロレゾン, 59,加藤祥, 1.9, 53,  -7,   0,12,169.8, ⑫⑬,13, 7,Ｃエルフショット, 79,古川吉, 0.7, 70,  -2,  11, 9, 20.2, ⑬⑬
14,13,Ｎティｰベレヌス, 37,花田大, 8.4,  3,  -6, -53,14,329.6,⑥⑭⑭,14, 5,Ｄヒルノケルン, 58,鮫島良, 1.8, 52,  -9,  -6, 7, 20.9,⑰⑮⑮,14, 5,Ｋコパノハリｰ, 65,柴田未, 2.5, 49,  -8,  -3,11,165.9, ⑭⑭,14,16,Ｋキクタロウ, 74,池添謙, 0.9, 66,  -2,   8,17,110.4, ⑭⑭
,,,,,,,,,,,,15,10,Ｇオメガレイノワｰル, 55,浜中俊, 1.8, 53,  -7,  -7,11, 49.4,⑦⑬⑭,,,,,,,,,,,,,15,14,Ｏタガノリバレンス, 71,松山弘, 1.1, 65,  -4,   7, 4,  6.8, ⑯⑮
,,,,,,,,,,,,16, 7,Ｌグッドウィｰク, 45,岩崎翼, 3.8, 34, -10, -30,17,424.8,⑯⑱⑱,,,,,,,,,,,,,16,12,Ｊダブルファンタジｰ, 74,中谷雄, 1.3, 61,   3,  -4,15, 73.7, ⑨⑩
,,,,,,,,,,,,17, 1,Ｎバニスタｰ, 42,藤田伸, 3.9, 34,  -7, -40,12, 70.3,①④⑯,,,,,,,,,,,,,17, 1,Ｌマイネノンノ, 73,柴田未, 1.4, 60,*  9, -14,14, 64.1, ①①
,,,,,,,,,,,,18,16,Ｏファイヤウィｰド, 33,国分優, 4.4, 34,* -2, -60,18,498.0,②①①,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,560円 複勝:05=690円 03=240円 04=520円 枠連:530円",,,,,,,,,,,,"単勝:1,310円 複勝:15=280円 18=410円 12=130円 枠連:1,950円",,,,,,,,,,,,単勝:240円 複勝:14=130円 11=190円 02=260円 枠連:600円,,,,,,,,,,,,"単勝:1,260円 複勝:09=460円 02=250円 04=850円 枠連:2,990円",,,,,,,,,,,
"馬連:3,500円 ワイド:03-05=1,130円 04-05=2,230円 03-04=880円",,,,,,,,,,,,"馬連:10,470円 ワイド:15-18=2,880円 12-15=590円 12-18=780円",,,,,,,,,,,,"馬連:810円 ワイド:11-14=340円 02-14=590円 02-11=1,050円",,,,,,,,,,,,"馬連:3,550円 ワイド:02-09=1,240円 04-09=5,160円 02-04=3,260円",,,,,,,,,,,
"馬単:8,910円 3連複:11,110円 3連単:71,720円",,,,,,,,,,,,"馬単:24,360円 3連複:7,930円 3連単:73,610円",,,,,,,,,,,,"馬単:1,280円 3連複:3,060円 3連単:10,380円",,,,,,,,,,,,"馬単:8,260円 3連複:38,630円 3連単:187,360円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  芝3140m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞﾊﾟｰｸｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｺｰﾗﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａハクサンフレンチ, 67,岩田康,, 61,*  2,  -2, 1,  2.6, ②②, 1, 4,Ｃリリｰウイナｰ, 67,藤岡康,, 72,*  4,   5, 6, 11.2, ②②, 1, 5, ウォンテッド,,高田潤,,,,, 2,  3.5,⑤⑤⑤, 1,14,Ａコｰリンベリｰ, 92,松山弘,, 88,   9,* 14, 1,  3.2, ⑦⑥
 2,14,Ｂセイジャッカル, 64,幸英明, 0.0, 62,*  2,  -1, 3,  3.9, ③③, 2, 1,Ａアグスタ, 68,福永祐, 0.1, 73,  -1,* 11, 1,  3.9, ⑦⑦, 2, 9, マイネルフィエスタ,,佐久間,211.0,,,, 9, 36.8,③②②, 2, 8,Ｂニシケンモノノフ, 90,中谷雄, 0.5, 84,  11,   8, 2,  4.7, ⑥④
 3, 3,Ｅココロナルハ, 55,太宰啓, 0.2, 61,*  4,  -4, 8, 39.5, ①①, 3, 7,Ｇミツバ, 65,幸英明, 0.2, 74,  -2,* 13, 3,  4.6, ⑪⑪, 3,11, アルティシムス,,熊沢重,211.2,,,, 3,  5.8,④④④, 3,16,Ｃエアウルフ, 89,デムｰ, 0.6, 81,   5,* 15, 3,  5.7, ⑯⑮
 4,11,Ｈカネトシバリアント, 54,中谷雄, 0.5, 57,  -4,   0, 7, 29.9, ⑨⑧, 4, 6,Ｄタマモワカサマ, 67,岩田康, 0.2, 72,  -1,* 10, 5,  8.5, ⑧⑧, 4, 7, アルトゥバン,,黒岩悠,211.4,,,, 4,  7.5,⑩⑦⑦, 4, 6,Ｋサンライズブレット, 83,幸英明, 0.9, 80,   8,   8,15,144.8, ⑩⑩
 5,10, ルビロｰサ,---,菱田裕, 0.7, 54,  -1,  -5,10, 84.4, ⑥⑦, 5,13,Ｈテイケイラピッド, 63,デムｰ, 0.6, 69,   1,   4, 2,  4.5, ⑥⑤, 5,14, ラステラ,,浜野谷,211.4,,,,11, 51.5,②③③, 5,12,Ｌスズカセクレタｰボ, 83,菱田裕, 0.9, 79,   6,* 12, 9, 53.1, ⑭⑭
 6, 7,Ｇメイショウヒルガオ, 54,武幸四, 0.8, 55,  -7,   0,11, 95.3, ⑩⑩, 6, 3,Ｂトｰホウレゼルヴ, 67,浜中俊, 0.6, 70,   3,   2, 7, 11.6, ③③, 6, 3, アラタマユニバｰス,,中村将,212.1,,,, 8, 24.9,⑦⑥⑥, 6, 5,Ｈフリｰトストリｰト, 86,岩田康, 1.0, 79,  11,   4,10, 62.0, ⑧⑦
 7,16,Ｄゴｰルデンレコｰド, 57,池添謙, 0.9, 53,  -1,  -7, 4,  6.6, ⑧⑤, 7, 2,Ｉミトノゴｰルド, 63,菱田裕, 0.7, 67,*  6,  -3, 9, 27.9, ①①, 7, 8, カゼカオル,,北沢伸,212.5,,,,10, 41.7,⑫⑫⑩, 7, 1,Ｇロｰブデソワ, 86,福永祐, 1.0, 79,* 12,   2, 4,  6.0, ③③
 8,13,Ｉトゥルビネ, 50,川田将, 0.9, 54,  -4,  -4, 5, 18.0, ⑦⑨, 8, 5,Ｅナムラカモン, 65,三津谷, 1.3, 64,  -3,   2,10, 37.0, ⑩⑩, 8, 1, ダンツミュｰタント,,森一馬,212.8,,,, 1,  3.1,⑥⑧⑧, 8, 4,Ｅグレイスフルリｰプ, 88,小牧太, 1.4, 76,* 13,  -2, 5,  7.8, ②②
 9, 2,Ｌイチバンクジ, 47,小林徹, 1.0, 53,   0,  -8,16,339.2, ④④, 9,10,Ｊメイショウヒマワリ, 63,和田竜, 1.5, 62,   3,  -7, 8, 24.4, ④④, 9, 6, ミヤコデラックス,,五十嵐,212.9,,,,12, 73.9,⑭⑬⑫, 9, 7,Ｆエｰシンビｰトロン, 87,武幸四, 1.4, 77,   8,   3, 7, 18.7, ⑨⑨
10, 8,Ｋマッテンタルト, 48,小崎綾, 1.1, 51, -10,   0, 9, 52.4, ⑫⑪,10,11,Ｌビスカリア, 54,小牧太, 1.6, 62,  -2,   1,11, 43.4, ⑫⑫,10, 2, スリｰマｰゴｰン,,白浜雄,213.6,,,,14,128.6,⑬⑭⑭,10, 9,Ｊセイカプリコｰン, 84,川須栄, 1.4, 76,   6,   7,16,147.4, ⑬⑬
11, 9, シンプリｰレモン,---,川島信, 1.2, 51, -14,*  3, 6, 29.2, ⑮⑭,11, 8,Ｆカジノプレイヤｰ, 65,武豊  , 1.7, 60,  -2,  -2, 4,  8.0, ⑨⑨,11, 4, リバｰタイキ,,植野貴,213.7,,,, 7, 20.9,⑪⑨⑨,11,15,Ｎデザｰトオアシス, 82,川田将, 1.6, 73,   5,   5,11, 72.7, ⑫⑫
12,12,Ｎウインドレイン, 35,松山弘, 1.2, 51, -11,   1,13,173.1, ⑬⑬,12, 9,Ｋナムラオウテ, 59,国分恭, 1.8, 61,  -5,   2,12,117.5, ⑬⑬,12,13, リアルブラック,,林満明,213.9,,,,13,109.6,⑧⑪⑬,12,10,Ｍロングロウ, 83,和田竜, 2.3, 67,   3,   2,14,139.2, ⑮⑯
13, 6,Ｆスズカレグルス, 54,古川吉, 1.2, 51, -15,*  4,14,306.2, ⑯⑯,13,12,Ｍサンセットビｰチ, 29,国分優, 2.0, 59,   3,  -9,13,123.5, ⑤⑥,13,10, ホッコｰゼニト,,難波剛,214.4,,,, 6, 13.3,⑨⑩⑪,13, 2,Ｏベルカント, 79,武豊  , 2.4, 68,* 14, -13, 6, 12.3, ①①
14, 5,Ｊストレｰニア, 48,松若風, 1.5, 48,  -1, -12,12,148.0, ⑤⑥,,,,,,,,,,,,,14,12, レッドアｰヴィング,,西谷誠,215.0,,,, 5, 12.7,①①①,14,13,Ｉアスコットシチｰ, 84,藤岡康, 2.5, 66,   7,  -5,12, 79.5, ⑪⑧
15,15,Ｍスキュラ, 39,松田大, 3.1, 34,  -9, -19,15,313.0, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｄポアゾンブラック, 88,藤田伸, 2.8, 65,  11, -12, 8, 26.0, ④⑤
16, 1,Ｃワンラヴワンハｰト, 63,デムｰ, 3.2, 32, -12, -16, 2,  3.8, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐニホンピロアンバｰ, 62,藤岡佑, 3.3, 60,  10, -15,13, 96.1, ⑤⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-3),,,,,,,,,,,
単勝:260円 複勝:04=120円 14=140円 03=610円 枠連:370円,,,,,,,,,,,,"単勝:1,120円 複勝:04=280円 01=160円 07=180円 枠連:2,620円",,,,,,,,,,,,"単勝:350円 複勝:05=150円 09=830円 11=210円 枠連:1,650円",,,,,,,,,,,,単勝:320円 複勝:14=140円 08=150円 16=150円 枠連:690円,,,,,,,,,,,
"馬連:440円 ワイド:04-14=200円 03-04=1,130円 03-14=1,490円",,,,,,,,,,,,"馬連:2,850円 ワイド:01-04=1,180円 04-07=850円 01-07=530円",,,,,,,,,,,,"馬連:6,570円 ワイド:05-09=1,820円 05-11=410円 09-11=3,900円",,,,,,,,,,,,馬連:820円 ワイド:08-14=340円 14-16=390円 08-16=390円,,,,,,,,,,,
"馬単:740円 3連複:3,610円 3連単:12,360円",,,,,,,,,,,,"馬単:6,860円 3連複:4,120円 3連単:34,780円",,,,,,,,,,,,"馬単:10,570円 3連複:13,000円 3連単:86,970円",,,,,,,,,,,,"馬単:1,340円 3連複:1,450円 3連単:5,640円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｱｻﾞﾚｱ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ａグレｰスドゥモナコ, 63,森一馬,, 63,*-10,   0, 4,  5.1, ①①, 1, 3,Ａドラゴンストリｰト, 77,福永祐,, 75,   2,* 12, 3,  4.1, ⑥⑤, 1, 3,Ｃレｰヴミストラル, 66,岩田康,, 82,  -1,* 24, 1,  2.4,⑦⑦⑦, 1, 1,Ａタガノビリｰヴィン, 85,岩崎翼,, 86,*  7,* 18, 2,  3.7,④③③
 2,12, カレンオプシス,---,松山弘, 0.0, 66,*-12,*  3, 3,  5.0, ④④, 2, 2,Ｂフェイブルネｰジュ, 77,デムｰ, 0.3, 74,   1,  11, 1,  3.2, ⑩⑧, 2, 1,Ｄサンライズセンス, 63,川田将, 0.2, 76,   2,  11, 4,  5.3,③③③, 2, 5,Ｃマノワｰル, 82,武豊  , 0.2, 82,* 10,* 14, 1,  2.2,①①①
 3, 5,Ｆレｰヌドブリエ, 53,菱田裕, 0.1, 66, -13,*  5, 5,  9.3, ⑤⑤, 3, 7,Ｇワクワクカンヲ, 70,松若風, 0.4, 72,   2,   7,10, 28.7, ⑦⑦, 3, 7,Ｅミコラソン, 62,武豊  , 0.8, 70,   2,   4, 6, 23.3,②②②, 3,15,Ｏオウケンゴｰルド, 67,松若風, 1.2, 77,*  7,   8,12,133.0,③④④
 4, 9,Ｂミッキｰポｰチ, 62,福永祐, 0.3, 63, -16,*  9, 1,  4.0, ⑭⑫, 4,10,Ｃメイショウヤマホコ, 76,小牧太, 0.5, 73,  -2,* 13, 5, 16.4, ⑬⑪, 4, 4,Ｂオｰルマンリバｰ, 69,デムｰ, 0.8, 72,   0,   9, 3,  4.8,⑤④⑥, 4,10,Ｄカトラス, 81,熊沢重, 1.3, 77,   7,   8, 6, 32.8,⑥⑤⑤
 5, 3,Ｃゴｰルドグロｰリｰ, 61,和田竜, 0.4, 61, -15,*  3, 2,  4.2, ⑦⑧, 5, 5,Ｎベッラレジｰナ, 64,藤岡康, 0.6, 71,  -2,  11, 4, 10.1, ⑫⑫, 5, 5,Ａヴァｰサトル, 70,浜中俊, 1.1, 67,   1,   2, 2,  3.2,④⑤④, 5, 9,Ｆナンヨｰカノン, 79,岩田康, 1.5, 75,   6,   9, 5,  9.0,⑩⑩⑧
 6,10,Ｄオマケ, 55,松若風, 0.4, 61, -13,   2, 7, 23.4, ⑥⑦, 6, 1,Ｑサンマルホｰム, 61,松山弘, 0.9, 73,  -8,* 20,12, 62.2, ⑱⑱, 6, 6,Ｆドラゴンマジック, 58,幸英明, 1.1, 69,   0,   4, 5, 14.0,⑥⑥⑤, 6, 7,Ｈセルリアンサｰロス, 76,小崎綾, 1.6, 75,   4,  11,10, 65.8,⑭⑬⑭
 7,16,Ｈシャンタルエット, 51,岩田康, 0.4, 58,*-10,  -4, 9, 30.3, ②②, 7, 9,Ｍサチノリｰダｰス, 64,国分優, 1.0, 64,*  7,  -8, 7, 22.7, ①①, 7, 2,Ｇシゲルヤブサメ, 44,藤岡康, 1.3, 63,*  5, -10, 7, 42.9,①①①, 7, 8,Ｅジャマイカジョｰ, 80,菱田裕, 1.6, 75,   6,   9,11, 71.5,⑧⑨⑨
 8,11,Ｅメイショウワゴコロ, 54,岩崎翼, 1.1, 52, -14,  -5, 8, 25.8, ⑩⑩, 8, 4,Ｈヤマニンバステト, 68,武豊  , 1.0, 65,   0,   2, 9, 28.7, ⑨⑨,,,,,,,,,,,,, 8, 3,Ｂキングブレイク, 84,藤岡康, 1.6, 74,   2,* 14, 4,  7.8,⑯⑯⑮
 9,18,Ｋエイシンシャンプｰ, 44,四位洋, 1.3, 50, -14, -10,13, 67.7, ⑫⑨, 9,12,Ｅトップアｰト, 75,浜中俊, 1.1, 65,  -3,   7, 2,  4.0, ⑭⑮,,,,,,,,,,,,, 9, 2,Ｉパフュｰムボム, 74,川田将, 1.7, 75,   7,   6, 7, 42.6,⑦⑥⑥
10, 8,Ｇピアノコンチェルト, 52,柴田未, 1.4, 52, -16,  -5,15,124.6, ⑬⑬,10,14,Ｋアグネスミニッツ, 64,岩崎翼, 1.1, 63,  -2,   3,14, 72.9, ⑪⑬,,,,,,,,,,,,,10,11,Ｌメイショウクロシオ, 72,小林徹, 2.0, 73,   3,   9,14,187.6,⑮⑮⑯
11, 1,Ｊロｰズカリｰナ, 45,小牧太, 1.4, 56, -18,   2,11, 56.4, ⑮⑰,11,15,Ｐサンレイロッキｰ, 62,和田竜, 1.1, 65,  -3,   6,18,370.9, ⑮⑭,,,,,,,,,,,,,11,14,Ｋヴレクｰル, 72,デムｰ, 2.4, 69,   5,   3, 3,  6.1,⑪⑪⑪
12,13,Ｌナゴミ, 42,義英真, 1.6, 44,*-12, -18,16,235.7, ③③,12,18,Ｉテイエムナデュｰラ, 68,加藤祥, 1.2, 61,*  5, -10,16,137.7, ②②,,,,,,,,,,,,,12,16,Ｐタイマツリ, 60,義英真, 2.4, 69,   4,   4,13,163.0,⑬⑭⑫
13,15, レッドシェダル,---,小崎綾, 2.0, 46, -23,  -3, 6, 20.1, ⑱⑱,13,11,Ｒティｰエスネオ, 60,菱田裕, 1.3, 63,  -6,   7,13, 65.4, ⑰⑯,,,,,,,,,,,,,13,13,Ｎサンライズベｰダｰ, 70,池添謙, 2.6, 66,*  8,  -6, 9, 57.1,②②②
14, 2, トウバレリｰナ,---,藤岡佑, 2.0, 41, -17, -14,10, 36.7, ⑰⑭,14, 6,Ｏマイネマレフィカ, 63,柴田未, 1.5, 58,*  4, -13,15, 83.4, ③③,,,,,,,,,,,,,14, 6,Ｊニチドウリュンヌ, 73,和田竜, 2.7, 67,   7,  -4, 8, 48.0,⑤⑦⑦
15, 6, ルｰセントハｰト,---,水口優, 2.0, 44, -19, -11,14,106.3, ⑯⑯,15,13,Ｌホッコｰタフネス, 64,幸英明, 1.6, 61,  -5,   2,11, 43.1, ⑯⑰,,,,,,,,,,,,,15, 4,Ｇベニノアロｰ, 78,城戸義, 3.3, 64,   4,  -4,16,368.9,⑨⑫⑬
16, 4,Ｎホッコｰベンヌ, 38,国分優, 2.2, 42, -17, -15,18,364.6, ⑪⑮,16,17,Ｆダノンサイクロン, 73,小崎綾, 1.8, 54,   2, -14, 6, 22.1, ⑤⑥,,,,,,,,,,,,,16,12,Ｍマイネルガネｰシャ, 70,柴田未, 3.5, 61,   6,  -8,15,246.3,⑫⑧⑩
