15年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9, 4,Ｄリフリジェレｰタｰ, 44,大野拓, 2.3, 33,   0, -23, 5, 18.0,⑨⑧⑨, 9, 8, ユニコｰンスタｰ,,江田勇,193.4,,,,13,189.9,⑭⑪⑪, 9, 8,Ｌルアンジュ, 63,幸英明, 0.2, 71,  10,  -5, 7,  9.6, ⑥④, 9,16,Ｉバオバブ, 56,松若風, 0.9, 59,   8, -14, 6, 17.9, ⑨⑨
10,14,Ｇワイルドハｰブ, 41,城戸義, 2.4, 33,   2, -27, 9, 27.2,⑤⑥⑦,10,14, メイショウカンベエ,,熊沢重,193.7,,,,10, 59.5,⑫⑩⑨,10, 3,Ｂコスモマイルｰル, 70,井上敏, 0.2, 67,   4,*  1, 6,  9.1, ⑭⑬,10, 5,Ｇバシレウスライオン, 58,柴山雄, 1.0, 59,   9, -16, 1,  2.9, ⑥④
11,11,Ｂブラウンテヌｰト, 46,柴山雄, 2.8, 29,  -3, -22, 3, 10.4,⑩⑬⑬,11, 9, ヤギリヒマワリ,,大江原,193.9,,,,14,221.9,⑬⑫⑫,11, 7,Ｋデュアルメジャｰ, 63,柴山雄, 0.4, 69,  14, -11, 4,  7.6, ④⑤,11,15,Ｆミキノドラマｰ, 59,丹内祐, 1.2, 56,  10, -20, 8, 23.4, ⑧⑥
12,13,Ｌスリｰアリアン, 24,古川吉, 3.7, 25,   1, -36, 4, 16.8,⑧⑨⑩,12,13, ワイルドジｰク,,石神深,194.6,,,, 9, 49.6,①⑧⑩,12, 9,Ｅカボスチャン, 67,嘉藤貴, 0.5, 66,   8,  -6,11, 24.0, ⑩⑪,12,10,Ｋハタノインサイト, 54,古川吉, 2.1, 43,   6, -28,10, 46.0, ⑫⑭
13, 3,Ｈヤマタケシェンナ, 40,丸山元, 3.9, 22,*  4, -45,13, 89.6,①①②,13, 4, ドリｰムポリｰニ,,小坂忠,196.3,,,, 7, 34.2,⑨⑬⑬,13, 1,Ｆタカミツスズラン, 67,勝浦正, 0.8, 62,   8, -10, 8, 15.7, ⑨⑨,13,12,Ｃグリマｰプリンセス, 63,川須栄, 3.1, 36,* 13, -46,12, 68.8, ②⑤
14, 8,Ｎシゲルハマダイ, 23,黛弘人, 4.1, 22,  -4, -32,14, 97.2,⑬⑭⑭,,,,,,,,,,,,,14, 4,Ｏハナモモ, 60,柴田大, 1.0, 59,   6, -11,15,111.0, ⑪⑭,14, 6,Ｎペイシャオブマｰシ, 51,井上敏, 3.1, 32,   5, -39,11, 46.9, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｐオｰラクィｰン, 50,長岡禎, 1.2, 56,   3, -10,16,126.2, ⑯⑯,15,14,Ｌニシノグリｰディ, 54,大野拓, 3.1, 34,* 12, -45,13, 77.6, ④⑪
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｍクラウンデュナミス, 61,古川吉, 2.1, 48,  14, -33,12, 60.5, ③⑦,16,13,Ｐメイショウマイカゼ, 43,北村友, 3.5, 29,  -1, -38,15,102.8, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:65 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:11),,,,,,,,,,,
"単勝:1,970円 複勝:12=340円 07=120円 02=460円 枠連:500円",,,,,,,,,,,,"単勝:4,160円 複勝:05=730円 07=150円 02=250円 枠連:1,910円",,,,,,,,,,,,"単勝:740円 複勝:14=330円 12=220円 16=1,640円 枠連:2,790円",,,,,,,,,,,,"単勝:2,560円 複勝:04=670円 03=170円 07=1,410円 枠連:4,530円",,,,,,,,,,,
"馬連:1,480円 ワイド:07-12=560円 02-12=2,440円 02-07=820円",,,,,,,,,,,,"馬連:4,740円 ワイド:05-07=1,960円 02-05=2,870円 02-07=590円",,,,,,,,,,,,"馬連:3,030円 ワイド:12-14=1,290円 14-16=10,320円 12-16=8,040円",,,,,,,,,,,,"馬連:4,220円 ワイド:03-04=1,230円 04-07=15,600円 03-07=4,800円",,,,,,,,,,,
"馬単:4,610円 3連複:6,300円 3連単:54,600円",,,,,,,,,,,,"馬単:12,520円 3連複:11,350円 3連単:131,930円",,,,,,,,,,,,"馬単:6,430円 3連複:64,460円 3連単:209,780円",,,,,,,,,,,,"馬単:12,210円 3連複:68,400円 3連単:358,180円",,,,,,,,,,,
■ 2R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2770m 3歳上未勝利 定量,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄカフジスタｰ, 70,加藤祥,, 72,*  6,*  8,15, 33.0,⑩①①, 1, 9, アイティテイオｰ,,浜野谷,,,,, 2,  3.0,④①①, 1,13,Ｂフェルメッツァ, 78,吉田隼,, 77,   3,* 10, 1,  3.5,⑮⑥⑤, 1, 1,Ｂヤマカツエｰス, 91,津村明,, 82,  16,* -5, 2,  5.5,⑨⑥③
 2,15,Ｈフォｰスフィｰルド, 68,鮫島克, 0.1, 73,   5,* 11, 8, 16.9,⑤⑧⑦, 2, 8, プラスワン,,草野太,188.7,,,, 1,  2.8,⑧⑥③, 2,14,Ｅウインマハロ, 73,柴田大, 0.0, 78,*  6,   4, 3,  5.8,③②①, 2, 8,Ｃミトラ, 91,柴山雄, 0.2, 81,* 18, -10, 1,  4.2,⑤③①
 3, 8,Ｊヤマイチキセキ, 66,菱田裕, 0.3, 70,*  6,   6, 4, 10.2,③③②, 3, 3, シップウハヤト,,小坂忠,188.7,,,, 3,  8.0,⑤②②, 3, 7,Ｃブレイクザポケット, 75,柴山雄, 0.0, 79,   2,* 13, 2,  4.5,⑥⑩⑥, 3,13,Ｅファントムライト, 86,吉田隼, 0.5, 78,  14,* -5, 4,  7.3,⑭⑬⑭
 4, 4,Ａメイスンキャプテン, 79,柴山雄, 0.7, 68,   4,*  7, 1,  3.9,⑭⑩⑩, 4,13, ショウリュウバイオ,,平沢健,190.5,,,,10, 34.0,②⑤④, 4, 1,Ｄアドマイヤライン, 74,丸山元, 0.3, 77,   0,* 13, 6,  9.7,⑩⑮⑪, 4, 7,Ｋステラウインド, 80,北村友, 0.5, 79,  15,  -8, 5, 11.1,⑫⑩⑨
 5,10,Ｂウインユニファイド, 74,丹内祐, 0.7, 68,   5,   5, 6, 11.2,④⑤⑥, 5,12, ダイゴサクラ,,黒岩悠,190.6,,,, 7, 21.6,①④⑤, 5, 4,Ｉクリｰブラット, 67,中谷雄, 0.3, 74,*  6,   2, 8, 21.4,⑯③③, 5, 2,Ｄマイネルミラノ, 87,柴田大, 0.5, 80,* 18, -14, 3,  6.1,③②⑤
 6, 1,Ｇデルマコテツ, 69,川須栄, 0.8, 70,   5,   7, 9, 18.4,⑧⑨⑨, 6, 5, ルｰ,,山本康,190.8,,,, 9, 29.0,⑥⑧⑧, 6,16,Ｇマンディスキュア, 68,長岡禎, 0.5, 73,*  4,   1,10, 37.0,⑫④④, 6,16,Ｌメイショウカンパク, 77,古川吉, 0.7, 77,  14,* -7,16,125.4,⑮⑯⑮
 7,11,Ｌキｰルコネクション, 64,黛弘人, 0.9, 67,*  6,   1, 3,  8.3,⑦④③, 7, 1, ダイメイサンジ,,大江原,190.9,,,, 6, 20.8,⑦⑦⑦, 7,10,Ｍラッシュアタック, 62,勝浦正, 0.6, 71,   2,   3, 4,  9.0,⑤⑧⑦, 7,14,Ｎバロンドゥフォｰル, 75,石橋脩, 0.7, 79,  14,* -7, 6, 13.4,⑯⑭⑫
 8, 3,Ｍメイショウユメハチ, 64,国分恭, 1.1, 66,   5,   1,12, 22.3,⑫⑦⑤, 8, 7, ラノララク,,江田勇,191.9,,,, 5, 11.0,③③⑥, 8, 2,Ａエイブルボス, 79,丸田恭, 1.2, 65,   0,   0, 5,  9.1,⑧⑭⑬, 8, 6,Ｆフレイムコｰド, 85,菱田裕, 0.8, 75,* 18, -19, 8, 18.4,④⑤②
 9, 9,Ｉストロングバルドル, 67,大野拓, 1.2, 67,   4,   7,14, 23.8,⑪⑬⑪, 9, 4, スズカセルリアン,,田村太,192.2,,,,12, 76.9,⑬⑪⑩, 9,12,Ｊアサクサゴｰルド, 66,大野拓, 1.3, 64,*  6, -12,15, 98.2,①①②, 9,12,Ｇフラアンジェリコ, 84,丸山元, 0.8, 75,  15, -14,11, 21.1,⑬⑨⑦
10, 2,Ｆセプテントリオ, 69,勝浦正, 1.5, 63,   3,   2,10, 18.5,⑯⑫⑫,10,11, メイショウムロト,,高田潤,192.6,,,, 4,  8.7,⑩⑨⑨,10,11,Ｈイオラニ, 67,加藤祥, 1.3, 63,   1,  -6,11, 38.3,⑨⑪⑫,10, 3,Ａシャイニｰプリンス, 93,松若風, 1.6, 68,  14, -19, 7, 13.9,⑪⑮⑬
11, 7,Ｅブルｰスブレイカｰ, 69,北村友, 2.4, 57,*  6, -12, 7, 13.7,①②④,11,10, ハクサンゲイン,,金子光,194.0,,,,13,141.0,⑨⑩⑪,11,15,Ｎカスクストレングス, 61,嘉藤貴, 1.5, 62,   3, -10,16,222.4,⑭⑨⑧,11,11,Ｍセキショウ, 76,勝浦正, 1.6, 68,  16, -28,14, 66.3,⑧⑦⑥
12,12,Ｏアルピニスト, 56,中谷雄, 2.4, 58,   5, -10,13, 23.7,⑥⑥⑧,12,14, ミリノカイザｰ,,佐久間,195.7,,,,14,152.5,⑪⑫⑫,12, 9,Ｐジョンブドｰル, 55,石橋脩, 1.6, 62,   0,  -7, 7, 17.2,⑦⑫⑭,12, 4,Ｈアンコイルド, 83,中谷雄, 1.7, 67,* 19, -33,13, 35.3,①①④
13, 5,Ｃジャコバイティズム, 71,伊藤工, 3.0, 55,   4,  -9, 5, 11.1,⑬⑭⑭,13, 6, スマｰトアロｰ,,石神深,196.8,,,, 8, 26.8,⑭⑬⑬,13, 6,Ｆキンコバン, 69,城戸義, 1.9, 57,   3, -15,12, 38.4,②⑦⑨,13, 5,Ｊメイショウスザンナ, 80,鮫島克, 2.4, 62,  16, -37,10, 20.9,⑦⑧⑧
14,16,Ｐグレイスビクトリア, 55,長岡禎, 4.2, 50,   2, -14,16,238.5,⑮⑯⑯,14, 2, アイアムライジング,,五十嵐,200.3,,,,11, 45.1,⑫⑭⑭,14, 5,Ｌマイネルシェルト, 65,丹内祐, 1.9, 57,   3, -16, 9, 35.9,④⑤⑩,14,15,Ｐフィロパトｰル, 68,藤懸貴, 2.7, 63,* 18, -45,15,108.0,②④⑪
15,14,Ｋメイショウスタｰク, 64,古川吉, 4.6, 47,   4, -24,11, 19.6,⑨⑪⑬,,,,,,,,,,,,,15, 3,Ｋマイネルランスタン, 65,黛弘人, 2.1, 57,   0, -12,13, 63.6,⑬⑬⑯,15,10,Ｉメイショウナルト, 81,幸英明, 2.8, 61,  15, -39, 9, 19.7,⑥⑪⑯
16,13,Ｎカナラズカナラズ, 59,松若風, 5.8, 43,   3, -31, 2,  6.8,②⑮⑮,,,,,,,,,,,,,16, 8,Ｏライフトップガン, 55,幸英明, 2.1, 57,   0, -13,14, 94.8,⑪⑯⑮,16, 9,Ｏノットフォｰマル, 75,黛弘人, 2.8, 60,  15, -40,12, 24.6,⑩⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:重(指数:11),,,,,,,,,,,
"単勝:3,300円 複勝:06=720円 15=560円 08=410円 枠連:5,650円",,,,,,,,,,,,単勝:300円 複勝:09=110円 08=110円 03=170円 枠連:330円,,,,,,,,,,,,"単勝:350円 複勝:13=120円 14=170円 07=150円 枠連:1,290円",,,,,,,,,,,,単勝:550円 複勝:01=190円 08=160円 13=210円 枠連:560円,,,,,,,,,,,
"馬連:17,370円 ワイド:06-15=4,050円 06-08=3,250円 08-15=2,980円",,,,,,,,,,,,馬連:360円 ワイド:08-09=170円 03-09=430円 03-08=350円,,,,,,,,,,,,"馬連:1,070円 ワイド:13-14=400円 07-13=290円 07-14=570円",,,,,,,,,,,,"馬連:1,440円 ワイド:01-08=510円 01-13=810円 08-13=550円",,,,,,,,,,,
"馬単:30,020円 3連複:60,590円 3連単:648,170円",,,,,,,,,,,,"馬単:800円 3連複:920円 3連単:3,100円",,,,,,,,,,,,"馬単:1,980円 3連複:1,860円 3連単:7,880円",,,,,,,,,,,,"馬単:2,460円 3連複:2,790円 3連単:10,870円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯坂温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａアスカクイン, 73,吉田隼,, 70,   3,*  6, 1,  3.4,⑧⑧⑤, 1, 8,Ｊヴァｰジナル, 70,柴山雄,, 71,   6,*  7, 3,  5.1,⑦⑦⑦, 1, 1,Ｇサウスキング, 68,伊藤工,, 70,   3,*  3, 3,  4.8, ③②, 1, 1,Ｂスプリングサヴァン, 70,伊藤工,, 69,  -2,   7, 7, 16.4, ⑨⑨
 2,12,Ｃラフェットデメｰル, 71,鮫島克, 0.1, 69,   4,   3, 5, 10.1,⑥⑤③, 2,11,Ａドラゴンキングダム, 73,津村明, 0.2, 68,*  7,   3, 2,  4.5,⑧④③, 2, 9,Ｂアペルトゥｰラ, 74,鮫島克, 0.2, 68,   3,   1, 1,  3.1, ④④, 2,10,Ｆリミットブレイク, 64,川須栄, 0.1, 68,   5,  -3, 5,  9.3, ⑥⑥
 3, 2,Ｄナスカザン, 71,伴啓太, 0.2, 70,   1,*  9, 6, 12.2,⑮⑮⑫, 3, 9,Ｃアｰスコネクタｰ, 73,中谷雄, 0.4, 68,*  7,   1, 1,  3.9,②②②, 3,16,Ｄミカルベウス, 69,丹内祐, 0.5, 65,   1,   1, 9, 24.0, ⑨⑧, 3, 4,Ｌハコダテロｰズ, 59,菱田裕, 0.1, 69, -13,* 16, 8, 22.3, ⑮⑮
 4, 4,Ｋマラカイトスタｰ, 64,津村明, 0.5, 64,*  5,  -3, 4,  9.0,②①①, 4, 4,Ｅバイタルフォルム, 72,大野拓, 0.6, 68,   5,   3,10, 23.9,⑥⑩⑧, 4,13,Ａカシノスティｰヴ, 74,柴山雄, 0.6, 62,  -2,*  2, 2,  4.2, ⑭⑮, 4, 9,Ｊツクバアラモｰド, 62,嘉藤貴, 0.2, 67,*  9,  -8,14, 85.7, ②①
 5,10,Ｂモンシュシュ, 73,丸田恭, 0.6, 64,   4,  -1, 2,  3.7,⑪⑥⑥, 5,13,Ｈコスモナチュラル, 71,柴田大, 0.6, 68,   6,   1, 5, 12.5,⑤⑥⑤, 5,14,Ｈメイショウサンゾウ, 68,古川吉, 0.7, 62,  -1,   0,11, 37.6, ⑫⑪, 5,14,Ａジェントルヴァウ, 76,吉田隼, 0.3, 65,   5,  -5, 2,  4.9, ⑦⑧
 6,13,Ｆアンジェラスベル, 69,柴田大, 0.6, 67,   3,   1, 9, 24.9,⑬⑨⑧, 6, 7,Ｂトゥｰルモンド, 73,伴啓太, 0.7, 69,   3,*  5, 9, 22.4,⑮⑮⑭, 6,12,Ｆオｰロラッシュ, 68,丸山元, 0.8, 61,  -3,*  3, 7, 18.8, ⑮⑭, 6, 7,Ｇテンテマリ, 64,丸山元, 0.3, 66, -15,* 16, 9, 28.7, ⑯⑯
 7,11,Ｊナイトブルｰミング, 64,丸山元, 0.7, 65,   2,   3, 8, 17.7,⑩⑫⑨, 7,10,Ｄオアフライダｰ, 72,幸英明, 0.7, 68,   6,   1,11, 29.0,⑭⑨⑩, 7,11,Ｌディアドナテロ, 64,川須栄, 0.9, 62,  -1,  -1, 5, 16.8, ⑪⑩, 7,13,Ｅマルクナッテ, 65,鮫島克, 0.4, 66,  -6,   6, 6,  9.4, ⑬⑬
 8, 7,Ｅトｰセンセラヴィ, 70,菱田裕, 1.1, 62,*  5,  -8, 3,  6.2,⑤③④, 8,15,Ｇコマクサ, 72,丸山元, 0.7, 66,*  7,  -1, 7, 17.0,④③⑥, 8,10,Ｊトウカイインパルス, 66,松若風, 1.0, 61,   3,  -6, 8, 19.4, ⑤⑤, 8, 6,Ｐショウナンマキシム, 56,勝浦正, 0.4, 65,  -2,   2,13, 84.3, ⑩⑩
 9, 5,Ｇバｰドオンアスク, 67,井上敏, 1.3, 58,*  5, -10,10, 28.9,③②②, 9, 5,Ｍコスモムルジム, 62,丹内祐, 0.8, 66,   6,  -1, 6, 13.1,③⑤④, 9, 3,Ｍユウユウ, 59,伴啓太, 1.1, 59,  -2,  -2,13, 50.7, ⑬⑫, 9,15,Ｎイタリアンフェッテ, 58,柴田大, 0.5, 65,  -8,   7,15,142.2, ⑭⑭
10,15,Ｈトｰコｰヴィオラ, 66,加藤祥, 1.9, 56,   4, -12, 7, 16.9,⑨⑦⑩,10, 2,Ｋスリｰマキシマム, 65,松若風, 0.8, 68,   3,*  4,15, 83.7,⑪⑬⑫,10, 2,Ｅユキノマルガリｰタ, 68,城戸義, 1.1, 59,   1,  -5,12, 42.3, ⑦⑥,10, 3,Ｈメジャｰフォルム, 64,大野拓, 0.5, 63,   3,  -5, 3,  6.4, ⑧⑦
11,14,Ｉパｰティブロッサム, 64,川須栄, 2.3, 55,*  5, -17,12, 72.1,⑦④⑦,11, 3,Ｆツクバイｰメｰカｰ, 72,古川吉, 0.9, 65,   5,   1, 4,  8.0,⑨⑪⑪,11, 7,Ｏオｰシャンヒｰロｰ, 53,柴田未, 1.1, 59,   1,  -5,10, 24.9, ⑧⑦,11,16,Ｏシェｰネフラウ, 58,黛弘人, 0.6, 62,   8, -11,10, 34.1, ④⑤
12, 8,Ｌノルウェｰノモリ, 55,松若風, 2.4, 55,   2, -12,11, 45.2,⑭⑬⑪,12, 1,Ｉノワｰルギャルソン, 71,菱田裕, 0.9, 67,   5,   3,12, 39.1,⑬⑭⑬,12, 4,Ｎデルマシズカチャン, 58,長岡禎, 1.2, 57,  -1,  -4,16,314.8, ⑩⑬,12, 5,Ｃベルモントラハイナ, 70,松若風, 0.6, 61,   7, -10, 1,  3.3, ⑤④
13, 3,Ｍジギｰスンナｰ, 54,勝浦正, 3.1, 48,   1, -16,14,183.1,④⑭⑭,13, 6,Ｎアガスティア, 61,石橋脩, 1.4, 62,   6,  -5,13, 53.4,⑩⑧⑨,13, 5,Ｉリバｰコンサｰト, 67,加藤祥, 1.3, 59,*  6, -10, 6, 17.3, ①①,13,11,Ｋスピｰディユウマ, 61,長岡禎, 0.7, 61,  -8,   3,16,192.2, ⑫⑫
14, 6,Ｎチュウワアピｰル, 51,丹内祐, 3.4, 46,   2, -22,13,121.9,⑫⑩⑬,14,14,Ｏメイジン, 60,丸田恭, 2.0, 56,*  7, -13, 8, 21.6,①①①,14, 6,Ｃディスティニｰガイ, 70,岩部純, 1.5, 55,   0,  -8, 4, 10.2, ⑥⑨,14,12,Ｄウエスタンユｰノｰ, 67,石橋脩, 0.8, 60,*  9, -15, 4,  7.9, ③③
15, 9,Ｏホレミンサイヤ, 41,長岡禎, 3.5, 46,   2, -21,15,261.5,①⑪⑮,15,12,Ｌノｰブルクリスタル, 64,勝浦正, 2.1, 56,   4,  -8,14, 57.0,⑫⑫⑮,15,15,Ｐエクセレントミノル, 48,津村明, 1.9, 50,  -3,  -7,15,195.0, ⑯⑯,15, 2,Ｉヘニｰスウィフト, 63,津村明, 0.8, 58,  -4,  -2,12, 43.4, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｋマチルダ, 64,国分恭, 1.9, 54,*  5, -15,14, 83.3, ②③,16, 8,Ｍマコトグナイゼナウ, 58,幸英明, 2.9, 34,* 11, -43,11, 34.3, ①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
