15年 4月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝2750m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 6, 9,Ａハナイチゲ, 64,丹内祐, 0.7, 56,*-10,   1, 2,  4.6,③③④, 6, 5, トｰセンプラチナ,,五十嵐,182.2,,,,13, 73.3,①①①, 6, 5,Ｋファイトバック, 60,吉田隼, 1.2, 55,  -3,  -1,14, 60.6, ⑭⑪, 6, 2,Ｉファンデルワｰルス, 71,嘉藤貴, 0.5, 71,   5,   1, 7, 13.0, ⑧⑦
 7, 3,Ｋリガドｰル, 37,伴啓太, 1.3, 49,*-10,  -5,12, 75.2,④⑤⑤, 7, 7, ドリｰムヒｰロｰ,,北沢伸,182.7,,,, 5,  7.9,⑧⑨⑨, 7, 1,Ｇメイショウカイモン, 63,熊沢重, 1.2, 55,  -6,*  2, 9, 25.0, ⑮⑭, 7, 6,Ｄヤマニンカヴァリエ, 76,菅原隆, 0.5, 68,  -2,*  8,11, 21.9, ⑫⑫
 8,13,Ｇパンプキンパイ, 46,難波剛, 1.3, 52, -11,  -1, 9, 29.6,⑧⑨⑧, 8, 3, プレミアムウォｰズ,,草野太,182.9,,,,12, 36.8,⑩⑥⑥, 8, 8,Ｏブロンシェダｰム, 56,川須栄, 1.3, 57,   2,  -5, 3, 10.2, ⑨⑧, 8,14,Ｎスｰパｰアｰス, 68,宮崎北, 0.9, 63, -11,* 12,13, 35.3, ⑯⑯
 9,12,Ｅドリｰムシュｰタｰ, 49,中谷雄, 1.5, 51, -14,   1, 5,  9.0,⑬⑬⑩, 9, 4, テイエムセイリュウ,,難波剛,183.2,,,, 7, 13.8,⑤⑧⑧, 9,10,Ｆジョｰヌダンブル, 65,木幡初, 1.3, 55,   2,  -8, 5, 11.3, ⑧⑦, 9,10,Ｍサンキストロｰド, 70,国分恭, 1.0, 65,   6,  -7, 4,  8.1, ⑦⑧
10, 6, スプリングウィンズ,---,杉原誠, 1.8, 48, -15,  -1,14, 94.8,⑮⑮⑬,10, 9, オｰルアズワン,,佐久間,183.7,,,, 9, 23.4,⑪⑫⑫,10,11,Ｎハツコイ, 59,黛弘人, 1.5, 53,  -2,  -6, 6, 12.1, ⑫⑮,10, 7,Ｈクリノタカラチャン, 72,木幡初, 1.0, 68,* 13, -13, 8, 16.5, ③③
11, 7, レオデスティニｰ,---,黛弘人, 2.0, 46, -15,  -3,11, 54.3,⑯⑭⑯,11,14, ティリアンパｰプル,,金子光,183.9,,,,10, 24.2,⑫⑪⑩,11,12,Ｐメイショウアサツユ, 53,中井裕, 1.5, 55,*  7, -15,13, 39.8, ②②,11,13,Ｂイルｰシヴキャット, 76,小崎綾, 1.1, 62,   3,  -5, 2,  5.4, ⑨⑪
12,10, ロｰドアンビシャス,---,中井裕, 2.1, 40, -13, -12, 6, 13.1,⑭⑪⑫,12,11, エリタｰジュ,,田村太,184.4,,,,14,139.3,⑨⑩⑪,12, 4,Ｊフレンチフェロｰ, 60,嘉藤貴, 1.6, 53,   4, -12,16, 90.7, ⑥⑤,12,12,Ｐベルライン, 67,西村太, 1.1, 62,   1,  -3,15, 91.9, ⑪⑩
13, 5,Ｌハギノカイザｰ, 33,松若風, 2.1, 46, -15,  -3, 8, 25.8,⑫⑯⑮,13, 8, エクセリオン,,浜野谷,186.3,,,, 8, 19.5,⑬⑬⑬,13,14,Ｌトミケンフィアブル, 60,丹内祐, 1.6, 51,  -2,  -8,12, 33.9, ⑬⑬,13,16,Ｅアポロパレス, 73,加藤祥, 1.2, 60,  -2,  -1,16,116.2, ⑭⑭
14,16,Ｆミヤビクロタカ, 48,西田雄, 2.3, 37,*-10, -19,16,132.9,⑩⑧⑪,14,13, テｰオｰダンシング,,黒岩悠,188.4,,,,11, 30.4,⑭⑭⑭,14, 9,Ｈドナエテルニテ, 62,井上敏, 2.7, 38,   3, -27,10, 26.9, ⑦⑨,14,15,Ｌケイアイユニコｰン, 70,松若風, 1.2, 60,  -1,  -3, 6, 10.1, ⑬⑬
15, 1,Ｍマイネルシュリンガ,  5,嘉藤貴, 2.6, 36, -14, -15,15,108.6,⑦⑫⑭,,,,,,,,,,,,,15,16,Ｉハギノソフィア, 61,田中博, 2.8, 36,  -1, -24,15, 80.1, ⑩⑩,15, 8,Ｏレヴァンタｰル, 68,黛弘人, 1.3, 59,  -6,   2,14, 42.8, ⑮⑮
16,11,Ｉクリムゾンスカイ, 42,川須栄, 2.9, 31,*-10, -29,13, 80.4,⑪④⑨,,,,,,,,,,,,,16,15,Ｄヤマニンシバルリｰ, 68,杉原誠, 2.8, 35,  -7, -18,11, 29.3, ⑯⑯,16, 9,Ａロマネクイｰン, 77,西田雄, 1.5, 60,  10, -17, 1,  4.4, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:730円 複勝:08=270円 15=660円 04=1,560円 枠連:7,170円",,,,,,,,,,,,"単勝:780円 複勝:01=270円 12=190円 06=170円 枠連:2,440円",,,,,,,,,,,,"単勝:1,030円 複勝:03=210円 02=150円 07=150円 枠連:2,400円",,,,,,,,,,,,"単勝:890円 複勝:01=360円 04=1,120円 03=590円 枠連:3,340円",,,,,,,,,,,
"馬連:5,990円 ワイド:08-15=1,850円 04-08=6,120円 04-15=15,450円",,,,,,,,,,,,"馬連:2,440円 ワイド:01-12=840円 01-06=1,280円 06-12=490円",,,,,,,,,,,,"馬連:2,670円 ワイド:02-03=760円 03-07=800円 02-07=330円",,,,,,,,,,,,"馬連:15,260円 ワイド:01-04=5,760円 01-03=2,940円 03-04=4,920円",,,,,,,,,,,
"馬単:9,980円 3連複:55,480円 3連単:247,040円",,,,,,,,,,,,"馬単:5,540円 3連複:4,850円 3連単:40,280円",,,,,,,,,,,,"馬単:6,470円 3連複:2,920円 3連単:25,030円",,,,,,,,,,,,"馬単:23,550円 3連複:67,800円 3連単:323,940円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 6R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯盛山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａスクワｰル, 66,松若風,, 54,  -1,* -1, 1,  2.1,⑧⑤⑥, 1,15,Ｄサンライズカラｰ, 71,津村明,, 69,*  7,   6, 3,  6.5,②②②, 1,15,Ｉサウスキング, 65,伊藤工,, 65,   2,*  6, 4,  7.5, ⑥⑦, 1, 3,Ｈサトノスティング, 69,松若風,, 80,*  6,*  7, 9, 24.7,①①①
 2,11,Ｃシンプリｰスパｰブ, 59,小崎綾, 0.4, 50,  -2,  -3, 3,  7.5,⑦⑧⑧, 2, 9, メイショウハクラク,---,加藤祥, 0.1, 71,   5,*  8,12, 62.9,③③③, 2,14,Ａバｰニｰズ, 71,津村明, 0.7, 58,   0,   3, 1,  4.6, ⑨⑨, 2, 1,Ａダイワブレイディ, 75,川須栄, 0.7, 71,   3,   1, 2,  5.4,④④②
 3,15,Ｂカスミチャン, 61,加藤祥, 0.4, 51,   0,  -5, 2,  4.7,⑤⑥④, 3,13,Ｂコウユｰアンドレ, 74,国分恭, 0.2, 72,   4,* 11, 7, 14.4,⑩⑨⑦, 3, 8,Ｊユキノラムセス, 62,西田雄, 0.8, 59,  -1,   3, 9, 18.2, ⑩⑤, 3, 2,Ｍシンボリネルソン, 63,熊沢重, 0.8, 73,   3,*  5,15,195.6,⑩⑨⑥
 4, 2,Ｋレッドグロワｰル, 41,杉原誠, 0.5, 44,  -3,* -1, 6, 18.2,⑫⑪⑪, 4,10,Ａサンライズアルブル, 76,松若風, 0.4, 69,   6,   5, 1,  2.5,④④④, 4,11,Ｂビットアリエス, 70,吉田隼, 0.8, 58,  -4,*  6, 7, 11.0, ⑬⑬, 4,12,Ｌジェイケイネオ, 64,伊藤工, 1.3, 66,  -5,* 10,13,148.3,⑯⑯⑮
 5,14,Ｉアクティブボス, 47,野中悠, 0.6, 48,  -2,  -5,10, 82.2,⑨⑩⑨, 5, 1,Ｇダンディｰソル, 67,小崎綾, 0.6, 68,   2,* 10, 4, 10.5,⑪⑬⑩, 5,16,Ｃセイクラベ, 69,杉原誠, 0.9, 54,  -9,*  8,11, 67.2, ⑯⑯, 5, 8,Ｃシンボリジャズ, 73,吉田隼, 1.5, 62,   2,  -6, 3,  6.3,⑧⑩⑩
 6, 3,Ｇタイセイエナジｰ, 52,西村太, 0.7, 48,  -3,  -3,14,125.1,⑬⑬⑫, 6, 3,Ｃカノヤプレジデント, 72,中村将, 1.0, 65,   5,   2, 6, 12.3,⑭⑦⑥, 6, 5,Ｈモリトブイコｰル, 65,黛弘人, 0.9, 58,   1,   0,10, 30.4, ⑦④, 6,10,Ｄレインボｰラヴラヴ, 72,津村明, 1.5, 62,   3,  -8, 4,  8.6,⑤⑥⑧
 7, 9,Ｍクリノダイシャリン, 31,木幡初, 0.9, 47,   0, -10, 4,  8.7,④④⑤, 7, 4,Ｌルミラｰクル, 62,嘉藤貴, 1.2, 64,   4,   2,14,151.4,⑧⑧⑨, 7,13,Ｇジャスティシア, 67,小崎綾, 1.1, 56,   3,  -5, 6,  8.8, ④⑥, 7, 6,Ｆダｰクファンタジｰ, 71,杉原誠, 1.5, 63,  -1,  -2, 5,  8.9,⑫⑬⑭
 8,10,Ｈジャイアントケンタ, 49,藤懸貴, 0.9, 47,  -1,  -9,11, 96.4,⑪⑦⑦, 8, 5,Ｉハヤブサゴッド, 67,黛弘人, 1.2, 64,   4,   2,10, 36.8,⑫⑩⑪, 8, 9,Ｐクイｰンベジタブル, 40,井上敏, 1.1, 56,  -8,*  5,12, 80.9, ⑭⑮, 8,16,Ｉダブルコｰク, 68,木幡初, 1.5, 63,   2,  -7, 6, 15.4,⑨⑧⑨
 9,12,Ｄダンツホｰネット, 58,中井裕, 1.0, 46,*  1, -12, 5,  9.6,③③③, 9,12,Ｅトｰホウパルサｰ, 71,吉田隼, 1.3, 59,*  7,  -6, 2,  5.3,①①①, 9, 2,Ｋアスキットキング, 61,野中悠, 1.2, 56,*  7,  -8,14,110.0, ②②, 9,11,Ｅコスモイノセント, 72,嘉藤貴, 1.6, 62,   3, -10,11, 32.6,⑦⑦⑤
10, 8,Ｆワンダｰプレジｰル, 56,長岡禎, 1.2, 45,*  2, -13, 8, 23.3,②②②,10, 7,Ｆプラスワン, 70,西田雄, 1.3, 64,   5,   0,11, 60.6,⑦⑥⑤,10, 1,Ｄニシノイナズマ, 68,丹内祐, 1.2, 55,*  7,  -8, 5,  8.7, ①①,10,14,Ｎポｰラメソッド, 59,西田雄, 1.7, 61,   0,  -7, 7, 18.7,⑭⑪⑪
11, 5,Ｌナイスイタリアン, 41,原田和, 1.3, 44,  -2, -10, 7, 20.3,⑩⑨⑩,11, 2,Ｊオｰルデフィｰト, 66,川須栄, 1.6, 63,   2,   2, 8, 18.1,⑨⑫⑬,10, 7,Ｅカゼニタツライオン, 68,松若風, 1.2, 55,  -4,   1, 2,  5.3, ⑪⑪,11, 4,Ｇアルカナ, 69,田中博, 1.8, 61,  -1,  -4,10, 27.6,⑬⑭⑫
12, 1,Ｎヤマニンフライハイ,  0,嶋田純, 1.5, 45, -10,*  4,12,109.7,⑮⑮⑮,12,14,Ｍワンダｰブロタｰル, 61,藤懸貴, 1.8, 61,   0,   3,15,289.3,⑬⑭⑭,12,10,Ｏデルマコナキジジ, 50,西村太, 1.4, 54,*  6,  -9,13,102.7, ③③,12, 9,Ｏマイネルゼｰラフ, 57,黛弘人, 1.9, 60,   0,  -8,14,150.2,⑪⑫⑬
13, 7, ゴｰルドリボン,---,伴啓太, 1.8, 41,  -5,  -8,13,113.3,⑭⑭⑬,13, 6,Ｈサウスゴビ, 67,井上敏, 2.3, 58,   3,  -6,13, 69.6,⑥⑪⑫,13, 6,Ｎサンマルウィｰク, 51,菅原隆, 1.6, 52,  -5,  -1,15,132.7, ⑫⑫,13,13,Ｂトｰセンタｰキｰ, 74,小崎綾, 1.9, 57,*  4, -17, 1,  2.6,③③④
14, 4,Ｊフクノコニャック, 42,井上敏, 4.0, 27,*  1, -38, 9, 45.3,①①①,14,11,Ｋグラｰネ, 63,丹内祐, 2.4, 55,   0,  -2, 5, 10.6,⑮⑮⑮,14,12,Ｍリネンハイブリット, 53,木幡初, 1.7, 50, -10,   2,16,216.4, ⑮⑭,14,15,Ｋレジｰナ, 67,西村太, 2.0, 61,  -1,  -3,12,115.4,⑮⑮⑯
15,13,Ｅジｰニアル, 58,平野優, 5.3, 18,  -3, -42,15,157.0,⑥⑫⑭,15, 8,Ｎリオヴェラ, 46,原田和, 2.4, 55,   5, -10, 9, 21.2,⑤⑤⑧,15, 4,Ｆオｰトクレｰル, 68,伴啓太, 1.9, 49,   1,  -9, 3,  5.7, ⑧⑩,15, 5,Ｊマイネルピクトル, 67,丹内祐, 2.7, 50,*  4, -30, 8, 21.4,②②③
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｌシｰロア, 61,平野優, 2.1, 46,   1, -12, 8, 12.9, ⑤⑧,16, 7,Ｐヤマホトトギス, 57,長岡禎, 3.6, 42,   3, -38,16,240.0,⑥⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
