15年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 8,Ｂロｰドレグナム, 43,鮫島克, 2.7, 37,  -5, -21, 4,  4.8,⑧⑦⑥, 9, 1,Ｊメイショウユウヒ, 51,北村友, 1.0, 52,  -5,*  1, 8, 50.3, ⑫⑫, 9, 2,Ｍベｰリングメファ, 62,四位洋, 1.2, 63,   0,   2, 7, 15.4, ⑪⑪, 9,11,Ｊヴァリアシオン, 70,酒井学, 1.2, 68,* 16, -29,10, 73.4,④④③
10,13,Ｃウインウェルス, 42,松山弘, 3.1, 36,  -5, -23, 5, 14.8,⑩⑧⑧,10,13,Ｈホワイトフリル, 54,菱田裕, 1.2, 53,   5, -13, 9, 67.3, ④④,10,16,Ｇボストンビリｰヴ, 66,松田大, 1.3, 61,  -1,*  4,10, 31.4, ⑭⑮,10, 3,Ｈタガノバラｰド, 70,川田将, 1.5, 66,* 17, -35, 5, 12.8,①①①
11, 1,Ｌシゲルクロカジキ, 28,国分恭, 3.7, 33, -11, -17, 6, 21.8,⑨⑬⑭,11,15,Ｎサッチイズライフ, 44,加藤祥, 1.9, 45,  -6,  -6,12, 97.6, ⑭⑭,11, 7,Ａサンレイルｰジュ, 75,加藤祥, 1.3, 62,   6,  -7, 8, 15.6, ⑥⑤,11, 6,Ｋナインテイルズ, 66,幸英明, 2.7, 58,* 17, -51, 7, 24.0,③③②
12, 5,Ｆロｰマンカモミｰル, 37,加藤祥, 4.0, 30,  -9, -23,14,135.9,⑭⑭⑬,12, 7,Ｄサンマルブリｰズ, 58,竹之下, 1.9, 47,  -5,  -5,15,300.0, ⑬⑬,12, 6,Ｎヴェルメンティｰノ, 62,和田竜, 1.3, 64,* 10, -10,11, 34.5, ②②,,,,,,,,,,,,
13, 3,Ｎタムロゴｰゴｰ,  1,酒井学, 5.7, 22,  -5, -45, 7, 23.2,⑥⑨⑨,13,11,Ｅオｰスミアｰス, 58,浜中俊, 2.1, 48,   5, -18, 7, 20.6, ⑤⑤,13, 3,Ｌティアップブロンド, 63,幸英明, 1.5, 60,   7, -11,12, 34.8, ③④,,,,,,,,,,,,
14,14,Ｊテイエムハズンド, 33,熊沢重, 5.7, 24,  -4, -48, 8, 23.3,⑤⑥⑦,14, 2,Ｉスパｰディクス, 52,酒井学, 3.0, 39,  -9,  -9,14,190.9, ⑮⑮,14,14,Ｏパドパピヨン, 60,松山弘, 1.7, 58,  -2,   1,15,172.9, ⑯⑬,,,,,,,,,,,,
,,,,,,,,,,,,15,16,Ｍスマｰトソフィア, 45,幸英明, 4.5, 27,   2, -38,13,134.4, ⑥⑧,15, 8,Ｋメイショウマツシマ, 63,古川吉, 1.9, 56,   0,  -4,16,273.8, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,16, 6,Ｐセルリアンオニマル, 33,花田大, 6.0, 19, -13, -32,16,580.3, ⑯⑯,16,10,Ｐウォｰタｰワルツ, 58,菱田裕, 3.6, 42,  -5, -13,14,148.4, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-2),,,,,,,,,,,
単勝:450円 複勝:11=160円 12=140円 06=150円 枠連:860円,,,,,,,,,,,,単勝:200円 複勝:08=110円 09=160円 10=210円 枠連:420円,,,,,,,,,,,,単勝:630円 複勝:05=200円 04=150円 12=370円 枠連:700円,,,,,,,,,,,,単勝:180円 複勝:04=110円 05=180円 07=620円 枠連:600円,,,,,,,,,,,
馬連:940円 ワイド:11-12=330円 06-11=400円 06-12=350円,,,,,,,,,,,,馬連:610円 ワイド:08-09=250円 08-10=420円 09-10=490円,,,,,,,,,,,,"馬連:1,040円 ワイド:04-05=400円 05-12=1,480円 04-12=1,060円",,,,,,,,,,,,"馬連:550円 ワイド:04-05=290円 04-07=1,240円 05-07=2,060円",,,,,,,,,,,
"馬単:1,720円 3連複:1,390円 3連単:7,240円",,,,,,,,,,,,"馬単:920円 3連複:1,230円 3連単:3,780円",,,,,,,,,,,,"馬単:2,190円 3連複:4,450円 3連単:21,750円",,,,,,,,,,,,"馬単:780円 3連複:4,320円 3連単:11,390円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3140m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,阪神ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆタイセイマライカ, 44,藤岡康,, 57, -14,* -1, 4, 12.8, ⑬⑫, 1,10, ピュアコンチェルト,---,川田将,, 59,* -6,  -4, 5,  7.8, ②②, 1, 9, オｰスミムｰン,,高田潤,,,,, 1,  1.3,④②①, 1, 6,Ｋアウォｰディｰ, 77,武豊  ,, 89,   7,* 20, 7,  9.9,⑧⑧⑧
 2,10,Ａノアビジン, 57,岩田康, 0.0, 53,* -3, -14, 3,  5.5, ①①, 2, 4, タイセイサミット,---,デムｰ, 0.3, 56, -14,*  4, 2,  4.4, ⑨⑧, 2, 5, マキオボｰラｰ,,平沢健,212.1,,,, 2,  6.4,①①②, 2, 8,Ｂイｰスタｰパレｰド, 85,幸英明, 0.1, 86,* 10,  13, 6,  8.4,②②②
 3,12,Ｂルピナスベル, 51,小牧太, 0.1, 54, -15,* -3, 2,  5.4, ⑫⑬, 3,11, アグネッタ,---,岩田康, 0.4, 55,  -8,  -5, 7, 16.5, ⑤⑤, 3, 7, ミヤコデラックス,,五十嵐,212.9,,,, 9, 44.7,③③③, 3, 4,Ｇハギノタイクｰン, 82,ルメｰ, 0.9, 82,   8,   9, 9, 23.4,④④⑤
 4, 7,Ｌロｰザルｰジュ, 40,太宰啓, 0.1, 52, -10,  -9, 7, 15.2, ⑩⑨, 4, 5, ファインニｰドル,---,藤岡康, 0.4, 56, -17,*  6, 3,  5.2, ⑬⑪, 4, 6, メイショウアラワシ,,森一馬,213.6,,,, 6, 33.6,②④④, 4,11,Ｄエクストラゴｰルド, 85,福永祐, 0.9, 80,   8,   8, 3,  6.5,③③④
 5, 6,Ｃアリッサム, 49,武豊  , 0.1, 51,* -6, -13, 1,  2.3, ④③, 5,13, エイシンミント,---,武豊  , 0.4, 54,* -3, -12, 4,  5.3, ①①, 5, 3, ダンツメガヒット,,小坂忠,214.1,,,, 4, 11.8,⑥⑥⑥, 5, 7,Ｃタマノブリュネット, 85,岩田康, 1.0, 80,   9,   9, 1,  3.4,⑦⑥⑥
 6, 5,Ｇティノ, 43,鮫島克, 0.2, 52, -10,  -8, 9, 27.7, ⑨⑪, 6, 3, アオリスト,---,和田竜, 0.5, 54,* -6,  -9, 9, 29.5, ③③, 6, 1, メイショウセイウン,,植野貴,214.5,,,, 7, 34.4,⑦⑤⑤, 6, 1,Ａグッドマイスタｰ, 86,北村友, 1.0, 81,   7,  12, 2,  5.8,⑨⑨⑨
 7, 3,Ｄラララルジェス, 45,和田竜, 0.3, 50, -11, -10, 5, 13.6, ⑪⑩, 7, 2, マイネルクリスピン,---,松山弘, 1.3, 45, -11, -13,10, 54.2, ⑦⑥, 7, 4, ファイアｰシチｰ,,中村将,217.3,,,, 8, 42.3,⑧⑧⑧, 7, 3,Ｈマイネルオフィｰル, 81,川田将, 1.2, 79,   9,   7, 4,  6.9,⑥⑦③
 8, 1,Ｉテイエムハイボｰル, 41,藤懸貴, 0.4, 50, -10, -13, 8, 20.2, ⑧⑧, 8, 8, ロｰズオｰラ,---,酒井学, 1.6, 42, -16, -10,11, 56.4, ⑫⑩, 8, 2, メイショウヨウドウ,,西谷誠,217.8,,,, 3,  9.2,⑤⑦⑦, 8, 2,Ｆエｰシンザヘッド, 82,デムｰ, 1.3, 78,   6,  10, 8, 15.6,⑩⑩⑩
 9, 2,Ｋダンガンレディ, 40,義英真, 0.6, 47, -19,  -6,14,235.1, ⑭⑭, 9,14, アメリカンイナズマ,---,ルメｰ, 1.7, 39, -11, -19, 1,  3.9, ⑥⑦,,,,,,,,,,,,, 9, 9,Ｅカネトシマｰシャル, 84,国分恭, 1.5, 80,   5,  11,11, 82.0,⑪⑪⑪
10,15,Ｍテイエムオｰルマル, 38,菱田裕, 0.6, 46,  -7, -18,13,227.6, ⑤⑤,10, 1, ワイエムフェアリｰ,---,川須栄, 1.7, 41, -15, -13,14,218.4, ⑩⑨,,,,,,,,,,,,,10,10,Ｊセイカフォルトゥナ, 80,田中健, 1.8, 74,* 11,  -3,10, 71.2,①①①
11, 9,Ｊガｰルズティアラ, 41,川田将, 0.7, 44,* -4, -22, 6, 13.7, ②②,11, 9, クリノメルクリウス,---,幸英明, 2.0, 39, -19, -12, 8, 25.4, ⑭⑭,,,,,,,,,,,,,11, 5,Ｉブライトアイディア, 80,高倉稜, 2.0, 75,   8,   1, 5,  6.9,⑤⑤⑦
12,11,Ｈフォルトゥｰナ, 41,幸英明, 0.7, 47, -20,  -6,10, 32.5, ⑮⑮,12, 6, クイｰンオブスカイ,---,福永祐, 2.1, 35, -16, -17, 6, 14.9, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Ｏブライティアベガ, 27,国分優, 0.9, 41,  -8, -20,15,362.1, ⑦⑦,13,12, シゲルクロメバル,---,菱田裕, 2.2, 34,  -7, -30,13, 86.7, ④④,,,,,,,,,,,,,,,,,,,,,,,,
14, 4,Ｅホッコｰパフュｰム, 45,松若風, 1.0, 39,  -9, -22,11, 32.7, ⑥⑥,14, 7, テイエムギンガ,---,義英真, 2.7, 29, -15, -26,12, 57.1, ⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｎコンスタンシｰ, 32,松山弘, 1.6, 34,* -5, -32,12,125.2, ③④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,280円 複勝:08=370円 10=200円 12=220円 枠連:1,510円",,,,,,,,,,,,"単勝:780円 複勝:10=230円 04=170円 11=390円 枠連:1,350円",,,,,,,,,,,,単勝:130円 複勝:09=110円 05=140円 07=620円 枠連:320円,,,,,,,,,,,,"単勝:990円 複勝:06=380円 08=280円 04=700円 枠連:1,120円",,,,,,,,,,,
"馬連:4,180円 ワイド:08-10=1,340円 08-12=1,490円 10-12=640円",,,,,,,,,,,,"馬連:1,600円 ワイド:04-10=660円 10-11=1,680円 04-11=1,330円",,,,,,,,,,,,"馬連:340円 ワイド:05-09=190円 07-09=1,050円 05-07=2,520円",,,,,,,,,,,,"馬連:4,940円 ワイド:06-08=1,770円 04-06=3,600円 04-08=2,500円",,,,,,,,,,,
"馬単:7,680円 3連複:8,860円 3連単:59,000円",,,,,,,,,,,,"馬単:3,730円 3連複:7,090円 3連単:40,550円",,,,,,,,,,,,"馬単:400円 3連複:4,470円 3連単:8,520円",,,,,,,,,,,,"馬単:9,860円 3連複:39,930円 3連単:191,990円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂテイケイレｰヴ, 56,川田将,, 57, -15,*  0, 2,  5.3, ③⑤, 1, 6,Ｃセレブレイトソング, 65,和田竜,, 66,*  0,*  1, 5,  9.5,①①①, 1, 3,Ｆロスカボス, 43,デムｰ,, 56,   1,* -3, 1,  1.5, ⑨⑨, 1,15,Ｍカメット, 61,和田竜,, 75,*  3,  12,10, 32.2, ③③
 2, 6,Ａレンベルガｰ, 59,藤岡康, 0.3, 59, -18,*  5, 4,  9.6, ⑩⑩, 2,15,Ｉレパｰドクリフ, 60,川田将, 0.4, 63,* -1,  -2, 6, 11.4,②②②, 2, 6,Ｅブラックスピネル, 50,松若風, 0.2, 53,*  6, -18, 2,  4.1, ④②, 2, 3,Ｃグラッブユアコｰト, 69,福永祐, 0.0, 75,   2,  13, 2,  4.6, ④④
 3, 8,Ｇグッドプリン, 43,岩田康, 0.5, 49,*-12, -12, 8, 41.2, ②②, 3, 3,Ａスタｰペスカンタ, 68,福永祐, 0.6, 61,  -2,  -2, 1,  3.7,④③③, 3, 8,Ｂユウチェンジ, 60,浜中俊, 0.6, 50,   3, -18, 4,  9.5, ⑦⑦, 3, 9,Ａハニｰドント, 70,武豊  , 0.3, 73,   1,  12, 1,  3.8, ⑤⑤
 4, 4,Ｈマコトシャムロック, 41,ルメｰ, 0.5, 48,*-12, -12, 3,  8.0, ①①, 4, 4,Ｈキヨマサ, 61,幸英明, 0.7, 61,  -2,  -2, 4,  8.3,③④④, 4, 7,Ｈタガノヴィアｰレ, 38,和田竜, 0.6, 51,   5, -21, 6, 28.9, ⑤⑤, 4,12,Ｂオリエンタルダンス, 70,浜中俊, 0.4, 72,*  4,   8, 3,  4.9, ①①
 5, 5,Ｆクリノサンスｰシ, 46,義英真, 0.6, 49, -15,  -9, 9, 46.6, ⑦⑥, 5, 5,Ｆバンブｰキングペレ, 63,松若風, 0.8, 63,  -3,*  1, 8, 15.8,⑨⑨⑨, 5, 5,Ｄキンショｰユキヒメ, 52,川田将, 0.6, 51,*  6, -22, 7, 30.0, ②④, 5, 2,Ｄレガリテｰト, 68,高倉稜, 0.6, 71,  -7,* 17, 7, 19.0, ⑬⑬
 6,11,Ｃボンナヴァン, 56,浜中俊, 0.6, 49, -15,  -8, 1,  1.6, ⑥⑦, 6, 8,Ｋサトノダヴィンチ, 56,鮫島克, 0.8, 62,  -6,*  5, 3,  5.9,⑮⑮⑬, 6, 9,Ｉアグネスヒｰロｰ, 27,秋山真, 1.2, 43,*  7, -35, 8, 48.1, ⑧①, 6, 1,Ｈラフィネシチｰ, 65,ルメｰ, 0.7, 70,  -1,  10, 4,  5.6, ⑥⑥
 7, 7,Ｄジュンレンパ, 49,デムｰ, 0.6, 51, -17,* -1, 5, 12.4, ⑫⑪, 7,13,Ｇデンコウシュク, 61,小牧太, 1.2, 59,  -2,  -5, 7, 15.2,⑥⑥⑤, 7, 2,Ｃオｰヴィレｰル, 53,福永祐, 1.6, 40,   5, -34, 3,  8.1, ③⑥, 7,11,Ｇキネオキャノン, 66,川須栄, 0.9, 68,*  3,   4, 5, 12.8, ②②
 8, 2,Ｅトウケイイダテン, 48,鮫島克, 0.8, 46,*-13, -13, 6, 20.0, ④③, 8, 1,Ｌエアシｰラン, 53,松田大, 1.4, 56,  -2,  -8,11, 29.9,⑤⑤⑥, 8, 4,Ａメイショウゴテツ, 63,幸英明, 1.9, 40,   3, -35, 5, 15.3, ⑥⑧, 8, 5,Ｏブロンズテｰラｰ, 57,太宰啓, 1.0, 67,  -4,  10,15,102.6, ⑪⑪
 9,10,Ｉテゾｰロミノル, 40,幸英明, 0.9, 49, -17,  -7,10, 48.9, ⑨⑨, 9, 9,Ｄガンクラブチェック, 63,岩田康, 1.5, 56,  -4,  -3, 9, 18.5,⑭⑩⑩, 9, 1,Ｇグロｰスハック, 39,岩崎翼, 3.4, 28,   5, -61, 9,226.3, ①③, 9, 6,Ｅキクノブレイン, 68,藤岡康, 1.0, 66,  -7,  12,12, 43.0, ⑫⑫
10, 3,Ｊロｰドランウェイ, 32,福永祐, 1.2, 45, -20,  -6, 7, 30.3, ⑪⑫,10,14,Ｅアスクアミｰゴ, 63,義英真, 1.6, 56,  -4,  -4, 2,  4.5,⑬⑫⑫,,,,,,,,,,,,,10,13,Ｆドリｰムカイザｰ, 67,中井裕, 1.1, 65,  -5,  10, 6, 17.5, ⑩⑩
11, 1,Ｋシゲルホオジロザメ, 30,酒井学, 1.8, 34, -15, -26,11,103.4, ⑤④,11, 7,Ｂシビックハｰト, 67,高倉稜, 2.0, 55,  -2, -11,10, 25.8,⑦⑦⑦,,,,,,,,,,,,,11,16,Ｉサンビショップ, 64,川島信, 1.2, 64, -11,* 15, 8, 22.5, ⑯⑯
12,12,Ｌコウエイドルバコ, 23,松山弘, 2.7, 26, -16, -35,12,234.8, ⑧⑧,12,12,Ｍイットガｰル, 48,菱田裕, 2.2, 51,  -4, -12,13,175.8,⑧⑧⑧,,,,,,,,,,,,,12, 8,Ｊミスズモンブラン, 62,酒井学, 1.5, 63,  -2,   4,14, 71.3, ⑧⑧
,,,,,,,,,,,,13, 2,Ｎセレｰノ, 45,北村友, 2.2, 51,  -6,  -7,14,272.1,⑫⑬⑭,,,,,,,,,,,,,13,14,Ｋタガノディナｰ, 62,鮫島克, 1.6, 61,  -8,   9, 9, 28.8, ⑭⑭
,,,,,,,,,,,,14,10,Ｏトウカイオリエント, 37,柴田未, 2.7, 49,  -6, -11,15,281.2,⑩⑭⑮,,,,,,,,,,,,,14,10,Ｌムｰンフライト, 61,義英真, 1.8, 59,  -3,   2,13, 47.1, ⑨⑨
,,,,,,,,,,,,15,16,Ｊショウナンカウィｰ, 59,加藤祥, 3.2, 44,  -4, -18,12, 82.3,⑪⑪⑪,,,,,,,,,,,,,15, 4,Ｐタガノアルデ, 56,岩田康, 2.2, 55, -11,   6,11, 41.5, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｎタマモライト, 57,池添謙, 2.5, 55,  -1,  -5,16,163.4, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:65 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,
"単勝:530円 複勝:09=270円 06=540円 08=1,800円 枠連:2,260円",,,,,,,,,,,,"単勝:950円 複勝:06=260円 15=320円 03=160円 枠連:2,990円",,,,,,,,,,,,単勝:150円 複勝:03=110円 06=120円 08=150円 枠連:240円,,,,,,,,,,,,"単勝:3,220円 複勝:15=730円 03=170円 09=160円 枠連:2,760円",,,,,,,,,,,
"馬連:2,520円 ワイド:06-09=580円 08-09=2,340円 06-08=4,080円",,,,,,,,,,,,"馬連:4,270円 ワイド:06-15=1,580円 03-06=610円 03-15=900円",,,,,,,,,,,,馬連:270円 ワイド:03-06=150円 03-08=270円 06-08=380円,,,,,,,,,,,,"馬連:9,860円 ワイド:03-15=3,020円 09-15=2,670円 03-09=390円",,,,,,,,,,,
