15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:45,370円 3連複:598,850円 3連単:4,570,040円",,,,,,,,,,,,"馬単:3,220円 3連複:15,540円 3連単:37,320円",,,,,,,,,,,,"馬単:25,170円 3連複:8,930円 3連単:105,010円",,,,,,,,,,,,"馬単:2,530円 3連複:2,400円 3連単:11,080円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝3900m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ2000m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｽﾌﾟﾘﾝｸﾞｼﾞｬﾝﾌﾟ,,,,,,,,,,,,仁川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆタイキオｰルブルｰ, 59,岩崎翼,, 73,  -1,* 13, 3,  8.4,②③④, 1, 4,Ｄナムラアン, 62,シュタ,, 70,   1,*  1, 3,  5.2, ⑥⑤, 1,12, サンレイデュｰク,,難波剛,,,,, 4,  7.9,⑫⑨⑦, 1, 2,Ａマルカプレジオ, 95,福永祐,, 91,   7,* 24, 1,  1.8,⑥⑥⑥
 2,11,Ａブレｰヴマン, 70,国分優, 0.0, 72,  -1,* 13, 2,  3.2,④④③, 2, 8,Ａウェスタｰルンド, 68,浜中俊, 0.3, 67,   0,*  1, 1,  2.7, ⑩⑩, 2, 3, サンライズロイヤル,,植野貴,262.8,,,, 6, 12.7,⑦⑤④, 2, 9,Ｂドコフクカゼ, 94,竹之下, 0.0, 90,   8,* 22, 2,  4.4,④④③
 3, 9,Ｃゴｰントレット, 65,武豊  , 0.7, 64,*  0,   5, 1,  1.9,①①①, 3, 3,Ｅワイドグロｰリｰ, 57,池添謙, 0.9, 59,   0,  -9, 7, 29.0, ⑨⑧, 3, 8, ソンブレロ,,高田潤,263.0,,,, 5,  8.6,⑧⑦②, 3, 4,Ｃマイネルバイカ, 91,和田竜, 0.3, 89,*  9,  17, 3,  6.4,①①①
 4, 2,Ｂカペナ, 70,小牧太, 1.4, 62,  -4,   5, 4, 10.0,⑥⑧⑧, 4, 1,Ｋレパｰドクリフ, 45,福永祐, 0.9, 59,*  4, -17, 2,  4.8, ③③, 4,11, アップトゥデイト,,林満明,263.4,,,, 1,  3.3,⑤⑥⑥, 4, 1,Ｅヴァンヌｰヴォｰ, 88,池添謙, 0.7, 86,   6,  20, 7, 56.6,⑦⑦⑦
 5, 6,Ｋワｰルドカップ, 41,佐久間, 1.6, 61,  -4,   5,10,264.5,⑨⑨⑩, 5, 2,Ｌトウカイトレジャｰ, 42,藤岡康, 1.0, 60,  -2,  -7, 6, 16.0, ⑪⑫, 5, 9, ダノンゴｰルド,,五十嵐,264.0,,,, 3,  6.5,②①①, 5, 5,Ｆメイショウイチオシ, 88,武幸四, 0.9, 84,*  9,  12, 4,  6.5,②②②
 6, 1,Ｄタイガｰボス, 65,幸英明, 1.7, 61,  -3,   3, 6, 16.0,⑪⑪⑥, 6, 5,Ｂウインベントゥｰラ, 66,和田竜, 1.1, 58,*  4, -19, 5,  7.9, ④④, 6, 1, メイショウヨウドウ,,西谷誠,264.1,,,,10, 31.2,④④③, 6, 3,Ｊタガノゴｰルド, 81,シュタ, 1.0, 86,   5,  20, 5,  9.8,⑨⑨⑧
