15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｎカウンティス, 43,北村宏, 0.6, 55,   1,* -1, 8, 18.5, ⑰⑮, 7, 2, マキシマムブレイク,---,吉田豊, 0.3, 51, -33,* 11, 5, 14.0,⑥⑥⑧, 7,12,Ｇマンインザムｰン, 73,北村宏, 0.6, 72,* 12,  -6, 5,  9.4,④④④, 7, 4,Ｌプラントハンタｰ, 78,柴山雄, 1.0, 78,   9,   5,14,166.4, ⑯⑮
 8, 4,Ｆライトリｰチュｰン, 58,蛯名正, 0.8, 56,* 11, -18, 3,  6.0, ③③, 8, 4, ヒロインボｰイ,---,吉田隼, 0.6, 43, -32,   4, 7, 32.3,⑦⑧⑥, 8,13,Ｃトｰセンナチュラル, 75,横山典, 0.7, 71,   6,   3, 9, 14.9,⑬⑫⑬, 8,16,Ｅメイショウスミトモ, 83,古川吉, 1.0, 78,  11,   2, 5, 11.0, ⑩⑭
 9,15,Ｂニシノケイト, 63,勝浦正, 1.0, 50,   3, -10, 2,  5.9, ⑫⑭, 9, 1, ピアレッジ,---,勝浦正, 1.9, 28, -35,  -9, 9, 90.5,⑨⑨⑨, 9, 1,Ｑシャドウスペル, 55,吉田豊, 0.7, 71,   6,   2,15,144.0,⑫⑬⑫, 9, 6,Ｊミヤジマッキｰ, 80,吉田隼, 1.3, 76,  11,  -1,11, 76.5, ⑫⑪
10, 3,Ｈキホンハシコ, 55,黛弘人, 1.2, 50,   8, -21,10, 23.3, ⑤⑤,,,,,,,,,,,,,10, 7,Ｄヤギリヴィｰナス, 75,松岡正, 0.8, 70,* 12,  -9,11, 50.6,⑥③②,10, 5,Ａロｰドガルｰダ, 86,ベリｰ, 1.4, 74,  12,  -5, 9, 48.0, ⑦⑤
11,12,Ｌエレナバレｰ, 49,吉田豊, 1.4, 47,   3, -16,14,165.3, ⑭⑬,,,,,,,,,,,,,11,10,Ｌラムレイ, 66,杉原誠, 0.9, 69,   5,   3,17,223.0,⑮⑮⑭,11, 8,Ｋゲマインシャフト, 80,北村宏, 1.6, 73,  13,  -8,12,106.4, ⑧⑥
12, 5,Ｇアｰマンディ, 56,三浦皇, 1.5, 45,   3, -17, 6, 12.5, ⑬⑫,,,,,,,,,,,,,12, 5,Ｋシゲルシチフクジン, 68,吉田隼, 1.0, 68,   5,   1,10, 38.0,⑭⑭⑮,12,14,Ｎティアップレｰヴ, 77,黛弘人, 2.0, 70,* 15, -15,16,365.2, ②②
13,17,Ａシャイニングアロｰ, 64,木幡初, 1.7, 42,   0, -16, 7, 16.7, ⑮⑰,,,,,,,,,,,,,13,18,Ｊソｰルインパクト, 70,ムｰア, 1.2, 66,   5,  -2, 3,  5.5,⑱⑰⑯,13, 3,Ｆノウレッジ, 83,蛯名正, 2.5, 67,* 16, -20, 8, 20.0, ①①
14,10,Ｐアイドル, 24,伴啓太, 1.7, 43,  -3, -10,18,568.1, ⑱⑱,,,,,,,,,,,,,14, 9,Ｐニシノカブケ, 57,江田照, 1.3, 63,   9, -12,13,122.9,③⑥⑦,14,15,Ｈマノワｰル, 81,大野拓, 3.3, 62,  13, -21, 7, 18.4, ④⑦
15,14,Ｑフラヴィニｰ, 24,木幡初, 2.0, 39,   0, -20,15,231.6, ⑯⑯,,,,,,,,,,,,,15,14,Ｏファイナルブロｰ, 60,宮崎北, 1.8, 62,   3,  -4,14,142.3,⑰⑱⑱,15,13,Ｏカｰバ, 72,丸山元, 4.2, 54,   8, -23,15,334.3, ⑮⑯
16, 2,Ｍヒマラヤキンラン, 47,井上敏, 2.7, 34,* 14, -49,13, 56.7, ①①,,,,,,,,,,,,,16,16,Ｍセフィｰロ, 62,大野拓, 2.1, 57,   3, -12,18,229.6,⑯⑯⑰,16,12,Ｐメドウヒルズ, 66,田中勝, 5.2, 48,  11, -35,13,108.2, ⑤⑬
