15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:4,630円 3連複:2,910円 3連単:17,050円",,,,,,,,,,,,"馬単:2,720円 3連複:3,040円 3連単:13,990円",,,,,,,,,,,,"馬単:3,090円 3連複:4,280円 3連単:24,060円",,,,,,,,,,,,"馬単:2,090円 3連複:8,280円 3連単:28,730円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中日新聞杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆタピエス, 56,鮫島克,, 61,  -5,*  3, 4,  6.7, ⑥⑥, 1,16,Ｄラウレアブルｰム, 60,松山弘,, 72,* 18,* -5, 1,  3.4,⑤⑤③, 1, 4,Ａゴｰルドブラザｰ, 76,藤岡佑,, 68,*  2,*  8, 7, 13.5, ④②, 1, 1,Ｃディサイファ, 89,四位洋,, 91,  12,* 13, 5,  8.0,⑦⑩⑦
 2, 5,Ｇデルマヨタロウ, 54,津村明, 0.0, 61,* -1,   0,12, 60.0, ①①, 2,10,Ｈチャパラ, 54,蛯名正, 0.1, 71,  16,*  0, 9, 19.9,⑪⑨⑧, 2, 2,Ｂラヴァズアゲイン, 74,小崎綾, 0.4, 67,   0,   7, 1,  3.3, ⑦⑤, 2,10,Ｄデウスウルト, 88,川田将, 0.2, 89,* 13,   7, 2,  4.8,⑥⑥④
 3, 6,Ｂクリノリｰソクツモ, 62,藤岡佑, 0.2, 58,* -3,   0, 2,  4.5, ②③, 3,13,Ｊクリノイｰソｰ, 51,鮫島良, 1.1, 61,  15,*-11,11, 41.6,⑧⑪⑩, 3,16,Ｅホスト, 71,吉田隼, 0.5, 64,*  3,   3,10, 22.0, ③④, 3, 4,Ｐマイネルミラノ, 77,柴田大, 0.3, 87,* 16,  -1, 6, 13.3,①①①
 4, 7,Ｈダシヌケ, 53,小崎綾, 0.3, 59,  -9,*  4,11, 40.4, ⑩⑧, 4, 2,Ｑマｰスキングズ, 38,高倉稜, 1.4, 61,  18, -20,13, 70.4,⑥⑥⑤, 4, 5,Ｄフィンデルムンド, 71,蛯名正, 0.5, 67,  -2,*  9, 2,  3.7, ⑫⑧, 4, 7,Ｂパッションダンス, 91,松田大, 0.5, 85,* 15,   0, 7, 16.9,②②③
 5, 1,Ａカシノランド, 62,中谷雄, 0.3, 59,  -5,   0, 1,  4.2, ⑤④, 5,15,Ｅカリテスグレｰス, 58,杉原誠, 1.4, 59,  17, -21, 6, 11.9,⑦⑦⑦, 5,14,Ｉポップアップハｰト, 70,松若風, 0.8, 64,  -4,*  9, 3, 10.2, ⑮⑯, 5,14,Ａミトラ, 92,蛯名正, 0.5, 86,  12,   5, 3,  6.6,⑧⑦⑧
 6, 3,Ｃナムラヒュｰマン, 61,吉田隼, 0.4, 57,  -7,   1, 6,  8.8, ⑦⑦, 6, 3,Ｏパンテｰラネロ, 43,菱田裕, 1.6, 57,  17, -26,10, 23.7,③③④, 6, 9,Ｌアンシャックルド, 62,松田大, 0.8, 63,   1,   3, 9, 19.1, ⑥⑦, 6, 6,Ｌキングズオブザサン, 81,吉田隼, 0.6, 82,* 13,   0, 9, 19.2,④③②
 7, 8,Ｄカツカモ, 60,岩田康, 0.5, 57, -14,*  7, 5,  7.0, ⑭⑫, 7, 8,Ｃミスズダンディｰ, 62,北村友, 1.6, 56,  12,*-11, 4,  7.1,⑯⑮⑭, 7,12,Ｎウォｰスピリッツ, 57,西田雄, 0.8, 65,   1,   4,12, 39.7, ⑧⑩, 7, 5,Ｅダノンジェラｰト, 88,横山典, 0.8, 82,  11,   5, 1,  4.6,⑪⑬⑨
 8,11,Ｅトウショウデュエル, 60,勝浦正, 0.7, 55,  -8,  -1, 7, 16.0, ⑨⑨, 8,12,Ｇコスモレプリカ, 57,黛弘人, 1.9, 55,  13, -19,15,128.9,⑫⑫⑪, 8, 3,Ｋレッドジャイヴ, 65,中井裕, 0.9, 64,  -5,*  9,13, 49.9, ⑯⑬, 8, 2,Ｈサングレアル, 83,岩田康, 0.9, 82,  10,   6, 4,  7.3,⑩⑫⑩
 9, 2,Ｋラブテンダｰ, 45,柴田大, 0.8, 55,  -4,  -5,13, 61.7, ③②, 9,11,Ｒトｰセンゲイル, 26,川田将, 2.0, 55,  12, -15, 2,  4.8,⑭⑭⑮, 9, 1,Ｆマグナムボｰイ, 71,伴啓太, 0.9, 62,*  4,  -3, 8, 17.5, ①①, 9,13,Ｏヒットザタｰゲット, 78,北村友, 1.1, 81,   7,* 10,10, 21.6,⑯⑮⑯
10,10,Ｊヌｰベルバｰグパリ, 48,井上敏, 0.9, 54,  -8,  -3, 8, 26.5, ⑧⑩,10,18,Ａマイネルリコルド, 66,柴田大, 2.0, 54,* 21, -40, 3,  7.0,①①①,10, 8,Ｊコズミックショア, 68,松山弘, 0.9, 64,  -1,   4, 4, 10.6, ⑩⑪,10,17,Ｎアンコイルド, 80,高倉稜, 1.1, 82,   7,   8,14, 76.5,⑬⑰⑮
11, 4,Ｌスズカレグルス, 45,西田雄, 1.0, 54, -10,   0,16,230.5, ⑪⑪,11,17,Ｉテキスタイルアｰト, 51,デムｰ, 2.0, 54,  16, -25, 5,  9.6,⑨⑧⑨,11,15,Ｍブラックシェンロン, 62,黛弘人, 1.2, 62,  -2,   3,14,108.2, ⑭⑫,11, 9,Ｇネオブラックダイヤ, 83,松山弘, 1.1, 83,   5,* 12,13, 61.1,⑱⑱⑱
12,14,Ｉサカダッシュ, 53,菱田裕, 2.1, 43,  -4, -16, 3,  6.5, ④⑤,12,14,Ｋピアノコンチェルト, 50,柴田未, 2.5, 52,  14, -25,16,230.0,⑬⑬⑬,12,10,Ｃスズカチャンプ, 73,国分恭, 1.3, 60,  -2,   3, 6, 12.6, ⑬⑭,12, 8,Ｋフレｰジャパン, 81,勝浦正, 1.1, 81,   8,   7,15,111.9,⑰⑯⑫
13,12,Ｍヴァルディスｰザ, 38,北村友, 2.6, 37, -13, -13, 9, 33.7, ⑫⑬,13, 5,Ｂトミケンルｰシッド, 64,勝浦正, 2.9, 48,  12, -28, 8, 19.8,⑱⑯⑯,13, 7,Ｇディアポジション, 70,勝浦正, 1.5, 58,  -1,  -1, 5, 11.2, ⑪⑮,13,15,Ｆサンレイレｰザｰ, 87,バルジ, 1.2, 77,* 13,  -7,12, 27.8,⑤⑤⑥
14,15, コｰリンスピカ,---,松山弘, 2.9, 36, -20,  -9,10, 34.3, ⑯⑯,14, 7,Ｍアメリカンマッスル, 49,城戸義, 3.3, 45,  17, -48,12, 56.7,④④⑥,14, 6,Ｈモズワトウナイ, 70,菱田裕, 1.7, 57,  -1,  -2,11, 38.9, ⑨⑨,14,12,Ｑメイショウカンパク, 77,川須栄, 1.8, 73,   8,  -3,18,443.1,⑭⑭⑬
15, 9,Ｎジャｰマテｰラ, 37,松若風, 3.0, 35, -20,  -9,15,100.0, ⑮⑮,15, 4,Ｌメイスンセンタｰ, 49,井上敏, 3.4, 44,   8, -24,18,292.3,⑮⑰⑰,15,13,Ｏアフリカンブルｰ, 55,柴田大, 2.1, 54,   1,  -8,16,155.4, ⑤⑥,15,11,Ｊゲシュタルト, 83,松若風, 3.1, 60,* 13, -34,16,251.5,③④⑤
16,16, アスタｰプロスパｰ,---,鮫島良, 3.6, 31, -12, -20,14, 92.4, ⑬⑭,16, 9,Ｆアゲハ, 57,バルジ, 3.5, 45,  14, -41, 7, 17.9,⑩⑩⑫,16,11,Ｐアスタｰカウンティ, 48,北村友, 2.5, 49,*  3, -14,15,124.6, ②③,16,18,Ｉアドマイヤフライト, 83,藤岡佑, 3.2, 59,   8, -24, 8, 18.0,⑫⑪⑭
,,,,,,,,,,,,17, 1,Ｎワンダｰウインディ, 46,国分恭, 3.7, 43,   8, -28,17,274.7,⑰⑱⑱,,,,,,,,,,,,,17,16,Ｒコスモオオゾラ, 75,柴田未, 3.3, 59,   9, -27,17,286.7,⑨⑧⑪
,,,,,,,,,,,,18, 6,Ｐジェイポップ, 40,藤岡佑, 5.5, 35,* 19, -84,14, 91.6,②②②,,,,,,,,,,,,,18, 3,Ｍユｰルシンギング, 80,デムｰ, 6.1, 41,   7, -61,11, 21.9,⑮⑨⑰
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:3),,,,,,,,,,,
"単勝:670円 複勝:13=210円 05=1,840円 06=160円 枠連:1,020円",,,,,,,,,,,,単勝:340円 複勝:16=140円 10=620円 13=760円 枠連:910円,,,,,,,,,,,,"単勝:1,350円 複勝:04=520円 02=160円 16=900円 枠連:1,750円",,,,,,,,,,,,単勝:800円 複勝:01=250円 10=180円 04=440円 枠連:960円,,,,,,,,,,,
"馬連:20,600円 ワイド:05-13=5,710円 06-13=730円 05-06=4,460円",,,,,,,,,,,,"馬連:2,760円 ワイド:10-16=1,010円 13-16=2,540円 10-13=10,830円",,,,,,,,,,,,"馬連:2,770円 ワイド:02-04=1,230円 04-16=5,010円 02-16=2,210円",,,,,,,,,,,,"馬連:1,810円 ワイド:01-10=720円 01-04=1,760円 04-10=1,490円",,,,,,,,,,,
