15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｱﾙｾﾞﾝﾁﾝ共和国杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄシベリウス, 52,内田博,, 54,* -1,*-10, 1,  3.7, ③③, 1,10, キラｰジョｰ,---,藤岡康,, 71,*-23,* 22, 7, 23.1,①①①, 1, 6,Ｉサンソヴｰル, 71,内田博,, 82,   3,* 15, 7, 19.2,③③③, 1,15,Ａゴｰルドアクタｰ, 97,吉田隼,, 96,*  3,* 31, 1,  2.1,④③③
 2, 6,Ｅコスモヒドラ, 50,松岡正, 0.1, 54,  -5,* -5, 6,  9.9, ⑫⑫, 2, 7, コラｰジェン,---,北村宏, 0.6, 68, -28,* 24, 9, 36.0,⑨⑨⑨, 2, 5,Ａアｰルブリュット, 80,デムｰ, 0.3, 77,   0,* 15, 1,  2.0,⑦⑦⑦, 2,14,Ｋメイショウカドマツ, 82,蛯名正, 0.0, 97,*  5,* 29, 4, 11.0,②②②
 3, 3,Ｇリュイｰルスタｰ, 45,柴田大, 0.7, 51,  -5,*-10, 4,  5.5, ⑪⑪, 3, 2, レオナルド,---,川田将, 0.9, 60, -25,  14, 1,  2.4,③③④, 3, 9,Ｇホワイトウインド, 72,柴田大, 0.4, 76,*  4,   6, 9, 29.3,②②②, 3,18,Ｍレｰヴミストラル, 82,川田将, 0.4, 98,   1,* 35, 3,  8.2,⑫⑫⑭
 4, 7,Ｍパントコｰト, 35,柴田善, 0.7, 48,  -3, -13, 8, 25.1, ⑥⑥, 4,16, ウインドオブホｰプ,---,蛯名正, 0.9, 61, -26,  15, 5, 14.6,⑤④⑥, 4, 2,Ｈレオフラッパｰ, 71,蛯名正, 0.6, 76,   0,  11, 8, 20.4,⑥⑥⑥, 4, 9,Ｅサトノノブレス, 86,和田竜, 0.6, 93,   2,  26, 7, 24.7,⑥⑥⑥
 5, 8,Ｃノｰブルポセイドン, 52,野中悠, 1.0, 46,  -4, -15, 5,  9.0, ⑦⑦, 5,13, キｰクラッカｰ,---,吉田豊, 1.2, 54,*-23,   5,10, 47.7,②②②, 5, 1,Ｅダイワミランダ, 74,北村宏, 0.6, 74,   1,   8, 2,  5.1,④④④, 5, 1,Ｈスｰパｰムｰン, 86,内田博, 0.7, 89,*  3,  22, 8, 26.6,③④④
 6,12,Ｈタマモワッショイ, 43,吉田豊, 1.1, 45,  -6, -12, 9, 34.2, ⑭⑬, 6, 3, ケルベロス,---,横山典, 1.3, 57, -27,  12, 2,  3.9,⑦⑤⑦, 6, 4,Ｃハッピｰベリンダ, 75,横山典, 0.8, 73,  -1,  11,10, 30.0,⑩⑧⑧, 6, 3,Ｃマイネルフロスト, 87,松岡正, 0.7, 92,*  3,  24,10, 29.0,⑤⑤⑤
 7, 5,Ｎグットドディユ, 28,高倉稜, 1.3, 46,  -3, -20,12,105.4, ④④, 7, 4, ゼｰヴィント,---,柴山雄, 1.4, 55, -27,  11, 4,  7.9,⑥⑥⑧, 7, 8,Ｊティンバレス, 71,川田将, 0.9, 67,*  4,  -3, 5, 12.5,①①①, 7, 8,Ｊプロモントｰリオ, 84,デムｰ, 0.7, 90,   2,  26, 2,  5.9,⑩⑧⑧
 8,11,Ｂトｰアシラヌイ, 55,武士沢, 1.6, 42,* -1, -25, 7, 24.5, ①①, 8, 6, マイネルマルキ,---,柴田大, 1.7, 49,*-24,   1,13, 99.4,⑬⑦③, 8, 3,Ｄアｰスザスリｰ, 74,吉田隼, 1.1, 68,  -1,   6, 6, 17.2,⑧⑨⑨, 8,12,Ｌラブイズブｰシェ, 82,古川吉, 0.9, 90,   3,  25,12, 47.7,⑪⑪⑩
