15年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
10, 2, メルシｰトウショウ,---,川島信, 2.4, 42, -15,  -8,10,123.6, ⑧⑧,10, 2,Ｅカフジムｰン, 52,高倉稜, 2.4, 47,   2, -31,11,104.0,⑫⑨⑩,,,,,,,,,,,,,10, 4,Ｇモンラッシェ, 76,小牧太, 1.3, 71,   6,   4, 5,  7.0, ⑧⑨
,,,,,,,,,,,,11, 9,Ｐクラウドサｰファｰ, 10,和田竜, 2.5, 46,   0, -30,13,125.0,⑮⑬⑬,,,,,,,,,,,,,11, 5,Ｈアサケゴマ, 76,義英真, 1.3, 70,   6,   4, 7, 15.7, ⑨⑩
,,,,,,,,,,,,12,14,Ｇワイルドモンスタｰ, 51,浜中俊, 3.2, 38,  -1, -36, 9, 59.7,⑯⑯⑮,,,,,,,,,,,,,12,10,Ｍフィオリア, 74,幸英明, 1.5, 69,   1,   7,16,134.9, ⑬⑬
,,,,,,,,,,,,13, 3,Ｏセイカコムルヴァン, 33,岩崎翼, 3.4, 38,   2, -47,15,300.1,⑦⑦⑦,,,,,,,,,,,,,13,11,Ｅトップオブザヘヴン, 78,藤岡佑, 1.5, 68,  -2,  11,13, 93.6, ⑮⑮
,,,,,,,,,,,,14,12,Ｄメイショウクオン, 53,義英真, 3.7, 36,   0, -48, 7, 25.3,⑨⑭⑭,,,,,,,,,,,,,14, 2,Ｏウインプロスパｰ, 69,松山弘, 1.6, 68,   7,  -2,14,113.8, ④④
,,,,,,,,,,,,15,15,Ｎデルマフウライマツ, 37,松山弘, 3.7, 39,   3, -55,16,329.5,⑥⑥⑨,,,,,,,,,,,,,15, 7,Ｊラヴァｰズポイント, 76,酒井学, 1.6, 68,   6,   1, 6, 12.5, ⑦⑦
,,,,,,,,,,,,16,13,Ｍアメリカンゴｰルド, 40,藤岡康, 4.1, 35,  -1, -52,12,121.8,⑬⑮⑯,,,,,,,,,,,,,16,15,Ｐストリｰトハンタｰ, 68,川須栄, 2.4, 62,   8,  -9,15,123.4, ③⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-3),,,,,,,,,,,
"単勝:400円 複勝:07=170円 03=640円 05=160円 枠連:5,910円",,,,,,,,,,,,単勝:560円 複勝:16=180円 05=150円 07=160円 枠連:780円,,,,,,,,,,,,単勝:650円 複勝:03=350円 01=240円 枠連:0円,,,,,,,,,,,,"単勝:670円 複勝:09=220円 01=220円 12=870円 枠連:1,920円",,,,,,,,,,,
"馬連:6,690円 ワイド:03-07=1,780円 05-07=300円 03-05=1,310円",,,,,,,,,,,,馬連:890円 ワイド:05-16=420円 07-16=570円 05-07=460円,,,,,,,,,,,,"馬連:2,120円 ワイド:01-03=620円 03-07=650円 01-07=420円",,,,,,,,,,,,"馬連:1,890円 ワイド:01-09=930円 09-12=3,580円 01-12=4,190円",,,,,,,,,,,
