15年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2770m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
 9, 6,Ｈエｰスナンバｰ, 52,吉田隼, 0.9, 46,  -8,   4, 4,  7.8, ⑬⑬, 9, 7, アｰサｰバロｰズ,,林満明,185.2,,,, 9, 34.6,⑫⑪⑩, 9, 6,Ｂマイネルプロンプト, 61,柴田大, 1.0, 55,  -8,*  2, 1,  3.5,⑮⑬⑬, 9,14,Ｊダイワカリエンテ, 61,木幡初, 0.7, 61,*  0,  -3,14, 76.9, ②②
10,16,Ｊエンドオブデイズ, 49,武幸四, 1.0, 51,  -1,  -2, 9, 28.5, ⑩⑪,10, 3, シゲルキシュウ,,草野太,187.1,,,,11, 83.1,⑦⑥⑧,10, 7,Ｇハｰベストソング, 53,丹内祐, 1.1, 51,   1, -18, 9, 48.6,③④④,10,11,Ｆユキノラムセス, 65,西田雄, 0.8, 59,  -6,   2, 5, 12.3, ⑧⑧
11,14,Ｍデルマチハヤ, 42,藤懸貴, 1.5, 46,   6, -14,14,336.4, ④⑤,11,13, プランスデトワｰル,,五十嵐,190.2,,,, 3,  8.1,⑩⑫⑫,11,15,Ｆマウントミッチェル, 53,柴田善, 1.2, 52,  -6,  -5, 3,  5.7,⑬⑫⑩,11, 5,Ｌサンライズテナンゴ, 56,藤懸貴, 0.9, 58,  -8,   2,12, 42.3, ⑩⑩
12, 1,Ｆデルタタイム, 53,川須栄, 1.5, 47,   5, -13,10, 41.3, ⑤④,12, 4, ジリオン,,北沢伸,195.8,,,, 8, 22.3,⑪⑬⑬,12,11,Ｌマイネルラヴィｰン, 41,黛弘人, 1.2, 52,  -6,  -5,14,112.2,⑪⑪⑪,12, 3,Ｐタガノアップ, 51,武幸四, 1.0, 59, -12,   5,13, 51.7, ⑪⑪
13, 7,Ｌフクノアングレｰム, 43,井上敏, 1.6, 40, -20,*  8,12,152.1, ⑮⑮,,,,,,,,,,,,,13,12,Ｋマサノミストレス, 41,木幡初, 1.3, 51,  -4,  -9,12, 82.7,⑧⑨⑫,13,16,Ｏサウスノｰブル, 53,津村明, 1.2, 56, -21,  11,15,176.5, ⑭⑭
14, 3,Ｎアゲｰト, 40,加藤祥, 2.0, 38,  -3, -10,15,349.9, ⑨⑩,,,,,,,,,,,,,14,14, サクラデスティｰノ,---,横山典, 1.5, 47, -10,  -4, 8, 26.4,⑫⑭⑭,14, 6,Ｈヨッテウタッテ, 63,松若風, 1.2, 55, -12,   2, 6, 15.5, ⑫⑫
15, 5,Ｏアパラパチア, 26,野中悠, 2.6, 32, -15,  -5,16,359.9, ⑭⑭,,,,,,,,,,,,,15, 2, メモリｰユニオン,---,荻野琢, 1.9, 44, -11,  -7,11, 61.0,⑭⑮⑮,15, 8,Ｉアルマダクロス, 62,川須栄, 1.5, 55, -30,* 16,11, 33.9, ⑯⑯
16,11, ティエスキングダム,---,西田雄,15.3,15.3---, -88, -54,13,188.0, ⑯⑯,,,,,,,,,,,,,16, 5,Ｍマザｰアｰス,  7,西村太, 4.7, 19, -17, -31,16,151.6,⑯⑯⑯,16,10,Ｋバシニアティヴ, 58,川島信, 1.7, 51, -25,   9,16,190.2, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,
"単勝:5,150円 複勝:15=1,010円 13=170円 09=320円 枠連:3,240円",,,,,,,,,,,,"単勝:1,000円 複勝:11=190円 05=150円 02=110円 枠連:3,320円",,,,,,,,,,,,"単勝:13,670円 複勝:01=3,270円 04=360円 09=330円 枠連:5,510円",,,,,,,,,,,,"単勝:490円 複勝:04=200円 07=480円 13=180円 枠連:3,080円",,,,,,,,,,,
"馬連:8,490円 ワイド:13-15=2,440円 09-15=4,740円 09-13=690円",,,,,,,,,,,,"馬連:2,840円 ワイド:05-11=730円 02-11=350円 02-05=190円",,,,,,,,,,,,"馬連:45,520円 ワイド:01-04=15,310円 01-09=14,800円 04-09=2,350円",,,,,,,,,,,,"馬連:5,920円 ワイド:04-07=2,090円 04-13=770円 07-13=1,900円",,,,,,,,,,,
"馬単:22,030円 3連複:21,350円 3連単:184,060円",,,,,,,,,,,,"馬単:6,180円 3連複:1,210円 3連単:15,590円",,,,,,,,,,,,"馬単:126,330円 3連複:113,340円 3連単:1,234,160円",,,,,,,,,,,,"馬単:9,540円 3連複:11,000円 3連単:64,710円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝3380m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島牝馬ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅグロｰリアスレイ, 54,松田大,, 52,  -6,*-10, 5, 10.0,⑧⑨⑧, 1, 9, ラッキｰストリｰク,,石神深,,,,,10, 41.2,①①①, 1,10,Ｈエルノルテ, 67,藤岡康,, 68,   2,   3, 4,  8.1, ⑧⑧, 1, 6,Ｃスイｰトサルサ, 85,田中勝,, 83,  10,   7, 3,  7.4,⑩⑩⑥
 2,16,Ｂレッドベリンダ, 56,柴田善, 0.0, 51,  -4, -13, 2,  4.3,⑩⑧⑨, 2,10, シゲルシモウサ,,草野太,222.0,,,, 6, 17.5,②②②, 2, 2,Ｃネオヴィクトリア, 70,川島信, 0.0, 68,   2,   3, 6, 11.4, ⑦⑦, 2,12,Ｂリラヴァティ, 86,丸山元, 0.0, 80,* 13,   2, 9, 15.2,②②②
 3, 1,Ｇウインティアラ, 53,黛弘人, 0.1, 51,* -1, -20, 9, 27.5,①①①, 3,14, カシマシンセイ,,山本康,222.2,,,, 2,  3.8,④⑤④, 3, 5,Ｋムｰンフライト, 60,川須栄, 0.0, 67,*  8,  -4,11, 28.9, ②②, 3, 1,Ｅメイショウスザンナ, 81,松田大, 0.1, 80,  10,   6,13, 69.9,⑧⑧⑧
 4,13,Ｐサンディアタッチ, 27,西田雄, 0.1, 50,  -6,*-12,15,251.5,⑭⑪⑩, 4, 2, カウウェラ,,浜野谷,222.5,,,, 3,  5.9,⑥④③, 4, 7,Ｇルネッタアスｰル, 67,西田雄, 0.1, 66,  -1,   4,10, 23.8, ⑨⑨, 4,14,Ｍマイネグレヴィル, 75,柴田大, 0.1, 80,* 13,   2,12, 23.8,⑦⑤③
 5,12,Ｉアルマニンファ, 52,勝浦正, 0.1, 50,  -7,* -8, 8, 20.3,⑬⑭⑬, 5,13, カゼカオル,,北沢伸,222.8,,,, 7, 21.7,⑧⑧⑧, 5, 9,Ａダイワベスパｰ, 72,木幡初, 0.2, 65,  -3,   4, 1,  4.4, ⑩⑩, 5, 8,Ｌミナレット, 75,吉田隼, 0.2, 77,* 13,   0,14, 71.3,③③④
 6, 2,Ａマリｰズラン, 65,松若風, 0.1, 50,* -3, -16, 4,  5.7,⑤⑥③, 6, 1, シゲルヒダカ,,植野貴,222.9,,,, 4,  6.7,⑤⑥⑥, 6, 1,Ｉラドゥガ, 66,的場勇, 0.2, 65,   3,  -1,12, 32.2, ⑥③, 6,13,Ｆアルマディヴァン, 81,勝浦正, 0.2, 79,   9,*  9, 8, 13.9,⑬⑬⑪
 7, 8,Ｊサンフラワｰ, 49,長岡禎, 0.5, 45,* -3, -25, 7, 19.9,③③⑤, 7, 5, プレミアムパス,,金子光,223.6,,,, 5, 15.3,⑪⑨⑩, 7,12,Ｊキョウエイボヌｰル, 61,津村明, 0.2, 64,  -6,*  8, 9, 22.3, ⑫⑫, 7,16,Ａパワｰスポット, 87,横山典, 0.3, 79,   3,* 17, 1,  4.6,⑯⑯⑯
 8, 3,Ｆペブルガｰデン, 53,丸田恭, 0.7, 43,* -3, -25, 1,  2.9,⑥⑦④, 8, 7, タマモショパン,,五十嵐,223.6,,,, 1,  2.7,⑦⑦⑦, 8, 3,Ｂタカラジェニファ, 71,井上敏, 0.3, 63,*  8,  -8, 2,  5.3, ①①, 8, 4,Ｈフィロパトｰル, 78,津村明, 0.3, 76,  10,   3,10, 18.9,⑥⑦⑦
 9,14,Ｌフォルタレッサ, 42,柴田大, 0.9, 45,* -2, -28,11,126.9,⑯⑤⑦, 9, 8, オｰルアズワン,,佐久間,223.6,,,, 9, 38.4,⑩⑩⑨, 9,14,Ｄハッピｰアビラ, 69,松若風, 0.5, 61,  -8,   6, 3,  6.2, ⑬⑬, 9, 3,Ｄウエスタンメルシｰ, 84,丸田恭, 0.4, 77,   9,   6, 6, 12.6,⑪⑪⑫
10,15,Ｃラックアサイン, 56,吉田隼, 1.1, 39,* -3, -33, 3,  5.7,④④⑥,10, 6, プレミアムウォｰズ,,小野寺,224.2,,,,14,105.3,③③⑤,10,11,Ｅボストンサクラ, 69,国分恭, 0.6, 61,  -2,  -1, 7, 11.4, ⑪⑪,10, 5,Ｇケイティバロｰズ, 79,古川吉, 0.4, 77,   7,   7, 4,  9.2,⑮⑭⑬
11, 6,Ｄニホンピロピｰス, 56,藤懸貴, 1.1, 41,* -1, -34, 6, 18.3,②②②,11,11, リアルブラック,,林満明,224.5,,,,11, 48.9,⑨⑪⑪,11, 6,Ｏシャトｰルｰジュ, 57,勝浦正, 0.7, 57,   5, -10,13, 40.4, ④④,11, 2,Ｊブランネｰジュ, 77,藤岡康, 0.4, 76,  10,   2, 2,  4.6,⑨⑨⑩
12, 5,Ｋオベストルシャトウ, 43,伊藤工, 1.2, 42,  -6, -21,12,151.8,⑫⑮⑮,12, 3, ハギノセゾン,,田村太,224.6,,,,13,104.9,⑬⑫⑫,12,13,Ｐシャドウリｰフ, 49,加藤祥, 0.8, 57, -12,   6,16,174.4, ⑮⑮,12, 9,Ｎバｰバラ, 73,川須栄, 0.5, 75,  12,  -2,16,144.9,⑤⑥⑤
13,10,Ｈジョウノチェリｰ, 53,木幡初, 1.2, 40,  -7, -25,10, 81.4,⑪⑬⑫,13,12, ドリｰムチャｰジ,,黒岩悠,228.1,,,,12, 70.3,⑫⑬⑬,13,16,Ｍアグリデジタル, 58,藤懸貴, 0.9, 57,  -8,   2,15,147.7, ⑭⑭,13,10,Ｋグレイスフラワｰ, 76,柴田善, 0.6, 76,   7,   6, 5,  9.4,⑭⑮⑮
14, 4,Ｍメルヴェイユ, 40,加藤祥, 1.3, 39,  -7, -26,13,172.8,⑨⑫⑭,,,,,,,,,,,,,14, 8,Ｌバトルムｰングロウ, 59,黛弘人, 1.0, 55,   5, -14, 5,  9.1, ⑤⑤,14,15,Ｐシャイニｰガｰル, 70,国分恭, 1.0, 71,* 13, -11,15,104.0,④④⑨
15, 7,Ｏタイドミュｰジック, 35,井上敏, 1.3, 39,  -6, -28,16,347.5,⑦⑩⑪,,,,,,,,,,,,,15, 4,Ｎテンテマリ, 57,松田大, 1.1, 54, -18,*  9,14, 69.3, ⑯⑯,15,11,Ｉペイシャフェリス, 78,川島信, 1.5, 64,* 15, -21, 7, 13.9,①①①
16,11,Ｎセイユウヴィｰナス, 39,津村明, 2.0, 33, -10, -27,14,229.3,⑮⑯⑯,,,,,,,,,,,,,16,15,Ｆダイワミストレス, 69,横山典, 1.3, 50,*  7, -19, 8, 15.0, ③⑥,16, 7,Ｏオメガハｰトロック, 71,石橋脩, 1.6, 66,   9, -11,11, 22.2,⑫⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,000円 複勝:09=250円 16=180円 01=580円 枠連:830円",,,,,,,,,,,,"単勝:4,120円 複勝:09=1,120円 10=460円 14=180円 枠連:29,340円",,,,,,,,,,,,"単勝:810円 複勝:10=300円 02=430円 05=1,250円 枠連:1,350円",,,,,,,,,,,,"単勝:740円 複勝:06=330円 12=510円 01=1,860円 枠連:1,520円",,,,,,,,,,,
"馬連:2,170円 ワイド:09-16=760円 01-09=2,570円 01-16=1,430円",,,,,,,,,,,,"馬連:37,290円 ワイド:09-10=7,250円 09-14=3,160円 10-14=1,010円",,,,,,,,,,,,"馬連:4,560円 ワイド:02-10=1,570円 05-10=4,930円 02-05=4,320円",,,,,,,,,,,,"馬連:6,490円 ワイド:06-12=2,120円 01-06=9,530円 01-12=16,700円",,,,,,,,,,,
"馬単:5,310円 3連複:13,830円 3連単:72,540円",,,,,,,,,,,,"馬単:75,130円 3連複:60,630円 3連単:674,150円",,,,,,,,,,,,"馬単:8,680円 3連複:39,260円 3連単:109,880円",,,,,,,,,,,,"馬単:11,670円 3連複:153,060円 3連単:599,360円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  ダ1150m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米沢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄシャンタルエット, 53,中井裕,, 65,   0,*  2, 5, 10.1,⑧⑤④, 1, 6,Ａメイショウヒコボシ, 76,川島信,, 75,   4,* 11, 4,  8.9,⑪⑥⑥, 1,10,Ａエムエムアリオｰン, 80,勝浦正,, 68,*  2,*  6, 1,  1.8, ①①, 1, 8,Ｅダテノハクトラ, 78,柴田善,, 75,  10,*  3, 4,  6.9,⑨⑧③
 2,15, レッドファルダ,---,藤懸貴, 0.1, 61,   1,* -1, 4,  7.7,⑤④⑤, 2, 8,Ｂシップウ, 76,吉田隼, 0.1, 73,   2,* 13, 5, 10.1,⑭⑪⑨, 2,12,Ｃステｰキ, 71,松若風, 0.4, 64,*  1,   3, 2,  5.8, ②②, 2,13,Ａハコダテナイト, 81,石橋脩, 0.1, 75,   7,*  7, 1,  4.1,⑮⑮⑮
 3,12,Ｅサントノｰレ, 52,加藤祥, 0.6, 58,*  4,  -8, 9, 43.5,③③③, 3, 5,Ｅシｰリｰヴェｰル, 72,松田大, 0.1, 74,   5,   8, 1,  2.6,③④③, 3,14,Ｂサンレイクウッド, 72,井上敏, 0.5, 63,*  1,   2, 3,  6.0, ③③, 3,11,Ｄトｰセンゴｰジャス, 79,菅原隆, 0.5, 73,   9,*  0,12, 49.3,⑫⑩⑦
 4, 1,Ｂカラｰラビアンコ, 64,松若風, 0.7, 59,  -1,*  0, 2,  4.9,⑩⑧⑧, 4, 3,Ｄセルリアンラビット, 74,古川吉, 0.3, 74,   2,* 14, 6, 14.1,⑬⑬⑫, 4,15,Ｊザゲｰムイズオン, 63,丸田恭, 0.6, 62,   0,   4, 9, 31.2, ④⑤, 4, 1,Ｂアクションバイオ, 79,勝浦正, 0.6, 71,* 12,  -6, 2,  4.3,①①①
 5, 9,Ｉアクティブボス, 50,野中悠, 0.9, 57,  -1,  -3, 6, 18.8,⑦⑦⑦, 5,15,Ｃシャトｰウインド, 74,丸山元, 0.6, 71,   3,   8, 7, 14.9,⑫⑧⑦, 5, 1,Ｄウインオｰラム, 70,黛弘人, 0.7, 62,  -2,   3, 4, 14.9, ⑤④, 5, 7,Ｈハヤブサペコチャン, 75,丸田恭, 0.8, 68,* 11,  -7, 8, 27.4,③③②
 6, 7,Ａウエバフラッシュ, 65,木幡初, 1.0, 56,*  4, -13, 1,  2.0,②②②, 6,10,Ｌアグネスオラシオン, 64,勝浦正, 1.0, 67,   4,   2,12, 52.1,⑩⑦⑧, 6, 7,Ｉイッセキニチョウ, 65,吉田隼, 0.9, 59,  -4,   4,12, 78.4, ⑧⑦, 6,10,Ｎマルカロゼッタ, 67,荻野琢, 0.9, 69,   9,  -3,15, 72.1,⑪⑨⑧
 7,10,Ｃノｰブルカイザｰ, 59,西村太, 1.1, 56,  -1,  -6, 7, 32.4,⑪⑥⑥, 7, 1,Ｈテラノココロ, 71,藤岡康, 1.1, 68,   2,   7, 9, 25.2,⑨⑫⑪, 7, 9,Ｆミラクルピッチ, 66,丸山元, 0.9, 59,  -4,   4, 8, 28.8, ⑨⑧, 7, 9,Ｉザマンダ, 75,杉原誠, 1.3, 62,  11,  -9, 6, 10.8,⑦⑦⑨
 8, 4,Ｈレッドグロワｰル, 50,杉原誠, 1.6, 48,  -2,  -6, 3,  6.1,⑥⑨⑨, 8,11,Ｊサムソンズシエル, 69,柴田大, 1.2, 66,*  5,  -3, 2,  4.6,②②①, 8,13,Ｅサｰシスリｰフ, 67,川須栄, 1.1, 58,  -4,   2, 6, 18.3, ⑩⑩, 8, 2,Ｇバサラヴォｰグ, 76,柴田大, 1.3, 68,   8,  -4,13, 50.7,⑭⑬⑫
 9, 3,Ｍララオムドゥクｰ, 39,森一馬, 1.7, 53,  -2,  -6,12,105.0,⑬⑪⑬, 9, 7,Ｎロマンシｰズ, 62,柴田善, 1.6, 62,   3,  -1,14, 92.8,⑧⑨⑬, 9, 6,Ｋアタッキングゾｰン, 63,木幡初, 1.5, 54, -11,   4,10, 43.2, ⑫⑫, 9,15,Ｆワイルドコットン, 76,吉田隼, 1.4, 65,   8,  -5, 3,  6.5,⑬⑭⑭
10, 6,Ｊメイショウデコイ, 49,小野寺, 1.8, 52,  -2,  -8,15,310.0,⑭⑬⑪,10, 4,Ｇスリｰヨｰク, 71,木幡初, 1.6, 65,   0,   3,13, 68.0,⑥⑭⑭,10, 5,Ｎペイシャンスゼｰタ, 52,柴田善, 1.8, 50, -16,*  5,13,127.4, ⑬⑬,10, 6,Ｋサリレモンド, 71,川須栄, 1.4, 67,  10,  -9,11, 36.5,⑥⑥⑩
11,13,Ｋハッピｰキャップ, 40,井上敏, 2.0, 50,  -2, -10, 8, 34.1,⑨⑫⑩,11,12,Ｋトｰホウビｰスト, 65,的場勇, 1.8, 62,*  6,  -8,10, 51.5,①①②,11, 8,Ｌタマモエスカルゴ, 60,加藤祥, 1.8, 51,  -8,  -1,11, 67.1, ⑪⑪,11, 3,Ｊマコトグロズヌイ, 74,藤岡康, 1.7, 63,  11, -13, 5,  7.7,④⑤④
12, 8,Ｇフヨウシデンカイ, 51,長岡禎, 2.5, 46,  -6,  -7,10, 71.7,⑮⑮⑭,12,14,Ｍマハｰシュリｰ, 64,津村明, 1.8, 61,*  6,  -7,11, 52.0,④⑤④,12, 3,Ｇサンレイデジタル, 66,古川吉, 1.9, 51,  -1,  -7, 5, 16.2, ⑥⑥,12, 4,Ｃオウケンゴｰルド, 79,松若風, 1.8, 64,   8,  -9, 7, 14.5,⑧⑪⑬
13,14,Ｎパストラｰレ, 38,花田大, 2.6, 44,*  4, -26,11,103.6,①①①,13, 2,Ｆキｰブランド, 72,加藤祥, 1.9, 61,   2,  -2, 8, 17.5,⑦⑩⑩,13,11,Ｈプレシャスベガ, 65,柴田大, 2.0, 50,  -3,  -7, 7, 23.7, ⑦⑨,13,14,Ｍパワｰスラッガｰ, 68,田中勝, 2.0, 63,   9, -12,14, 57.4,⑩⑫⑪
14, 2,Ｆソニック, 51,嶋田純, 2.7, 47,  -2, -14,13,236.2,⑫⑩⑫,14,13,Ｉメイショウルンバ, 70,武幸四, 2.1, 61,*  6, -11, 3,  7.9,⑤③⑤,14, 2,Ｏアストロフォンテン, 52,伊藤工, 2.6, 42, -24,*  6,15,182.9, ⑮⑮,14,12,Ｌニシノシュロ, 70,国分恭, 2.7, 58,* 11, -23, 9, 33.2,⑤④⑤
15,11,Ｌゼットウオリア, 39,平野優, 2.9, 44,  -5, -12,14,297.5,④⑭⑮,15, 9,Ｏエスティリメイク, 42,井上敏, 2.8, 60,  -7,   8,15,246.6,⑮⑮⑮,15, 4,Ｍプリティｰマッハ, 55,野中悠, 3.0, 40, -19,  -1,14,131.9, ⑭⑭,15, 5,Ｏカウニスクッカ, 65,伊藤工, 3.1, 52,* 12, -27,10, 36.1,②②⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
