15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5, 1,Ｈオｰルドラゴン, 42,義英真, 0.4, 47,*  2, -14,11,111.5, ②②, 5, 3, セントラルルｰク,---,シュタ, 0.5, 35, -37,  -1, 7, 19.4, ⑥⑦, 5, 4,Ｄウィズアミッション, 72,シュタ, 0.1, 74,   6,   4, 7, 14.5, ⑧⑧, 5,10,Ｋグァンチャｰレ, 75,幸英明, 0.3, 83,   9,  10, 5, 15.0, ⑧⑧
 6,12,Ｄマイネルラック, 50,高倉稜, 0.4, 47,*  5, -19, 4, 19.0, ①①, 6, 9, ツジラピテス,---,秋山真, 0.6, 38, -42,*  8, 8, 31.2, ⑭⑭, 6, 8,Ｊリヴィエｰル, 68,酒井学, 0.2, 70,   8,  -3,10, 26.5, ⑦⑦, 6,11,Ｆインパルスヒｰロｰ, 80,川島信, 0.3, 83,   8,  14, 9, 50.1, ⑪⑪
 7, 9,Ｇブルベアシャｰク, 43,酒井学, 1.0, 40,  -1, -17, 6, 37.7, ⑥⑥, 7, 5, エｰティｰサンダｰ,---,幸英明, 0.7, 33, -38,  -2, 2,  6.9, ⑨⑨, 7,17,Ｆヴィンテｰジロｰズ, 71,松山弘, 0.2, 73,   2,*  9, 3,  7.4, ⑯⑰, 7, 9,Ａトウシンモンステラ, 88,北村友, 0.4, 81,   8,  13, 7, 19.9, ⑩⑩
 8,13,Ｉゴｰルド, 40,三津谷, 1.1, 38,   0, -21,13,302.1, ④④, 8, 4, マリネリス,---,高倉稜, 0.7, 32,*-35,  -6, 9, 33.1, ⑤④, 8,10,Ｉメイショウヤマホコ, 70,義英真, 0.4, 69,   4,   2,17,132.7, ⑩⑪, 8, 7,Ｃウインプリメｰラ, 84,和田竜, 0.4, 82,  11,   5, 2,  4.1, ⑦⑥
 9, 3,Ｅグランサｰブル, 43,国分恭, 1.3, 39,  -6, -12,14,307.8, ⑨⑩, 9,12, カネトシフェアリｰ,---,川島信, 0.7, 29,*-35,  -8,12, 50.1, ③⑤, 9,11,Ｒバトルクライス, 56,太宰啓, 0.4, 68,  10,  -7,16,127.0, ④④, 9, 4,Ｊヒュウマ, 76,国分優, 0.8, 74,* 13,  -5,11, 68.6, ②②
10, 4,Ｌモヒカン, 31,北村友, 1.5, 35,  -2, -21, 8, 47.4, ⑦⑧,10,13, スリｰアリアン,---,古川吉, 0.8, 24,*-34, -12,13, 60.0, ①①,10,12,Ｋコルボノワｰル, 67,武幸四, 0.4, 70,   1,*  6,14, 75.4, ⑮⑯,10, 5,Ｇコスモソｰンパｰク, 80,高倉稜, 0.8, 76,  12,  -3, 8, 32.2, ④③
11, 6,Ｆクリノエディンバラ, 43,吉井友, 1.7, 33, -12,  -8,12,288.5, ⑭⑭,11,10, エタｰナル,---,藤岡康, 0.8, 29,*-35,  -8,10, 33.7, ④③,11, 6,Ｍケイアイヴァｰゲ, 62,吉井友, 0.4, 70,   3,   4,15, 97.5, ⑫⑭,11, 1,Ｉバッドボｰイ, 78,小牧太, 1.7, 65,* 13, -20, 6, 18.1, ①①
12,14,Ｊテイエムハマッタ, 35,田中健, 2.4, 24,*  3, -45, 7, 38.9, ③③,12, 2, グレｰトジｰピｰ,---,国分優, 0.9, 32, -39,  -1, 4, 14.1, ⑪⑪,12, 1,Ａグリｰンラヴ, 77,中谷雄, 0.5, 68,   1,   5, 9, 25.1, ⑰⑮,,,,,,,,,,,,
13, 8,Ｎダイシンアレッタ, 25,松山弘, 3.0, 20,  -9, -33,10,100.6, ⑬⑫,13, 8, プルミエエトワｰル,---,国分恭, 0.9, 35, -41,   2,14, 72.3, ⑬⑬,13, 2,Ｎヘイムダル, 59,高倉稜, 0.6, 67,* 12, -16,13, 59.5, ①①,,,,,,,,,,,,
14,11,Ｍチケットトゥヘブン, 28,古川吉, 3.2, 16,  -9, -34,15,337.8, ⑫⑬,14, 6, シンボリダムｰル,---,義英真, 1.0, 29, -39,  -3,11, 38.0, ⑩⑩,14,13,Ｐトリニティプレイス, 57,藤岡康, 0.8, 65,* 12, -15,11, 31.6, ②②,,,,,,,,,,,,
15, 5,Ｏキングジャスパｰ,-87,国分優, 3.8, 10, -20, -26, 9, 81.9, ⑮⑮,,,,,,,,,,,,,15, 3,Ｏマイネルレハイム, 58,国分優, 0.8, 63,   8, -11,18,197.2, ⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｂアレスバロｰズ, 73,鮫島良, 1.2, 61,   8, -17, 4,  7.6, ⑥⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｑアドマイヤスカイ, 57,北村友, 2.7, 42,* 11, -43,12, 55.4, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:750円 複勝:07=150円 15=110円 10=120円 枠連:470円,,,,,,,,,,,,"単勝:170円 複勝:11=110円 07=280円 01=240円 枠連:1,040円",,,,,,,,,,,,単勝:470円 複勝:15=190円 18=330円 16=260円 枠連:280円,,,,,,,,,,,,単勝:180円 複勝:02=110円 08=250円 06=580円 枠連:610円,,,,,,,,,,,
