15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:720円 3連複:3,250円 3連単:7,470円",,,,,,,,,,,,"馬単:4,650円 3連複:2,780円 3連単:18,650円",,,,,,,,,,,,"馬単:17,570円 3連複:26,630円 3連単:221,040円",,,,,,,,,,,,"馬単:1,410円 3連複:1,640円 3連単:5,410円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃアポロナイスジャブ, 47,吉田豊,, 52,* -1,* -2, 4,  7.8, ①①, 1, 3, アグレアｰブル,---,岩田康,, 47, -36,* 11, 1,  1.8,⑨⑨⑧, 1,12,Ｊアンタラジｰ, 66,ルメｰ,, 79,* 20, -12, 1,  2.3, ③③, 1,15,Ｍノボリディアｰナ, 79,ルメｰ,, 87,  12,*  9,11, 32.0,⑬⑬⑩
 2,10,Ｌエルゼロ, 27,横山典, 0.4, 47,  -5,*  0, 2,  3.3, ⑩⑩, 2,11, キングオブアｰムズ,---,北村宏, 0.2, 43,*-35,*  5, 2,  3.2,④⑦④, 2,17,Ｂクワトロガッツ, 73,北村宏, 0.2, 79,  17,* -7, 3,  6.8, ⑦⑦, 2, 4,Ａスマｰトレイアｰ, 92,デムｰ, 0.2, 83,  12,   6, 1,  4.2,⑦⑦⑨
 3,13,Ｂマックｰル, 47,内田博, 0.4, 49,  -4,* -2, 1,  3.1, ⑥⑤, 3, 5, ウインシンフォニア,---,松岡正, 0.4, 38,*-33,  -2, 7, 41.6,①①①, 3, 5,Ｄムｰンマジェスティ, 69,吉田豊, 0.4, 78,  14,* -5, 5, 15.2, ⑧⑨, 3,17,Ｅカフェブリリアント, 85,岩田康, 0.2, 88,   9,* 13, 5,  8.3,⑮⑮⑮
 4, 2,Ｆグラスセイヴァｰ, 42,大野拓, 0.8, 47,* -2,  -9, 5, 13.0, ③②, 4, 6, スウィフトレイド,---,ルメｰ, 0.8, 33, -36,  -3, 3,  5.7,⑥⑥⑦, 4,13,Ａロッカバラｰド, 75,石川裕, 0.6, 73,  19, -17, 4, 14.1, ④④, 4, 6,Ｐフレイムコｰド, 77,菱田裕, 0.2, 84,* 17,  -7,17,163.3,②②②
 5, 8,Ａアルマラナキラ, 50,三浦皇, 1.4, 42,* -2, -14, 3,  4.6, ④④, 5,12, シュティルヴァルト,---,田辺裕, 0.8, 37, -38,   2, 6, 24.9,⑫⑪⑪, 5, 7,Ｌダイワスキャンプ, 65,柴田善, 0.7, 73,   7,*  2, 7, 16.9, ⑯⑯, 5, 8,Ｌリメインサイレント, 80,柴山雄, 0.2, 84,  14,   0,15,109.8,⑤⑥⑤
 6, 1,Ｉピクニックガｰデン, 34,田辺裕, 1.5, 40,  -7,  -8, 8, 39.3, ⑪⑫, 6, 7, ミライヘノツバサ,---,内田博, 0.9, 34, -38,  -1, 5, 22.9,⑪⑩⑩, 6,15,Ｃシングンジョｰカｰ, 71,武士沢, 0.7, 74,* 23, -26, 2,  3.7, ②②, 6,14,Ｋトｰセンソレイユ, 81,内田博, 0.4, 84,  10,   5,14, 61.7,⑫⑩⑪
