15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,鷹巣山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:620円 3連複:830円 3連単:2,590円",,,,,,,,,,,,"馬単:6,110円 3連複:10,650円 3連単:41,310円",,,,,,,,,,,,"馬単:2,810円 3連複:5,730円 3連単:20,600円",,,,,,,,,,,,"馬単:9,820円 3連複:13,700円 3連単:91,130円",,,,,,,,,,,
■ 2R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1800m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,秋陽ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,東京ｽﾎﾟｰﾂ杯2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａクリムゾンバロｰズ, 63,田辺裕,, 73,   5,*  6, 1,  2.4, ④④, 1, 3, ハマヒルガオ,---,ベリｰ,, 38, -37,   3, 3,  6.0, ③④, 1, 1, マキオボｰラｰ,,平沢健,,,,, 2,  4.9,②②②, 1,10,Ａスマｰトオｰディン, 72,武豊  ,, 83, -14,* 26, 4,  7.0,⑨⑩⑪
 2,11,Ｃシゲルヒラマサ, 57,江田照, 1.4, 62,   3,  -4, 2,  3.9, ⑨⑦, 2, 4, プルメリアブｰケ,---,戸崎圭, 0.0, 36,*-34,  -1,10, 26.1, ①①, 2,13, カッパドキア,,西谷誠,209.8,,,, 6, 18.5,⑫⑪⑪, 2, 9,Ｃプロディガルサン, 72,戸崎圭, 0.2, 77, -12,  19, 2,  3.6,⑥⑥⑥
 3, 9,Ｉデルマジロキチ, 47,横山和, 1.8, 59,   3,  -7,13,129.4, ⑧⑥, 3,15, クイックモｰション,---,柴山雄, 0.1, 38, -36,   3, 5, 13.5, ⑥⑥, 3, 2, カウウェラ,,浜野谷,210.0,,,,11, 84.7,⑥⑥④, 3, 1,Ｇマイネルラフレシア, 64,柴田大, 0.2, 77,* -9,  14, 6, 11.5,①②②
 4, 8,Ｅナナエ, 53,戸崎圭, 2.0, 54,  -6,*  1, 9, 43.5, ⑮⑭, 4, 5, スズランフェスタ,---,津村明, 0.1, 39, -38,*  6,11, 41.1, ⑧⑨, 4,11, マイネルミランダス,,山本康,210.4,,,,10, 77.4,⑤③③, 4, 6,Ｂキラｰジョｰ, 72,藤岡康, 0.3, 73,* -8,  10, 5,  8.1,③①①
 5,13,Ｂメイショウトビザル, 59,武豊  , 2.1, 56,*  6, -14, 3,  5.6, ①①, 5, 7, テラノヴァ,---,デムｰ, 0.1, 36, -37,   3, 1,  3.0, ⑤⑤, 5, 4, エｰシンホワイティ,,北沢伸,210.9,,,, 1,  1.7,⑧⑦⑥, 5, 3,Ｅハレルヤボｰイ, 68,横山典, 0.4, 77, -13,  19, 9, 41.9,⑧⑨⑩
 6, 6,Ｆトｰレクン, 53,伴啓太, 2.3, 57,   5, -13,11, 62.7, ⑥⑤, 6,14, メイクユアデイ,---,北村宏, 0.3, 34,*-35,  -3, 4,  6.7, ④③, 6,12, タマモプラネット,,小坂忠,211.5,,,, 5, 17.5,①①①, 6,11,Ｆタイセイサミット, 66,ムｰア, 0.4, 76, -12,  18, 7, 25.5,⑩⑧⑧
