15年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 1,12, ハドウホウ,---,水口優,, 50,*  6, -15,11, 55.2, ②②, 1,14, スマｰトリバティｰ,,熊沢重,,,,, 8, 30.7,①①①, 1, 7,Ｂイルｰシヴキャット, 73,岩崎翼,, 75,*  0,   6, 2,  5.2, ①①, 1, 6,Ｋブランクヴァｰス, 70,丸山元,, 80,* -8,  18,11, 52.1,⑩⑨②
 2,15, コウユｰハレワタル,---,国分恭, 0.0, 49,  -4,* -1, 9, 22.1, ⑩⑩, 2, 4, ヒラボクインパクト,,五十嵐,198.1,,,, 1,  1.8,④③⑥, 2,14,Ｃヤマノハヤブサ, 72,松若風, 0.1, 74,* -1,   7, 1,  3.5, ②②, 2, 7,Ｄアウォｰディｰ, 78,菱田裕, 0.0, 83,  -9,* 22, 2,  3.8,④⑤⑦
 3, 6,Ｉカラッカゼ, 39,嶋田純, 0.1, 52,* 11, -21,10, 22.4, ①①, 3, 6, レオウィッシュ,,原田和,198.3,,,, 4, 15.8,⑦⑥④, 3,12,Ｅダイワベスパｰ, 70,木幡初, 0.3, 72,  -6,   8, 4, 10.7, ⑥⑥, 3,10,Ｆグランドサッシュ, 77,松田大, 0.2, 81,  -9,  18, 7, 17.4,⑦⑥⑤
 4, 5,Ｊエンパイアサンデｰ, 39,菱田裕, 0.2, 45, -10,*  3, 2,  4.3, ⑭⑬, 4,11, ワｰルドマッチ,,林満明,198.5,,,, 5, 16.0,②②②, 4, 4,Ｌクリノコマチ, 66,西田雄, 0.3, 72,  -4,   7,11, 30.6, ④④, 4, 9,Ｉアグリッパｰバイオ, 75,勝浦正, 0.3, 76,* -8,  12, 4,  6.9,①①①
 5, 3,Ｂポワソンダブリル, 54,丸山元, 0.2, 49,   4, -13, 3,  5.0, ③③, 5,12, メイショウアラワシ,,植野貴,199.0,,,, 6, 21.5,⑪⑩⑨, 5,18,Ｎタカラジェニファ, 62,井上敏, 0.3, 71,* -3,   5, 9, 23.6, ③③, 5, 3,Ａメイショウブシン, 81,丸田恭, 0.6, 76, -11,  16, 6, 10.7,⑨⑧⑨
 6,13,Ａゴットモｰニング, 54,田中健, 0.3, 48,   1,  -9, 1,  3.6, ⑧⑧, 6, 8, グレイトエンブレム,,平沢健,199.1,,,, 2,  5.1,③⑤⑤, 6,10,Ｆサザンライツ, 69,吉田隼, 0.4, 71,  -9,* 10, 3,  5.3, ⑫⑫, 6, 1,Ｇレイトライザｰ, 77,北村友, 0.6, 78, -12,* 19, 5, 10.6,⑧⑩⑪
 7, 2, ファンブレイク,---,井上敏, 0.6, 44,  -4,  -6,13, 63.0, ⑨⑨, 7, 1, エアラｰテル,,高田潤,199.2,,,, 3,  5.3,⑤④③, 7,16,Ｏハッピｰロングラン, 61,鮫島克, 0.6, 70, -15,* 13,14, 66.5, ⑱⑯, 7,11,Ｊタイキプレミアム, 72,吉田隼, 0.6, 72,  -9,  11, 8, 25.8,⑤③④
 8,16,Ｆスパイホップ, 48,松若風, 0.6, 45,   2, -15, 5, 11.6, ⑤⑤, 8, 2, マイネルカｰミン,,山本康,199.2,,,,13,134.8,⑧⑦⑧, 8,17,Ａボストンサクラ, 74,義英真, 0.6, 68,  -5,   4, 5, 11.8, ⑧⑧, 8, 8,Ｂラルプデュエズ, 79,小崎綾, 0.7, 71,  -9,   9, 1,  2.8,②②③
 9, 8,Ｃパルミエ, 51,丸田恭, 0.8, 41,  -5,  -7, 7, 18.6, ⑪⑪, 9,13, ニシノカチヅクシ,,佐久間,199.7,,,, 7, 24.1,⑥⑧⑦, 9, 8,Ｋカシノワルツ, 67,二本柳, 0.6, 69,  -8,   7, 8, 15.5, ⑪⑪, 9, 4,Ｃロンギングゴｰルド, 78,横山和, 0.9, 72, -11,  12, 3,  6.7,⑥⑦⑧
10,11,Ｇララオムドゥクｰ, 47,荻野琢, 1.5, 36, -12,  -4,14, 75.1, ⑯⑯,10, 5, マックスロノ,,金子光,206.3,,,,11, 98.5,⑫⑫⑪,10,13,Ｇビｰビｰブレイン, 69,小崎綾, 0.7, 65,  -6,   3, 6, 12.4, ⑦⑦,10, 2,Ｅカｰマイン, 77,川須栄, 0.9, 71,  -9,   9,10, 43.9,③④⑥
11, 1, グラツィオｰソ,---,藤懸貴, 1.6, 36,   0, -21, 4,  8.2, ⑥⑥,11, 9, アンゲネｰム,,高野和,207.8,,,, 9, 43.1,⑬⑪⑩,11,11,Ｄエクスシア, 71,伴啓太, 0.8, 68, -17,* 13,12, 35.4, ⑮⑰,11, 5,Ｈヴォルスング, 75,国分恭, 1.1, 71, -11,  11, 9, 37.3,⑪⑪⑩
12,10,Ｄカシノエキスプレス, 50,伴啓太, 2.0, 33, -13,  -9,16,187.7, ⑮⑮,,,,,,,,,,,,,12, 2,Ｍチェネレントラ, 65,菱田裕, 1.0, 63,  -8,   1,10, 24.2, ⑩⑩,,,,,,,,,,,,
13, 9, カツノフィフス,---,西田雄, 2.1, 34,  -7, -14,15, 87.7, ⑫⑫,,,,,,,,,,,,,13, 9,Ｈマジカルビアンカ, 68,丸山元, 1.2, 59,  -4,  -5,13, 57.1, ⑤⑤,,,,,,,,,,,,
14, 7,Ｈウインフォｰエバｰ, 44,黛弘人, 2.4, 30,   0, -28, 6, 14.9, ⑦⑦,,,,,,,,,,,,,14, 3,Ｉテイエムシングン, 67,松田大, 1.3, 60, -12,   1, 7, 14.3, ⑬⑬,,,,,,,,,,,,
15, 4, ダイワレミグラン,---,川須栄, 3.5, 24,  -9, -24,12, 61.7, ⑬⑭,,,,,,,,,,,,,15, 5,Ｒアグリデジタル, 35,藤懸貴, 1.4, 60, -14,   4,15,168.9, ⑯⑮,,,,,,,,,,,,
16,14,Ｅピサｰロ, 50,松田大, 3.7, 22,   4, -44, 8, 18.8, ④④,,,,,,,,,,,,,16, 1,Ｑフリュクティドｰル, 51,杉原誠, 1.4, 58,  -8,  -3,18,204.8, ⑨⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｊエクスプロｰラｰ, 67,丸田恭, 1.9, 50, -15,  -4,16,169.1, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｐシュリメジャｰ, 55,黛弘人, 3.1, 36, -21, -13,17,195.2, ⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,
"単勝:5,520円 複勝:12=1,900円 15=610円 06=610円 枠連:8,110円",,,,,,,,,,,,"単勝:3,070円 複勝:14=600円 04=110円 06=280円 枠連:1,330円",,,,,,,,,,,,単勝:520円 複勝:07=190円 14=160円 12=270円 枠連:640円,,,,,,,,,,,,"単勝:5,210円 複勝:06=840円 07=160円 10=560円 枠連:5,590円",,,,,,,,,,,
"馬連:37,230円 ワイド:12-15=9,990円 06-12=11,920円 06-15=5,560円",,,,,,,,,,,,"馬連:2,350円 ワイド:04-14=1,040円 06-14=3,630円 04-06=540円",,,,,,,,,,,,"馬連:1,200円 ワイド:07-14=480円 07-12=1,310円 12-14=1,060円",,,,,,,,,,,,"馬連:5,360円 ワイド:06-07=1,660円 06-10=6,510円 07-10=1,410円",,,,,,,,,,,
"馬単:89,830円 3連複:264,580円 3連単:2,775,700円",,,,,,,,,,,,"馬単:5,910円 3連複:7,320円 3連単:59,350円",,,,,,,,,,,,"馬単:2,510円 3連複:4,740円 3連単:25,540円",,,,,,,,,,,,"馬単:16,140円 3連複:29,700円 3連単:269,780円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 9R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,刈谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｈショウサンカｰズ, 54,菱田裕,, 67,   2,*  1, 4, 13.7, ③③, 1, 4,Ｂマｰブルケｰキ, 72,吉田隼,, 72,*  4,*  9, 3,  5.0,②③②, 1, 7,Ｉトウケイタイガｰ, 69,松田大,, 79,   3,* 16, 8, 14.5, ③③, 1, 9,Ｌクワトロガッツ, 67,川須栄,, 78,   1,* 17,11, 20.0,⑬⑭⑭
 2,10,Ａメイショウボノム, 68,武幸四, 0.2, 68,*  5,  -3, 2,  2.8, ①①, 2, 8,Ｍエリｰフェアリｰ, 55,松田大, 0.8, 69,*  4,   3,11, 30.6,③④③, 2,13,Ｅアスタｰストｰム, 71,鮫島克, 0.4, 74,*  4,  10, 6, 10.2, ②②, 2,14,Ｋオｰスミチャド, 67,北村友, 0.1, 76,   3,  11, 4, 11.6,⑫⑫⑫
 3,11,Ｂコパノチャｰルズ, 66,加藤祥, 0.3, 65,*  4,  -4, 1,  2.0, ②②, 3, 9,Ｆメイショウルンバ, 69,武幸四, 1.1, 67,*  4,  -2, 5,  8.6,⑪①①, 3,16,Ｈキネオキャノン, 69,小崎綾, 0.5, 73,*  5,   9, 5,  9.2, ①①, 3,16,Ａオンタケハｰト, 76,勝浦正, 0.1, 77,  -1,* 18, 3,  6.8,⑮⑮⑮
 4, 3,Ｆロｰドワイルド, 57,岩崎翼, 0.5, 63,  -2,*  1, 6, 19.8, ⑨⑧, 4,14,Ｉクイｰンズシアタｰ, 66,勝浦正, 1.2, 68,  -1,*  9, 4,  6.6,⑩⑪⑪, 4, 3,Ｂディｰプミタカ, 74,北村友, 0.9, 70,  -6,* 16, 1,  4.0, ⑫⑩, 4,13,Ｄショウナンマルシェ, 71,吉田隼, 0.2, 73,   3,   8, 7, 13.9,⑩⑪⑩
 5, 4,Ｅパラダイスガｰデン, 57,吉田隼, 1.1, 56,   0,  -6, 8, 27.1, ⑥⑥, 5,13,Ｇラクリモｰサ, 69,丸山元, 1.5, 66,   1,   4, 6, 12.2,⑧⑨⑧, 5, 8,Ａサムライノモン, 77,勝浦正, 1.0, 68,   2,   7, 2,  4.9, ④④, 5,15,Ｉダンツアトラス, 68,高倉稜, 0.3, 74,   5,   4,10, 18.1,⑧⑨⑧
 6, 6,Ｋワｰルドハｰモニｰ, 49,松田大, 1.4, 52,  -9,* -1,10, 80.3, ⑪⑩, 6,11,Ｊレネットグルｰヴ, 61,北村友, 1.5, 65,   1,   2, 8, 22.0,⑦⑥⑥, 6, 2,Ｃヤマニンブルジョン, 73,田中健, 1.1, 68,  -1,  10, 3,  7.3, ⑦⑤, 6, 7,Ｇグリｰンラヴ, 70,中谷雄, 0.3, 75,  -4,* 18, 2,  4.4,⑯⑯⑯
 7, 8,Ｉピュウモッソ, 54,二本柳, 1.4, 54,   0,  -9, 5, 14.2, ⑦⑦, 7,10,Ａロゼラニ, 73,高倉稜, 1.6, 66,   2,  -1, 2,  4.6,④⑤⑤, 7, 5,Ｄビコｰミハイル, 73,佐久間, 1.3, 66,  -3,  10, 4,  7.6, ⑨⑦, 7, 8,Ｆサンライズバｰド, 71,岩崎翼, 0.4, 71,*  8,   0,12, 24.2,④④⑤
 8, 7,Ｇシｰユｰアゲン, 55,黛弘人, 1.8, 50, -10,  -2,12,152.6, ⑫⑫, 8, 3,Ｈジュｰンヴィエナ, 69,義英真, 1.6, 67,  -4,* 12, 7, 17.4,⑭⑭⑭, 8,10,Ｏハプスブルク, 59,二本柳, 1.5, 66, -10,* 15,13, 68.7, ⑭⑭, 8,10,Ｈケイアイヴァｰゲ, 68,小崎綾, 0.4, 71,   7,   2, 8, 14.9,⑥⑦⑦
 9,14, アスタｰクリスタル,---,鮫島克, 1.9, 47, -10,  -5,14,245.0, ⑬⑬, 9, 6,Ｅシェイプリｰ, 70,伴啓太, 1.6, 65,  -1,   5,12, 33.0,⑫⑩⑨, 9,15,Ｍヒカリセット, 67,加藤祥, 1.5, 64,  -6,  10,10, 24.8, ⑬⑬, 9, 2,Ｊヴィジャイ, 68,菱田裕, 0.6, 69,*  7,  -3, 9, 15.2,⑤⑤④
10,13,Ｃメイスンヴィｰナス, 65,義英真, 2.1, 48,   2, -18, 3, 13.5, ④④,10, 2,Ｃシナｰラ, 71,鮫島克, 1.8, 63,   1,   0,14,111.4,⑥⑦⑦,10,14,Ｌダイメイリシャｰル, 67,井上敏, 1.8, 62,  -2,   3, 9, 16.8, ⑧⑨,10, 4,Ｅシュヴァリエ, 71,黛弘人, 1.0, 64,*  9, -12, 5, 12.0,②②②
11,15,Ｊランドザスタｰズ, 51,木幡初, 2.2, 47,  -1, -15, 9, 57.8, ⑩⑪,11,12,Ｄメイショウブｰケ, 70,松若風, 2.4, 60,  -2,  -1, 1,  4.5,⑬⑫⑫,11, 9,Ｎヒミノコンドル, 62,高倉稜, 1.9, 62, -14,* 14,14, 71.0, ⑮⑮,11, 6,Ｂバトルジェジェジェ, 72,松田大, 1.1, 64,   6,  -9, 6, 12.0,⑨⑥⑥
12, 1,Ｌディベルティｰド, 42,嶋田純, 2.2, 45, -16,*  0,15,245.8, ⑮⑮,12, 5,Ｌキボウダクリチャン, 57,井上敏, 2.8, 60,  -3,   0,13, 78.3,⑨⑬⑬,12, 4,Ｆジョディｰズロマン, 70,三津谷, 2.0, 60,   0,   0,15, 98.2, ⑤⑥,12,11,Ｃクリｰブラット, 72,松若風, 1.1, 64,   4,  -4, 1,  4.3,⑦⑧⑪
13,16,Ｄダシヌケ, 59,小崎綾, 2.2, 47,   1, -18, 7, 22.8, ⑤⑤,13, 1,Ｎクリノチョモラｰリ, 40,岡田祥, 2.9, 57,*  4, -15, 9, 22.1,①②④,13,12,Ｇテイエムシシオｰ, 70,義英真, 2.2, 57,  -3,   2,11, 45.2, ⑪⑫,13, 1,Ｍアｰトアロング, 63,国分恭, 1.4, 60,*  8, -16,13, 62.5,①①①
14, 2, ウエスタンカンベイ,---,大下智, 2.5, 42, -13,  -6,13,209.5, ⑭⑭,14, 7,Ｋエリンジュｰム, 61,黛弘人, 3.1, 54,   0, -10,10, 26.8,⑤⑧⑩,14, 6,Ｋヴェントアウレオ, 67,菱田裕, 2.7, 54,  -3,  -3,12, 47.0, ⑩⑪,14, 3,Ｎニシノカンザシ, 58,丸田恭, 1.6, 58,   1,  -6,14, 74.5,⑭⑬⑬
15, 5,Ｍセイカヒカワザカ, 40,井上敏, 2.8, 41, -16,  -6,16,263.1, ⑯⑯,,,,,,,,,,,,,15,11,Ｊサンライズトｰク, 68,松若風, 3.0, 51,   0,  -9, 7, 14.5, ⑥⑧,15,12,Ｏヴァイスフェッタｰ, 57,丸山元, 1.6, 58,   4, -10,16,119.8,⑪⑩⑨
16,12,Ｎカシノツバサ, 34,西田雄, 3.9, 33,   0, -31,11, 97.6, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｐシャトｰルｰジュ, 47,西田雄, 1.7, 55,*  7, -21,15, 90.3,③③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,370円 複勝:09=260円 10=130円 11=110円 枠連:2,020円",,,,,,,,,,,,"単勝:500円 複勝:04=280円 08=1,010円 09=440円 枠連:4,970円",,,,,,,,,,,,"単勝:1,450円 複勝:07=550円 13=420円 16=400円 枠連:1,680円",,,,,,,,,,,,"単勝:2,000円 複勝:09=730円 14=440円 16=260円 枠連:2,110円",,,,,,,,,,,
