15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｎスクエアフォｰルド, 35,内田博,, 51,  -6,*  4,10, 53.3, ⑬⑬, 1, 6, ラベンダｰヴァレイ,---,戸崎圭,, 61, -19,* 10, 1,  1.5, ⑤⑤, 1, 9,Ｂペリｰホワイト, 70,大野拓,, 74,   5,*  7, 6, 18.9, ⑧⑧, 1,14,Ｅグレイスフルリｰプ, 87,内田博,, 87,  11,* 14, 9, 19.2, ③③
 2, 1,Ｍロｰズクランス, 36,武士沢, 0.0, 53,  -9,*  8, 6, 11.4, ⑮⑮, 2,13, シｰブリｰズラブ,---,木幡初, 0.0, 61, -21,* 11, 4, 15.2, ⑧⑦, 2, 4,Ａダウトレス, 73,柴山雄, 0.1, 71,   1,* 11, 1,  1.8, ⑭⑬, 2, 3,Ｇニシケンモノノフ, 86,中谷雄, 0.2, 85,  11,  13, 3,  7.0, ④④
 3, 6,Ｋウイングソルジャｰ, 38,田中勝, 0.2, 49,  -9,*  5, 4,  8.3, ⑯⑯, 3, 7, パステルモｰブ,---,石川裕, 0.4, 53,*-17,  -1, 3, 12.2, ①①, 3,16,Ｅジャスティシア, 66,吉田隼, 0.2, 73,*  9,  -1, 3, 10.1, ②②, 3, 7,Ｋタｰルタン, 85,北村宏, 0.4, 85,  11,  12, 4,  9.9, ⑤⑤
 4, 7,Ｒスズオｰフェン, 19,勝浦正, 0.2, 47,  -7,*  2,15,146.7, ⑭⑭, 4,12, モリトタイキ,---,吉田隼, 0.5, 57, -27,* 14, 6, 31.6, ⑬⑬, 4,10,Ｎアルディバイン, 58,戸崎圭, 0.5, 70,   7,  -1, 2,  5.1, ③③, 4, 5,Ｂキクノストｰム, 88,横山典, 0.4, 84,   5,* 19, 7, 16.5, ⑭⑭
 5,18,Ｄエディクト, 46,戸崎圭, 0.2, 45,   0, -10, 1,  2.7, ⑥⑥, 5, 3, キャニオンロｰド,---,北村宏, 0.6, 55, -24,   7, 2,  4.2, ⑪⑩, 5,15,Ｌドゥｰイット, 61,伴啓太, 1.1, 65,   3,  -1, 8, 26.0, ⑪⑩, 5, 2,Ｃナンチンノン, 88,吉田豊, 0.5, 81,* 14,   6, 6, 14.4, ①①
 6, 2,Ｂゲインザリｰド, 53,柴山雄, 0.2, 47,   0,  -8, 5, 10.1, ⑦⑦, 6, 1, ボｰギャルソン,---,田中勝, 0.7, 53, -23,   4,11, 61.5, ⑦⑧, 6, 8,Ｊボナフォルトゥｰナ, 64,松岡正, 1.2, 63,   6,  -6, 4, 11.0, ⑦④, 6, 4,Ｍゴｰイングパワｰ, 82,大野拓, 0.7, 82,* 13,   6,16,123.4, ②②
 7,15,Ａキングハｰト, 56,江田照, 0.3, 44,*  3, -15, 3,  8.1, ③③, 7, 4, ブリｰズドゥメｰル,---,三浦皇, 0.8, 53, -25,   7, 7, 31.9, ⑨⑫, 7,12,Ｄトップアドバンス, 67,木幡初, 1.3, 62,   0,   2, 7, 20.0, ⑬⑭, 7, 9,Ｈアドマイヤサガス, 86,丸山元, 0.8, 81,   8,  12,15,109.4, ⑪⑪
 8,17,Ｅビッグランチ, 45,吉田豊, 0.4, 45,*  3, -17,14, 97.9, ④④, 8,14, ラッキｰゲッツ,---,幸英明, 1.0, 51, -23,   2,13, 90.6, ⑫⑪, 8, 6,Ｃフィンデルムンド, 69,内田博, 1.3, 61,  -1,   3, 5, 16.1, ⑯⑯, 8, 1,Ａレッドアルヴィス, 90,三浦皇, 1.1, 79,   8,  10, 1,  2.7, ⑨⑨
 9,14,Ｆハヤブサミカリン, 45,吉田隼, 0.4, 42,*  4, -20, 7, 15.1, ①①, 9, 9, ニシノタイタン,---,内田博, 1.2, 50, -28,   7,10, 59.9, ⑭⑭, 9, 7,Ｈクリノツネチャン, 64,嶋田純, 1.4, 64,* 11, -14,15,161.0, ①①, 9, 6,Ｆシンゼンレンジャｰ, 86,田中勝, 1.1, 78,   9,   8,14, 66.5, ⑥⑥
10, 8,Ｃピキｰヨ, 48,柴田大, 0.5, 44,   0, -14, 8, 21.0, ⑤⑤,10, 5, ブラックウィンダム,---,丸山元, 1.3, 43, -19,  -9, 8, 41.7, ④④,10, 2,Ｋディアポジション, 63,勝浦正, 1.5, 61,   3,  -4,13, 69.2, ⑨⑨,10,15,Ｊガンジス, 85,幸英明, 1.3, 77,   6,  10, 5, 11.3, ⑬⑫
