15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,410円 3連複:7,250円 3連単:29,120円",,,,,,,,,,,,"馬単:53,190円 3連複:58,810円 3連単:405,900円",,,,,,,,,,,,"馬単:11,100円 3連複:19,210円 3連単:122,470円",,,,,,,,,,,,"馬単:630円 3連複:1,500円 3連単:3,590円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  ダ1800m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕刊ﾌｼﾞ賞ｵｰｼｬﾝｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃショウナンカサロ, 59,戸崎圭,, 56,  -3,   0, 1,  2.2, ⑧⑦, 1, 8,Ａゴｰジャスガｰル, 63,田辺裕,, 61,* -4,   6, 1,  2.2,④⑥④, 1, 3,Ｉマユキ, 76,勝浦正,, 77,*  1,  15, 8, 20.5,①①①, 1,12,Ｆサクラゴスペル, 84,戸崎圭,, 88,   5,* 17, 7, 13.3, ⑩⑪
 2,16,Ａシゲルハダカマツリ, 59,吉田隼, 0.0, 53,*  3,  -5, 2,  4.8, ②②, 2, 7,Ｃスカｰレットデビル, 58,吉田隼, 0.1, 56,* -3,   0, 7, 29.8,②②②, 2,13,Ｌサンタクロｰチェ, 73,田中勝, 0.1, 79,*  0,  15,14,108.6,③③③, 2, 4,Ｇハクサンムｰン, 83,酒井学, 0.1, 87,* 11,   9, 1,  4.1, ①①
 3, 2,Ｅツクバインパクト, 56,柴田善, 0.1, 55,  -5,*  2, 4, 12.1, ⑪⑪, 3, 3,Ｊレッドアイヴァｰ, 44,田中勝, 0.2, 58,* -2,  -3, 6, 14.8,①①①, 3,10,Ｇメリｰウィドウ, 77,津村明, 0.3, 75,  -1,* 16,11, 31.6,⑤⑤⑤, 3,13,Ｂベステゲシェンク, 87,柴山雄, 0.2, 86,   4,* 15, 4,  7.1, ⑪⑨
 4, 5,Ｋディアルフト, 42,西田雄, 0.3, 54,  -5,  -1,13,126.6, ⑩⑨, 4,11,Ｂブレイクエｰス, 60,戸崎圭, 0.2, 58,  -5,   4, 2,  3.3,⑥⑦⑥, 4, 9,Ｊショウナンアズサ, 75,戸崎圭, 0.4, 73,*  0,  12, 1,  3.9,②②②, 4, 6,Ｌラインスピリット, 78,森一馬, 0.3, 86,* 11,   8,13, 36.2, ③③
 5,14,Ｂゼンザイ, 59,丸山元, 0.3, 54,   1,  -4, 7, 19.5, ④④, 5,13,Ｅラックアサイン, 56,蛯名正, 0.2, 60,  -7,*  7, 3,  7.5,⑧⑧⑨, 5, 7,Ｈアスカクイン, 77,吉田豊, 0.7, 72,  -2,  15, 4,  7.4,⑧⑨⑥, 5, 8,Ｋワキノブレイブ, 79,松岡正, 0.4, 84,   7,   9, 9, 20.9, ⑤⑥
 6, 4,Ｄセイウンアワｰド, 57,木幡初, 0.4, 52,  -2,  -5, 5, 13.0, ⑤⑤, 6, 6, ニシノカブケ,---,岩部純, 0.4, 59,  -8,* 10, 8, 40.0,⑭⑫⑫, 6, 2,Ａタプロｰム, 81,石川裕, 0.8, 72,  -2,  13, 7, 19.3,⑯⑧⑧, 6, 3,Ａリトルゲルダ, 88,丸田恭, 0.4, 83,*  9,   7, 2,  5.4, ②②
