15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月22日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,千葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:990円 3連複:14,820円 3連単:40,740円",,,,,,,,,,,,"馬単:22,790円 3連複:12,900円 3連単:182,260円",,,,,,,,,,,,"馬単:4,250円 3連複:1,980円 3連単:16,070円",,,,,,,,,,,,"馬単:11,350円 3連複:41,630円 3連単:207,820円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝2000m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｼﾞﾃﾚﾋﾞ賞ｽﾌﾟﾘﾝｸﾞｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａボルドネス, 67,横山典,, 62,*  9,*  2, 1,  2.6,④④①, 1, 2,Ｄウイングチップ, 59,田中勝,, 69,*  7,*  4, 2,  4.1,④③②, 1, 9,Ｋフェニｰチェ, 69,石川裕,, 83,  18,* -6, 9, 30.2,⑦⑥⑥, 1, 1,Ｂキタサンブラック, 81,北村宏,, 80,* -2,  15, 5, 12.3,②②②
 2, 4,Ｅシｰサイドジャズ, 61,戸崎圭, 0.7, 59,   8,* -3, 3,  3.5,⑬⑥③, 2, 7,Ｅヴァンガｰドシチｰ, 58,北村宏, 0.2, 65,*  9,  -3, 4,  4.9,①①①, 2, 2,Ｄリングネブラ, 71,川田将, 0.4, 79,* 20, -14, 4,  6.7,⑥④③, 2, 6,Ａリアルスティｰル, 81,福永祐, 0.0, 83,  -8,* 27, 1,  2.0,⑧⑧⑧
 3,16,Ｂサウンドジャンゴ, 62,福永祐, 0.9, 58,   8,  -4, 2,  3.2,⑤⑤②, 3,10,Ｃヤギリヴィｰナス, 59,松岡正, 0.3, 67,   6,*  4, 5,  7.9,⑧⑧⑤, 3,11,Ｉデルフィｰノ, 69,北村宏, 0.5, 79,  17,*-10, 3,  5.2,⑪⑩⑦, 3, 8,Ｄダノンプラチナ, 75,蛯名正, 0.1, 83,  -5,  21, 2,  3.5,⑥⑤⑥
 4, 9,Ｃロマンホｰプ, 62,柴田善, 1.3, 57,   6,* -2, 7, 32.0,⑫⑪⑥, 4, 9,Ａゴｰルデンハｰプ, 63,福永祐, 0.5, 63,   3,*  7, 1,  3.8,⑨⑩⑦, 4,12,Ｂレイヌドネｰジュ, 75,横山典, 0.7, 75,  14,* -7, 2,  4.1,⑫⑫⑩, 4, 3,Ｆベルｰフ, 73,川田将, 0.3, 80,  -6,  20, 3,  6.9,⑨⑥④
 5,14,Ｆトｰセンテレマｰク, 58,江田照, 2.2, 49,   6, -11, 9, 48.6,⑧⑨⑤, 5,16,Ｇタイタニウム, 53,蛯名正, 0.7, 62,*  8,  -4, 3,  4.9,⑥⑥④, 5, 8,Ｊヤヤラｰラ, 69,石橋脩, 0.9, 76,* 21, -24, 7, 19.1,③②①, 5,10,Ｇダノンメジャｰ, 70,バルジ, 0.4, 74,* -2,  10, 7, 32.7,⑤③③
 6,13,Ｇキングギムレット, 56,大庭和, 2.3, 51,   4,  -7, 6, 30.5,⑭⑭⑫, 6,15,Ｈキジャナ, 53,吉田豊, 0.9, 62,   3,   3,10, 67.0,⑭⑫⑪, 6,13,Ｌヴァンデミエｰル, 65,松岡正, 1.4, 72,  17, -21,13,206.7,⑩⑪⑪, 6, 5,Ｃブラックバゴ, 76,戸崎圭, 0.5, 80,  -9,  24, 4,  8.1,⑩⑪⑪
