15年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2890m 4歳上未勝利 定量,,,,,,,,,,,,■ 4R  芝3290m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
12, 8, テイエムロカビリｰ,,佐久間,198.6,,,,11, 96.5,⑪⑩⑪,12, 1, ドリｰムチャｰジ,,黒岩悠,221.2,,,,14, 95.1,⑭⑬⑫,12, 6,Ｍレディｰピンク, 63,古川吉, 1.3, 56,   1,  -5,12, 52.7, ⑥⑥,12, 3,Ｌレッドクラｰケン, 65,杉原誠, 1.7, 55,*  2, -19, 9, 21.1,①①①
13, 7, ラナキラリオ,,上野翔,198.6,,,, 9, 51.4,②④⑥,13,12, タイセイジｰニアス,,白浜雄,221.2,,,, 5, 14.4,⑦⑫⑬,13,10,Ｏプリンセスカナ, 55,津村明, 2.0, 48,  -6,  -6,15,194.5, ⑭⑭,13, 7,Ｉマイケルチョウサン, 68,吉田隼, 1.7, 57,  -2,  -9,13,112.8,⑥⑥⑥
14,11, メイショウキセキ,,田村太,213.0,,,,13,101.8,①⑭⑭,14,10, リアルブラック,,林満明,221.4,,,,11, 57.0,⑬⑭⑭,14,15,Ｆシゲルミマサカ, 67,国分恭, 2.0, 51,   2, -12, 7, 20.6, ④④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｌアルテミシア, 63,井上敏, 2.2, 47,  -7,  -7,13, 60.3, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:1,170円 複勝:02=420円 01=1,160円 04=250円 枠連:10,490円",,,,,,,,,,,,"単勝:240円 複勝:14=140円 07=490円 04=160円 枠連:2,100円",,,,,,,,,,,,単勝:390円 複勝:04=160円 03=160円 01=250円 枠連:440円,,,,,,,,,,,,単勝:730円 複勝:04=230円 11=450円 05=190円 枠連:980円,,,,,,,,,,,
"馬連:11,680円 ワイド:01-02=2,740円 02-04=880円 01-04=1,660円",,,,,,,,,,,,"馬連:4,110円 ワイド:07-14=1,360円 04-14=250円 04-07=1,790円",,,,,,,,,,,,"馬連:1,390円 ワイド:03-04=510円 01-04=1,100円 01-03=780円",,,,,,,,,,,,"馬連:4,930円 ワイド:04-11=1,630円 04-05=680円 05-11=1,480円",,,,,,,,,,,
"馬単:24,900円 3連複:16,550円 3連単:164,940円",,,,,,,,,,,,"馬単:7,030円 3連複:7,460円 3連単:39,660円",,,,,,,,,,,,"馬単:2,870円 3連複:3,470円 3連単:17,480円",,,,,,,,,,,,"馬単:10,400円 3連複:10,400円 3連単:73,160円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八海山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄマルイチウラノス, 55,高倉稜,, 65,*  2,   2, 5, 10.0,②②②, 1, 4,Ｅコｰトオブアｰムズ, 55,川須栄,, 66,* -2,   4, 5, 14.6,②②②, 1, 1,Ｃハｰストイｰグル, 73,勝浦正,, 80,* 13,   4, 2,  3.6,①①①, 1, 8,Ｂアｰスゼウス, 80,吉田隼,, 75,*  9,   3, 4,  8.6, ①①
 2, 4,Ｈフレンドリｰアロｰ, 45,丸田恭, 0.0, 64,   1,*  5, 8, 27.2,⑤④④, 2,12,Ａヒアカムズザサン, 65,オｰル, 0.3, 70,  -9,* 16, 1,  1.9,⑤⑤⑤, 2, 8,Ｅカレングラスジョｰ, 72,丸田恭, 0.0, 79,  10,*  8, 1,  3.5,⑥⑤⑤, 2,10,Ａウインヴォイジャｰ, 81,丹内祐, 0.5, 70,   3,   4, 2,  5.1, ⑥⑥
 3, 3,Ｂマイネルライヒ, 62,丹内祐, 0.3, 60,*  2,  -1, 2,  2.6,④③③, 3, 1,Ｇプラトンイミシャン, 53,勝浦正, 0.5, 72, -13,* 23, 7, 25.1,⑪⑪⑪, 3, 2,Ｊオｰルデフィｰト, 68,津村明, 0.7, 74,* 12,   1,12, 77.8,③③②, 3, 6,Ｍヒカルランナｰ, 71,長岡禎, 0.5, 69,  -4,* 11,14, 59.8, ⑭⑭
 4, 1,Ｅレイズユアハンズ, 55,オｰル, 0.4, 62,  -1,*  3, 7, 26.9,⑨⑦⑦, 4,10,Ｈオｰバｰスト, 48,宮崎北, 0.7, 64,  -7,   8,12, 94.1,④④④, 4, 5,Ａシップウ, 77,吉田隼, 1.0, 73,   9,   3, 3,  3.9,⑬⑪⑩, 4,13,Ｅアドマイヤシャドウ, 77,川須栄, 0.7, 69,   0,   5, 8, 15.6, ⑩⑨
 5, 7,Ａディｰエスレイザｰ, 63,勝浦正, 0.4, 62,   1,   1, 1,  2.4,⑥⑤⑤, 5, 3,Ｂマイネルリコルド, 61,丹内祐, 0.8, 51,*  6, -26, 4, 12.5,①①①, 5,13,Ｇリムショット, 71,黛弘人, 1.2, 74,   6,*  8,14,107.3,⑮⑮⑭, 5, 3,Ｎシャラク, 70,オｰル, 0.8, 67,*  6,  -1,12, 37.6, ②③
 6, 6,Ｆダンツエイカン, 54,義英真, 1.2, 56,  -1,  -4, 4,  9.9,③⑥⑥, 6,15,Ｃマツリダアンバタｰ, 56,国分恭, 0.9, 68, -11,* 15, 2,  3.9,⑨⑩⑧, 6,14,Ｎリアライズブラザｰ, 56,義英真, 1.9, 68,   8,  -2, 4, 10.9,⑭⑬⑫, 5,14,Ｈグレイスフルデイズ, 74,丸田恭, 0.8, 67,  -5,* 10, 5,  9.5, ⑮⑮
 7, 5,Ｉテンザリッチ, 28,丸山元, 1.9, 52,  -2,  -7, 9, 69.3,⑧⑨⑨, 7,11,Ｊサンディアタッチ, 47,西田雄, 1.3, 57,  -9,   2, 6, 21.4,⑦⑥⑥, 7, 3,Ｆカシノカｰム, 71,伊藤工, 1.9, 66,  10,  -5, 8, 36.0,⑩⑨⑧, 7, 2,Ｋナリタロック, 71,義英真, 0.8, 68,  -1,   6, 9, 20.7, ⑫⑫
 8, 8,Ｇサンバクスタｰ, 48,井上敏, 2.0, 51,  -1, -10, 3,  7.8,⑦⑧⑧, 8,13,Ｉベンガル, 48,伊藤工, 1.5, 57, -13,   8,10, 50.3,⑧⑨⑩, 8,11,Ｂシャトｰウインド, 74,松若風, 2.1, 67,* 12, -11, 7, 14.1,④④④, 8, 9,Ｃアクションバイオ, 79,松田大, 0.9, 67,   4,   0, 3,  5.2, ⑤⑤
 9, 2,Ｃスティｰルブルグ, 55,西田雄, 3.0, 44,*  3, -25, 6, 20.8,①①①, 9, 8,Ｆアコルダｰジュ, 53,木幡初, 1.6, 52,  -7,  -5, 8, 40.2,③③③, 9, 4,Ｏウォｰタｰポルトス, 49,高倉稜, 2.7, 64,   7,  -8,13, 78.2,⑧⑫⑬, 9, 1,Ｉマンリｰ, 73,黛弘人, 0.9, 67,  -1,   4,11, 31.2, ⑪⑪
,,,,,,,,,,,,10,14, クリスバロｰズ,---,吉田隼, 1.7, 53, -10,   1, 3,  7.3,⑩⑧⑦,10, 9,Ｄキョウワランサｰ, 72,国分恭, 2.8, 62,  11, -15, 5, 11.8,⑨⑦⑥,10, 7,Ｆファインスカイ, 77,鮫島良, 0.9, 67,   1,   2, 6, 10.0, ⑨⑧
,,,,,,,,,,,,11, 9,Ｋスイｰトカリヨン, 46,丸田恭, 1.8, 52, -11,   1,11, 59.6,⑥⑦⑨,11,10,Ｉセイントチャンス, 68,川須栄, 3.0, 62,  11, -17,10, 61.5,⑤⑥⑨,10,12,Ｄエムエムアリオｰン, 78,勝浦正, 0.9, 67,*  6,  -2, 1,  4.6, ③②
,,,,,,,,,,,,12, 6,Ｄキングギムレット, 56,大庭和, 1.8, 58, -14,   9, 9, 46.7,⑫⑫⑬,12,12,Ｋブレヴァン, 66,丸山元, 3.5, 56,  11, -21, 9, 38.1,⑪⑧⑦,12,15,Ｇレゼトワｰル, 74,藤懸貴, 1.1, 64,   5,  -3,13, 56.7, ④④
,,,,,,,,,,,,13,16, インタｰセプタｰ,---,荻野琢, 2.5, 47, -14,  -2,13,100.8,⑬⑬⑫,13,15,Ｈルスナイスナイパｰ, 70,松田大, 3.6, 57,   9, -19, 6, 13.1,⑦⑩⑪,13, 4,Ｌウエスタンソｰレ, 71,高倉稜, 1.2, 65,   2,  -1,10, 28.3, ⑦⑦
,,,,,,,,,,,,14, 5, スバル,---,高倉稜, 5.8, 19, -25, -23,15,151.6,⑮⑮⑮,14, 7,Ｍバイオレットムｰン, 62,岡田祥, 4.3, 52,* 12, -32,15,135.9,②②③,14, 5,Ｏスピｰディｰドｰタ, 70,花田大, 1.2, 64,  -3,   4,15, 67.6, ⑬⑬
,,,,,,,,,,,,15, 2, ダノンサプライズ,---,津村明, 6.1, 11, -20, -40,14,124.8,⑭⑭⑭,15, 6,Ｌアクシア, 64,野中悠, 5.9, 42,   6, -33,11, 67.5,⑫⑭⑮,15,11,Ｊプロファウンド, 72,井上敏, 2.6, 51,   2, -14, 7, 12.9, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-8),,,,,,,,,,,
"単勝:1,000円 複勝:09=230円 04=620円 03=130円 枠連:7,050円",,,,,,,,,,,,"単勝:1,460円 複勝:04=360円 12=110円 01=430円 枠連:560円",,,,,,,,,,,,単勝:360円 複勝:01=160円 08=160円 02=940円 枠連:630円,,,,,,,,,,,,"単勝:860円 複勝:08=290円 10=190円 06=1,180円 枠連:780円",,,,,,,,,,,
"馬連:13,240円 ワイド:04-09=2,700円 03-09=540円 03-04=990円",,,,,,,,,,,,"馬連:1,870円 ワイド:04-12=670円 01-04=3,310円 01-12=930円",,,,,,,,,,,,"馬連:780円 ワイド:01-08=350円 01-02=3,030円 02-08=3,340円",,,,,,,,,,,,"馬連:2,290円 ワイド:08-10=860円 06-08=6,250円 06-10=4,280円",,,,,,,,,,,
"馬単:20,570円 3連複:9,480円 3連単:84,760円",,,,,,,,,,,,"馬単:4,680円 3連複:8,440円 3連単:57,190円",,,,,,,,,,,,"馬単:1,730円 3連複:10,810円 3連単:46,350円",,,,,,,,,,,,"馬単:4,880円 3連複:39,630円 3連単:188,240円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石打特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｋラスパジャサｰダス, 45,井上敏,, 63,*  2,* -3, 6,  9.4, ②②, 1,15,Ｂオルティラアスｰル, 59,津村明,, 71,*  9,  -4, 2,  5.7,   , 1,12,Ｍプラチナブロンド, 62,丸田恭,, 70, -11,* 21, 2,  5.4, ⑮⑮, 1, 3,Ｃレネットグルｰヴ, 70,丸山元,, 82,  -4,* 18, 9, 17.3, ⑧⑦
 2, 1,Ｂカラッカゼ, 58,嶋田純, 0.6, 61,*  8, -13, 2,  5.0, ①①, 2,16, アｰスエンジェル,---,宮崎北, 0.0, 67,   3,*  0, 9, 18.4,   , 2, 6,Ａクリノコマチ, 69,西田雄, 0.0, 69,   4,   6, 3,  5.9, ⑤④, 2, 8,Ｂエインセル, 73,松田大, 0.2, 78,  -4,  13, 4,  7.2, ⑦⑧
 3, 4,Ａアポロフリュｰゲル, 66,杉原誠, 0.6, 55,   0,  -6, 3,  5.8, ④③, 3, 5,Ａセイウンデライラ, 59,勝浦正, 0.4, 55,  -7,*  1, 4,  6.5,   , 3, 7,Ｅトシストロング, 67,丸山元, 0.2, 66,   0,   7, 1,  3.4, ⑧⑧, 3, 4,Ｉレインボｰラヴラヴ, 67,津村明, 0.2, 77,* -3,  11, 5,  7.3, ⑤③
 4, 7,Ｌカムヒア, 45,平野優, 1.0, 51,  -4,  -6,11, 57.2, ⑦⑥, 4,14,Ｇサイレンスラヴ, 50,義英真, 0.6, 57,   3,  -8, 6, 10.1,   , 4, 5,Ｇケントヒｰロｰ, 67,松若風, 0.3, 65,   4,   2, 5,  9.8, ④⑤, 4, 5,Ｋスヴァラッシｰ, 66,オｰル, 0.3, 76,* -3,  10, 7, 15.9, ③④
 5, 9,Ｄセイウンアワｰド, 56,松若風, 1.1, 50,  -5,  -7, 1,  3.5, ⑨⑨, 5,10,Ｆハネムｰンソング, 51,オｰル, 0.7, 55,  -1,  -6, 3,  6.1,   , 5, 3,Ｉクラシックマｰク, 64,伊藤工, 0.5, 63, -15,* 19,12, 60.2, ⑯⑯, 5, 1,Ａリヴィエｰル, 74,杉原誠, 0.4, 77,  -6,* 14, 3,  6.8, ⑫⑩
 6, 2,Ｆタマモヴィオｰラ, 53,長岡禎, 1.2, 50,   0, -12, 9, 22.5, ③⑤, 6, 2,Ｈピュアリｰソリッド, 49,西田雄, 0.8, 57,*  7, -13, 7, 12.1,   , 6, 8,Ｂクｰルジョジョ, 68,勝浦正, 0.5, 63,  -7,  11, 8, 17.2, ⑭⑭, 6,13,Ｄバトルジェジェジェ, 70,勝浦正, 0.5, 77,  -7,* 16, 2,  5.7, ⑬⑬
 7,13,Ｅノラネコ, 56,中井裕, 1.3, 48,  -9,* -4, 4,  7.0, ⑭⑪, 7,11,Ｄメッサｰウイング, 53,国分恭, 0.9, 57,*  7, -14, 5,  7.6,   , 7, 9,Ｄマジカルビアンカ, 67,義英真, 0.5, 63,   0,   3,13, 63.7, ⑨⑨, 7,10,Ｊミラクルアスク, 66,吉田隼, 0.5, 75,  -6,  13, 8, 17.2, ⑩⑪
 8, 6,Ｎアンジェロビアンコ, 34,原田和, 1.8, 46,  -4, -12,10, 49.2, ⑧⑧, 8, 3,Ｋルｰルブルｰ, 43,吉田隼, 1.3, 44, -17,  -4,12, 41.1,   , 8,11,Ｋケｰジｰサクランボ, 63,津村明, 0.5, 63,  -2,   6,11, 53.4, ⑩⑪, 8, 6,Ｌキズナエンドレス, 65,丸田恭, 0.6, 72,  -4,   7, 6, 13.4, ⑥⑥
 9,10,Ｊティマイオス, 46,木幡初, 1.9, 41, -10,  -9, 8, 16.6, ⑫⑬, 9,13,Ｎラヴィｰダヴィｰ, 31,嶋田純, 1.3, 44,  -5, -11,15,172.7,   , 9, 4,Ｌメモリｰレｰン, 63,高倉稜, 0.5, 63,* 10,  -8, 6,  9.8, ①①, 9, 9,Ｎプラチナテｰラｰ, 58,宮崎北, 0.8, 68,* -2,   0,14,133.9, ②②
10,11,Ｉメイショウメブキ, 47,三津谷, 2.1, 40,  -9, -12,14,211.5, ⑬⑭,10, 7,Ｉハイピュアリティ, 49,黛弘人, 1.3, 43,  -9,  -9,10, 21.4,   ,10,10,Ｏノｰブルサイレンス, 58,井上敏, 0.6, 61,  -8,   9,16,187.9, ⑬⑬,10, 2,Ｈエイシンノｰティス, 67,松若風, 0.9, 66,* -2,  -2, 1,  4.2, ①①
11,14,Ｇセルリアンセレｰノ, 52,藤懸貴, 2.2, 41,   0, -21, 5,  9.3, ⑤④,11, 4,Ｃマテルドロロｰザ, 58,野中悠, 1.4, 42,  -5, -13,11, 25.8,   ,11,16,Ｃクラウドチェンバｰ, 67,吉田隼, 0.6, 61,   1,   0, 4,  7.4, ⑥⑥,11, 7,Ｅロゼラニ, 70,高倉稜, 0.9, 72,  -6,   7,10, 18.3, ⑨⑨
12, 8,Ｈウニヴェルソ, 47,小野寺, 2.2, 40,  -9, -13,12,105.9, ⑪⑩,12, 9,Ｅワンダｰグロワｰル, 53,丸田恭, 1.5, 46,   5, -22, 1,  5.7,   ,12,13,Ｐジョｰヌダンブル, 57,長岡禎, 0.7, 60,*  9,  -9,15, 95.6, ②②,12,12,Ｆヤマニンアリエッタ, 69,古川吉, 0.9, 67,* -3,  -1,11, 20.6, ④⑤
13,12,Ｍヨイチフレｰム, 41,野中悠, 2.2, 40,  -6, -16,13,195.0, ⑩⑫,13,12,Ｌオウケンチョコ, 42,井上敏, 1.6, 40,  -1, -19, 8, 17.0,   ,13,15,Ｈハｰマンミュｰト, 64,中井裕, 0.7, 61,  -2,   2,10, 39.7, ⑪⑩,13,11,Ｍスイｰトクラウン, 62,西田雄, 1.1, 70, -10,  11,13,112.0, ⑭⑭
14,15,Ｃショｰピｰス, 57,義英真, 2.5, 40,  -2, -21, 7, 12.7, ⑥⑦,14, 8, リｰジュ,---,丸山元, 1.6, 42, -21,  -5,14, 60.5,   ,14, 2,Ｆレッドルシアン, 67,木幡初, 1.2, 54,  -5,  -1, 7, 12.7, ⑫⑫,14,14,Ｇレッドカチュｰシャ, 67,中谷雄, 1.8, 58,  -6,  -6,12, 21.6, ⑪⑫
15, 3,Ｏカシノプルミエ, 34,花田大, 3.1, 33, -16, -13,15,313.9, ⑮⑮,15, 6,Ｍマニワプリンセス, 42,杉原誠, 1.7, 37,  -6, -16,13, 43.0,   ,15, 1,Ｊドリｰムマｰクス, 63,杉原誠, 1.5, 50,   0, -10, 9, 32.5, ⑦⑦,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｊガンダルヴァ, 45,伊藤工, 7.3,-71, -37, -71,16,184.7,   ,16,14,Ｎジャストザオネスト, 61,川須栄, 1.6, 48,*  8, -19,14, 67.0, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:940円 複勝:05=240円 01=180円 04=200円 枠連:1,120円",,,,,,,,,,,,"単勝:570円 複勝:15=180円 16=460円 05=210円 枠連:4,150円",,,,,,,,,,,,"単勝:540円 複勝:12=200円 06=180円 07=150円 枠連:1,190円",,,,,,,,,,,,"単勝:1,730円 複勝:03=500円 08=260円 04=220円 枠連:1,170円",,,,,,,,,,,
