15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2500m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,迎春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 3,Ａカズノネネヒメ, 58,田辺裕, 0.2, 57,   2,*-11, 3,  6.4,⑩⑥③, 2, 7,Ｉジャストフォｰユｰ, 39,田辺裕, 0.3, 51,*  8, -16, 7, 43.9,①①①, 2,16,Ｋショウナンアズサ, 73,ブノワ, 0.0, 75,*  7,   5, 6, 14.7,②②②, 2,15,Ｄロｰデッド, 66,戸崎圭, 0.1, 69,  -2,   2, 8, 19.1,⑮⑤⑦
 3,12,Ｂゲルズ, 58,横山和, 0.7, 55,   2, -17, 4,  6.7,⑨⑤①, 3,11,Ｂボンボンキャスト, 59,北村宏, 0.5, 50,   5, -14, 1,  2.7,⑨⑤⑤, 3, 7,Ｅタプロｰム, 76,石川裕, 0.1, 74,*  7,   4,16, 95.0,⑯③①, 3, 1,Ｃテンダリｰヴォイス, 67,北村宏, 0.2, 73,  -6,*  8, 3,  6.4,⑥⑪⑧
 4,13,Ｃテップシｰ, 57,内田博, 1.1, 50,   1, -17, 8, 30.3,⑮⑨④, 4, 8,Ｋロジダｰリング, 39,大野拓, 0.9, 46,  -6,*  0, 6, 27.4,⑮⑭⑭, 4, 8,Ｆアスカクイン, 76,吉田豊, 0.2, 73,   3,* 11, 5, 11.8,⑭⑯⑭, 4, 2,Ｊコｰトシャルマン, 62,デムｰ, 0.2, 69,  -4,   3, 2,  4.2,⑦⑦④
 5, 1,Ｏアモｰレエテルノ, 41,北村宏, 1.5, 49,  -3,*-13, 6, 11.1,⑭⑯⑭, 5, 3,Ａリュウノｰスジョイ, 60,蛯名正, 1.0, 45,   2, -16, 4,  6.3,⑪⑩⑩, 5, 5,Ｄベルフィオｰレ, 80,戸崎圭, 0.2, 75,   5,*  9, 1,  2.8,⑨⑧⑧, 5,14,Ｈメイショウメイゲツ, 64,蛯名正, 0.3, 71,  -6,*  6, 7, 14.7,⑫⑭⑮
 6, 8,Ｆスマｰトガｰル, 49,ブノワ, 1.5, 48,  -1, -17, 9, 61.4,⑯⑫⑧, 6,12,Ｎキョウワクラウド, 34,吉田豊, 1.0, 45,   2, -16,11,191.7,⑩⑪⑪, 6,15,Ｊデルマハンニャ, 73,柴田大, 0.4, 75,   6,   4,13, 68.9,⑤⑥⑤, 6,13,Ｇアドマイヤピンク, 64,丸山元, 0.4, 65,  -4,   0, 9, 22.0,⑭⑩⑪
 7,14,Ｅレディゴｰラウンド, 52,柴山雄, 1.5, 45,*  3, -24, 5,  8.2,③③②, 7, 5,Ｆマイネルクレイモア, 42,柴田大, 1.0, 45,   3, -18, 3,  5.9,⑧⑨⑨, 7, 2,Ｂメリｰウィドウ, 80,津村明, 0.6, 73,   4,   6, 3,  6.2,⑧⑪⑪, 7,16,Ｌトｰセンラｰク, 58,吉田隼, 0.4, 62,  -2,  -3, 6, 13.7,⑤④⑥
 8, 2,Ｌテイクミｰホｰム, 45,蛯名正, 2.2, 44,   0, -25, 2,  6.4,⑫⑩⑦, 8, 6,Ｏバトルトリｰプ, 31,石川裕, 1.1, 42,   5, -21,13,222.9,④⑥⑥, 8, 3,Ｎショウリノウタゲ, 72,三浦皇, 0.7, 72,   3,   6,12, 66.9,⑫⑬⑬, 8,10,Ａカｰビングパス, 69,柴山雄, 0.4, 66,  -2,  -1, 1,  4.0,⑨⑧⑤
 9,11,Ｇグラスエンプレス, 47,吉田隼, 2.3, 40,  -2, -22,15,282.3,⑬⑭⑫, 9, 1,Ｇワインシャワｰ, 42,梶晃啓, 1.2, 40,*  6, -27, 5, 12.5,②②②, 9, 1,Ｉマキノクィｰン, 73,蛯名正, 1.3, 68,   3,   2,10, 28.4,⑬⑮⑮, 9, 9,Ｍエヴァンジル, 53,田辺裕, 0.6, 67,  -8,*  6, 5,  9.3,⑯⑮⑭
10,10,Ｍサンセドナ, 44,井上敏, 2.3, 43,   1, -28,12,222.0,⑤⑦⑩,10, 4,Ｄクリノテツマン, 54,丸田恭, 1.3, 39,*  6, -27, 9, 70.2,③③③,10, 6,Ａウルティマミュｰズ, 80,北村友, 1.3, 67,   5,  -1, 4,  9.2,⑪⑩⑥,10,12,Ｉギンザヴィクトリア, 63,勝浦正, 0.6, 64,  -3,  -2,13, 59.2,⑩⑨⑩
11,15,Ｋデルマゴシンゾサン, 45,長岡禎, 2.6, 42,   2, -29,16,337.3,⑥⑧⑪,11,10,Ｌカラマンシｰ, 37,石橋脩, 1.5, 40,   5, -27,14,240.0,⑥⑦⑧,11,12,Ｇリサプシュケ, 74,吉田隼, 1.4, 64,   4,  -3, 9, 27.1,⑩⑨⑯,11, 7,Ｂハナズプルメリア, 67,三浦皇, 0.7, 64,  -4,  -1,14, 98.0,⑧⑫⑨
12, 7,Ｐナンヨｰチｰク, 38,柴田善, 3.5, 33,  -2, -33,11,170.7,⑪⑪⑬,12, 9,Ｅデスドロップ, 46,勝浦正, 1.8, 36,*  7, -33,10,170.7,⑤④④,12,10,Ｐシャドウライフ, 68,デムｰ, 1.5, 66,   4,  -2,11, 29.9,⑮⑫⑨,12, 6,Ｅオｰミアリス, 66,北村友, 0.9, 57,* -1, -11, 4,  6.9,②②②
13, 9,Ｎカズノマンナ, 42,石橋脩, 3.9, 34,*  3, -45, 7, 15.0,②②⑤,13, 2,Ｍゼｰレ, 37,村田一, 2.0, 33,  -2, -22, 8, 51.4,⑭⑬⑫,13,11,Ｈファイトユアソング, 74,黛弘人, 1.9, 67,   5,  -5,15, 81.8,④⑦⑦,13,11,Ｋナイアガラモンロｰ, 61,大野拓, 1.2, 54,* -1, -16,15,124.6,③③③
14,16,Ｊキタサンアカツキ, 45,三浦皇, 5.8, 28,*  3, -60,10, 95.7,①①⑨,14,14,Ｈゴｰルデンコリｰダ, 40,嘉藤貴, 3.1, 21,  -1, -41,12,205.8,⑫⑫⑬,14,14,Ｌスタｰライラック, 72,内田博, 3.0, 56,*  6, -19,14, 80.8,③④⑫,14, 8,Ｐマラケシュ, 51,ブノワ, 1.4, 53,  -5, -11,12, 43.7,⑪⑬⑬
15, 6,Ｉヨイチフレｰム, 47,江田照, 6.5, 22,  -3, -54,14,268.3,⑦⑮⑯,15,13,Ｊツクバカンタｰレ, 39,柴山雄, 5.5,-13,  -8, -64,15,323.6,⑦⑮⑮,15, 4,Ｍラブユｰ, 72,大野拓, 4.1, 50,   3, -21, 8, 22.9,⑦⑭⑩,15, 3,Ｏヤマタケマツリ, 51,田中勝, 3.2, 34,  -4, -40,16,149.7,④⑥⑫
16, 5,Ｈトレイケイトカフェ, 47,二本柳, 6.9, 10,  -1, -60,13,230.4,⑧⑬⑮,,,,,,,,,,,,,16, 9,Ｏニシノシュロ, 71,田辺裕, 4.3, 48,*  7, -31, 7, 15.7,①①③,16, 5,Ｎトラストレイカ, 52,横山典, 3.8, 26, -11, -37,10, 31.1,⑬⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-21 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,
単勝:230円 複勝:04=110円 03=140円 12=140円 枠連:720円,,,,,,,,,,,,"単勝:280円 複勝:15=120円 07=620円 11=120円 枠連:4,920円",,,,,,,,,,,,"単勝:500円 複勝:13=230円 16=390円 07=1,740円 枠連:2,450円",,,,,,,,,,,,"単勝:3,490円 複勝:04=720円 15=600円 01=260円 枠連:10,350円",,,,,,,,,,,
馬連:710円 ワイド:03-04=270円 04-12=280円 03-12=480円,,,,,,,,,,,,"馬連:6,970円 ワイド:07-15=1,860円 11-15=180円 07-11=1,300円",,,,,,,,,,,,"馬連:3,340円 ワイド:13-16=1,180円 07-13=6,980円 07-16=18,250円",,,,,,,,,,,,"馬連:32,220円 ワイド:04-15=7,640円 01-04=2,730円 01-15=1,850円",,,,,,,,,,,
"馬単:1,040円 3連複:1,170円 3連単:3,720円",,,,,,,,,,,,"馬単:7,590円 3連複:3,720円 3連単:23,780円",,,,,,,,,,,,"馬単:5,470円 3連複:138,820円 3連単:568,340円",,,,,,,,,,,,"馬単:68,300円 3連複:53,320円 3連単:482,170円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,頌春賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂワンボｰイ, 62,田中勝,, 63,*  0,* -1, 2,  4.4,②②①, 1, 9,Ｈアカノジュウハチ, 69,田中勝,, 77,   9,*  6, 5,  8.1,⑦⑤⑤, 1, 9,Ｄサルバドｰルハクイ, 79,戸崎圭,, 77,   4,* 12, 2,  5.2, ⑫⑩, 1,16,Ｐハツガツオ, 56,武士沢,, 79,* -3,  10,15, 75.7,①①①
