15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 6,Ｎオルナ, 44,デムｰ, 0.3, 66,*  2,  -1, 3,  5.3,②②②, 2, 8,Ｃレｰゲンヴァルト, 60,デムｰ, 0.2, 65,   3,  -5, 2,  4.4, ⑦⑧, 2, 9,Ｇスズカブリザｰド, 68,太宰啓, 0.1, 71,  -8,* 16,13,123.0, ⑧⑥, 2,12,Ｈゴｰルデンナンバｰ, 84,秋山真, 0.0, 97,   0,* 27,15, 90.0, ⑯⑯
 3,16,Ｆワｰルドリｰスタｰ, 60,岩田康, 0.4, 65,   1,   0, 4,  6.2,⑨⑤⑤, 3,15,Ｅワンダｰアツレッタ, 59,岩崎翼, 0.2, 65,*  7, -13,12, 82.7, ②②, 3, 2,Ｃプラネットスコア, 71,北村友, 0.4, 68, -10,* 16, 2,  4.2, ⑨⑨, 3, 2,Ｃパワｰスポット, 87,大野拓, 0.1, 96,   2,* 23, 8, 21.0, ⑬⑫
 4,15,Ｇシゲルホウネンサイ, 59,後藤浩, 0.5, 63,   0,   0, 8, 24.1,⑦⑦⑧, 4,13,Ｉミスズダンディｰ, 53,北村友, 0.4, 65,   0,* -1,13, 96.4, ⑮⑬, 4, 5,Ａストｰムジャガｰ, 76,浜中俊, 0.5, 68,   2,   3, 1,  2.5, ④③, 4, 3,Ｆマコトブリジャｰル, 84,四位洋, 0.1, 95,   5,  18,13, 77.4, ⑥⑤
 5, 2,Ｂアドマイヤリバティ, 64,小牧太, 0.5, 64,   1,  -2, 1,  2.9,④④④, 5,11,Ｈメルドオｰル, 54,四位洋, 0.5, 64,   5, -11, 8, 45.8, ⑧⑤, 5,13,Ｈボストンビリｰヴ, 68,義英真, 0.6, 65,  -7,  10,11, 82.8, ⑦⑧, 5,14,Ｂウリウリ, 88,福永祐, 0.3, 89,   5,  14, 1,  3.3, ⑦⑧
 6, 1,Ｃキングカヌヌ, 63,和田竜, 0.6, 66,   0,   0, 6,  9.5,⑥⑨⑥, 6, 9,Ｍウイングジャパン, 47,幸英明, 0.5, 63,   1,  -5, 9, 56.1, ⑩⑪, 6, 7,Ｅビバハイタッチ, 69,国分恭, 0.6, 66, -14,* 17, 6, 17.9, ⑬⑬, 6, 8,Ａキャトルフィｰユ, 89,バルジ, 0.4, 91,   3,  16, 2,  4.5, ⑪⑪
 7, 7,Ｅサウンドクラフト, 60,北村友, 0.7, 63,   0,   1, 7, 18.7,⑩⑪⑨, 7,12,Ｆスペリオルラスタｰ, 59,福永祐, 0.9, 57,   3, -15, 4, 15.0, ⑥⑦, 7, 3,Ｎヴェアリアスサマｰ, 59,後藤浩, 0.8, 63,*  5,  -3,12, 88.3, ①①, 7, 4,Ｅダンスアミｰガ, 85,デムｰ, 0.7, 86,   5,  10, 3,  5.6, ⑧⑦
 8, 3,Ａショウナンラクティ, 65,川田将, 1.4, 58,*  3, -13, 5,  8.7,①①①, 8, 4,Ｊシビックハｰト, 53,高倉稜, 1.4, 56,   1, -15,11, 76.2, ⑫⑫, 8,11,Ｂマｰシレス, 74,藤田伸, 0.9, 64,   3,  -1, 3,  4.6, ③④, 8, 9,Ｌウイングドウィｰル, 81,伊藤工, 0.7, 83,*  9,   3,17,172.2, ③④
 9,11,Ｄデブリン, 61,武豊  , 1.7, 55,   0, -11, 2,  5.2,⑤⑥⑦, 9, 3,Ｇサウンドギャツビｰ, 57,秋山真, 1.4, 51,   4, -26, 7, 39.3, ④⑥, 9, 6,Ｍナガラブルボン, 59,四位洋, 0.9, 67, -12,  13, 5, 16.4, ⑪⑪, 9, 1,Ｉメイショウスザンナ, 83,丸田恭, 0.8, 84,   3,  10,11, 60.1, ⑩⑨
10, 4,Ｊウインオベロン, 56,バルジ, 1.8, 56,   0,  -9,10, 84.0,⑧⑩⑫,10, 2,Ｋキャストアスペル, 52,武豊  , 1.4, 53,*  6, -27, 5, 19.9, ③③,10,10,Ｄレアヴェントゥｰレ, 70,岩田康, 1.0, 62,  -1,   1, 4,  8.9, ⑤⑤,10, 7,Ｋベルルミエｰル, 82,川島信, 1.0, 84,   0,  13, 4,  9.2, ⑮⑮
11,14,Ｉカシノサクセス, 57,藤田伸, 2.0, 54,*  2, -16,11,137.6,③③③,11, 5,Ｄスマｰトガイア, 60,浜中俊, 1.6, 51,   2, -23, 3, 10.3, ⑨⑩,11, 1,Ｉマｰセブナカヤマ, 66,伊藤工, 1.1, 61, -13,  12, 8, 25.5, ⑫⑫,11,11,Ｑフォｰエバｰモア, 73,蛯名正, 1.0, 81,   6,   1, 5,  9.5, ⑤⑥
12, 5,Ｍメイショウヒコザ, 48,太宰啓, 2.2, 55,  -4,  -6,12,157.1,⑭⑬⑭,12, 6,Ｂエイシンサブウェイ, 64,和田竜, 1.8, 49,   4, -31, 6, 20.0, ⑤④,12, 4,Ｆサｰシスリｰフ, 69,岩崎翼, 1.9, 54,*  4, -13,10, 36.6, ②②,12,10,Ｍリアルヴィｰナス, 79,浜中俊, 1.0, 84,  -1,  14,16,128.9, ⑰⑰
13,10,Ｐロｰランレｰヴ, 40,酒井学, 2.3, 55,  -4,  -6,14,280.2,⑬⑭⑬,13,14,Ｎワイルドモンスタｰ, 45,蛯名正, 1.8, 52,  -7,  -7,15,174.1, ⑯⑯,13,12,Ｌアｰネストミノル, 61,藤岡佑, 2.0, 53, -16,   7,14,132.9, ⑭⑭,13,15,Ｒシャイニｰガｰル, 70,幸英明, 1.0, 78,*  9,  -3,14, 81.2, ②②
14, 8,Ｌエルブダムｰル, 50,幸英明, 2.5, 51,   0, -17,13,191.3,⑪⑧⑪,14,10,Ｏノミネｰション, 43,藤岡佑, 2.3, 44,*  9, -47,10, 59.0, ①①,14,14,Ｊショウナンサンタ, 66,福永祐, 2.1, 53, -11,   1, 7, 23.6, ⑩⑩,14,17,Ｐクッカｰニャ, 77,酒井学, 1.2, 77,*  9,  -5,18,279.1, ④③
,,,,,,,,,,,,15, 7,Ｐシゲルドンタク, 34,義英真, 2.3, 44,  -3, -24,16,299.7, ⑭⑮,,,,,,,,,,,,,15,16,Ｄアロマティコ, 87,松山弘, 1.2, 84,  -2,  13, 6, 13.4, ⑱⑱
,,,,,,,,,,,,16, 1,Ｌソチ, 47,国分恭, 2.6, 43,  -1, -31,14, 99.5, ⑬⑭,,,,,,,,,,,,,16, 6,Ｎレｰヴデトワｰル, 77,川田将, 1.3, 78,   5,   1, 7, 14.9, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｏトｰセンベニザクラ, 77,武豊  , 1.3, 80,   0,   7,12, 64.1, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｇレイカｰラ, 84,岩田康, 1.6, 74,   2,   0,10, 42.4, ⑫⑬
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,
"単勝:32,230円 複勝:09=5,630円 06=230円 16=230円 枠連:21,360円",,,,,,,,,,,,単勝:150円 複勝:16=110円 08=150円 15=820円 枠連:430円,,,,,,,,,,,,"単勝:2,930円 複勝:08=760円 09=1,840円 02=170円 枠連:3,080円",,,,,,,,,,,,"単勝:2,360円 複勝:13=660円 12=2,180円 02=590円 枠連:1,740円",,,,,,,,,,,
"馬連:54,560円 ワイド:06-09=14,780円 09-16=18,840円 06-16=950円",,,,,,,,,,,,"馬連:400円 ワイド:08-16=200円 15-16=1,540円 08-15=2,780円",,,,,,,,,,,,"馬連:99,970円 ワイド:08-09=19,610円 02-08=2,460円 02-09=3,910円",,,,,,,,,,,,"馬連:86,460円 ワイド:12-13=22,850円 02-13=5,360円 02-12=13,710円",,,,,,,,,,,
"馬単:151,210円 3連複:160,750円 3連単:1,413,460円",,,,,,,,,,,,"馬単:590円 3連複:5,690円 3連単:12,770円",,,,,,,,,,,,"馬単:147,760円 3連複:131,760円 3連単:1,132,200円",,,,,,,,,,,,"馬単:141,900円 3連複:451,980円 3連単:2,865,560円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1400m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1200m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,花見小路特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
