15年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
12,12,Ｆイｰジスヒラリｰ, 49,伴啓太, 3.3, 42,  -3, -19, 8, 33.2, ⑬⑭,12, 6, シゲルアオイマツリ,,黒岩悠,208.6,,,,13,101.2,⑩⑬⑬,12, 8,Ｈダイワプロパｰ, 71,川須栄, 0.9, 65,   6,  -4, 8, 14.8, ⑥⑤,12,10,Ｅアルマククナ, 63,勝浦正, 1.2, 61, -13,   5,10, 38.1, ⑱⑱
13,15,Ｏカシノネイマｰル, 42,草野太, 3.4, 41,  -2, -20,16,305.7, ⑫⑪,13, 1, ワンパクチョウサン,,高野和,213.7,,,,10, 53.6,⑨⑪⑫,13, 6,Ｌウインソワレ, 68,松山弘, 0.9, 66,   6,  -4, 9, 15.3, ⑤④,13, 8,Ｋオフクヒメ, 52,中谷雄, 1.3, 57,  -8,  -4,12, 57.8, ⑨⑪
14, 8,Ｍディアシェダル, 44,中谷雄, 3.7, 41,   3, -28,13,205.1, ④⑤,,,,,,,,,,,,,14,14,Ｇコスモラパン, 72,黛弘人, 1.1, 65,*  8,  -7,13, 39.1, ④③,14,13, ダイアモンドノｰム,---,黛弘人, 1.5, 54,* -4, -10,18,304.9, ③④
15,14,Ｈタイキカイザｰ, 49,鮫島克, 4.4, 33,  -2, -30,12,145.4, ⑩⑮,,,,,,,,,,,,,15,11,Ｒワンダｰエタｰナル, 35,藤懸貴, 1.4, 62,   4,  -8,18,613.7, ⑦⑧,15,15,Ｍゼットフｰリ, 47,高倉稜, 1.7, 51,  -7, -11,14,107.8, ⑥⑦
16, 3,Ｎレシタルウォｰス, 43,丸山元, 4.5, 33,   0, -32,15,278.0, ⑧⑨,,,,,,,,,,,,,16,18,Ｍユヅルノオンガエシ, 63,的場勇, 1.5, 59,* 10, -17,14, 74.1, ①①,16, 5,Ｌタイセイマライカ, 51,義英真, 1.7, 52,  -8,  -8,15,201.0, ⑫⑨
,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｐマイティディｰバ, 48,酒井学, 1.5, 59,   6, -11,15,134.1, ③⑥,17, 2, プリンセスセイコ,---,柿原翔, 2.5, 41,  -6, -22,16,273.3, ⑧⑤
,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｑプロタゴニスト, 45,中谷雄, 2.0, 59, -11,   7,17,346.2, ⑱⑱,18,18,Ｏメイショウベニフジ, 47,中井裕, 2.8, 39,  -7, -24,13, 75.2, ⑦⑧
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:730円 複勝:07=190円 06=110円 10=130円 枠連:880円,,,,,,,,,,,,"単勝:400円 複勝:10=180円 11=180円 04=640円 枠連:1,070円",,,,,,,,,,,,"単勝:760円 複勝:17=240円 16=530円 12=430円 枠連:5,060円",,,,,,,,,,,,"単勝:270円 複勝:16=150円 01=540円 12=4,060円 枠連:2,820円",,,,,,,,,,,
"馬連:1,110円 ワイド:06-07=350円 07-10=520円 06-10=210円",,,,,,,,,,,,"馬連:1,020円 ワイド:10-11=450円 04-10=2,480円 04-11=3,320円",,,,,,,,,,,,"馬連:7,000円 ワイド:16-17=2,150円 12-17=2,110円 12-16=3,710円",,,,,,,,,,,,"馬連:5,320円 ワイド:01-16=1,680円 12-16=11,370円 01-12=40,340円",,,,,,,,,,,
"馬単:2,590円 3連複:1,230円 3連単:9,510円",,,,,,,,,,,,"馬単:2,140円 3連複:12,360円 3連単:50,090円",,,,,,,,,,,,"馬単:12,740円 3連複:30,340円 3連単:169,770円",,,,,,,,,,,,"馬単:6,780円 3連複:278,080円 3連単:773,730円",,,,,,,,,,,
■ 2R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,中京日経賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂラフェットデメｰル, 72,鮫島克,, 73,   3,*  7, 1,  2.6,⑦⑥⑤, 1, 8, ステイチュｰン,---,藤岡康,, 66,   1,*  3, 3,  4.8,⑨⑧⑥, 1, 1,Ｋスズカビスタ, 72,城戸義,, 80,  18,  -8, 7, 13.2,⑦⑥⑥, 1,16,Ｇヴィルジニア, 79,北村友,, 78, -12,  19, 5, 11.7,⑤⑥⑥
 2, 7,Ｇパパラヴズマンボ, 69,黛弘人, 0.4, 70,   3,   6, 8, 27.1,⑤⑨⑧, 2, 2, スズカミラｰジュ,---,中谷雄, 0.5, 63,   2,* -1, 8, 29.7,④⑤⑤, 2,15,Ｊウインレｰベン, 72,加藤祥, 0.2, 77,* 22, -22, 4,  7.9,①①①, 2,12,Ｄフェルメッツァ, 80,石橋脩, 0.0, 80, -13,* 20, 2,  5.0,⑦⑦⑦
 3, 6,Ａセレッソレアル, 73,岩崎翼, 0.6, 69,   1,   6, 2,  4.4,⑭⑫⑭, 3,10, ショｰクｰル,---,加藤祥, 0.6, 61,*  4,  -8, 1,  2.4,①①①, 3, 4,Ａスズカステイボｰイ, 76,中井裕, 0.6, 77,* 20, -19, 3,  7.7,③④④, 3, 3,Ｅメイクアップ, 80,アッゼ, 0.2, 77, -14,* 20, 1,  3.7,⑨⑨⑨
 4,14,Ｄシｰムストレス, 71,高倉稜, 0.7, 70,   2,   4, 6, 16.5,⑬⑪⑩, 4, 5, クラウンヴォルカン,---,松山弘, 1.2, 58,   3, -10, 2,  3.9,③③③, 4,10,Ｇマイネルフレスコ, 73,小野寺, 0.6, 74,* 21, -24,11, 44.1,④③②, 4, 5,Ｆアルテ, 79,藤岡康, 0.2, 72,* -6,   7, 3,  6.7,①①①
 5, 9,Ｐイトハユリ, 49,加藤祥, 0.8, 68,  -3,* 11,10, 42.7,⑯⑯⑯, 5, 7, トウショウコマンチ,---,古川吉, 1.3, 57,*  4, -13,10, 62.2,②②②, 5,12,Ｈジャングルスコｰル, 73,杉原誠, 0.7, 75,  12,* -1, 5,  8.6,⑰⑯⑭, 5, 9,Ｃカシノピカチュウ, 80,川須栄, 0.3, 76, -15,  19, 8, 15.8,⑩⑩⑩
 6, 8,Ｅクロカミノオトメ, 70,松山弘, 0.8, 68,   0,*  7, 4,  8.0,⑫⑭⑬, 6, 6, スパイクサｰブ,---,丸山元, 2.4, 50,   3, -20, 7, 21.1,⑧④④, 6, 9,Ｉサｰストンコラルド, 73,原田和, 0.8, 73,  13,  -6, 6, 12.2,⑮⑮⑫, 6, 7,Ｐシンボリタピット, 68,村田一, 0.4, 71,* -9,   7,11, 29.7,②②②
 7,10,Ｍサンマルメジャｰル, 62,菱田裕, 0.8, 66,*  5,  -3, 9, 41.3,①①①, 7, 9, サンマルクラウン,---,義英真, 3.6, 44,  -2, -20, 6, 19.1,⑩⑩⑩, 7, 8,Ｂレジメンタル, 75,鮫島克, 0.8, 73,  14,  -9, 1,  3.6,⑭⑩⑩, 7, 8,Ｈゴットラウディｰ, 77,古川吉, 0.4, 71, -10,  10,10, 27.3,⑥⑤③
 8, 2,Ｆガロファノ, 70,藤岡康, 1.0, 65,   3,   0, 3,  5.8,④⑧⑦, 8, 1, テイエムインプレス,---,国分恭, 4.3, 40,   0, -29, 9, 39.6,⑥⑨⑨, 8,16,Ｆウインステｰジ, 73,伴啓太, 0.8, 76,  15,  -7,12, 58.2,⑱⑭⑪, 8, 2,Ｌハッピｰベリンダ, 75,横山和, 0.6, 72, -16,  17,12, 33.8,⑫⑪⑫
 9,13,Ｈシニョリｰナ, 68,勝浦正, 1.4, 61,   3,  -6,11, 51.6,③④④, 9, 3, ウォｰタｰワンダｰ,---,菱田裕, 4.3, 39,   1, -34, 4,  8.0,⑤⑦⑦, 9,11,Ｃオウケンブラック, 74,岩崎翼, 0.8, 73,* 21, -28, 2,  4.6,②②③, 9,14,Ａマダムジルウェット, 83,勝浦正, 0.6, 76, -20,* 24, 7, 14.0,⑮⑯⑯
10,11,Ｌアスタキサンチン, 64,城戸義, 1.8, 59,*  4, -11, 5, 11.9,②②②,10, 4, ペプチドヴィｰナス,---,畑端省, 5.4, 33,   2, -42, 5, 11.2,⑦⑥⑧,10,14,Ｌマスタｰプラマｰ, 69,横山和, 0.9, 72,  16, -15,14, 71.9,⑫⑨⑨,10, 4,Ｊアドマイヤライン, 76,丸山元, 0.7, 70, -13,  12, 4,  7.2,⑧⑧⑧
11,16,Ｎレディゴｰラウンド, 61,宮崎北, 1.8, 59,*  4, -11,13, 74.8,⑥③③,,,,,,,,,,,,,11,18,Ｅクリｰルハヤテ, 74,藤懸貴, 0.9, 75,* 19, -24, 9, 17.1,⑤⑤⑤,11, 1,Ｎボｰルドジャパン, 70,中谷雄, 0.7, 71, -12,   8,13, 57.7,④④⑤
12,15,Ｃノｰブルガイア, 71,石橋脩, 1.8, 60,   4,  -8, 7, 20.4,⑩⑦⑨,,,,,,,,,,,,,12, 5,Ｍナンヨｰテンプル, 68,森一馬, 1.0, 72,   9,*  2,10, 42.6,⑬⑰⑯,12, 6,Ｉタガノエンブレム, 76,菱田裕, 0.9, 69, -16,  13, 6, 12.4,⑬⑫⑬
13, 1,Ｋカノンブルｰ, 65,伴啓太, 2.1, 61,  -2,  -1,14, 83.7,⑪⑮⑮,,,,,,,,,,,,,13, 7,Ｐダンツカペラ, 64,義英真, 1.2, 70,  13, -12,15,105.9,⑩⑪⑬,13,15,Ｂナオミノユメ, 82,荻野琢, 0.9, 69, -17,  14,15,102.1,⑯⑮⑭
14, 5,Ｉサンレイフレンチ, 67,柿原翔, 2.3, 58,   3, -10,12, 73.9,⑮⑩⑫,,,,,,,,,,,,,14,13,Ｑヤマカツボｰイ, 63,嶋田純, 1.3, 69,  18, -26,13, 65.0,⑧⑦⑦,14,11,Ｍタガノリバレンス, 71,国分恭, 1.0, 69, -17,  13, 9, 20.5,⑪⑭⑮
15,12,Ｊトウカイエンプレス, 65,中谷雄, 2.4, 56,   4, -14,16,225.4,⑧⑤⑥,,,,,,,,,,,,,15, 6,Ｄヴァンデミエｰル, 74,西村太, 1.6, 67,  16, -25, 8, 17.0,⑪⑧⑧,15,10,Ｋテｰオｰレイチェル, 76,酒井学, 1.1, 61,* -9,  -1,14, 63.8,③③④
16, 4,Ｏクイｰンマグノリア, 58,川須栄, 3.0, 54,   1, -13,15,110.7,⑨⑬⑪,,,,,,,,,,,,,16,17,Ｒナンヨｰピュｰピル, 56,長岡禎, 2.3, 63,  11, -22,16,138.9,⑯⑬⑮,16,13,Ｏタツストロング, 69,田中博, 1.3, 62, -15,   6,16,258.1,⑭⑬⑪
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｎアイファｰマグオｰ, 64,花田大, 3.1, 57,   9, -25,17,396.3,⑨⑱⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｏモナルカ, 64,三津谷,17.7,17.7---,   4, ---,18,404.2,⑥⑫⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,
単勝:260円 複勝:03=130円 07=380円 06=140円 枠連:780円,,,,,,,,,,,,"単勝:480円 複勝:08=160円 02=480円 10=130円 枠連:6,070円",,,,,,,,,,,,"単勝:1,320円 複勝:01=410円 15=310円 04=300円 枠連:7,460円",,,,,,,,,,,,"単勝:1,170円 複勝:16=280円 12=210円 03=150円 枠連:2,500円",,,,,,,,,,,
"馬連:3,330円 ワイド:03-07=1,090円 03-06=270円 06-07=1,510円",,,,,,,,,,,,"馬連:7,930円 ワイド:02-08=1,590円 08-10=330円 02-10=1,360円",,,,,,,,,,,,"馬連:6,880円 ワイド:01-15=2,110円 01-04=1,390円 04-15=1,300円",,,,,,,,,,,,"馬連:4,250円 ワイド:12-16=1,350円 03-16=1,180円 03-12=430円",,,,,,,,,,,
"馬単:4,990円 3連複:4,440円 3連単:23,740円",,,,,,,,,,,,"馬単:11,400円 3連複:5,870円 3連単:52,340円",,,,,,,,,,,,"馬単:7,620円 3連複:16,690円 3連単:115,060円",,,,,,,,,,,,"馬単:10,200円 3連複:4,920円 3連単:42,960円",,,,,,,,,,,
■ 3R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大須特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃレガリテｰト, 71,高倉稜,, 74,  -7,* 16, 3,  6.4, ⑦⑦, 1,10,Ｅリングオブハピネス, 57,松山弘,, 66,   1,*  3, 8, 14.1,⑮⑬⑬, 1,15,Ｂエンクエントロス, 76,伴啓太,, 75,*  4,*  8, 4,  9.8,⑥⑥④, 1, 4,Ｃラインシュナイダｰ, 74,松山弘,, 75,* 11,   6, 3,  4.9, ②②
 2, 3,Ｂジャコカッテ, 73,藤岡康, 0.1, 71,  -8,* 16, 2,  5.2, ⑥⑥, 2, 1,Ｇレッドディヴェル, 55,鮫島克, 0.1, 63,   5,  -6, 2,  4.2,⑨⑩⑦, 2, 1,Ｅキｰタイプ, 72,勝浦正, 0.0, 74,   4,* 10,10, 27.2,⑦⑧⑨, 2, 3,Ｇゴｰルドスｰク, 73,藤岡康, 0.1, 73,   8,   8, 2,  3.7, ④④
 3, 4,Ｅオｰルオブユｰ, 71,鮫島克, 0.2, 70,* -2,   8, 4,  9.8, ①①, 3, 3,Ｃフレグラントブレス, 60,北村友, 0.1, 63,   4,* -3, 1,  3.6,⑬⑪⑩, 3, 3,Ｃロｰドプレステｰジ, 75,中谷雄, 0.5, 71,   4,   6, 1,  2.8,⑨⑨⑧, 3,12,Ｉケイリンボス, 70,中谷雄, 0.6, 70,   5,   9,10, 31.6, ⑨⑨
 4, 2,Ｈリュクサンブｰル, 68,石橋脩, 0.5, 68,  -5,  10, 5, 19.6, ③③, 4,14,Ｄナムラバイオレット, 60,勝浦正, 0.3, 60,   6, -12, 6,  9.6,⑧⑤⑥, 4, 8,Ｎエイシンスペｰシア, 62,松山弘, 0.7, 70,*  5,   2,13, 85.6,④③③, 4,10,Ａノｰザンバロｰズ, 75,川須栄, 0.6, 71,   8,   5, 1,  3.3, ⑧⑧
 5,15,Ｄドラゴンビュｰティ, 71,杉原誠, 0.6, 66, -13,* 16, 9, 38.3, ⑬⑭, 5,15,Ｈギャラクシｰセレブ, 52,石橋脩, 0.6, 59,   5, -13, 4,  9.0,⑩⑧⑨, 5, 2,Ｈパラティｰノ, 70,古川吉, 0.9, 68,   2,   4, 9, 21.6,⑩⑩⑩, 5, 8,Ｐオｰバｰウェルム, 58,横山和, 0.6, 72,   3,* 13,11, 49.9, ⑪⑪
 6, 8,Ｇフィンデルムンド, 69,伴啓太, 0.6, 68, -10,  13, 7, 20.5, ⑨⑪, 6,16,Ｎアリアカンタｰビレ, 35,酒井学, 0.7, 56,* 12, -27, 7, 11.8,①①①, 6,10,Ｄアドマイヤスタｰ, 73,菱田裕, 0.9, 69,   2,   5, 5, 11.1,⑬⑫⑭, 6,16,Ｌビタミンエｰス, 67,岩崎翼, 0.6, 71,   1,* 13,14,118.1, ⑬⑩
 7, 5,Ａスウィｰプアウェイ, 78,勝浦正, 0.7, 66,  -5,   8, 1,  1.8, ④④, 7,11,Ｉナムラリボン, 52,高倉稜, 0.7, 60,  -2,* -1,10, 71.4,⑪⑭⑭, 7, 5,Ｍマコトグランドゥ, 63,荻野琢, 0.9, 69,   1,   6,14,114.5,⑭⑬⑫, 7,13,Ｂパッシングブリｰズ, 75,鮫島克, 0.8, 70,   2,  11, 5, 13.8, ⑫⑬
 8,13,Ｆエンジェルビｰツ, 69,北村友, 0.8, 66,  -7,   9, 6, 20.4, ⑧⑧, 8, 5,Ｆチョウキタイ, 55,加藤祥, 0.7, 55,   5, -14, 9, 24.7,⑥⑦⑧, 8,11,Ｇタタラ, 71,義英真, 1.0, 68,*  5,   0,11, 49.6,⑤⑤⑥, 8, 1,Ｊランディングバｰス, 69,菱田裕, 1.0, 66,* 11,  -3, 7, 21.2, ①①
 9,16,Ｉマルイチワンダｰ, 68,国分恭, 0.9, 66, -10,  11, 8, 23.1, ⑩⑫, 9,13,Ａミュゲプリンセス, 71,川須栄, 0.8, 56,   4, -13, 3,  5.7,⑫⑫⑪, 9, 4,Ｆメイショウナガマサ, 72,藤岡康, 1.0, 66,*  5,  -2, 2,  4.8,②②②, 9, 6,Ｅレッドディザｰブ, 73,勝浦正, 1.0, 66,   8,   2, 6, 16.5, ⑦⑦
10, 1,Ｐハンサムザムライ, 32,荻野琢, 0.9, 65, -11,  11,12,194.3, ⑪⑨,10, 8,Ｋオｰミパドドゥ, 43,畑端省, 1.2, 50,   6, -24,12,162.2,③⑥④,10, 7,Ｊタイセイアニマｰト, 69,アッゼ, 1.1, 66,   3,  -1, 6, 14.5,⑧⑦⑦,10, 5,Ｋレモンティｰ, 68,北村友, 1.2, 65,   8,   0,12, 73.9, ⑥⑥
11, 7,Ｊボナフォルトゥｰナ, 65,丸山元, 1.2, 62, -11,   9,10, 40.9, ⑫⑩,11, 9,Ｏテイエムマケンゲナ, 34,菱田裕, 1.5, 47,   6, -29,11,118.5,⑦④⑤,11, 9,Ｌシュバリエブラン, 64,加藤祥, 1.1, 65,*  4,  -1, 7, 19.0,③④⑤,11, 2,Ｈサプライズライン, 71,酒井学, 1.4, 66,  -3,* 13, 8, 24.9, ⑯⑯
12, 6,Ｌシンサン, 61,村田一, 1.2, 62, -14,  11,14,256.8, ⑭⑬,12, 6,Ｊサンデリアｰナ, 45,的場勇, 1.5, 49,  -5,  -9,14,228.9,⑯⑮⑮,12, 6,Ｉオアフライダｰ, 70,丸山元, 1.3, 66,   1,   3,12, 61.1,⑯⑭⑬,12, 7,Ｎイキオイ, 61,加藤祥, 2.1, 60,  -1,   4,13,106.3, ⑭⑭
13,11,Ｋアシドベリｰ, 62,岩崎翼, 1.3, 62,  -4,   2,11, 78.0, ⑤⑤,13,12,Ｐトｰアアサヒ, 32,義英真, 2.3, 39,*  8, -43,16,307.8,④②③,13,12,Ｋダブルフェイス, 65,鮫島克, 1.6, 62,*  5,  -8, 8, 19.6,①①①,13,11,Ｆツインプラネット, 73,伊藤工, 2.1, 57,* 10, -11, 9, 26.8, ③③
14,10,Ｎヤマタケマツリ, 60,城戸義, 1.5, 59,* -3,  -2,15,298.1, ②②,14, 2,Ｌレパｰズタウン, 42,黛弘人, 2.6, 37,   0, -33,15,288.0,⑤⑨⑫,14,16,Ａエッケザックス, 77,石橋脩, 1.9, 61,   3,  -5, 3,  5.3,⑪⑪⑪,14,15,Ｄタマモユウトウセイ, 73,国分恭, 2.5, 55,   9, -13, 4,  7.0, ⑤⑤
