15年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
13, 7,Ｋハッピｰキャップ, 43,松若風, 4.7, 36,  -4, -28, 3,  6.1,④⑤③,13, 6, ケンブリッジベスト,,石神深,209.4,,,,11,203.7,⑪⑬⑭,13, 6,Ｐベアファｰスト, 48,平野優, 1.9, 52,  -3,  -5,13,135.6, ⑭⑭,,,,,,,,,,,,
14, 2,Ｍミルキｰブレス, 39,長岡禎, 4.8, 36,  -7, -24,14,141.7,⑨⑫⑫,14, 4, スズカジョンブル,,難波剛,210.7,,,, 9, 64.7,⑨⑩⑫,14,10,Ｉナムラケイオス, 67,吉田隼, 2.1, 50,   4, -16, 9, 20.8, ⑧⑧,,,,,,,,,,,,
15,14,Ｐノイエヴェルト, 13,川須栄, 5.8, 31,* -3, -39, 8, 19.0,②③④,,,,,,,,,,,,,15, 9,Ｌスノｰクラフト, 63,木幡初, 2.7, 49,* 12, -31,12, 40.3, ②②,,,,,,,,,,,,
16, 4,Ｏナタｰル, 35,伴啓太, 6.5, 26, -12, -28,11, 30.5,⑭⑯⑯,,,,,,,,,,,,,16,14,Ｆマルクプレンヌ, 70,伊藤工, 3.3, 42, -13,  -4,10, 26.0, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:4),,,,,,,,,,,
単勝:520円 複勝:12=190円 08=170円 13=270円 枠連:790円,,,,,,,,,,,,"単勝:2,240円 複勝:12=580円 03=180円 08=440円 枠連:3,970円",,,,,,,,,,,,"単勝:1,230円 複勝:04=410円 07=130円 01=450円 枠連:1,520円",,,,,,,,,,,,"単勝:1,030円 複勝:04=240円 11=240円 05=140円 枠連:2,540円",,,,,,,,,,,
"馬連:1,950円 ワイド:08-12=690円 12-13=1,070円 08-13=660円",,,,,,,,,,,,"馬連:3,520円 ワイド:03-12=1,280円 08-12=3,160円 03-08=1,050円",,,,,,,,,,,,"馬連:1,750円 ワイド:04-07=700円 01-04=4,230円 01-07=1,090円",,,,,,,,,,,,"馬連:5,840円 ワイド:04-11=1,150円 04-05=700円 05-11=520円",,,,,,,,,,,
"馬単:3,430円 3連複:4,120円 3連単:23,390円",,,,,,,,,,,,"馬単:10,020円 3連複:15,270円 3連単:140,700円",,,,,,,,,,,,"馬単:4,180円 3連複:9,560円 3連単:68,250円",,,,,,,,,,,,"馬単:10,340円 3連複:5,010円 3連単:45,090円",,,,,,,,,,,
■ 2R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝3330m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恋路ｹ浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｊアドマイヤカロ, 60,藤岡康,, 71,*  3,   6, 5, 14.7,①①①, 1,11, レッドグルｰヴァｰ,,高田潤,,,,, 2,  4.4,⑭⑩⑨, 1, 2,Ｈタガノコルコバｰド, 71,城戸義,, 74,  10,  -1, 9, 42.7,④④④, 1, 8,Ｄヤマニンボワラクテ, 77,藤懸貴,, 82,*  7,*  8, 1,  2.3,②②②
 2, 2,Ｄオンワｰドハンタｰ, 71,小崎綾, 0.3, 72,   0,* 11, 6, 26.2,⑥⑨⑧, 2,12, プレミアムパス,,金子光,222.7,,,,13,211.3,⑪⑧⑦, 2, 8,Ｃデンコウリキ, 75,義英真, 0.0, 72,   6,   5, 4, 13.2,⑨⑦⑥, 2,10,Ｃファシｰノ, 77,松山弘, 0.2, 83,*  7,*  7, 3,  5.4,③③③
 3,12,Ｅウエスタンパレｰド, 71,酒井学, 0.3, 70,*  3,   3, 2,  3.6,②②②, 3, 8, チョイワルグランパ,,白浜雄,222.9,,,, 6, 14.4,②①①, 3,12,Ｄアクアマリンブレス, 73,小崎綾, 0.1, 71,* 11,  -5, 3,  5.5,③③③, 3, 7,Ｆポセイドンバロｰズ, 76,浜中俊, 0.9, 75,   6,   2, 4,  6.8,⑤⑤⑤
 4, 3,Ａパｰフェクトスコア, 77,浜中俊, 0.3, 72,   1,*  9, 1,  2.2,③⑤④, 4, 9, グリッタｰウイング,,北沢伸,223.0,,,, 4,  7.5,⑧⑥⑥, 4, 5,Ｂアイアイエンデバｰ, 78,長岡禎, 0.6, 68,* 11,  -9, 1,  2.7,②②②, 4, 5,Ｉシャドウウィザｰド, 75,吉田隼, 1.0, 73,   2,*  7, 5,  9.6,⑨⑨⑨
 5, 7,Ｇマルイチワンダｰ, 70,国分優, 0.6, 69,   1,   6, 9, 42.9,⑦⑦⑥, 5,10, リアルブラック,,林満明,224.9,,,, 3,  7.3,⑥⑤⑤, 5,13,Ｋレイズオブザサン, 67,菅原隆, 0.6, 72,   2,* 10,11, 78.1,⑪⑫⑬, 5, 3,Ｅトニｰポケット, 77,松田大, 1.0, 75,   2,*  7, 9, 33.5,⑧⑧⑧
 6, 9,Ｂデビルズハｰツ, 77,古川吉, 0.8, 68,   1,   4, 3,  5.7,⑩⑧⑦, 6, 6, エリタｰジュ,,難波剛,225.1,,,, 8, 31.1,⑨⑨⑩, 6, 9,Ｆアｰブル, 72,松若風, 0.6, 71,   4,   4, 5, 14.4,⑧⑧⑧, 6, 4,Ｂゲットアテｰプ, 79,勝浦正, 1.2, 72,   6,  -3, 2,  4.8,④④④
 7, 8,Ｈキネオフライト, 70,川須栄, 1.0, 68,  -1,   6,10, 49.8,⑨⑪⑪, 7,13, タイセイジｰニアス,,石神深,225.4,,,, 7, 20.5,④③②, 7, 1,Ｊトウショウアミラル, 67,井上敏, 0.7, 71,   0,* 11,12,117.6,⑫⑬⑫, 7, 2,Ａピュアソルジャｰ, 80,村田一, 1.2, 72,   3,   2, 7, 20.0,⑥⑥⑥
 8, 6,Ｆシングンカイロス, 70,長岡禎, 1.3, 63,*  3,  -5, 8, 42.6,⑧③③, 8, 5, マイネルアダマス,,五十嵐,225.5,,,, 5, 10.2,①②④, 8, 6,Ｅスズカアドニス, 73,岩崎翼, 0.7, 68,   8,  -3, 7, 23.4,⑤⑤⑤, 8, 1,Ｇティックルゴｰルド, 76,岩崎翼, 1.4, 69,*  9, -12, 6, 18.2,①①①
 9, 1,Ｃニホンピロバロン, 75,柴田未, 1.6, 63,   0,  -1, 4,  7.2,⑪⑩⑩, 9, 4, ティリアンパｰプル,,森一馬,225.7,,,,10,121.4,⑫⑬⑬, 9,11,Ａシップウ, 82,伊藤工, 0.8, 69,   2,   7, 2,  2.7,⑬⑪⑨, 9, 9,Ｈヴァンデミエｰル, 76,津村明, 1.7, 67,   2,  -1,10,107.4,⑩⑩⑩
10, 5,Ｉコスモチャイム, 67,木幡初, 2.0, 60,   1,  -6,11,101.5,④⑥⑨,10, 2, タマモショパン,,熊沢重,226.1,,,, 9, 51.0,③④③,10, 7,Ｇチャオ, 72,杉原誠, 0.9, 64,   6,  -2, 6, 15.6,⑦⑥⑦,10, 6,Ｊラニカイツヨシ, 72,藤岡康, 5.0, 41,   4, -53, 8, 24.5,⑦⑦⑦
11,11,Ｌカシノレント, 55,原田和, 2.1, 60,  -1,  -3,12,425.4,⑫⑫⑫,11, 1, テｰオｰゼウス,,佐久間,226.2,,,,12,138.4,⑤⑦⑧,11, 3,Ｌレｰザｰビｰム, 65,藤懸貴, 2.2, 60,   3,  -6,13,202.7,⑩⑩⑩,,,,,,,,,,,,
12,10,Ｋロｰドガンブラック, 56,勝浦正, 2.2, 57,   3, -11, 7, 32.9,⑤④⑤,12,14, シゲルヒタチ,,黒岩悠,227.4,,,,11,137.8,⑩⑪⑫,12,10,Ｉチャンピオンホｰク, 68,伴啓太, 2.4, 56,* 11, -25,10, 73.8,①①①,,,,,,,,,,,,
,,,,,,,,,,,,13, 3, クリノテンペスタ,,大江原,227.6,,,,14,311.3,⑬⑫⑪,13, 4,Ｍマイネグラティア, 53,木幡初, 4.7, 45,   4, -29, 8, 36.3,⑥⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:9),,,,,,,,,,,
"単勝:1,470円 複勝:04=480円 02=530円 12=210円 枠連:11,920円",,,,,,,,,,,,"単勝:440円 複勝:11=170円 12=2,040円 08=350円 枠連:19,690円",,,,,,,,,,,,"単勝:4,270円 複勝:02=1,040円 08=320円 12=210円 枠連:9,010円",,,,,,,,,,,,単勝:230円 複勝:08=120円 10=160円 07=190円 枠連:500円,,,,,,,,,,,
"馬連:15,420円 ワイド:02-04=4,050円 04-12=1,330円 02-12=1,160円",,,,,,,,,,,,"馬連:24,960円 ワイド:11-12=6,950円 08-11=930円 08-12=15,750円",,,,,,,,,,,,"馬連:16,830円 ワイド:02-08=5,040円 02-12=2,770円 08-12=1,080円",,,,,,,,,,,,馬連:770円 ワイド:08-10=300円 07-08=370円 07-10=640円,,,,,,,,,,,
"馬単:24,530円 3連複:21,960円 3連単:188,460円",,,,,,,,,,,,"馬単:48,500円 3連複:124,270円 3連単:552,010円",,,,,,,,,,,,"馬単:47,060円 3連複:27,020円 3連単:302,380円",,,,,,,,,,,,"馬単:1,020円 3連複:1,530円 3連単:5,030円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,庄内川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃポムフィリア, 51,勝浦正,, 60,  -8,* 15, 4, 11.9, ⑮⑬, 1, 6,Ｇトｰセンナチュラル, 49,井上敏,, 68,   7,*  3,12,131.2,⑮⑬⑬, 1, 3,Ｏトウシンムサシ, 63,松山弘,, 72,  -2,*  6, 1,  3.8, ⑪⑨, 1,12,Ｎエイシンソルティｰ, 59,酒井学,, 76,   4,   8, 8, 13.2, ⑧⑦
 2,11,Ａハルマッタン, 77,岩崎翼, 0.0, 64,*  8,  -1, 1,  1.7, ①①, 2,10,Ｑレッドサバス, 39,小崎綾, 0.2, 66,   8,* -1, 3,  8.1,⑫⑫⑫, 2, 5,Ｆダイワソフィｰ, 65,伊藤工, 0.3, 66,  -5,*  4, 6, 15.7, ⑭⑫, 2, 5,Ｏトｰキングドラム, 47,丸山元, 0.0, 75,   4,   8,13, 49.1, ⑥⑥
 3,10,Ｂショウナンサアｰダ, 61,浜中俊, 0.5, 60,*  6,  -3, 2,  2.7, ②②, 3, 3,Ａラウレアブルｰム, 68,松山弘, 0.3, 67,*  9,  -7, 1,  1.6,⑥⑥⑥, 3, 9,Ｅハイマウンテン, 66,国分優, 0.3, 65,  -8,*  7, 4,  7.6, ⑯⑰, 3, 7,Ｈヤマニンシバルリｰ, 66,石神深, 0.0, 76,   2,* 12,16,144.1, ⑪⑩
 4, 9,Ｆマルトクビクトリｰ, 48,義英真, 0.7, 54,  -2,   3, 3,  9.6, ⑩⑩, 4, 5,Ｊウインスペクトル, 49,伊藤工, 0.5, 64,   5,*  3, 6, 25.8,⑰⑰⑯, 4, 2,Ｄダラニ, 67,小崎綾, 0.3, 70,*  6,  -7, 3,  6.3, ①①, 4, 9,Ｊメイショウネブタ, 64,古川吉, 0.2, 72,   6,   3, 9, 16.0, ③③
 5,12,Ｋデルマヤブラコウジ, 42,松若風, 1.4, 51,   1,  -5,10,124.9, ⑦⑨, 5, 1,Ｋレレオｰネ, 47,藤岡康, 0.6, 63,   8,  -8, 4,  9.2,⑩⑪⑨, 5, 4,Ｍクラウンデュナミス, 64,古川吉, 0.5, 67,*  5,  -8,16,111.8, ②②, 5, 6,Ｉダブルコｰク, 65,浜中俊, 0.3, 74,  -6,* 18, 4,  9.1, ⑰⑰
 6, 7,Ｏハジメノイッポ, 37,木幡初, 1.7, 47,   0,  -8,14,255.9, ⑥⑥, 6,12,Ｄボルダｰブルｰ, 53,川須栄, 0.6, 61,*  9, -12, 5, 10.5,⑤⑤⑤, 6, 1,Ｂジンセイハオマツリ, 70,松若風, 0.6, 64,   1,  -6, 5, 12.4, ④③, 6,14,Ｂイントロダクション, 74,津村明, 0.3, 71,   6,   2, 2,  6.1, ⑤⑤
 7, 6,Ｊユキノマイクイｰン, 43,井上敏, 1.7, 46,  -4,  -3,11,143.1, ⑪⑦, 7, 2,Ｅオｰマイホｰス, 50,松若風, 0.7, 61,   7,  -7, 7, 45.9,⑨⑩⑪, 7,11,Ａジェネシスロック, 71,浜中俊, 0.7, 61,  -1,  -5, 2,  3.9, ⑨⑩, 7,17,Ｃアスペンサミット, 69,川須栄, 0.5, 69,*  8,  -4, 7, 12.7, ②②
 8,16,Ｉアドラビリティ, 43,吉田隼, 1.8, 42,  -7,  -2, 7, 47.7, ⑭⑮, 8, 7,Ｍタマヨリモハヤク, 46,丸山元, 1.4, 54,   8, -19,18,353.2,⑪⑨⑩, 8, 8,Ｃアブニｰル, 69,酒井学, 0.7, 63,   0,  -6, 8, 19.7, ⑧⑧, 8, 8,Ｇアドマイヤオウジャ, 68,藤岡康, 0.6, 70,  -3,  10, 6, 10.7, ⑯⑯
 9, 1,Ｅクリノスイｰトピｰ, 49,伊藤工, 1.8, 47,   1,  -8, 5, 28.9, ⑤⑤, 9,16,Ｌケイジｰスワロｰ, 46,川島信, 1.4, 56,* 10, -24,14,190.4,④④③, 9,14,Ｌブラウンカイ, 64,丸山元, 0.8, 59,  -4,  -3,12, 49.8, ⑫⑭, 9, 4, ホスト,---,伊藤工, 0.7, 68,  -1,   5,14, 71.2, ⑩⑪
10,13,Ｈクリノメンタンピン, 44,伴啓太, 1.9, 43, -11,   2,12,160.8, ⑯⑯,10,18,Ｃハｰブガｰデン, 57,津村明, 1.4, 56,   9, -20, 8, 49.2,⑧⑦⑦,10,16,Ｎアポロデイライト, 63,長岡禎, 0.8, 60,  -1,  -6,14, 56.6, ⑩⑪,10, 1,Ｄレネットグルｰヴ, 69,松山弘, 0.7, 70,   1,   4, 5,  9.3, ⑨⑧
11,15,Ｍブルｰライトクロス, 39,松田大, 2.2, 41,  -5,  -7, 9, 92.3, ⑫⑫,11,15,Ｂサトノラプタｰ, 60,浜中俊, 1.5, 53,* 11, -29, 2,  5.8,①①①,11, 6,Ｋメイショウジェｰン, 64,岩崎翼, 0.9, 61,*  3, -11, 7, 16.6, ⑤④,11, 3,Ｆコウエイタケル, 68,国分優, 0.9, 66,  -2,   4, 3,  6.3, ⑮⑮
12, 3,Ｄネイチャｰシュシュ, 51,丸山元, 2.4, 41,  -1, -12, 6, 32.3, ⑧⑧,12, 8,Ｆサンベイル, 50,嶋田純, 1.5, 55,   6, -15,15,197.2,⑯⑮⑮,12, 7,Ｈボンセジュｰル, 64,藤岡康, 1.0, 60,  -3,  -5,15, 65.6, ⑮⑬,12,11,Ｋウインドストリｰム, 64,松田大, 0.9, 66,  -1,   3,12, 25.5, ⑬⑬
13, 4,Ｇアゲｰト, 45,国分優, 2.8, 39,   4, -20,16,318.7, ③③,13,11,Ｈウインアシュリン, 49,原田和, 1.5, 55,   8, -20, 9, 61.9,⑦⑧⑧,13,15,Ｇクリノコマチ, 64,村田一, 1.3, 55,   1, -15, 9, 20.5, ⑥⑥,13, 2,Ａインストアイベント, 79,吉田隼, 1.1, 62,  -1,   0, 1,  4.5, ⑫⑫
14,14,Ｌロｰズダイヤモンド, 39,藤懸貴, 3.5, 31,  -6, -16, 8, 71.0, ⑬⑭,14, 9,Ｎカノンブルｰ, 44,松田大, 1.6, 54,* 10, -26,10, 64.0,③③④,14,13,Ｉオフェｰリアシチｰ, 64,藤懸貴, 1.7, 51,*  3, -21,10, 35.0, ③⑤,14,10,Ｐビッグプレゼンタｰ, 42,上野翔, 1.3, 61,   2,  -5,17,250.4, ⑦⑨
15, 8,Ｐファイヤウィｰド, 37,熊沢重, 4.1, 25,  -3, -26,13,252.6, ⑨⑪,15,14,Ｏフルオブラヴ, 42,木幡初, 1.6, 54,   3,  -7,17,328.6,⑱⑱⑱,15,18,Ｑブライティアミル, 55,木幡初, 2.2, 42,  -5, -20,18,147.9, ⑬⑮,15,15,Ｍマイネルジパング, 61,中井裕, 1.5, 59,  -1,  -5,15, 97.5, ⑭⑭
16, 5,Ｎオｰキャロル, 39,川島信, 5.3, 19,   4, -41,15,262.6, ④④,16,17,Ｉアミフジタイカン, 49,杉原誠, 2.5, 47,*  9, -40,11, 74.2,②②②,16,17,Ｊタイセイゼニス, 64,川須栄, 2.2, 44,   1, -26,11, 44.0, ⑦⑦,16,13,Ｌメモリｰレｰン, 63,松若風, 1.5, 58,*  9, -17,11, 25.2, ①①
,,,,,,,,,,,,17,13,Ｐジャコバイティズム, 41,長岡禎, 2.7, 46,   5, -30,13,179.0,⑭⑭⑭,17,10,Ｐライズアゲイン, 59,吉田隼, 2.6, 37,  -5, -25,13, 53.6, ⑰⑯,17,16,Ｅレｰヴドプランス, 69,柴田未, 1.6, 56,   6, -15,10, 19.4, ④④
,,,,,,,,,,,,18, 4,Ｒコスモパｰプル, 22,柴田未, 3.9, 39,   4, -41,16,321.2,⑬⑯⑰,18,12,Ｒイヴピアジェ, 55,義英真, 3.5, 15, -21, -21,17,134.3, ⑱⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:9),,,,,,,,,,,
